CED_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED211,45,1159,1849,1104,679,494,215,41,5593,13,215,363,383,362,270,97,18,1724,724,2978,3443,2379,1575,1178,491,141,12904,373,936,1342,1328,1015,861,526,171,6559,944,2173,2040,2363,2239,1338,973,333,12394,102,87,72,60,48,30,19,5,420,47,82,120,176,181,178,120,37,948,1090,2347,2230,2600,2474,1545,1110,379,13766,21,49,81,53,61,53,46,22,385,317,480,469,460,381,391,391,343,3232,2570,8157,9773,8311,6544,4794,2880,1116,44150,73,1770,2019,1048,541,277,91,16,5831,55,492,787,734,540,432,143,19,3204,947,3862,4591,3130,1746,1194,564,146,16176,483,1206,1530,1829,1534,1076,551,193,8395,614,1028,1107,1297,1188,597,190,71,6096,92,98,129,126,105,101,20,3,680,91,88,170,268,336,222,164,75,1406,796,1221,1405,1691,1624,921,385,154,8185,11,50,71,55,73,97,78,41,474,267,428,454,435,456,589,778,803,4202,2636,9025,10852,8921,6514,4581,2582,1363,46465,114,2927
CED212,18,342,523,468,374,273,94,27,2122,6,110,209,240,202,175,48,9,991,331,1557,1741,1479,971,740,370,77,7272,240,921,1388,1231,942,719,331,73,5838,1082,3402,3208,3138,2690,1771,971,253,16525,128,111,93,66,53,42,10,5,504,45,103,159,167,175,144,71,17,883,1258,3615,3465,3373,2914,1952,1050,275,17909,20,43,59,54,63,45,43,23,352,481,669,673,750,620,492,444,258,4378,2352,7253,8061,7598,6083,4395,2383,745,38877,34,721,806,604,348,189,51,7,2766,59,431,622,530,370,245,67,3,2340,557,2716,2853,2094,1293,869,353,93,10813,443,1644,1946,1874,1406,890,376,108,8689,740,1808,1845,1797,1429,685,221,52,8583,146,142,186,152,160,107,26,8,933,88,154,219,276,279,242,129,35,1412,974,2104,2253,2221,1865,1032,378,92,10926,15,45,51,50,55,67,57,26,378,535,666,691,664,601,689,716,555,5116,2622,8334,9218,8035,5942,3991,1996,886,41025,60,1065
CED213,13,191,269,345,409,475,255,50,2010,5,66,144,200,247,294,103,16,1055,201,1010,1186,1295,1178,1320,733,185,7107,203,559,827,1031,1020,1145,692,182,5674,984,2655,2624,2923,2990,2426,1407,443,16464,125,67,53,59,66,57,24,5,460,36,77,108,135,177,189,129,37,885,1151,2797,2788,3118,3227,2674,1562,491,17812,17,25,29,38,45,66,66,30,315,484,451,528,692,693,826,759,425,4856,2071,5105,5771,6718,6820,6804,4172,1373,38825,25,418,506,518,486,372,108,12,2438,40,228,427,475,519,433,149,13,2276,388,1888,2142,2029,1609,1491,669,161,10379,318,1058,1409,1757,1604,1394,682,185,8418,562,1304,1417,1649,1561,860,307,72,7740,104,126,140,149,176,131,46,16,884,51,138,170,270,270,318,192,66,1464,719,1565,1726,2070,2010,1303,551,148,10090,15,23,32,49,76,117,91,47,456,509,455,547,737,825,1175,1232,780,6264,2012,5641,6787,7630,7133,6291,3483,1355,40326,35,609
CED214,213,2715,1513,703,349,188,39,5,5721,17,340,335,244,185,91,17,3,1235,1056,5089,3739,1955,918,519,180,32,13482,542,1697,1518,969,623,360,88,22,5815,785,2103,1763,1565,1438,988,463,142,9243,118,157,128,89,60,30,10,0,585,69,155,165,195,181,102,33,13,911,968,2415,2054,1844,1677,1121,505,151,10741,33,149,94,43,54,32,16,0,430,869,1741,1173,861,766,597,506,257,6759,3705,14148,10422,6617,4573,2907,1346,472,44191,195,2487,1683,740,375,136,26,0,5629,66,647,716,531,280,115,17,0,2376,1328,5897,3985,2013,948,497,128,22,14813,565,1772,1535,1185,788,374,112,37,6377,599,1327,1222,1034,726,304,88,34,5333,99,131,129,138,121,57,10,0,682,59,173,194,267,208,121,48,15,1077,757,1634,1542,1434,1053,473,149,45,7095,39,104,76,40,49,47,12,4,377,731,1422,974,743,668,642,534,538,6261,3672,13963,10519,6686,4163,2287,980,664,42928,401,5198
CED215,95,1927,3460,1342,640,309,85,13,7868,22,223,524,336,247,136,27,8,1525,723,3532,5571,2727,1366,681,230,35,14870,444,1500,2027,1453,803,469,200,33,6927,863,2287,2299,2142,1814,1130,498,182,11218,87,97,76,82,44,27,3,0,418,59,119,216,211,135,101,17,12,874,1011,2499,2592,2435,1997,1254,526,188,12507,38,108,163,69,39,54,23,0,496,717,1186,1141,684,485,369,239,116,4945,3039,10986,15469,9055,5588,3276,1324,400,49138,114,2371,3283,1194,537,232,52,6,7790,73,594,877,730,422,186,50,10,2944,961,5198,6390,2965,1414,718,184,41,17872,408,1645,2191,1819,1071,520,142,42,7838,513,1260,1411,1190,762,319,82,34,5576,83,100,119,105,96,59,17,5,583,60,147,219,286,239,127,47,8,1137,657,1513,1747,1578,1099,508,144,51,7297,17,103,123,69,76,45,22,3,461,520,1043,1026,636,492,448,361,253,4778,2769,12466,15642,8994,5096,2655,962,403,48979,211,4295
CED216,19,218,248,208,213,209,96,13,1213,3,68,113,140,158,220,53,3,757,198,948,827,730,712,692,294,40,4440,94,496,636,728,899,864,427,67,4220,1122,3143,2919,3059,3679,3022,1388,300,18629,121,130,109,72,72,66,23,6,601,26,85,114,111,166,197,83,22,808,1271,3363,3144,3240,3913,3287,1492,322,20032,11,26,38,36,45,58,30,14,256,745,793,807,860,1020,1107,771,360,6466,2348,5913,5804,5940,6966,6434,3160,829,37391,33,427,398,302,293,223,44,8,1727,42,314,370,366,394,274,78,9,1850,388,1785,1572,1241,1196,1006,363,67,7614,225,1118,1161,1379,1372,1109,409,100,6867,873,2069,1866,1769,1641,876,227,38,9364,131,179,206,189,204,146,29,6,1090,48,107,155,186,248,227,81,20,1077,1061,2356,2223,2147,2093,1251,332,73,11528,18,31,35,39,61,78,71,18,359,735,779,802,823,1106,1347,1029,652,7280,2495,6799,6565,6295,6523,5293,2335,916,37224,54,646
CED217,67,1028,1668,1877,1411,803,370,84,7310,22,177,360,507,433,324,101,33,1964,903,2751,3514,4066,3100,2022,872,256,17483,275,638,912,1173,1033,916,523,187,5659,413,1011,890,1235,1278,833,548,231,6442,55,32,51,32,32,22,13,3,243,39,56,110,152,164,159,100,19,803,506,1103,1045,1422,1472,1011,663,253,7478,13,44,67,94,77,86,49,29,466,298,412,457,476,359,377,362,234,2985,2085,6163,8029,9610,7883,5535,2949,1084,43341,54,1373,2059,1871,1113,576,169,53,7262,33,344,598,941,819,530,174,30,3463,1139,3456,4514,4752,2943,1790,783,260,19636,310,712,1134,1735,1546,1211,640,243,7532,240,428,458,696,731,416,209,92,3269,63,44,54,78,117,69,35,14,465,48,66,135,273,298,291,205,85,1394,359,536,645,1042,1147,776,448,190,5137,8,36,73,84,87,93,74,46,502,262,394,453,528,462,613,652,647,4013,2163,6841,9469,10948,8110,5603,2936,1466,47548,118,2400
CED218,73,901,1288,569,274,137,41,3,3289,17,148,240,195,108,62,15,0,788,878,2845,2859,1811,974,540,138,27,10081,407,1478,1636,1155,798,402,134,21,6041,1056,2393,2490,2447,2002,1248,564,118,12314,139,101,102,89,50,32,4,0,523,76,169,215,208,185,115,34,10,1006,1271,2667,2798,2740,2233,1394,604,127,13838,26,80,97,67,58,50,23,4,395,775,1078,955,688,506,435,275,95,4807,3457,9192,9877,7225,4960,3024,1227,289,39245,109,1255,1307,502,207,79,18,3,3484,68,483,531,387,214,71,16,3,1777,1178,4055,3819,2232,1013,510,137,28,12969,493,1615,2056,1627,894,355,126,14,7186,620,1386,1670,1440,941,359,88,18,6529,101,120,185,171,150,64,12,0,804,83,186,277,375,293,152,49,18,1420,801,1692,2133,1986,1377,579,142,33,8752,29,69,90,80,57,52,16,4,396,570,987,899,668,563,519,306,176,4693,3249,10164,10843,7477,4322,2167,764,264,39261,188,2159
CED219,23,512,785,346,222,151,38,9,2084,15,90,180,143,120,132,25,3,708,371,1635,1819,995,600,409,145,26,6000,305,1317,1417,983,721,541,194,40,5509,1383,3867,3424,3005,2458,1706,688,146,16673,150,161,108,80,64,38,5,3,605,66,131,197,171,144,122,40,11,880,1594,4160,3725,3260,2671,1857,731,159,18152,19,50,82,41,47,31,14,10,298,654,907,843,669,565,454,318,91,4499,2974,8671,8860,6434,4945,3571,1457,331,37246,56,956,836,362,208,97,31,0,2542,86,545,540,379,222,151,29,3,1958,624,2891,2665,1507,781,524,139,34,9161,488,1800,1961,1458,1047,545,196,40,7540,841,2366,2141,1786,1316,532,95,26,9089,154,198,226,188,143,88,10,3,1008,118,189,258,290,234,147,57,18,1320,1113,2747,2626,2257,1686,766,160,47,11413,10,81,69,59,49,45,25,15,343,648,932,839,694,601,636,453,186,4997,3029,9954,9535,6722,4602,2766,1036,323,37954,78,1468
CED220,165,2912,2342,1628,1264,827,445,88,9667,23,377,463,465,408,255,73,16,2076,1479,6569,4397,3391,2571,1813,871,251,21340,376,1125,1012,877,749,625,425,124,5316,419,1311,855,806,779,513,342,127,5154,57,75,55,33,22,12,13,0,266,42,91,113,136,130,92,59,16,676,515,1480,1022,976,932,619,412,148,6099,33,118,80,57,57,53,49,21,465,374,880,590,492,377,364,366,191,3642,2966,13457,9898,7892,6358,4547,2643,834,48597,204,3544,2653,1605,1037,633,216,47,9938,60,772,692,843,683,493,161,22,3719,2197,7655,4808,3841,2598,1703,806,233,23844,469,1234,972,1221,1200,997,540,204,6839,361,693,437,497,459,260,126,58,2888,64,66,63,61,68,51,21,10,402,44,96,101,196,220,221,132,66,1080,470,861,602,753,751,530,279,130,4372,24,80,78,79,83,104,72,34,551,427,869,551,459,433,537,536,493,4302,3851,15017,10361,8795,6782,4991,2603,1173,53567,372,6454
CED221,46,905,1582,508,208,90,27,3,3365,10,122,223,152,104,43,11,0,675,562,2362,2847,1337,638,326,108,18,8200,478,1827,2289,1244,704,384,123,35,7085,1404,3628,3378,2814,2233,1173,511,120,15264,189,174,131,87,58,16,11,0,678,69,187,223,179,126,76,30,5,898,1663,3990,3731,3081,2421,1263,556,129,16835,35,74,116,73,48,31,19,3,397,700,1072,974,677,546,379,251,84,4678,3491,10347,11760,7068,4669,2522,1094,273,41223,67,1343,1535,474,146,73,11,3,3655,92,491,533,267,159,57,22,3,1624,839,3894,3541,1560,716,380,107,29,11069,696,2407,2508,1588,925,418,137,27,8705,1051,2480,2259,1687,1017,427,100,22,9044,187,216,193,179,132,43,13,3,975,119,236,281,289,247,125,48,11,1360,1358,2926,2739,2157,1398,601,168,36,11381,29,90,109,59,50,40,24,9,410,672,1083,900,658,564,452,320,183,4825,3746,12241,11868,6757,3952,2029,787,282,41666,117,2241
CED222,299,3405,1993,984,528,265,91,23,7576,28,237,320,284,202,139,37,4,1243,1490,5065,3787,2293,1335,766,294,92,15125,716,1791,1594,1197,851,537,234,70,6979,918,1966,1678,1855,1737,1337,808,256,10546,107,117,85,75,65,30,10,0,486,68,168,185,186,184,111,60,15,987,1097,2250,1946,2117,1980,1479,878,271,12026,57,152,145,72,52,50,33,11,576,815,1473,819,644,589,508,451,263,5559,4506,14373,10602,7591,5537,3732,2012,733,49086,230,3098,2156,884,375,163,45,15,6964,69,499,548,493,304,165,36,5,2119,1716,5500,4192,2578,1341,830,262,90,16498,637,1649,1684,1592,1100,615,239,83,7595,615,1037,1068,1151,950,463,165,54,5499,91,99,118,124,113,80,25,3,662,83,157,191,295,286,149,109,47,1316,793,1294,1381,1573,1346,693,295,104,7483,47,116,117,81,80,72,43,22,573,699,1070,795,595,604,642,592,466,5459,4192,13212,10867,7789,5143,3176,1511,790,46688,530,6501
CED223,3,224,274,295,323,313,92,11,1545,5,64,195,228,248,270,85,9,1096,128,979,1087,1005,884,1008,331,69,5497,117,578,823,924,1052,1045,407,80,5037,1292,3159,3121,3262,3489,2544,1128,274,18261,142,113,89,74,64,67,21,3,568,57,91,100,148,163,202,113,21,894,1495,3358,3310,3481,3715,2817,1259,295,19729,13,30,26,48,42,58,45,15,273,751,658,692,750,985,1050,719,301,5910,2515,5893,6405,6730,7246,6554,2940,791,39079,31,481,521,443,408,276,41,6,2214,41,386,477,549,545,404,114,11,2529,316,1887,2181,1734,1491,1194,417,106,9318,313,1063,1435,1626,1636,1191,510,130,7907,933,1899,1871,1850,1791,871,201,56,9473,155,176,176,182,224,136,34,9,1097,86,96,121,241,286,233,107,36,1214,1176,2171,2167,2278,2301,1247,347,98,11787,18,32,37,34,56,89,54,32,344,673,613,681,839,1001,1136,1072,570,6584,2571,6626,7494,7487,7443,5546,2562,950,40680,33,705
CED224,51,765,1316,906,545,324,137,23,4066,9,169,307,328,263,193,55,13,1331,624,2792,3276,2418,1425,867,337,101,11838,311,970,1361,1502,1006,730,318,117,6320,748,2072,2151,2405,2147,1380,834,285,12024,89,82,69,59,59,37,11,3,413,32,78,148,206,185,150,60,23,893,872,2234,2370,2668,2391,1570,905,320,13327,17,51,77,69,54,63,33,18,388,318,557,525,453,443,421,364,193,3276,2206,7539,9228,8340,6131,4165,2151,785,40538,62,1298,1741,984,463,252,70,9,4878,55,398,702,732,481,245,72,16,2701,902,3915,4200,3007,1612,926,342,93,14998,398,1203,1822,1981,1325,842,349,121,8043,531,922,1081,1288,1047,561,169,85,5682,96,93,132,152,129,97,24,3,735,55,115,226,295,321,237,97,58,1408,686,1130,1439,1738,1498,896,292,141,7822,25,56,70,80,79,86,62,42,497,277,531,558,487,432,590,620,472,3965,2403,8525,10531,9009,5894,3836,1813,901,42907,107,2069
CED225,52,1160,1744,1255,891,691,311,45,6150,16,227,377,463,380,319,101,12,1895,769,2859,3402,2655,1910,1405,484,144,13624,287,848,1149,1285,1020,899,465,91,6051,822,1949,1866,2169,2018,1426,915,274,11436,104,71,57,57,43,28,11,0,378,47,74,112,167,168,163,86,33,856,978,2099,2034,2395,2232,1619,1014,308,12669,24,48,64,60,50,59,34,16,355,366,434,464,424,381,380,323,181,2958,2498,7660,9237,8536,6866,5374,2732,799,43701,99,1642,2049,1289,812,494,165,29,6574,42,549,840,945,731,490,129,21,3742,1068,3845,4447,3294,2100,1408,522,130,16813,338,1005,1276,1608,1370,1012,387,146,7145,520,809,892,1043,999,491,178,63,4989,92,79,97,104,96,92,22,7,590,58,87,138,260,345,283,129,51,1344,672,976,1120,1407,1442,864,330,115,6926,21,49,64,53,70,90,62,23,432,269,401,441,419,457,552,510,321,3371,2504,8462,10249,9014,6978,4908,2108,778,45000,153,2797
CED226,123,1903,2252,2313,1928,1284,667,165,10643,18,278,399,582,518,381,135,25,2345,1554,4417,3768,4024,3346,2266,1077,377,20836,426,758,701,887,862,830,499,189,5151,439,941,648,752,808,523,406,172,4681,70,62,32,33,37,25,15,4,281,43,60,76,120,140,115,69,33,652,554,1061,760,900,987,663,488,209,5615,26,62,64,64,68,77,56,23,444,353,484,392,410,383,330,300,190,2836,3049,8968,8336,9184,8095,5828,3224,1180,47870,196,2483,2638,2244,1423,834,322,86,10222,51,481,700,998,951,632,230,62,4098,1911,4893,4690,4849,3399,2228,1067,421,23459,416,770,869,1481,1404,1218,667,328,7147,371,465,334,450,505,296,154,70,2647,63,48,51,57,75,58,28,14,391,33,58,105,196,228,248,141,89,1103,469,571,487,709,808,601,328,164,4141,33,63,72,86,80,102,78,52,566,359,424,436,441,391,479,513,458,3505,3447,9694,9892,10798,8454,6088,3202,1570,53142,323,4386
CED227,32,803,1321,610,304,176,64,7,3324,13,117,240,184,137,105,42,10,842,428,1996,2611,1426,703,500,179,39,7883,328,1512,1957,1201,744,465,233,51,6494,1259,3889,3280,2996,2287,1288,704,158,15855,163,119,107,45,39,28,3,0,502,60,135,162,153,129,99,46,5,804,1477,4146,3549,3192,2451,1421,761,164,17162,27,83,115,63,37,26,21,4,370,601,769,725,596,440,395,330,144,3999,2904,9432,10515,7277,4813,3082,1625,423,40077,50,1271,1471,508,240,119,29,4,3684,74,513,577,445,233,143,50,6,2042,760,3519,3478,1856,890,575,209,51,11350,557,2115,2283,1718,1077,590,230,43,8610,814,2423,2017,1682,1118,513,139,32,8725,195,178,182,147,126,66,19,6,922,106,190,238,303,218,142,69,29,1289,1115,2782,2436,2128,1462,722,216,63,10936,20,91,108,52,44,52,24,7,390,567,827,722,624,560,537,532,304,4681,3149,11115,11082,7326,4507,2742,1287,477,41689,85,2073
CED228,146,2280,3595,912,319,179,58,3,7492,27,195,416,204,148,84,21,0,1092,800,3492,4688,1642,803,500,136,10,12073,566,2109,2202,1067,788,443,155,19,7349,1425,3018,2633,2405,1998,1185,473,96,13225,171,160,109,83,65,29,7,0,631,80,174,216,169,143,109,23,6,920,1678,3349,2967,2651,2207,1320,503,103,14778,45,128,176,77,45,52,19,0,538,960,1534,1303,707,536,421,244,122,5822,4220,13090,15341,7263,4841,3003,1134,265,49145,113,2916,2862,583,264,109,20,3,6876,82,589,709,358,208,101,19,5,2085,1015,5394,4818,1733,851,476,92,23,14405,584,2215,2398,1514,983,416,115,23,8244,898,2132,1946,1503,993,348,78,16,7912,146,178,178,132,123,61,12,0,832,113,194,321,268,227,119,42,12,1291,1158,2500,2443,1904,1342,527,128,27,10040,39,183,190,70,69,46,30,5,630,805,1498,1213,717,535,507,359,237,5863,3803,15289,14639,6876,4254,2186,766,315,48130,264,5197
CED229,206,3502,2730,1687,1234,856,405,59,10685,35,495,449,471,355,278,59,14,2150,1351,7523,5109,3287,2423,1732,656,158,22235,464,1594,1428,1041,869,688,293,87,6469,446,1989,1283,1025,933,584,318,108,6697,66,98,70,42,37,15,12,0,351,47,136,133,152,139,110,68,13,798,563,2231,1489,1220,1114,711,395,125,7848,46,161,117,75,62,54,39,15,567,495,1481,1078,835,667,565,412,246,5772,3172,16975,12403,8607,6724,4882,2258,694,55723,249,4257,3098,1793,1222,762,242,35,11651,63,859,831,818,714,481,142,16,3911,1889,9182,5572,3648,2324,1564,593,178,24951,610,1796,1465,1360,1150,914,397,110,7812,475,1082,701,606,519,255,104,44,3788,86,100,70,86,53,47,13,5,462,49,145,175,224,226,185,94,37,1144,617,1326,949,916,790,487,212,90,5383,32,163,90,69,61,87,46,18,577,537,1438,1018,687,618,603,554,487,5943,3999,19020,13021,9292,6884,4888,2185,938,60228,460,7756
CED230,21,231,215,158,155,138,45,9,981,3,73,98,141,138,144,30,0,632,155,982,833,704,586,479,191,27,3957,146,564,703,810,771,672,239,49,3953,1246,3295,2834,2951,3363,2313,975,219,17210,147,172,107,78,88,49,28,3,668,52,98,116,141,173,159,58,17,810,1443,3563,3068,3168,3625,2518,1062,243,18687,16,37,32,32,33,54,43,9,257,918,936,925,1033,1242,1313,962,459,7785,2701,6395,5874,6038,6553,5321,2562,809,36251,41,435,311,242,182,103,23,6,1346,42,330,335,374,354,222,67,4,1733,398,2068,1712,1344,1070,842,310,97,7843,292,1074,1163,1360,1408,986,399,105,6788,916,2061,1820,1834,1741,880,194,47,9493,189,223,209,189,196,125,38,8,1174,84,119,186,236,222,174,58,16,1087,1193,2401,2214,2265,2161,1177,282,66,11756,15,52,41,45,49,58,41,26,323,810,861,867,969,1168,1396,1211,808,8086,2777,7219,6649,6601,6398,4796,2337,1107,37877,66,666
CED231,86,1607,1484,943,648,423,109,17,5331,17,249,373,358,330,209,56,10,1594,1015,3803,3442,2463,1524,976,269,64,13553,369,1078,1147,1083,866,575,272,66,5461,644,2023,1763,1869,1603,1158,790,255,10100,64,95,54,60,57,34,10,0,378,43,102,128,155,139,115,64,15,772,754,2218,1943,2088,1800,1304,867,269,11248,8,62,60,59,43,32,32,5,301,390,706,573,525,446,384,361,187,3564,2643,9726,9025,7509,5661,3908,1958,625,41052,112,2085,1872,970,617,311,48,4,6025,58,625,757,711,510,316,72,9,3063,1373,4718,4165,2938,1691,901,250,63,16096,400,1192,1316,1495,1081,686,255,80,6500,397,974,878,991,750,389,129,52,4554,84,117,108,97,103,58,23,4,595,70,132,183,307,255,182,85,37,1246,554,1219,1174,1394,1100,624,236,92,6400,20,55,73,52,52,63,40,7,369,374,683,586,509,478,571,559,312,4073,2887,10587,9931,8064,5543,3472,1459,571,42517,196,3697
CED232,34,568,995,604,409,295,121,18,3044,8,102,262,266,241,162,42,4,1090,351,1624,2189,1467,966,681,281,45,7609,285,1087,1450,1204,883,683,268,37,5900,1266,3361,3540,3291,2695,1629,721,130,16631,153,95,75,56,53,29,10,3,470,52,134,174,167,126,122,49,12,836,1469,3589,3787,3513,2877,1788,775,140,17939,8,44,73,58,38,34,21,11,296,545,523,558,579,528,444,322,106,3601,2702,7532,9311,7689,5950,4098,1830,366,39476,43,1001,1167,660,380,225,51,4,3531,49,476,719,631,447,255,46,9,2641,647,2985,3429,2183,1187,828,246,50,11552,448,1579,2049,1754,1220,758,250,53,8106,779,1829,1762,1596,1116,463,112,22,7673,128,154,169,160,125,70,21,3,823,88,138,222,309,250,192,76,27,1289,992,2117,2149,2062,1491,719,204,54,9791,15,48,75,63,73,70,45,15,399,493,605,652,602,582,570,396,190,4102,2688,8821,10231,7949,5387,3424,1240,375,40112,77,1574
