CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED211,12977,7760,7743,8690,7460,5473,3210,1345,378,55050,1468,1478,1598,1907,2156,2337,2268,1491,518,15214,81,156,222,305,440,698,945,844,343,4031,10,7,26,51,127,289,509,614,350,1988,1552,1643,1838,2263,2718,3324,3723,2950,1212,21228,797,588,573,627,613,503,377,271,190,4550,15322,9993,10160,11585,10795,9302,7316,4570,1785,80822,12594,6342,7428,8910,7614,5857,3814,1659,531,54747,1077,1842,2070,2282,2575,2554,2716,1951,882,17945,73,312,457,557,656,914,1211,1143,660,5985,6,22,55,118,249,404,656,761,568,2840,1158,2172,2580,2956,3486,3871,4581,3852,2115,26770,791,489,530,623,564,515,447,403,418,4776,14539,9009,10537,12488,11659,10236,8845,5914,3066,86289,25565,14103,15176,17597,15074,11329,7025,3006,912,109790,2545,3317,3660,4188,4732,4891,4986,3436,1394,33158,152,461,675,861,1099,1609,2156,1991,1007,10011,12,35,83,174,380,695,1166,1375,917,4824,2712,3817,4415,5225,6206,7197,8305,6800,3320,47994,1581,1081,1099,1252,1177,1019,825,678,611,9322
CED212,12123,6713,6882,7116,6784,4910,2758,1109,258,48656,1706,1474,1750,2086,2238,2471,2126,1249,325,15419,113,191,294,405,565,851,1049,678,314,4456,9,11,37,67,219,427,683,658,299,2413,1825,1679,2076,2557,3024,3747,3856,2581,935,22288,1218,761,808,857,950,724,469,270,133,6203,15169,9154,9771,10535,10763,9384,7077,3959,1337,77143,11905,5701,6381,7105,6596,4966,3114,1245,346,47355,1304,1827,2384,2511,2622,2666,2427,1537,613,17894,98,374,616,693,841,1151,1231,899,507,6421,4,18,78,180,360,624,796,695,566,3319,1410,2219,3076,3392,3824,4443,4448,3138,1684,27633,1205,711,758,797,795,615,470,341,190,5885,14516,8636,10217,11301,11209,10020,8033,4724,2215,80871,24022,12412,13264,14222,13375,9882,5865,2351,602,96010,3010,3299,4131,4604,4858,5142,4545,2784,934,33308,218,564,911,1096,1404,2000,2277,1575,820,10877,10,34,112,249,584,1045,1476,1358,866,5738,3236,3900,5155,5951,6848,8191,8306,5718,2623,49920,2423,1475,1571,1664,1745,1337,940,607,324,12087
CED213,9779,5938,4712,5002,5918,5321,4164,1893,492,43225,1278,1213,1213,1428,1882,2433,3093,2051,612,15197,104,131,181,290,449,829,1409,1282,485,5164,6,6,19,48,154,355,871,954,471,2880,1382,1347,1415,1766,2488,3622,5375,4286,1562,23237,1050,656,583,654,842,820,773,518,278,6174,12218,7946,6707,7424,9238,9763,10310,6704,2332,72638,9478,4779,4427,5272,6262,5840,4707,2116,555,43435,899,1429,1581,1808,2252,2785,3467,2550,876,17648,58,254,338,451,772,1048,1677,1366,642,6605,4,17,47,115,267,513,894,1002,708,3564,955,1702,1967,2375,3286,4347,6035,4913,2224,27808,1028,637,545,651,851,804,898,671,383,6467,11466,7118,6944,8298,10404,10995,11638,7697,3161,77714,19257,10719,9139,10278,12178,11164,8867,4009,1054,86662,2172,2642,2795,3233,4123,5220,6560,4602,1488,32844,164,383,518,743,1226,1881,3084,2646,1125,11762,6,27,66,166,425,866,1765,1957,1181,6444,2341,3048,3380,4141,5775,7969,11413,9199,3793,51050,2082,1291,1134,1303,1693,1624,1670,1188,655,12641
CED214,11903,8207,13992,10212,7217,5170,2770,977,296,60747,1316,1265,2259,2109,1989,2212,1852,1054,370,14427,68,112,319,336,441,636,850,612,239,3609,5,7,33,62,143,337,537,471,200,1789,1392,1385,2602,2509,2579,3179,3245,2130,814,19830,1320,1043,1714,1274,1001,790,536,373,163,8214,14611,10635,18315,13996,10792,9141,6545,3480,1267,88791,11484,7461,12207,9680,7179,4898,2857,1076,359,57204,778,1510,2746,2239,2115,2245,2161,1307,614,15714,42,232,582,456,606,795,957,759,484,4912,5,16,78,95,204,416,591,584,377,2355,822,1754,3405,2792,2921,3457,3711,2650,1473,22992,1251,849,1451,1071,878,731,513,348,315,7397,13556,10060,17067,13541,10976,9081,7083,4074,2148,87592,23384,15671,26202,19903,14390,10070,5627,2056,652,117955,2088,2778,5003,4350,4107,4458,4014,2354,983,30146,119,340,899,792,1046,1433,1811,1370,717,8522,8,19,105,156,346,744,1129,1055,584,4150,2212,3140,6014,5298,5503,6634,6953,4782,2287,42815,2570,1889,3164,2347,1880,1519,1048,718,479,15613
CED215,19227,7914,10829,14169,8375,4908,2407,816,211,68845,1684,1237,1538,2399,2269,2035,1681,845,279,13963,72,103,180,311,403,583,764,498,189,3100,3,4,23,56,131,260,399,375,189,1446,1762,1344,1746,2766,2799,2873,2844,1722,661,18519,1572,1004,1493,1470,917,600,380,194,82,7705,22559,10261,14064,18407,12098,8386,5628,2728,952,95075,18553,6732,11062,13658,8149,4887,2577,943,309,66879,1123,1480,2094,2621,2417,2222,1901,1068,509,15432,54,215,418,444,586,766,878,623,349,4329,0,18,32,111,228,338,478,494,272,1976,1181,1706,2537,3180,3229,3333,3262,2179,1129,21735,1441,675,1033,1122,760,543,366,217,132,6296,21185,9121,14639,17954,12142,8759,6207,3347,1573,94911,37782,14639,21891,27827,16530,9792,4988,1756,521,135727,2813,2717,3631,5021,4684,4252,3586,1913,789,29403,133,317,600,752,989,1345,1639,1120,541,7431,3,20,56,174,358,601,881,870,461,3419,2945,3052,4281,5945,6032,6203,6102,3903,1789,40255,3014,1681,2529,2594,1682,1140,748,409,214,14009
CED216,10320,5619,5522,5123,5156,5462,4121,1498,305,43132,1446,1316,1465,1534,1847,2756,3279,1728,458,15817,125,196,281,311,531,1020,1619,1088,305,5476,3,6,40,82,259,609,1160,861,268,3295,1579,1518,1785,1933,2633,4386,6057,3671,1033,24592,1455,906,1209,1129,1032,1074,960,555,260,8574,13356,8045,8511,8185,8818,10923,11138,5727,1598,76298,9974,4785,5164,5037,5224,5564,3866,1490,399,41499,1138,1567,2005,1912,2197,3021,3332,1930,715,17816,88,353,600,571,864,1333,1683,1132,462,7086,0,29,87,188,444,864,1153,856,348,3975,1224,1954,2698,2676,3505,5214,6174,3924,1525,28879,1391,842,844,855,888,957,913,569,419,7678,12594,7581,8700,8565,9611,11735,10956,5982,2340,78058,20296,10407,10691,10158,10375,11031,7991,2987,702,84633,2582,2885,3465,3443,4041,5773,6608,3661,1172,33640,218,555,881,884,1393,2351,3303,2221,768,12564,0,43,128,271,704,1472,2319,1715,619,7272,2798,3474,4481,4602,6140,9597,12227,7595,2558,53471,2849,1741,2049,1986,1916,2031,1879,1120,678,16247
CED217,11864,7754,5561,7035,8330,6177,3408,1420,431,51984,1089,1302,1099,1391,1960,2273,2271,1395,514,13292,45,116,140,189,294,528,910,710,333,3261,3,3,10,28,61,171,375,456,284,1387,1133,1422,1255,1601,2316,2979,3550,2557,1128,17937,785,550,477,523,686,540,392,256,129,4338,13776,9731,7287,9156,11328,9700,7352,4238,1690,74264,11765,6515,5584,7803,9218,6498,3964,1747,631,53736,789,1593,1408,1670,2264,2458,2652,1762,1002,15597,41,209,228,289,467,710,972,965,696,4578,3,12,18,42,111,252,423,534,559,1964,827,1815,1659,1998,2852,3422,4049,3256,2262,22135,730,514,436,564,716,568,495,333,241,4600,13325,8841,7680,10378,12790,10487,8502,5344,3131,80469,23631,14273,11143,14843,17549,12679,7366,3168,1066,105725,1874,2901,2506,3055,4225,4726,4918,3156,1518,28885,82,328,374,470,767,1244,1884,1671,1030,7835,5,14,30,70,176,424,797,987,845,3350,1961,3238,2916,3598,5163,6392,7598,5814,3386,40076,1511,1063,912,1091,1399,1107,885,594,367,8936
CED218,16102,9364,9849,10481,7896,5071,2637,859,157,62421,1656,1399,1437,1791,2057,2273,1954,865,198,13638,83,102,172,263,438,722,872,526,137,3308,0,11,21,61,124,292,542,466,158,1672,1740,1513,1630,2115,2618,3284,3363,1868,492,18616,1410,1136,1701,1473,1057,696,409,211,64,8164,19251,12009,13183,14070,11571,9051,6413,2937,717,89201,15745,8485,9802,10623,8058,5210,2680,778,211,61593,1043,1540,1713,1959,2311,2413,2131,1023,344,14480,58,206,304,417,655,884,962,565,226,4285,0,9,41,85,208,428,650,459,269,2141,1105,1760,2052,2460,3180,3726,3747,2048,838,20906,1325,818,1102,1044,817,620,402,188,90,6401,18178,11059,12960,14122,12050,9556,6828,3013,1133,88900,31851,17848,19655,21102,15953,10278,5321,1642,363,124014,2703,2933,3153,3749,4370,4683,4086,1891,546,28112,135,313,474,685,1093,1607,1829,1097,368,7589,8,20,58,141,331,717,1195,926,426,3816,2844,3268,3686,4572,5789,7010,7111,3909,1336,39523,2739,1952,2805,2511,1875,1316,810,396,152,14567
CED219,14845,7462,8631,8366,6310,4176,2220,687,133,52834,2058,1553,2011,2202,2162,2210,2003,836,190,15226,151,212,309,421,596,790,1013,578,141,4204,7,23,52,106,186,407,786,548,178,2285,2214,1783,2377,2721,2940,3410,3800,1962,505,21714,1744,916,1032,965,847,660,432,204,60,6860,18812,10159,12042,12052,10093,8247,6456,2845,701,81404,14781,6494,8485,7894,5937,4198,2361,713,176,51030,1504,1938,2607,2555,2474,2384,2221,988,348,17017,135,386,717,762,881,1132,1184,650,296,6147,9,20,105,224,426,624,848,552,293,3100,1641,2351,3429,3542,3783,4139,4255,2194,934,26265,1705,826,991,938,808,623,467,226,99,6684,18133,9665,12908,12369,10535,8961,7077,3130,1205,83986,29631,13952,17119,16259,12252,8377,4580,1396,306,103865,3559,3495,4621,4754,4631,4596,4225,1822,538,32236,285,597,1031,1179,1479,1919,2192,1229,432,10356,12,39,154,327,612,1034,1637,1104,465,5386,3862,4131,5807,6263,6719,7545,8055,4154,1441,47977,3453,1743,2028,1903,1655,1278,901,421,161,13549
CED220,9069,7174,11756,8349,6716,5003,2861,1357,366,52654,762,1250,2232,1789,1632,1766,1806,1195,424,12852,28,101,311,236,307,468,644,620,272,2997,5,4,16,49,71,183,338,394,234,1288,794,1355,2561,2071,2004,2414,2796,2207,929,17138,598,527,1008,680,629,482,360,278,144,4708,10460,9061,15321,11103,9355,7898,6009,3842,1441,74497,8781,7126,11745,8276,7267,5452,3467,1637,533,54284,525,1910,2948,1917,1831,1920,2133,1579,758,15522,22,288,547,345,381,540,795,724,450,4093,0,11,36,53,90,177,335,442,356,1505,541,2208,3535,2313,2300,2642,3268,2748,1562,21118,568,617,1032,672,594,527,436,376,322,5158,9893,9954,16309,11258,10165,8617,7177,4763,2428,80562,17850,14302,23501,16621,13988,10458,6328,2995,901,106941,1283,3161,5181,3708,3457,3689,3940,2769,1179,28370,44,396,861,580,687,1007,1447,1340,722,7091,5,10,53,103,163,356,673,842,591,2794,1334,3566,6094,4388,4306,5055,6061,4955,2494,38249,1165,1143,2040,1352,1224,1009,798,659,473,9871
CED221,19671,9583,11529,12082,7167,4257,1860,591,138,66880,1930,1451,1796,2251,2310,2243,1519,687,168,14353,112,180,230,392,531,787,791,457,124,3598,8,25,26,68,193,377,515,394,121,1724,2044,1652,2057,2714,3029,3404,2822,1540,415,19670,1849,965,1118,1084,815,607,317,171,55,6983,23563,12201,14710,15878,11009,8268,4991,2302,609,93534,19055,8868,11750,11192,6649,4047,1938,666,162,64333,1271,1780,2414,2499,2431,2264,1644,788,320,15422,64,355,569,580,805,888,887,489,236,4876,4,17,77,138,351,535,614,465,227,2424,1344,2147,3057,3220,3583,3692,3152,1742,784,22722,1691,878,1158,1009,783,551,344,182,85,6665,22091,11892,15965,15419,11011,8289,5434,2591,1031,93721,38728,18455,23278,23272,13809,8305,3797,1259,302,131210,3204,3230,4213,4752,4734,4508,3165,1477,494,29773,172,532,798,975,1340,1679,1680,945,356,8473,11,34,106,209,539,917,1128,859,347,4153,3392,3803,5114,5933,6612,7097,5970,3284,1200,42398,3538,1842,2273,2097,1595,1160,659,350,140,13650
CED222,13950,10997,15121,11098,8441,5973,3416,1523,457,70975,1319,1430,1725,1738,1919,2377,2271,1549,578,14898,39,117,200,255,446,709,897,764,396,3822,0,0,22,48,117,309,545,629,384,2067,1363,1548,1945,2043,2479,3398,3713,2942,1355,20794,1064,937,1392,858,784,674,457,335,157,6656,16369,13490,18457,13998,11700,10047,7583,4806,1972,98421,13377,9360,12774,10779,8515,6006,3837,1721,602,66979,844,1656,1804,1846,2159,2568,2623,1835,843,16184,24,286,327,348,531,816,1083,1012,642,5070,3,23,36,65,190,399,617,765,635,2732,874,1961,2172,2255,2884,3785,4317,3616,2110,23984,1009,809,1028,865,754,628,515,371,223,6208,15265,12134,15973,13903,12155,10420,8668,5704,2941,97169,27329,20359,27894,21876,16958,11972,7256,3247,1061,137952,2162,3086,3529,3582,4080,4947,4894,3387,1415,31086,65,402,525,598,979,1526,1979,1774,1034,8891,11,24,64,115,308,712,1159,1389,1016,4797,2235,3513,4120,4304,5360,7185,8032,6560,3469,44780,2072,1749,2416,1727,1538,1309,970,706,381,12861
CED223,10643,5940,5612,5349,5826,5729,4214,1554,369,45237,1506,1259,1398,1698,2066,2820,3122,1669,467,16003,114,206,217,338,553,986,1578,969,328,5288,5,12,31,98,188,544,974,905,335,3090,1624,1480,1639,2142,2806,4346,5668,3549,1137,24378,1362,888,782,855,933,1036,884,490,163,7391,13631,8302,8032,8342,9564,11115,10761,5591,1673,77010,10647,4938,5081,5487,5856,5904,4058,1591,534,44093,1200,1608,1906,2114,2389,3022,3245,1883,740,18095,94,330,495,600,809,1270,1561,1090,524,6773,7,31,77,168,360,764,975,811,503,3695,1303,1965,2473,2886,3555,5050,5783,3784,1768,28563,1237,758,695,765,908,952,806,561,277,6954,13186,7664,8246,9130,10324,11910,10640,5933,2575,79610,21289,10876,10693,10834,11682,11631,8271,3146,902,89324,2705,2867,3295,3814,4446,5840,6369,3554,1207,34100,214,532,708,940,1361,2256,3137,2058,858,12058,16,38,105,270,547,1310,1941,1719,837,6783,2929,3446,4113,5023,6365,9398,11448,7333,2904,52944,2599,1649,1472,1615,1842,1994,1691,1050,438,14344
CED224,12842,7195,7521,8706,7980,5468,2930,1193,374,54202,1221,1159,1348,1817,2100,2270,2038,1257,439,13660,38,104,172,226,409,637,901,692,307,3492,3,7,14,40,123,279,471,500,267,1707,1270,1272,1534,2086,2629,3192,3411,2455,1018,18860,899,535,671,682,646,547,396,278,114,4769,15008,8997,9724,11466,11255,9203,6737,3925,1507,77828,12676,6337,7195,9055,8221,5603,3335,1439,514,54385,842,1512,1873,2153,2513,2464,2358,1634,833,16186,27,235,313,404,586,845,1141,903,556,5025,0,9,32,74,163,332,551,594,505,2268,873,1756,2222,2640,3265,3641,4053,3130,1895,23477,847,500,602,682,656,547,445,340,205,4829,14390,8591,10021,12380,12143,9793,7836,4912,2620,82689,25513,13533,14715,17759,16203,11069,6267,2631,894,108590,2069,2668,3225,3970,4612,4740,4394,2895,1272,29847,67,340,485,637,996,1485,2047,1596,861,8518,3,9,47,118,284,612,1021,1097,772,3968,2138,3025,3753,4720,5896,6832,7465,5588,2913,42339,1744,1034,1273,1363,1298,1095,843,618,325,9593
CED225,12343,7298,6922,7894,7391,5515,3315,1255,321,52265,1300,1369,1546,1928,2083,2256,2422,1359,488,14744,66,133,240,280,423,667,1010,798,305,3922,3,8,24,42,105,272,520,561,247,1793,1371,1507,1807,2252,2616,3192,3949,2722,1039,20458,833,621,603,636,648,571,401,272,108,4686,14541,9426,9331,10785,10654,9282,7668,4249,1467,77412,12254,6018,6582,8065,7565,5930,3630,1397,448,51883,981,1737,2055,2287,2376,2607,2787,1733,731,17292,49,281,430,468,636,862,1242,966,559,5495,4,9,35,79,161,363,580,635,500,2360,1037,2023,2511,2836,3174,3830,4606,3338,1786,25141,740,510,516,581,597,539,475,285,172,4425,14028,8558,9618,11482,11333,10305,8707,5018,2403,81452,24597,13317,13507,15962,14953,11448,6944,2650,764,104152,2280,3102,3593,4207,4462,4866,5210,3095,1213,32032,119,418,667,754,1058,1526,2249,1765,861,9417,8,13,61,123,268,634,1097,1198,743,4152,2407,3532,4318,5083,5788,7029,8557,6059,2826,45604,1567,1132,1122,1220,1246,1110,876,552,286,9115
CED226,11333,9592,7856,7172,7827,6283,3646,1527,451,55689,1040,1577,1639,1338,1790,2134,2184,1337,565,13607,28,152,218,206,281,521,783,721,357,3272,0,8,26,16,60,145,332,439,328,1348,1069,1739,1883,1564,2130,2802,3305,2494,1254,18230,655,624,585,465,598,500,347,234,119,4126,13056,11960,10321,9190,10554,9586,7299,4256,1821,78044,11247,8670,7547,8318,9137,6764,4218,1834,658,58400,733,2091,2058,1563,2116,2442,2540,1806,1055,16406,30,255,367,247,396,593,937,914,704,4436,0,17,37,39,89,175,350,495,536,1739,763,2371,2462,1846,2604,3205,3825,3214,2294,22575,578,597,539,516,621,544,426,299,220,4331,12586,11635,10543,10684,12363,10519,8461,5347,3168,85306,22584,18260,15398,15484,16971,13053,7860,3359,1110,114088,1768,3672,3699,2903,3908,4571,4728,3149,1619,30009,54,405,578,451,676,1116,1719,1635,1066,7709,0,25,64,60,152,319,683,932,861,3086,1826,4110,4341,3410,4730,6000,7129,5712,3546,40805,1233,1224,1126,980,1216,1050,770,534,331,8460
CED227,16635,8156,9380,9781,6728,4144,2035,763,167,57779,1935,1503,1840,2168,2137,1894,1640,949,225,14290,84,156,279,334,499,696,741,604,164,3551,7,10,34,61,153,277,472,446,169,1635,2030,1667,2145,2564,2789,2865,2857,1999,562,19476,1507,832,881,880,761,545,395,223,86,6106,20172,10654,12406,13221,10272,7559,5278,2977,809,83354,16570,7047,9599,9409,6420,4086,2316,872,210,56547,1342,1851,2498,2455,2402,2088,1956,1073,377,16042,82,362,602,634,758,846,891,631,248,5043,10,11,78,139,282,435,589,550,270,2366,1426,2221,3176,3224,3444,3370,3434,2255,890,23455,1466,746,889,848,751,586,406,270,165,6111,19463,10019,13663,13482,10612,8044,6162,3402,1271,86111,33210,15207,18976,19191,13147,8228,4351,1637,378,114326,3274,3355,4341,4620,4542,3982,3599,2018,604,30331,168,518,872,969,1249,1544,1625,1232,410,8597,17,21,110,197,433,711,1064,996,441,4003,3458,3897,5326,5784,6236,6236,6290,4253,1452,42932,2975,1577,1763,1729,1509,1124,801,495,245,12216
CED228,20887,10136,13733,14575,6994,4259,2011,600,106,73301,1921,1477,1747,2434,2176,2124,1671,671,140,14358,88,157,227,375,490,738,794,448,98,3413,6,20,52,83,181,368,513,386,132,1739,2013,1654,2016,2891,2846,3223,2980,1498,375,19507,2200,1117,1450,1328,874,613,345,167,82,8188,25105,12911,17204,18796,10709,8100,5335,2270,566,100992,20507,8441,14299,13001,6376,4366,2131,603,154,69876,1239,1776,2388,2608,2255,2286,1753,813,277,15404,82,332,536,617,751,955,856,493,208,4844,5,21,86,151,368,534,581,446,244,2434,1331,2131,3010,3380,3384,3773,3202,1751,727,22683,2028,936,1442,1249,821,553,388,200,158,7771,23861,11514,18757,17623,10575,8693,5721,2555,1038,100333,41396,18576,28030,27578,13364,8624,4139,1203,268,143179,3159,3262,4133,5041,4434,4407,3432,1480,419,29763,171,493,759,993,1240,1694,1652,946,307,8252,13,38,137,235,549,896,1099,825,373,4165,3342,3793,5030,6264,6226,6997,6178,3252,1104,42187,4227,2060,2895,2579,1697,1165,729,369,235,15952
CED229,8638,6412,15181,10623,7175,5125,2987,1130,257,57532,625,1102,2551,2114,1946,1913,1858,969,303,13382,30,122,323,315,361,556,770,570,201,3263,5,3,32,48,126,211,351,316,170,1261,657,1226,2909,2475,2441,2683,2980,1855,683,17913,660,623,1550,1138,925,737,556,323,170,6662,9955,8267,19644,14237,10536,8543,6516,3311,1101,82107,8546,6378,15300,10189,7385,5257,3366,1186,359,57969,426,1660,3462,2453,2124,2007,1902,1111,486,15624,22,287,618,462,507,625,742,586,327,4175,0,5,46,73,128,237,390,369,260,1505,443,1951,4125,2984,2757,2870,3031,2069,1070,21298,696,655,1537,1110,797,678,518,391,326,6702,9690,8981,20964,14287,10935,8802,6911,3650,1757,85969,17189,12791,30483,20816,14555,10384,6344,2319,617,115506,1049,2763,6014,4571,4067,3918,3761,2078,793,29007,53,406,943,776,869,1184,1511,1160,531,7438,0,12,72,118,258,448,741,684,431,2768,1103,3174,7032,5462,5189,5554,6010,3925,1754,39211,1349,1278,3089,2247,1716,1410,1077,713,494,13363
CED230,11227,6326,6788,5702,5848,5917,3956,1632,464,47867,1624,1466,1570,1563,2083,3032,3208,1838,644,17025,122,168,276,358,635,1218,1623,1082,373,5863,7,22,52,93,270,707,1135,905,327,3523,1754,1656,1904,2018,2991,4960,5964,3821,1343,26414,1683,1049,997,996,1069,1252,1047,645,317,9050,14668,9030,9688,8713,9910,12130,10974,6099,2129,83340,11161,5304,6293,5463,5751,5667,3886,1696,644,45879,1201,1648,2083,1914,2256,3058,3086,2105,1006,18355,86,350,481,570,923,1404,1601,1194,615,7231,0,23,104,198,478,919,1138,915,547,4334,1285,2028,2665,2681,3665,5378,5826,4216,2170,29916,1614,857,916,946,993,1050,932,678,525,8509,14061,8189,9873,9092,10412,12097,10641,6596,3339,84301,22387,11634,13082,11165,11601,11583,7845,3333,1112,93747,2825,3114,3652,3477,4343,6096,6289,3940,1646,35385,210,522,758,926,1561,2624,3225,2278,987,13091,13,45,163,294,751,1623,2277,1821,881,7850,3043,3681,4568,4698,6650,10339,11793,8039,3513,56331,3293,1908,1911,1942,2067,2310,1976,1324,839,17566
CED231,10730,7015,8750,8111,7148,4918,2751,1196,312,50941,1062,1229,1928,1778,1807,1941,1994,1252,472,13463,38,109,259,303,385,610,833,701,319,3570,4,10,27,51,92,241,486,553,317,1791,1112,1352,2222,2129,2287,2784,3314,2499,1104,18820,807,612,834,706,679,607,371,268,103,4990,12652,8975,11811,10951,10114,8317,6444,3965,1526,74746,10508,6112,8367,8317,7280,5203,3115,1307,450,50655,718,1521,2408,2073,2017,2216,2328,1623,721,15633,31,244,525,422,497,744,1051,978,512,4991,0,6,48,61,160,334,570,687,505,2365,748,1776,2984,2552,2677,3290,3951,3289,1739,22992,718,599,805,703,741,561,452,295,145,5013,11972,8481,12153,11574,10688,9057,7522,4889,2332,78659,21245,13125,17118,16429,14425,10119,5874,2499,759,101593,1786,2754,4341,3848,3827,4157,4323,2870,1193,29093,67,354,790,722,885,1352,1884,1676,831,8556,5,19,78,112,252,571,1057,1243,825,4160,1858,3130,5203,4680,4962,6078,7263,5793,2841,41813,1525,1206,1636,1410,1415,1169,824,566,247,10006
