CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED211,847,681,1526,206,245,449,12,4,14,15,18,30,53,48,102,22241,17392,39635,1089,1435,2522,313,8,326,109,13,129,213,35,243,150,96,242,434,483,920,25685,20459,46141,214,201,410,0,0,0,36,37,68,189,117,304,20,35,57,23,13,45,484,400,885,0,0,0,4,7,8,12,8,20,19,35,56,8,9,18,49,56,101,199,136,331,732,592,1318,100,133,237,13,9,17,9,4,11,124,146,269,12381,13127,25509,3647,6607,10251,155,140,291,42718,41067,83785
CED212,320,188,511,207,238,448,21,9,32,0,0,0,65,50,117,25167,18792,43962,1386,1363,2746,439,12,453,159,14,177,166,51,216,168,109,273,408,445,852,28507,21275,49777,78,71,154,0,0,0,6,3,12,109,52,164,12,14,23,26,9,33,233,146,375,3,0,3,0,0,0,13,4,16,19,40,64,9,14,26,49,62,107,219,114,338,501,320,823,55,45,100,8,10,21,9,0,13,75,55,135,7037,9745,16781,3339,6357,9693,136,135,277,39600,37889,77486
CED213,64,38,96,123,118,240,11,8,23,0,3,6,18,9,21,20892,16242,37133,1112,1093,2206,471,17,487,91,0,95,168,50,226,202,96,298,1026,621,1649,24181,18298,42474,12,12,27,0,0,0,4,0,4,60,24,81,8,3,15,0,0,0,86,38,132,4,0,4,0,0,0,4,11,19,11,21,33,7,0,4,25,43,64,189,77,263,300,155,457,12,9,18,4,3,8,15,3,18,33,16,46,6025,8037,14064,3402,5973,9375,233,248,479,34169,32720,66888
CED214,1559,1627,3180,374,517,889,6,4,11,60,122,184,174,140,317,23698,14166,37861,1182,2019,3203,321,9,336,244,36,275,501,209,702,219,141,357,572,703,1273,28918,19679,48599,325,492,813,0,0,0,171,226,394,189,152,340,36,89,125,84,45,127,795,1006,1796,0,0,0,16,44,61,21,23,44,21,50,77,11,18,29,75,137,213,319,209,529,1189,1350,2541,265,378,647,14,17,29,14,6,17,289,404,694,10129,11857,21993,3546,5171,8720,264,173,435,44336,38642,82979
CED215,1136,1172,2307,140,222,366,13,4,18,11,9,17,112,124,232,25402,16050,41451,1256,1824,3078,328,15,340,200,27,224,347,121,467,285,154,437,398,530,932,29626,20247,49869,198,329,523,0,0,0,64,92,157,262,183,441,44,103,144,57,29,82,619,733,1356,0,0,0,8,3,14,22,10,33,16,40,57,0,11,16,47,67,116,299,160,457,964,957,1928,206,300,507,7,11,14,8,5,16,224,317,539,14367,15955,30320,3625,5804,9425,229,165,398,49032,43447,92478
CED216,31,13,44,104,116,221,7,6,10,9,4,7,28,35,59,22109,19305,41419,1472,1492,2962,437,9,440,156,22,177,248,84,332,236,125,367,1036,935,1969,25873,22131,48003,8,10,13,0,0,0,0,0,0,9,3,19,10,3,20,6,3,9,37,20,60,0,0,0,0,0,0,12,8,16,6,14,23,5,3,8,21,34,52,275,148,423,331,197,532,12,5,24,5,5,6,9,8,15,32,16,47,3152,4526,7678,2776,4531,7306,298,265,561,32460,31673,64133
CED217,1137,923,2060,117,156,271,11,0,11,57,77,133,52,48,104,15587,12502,28083,626,1052,1678,130,3,136,177,13,186,479,144,625,154,122,274,642,866,1504,19159,15905,35059,120,94,218,0,0,0,86,115,202,110,77,185,21,37,56,44,16,58,382,339,724,0,0,0,5,8,15,3,5,14,3,10,15,11,6,18,27,34,58,133,118,259,542,490,1035,80,80,161,0,8,8,7,10,13,89,90,184,16476,16757,33229,3477,5613,9089,149,135,285,39893,38987,78879
CED218,740,771,1513,103,189,294,12,0,9,0,14,10,105,80,179,28223,18496,46723,1461,2073,3539,523,6,532,93,8,99,69,20,90,276,144,415,156,230,387,31765,22029,53792,132,242,377,0,0,0,23,54,77,253,200,455,34,88,119,14,16,30,454,608,1060,0,0,0,0,6,5,20,22,40,25,39,67,3,0,3,46,68,112,284,162,448,785,835,1618,142,231,373,5,11,19,5,0,9,157,242,402,7376,9670,17041,3511,5579,9088,204,141,344,43790,38498,82283
CED219,678,589,1260,69,132,204,10,9,21,0,5,8,51,40,95,26869,18122,44992,1581,1585,3167,651,20,668,103,5,115,55,25,82,200,114,314,307,364,675,30571,21017,51586,70,111,176,0,0,0,30,34,60,161,127,288,30,37,62,31,9,34,313,309,628,0,0,0,0,0,0,18,10,27,18,28,49,6,6,11,46,47,92,268,147,409,622,503,1127,98,118,213,0,5,13,4,4,12,109,128,238,5690,8560,14251,3413,5634,9046,202,142,345,40613,35981,76596
CED220,1833,1665,3500,115,191,313,8,0,12,560,786,1345,98,111,209,15272,11704,26981,533,1047,1583,89,4,96,215,30,246,778,281,1058,214,130,344,1393,1849,3251,21125,17805,38931,183,180,366,0,0,0,265,320,580,111,75,188,26,35,59,80,44,118,659,661,1314,0,0,0,16,24,45,9,5,9,7,18,26,7,12,12,39,55,95,160,164,319,856,878,1737,160,156,317,7,9,16,16,8,19,178,170,356,18777,19675,38457,3480,5743,9224,164,132,293,44586,44408,88994
CED221,701,577,1273,199,286,492,6,3,9,3,0,4,141,122,264,33496,22024,55524,1771,2260,4030,785,15,801,175,6,176,82,16,101,315,152,468,217,320,530,37890,25777,63667,181,269,450,0,0,0,16,24,38,216,116,339,21,64,85,17,15,30,457,492,946,0,0,0,0,0,0,20,18,35,32,61,92,6,15,14,52,90,139,333,217,548,847,793,1640,147,186,332,13,14,31,15,5,19,175,204,383,5644,7829,13473,3064,5549,8618,263,162,424,47880,40323,88199
CED222,1258,1276,2528,453,722,1174,7,3,13,12,7,14,194,166,365,28966,18706,47678,1654,2832,4486,394,11,408,165,18,182,315,84,400,318,182,508,601,818,1419,34344,24831,59167,362,545,904,0,0,0,72,102,179,250,144,394,24,80,103,40,21,60,755,892,1642,0,0,0,5,9,11,29,24,50,35,108,141,18,33,50,83,169,248,338,217,551,1171,1279,2451,235,309,546,11,32,43,11,9,16,258,340,601,10415,11084,21492,3461,5311,8773,264,183,445,49909,43025,92931
CED223,11,3,20,99,81,179,13,3,23,4,6,8,46,38,85,24266,21078,45347,1508,1522,3030,545,24,563,204,25,228,374,167,538,291,145,439,1777,1601,3383,29137,24703,53842,0,0,7,0,0,0,3,0,3,14,9,21,0,4,3,0,0,0,14,10,27,0,0,0,0,0,0,10,4,13,8,16,16,0,14,10,18,31,50,262,131,388,298,174,466,3,5,8,3,5,4,15,7,21,23,9,32,4377,5545,9918,2967,5050,8015,311,291,602,37107,35765,72871
CED224,787,634,1413,167,241,406,18,4,17,4,3,6,78,53,132,23068,17432,40499,1036,1453,2489,339,9,344,150,16,170,295,74,373,178,109,290,516,635,1155,26633,20660,47289,138,157,292,0,0,0,30,42,73,146,83,230,20,32,49,33,16,45,370,327,694,0,0,0,0,0,0,10,5,18,14,18,37,4,12,17,31,42,69,206,119,327,606,485,1090,75,98,178,6,5,9,7,0,7,94,109,195,11102,13110,24217,3274,5863,9141,174,117,295,41878,40349,82227
CED225,958,732,1695,218,261,481,15,8,16,27,27,55,60,54,117,19797,15249,35045,829,1157,1984,281,3,283,145,11,159,319,87,408,180,125,306,711,846,1562,23547,18567,42114,106,105,209,0,0,0,48,71,116,151,107,264,22,39,55,46,19,70,370,336,712,0,0,0,16,20,30,15,15,26,15,30,45,8,19,26,53,82,134,172,120,290,595,539,1137,87,85,169,12,9,14,4,0,7,99,95,191,13142,14185,27322,3659,6439,10096,136,98,237,41179,39914,81095
CED226,955,876,1835,199,252,447,11,10,20,485,619,1106,61,52,111,16090,13009,29099,650,1317,1972,103,4,104,158,19,173,545,175,724,152,124,275,961,1161,2117,20360,17621,37986,80,70,150,0,0,0,164,172,333,74,67,137,10,33,48,45,24,66,364,362,725,0,0,0,49,62,109,16,26,37,11,13,25,11,6,17,82,108,191,221,203,423,670,674,1338,99,116,211,15,12,26,11,12,22,117,146,267,17499,17670,35165,3668,5883,9557,138,126,261,42459,42111,84572
CED227,598,532,1124,59,92,150,14,0,16,3,3,8,70,68,137,29323,20594,49920,1465,1683,3147,692,18,712,154,14,165,76,26,102,239,114,352,350,388,739,33040,23530,56567,114,169,291,0,0,0,25,20,43,182,86,268,24,32,58,40,19,61,386,329,712,4,0,4,0,0,0,10,4,13,7,26,35,4,3,8,24,36,67,300,156,456,712,520,1232,84,128,210,3,6,12,4,0,9,94,139,235,7240,9650,16886,3155,5978,9134,217,169,378,44455,39974,84432
CED228,1224,1410,2638,161,332,497,15,0,14,6,11,15,163,158,326,30294,18372,48670,1730,2305,4037,596,10,602,169,17,184,152,27,184,348,158,506,271,402,675,35134,23214,58345,275,438,706,0,0,0,50,93,143,364,192,556,41,98,134,47,29,82,772,852,1621,0,0,0,0,0,0,27,17,41,23,44,70,7,14,24,57,79,136,366,189,556,1193,1119,2312,296,484,783,15,10,27,17,3,24,321,504,830,10172,10908,21074,3926,5850,9775,285,173,452,51034,41763,92800
CED229,987,919,1912,206,256,459,13,8,15,1991,2411,4408,146,201,350,15717,10596,26311,611,1080,1690,95,4,103,433,64,498,1230,601,1838,271,221,488,2827,2943,5771,24541,19298,43839,125,110,230,0,0,0,285,336,624,36,34,73,14,24,35,89,54,140,554,557,1104,4,0,4,61,95,152,7,11,18,5,10,8,8,12,17,85,117,208,359,316,674,994,990,1990,211,229,435,10,17,24,54,38,95,272,284,555,20316,22722,43038,4039,6231,10269,193,186,377,50358,49710,100070
CED230,11,8,20,207,87,292,18,0,19,0,0,5,50,49,93,25834,21386,47220,1926,2249,4178,514,16,527,169,49,215,330,120,447,339,130,468,1898,1760,3661,31287,25861,57143,4,5,0,0,0,0,0,0,0,5,0,10,0,0,3,0,0,0,7,5,17,4,0,4,0,0,0,13,4,19,8,15,25,4,0,5,27,22,55,300,130,429,333,160,502,3,4,9,3,4,4,30,8,35,30,14,45,3637,4271,7909,2268,4085,6350,414,339,750,37971,34733,72700
CED231,969,925,1889,152,195,350,8,5,16,343,582,925,90,85,179,19305,13495,32794,868,1314,2183,234,7,241,179,19,203,644,238,883,201,145,346,622,766,1391,23625,17784,41407,142,151,287,0,0,0,184,211,395,112,86,197,22,44,64,46,29,71,503,520,1023,0,0,0,39,43,81,16,14,28,15,24,36,5,8,9,71,92,162,236,173,405,808,781,1587,151,123,280,8,12,20,22,9,28,180,146,327,12236,14666,26903,3565,5991,9560,152,136,287,40565,39501,80068
CED232,560,458,1019,51,78,123,10,0,9,0,0,5,42,19,62,26256,18739,44998,1236,1329,2566,675,18,695,75,4,85,64,21,81,168,102,272,381,464,847,29515,21250,50763,79,104,182,0,0,0,11,16,35,205,110,317,19,21,39,24,10,39,345,263,604,0,0,0,0,0,0,8,9,24,0,18,20,0,5,5,12,39,49,242,89,334,595,390,987,97,92,185,0,0,0,12,0,17,109,95,202,7809,10279,18087,3360,6297,9654,204,156,362,41600,38467,80063
CED233,1759,1931,3692,377,435,812,5,10,11,3849,4606,8450,177,229,409,12389,8324,20715,454,947,1399,73,0,77,537,117,652,2448,1387,3829,323,242,561,5915,6148,12061,28309,24370,52684,334,327,659,0,0,0,502,618,1127,71,48,119,25,52,83,133,80,212,1067,1125,2196,0,0,0,112,116,234,13,6,21,9,17,21,17,20,36,152,158,309,510,465,976,1733,1745,3479,340,373,713,21,14,39,54,40,97,419,429,844,25277,25625,50905,5496,8321,13819,238,196,440,61478,60700,122175
CED234,438,400,834,755,926,1682,11,5,12,23,30,58,58,45,105,21156,15839,36988,925,1800,2726,304,0,307,123,7,127,130,27,160,193,138,330,478,684,1165,24588,19906,44493,204,149,352,0,0,0,25,43,69,99,55,150,17,19,36,15,7,25,362,273,637,0,0,0,66,51,119,77,66,142,30,62,94,18,22,38,188,199,392,168,144,312,719,616,1337,131,109,242,25,29,53,4,9,9,156,149,303,13588,13690,27280,3504,5804,9304,164,139,300,42722,40291,83013
CED235,119,57,176,65,62,123,12,3,19,3,4,10,19,17,41,21133,17509,38641,1199,1325,2523,473,11,483,151,14,164,162,58,219,162,99,266,995,877,1868,24498,20040,44535,13,13,25,0,0,0,0,0,3,27,18,47,10,3,19,6,0,10,63,39,104,0,0,0,0,0,0,10,6,19,7,7,17,3,0,3,26,20,42,210,86,297,302,146,449,13,10,25,5,3,5,10,0,10,29,11,40,4376,5723,10099,2754,4795,7553,297,263,559,32249,30985,63234
CED236,38,20,56,53,55,112,4,3,13,4,6,7,33,49,82,25228,21138,46368,1724,1872,3594,535,16,551,230,40,273,370,122,492,220,100,326,1490,1293,2778,29944,24719,54662,4,5,9,0,0,0,5,0,6,13,5,21,6,0,6,4,0,3,30,16,45,3,0,3,0,0,0,8,10,15,8,14,16,6,0,12,27,23,45,280,141,419,333,176,511,0,3,6,0,0,0,13,3,18,25,14,32,3463,4300,7769,2450,4405,6860,330,276,606,36548,33886,70437
CED237,848,883,1728,226,351,574,10,0,9,33,41,71,126,83,209,27525,18241,45769,1332,1776,3105,512,7,515,114,9,121,98,17,119,265,138,400,181,285,462,31256,21840,53094,215,301,518,0,0,0,30,58,88,216,138,352,10,51,60,25,27,50,505,565,1071,0,0,0,9,33,44,14,17,36,22,51,76,12,6,16,63,108,170,228,140,376,791,814,1609,148,178,324,14,21,30,14,9,25,166,207,377,6385,8037,14416,3011,5100,8117,235,161,391,41851,36154,78009
CED238,20,12,34,85,76,161,15,5,16,7,4,6,60,41,104,23900,20586,44481,1586,1702,3288,499,18,523,217,57,278,301,94,395,292,139,435,1970,1611,3576,28955,24339,53292,5,0,7,0,0,0,0,0,0,9,9,13,3,0,3,0,0,0,16,12,23,0,0,0,0,0,0,14,5,17,3,15,22,6,0,3,22,20,41,237,119,354,277,152,422,0,5,9,4,4,9,27,0,31,34,10,45,4811,5317,10126,2841,4747,7591,346,296,640,37260,34855,72115
CED239,1273,1231,2500,168,226,394,7,3,11,894,1221,2118,148,142,289,17829,11861,29687,778,1157,1933,226,9,238,268,32,301,1461,904,2366,200,152,354,722,917,1646,23970,17843,41819,200,212,409,0,0,0,229,234,467,109,60,171,14,57,72,65,46,113,620,617,1231,0,0,0,94,129,225,26,12,37,10,28,36,5,10,17,134,182,317,295,223,521,1049,1021,2067,183,206,390,17,30,49,24,25,43,231,254,486,13877,16551,30429,4025,6282,10307,212,126,340,43365,42079,85448
CED294,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
