CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED211,19317,1993,362,4,7,21681,20823,2393,701,0,17,23935,7606,2262,881,16,12,10774,619,446,83,0,0,1149,127,168,45,0,3,342,1585,372,112,10,5,2082,132,41,10,0,0,194,32,24,8,0,0,70,10099,3317,1146,21,19,14605,665,288,48,0,0,1002,466,208,25,0,0,705,51377,8198,2274,29,49,61926
CED212,15112,1977,259,60,17,17420,21912,2524,232,11,13,24688,7361,3030,720,17,18,11146,709,367,82,0,3,1162,112,116,33,3,3,273,1673,510,97,13,0,2290,165,64,20,181,0,439,41,29,15,7,0,86,10068,4126,964,214,26,15391,387,520,66,4,0,985,571,178,37,10,3,808,48044,9327,1553,307,55,59295
CED213,20997,2472,602,290,11,24370,18140,1315,260,11,7,19727,5844,1526,414,26,9,7813,527,213,112,0,0,852,55,49,0,0,0,108,1790,280,92,14,6,2192,339,46,9,80,3,485,57,13,3,3,0,80,8618,2126,628,124,18,11524,992,724,91,13,3,1826,751,181,36,13,5,991,49502,6822,1616,450,45,58434
CED214,14567,1899,1021,38,9,17526,12897,4192,2486,43,13,19625,6747,4026,5559,86,28,16442,772,1010,426,0,4,2224,140,116,196,0,0,457,2444,857,646,43,12,3999,522,163,122,50,8,866,95,33,38,0,0,170,10722,6201,6993,179,59,24157,668,182,102,4,0,957,846,231,184,5,9,1270,39695,12704,10787,273,86,63541
CED215,13297,2314,504,17,9,16146,22174,4180,652,11,16,27039,10875,3503,1206,39,14,15647,292,314,254,0,0,866,90,84,67,0,0,236,1540,422,149,16,3,2133,272,60,14,21,10,379,63,19,8,0,0,86,13135,4399,1704,78,23,19345,466,156,168,5,0,786,665,136,52,6,4,865,49732,11187,3082,125,52,64179
CED216,24131,783,511,349,43,25820,18846,289,139,21,27,19316,5724,916,975,18,15,7651,978,301,275,0,0,1555,242,109,77,0,4,425,2494,154,112,16,18,2802,431,35,43,70,5,588,70,18,13,4,0,113,9933,1536,1500,115,46,13139,861,153,61,18,3,1095,1061,91,72,24,18,1264,54833,2855,2277,529,133,60630
CED217,15488,4736,2116,66,14,22419,12953,4200,2285,65,17,19518,3723,3511,4018,140,15,11405,159,341,332,0,0,838,16,47,164,4,0,230,933,715,511,38,6,2204,60,36,58,8,0,163,17,22,21,0,0,53,4903,4677,5103,188,27,14893,374,259,343,5,5,987,311,141,164,6,0,627,34035,14010,10003,334,62,58440
CED218,14764,1462,110,35,11,16379,23529,1986,170,5,15,25701,5980,1635,220,0,11,7840,416,66,39,0,0,523,76,52,67,0,0,199,1542,293,31,5,0,1880,252,48,4,59,3,371,60,19,0,3,0,80,8320,2113,373,71,14,10885,489,370,11,3,0,878,811,168,11,8,0,1000,47910,6100,677,111,42,54844
CED219,13726,872,291,25,5,14924,25763,750,230,7,16,26771,7984,1226,429,10,13,9658,404,167,80,0,0,660,97,113,18,0,0,233,1767,178,91,5,0,2049,193,58,17,19,0,283,57,15,3,0,0,84,10506,1761,637,35,12,12953,509,69,17,3,0,597,718,77,22,0,4,821,51226,3532,1201,68,38,56076
CED220,10765,4492,4221,79,20,19578,7980,3835,6032,46,12,17909,2566,3979,15938,168,19,22668,93,234,1032,0,0,1369,15,50,258,0,0,322,633,811,1819,42,10,3312,40,32,105,4,0,196,14,23,52,0,0,87,3360,5124,19213,215,36,27947,251,230,474,44,3,1004,208,150,337,11,5,713,22564,13834,30279,399,79,67153
CED221,9212,939,150,3,9,10320,29035,1856,110,0,13,31018,9050,1312,173,4,20,10557,440,86,34,0,0,560,73,27,24,0,0,129,1849,172,19,0,5,2052,332,39,6,0,0,381,66,12,0,0,0,78,11813,1649,259,0,23,13752,546,272,104,0,4,931,766,104,12,0,5,883,51370,4824,646,7,56,56904
CED222,18594,2101,1177,24,10,21908,15067,3764,2040,8,14,20889,8060,4920,3569,21,31,16602,636,446,335,0,0,1416,139,81,65,0,0,287,2244,816,456,9,12,3529,467,160,89,90,8,818,78,33,18,0,5,123,11616,6455,4534,121,43,22773,641,181,233,3,0,1058,769,215,130,5,0,1120,46683,12714,8112,168,67,67744
CED223,23728,716,74,230,30,24774,19494,346,48,51,33,19974,5947,1644,196,24,12,7822,1193,482,63,0,0,1747,133,105,6,0,0,248,2615,298,55,17,12,2997,526,49,21,47,13,660,71,27,0,0,0,95,10487,2606,341,96,39,13565,1089,93,12,16,22,1233,1064,271,19,75,13,1440,55857,4028,493,461,140,60982
CED224,13619,4403,1782,113,9,19921,16105,5297,2557,38,13,24004,3842,3989,3235,57,13,11138,235,274,307,0,0,820,47,77,116,0,0,247,913,667,421,27,9,2032,181,70,27,112,5,393,32,15,16,0,0,69,5254,5094,4121,195,28,14695,390,232,314,8,0,953,418,209,131,5,0,770,35786,15231,8912,363,50,60340
CED225,19532,1764,844,8,9,22156,18455,2443,875,9,8,21787,4904,2496,1826,13,20,9259,731,617,120,0,5,1477,79,133,121,0,0,334,1282,402,230,15,0,1930,229,49,17,0,5,306,24,20,9,0,0,57,7260,3724,2318,28,31,13360,500,173,140,4,6,820,429,108,50,0,3,584,46165,8219,4230,42,52,58707
CED226,16314,4723,2711,34,19,23794,11632,3355,3128,16,15,18153,3586,3583,7423,91,21,14702,31,26,178,0,0,236,19,90,82,0,0,191,836,652,909,33,7,2437,68,44,73,9,0,192,17,12,25,0,0,55,4568,4401,8692,128,25,17817,469,249,405,4,9,1135,301,99,176,8,4,578,33286,12836,15109,184,76,61481
CED227,11166,1127,92,73,10,12480,27743,996,45,6,18,28818,8480,1281,115,4,6,9895,198,72,36,0,0,306,23,62,3,0,0,93,1448,128,17,3,5,1599,180,25,0,51,0,261,39,5,4,0,0,53,10373,1577,178,61,15,12206,516,560,25,0,0,1104,638,121,9,0,0,772,50437,4390,350,153,46,55379
CED228,11381,1032,242,25,8,12689,27226,1870,279,0,14,29386,12854,2137,728,4,15,15734,449,104,40,0,0,598,104,48,31,0,0,184,1958,293,73,5,0,2327,298,39,12,3,0,347,92,10,3,0,0,109,15751,2634,888,13,16,19298,540,194,65,3,4,796,929,118,33,6,4,1079,55830,5850,1502,44,38,63257
CED229,4401,4983,7612,85,16,17095,3258,4464,11007,132,23,18888,1144,3859,27444,330,53,32829,9,596,1288,0,3,1892,3,66,572,4,6,662,380,890,3230,84,18,4602,33,39,196,8,7,279,12,17,98,0,0,120,1581,5467,32834,423,80,40388,135,247,760,11,10,1159,109,161,570,13,13,864,9483,15323,52785,664,146,78399
CED230,26413,812,275,354,65,27924,18424,251,93,55,23,18838,5516,1188,944,27,14,7704,1045,487,292,0,0,1832,178,103,159,0,0,446,3649,306,171,50,22,4192,827,65,60,177,31,1155,113,24,32,18,3,189,11330,2178,1659,275,74,15517,1594,119,87,36,15,1850,1260,110,81,61,17,1527,59020,3479,2202,784,195,65670
CED231,15376,3422,1394,36,9,20236,11727,4603,2625,24,8,18982,4184,4667,5525,66,10,14446,160,425,1684,0,0,2269,46,66,165,0,0,278,1003,679,637,26,3,2349,103,45,51,0,4,200,25,22,28,0,0,76,5522,5901,8081,91,21,19622,444,251,163,0,0,861,420,156,200,3,0,785,33489,14327,12466,154,44,60475
CED232,14209,856,44,21,4,15135,26818,797,55,3,14,27685,5673,811,117,3,6,6605,149,91,8,0,3,252,73,34,15,0,0,125,1296,147,10,6,3,1461,161,23,0,17,3,204,22,3,0,0,0,33,7379,1115,149,19,13,8680,488,217,3,0,4,710,606,55,0,11,6,682,49499,3036,257,54,47,52897
CED233,2186,5700,6459,59,20,14418,1673,5024,10187,87,15,16987,1162,6652,37169,226,112,45320,36,680,3865,0,0,4587,24,130,721,8,7,882,346,1798,4190,76,24,6435,17,87,467,14,16,597,5,18,130,0,4,156,1581,9373,46545,316,159,57975,93,364,1191,14,5,1670,57,178,754,8,26,1022,5587,20637,65139,478,229,92069
CED234,20368,3413,1403,5,8,25190,15402,3485,1663,4,12,20576,5475,3064,2873,11,20,11438,112,150,91,0,0,354,46,42,78,0,0,167,1306,527,405,0,3,2235,129,66,56,0,3,258,25,9,16,0,0,56,7101,3861,3516,11,26,14511,607,385,328,0,6,1323,435,145,91,0,9,676,43910,11286,6998,19,56,62272
CED235,22902,970,269,395,26,24570,18673,361,122,16,23,19199,5533,838,409,14,14,6801,587,387,133,4,0,1106,120,84,65,0,0,265,2432,179,85,11,10,2718,283,30,14,81,3,413,55,24,13,6,0,94,9007,1539,713,116,22,11397,864,118,73,37,3,1102,957,100,32,33,8,1134,52400,3092,1211,605,92,57402
CED236,21817,984,21,480,31,23337,19051,342,8,46,19,19472,5778,1878,49,26,15,7751,1246,600,15,0,0,1861,199,150,28,15,0,390,2958,328,9,43,15,3354,789,97,3,176,12,1069,95,47,0,6,0,149,11060,3101,109,274,40,14580,1103,143,0,110,6,1367,1120,184,3,67,6,1391,54153,4758,142,977,101,60137
CED237,15961,1241,331,3,6,17540,20307,2187,399,4,12,22905,7847,2622,960,4,6,11436,463,105,38,0,0,608,75,49,35,0,0,161,1597,291,107,0,8,2001,368,48,31,4,0,453,54,21,11,0,0,82,10399,3139,1175,8,12,14735,553,182,57,3,0,800,822,109,40,0,3,977,48044,6862,1999,18,35,56962
CED238,25136,920,130,164,36,26382,18225,380,83,53,21,18767,4667,1311,342,42,8,6374,970,432,102,3,0,1511,133,112,62,0,0,306,3122,319,77,25,17,3564,616,86,30,84,9,828,78,38,7,0,0,121,9591,2290,623,159,39,12702,1554,142,59,21,12,1794,967,122,18,20,5,1133,55477,3864,913,416,109,60779
CED239,14025,2711,1021,40,19,17818,11164,5384,2654,46,14,19262,5485,7116,5875,125,19,18625,340,507,316,0,5,1168,35,75,100,0,0,205,1601,998,700,44,4,3347,197,106,43,3,6,360,39,29,18,0,0,85,7694,8826,7060,171,35,23790,451,171,94,8,0,725,483,210,113,6,3,811,33821,17298,10942,269,71,62402
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
