CED_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
CED211,..,55,2999,7615,6906,6019,4964,3105,813,32463,..,314,2214,1237,981,586,304,118,15,5763,..,10,42,199,446,354,141,87,60,1332,14766,..,..,..,..,..,..,..,..,14766,..,4981,..,..,..,..,..,..,..,4981,..,3066,2163,654,464,221,29,0,0,6597,..,344,326,145,129,162,145,68,55,1366,..,218,334,107,84,64,27,12,0,853,..,410,833,266,201,230,169,66,10,2184,..,130,693,820,1023,1199,955,637,363,5812,146,189,159,117,101,66,56,33,13,886,14915,9711,9758,11159,10335,8890,6799,4120,1323,77009,..,108,4059,8183,6951,5881,4711,2450,380,32718,..,486,2330,1180,960,534,232,69,7,5799,..,47,381,1156,1820,1066,450,361,210,5505,14011,..,..,..,..,..,..,..,..,14011,..,4935,..,..,..,..,..,..,..,4935,..,2080,1495,359,257,136,42,0,0,4372,..,271,262,104,127,358,428,276,145,1973,..,170,187,76,46,32,16,3,3,540
CED212,..,36,2192,5422,5756,5169,4279,2419,575,25854,..,431,2740,1868,1381,879,339,140,20,7791,..,12,117,274,545,385,165,80,58,1636,14304,..,..,..,..,..,..,..,..,14304,..,3839,..,..,..,..,..,..,..,3839,..,3245,2051,702,414,200,37,0,0,6649,..,288,323,143,168,221,165,84,41,1437,..,190,274,134,108,69,40,10,0,825,..,265,520,257,282,300,199,87,16,1938,..,158,805,956,1328,1433,1223,700,328,6925,186,205,200,138,126,116,67,43,7,1079,14495,8668,9221,9904,10101,8775,6508,3563,1049,72280,..,81,3045,5997,5780,5103,3910,1846,303,26058,..,674,2960,1828,1329,756,312,81,18,7949,..,118,776,1577,1956,1094,440,280,215,6454,13683,..,..,..,..,..,..,..,..,13683,..,3949,..,..,..,..,..,..,..,3949,..,2088,1242,297,198,133,43,0,0,3998,..,254,197,70,144,308,376,229,145,1717,..,202,154,54,49,29,30,11,7,532
CED213,..,22,1468,3849,4899,5439,6241,4193,1104,27216,..,329,1902,1304,1253,979,624,249,44,6688,..,5,49,206,422,318,153,68,71,1294,11403,..,..,..,..,..,..,..,..,11403,..,3130,..,..,..,..,..,..,..,3130,..,2755,1380,516,436,177,28,0,0,5299,..,228,177,90,135,154,139,78,50,1044,..,137,172,72,81,47,32,20,3,565,..,164,312,121,161,215,194,99,18,1285,..,107,479,558,1036,1419,1490,1093,490,6666,146,208,179,159,147,202,172,80,26,1320,11556,7078,6129,6869,8571,8951,9073,5877,1811,65913,..,40,2009,4408,5280,5658,6091,3375,532,27399,..,516,2084,1332,1337,943,526,165,20,6914,..,73,520,1108,1731,849,375,319,166,5141,10668,..,..,..,..,..,..,..,..,10668,..,3326,..,..,..,..,..,..,..,3326,..,1808,914,270,203,149,38,0,0,3375,..,171,104,45,84,231,272,206,150,1264,..,135,103,36,37,38,21,3,3,385
CED214,..,122,3615,6407,5137,4652,3767,2101,565,26362,..,344,3201,1974,1146,663,247,58,20,7651,..,20,73,231,390,357,222,106,68,1464,13679,..,..,..,..,..,..,..,..,13679,..,4079,..,..,..,..,..,..,..,4079,..,2366,2818,1122,755,308,43,0,0,7405,..,740,971,353,321,440,273,110,60,3262,..,476,970,297,236,231,80,16,7,2310,..,1320,3534,948,502,397,196,71,17,6984,..,267,1543,1484,1433,1379,1136,586,272,8100,135,166,299,206,182,126,82,33,11,1226,13811,9888,17018,13024,10105,8560,6040,3079,1011,82534,..,316,5103,6624,5136,4175,3398,1423,241,26407,..,532,3417,1829,1003,486,150,30,5,7463,..,91,680,1614,2094,1294,684,493,302,7248,12684,..,..,..,..,..,..,..,..,12684,..,4284,..,..,..,..,..,..,..,4284,..,1772,2002,571,385,216,37,4,0,4985,..,665,674,216,290,582,607,381,224,3647,..,433,643,178,112,91,43,5,5,1521
CED215,..,85,4211,12500,7582,5054,3598,1787,447,35275,..,291,2581,1948,1308,719,251,71,7,7175,..,16,59,231,431,312,144,68,52,1308,21479,..,..,..,..,..,..,..,..,21479,..,4694,..,..,..,..,..,..,..,4694,..,2601,2023,587,393,177,32,0,0,5819,..,542,771,263,175,209,175,94,43,2275,..,297,629,171,90,68,39,8,3,1304,..,753,1572,430,231,201,129,46,0,3364,..,179,852,993,1079,1074,850,398,234,5662,142,140,183,120,118,92,73,34,6,893,21615,9585,12891,17241,11413,7899,5296,2514,782,89242,..,258,6688,12224,6959,4734,3137,1258,217,35463,..,471,2799,1926,1222,578,185,30,4,7215,..,69,623,1384,1753,952,399,285,202,5673,20176,..,..,..,..,..,..,..,..,20176,..,4859,..,..,..,..,..,..,..,4859,..,1764,1439,328,253,131,36,0,0,3949,..,417,406,155,202,468,537,256,129,2572,..,240,308,87,52,38,21,6,0,757
CED216,..,57,1889,3720,4159,5589,6227,3432,677,25746,..,604,2242,1273,1170,1070,666,190,28,7237,..,22,101,273,395,247,156,61,52,1307,12200,..,..,..,..,..,..,..,..,12200,..,2556,..,..,..,..,..,..,..,2556,..,2836,1283,535,402,200,33,0,0,5286,..,296,206,100,133,159,160,71,35,1157,..,193,173,98,79,71,49,14,0,683,..,306,430,185,198,300,251,102,12,1794,..,238,862,845,1190,1971,2173,1050,397,8720,192,203,202,142,162,179,204,88,16,1397,12396,7314,7388,7173,7887,9788,9922,5003,1221,68086,..,106,2579,4166,4673,6103,5776,2509,313,26220,..,930,2327,1298,1232,997,515,141,7,7448,..,200,982,1294,1392,736,351,286,179,5403,11507,..,..,..,..,..,..,..,..,11507,..,2630,..,..,..,..,..,..,..,2630,..,1821,704,260,180,122,32,0,0,3114,..,231,125,43,122,260,237,213,100,1319,..,203,138,45,41,26,14,11,6,476
CED217,..,15,1457,5748,7735,6619,4946,2799,796,30114,..,175,1874,1325,1177,751,437,143,38,5920,..,7,22,143,397,302,116,49,53,1099,13171,..,..,..,..,..,..,..,..,13171,..,6102,..,..,..,..,..,..,..,6102,..,2021,1575,396,290,171,34,0,0,4488,..,197,170,60,79,92,80,63,42,788,..,122,190,51,36,40,13,11,0,454,..,409,829,220,154,162,107,68,18,1963,..,181,670,717,878,1005,1014,661,391,5519,118,165,134,90,98,82,64,24,16,789,13291,9399,6926,8744,10849,9218,6823,3818,1343,70403,..,41,2180,6510,8227,6263,4538,2129,364,30254,..,271,2076,1308,1078,658,349,91,17,5836,..,10,141,798,1639,977,313,249,237,4361,12693,..,..,..,..,..,..,..,..,12693,..,5818,..,..,..,..,..,..,..,5818,..,1449,1203,205,180,125,43,0,0,3213,..,178,147,54,79,156,253,230,155,1256,..,107,149,38,32,22,11,5,4,361
CED218,..,63,3795,8970,7722,6363,4758,2099,346,34121,..,246,1686,1136,800,445,189,40,3,4540,..,12,69,239,394,327,142,82,41,1287,18386,..,..,..,..,..,..,..,..,18386,..,5823,..,..,..,..,..,..,..,5823,..,3825,3627,1061,510,130,22,0,0,9175,..,568,788,292,284,300,225,115,55,2623,..,206,410,191,143,107,49,12,0,1115,..,254,664,251,171,187,114,37,9,1692,..,122,618,698,745,696,600,348,121,3948,141,116,184,111,106,69,39,21,3,795,18524,11243,11848,12943,10873,8614,6131,2742,581,83503,..,231,5683,9417,7605,6007,3964,1222,162,34287,..,365,1799,1118,782,362,125,28,7,4582,..,73,697,1596,1995,1121,546,256,118,6399,17350,..,..,..,..,..,..,..,..,17350,..,6316,..,..,..,..,..,..,..,6316,..,2665,2537,515,242,113,28,5,0,6095,..,448,410,164,177,521,631,400,188,2943,..,177,271,90,46,47,24,3,3,659
CED219,..,72,3678,7075,5860,5116,4179,1760,315,28053,..,523,2792,1661,1171,633,261,91,7,7127,..,19,118,305,488,305,144,78,32,1493,17688,..,..,..,..,..,..,..,..,17688,..,3936,..,..,..,..,..,..,..,3936,..,3775,2301,734,400,125,20,0,0,7359,..,473,588,235,203,213,202,102,36,2055,..,239,306,161,120,91,44,11,3,970,..,228,484,241,179,206,188,59,7,1601,..,183,866,848,1005,1033,919,462,155,5472,172,166,211,151,120,76,63,34,8,998,17862,9621,11348,11403,9552,7792,6026,2595,564,76757,..,180,5164,7170,5774,4963,3730,1150,148,28279,..,793,2922,1626,1073,587,220,39,5,7265,..,197,1188,1697,1757,958,457,261,119,6635,17016,..,..,..,..,..,..,..,..,17016,..,4346,..,..,..,..,..,..,..,4346,..,2403,1451,343,185,105,23,0,0,4512,..,401,299,84,166,381,445,250,117,2132,..,260,207,60,49,35,19,7,0,635
CED220,..,36,2305,5487,5439,4712,3608,2344,683,24615,..,546,4536,1869,976,640,354,117,16,9050,..,0,15,131,268,228,100,60,43,847,9920,..,..,..,..,..,..,..,..,9920,..,4181,..,..,..,..,..,..,..,4181,..,1201,1134,297,301,137,29,0,0,3096,..,335,368,85,62,88,90,70,45,1136,..,153,360,65,16,25,9,11,0,645,..,1345,2715,474,213,153,122,60,14,5090,..,531,2644,1913,1380,1295,1105,731,332,9926,105,211,342,140,123,99,60,37,12,1131,10026,8551,14427,10460,8780,7358,5482,3426,1145,69655,..,71,3150,5655,5636,4534,3446,1815,299,24609,..,746,4464,1366,787,468,260,52,13,8153,..,8,148,646,1237,794,301,249,199,3580,9365,..,..,..,..,..,..,..,..,9365,..,4200,..,..,..,..,..,..,..,4200,..,1001,944,225,193,127,29,4,0,2513,..,402,449,101,82,193,206,183,140,1749,..,138,265,40,26,23,13,3,7,509
CED221,..,135,5154,10860,7320,5338,3331,1445,298,33887,..,551,2589,1486,948,598,213,67,8,6457,..,30,133,283,416,336,133,54,23,1404,22364,..,..,..,..,..,..,..,..,22364,..,5171,..,..,..,..,..,..,..,5171,..,3986,2813,733,308,95,21,0,0,7961,..,743,949,346,233,274,203,122,45,2908,..,381,584,269,154,113,42,15,0,1549,..,382,804,296,206,245,121,44,7,2101,..,114,737,769,840,788,576,332,107,4264,168,178,210,138,102,69,57,20,6,946,22530,11663,13965,15182,10522,7848,4699,2093,488,88998,..,414,7766,10638,6738,4684,2717,978,152,34092,..,824,2781,1372,907,482,171,43,3,6576,..,205,1019,1648,1768,956,382,204,93,6271,21001,..,..,..,..,..,..,..,..,21001,..,5745,..,..,..,..,..,..,..,5745,..,2808,1815,309,156,96,29,0,0,5215,..,537,493,129,195,584,608,350,153,3048,..,313,332,105,75,46,19,9,4,906
CED222,..,181,4515,8166,6876,5973,4901,3211,952,34768,..,411,2296,1164,793,551,252,79,14,5563,..,22,72,228,435,395,198,133,85,1570,15660,..,..,..,..,..,..,..,..,15660,..,5222,..,..,..,..,..,..,..,5222,..,2789,3264,1165,848,379,47,3,0,8495,..,910,1015,391,356,372,276,149,87,3560,..,716,1316,455,264,202,89,21,0,3059,..,1984,3585,741,428,379,250,71,11,7448,..,307,1112,914,1068,1223,1085,690,396,6799,119,200,238,142,132,103,79,47,19,1086,15785,12744,17407,13366,11202,9585,7168,4402,1558,93219,..,400,6225,8535,6931,5580,4578,2262,410,34923,..,624,2344,1138,734,465,189,45,8,5542,..,84,558,1413,2019,1351,697,595,422,7152,14567,..,..,..,..,..,..,..,..,14567,..,5326,..,..,..,..,..,..,..,5326,..,1948,2181,641,527,273,66,0,0,5636,..,774,630,219,270,589,707,491,290,3975,..,577,839,226,145,106,42,13,4,1945
CED223,..,61,1932,4090,4821,5927,6219,3298,733,27075,..,551,2118,1378,1320,1080,638,201,23,7306,..,19,82,266,435,284,150,90,55,1373,12496,..,..,..,..,..,..,..,..,12496,..,2751,..,..,..,..,..,..,..,2751,..,2608,1121,493,405,196,31,0,0,4848,..,268,195,84,113,161,154,102,46,1119,..,200,236,88,80,50,35,11,4,697,..,301,496,173,201,280,231,74,14,1771,..,235,764,767,1222,1922,1960,1061,391,8317,154,228,241,196,153,185,180,73,22,1443,12650,7215,7186,7529,8736,10074,9591,4922,1281,69191,..,127,2571,4678,5209,6349,5703,2474,322,27441,..,839,2200,1486,1361,1050,467,113,19,7539,..,143,788,1233,1379,656,332,317,185,5028,12136,..,..,..,..,..,..,..,..,12136,..,2901,..,..,..,..,..,..,..,2901,..,1589,636,246,197,139,30,0,0,2836,..,201,98,48,84,246,260,172,117,1216,..,213,130,40,37,33,34,7,7,501
CED224,..,57,2409,7116,7118,5686,4351,2458,698,29897,..,231,2358,1567,1123,689,326,100,23,6424,..,9,38,203,431,393,122,78,65,1334,14407,..,..,..,..,..,..,..,..,14407,..,4744,..,..,..,..,..,..,..,4744,..,2708,2149,604,432,204,40,0,0,6142,..,265,371,133,121,156,131,98,41,1320,..,160,265,107,75,39,24,8,5,679,..,314,745,311,252,229,157,84,13,2104,..,143,813,896,1201,1318,1066,717,361,6525,127,107,158,110,113,67,71,30,10,789,14537,8737,9309,11040,10876,8795,6292,3576,1211,74368,..,138,3435,7725,7286,5426,3899,1856,327,30085,..,354,2575,1538,1103,587,251,73,13,6492,..,40,336,1117,1828,991,432,336,248,5318,13839,..,..,..,..,..,..,..,..,13839,..,4915,..,..,..,..,..,..,..,4915,..,1944,1434,363,238,149,42,0,0,4172,..,264,231,75,97,338,392,299,198,1907,..,137,163,55,34,36,10,10,0,457
CED225,..,24,2187,6688,6917,5953,5226,2940,707,30641,..,215,2322,1489,1085,707,371,92,14,6298,..,7,41,197,394,356,148,86,51,1282,14021,..,..,..,..,..,..,..,..,14021,..,4884,..,..,..,..,..,..,..,4884,..,2720,2129,683,494,225,29,0,0,6295,..,238,283,89,102,155,133,84,46,1133,..,146,249,71,47,43,21,4,6,589,..,420,897,261,220,210,139,56,13,2212,..,120,609,714,896,1076,999,624,296,5339,137,164,166,132,107,90,59,33,16,901,14163,8950,8883,10331,10250,8827,7130,3914,1151,73595,..,57,3039,7265,6916,6068,4912,2211,357,30821,..,328,2532,1475,1044,629,305,54,10,6384,..,44,272,953,1589,1025,462,345,220,4906,13502,..,..,..,..,..,..,..,..,13502,..,4859,..,..,..,..,..,..,..,4859,..,1850,1524,351,235,160,36,0,0,4164,..,258,214,67,92,232,291,225,139,1525,..,140,163,66,38,30,13,4,0,459
CED226,..,25,1817,5757,7475,6827,5192,2918,873,30882,..,350,2553,1071,765,561,290,122,21,5724,..,6,22,157,369,260,114,63,49,1042,12487,..,..,..,..,..,..,..,..,12487,..,6803,..,..,..,..,..,..,..,6803,..,1775,1816,361,280,166,21,0,0,4420,..,354,341,88,60,101,81,60,55,1137,..,190,318,58,45,27,15,3,0,657,..,1119,1625,283,165,151,125,53,21,3532,..,384,1107,907,776,875,861,595,392,5899,100,242,215,83,87,66,74,39,12,929,12595,11244,9810,8760,10028,9032,6782,3844,1421,73519,..,52,2518,6524,8075,6515,4847,2269,384,31186,..,503,2563,1061,687,441,240,62,15,5576,..,16,135,921,1690,935,314,234,214,4462,12081,..,..,..,..,..,..,..,..,12081,..,6690,..,..,..,..,..,..,..,6690,..,1429,1422,251,211,147,26,0,0,3486,..,365,314,92,87,260,323,239,192,1870,..,263,215,41,37,26,17,5,3,600
CED227,..,79,4456,9226,6821,4916,3563,1979,393,31425,..,571,2954,1396,1031,660,244,113,11,6973,..,14,107,229,395,259,94,58,22,1177,19260,..,..,..,..,..,..,..,..,19260,..,4651,..,..,..,..,..,..,..,4651,..,3575,1829,442,245,93,17,0,0,6210,..,440,596,208,145,161,156,89,43,1835,..,275,448,151,82,47,25,7,0,1032,..,235,536,201,176,148,98,30,3,1437,..,127,704,679,799,802,632,405,169,4323,151,207,209,120,96,64,52,31,3,933,19416,10181,11840,12651,9785,7160,4874,2703,649,79263,..,207,6260,9227,6525,4572,3322,1389,183,31685,..,843,3023,1347,1006,556,195,55,4,7041,..,157,907,1376,1599,737,290,183,82,5330,18551,..,..,..,..,..,..,..,..,18551,..,4894,..,..,..,..,..,..,..,4894,..,2310,1251,240,145,92,24,0,0,4056,..,376,310,73,145,403,454,285,124,2180,..,233,223,58,38,31,12,9,6,613
CED228,..,134,6119,13225,6839,5153,3526,1442,236,36668,..,555,2400,1387,912,550,238,44,6,6093,..,24,136,339,427,308,144,64,19,1460,23607,..,..,..,..,..,..,..,..,23607,..,5166,..,..,..,..,..,..,..,5166,..,3503,2543,700,312,122,14,0,0,7197,..,921,1205,350,212,242,227,100,40,3288,..,540,866,250,134,84,26,9,0,1912,..,975,1636,438,269,210,137,48,6,3710,..,220,1001,1027,969,941,696,349,126,5319,157,163,244,138,92,64,38,27,3,926,23759,12197,16148,17847,10162,7675,5036,2080,444,95343,..,391,9663,12116,6090,4731,2926,915,110,36937,..,757,2569,1329,827,477,160,32,0,6160,..,196,1128,1790,1809,1067,404,204,106,6698,22521,..,..,..,..,..,..,..,..,22521,..,5307,..,..,..,..,..,..,..,5307,..,2307,1746,379,166,86,13,0,0,4702,..,703,615,187,232,630,592,258,137,3361,..,377,485,114,52,39,27,8,0,1110
CED229,..,69,2873,5457,4487,3798,3227,1735,446,22090,..,713,5884,3013,1622,970,490,158,21,12874,..,4,26,155,331,253,91,43,27,926,9355,..,..,..,..,..,..,..,..,9355,..,2868,..,..,..,..,..,..,..,2868,..,906,789,284,226,98,15,0,0,2323,..,400,437,117,58,73,68,37,20,1209,..,168,384,79,28,23,11,6,0,696,..,1596,3697,802,324,244,192,72,20,6945,..,766,3728,3036,2371,2077,1495,700,252,14424,107,162,333,247,172,154,90,33,11,1307,9468,7661,18152,13184,9622,7684,5679,2785,800,75029,..,158,3827,5554,4461,3659,2896,1236,202,21983,..,1025,6123,2285,1245,704,348,76,13,11815,..,16,190,800,1321,766,285,189,122,3685,9009,..,..,..,..,..,..,..,..,9009,..,2871,..,..,..,..,..,..,..,2871,..,698,624,182,133,93,15,0,0,1747,..,436,465,110,86,114,152,116,64,1551,..,144,331,59,26,11,9,0,0,580
CED230,..,85,2355,4150,4795,6320,6085,3584,887,28254,..,637,2222,1226,1119,961,544,152,21,6883,..,23,106,269,401,295,155,91,59,1398,13421,..,..,..,..,..,..,..,..,13421,..,2700,..,..,..,..,..,..,..,2700,..,3052,1400,533,471,234,42,5,0,5729,..,432,329,121,151,214,197,92,49,1584,..,242,345,181,122,86,41,18,6,1034,..,475,772,365,353,348,287,109,18,2722,..,323,996,877,1399,2329,2265,1276,571,10027,169,247,245,177,175,183,197,72,15,1477,13590,8205,8771,7904,8981,10970,9809,5382,1619,75232,..,163,3116,4562,5363,6516,5657,2699,423,28501,..,984,2239,1253,1153,879,428,98,8,7042,..,197,1074,1331,1359,717,346,307,221,5563,12900,..,..,..,..,..,..,..,..,12900,..,2905,..,..,..,..,..,..,..,2905,..,1736,739,211,203,163,34,0,0,3086,..,311,175,65,129,284,283,199,94,1533,..,218,239,98,62,42,28,4,3,701
CED231,..,46,2359,6045,5944,4972,4119,2685,789,26965,..,319,2892,1638,979,592,261,79,13,6776,..,5,21,169,403,298,137,86,82,1199,12066,..,..,..,..,..,..,..,..,12066,..,4297,..,..,..,..,..,..,..,4297,..,2256,2052,636,589,242,49,0,0,5830,..,322,407,102,139,171,159,84,43,1442,..,201,295,51,58,40,22,10,3,680,..,812,1533,406,203,171,136,55,11,3324,..,237,1358,1236,1231,1280,1043,610,300,7286,154,153,247,169,97,97,88,31,17,1048,12219,8652,11174,10458,9641,7860,6016,3639,1259,70911,..,112,3237,6434,6017,4891,4037,2017,289,27033,..,478,2991,1492,856,510,198,48,0,6570,..,34,333,951,1512,935,431,402,283,4878,11421,..,..,..,..,..,..,..,..,11421,..,4332,..,..,..,..,..,..,..,4332,..,1587,1452,358,340,205,40,3,0,3978,..,300,328,130,138,268,309,265,173,1900,..,134,221,56,9,19,15,4,0,466
CED232,..,50,3432,7789,6746,5591,4271,2093,284,30254,..,402,2391,1651,1292,785,336,103,5,6969,..,11,61,220,426,304,127,56,27,1227,17710,..,..,..,..,..,..,..,..,17710,..,4397,..,..,..,..,..,..,..,4397,..,3525,1856,515,296,96,15,0,0,6306,..,326,375,131,120,160,149,79,34,1374,..,185,232,105,86,65,34,6,3,717,..,153,282,119,120,162,106,46,8,998,..,108,543,577,753,804,707,407,138,4028,171,196,181,95,105,94,76,43,10,970,17882,9356,9353,11192,9951,8058,5823,2829,500,74949,..,127,4747,8022,6705,5376,3981,1407,132,30499,..,562,2531,1676,1299,672,246,53,4,7044,..,75,649,1241,1643,804,324,186,83,5007,16641,..,..,..,..,..,..,..,..,16641,..,4694,..,..,..,..,..,..,..,4694,..,2306,1225,250,170,87,20,0,0,4058,..,236,186,69,120,305,390,208,110,1624,..,178,170,56,47,34,21,7,0,508
CED233,..,123,3748,5075,3307,2857,2243,1173,306,18837,..,1602,8858,3494,1427,857,419,123,6,16790,..,11,34,165,270,232,96,40,37,880,7436,..,..,..,..,..,..,..,..,7436,..,1985,..,..,..,..,..,..,..,1985,..,742,780,255,213,123,14,0,0,2129,..,941,826,157,75,96,70,40,13,2225,..,329,861,148,49,21,13,8,3,1429,..,4846,8051,1373,391,233,111,45,6,15064,..,2334,6112,3723,2167,1756,1168,534,166,17954,126,458,746,320,193,120,82,26,9,2093,7561,13375,30014,14710,8082,6306,4220,1996,552,86812,..,218,4710,4861,3293,2625,1994,814,130,18647,..,2182,8672,2588,1060,596,278,61,4,15433,..,48,301,891,1229,711,286,191,178,3836,7283,..,..,..,..,..,..,..,..,7283,..,2202,..,..,..,..,..,..,..,2202,..,592,630,167,143,95,23,0,0,1656,..,1091,924,226,107,196,182,128,84,2923,..,379,760,89,27,16,8,3,0,1275
CED234,..,53,2735,7431,7663,7224,5764,4142,1299,36307,..,301,1664,950,738,523,251,101,16,4537,..,9,32,141,394,322,157,94,91,1243,14109,..,..,..,..,..,..,..,..,14109,..,6055,..,..,..,..,..,..,..,6055,..,2664,2583,732,630,267,38,0,0,6919,..,403,380,146,132,171,184,102,61,1574,..,254,378,143,99,43,29,14,0,952,..,583,1118,324,238,189,121,55,15,2651,..,239,773,666,808,874,675,677,407,5123,98,144,156,121,88,75,66,47,14,809,14204,10706,9814,10650,10797,9680,7282,5224,1901,80270,..,92,3787,8193,7918,7129,5600,3279,567,36567,..,402,1795,905,725,418,184,64,5,4499,..,16,277,1043,1725,1061,456,448,273,5298,13319,..,..,..,..,..,..,..,..,13319,..,5789,..,..,..,..,..,..,..,5789,..,1969,1945,498,408,216,50,5,0,5100,..,329,306,121,128,456,516,436,274,2563,..,187,285,103,64,45,23,9,3,713
