CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED211,68576,73240,141818,1045,1061,2103,99,107,205,6956,7308,14268,56,67,124,27,33,58,21,28,46,26,22,45,18,18,33,12,14,25,0,0,0,7214,7593,14809,409,452,864,114,103,211,8786,9202,17987,2592,2945,5535,79953,85390,165342
CED212,63510,66514,130020,1602,1773,3376,102,99,199,6430,7023,13449,95,107,204,14,18,24,32,40,69,13,20,36,13,18,24,10,16,18,0,0,0,6701,7336,14033,316,298,619,159,149,309,8774,9557,18328,3939,3885,7824,76223,79955,156182
CED213,58877,63179,122060,2050,2257,4307,246,204,452,5542,5988,11532,235,171,407,34,27,55,106,64,166,34,17,51,41,37,73,26,19,41,0,0,3,6250,6523,12780,225,252,477,128,97,225,8655,9129,17778,4407,4763,9167,71937,77068,149003
CED214,68995,69001,137992,2448,2362,4816,245,200,446,9004,8713,17719,132,129,260,56,74,121,31,44,72,55,52,106,23,25,47,17,25,36,0,0,0,9559,9259,18817,656,729,1389,270,207,478,12946,12554,25500,5783,5086,10865,87717,86641,174359
CED215,73964,75364,149328,2835,2774,5611,334,316,652,9697,9473,19171,156,170,326,129,128,253,76,85,159,45,49,86,34,27,57,46,40,85,0,0,3,10516,10279,20797,846,922,1770,196,146,346,14391,14132,28517,5304,4125,9427,93661,93621,187276
CED216,59589,61574,121163,3050,3315,6364,287,289,571,4883,5190,10072,209,217,423,50,37,89,66,62,124,39,46,83,40,34,74,71,51,124,0,0,0,5640,5915,11559,199,198,396,176,161,335,9064,9588,18655,6862,6130,12996,75514,77293,152812
CED217,60551,65825,126380,1829,1916,3745,171,212,384,7465,7801,15266,118,129,242,29,36,63,46,41,88,31,14,45,13,14,29,29,27,59,0,0,0,7906,8281,16185,742,789,1531,88,106,195,10564,11086,21653,2488,2848,5335,73600,79762,153365
CED218,72824,74170,146992,1170,1198,2365,117,127,243,7518,7480,15002,93,91,184,40,47,84,25,20,51,27,34,60,11,10,19,10,6,14,0,0,0,7844,7815,15661,477,525,1003,127,101,228,9614,9639,19258,5658,3957,9618,88097,87767,175869
CED219,65679,67620,133293,1881,2150,4033,154,159,308,7348,7783,15130,123,144,268,42,41,85,29,24,54,34,46,76,19,23,40,9,5,13,0,0,0,7755,8224,15975,352,339,696,135,116,251,10125,10835,20960,4388,4417,8807,80187,82866,163056
CED220,55922,60371,116294,2261,2414,4675,378,487,862,10588,11457,22045,244,301,548,74,90,169,113,146,263,62,69,124,27,30,54,55,60,114,0,0,0,11540,12640,24181,840,912,1750,140,141,283,14784,16111,30891,3084,3402,6485,73792,79882,153673
CED221,75330,75581,150911,1411,1423,2833,152,155,308,9723,9777,19504,88,116,203,47,43,88,33,39,74,33,32,64,12,12,23,15,13,23,0,0,0,10108,10193,20297,593,716,1305,197,152,352,12305,12482,24786,4291,4129,8422,91928,92196,184123
CED222,78041,78630,156675,2557,2335,4898,204,208,407,10778,9625,20399,147,160,305,84,60,148,51,56,109,40,46,93,30,36,64,33,36,71,0,0,0,11364,10224,21589,868,917,1784,264,174,439,15056,13649,28712,4199,3869,8069,97296,96159,193455
CED223,61022,63287,124314,2890,3097,5985,967,1045,2016,4591,4891,9478,422,399,821,92,72,159,84,83,163,47,37,85,71,79,144,59,58,120,0,0,0,6332,6656,12991,213,202,416,154,176,328,9589,10131,19724,5650,5436,11083,76264,78855,155120
CED224,65422,69666,135086,1593,1694,3296,110,124,228,6392,6859,13253,88,88,175,19,34,55,32,26,61,13,17,26,6,5,10,13,18,35,0,0,0,6675,7164,13840,450,502,952,160,122,274,8882,9480,18368,2617,2679,5298,76917,81831,158746
CED225,65899,69425,135323,1262,1331,2593,177,169,347,6009,6553,12564,166,118,284,45,26,75,45,42,88,17,24,40,19,19,39,41,28,69,0,0,0,6518,6982,13499,391,398,784,83,89,168,8251,8797,17048,2426,2405,4835,76582,80627,157208
CED226,63262,69614,132872,1624,1755,3376,236,264,499,8617,9131,17744,124,154,277,70,61,132,78,72,150,45,43,89,24,18,46,44,40,88,0,0,0,9235,9791,19027,843,892,1739,115,114,226,11811,12554,24371,2391,2553,4941,77463,84722,162187
CED227,66523,68766,135285,1546,1700,3247,125,133,258,9341,9618,18963,106,106,207,32,44,78,32,32,62,28,31,60,29,24,54,10,10,23,0,0,0,9707,9995,19698,370,407,769,153,102,256,11769,12206,23974,3743,3878,7620,82026,84850,166880
CED228,77296,77293,154596,2241,2354,4596,405,364,768,12229,11907,24135,184,208,391,123,117,236,61,65,124,81,74,154,49,61,106,26,31,58,0,0,0,13152,12820,25972,871,914,1787,242,206,445,16508,16290,32806,5534,5148,10678,99339,98739,198076
CED229,56376,59040,115413,3553,3843,7391,554,626,1173,13529,14310,27830,394,441,834,123,118,243,142,180,315,62,82,149,36,48,84,84,86,168,0,0,0,14916,15877,30798,1271,1317,2594,271,211,483,20011,21254,41269,4914,4921,9833,81304,85212,166517
CED230,66340,67308,133645,3213,3517,6736,435,479,919,4215,4418,8636,171,166,335,218,196,415,47,48,95,28,41,67,44,57,106,13,24,32,0,0,0,5175,5425,10603,334,210,547,175,150,328,8896,9316,18209,7259,6847,14110,82496,83466,165964
CED231,60517,64050,124565,1779,1850,3633,180,180,361,7489,7822,15312,136,148,287,56,66,115,37,51,88,20,30,47,18,23,37,31,34,64,0,0,0,7960,8348,16311,561,515,1072,143,132,276,10439,10850,21287,2940,2996,5936,73899,77892,151790
CED232,64430,65794,130227,1986,2118,4102,124,133,258,7386,7584,14969,118,131,252,34,42,82,29,29,60,12,21,30,16,20,34,20,27,49,0,0,5,7751,7986,15736,257,305,556,125,96,214,10115,10493,20612,3386,3437,6824,77935,79724,157660
CED233,57031,58912,115939,5124,5424,10556,1207,1414,2621,22539,23375,45910,762,894,1656,342,390,734,438,444,884,204,230,437,93,126,223,233,269,504,0,0,4,25825,27148,52982,2323,2377,4704,376,324,692,33649,35285,68935,6965,6548,13512,97641,100743,198382
CED234,70282,74702,144978,1486,1544,3031,154,180,339,7548,7862,15416,94,97,192,54,68,117,32,34,65,34,41,70,9,12,21,28,28,57,0,0,0,7964,8321,16281,763,824,1583,107,114,225,10316,10805,21118,2533,2784,5317,83124,88289,171414
CED235,56657,58977,115634,3078,3532,6607,118,134,249,5289,5683,10971,125,149,281,18,29,55,49,47,97,22,27,50,24,18,38,15,9,23,0,0,0,5659,6102,11763,176,207,385,150,128,279,9060,9968,19036,5000,5185,10184,70712,74138,144848
CED236,62981,63541,126516,2853,3102,5959,601,636,1241,4809,5019,9831,236,213,448,60,63,127,105,44,158,48,53,104,51,45,93,32,21,56,0,0,0,5943,6099,12045,261,296,555,186,142,334,9245,9641,18888,6424,6029,12455,78651,79213,157857
CED237,70796,71820,142616,1285,1243,2522,146,143,287,7221,6950,14162,83,74,157,32,29,61,32,33,64,29,21,45,15,29,43,19,17,34,0,0,0,7571,7293,14860,450,471,915,128,108,236,9431,9103,18540,3582,3574,7154,83813,84501,168308
CED238,61261,62708,123971,3152,3445,6597,171,174,354,4201,4561,8762,179,176,355,124,140,263,53,51,101,32,36,64,44,46,88,11,4,10,0,0,0,4810,5179,9994,236,214,450,167,129,293,8366,8962,17330,6468,5300,11772,76096,76974,153066
CED239,59472,62486,121956,1935,1913,3849,345,381,727,9821,10471,20291,190,239,429,67,83,152,63,80,141,69,72,141,41,47,90,57,66,127,0,0,0,10657,11445,22098,592,723,1309,187,170,353,13372,14245,27612,3401,3377,6776,76241,80108,156348
CED294,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
CED297,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
