CED_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
CED211,229,448,417,515,545,649,1176,991,283,5248,124,392,455,573,619,739,1392,1402,851,6550,143,538,720,870,888,813,1129,840,375,6328,51,457,793,917,927,856,778,463,161,5421,35,506,1130,1113,1143,888,611,281,126,5826,15,490,1459,1259,1313,1078,482,165,65,6322,5,266,1260,1129,1006,720,266,85,26,4762,5,89,1125,1056,944,662,176,68,27,4145,0,24,654,864,720,406,115,21,10,2812,0,15,713,1411,1154,639,141,27,15,4115,0,0,71,263,223,111,23,18,5,708,0,5,75,251,302,124,31,21,12,821,119,171,411,430,381,361,425,582,798,3675,4525,4485,10537,12488,11659,10236,8845,5914,3066,71749,4344,780,1053,1302,1118,1808,1596,608,196,12804,2382,512,302,417,367,562,664,275,87,5560,1170,1015,540,613,590,839,1172,696,220,6867,413,794,715,759,802,1006,1966,1837,594,8890,291,740,770,818,902,1116,2153,2053,1170,10014,346,1098,1125,1190,1205,1266,1882,1423,560,10096
CED212,243,386,453,494,528,693,1252,847,227,5115,166,392,484,618,653,796,1562,1285,726,6686,139,556,833,890,913,950,1046,637,297,6260,68,519,974,1074,976,912,671,330,112,5642,34,528,1278,1232,1250,1059,454,187,80,6099,17,423,1372,1272,1325,1059,380,117,34,5997,3,176,1183,961,960,662,225,46,20,4231,4,67,882,859,856,545,170,55,24,3454,3,14,470,628,625,376,94,22,13,2235,0,19,517,923,930,464,116,33,7,3021,0,0,52,168,155,97,25,7,6,516,4,3,48,231,223,128,60,33,6,730,292,255,632,648,584,458,487,500,477,4329,4384,4242,10217,11301,11209,10020,8033,4724,2215,66354,3870,664,893,927,997,1474,1067,416,129,10435,2009,329,217,299,259,429,487,188,65,4284,1141,790,510,531,543,774,948,507,144,5888,425,710,750,774,858,1138,2171,1626,446,8899,373,674,765,858,971,1233,2492,1927,1021,10314,399,968,1158,1168,1272,1441,1823,1162,447,9838
CED213,181,281,362,388,511,733,1649,1392,318,5815,138,311,422,513,602,898,1904,1689,882,7367,160,434,600,795,857,1040,1607,1084,381,6954,104,443,723,823,936,1018,1023,573,155,5806,61,454,816,873,1161,1017,750,353,105,5589,33,258,889,851,1169,1025,612,244,62,5138,11,138,730,642,846,709,355,124,36,3584,11,37,574,613,770,565,256,117,36,2979,0,18,274,390,505,391,175,60,21,1825,0,18,307,614,809,575,248,90,24,2686,0,3,42,125,172,119,64,30,12,571,8,0,41,199,309,298,171,84,38,1149,280,223,413,494,641,660,830,875,798,5226,3900,3213,6944,8298,10404,10995,11638,7697,3161,66247,2941,354,518,670,858,1511,1332,577,203,8964,2037,236,143,223,234,464,646,337,101,4416,912,577,402,390,506,770,1287,817,246,5909,331,514,541,572,758,1164,2891,2627,745,10135,334,566,616,680,906,1363,3104,2681,1335,11583,434,786,815,1007,1194,1581,2759,2003,607,11184
CED214,207,584,888,662,830,1158,1629,1036,327,7321,98,563,839,648,746,805,1455,1174,684,7011,82,645,1256,896,876,665,608,334,186,5550,40,562,1335,969,889,698,425,147,47,5116,31,589,1702,1150,1045,700,254,84,44,5594,11,503,1946,1196,935,620,167,40,11,5415,4,300,1694,1046,652,400,95,15,4,4217,0,98,1395,1012,642,316,76,24,7,3574,0,40,922,802,470,216,50,6,5,2505,0,27,1170,1450,850,368,37,8,0,3905,0,4,158,316,180,66,11,0,0,733,0,7,123,359,291,88,19,0,4,892,300,461,1297,868,666,561,516,431,450,5553,4128,5938,17067,13541,10976,9081,7083,4074,2148,74038,4304,1229,2260,1914,1699,2212,1671,677,332,16296,1411,521,396,347,303,378,392,177,60,3991,1000,1317,1025,887,920,1328,1088,594,218,8368,358,1089,1603,1168,1461,1982,3051,2129,666,13498,206,1077,1513,1068,1209,1446,2429,1771,956,11668,179,1338,2280,1442,1419,1185,1155,607,282,9899
CED215,197,443,579,658,535,687,1010,663,198,4966,119,379,617,672,514,543,1011,871,501,5222,90,470,905,998,730,643,655,371,176,5042,63,470,1071,1171,835,640,456,218,81,5015,21,493,1469,1540,1012,695,339,115,51,5736,14,431,1701,1719,1217,756,281,62,20,6197,0,196,1465,1555,988,542,135,28,10,4929,0,94,1250,1492,973,506,105,31,9,4459,0,26,804,1154,765,402,70,11,9,3242,0,20,1066,2120,1361,590,75,17,6,5253,0,6,141,484,322,141,22,3,0,1125,4,0,129,567,541,173,27,10,5,1451,251,274,937,888,568,399,341,317,304,4276,4611,4509,14639,17954,12142,8759,6207,3347,1573,73730,4740,1008,2193,2344,1527,1891,1698,545,138,16082,1966,483,387,475,366,393,396,164,64,4695,1060,921,748,803,626,697,837,429,133,6265,358,800,950,964,813,1094,1824,1319,411,8537,264,735,985,967,798,870,1659,1319,723,8331,265,986,1461,1419,1070,999,1155,650,260,8267
CED216,207,280,522,454,642,1194,2266,1265,245,7068,184,302,561,598,692,1181,2103,1544,650,7823,181,466,848,873,947,1182,1335,751,287,6862,97,508,998,934,968,1052,814,386,110,5866,79,514,1022,966,1014,1006,526,222,82,5422,32,325,1045,954,996,879,423,122,44,4816,11,180,723,594,666,582,204,52,22,3034,3,97,592,536,600,469,146,54,8,2509,0,29,319,321,411,303,95,23,9,1515,0,19,258,447,544,413,82,23,13,1803,0,0,30,61,88,63,36,7,0,286,0,3,43,92,130,101,50,33,17,460,408,319,717,742,734,838,966,786,639,6152,3991,3587,8700,8565,9611,11735,10956,5982,2340,65464,2875,387,697,685,857,1960,1398,446,169,9466,1814,205,250,206,277,580,613,228,66,4242,931,543,671,593,673,1239,1378,664,163,6850,357,526,872,756,1073,1990,4278,2621,555,13041,419,542,847,907,1145,1965,3862,2592,957,13234,478,819,1161,1220,1369,1855,2513,1418,458,11291
CED217,247,436,236,272,389,542,728,630,239,3711,128,424,253,305,486,590,960,914,664,4733,76,449,359,425,618,617,896,669,369,4482,49,338,462,508,691,712,748,471,211,4189,24,316,609,640,816,840,712,353,151,4463,14,361,923,811,979,976,709,292,84,5157,5,201,1014,769,953,799,447,160,65,4416,3,84,928,836,1027,760,339,136,60,4174,5,40,628,744,842,616,244,102,43,3265,6,28,877,1685,1824,1064,325,139,71,6016,4,3,175,508,591,310,106,48,18,1772,3,15,165,1102,1618,655,219,112,56,3934,185,130,356,407,475,375,449,504,655,3541,4928,3915,7680,10378,12790,10487,8502,5344,3131,67140,4986,764,666,1119,1215,1307,1158,575,337,12120,2649,623,191,231,330,471,490,250,145,5379,1050,1084,308,342,440,554,809,519,212,5320,453,873,443,398,574,799,1222,1111,418,6284,254,800,442,451,679,873,1489,1366,928,7284,207,894,639,601,826,946,1443,1049,512,7123
CED218,248,506,585,693,701,992,1646,696,196,6256,169,424,627,699,687,749,1255,858,398,5871,102,517,869,1065,960,804,558,259,120,5259,80,503,1064,1294,1163,800,421,161,41,5526,46,612,1402,1389,1377,814,252,85,40,6025,18,498,1588,1422,1280,748,186,26,14,5776,14,298,1280,1161,895,495,119,20,0,4276,3,92,1019,934,755,406,61,9,3,3293,0,31,556,709,518,265,46,9,0,2139,0,23,599,967,759,269,37,4,0,2663,4,4,63,162,134,49,11,5,5,426,0,11,40,149,146,50,17,13,0,419,332,343,1004,873,647,462,403,220,113,4400,5680,5374,12960,14122,12050,9556,6828,3013,1133,70721,5854,1266,2005,2054,1721,2396,1924,623,177,18019,2168,610,344,436,339,420,415,145,41,4920,1279,1146,835,929,789,1056,999,454,125,7615,420,915,955,1032,1060,1534,3007,1672,367,10958,353,858,980,1038,1000,1115,2009,1318,583,9259,285,1041,1388,1487,1337,1197,1035,506,172,8446
CED219,235,457,603,614,577,800,1361,639,123,5404,147,420,735,656,664,736,1411,856,407,6031,110,520,1147,1000,926,850,851,393,174,5967,88,541,1306,1151,948,760,531,190,52,5576,60,619,1495,1357,1173,848,332,119,62,6068,18,484,1562,1344,1140,775,258,44,14,5640,10,232,1196,998,853,526,150,23,6,3987,0,78,924,831,687,432,100,21,12,3089,0,30,451,583,476,294,58,8,3,1900,5,15,437,827,705,329,50,10,0,2380,0,5,47,89,99,46,8,0,0,294,3,9,40,95,119,63,23,12,12,377,329,318,835,774,610,452,482,350,218,4374,4878,4785,12908,12369,10535,8961,7077,3130,1205,65850,4474,807,1688,1600,1266,1813,1288,364,104,13414,1898,333,342,370,301,389,386,136,19,4182,1199,908,814,706,599,754,848,339,97,6265,414,803,999,941,926,1227,2545,1371,274,9489,378,746,1077,932,1015,1104,2301,1402,567,9524,385,989,1590,1340,1245,1214,1531,719,257,9264
CED220,217,592,353,252,343,381,619,550,211,3517,98,523,396,289,358,450,761,815,473,4173,88,716,703,392,449,536,649,520,220,4285,47,556,876,514,475,457,528,329,113,3892,34,600,1267,616,640,575,552,300,111,4700,19,766,2017,873,729,776,551,252,89,6073,5,424,2343,871,705,607,424,183,50,5623,3,174,2192,985,724,625,353,159,49,5263,0,60,1438,912,692,544,271,116,42,4076,4,46,2131,2033,1423,959,385,161,66,7208,0,11,354,607,532,275,148,55,42,2021,0,20,338,1275,1486,783,368,176,90,4538,144,311,813,505,459,374,432,432,547,4023,3700,6252,16309,11258,10165,8617,7177,4763,2428,70670,3663,1094,1164,1023,971,1061,874,514,227,10595,1669,596,235,204,261,366,345,208,89,3969,728,1109,445,312,362,500,568,437,215,4678,345,1093,664,416,538,626,976,1024,386,6071,181,970,665,450,556,751,1172,1204,659,6616,178,1291,1266,601,671,797,1105,859,342,7109
CED221,262,565,751,694,582,692,1111,577,156,5388,166,501,868,785,633,621,1064,712,368,5714,143,665,1324,1224,912,724,584,295,100,5964,87,714,1582,1611,1116,771,337,145,33,6392,75,794,2102,1856,1405,822,237,51,17,7365,22,563,2014,1844,1414,772,156,32,14,6824,6,221,1376,1249,800,497,96,12,4,4258,0,79,983,965,629,325,60,11,4,3060,0,28,454,590,409,199,35,4,0,1722,0,22,432,746,493,195,27,4,0,1918,0,3,46,100,56,28,9,0,0,236,5,7,32,74,67,24,10,8,3,218,329,382,947,781,586,452,360,241,175,4252,5709,6183,15965,15419,11011,8289,5434,2591,1031,71631,6032,1419,2557,2253,1545,2100,1501,502,153,18074,1783,487,441,478,343,341,271,84,14,4244,1279,1104,945,920,655,763,723,293,91,6772,460,947,1120,1026,892,1190,2011,1228,306,9177,325,918,1277,1117,931,979,1683,1169,513,8912,396,1212,1853,1725,1242,1121,1026,524,149,9238
CED222,244,724,740,665,763,1081,1814,1311,414,7764,147,694,813,695,823,913,1566,1580,1028,8266,92,718,1199,961,962,819,798,523,315,6393,71,638,1433,1229,1126,896,535,299,115,6343,40,710,1940,1417,1324,931,442,155,74,7029,9,572,1948,1360,1189,831,250,64,29,6262,3,294,1534,999,810,538,165,36,18,4390,0,119,1178,945,720,442,137,37,14,3594,0,37,648,742,528,290,67,12,9,2332,0,22,816,1240,903,417,61,17,3,3485,0,0,97,264,204,70,16,3,0,647,0,4,79,272,269,82,24,19,7,758,268,433,957,688,524,484,500,499,497,4840,5019,7114,15973,13903,12155,10420,8668,5704,2941,81903,5315,2164,2791,2161,1733,2446,2143,995,341,20086,1954,734,422,392,442,523,581,309,93,5451,1168,1532,886,822,766,1143,1283,856,321,8772,425,1364,1393,1079,1207,1796,3253,2731,916,14163,258,1301,1498,1132,1296,1577,2555,2364,1485,13465,241,1563,2275,1456,1506,1434,1483,970,507,11429
CED223,179,252,374,481,527,963,1948,1178,301,6214,152,249,485,531,614,1029,1904,1509,811,7281,189,383,821,812,896,1210,1394,704,311,6720,140,513,997,936,1048,1144,898,420,108,6207,93,577,1148,1110,1140,1211,659,250,67,6256,44,373,1061,1070,1259,1169,504,133,49,5673,13,157,726,808,865,712,242,78,16,3619,3,62,555,617,721,573,173,61,26,2795,0,25,321,444,526,407,105,33,7,1883,0,10,298,607,683,514,123,40,11,2276,0,7,42,94,120,86,41,6,4,407,0,7,41,120,174,155,64,39,9,611,394,295,595,611,765,809,804,784,607,5660,4273,3398,8246,9130,10324,11910,10640,5933,2575,66422,2943,334,530,572,706,1488,1163,433,154,8318,2179,142,187,209,255,485,580,230,63,4347,964,435,467,455,576,1006,1418,691,211,6234,325,436,625,742,876,1658,3531,2391,658,11242,376,444,743,771,963,1711,3375,2509,1165,12061,496,693,1155,1099,1308,1840,2556,1351,460,10968
CED224,215,414,317,418,527,665,1162,869,293,4873,137,396,352,502,571,690,1298,1221,679,5837,112,493,547,737,857,781,1009,712,369,5622,58,425,675,898,947,882,669,351,146,5049,44,462,993,1122,1159,936,467,199,110,5493,16,370,1335,1338,1323,976,379,122,41,5894,4,205,1301,1167,1064,668,245,53,32,4742,3,72,1099,1108,1043,608,175,45,28,4177,0,22,768,843,771,457,119,21,11,3019,0,16,845,1482,1393,606,123,17,14,4501,0,0,88,339,274,107,25,14,6,858,0,3,77,401,394,141,34,15,6,1076,146,168,462,477,411,353,418,480,507,3429,4478,4115,10021,12380,12143,9793,7836,4912,2620,68297,4252,814,1003,1200,1129,1617,1396,629,289,12345,2129,509,225,340,348,461,499,225,90,4825,1116,839,497,495,496,738,965,545,204,5893,395,752,583,599,794,1026,1958,1673,596,8374,271,723,574,686,845,1069,2043,1827,967,9009,273,928,848,988,1159,1224,1694,1214,526,8860
CED225,179,469,380,388,456,623,1100,801,297,4692,110,427,356,433,512,642,1287,1099,671,5540,83,467,551,674,733,829,1037,692,264,5341,50,403,628,790,795,828,837,454,156,4941,31,450,893,898,964,861,617,251,97,5059,15,420,1300,1141,1104,950,596,182,53,5765,0,218,1292,1020,968,826,330,81,19,4760,0,70,1141,1061,1049,748,270,81,27,4445,5,27,690,901,788,520,142,40,9,3116,0,16,889,1547,1419,826,182,47,18,4944,0,5,119,358,351,161,47,12,3,1053,5,0,81,472,532,271,90,43,12,1498,129,184,385,392,393,360,430,365,382,3012,4341,4212,9618,11482,11333,10305,8707,5018,2403,67424,4448,659,808,1079,977,1509,1259,548,346,11633,2195,563,222,334,335,509,542,227,88,5012,1060,991,494,462,493,683,971,629,221,6002,329,884,713,597,716,942,1843,1522,572,8107,252,792,628,635,771,1004,2045,1646,950,8716,259,944,903,948,1047,1234,1714,1227,393,8662
CED226,242,697,319,318,395,471,649,543,257,3900,143,589,298,324,422,497,734,742,644,4388,80,625,555,473,564,593,783,635,329,4637,38,459,598,490,582,638,770,485,193,4256,28,499,820,620,704,742,722,413,176,4708,10,598,1406,807,921,873,757,352,126,5845,4,345,1383,772,842,751,485,229,86,4898,3,126,1310,851,940,838,448,188,76,4792,5,40,842,798,744,624,311,118,65,3541,0,40,1261,1745,1678,1226,450,189,81,6680,3,13,211,545,662,351,116,50,30,1982,3,15,186,1135,1704,807,304,139,83,4371,194,232,419,365,456,375,364,414,528,3342,5657,5977,10543,10684,12363,10519,8461,5347,3168,72722,6222,1158,937,1227,1442,1497,1263,659,390,14797,2620,820,240,288,407,499,517,267,129,5776,1147,1503,439,398,523,543,724,460,222,5955,463,1346,645,491,583,713,1016,959,460,6670,278,1125,567,472,599,759,1127,1117,877,6912,174,1242,1037,694,825,907,1249,1014,490,7628
CED227,227,427,586,591,478,555,1097,678,145,4789,159,384,688,668,597,602,1038,834,334,5320,155,563,1091,1083,846,703,792,442,138,5821,93,601,1368,1325,997,713,464,234,72,5863,53,709,1777,1538,1152,727,331,121,33,6436,16,561,1855,1506,1271,809,273,65,20,6378,5,242,1370,1174,902,558,144,38,16,4441,0,84,986,944,762,406,96,32,22,3329,0,35,531,672,537,248,54,14,0,2088,0,12,503,887,797,338,55,29,7,2622,0,3,37,135,136,55,11,7,0,388,0,4,41,149,170,96,38,20,5,532,284,281,738,642,540,448,395,400,324,4058,5061,4964,13663,13482,10612,8044,6162,3402,1271,66650,4800,856,1550,1528,1111,1579,1275,432,110,13240,2221,363,365,433,299,362,359,137,44,4584,1197,806,746,662,499,583,647,360,88,5586,403,728,860,819,673,858,1944,1403,320,7993,403,678,999,869,787,880,1631,1315,490,8054,485,1069,1459,1453,1124,1042,1325,758,215,8936
CED228,268,629,909,753,612,804,1049,523,104,5664,155,516,967,863,634,703,1003,652,279,5774,129,702,1446,1264,866,732,610,289,117,6148,75,632,1714,1554,935,676,350,133,48,6121,52,653,2101,1955,1246,733,238,82,28,7085,21,544,2146,1961,1203,783,167,37,10,6867,4,245,1556,1368,823,466,97,16,6,4584,0,83,1133,1140,694,371,75,15,9,3529,0,27,580,755,438,232,33,11,0,2077,0,16,712,1162,564,258,41,10,7,2774,0,8,68,178,90,44,8,4,0,402,0,4,51,149,99,43,18,15,4,387,394,473,1372,1086,623,440,404,293,246,5334,5420,6088,18757,17623,10575,8693,5721,2555,1038,76468,5767,1329,3360,2715,1501,2331,1697,496,187,19384,1805,520,527,549,309,405,357,115,20,4609,1274,1161,1223,1026,661,782,734,308,68,7245,481,1134,1458,1125,953,1285,1956,1101,232,9721,362,997,1487,1255,940,1012,1597,1040,394,9084,357,1408,2182,1809,1261,1111,1100,515,161,9910
CED229,148,517,531,377,361,441,541,431,132,3476,88,485,668,331,380,521,802,596,342,4205,87,666,1089,587,422,469,651,335,132,4431,36,566,1291,608,443,445,527,237,77,4234,29,612,1929,825,610,563,517,245,66,5392,17,696,2830,1163,805,688,561,194,55,7004,5,377,2701,1097,729,620,368,146,36,6080,5,168,2441,1327,912,627,315,125,54,5964,0,67,1561,1120,774,544,244,101,37,4449,0,39,2372,2536,1723,1026,391,109,48,8249,0,16,369,712,571,322,127,43,7,2166,0,17,300,1332,1484,755,308,103,42,4343,156,415,1378,975,668,552,524,461,492,5625,2989,5998,20964,14287,10935,8802,6911,3650,1757,76283,2982,1180,1480,1244,994,1021,834,457,197,10389,1233,494,287,208,268,321,308,148,44,3327,548,891,606,420,398,547,548,324,147,4431,260,924,935,616,621,772,953,781,289,6154,156,895,1104,544,651,843,1350,932,483,6955,164,1197,1891,900,686,812,1182,600,215,7645
CED230,209,307,571,541,694,1153,2234,1372,397,7488,143,300,640,597,775,1238,1958,1756,1048,8460,155,504,1032,920,974,1199,1246,782,408,7222,118,523,1195,1003,1103,1106,838,399,133,6415,63,575,1287,1059,1240,1150,526,217,95,6218,27,398,1221,991,1130,1104,415,129,46,5452,6,204,753,633,759,662,231,66,18,3333,0,95,613,544,602,541,179,94,43,2707,0,31,267,339,402,345,97,35,12,1527,0,19,262,452,536,449,123,44,8,1898,0,0,24,62,79,73,37,15,8,294,0,5,51,98,136,123,70,43,9,533,468,330,801,810,895,984,1051,910,778,7024,4283,3902,9873,9092,10412,12097,10641,6596,3339,70245,3242,472,883,722,791,1577,1113,447,243,9492,1844,200,256,218,319,517,506,232,97,4188,1014,578,691,680,702,1206,1374,698,265,7209,379,557,946,895,1183,1994,4146,2880,816,13797,411,561,1040,957,1319,2167,3767,2900,1527,14641,472,879,1526,1338,1492,1966,2416,1463,581,12131
CED231,195,457,409,411,469,655,1254,1047,303,5208,91,436,396,409,493,638,1232,1306,816,5815,68,550,675,565,671,639,773,518,261,4723,44,463,808,709,704,616,638,307,97,4396,32,487,1075,854,857,709,452,170,68,4705,11,513,1476,1030,961,828,406,101,44,5373,4,289,1552,940,837,676,245,51,12,4602,0,142,1425,1086,903,644,183,47,18,4452,0,35,995,914,755,472,134,21,5,3331,0,19,1254,1769,1355,752,128,26,14,5323,0,3,170,378,346,173,38,9,5,1118,3,7,153,660,673,239,64,21,14,1821,164,239,637,534,462,389,411,413,291,3538,3790,4692,12153,11574,10688,9057,7522,4889,2332,66690,3741,750,969,1091,981,1286,1190,580,247,10850,1804,465,220,248,260,403,445,247,137,4218,978,971,596,465,510,724,915,653,275,6086,347,848,812,645,762,1034,2119,2035,695,9293,198,792,702,591,785,998,1980,1924,1145,9106,209,1044,1169,811,965,1035,1368,929,395,7924
CED232,219,383,477,518,468,603,1099,554,104,4423,150,369,506,619,536,659,1136,716,330,5024,113,487,830,925,860,741,818,390,107,5272,91,491,1047,1049,1040,753,580,239,54,5343,42,500,1270,1292,1162,754,400,122,30,5566,21,407,1374,1365,1251,875,320,76,18,5718,3,175,1033,1026,949,679,183,56,10,4111,0,91,937,995,846,501,127,25,3,3542,0,25,479,690,575,320,73,14,0,2178,3,14,531,1050,1009,512,120,20,10,3267,0,3,58,191,206,96,20,6,0,581,0,3,52,256,288,141,81,23,7,854,318,206,559,571,540,478,411,302,241,3621,4956,4030,10739,12340,11141,9004,6954,3069,1076,63308,4653,658,1208,1333,1051,1609,1251,408,143,12313,2188,324,282,346,306,434,447,174,33,4535,1131,729,583,582,504,617,874,414,91,5521,383,663,745,679,671,949,1926,1206,210,7436,360,651,744,814,743,943,1829,1181,469,7726,402,945,1132,1193,1098,1069,1412,731,179,8164
CED233,394,1469,1207,492,413,496,552,394,169,5584,202,1264,1302,458,398,453,743,586,328,5735,183,1632,2271,639,411,392,482,272,123,6393,112,1232,2208,702,386,363,391,179,39,5606,47,1255,2772,832,467,403,419,187,58,6442,34,1269,4026,1134,654,510,402,121,34,8187,4,719,4047,1121,510,432,250,94,17,7196,6,308,3665,1255,619,492,218,66,15,6645,0,135,2450,1197,586,379,172,42,10,4972,12,112,3472,2628,1318,789,268,65,14,8677,4,21,512,695,416,265,67,20,9,2012,5,25,496,1162,1030,543,205,62,16,3541,324,1068,2372,1023,626,510,414,261,253,6853,4326,15054,33977,14783,8916,7154,5380,2731,1255,93572,3043,4815,3645,1366,923,950,672,272,141,15815,1311,1260,608,299,275,274,253,120,35,4424,1096,2293,1226,587,540,638,461,261,115,7207,631,2597,2162,882,769,885,962,719,311,9917,357,2224,2264,771,682,821,1235,882,454,9687,332,2929,4104,1118,709,707,833,475,188,11405
