CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED211,155,1041,1424,1368,1307,1323,1368,916,297,9192,109,1162,2237,1857,1861,1626,1263,640,221,10969,42,998,2870,2300,2324,2021,1101,438,147,12238,14,553,2476,2129,1894,1497,671,222,64,9533,6,213,2235,2124,2000,1457,516,164,65,8795,4,77,1458,1887,1647,1070,296,68,24,6523,3,51,2033,4173,3360,2034,447,104,35,12237,0,4,324,1004,901,470,94,28,13,2839,3,4,260,1263,1350,699,183,64,22,3856,298,389,879,867,814,748,755,948,1134,6831,9568,9432,20697,24068,22458,19537,16157,10489,4847,137248
CED212,208,1070,1480,1447,1375,1383,1267,687,214,9131,128,1163,2386,2008,2057,1871,990,447,142,11200,55,929,2817,2456,2596,2211,955,298,66,12378,12,419,2469,2091,1999,1515,588,155,46,9299,5,195,1967,2049,1831,1343,450,126,37,8006,3,62,1234,1631,1539,1007,262,56,19,5812,0,56,1651,2803,2644,1596,411,97,21,9285,0,3,208,602,591,322,84,26,7,1846,6,9,200,879,1092,601,209,80,29,3102,579,535,1293,1312,1347,1047,908,875,717,8618,9215,8568,19993,21835,21967,19405,15113,8681,3550,128332
CED213,271,948,1097,1060,1286,1587,1919,1197,346,9718,218,1050,1543,1322,1836,1838,1573,730,218,10319,126,725,1855,1670,2157,2065,1438,623,126,10782,30,348,1625,1396,1731,1595,886,335,86,8036,10,145,1441,1443,1693,1378,668,271,91,7140,0,73,811,1071,1208,978,450,156,32,4779,7,54,1007,2010,2304,1741,697,205,51,8073,0,11,170,439,556,412,201,81,16,1887,7,12,190,732,1095,1015,554,232,78,3911,570,433,882,1030,1324,1290,1557,1516,1224,9823,8232,6826,13646,15714,19647,20756,21953,14401,5492,126669
CED214,113,1299,2791,1720,1534,1279,828,326,114,9998,99,1340,4033,2468,2116,1622,574,171,69,12490,34,1110,4560,2711,2192,1544,507,104,17,12779,13,578,3541,2336,1551,1055,277,38,8,9395,0,223,2878,2177,1451,869,237,47,13,7889,0,95,1949,1773,1128,617,116,13,3,5709,0,68,2744,3521,2028,985,158,17,3,9527,0,6,470,873,485,209,38,3,0,2086,4,21,406,1201,838,288,69,15,4,2848,641,1030,2926,1933,1447,1215,1033,861,670,11760,8354,12347,35377,27544,21769,18224,13633,7554,3419,148218
CED215,171,1044,1851,1734,1257,1028,846,428,127,8487,96,1146,3015,2686,1802,1329,694,241,82,11084,48,951,3631,3449,2250,1581,662,160,48,12775,16,492,3052,3100,1970,1246,377,86,22,10352,12,227,2661,3179,2044,1222,286,86,23,9734,0,94,1742,2698,1768,958,207,33,14,7514,0,70,2729,6246,3716,1687,279,38,11,14771,0,12,491,1770,1010,482,73,10,4,3854,9,26,456,2342,1931,790,149,19,9,5725,567,822,2346,2183,1292,871,685,544,451,9770,9572,9810,28701,36362,24236,17137,11831,6068,2518,146246
CED216,264,986,1516,1322,1407,1742,1712,887,205,10050,164,1089,1948,1664,1748,1896,1303,500,146,10466,84,747,2256,1840,1936,2016,1152,361,81,10467,24,409,1664,1401,1427,1357,625,158,45,7105,10,241,1440,1264,1342,1226,421,135,26,6111,4,83,829,922,944,860,275,62,16,4006,6,65,958,1453,1613,1372,310,59,20,5857,4,9,156,302,370,298,100,25,5,1274,3,11,168,431,612,529,181,66,30,2044,813,703,1773,1773,1628,1774,1967,1475,993,12900,8251,7366,17215,16748,18427,22658,22098,11705,3939,128407
CED217,110,724,796,694,935,1048,1289,847,347,6792,74,744,1216,985,1216,1356,1265,674,255,7791,41,733,1742,1286,1477,1639,1422,641,184,9166,12,398,1817,1350,1459,1371,1008,406,118,7943,6,181,1709,1424,1690,1446,774,312,94,7636,6,91,1233,1385,1452,1215,593,234,75,6275,9,66,2058,3597,3816,2619,913,349,135,13562,3,13,448,1271,1558,982,330,117,37,4765,15,30,518,3574,5510,2839,869,311,106,13764,359,323,745,821,941,721,770,820,919,6414,10235,8344,14967,19531,24118,20184,15854,9578,4822,127627
CED218,194,1181,1821,1936,1741,1340,828,370,76,9496,146,1334,2887,2688,2470,1732,631,168,59,12110,74,1069,3542,3123,2810,1928,549,73,21,13194,23,610,2846,2684,2119,1356,370,48,5,10064,5,252,2357,2376,1963,1173,250,41,5,8431,7,110,1443,1817,1396,816,159,23,6,5777,0,77,1691,3034,2246,1025,190,18,5,8282,5,10,251,656,479,223,45,11,3,1671,0,25,186,675,626,281,63,25,4,1892,722,1020,2626,2228,1515,1014,773,437,191,10538,11541,11527,26143,28195,23619,18609,13241,5950,1848,140670
CED219,254,1148,1923,1655,1382,1182,1033,416,92,9089,169,1351,2881,2461,1980,1577,739,271,93,11511,71,1087,3522,3001,2460,1800,716,139,31,12821,20,561,2765,2468,1977,1369,414,84,14,9668,10,244,2326,2199,1708,1147,289,48,15,7983,0,102,1281,1640,1311,857,188,24,12,5421,7,71,1622,2595,2206,1230,220,28,9,7992,0,12,217,484,416,238,45,8,4,1434,4,24,189,465,551,329,102,26,13,1701,684,677,1701,1568,1273,965,893,603,321,8689,9964,9861,24951,24424,20627,17203,13532,5974,1909,128449
CED220,102,1081,1577,797,743,712,915,565,205,6694,70,1141,2440,1084,1019,903,954,554,187,8356,31,1278,3782,1586,1219,1277,1024,494,168,10867,10,754,4137,1577,1165,1033,786,361,99,9916,16,392,3950,1850,1223,1091,707,350,102,9666,5,141,2750,1694,1220,1004,539,275,60,7680,8,125,4796,4359,2885,2109,930,408,125,15742,5,32,963,1489,1193,771,367,145,68,5031,6,43,1129,3879,4579,2770,1153,453,163,14181,293,577,1663,1038,924,750,781,749,775,7553,7314,11701,31632,22358,19519,16521,13192,8606,3870,134712
CED221,257,1463,2539,2462,1762,1304,684,314,57,10828,213,1822,4152,3685,2716,1783,592,142,33,15124,84,1335,4725,4516,3269,1994,476,82,21,16500,26,602,3427,3394,2251,1366,300,25,14,11406,12,265,2506,2753,1804,1018,185,20,14,8577,3,93,1355,1814,1213,632,133,18,0,5256,3,69,1474,2645,1638,798,111,20,0,6768,0,10,180,477,241,134,19,3,0,1075,4,18,147,374,288,114,34,19,0,995,675,798,1978,1655,1219,942,675,450,266,8654,11548,12543,30666,31300,22019,16563,10430,4887,1644,141598
CED222,157,1519,2927,2060,1818,1579,1039,626,234,11959,116,1782,4618,2888,2602,2090,972,314,121,15513,41,1324,4768,3047,2601,1998,709,158,46,14690,9,638,3537,2300,1832,1323,430,82,22,10171,7,267,2684,2174,1655,1063,365,82,24,8315,6,105,1588,1677,1272,732,206,33,10,5612,3,68,2113,3329,2433,1138,214,45,12,9358,0,14,317,829,578,252,49,8,0,2048,0,13,298,1135,992,376,68,35,11,2930,514,1025,2311,1417,1121,1012,915,907,773,9994,10219,15407,34431,27900,23858,20465,16254,10506,4915,163955
