CED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED231,40825,43768,84596,3157,3390,6547,666,699,1364,17390,18241,35629,528,556,1084,240,272,516,300,304,608,92,124,212,73,71,146,131,130,261,0,0,0,19419,20401,39817,3734,3692,7431,452,468,920,26767,27947,54712,3043,3101,6152,70635,74820,145458
CED232,40038,40678,80720,4745,5055,9796,567,605,1170,20836,21649,42485,395,425,820,155,177,331,196,176,365,62,71,137,126,109,229,50,58,106,0,0,5,22384,23267,45650,1947,2256,4202,449,367,818,29527,30944,60470,3498,3547,7039,73064,75168,148231
CED233,26932,28625,55555,4379,4437,8818,2843,3073,5912,28631,28388,57019,1828,2011,3832,795,902,1699,1227,1192,2413,424,449,874,170,203,376,577,577,1157,0,0,0,36490,36787,73277,19144,21025,40166,979,775,1753,60991,63021,124012,7235,6729,13966,95156,98370,193526
CED234,47930,51468,99401,2904,3051,5955,517,556,1078,18111,18977,37087,364,383,751,231,247,475,269,227,490,73,88,162,36,55,99,75,76,150,0,0,0,19676,20614,40298,6225,6529,12754,363,357,724,29163,30554,59722,2695,2991,5686,79789,85015,164804
CED235,36098,37145,73242,7948,8741,16684,415,436,848,15841,17188,33027,402,442,845,77,106,184,181,166,343,72,106,175,83,83,162,34,35,68,0,0,0,17103,18553,35652,859,954,1817,455,412,874,26365,28667,55028,5115,5301,10415,67572,71114,138683
CED236,42592,42542,85127,7629,8089,15716,1441,1576,3021,12867,13632,26496,776,689,1467,177,157,336,195,182,380,106,104,212,202,177,381,60,57,116,0,0,0,15833,16581,32416,1963,2145,4105,451,440,896,25877,27260,53133,6579,6058,12636,75038,75858,150897
CED237,47490,48874,96364,2589,2598,5190,513,537,1045,18006,18093,36090,336,312,651,206,238,444,196,193,388,71,72,145,95,89,181,49,58,106,0,0,0,19461,19593,39054,5340,4985,10333,455,352,811,27847,27532,55381,3741,3693,7432,79082,80100,159177
CED238,42398,42801,85201,8128,8704,16836,457,563,1023,12002,13085,25091,488,563,1047,428,521,948,259,260,519,108,123,236,135,133,266,41,34,72,0,0,0,13930,15279,29206,1400,1420,2820,446,342,789,23901,25747,49648,6592,5433,12026,72888,73984,146878
CED239,36818,39828,76651,2955,2953,5906,1198,1351,2549,19253,20220,39471,699,797,1494,315,358,671,418,419,841,167,181,345,96,121,216,240,276,515,0,0,5,22383,23729,46111,6342,6089,12431,585,574,1154,32263,33339,65606,3527,3500,7030,72619,76665,149282
CED294,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
CED297,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
