CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED211,0,15,31,226,167,135,140,31,19,757,0,0,0,7,12,17,16,6,11,70,0,4,6,33,14,17,7,4,0,75,8,67,109,478,273,252,284,222,124,1828,99,219,190,657,269,246,260,299,251,2484,4552,9986,9009,23020,11659,10236,8845,5914,3066,86289,0,0,0,28,12,17,5,0,0,61,8930,17644,15148,25866,14723,12289,9447,6141,2772,112961,0,4,10,69,22,17,13,0,0,125,0,3,0,25,10,21,18,4,4,77,0,0,6,44,10,7,4,4,0,76,0,0,13,80,94,109,69,36,3,398,0,18,22,100,53,44,26,21,3,277,0,6,5,27,28,29,31,14,4,147,31,452,667,4639,1350,1182,923,279,70,9595,0,0,0,17,8,46,63,54,22,208,0,13,14,53,18,34,55,43,16,251,17,123,228,661,756,1120,1065,953,464,5388,0,0,9,63,43,38,28,9,4,189,0,9,3,49,24,15,16,13,9,140
CED212,0,4,19,100,37,18,14,3,0,195,0,7,4,23,32,33,32,26,4,162,0,0,7,24,18,15,7,3,0,74,4,57,127,601,373,326,327,211,77,2106,177,414,400,1031,464,383,339,305,142,3654,4672,9840,8636,21517,11209,10020,8033,4724,2215,80871,0,0,0,59,29,38,14,5,0,146,8989,18191,14796,31152,15126,12530,9161,4745,1888,116583,0,0,6,26,9,4,6,0,0,46,0,0,3,67,33,76,40,15,5,237,6,8,6,62,9,5,6,0,0,101,0,7,11,46,24,19,13,4,0,121,0,13,17,108,58,49,31,7,5,287,0,0,6,40,52,40,33,15,7,201,3,72,156,433,226,184,121,35,6,1233,0,0,4,46,44,73,55,49,12,279,0,4,14,23,8,28,47,38,7,162,17,262,466,1252,1466,1934,1701,1290,576,8957,0,0,20,94,74,48,23,14,11,283,4,11,5,51,25,26,27,15,13,177
CED213,0,5,0,34,9,18,8,5,0,65,0,0,3,16,22,17,24,15,4,115,0,0,8,10,6,7,5,8,0,36,9,38,27,240,157,189,242,162,83,1139,146,418,382,852,600,644,718,602,353,4718,3388,8080,7118,15237,10404,10995,11638,7697,3161,77714,0,0,0,7,0,3,0,0,0,17,6687,15038,13221,23684,14899,14966,14832,8898,3267,115498,0,0,0,9,0,0,0,0,0,8,0,0,0,9,9,7,3,4,0,30,0,0,0,24,11,5,0,0,0,41,0,0,4,19,5,0,0,0,0,33,3,27,10,111,55,51,53,20,5,338,0,0,0,27,20,17,17,12,0,99,0,12,16,80,61,43,33,18,8,286,0,0,0,15,16,51,87,76,22,268,0,0,0,15,0,22,84,49,17,185,22,270,516,999,1419,1974,2148,1901,716,9961,0,0,3,23,12,15,9,5,6,72,0,3,5,55,21,24,32,19,8,172
CED214,32,251,930,4864,3311,2680,1538,450,226,14274,0,0,0,12,7,3,0,6,0,31,0,0,8,45,9,0,0,0,0,62,25,148,407,1906,691,609,589,399,204,4980,252,498,552,1804,533,466,400,323,312,5140,4876,8681,10060,30605,10976,9081,7083,4074,2148,87592,0,19,70,290,55,20,13,3,0,464,9130,14613,12926,26504,8309,5650,3201,1307,610,82238,4,29,70,462,60,22,11,4,0,665,0,3,11,203,124,190,171,94,24,820,5,5,14,161,26,3,4,0,0,213,0,4,10,42,55,72,43,15,12,260,4,7,10,142,38,15,3,5,0,218,4,5,8,113,106,99,121,72,5,539,7,37,187,1165,455,474,316,130,76,2848,0,0,0,85,83,222,309,374,108,1193,3,21,43,78,21,74,98,61,28,427,14,80,83,869,402,399,232,156,61,2290,0,10,29,133,75,70,51,23,3,396,0,6,8,82,26,19,10,5,3,166
CED215,6,21,60,560,333,272,192,44,10,1500,0,0,5,18,17,12,6,4,4,67,0,6,14,82,30,9,3,0,0,147,36,258,315,1731,696,453,384,239,124,4249,311,565,394,1473,451,316,257,161,88,4018,7170,14016,9121,32595,12142,8759,6207,3347,1573,94911,5,6,6,99,17,16,5,0,0,154,13555,22249,12579,25045,12758,8769,4812,2248,951,102974,0,54,51,526,124,21,21,4,0,805,0,0,0,100,61,67,41,18,5,291,0,22,15,219,41,9,5,5,0,313,0,4,14,59,58,54,39,15,8,249,8,22,17,134,61,38,14,5,0,294,0,6,10,93,67,55,50,12,0,294,33,265,314,2914,692,666,521,93,33,5546,0,0,5,66,59,138,178,167,61,675,0,35,53,93,43,54,67,27,14,387,31,337,308,1245,981,858,647,391,131,4935,0,8,24,234,95,68,52,23,4,514,0,6,12,114,32,21,20,5,5,215
CED216,0,5,6,80,33,27,9,0,0,156,0,4,3,3,12,17,17,7,5,63,0,0,4,14,11,7,10,0,0,51,3,39,43,180,100,138,158,113,51,827,233,629,567,1399,726,850,852,572,321,6145,3905,8687,7581,17266,9611,11735,10956,5982,2340,78058,0,0,0,3,0,0,0,0,0,7,7407,16100,13671,27306,14932,17796,16087,7809,2494,123600,0,3,0,41,3,3,4,0,0,55,0,0,0,0,4,3,4,8,4,18,0,3,3,9,3,0,0,0,0,18,0,0,0,24,5,0,3,0,0,35,8,11,6,41,38,48,26,21,0,190,0,0,0,8,13,14,13,9,0,66,0,9,19,160,54,62,26,14,4,348,0,0,0,8,15,20,26,36,14,113,0,3,4,22,4,10,23,7,4,75,9,59,67,335,417,1060,1409,1028,329,4711,0,0,6,35,18,19,15,3,0,96,0,3,5,16,11,13,4,11,3,76
CED217,0,21,39,146,86,34,32,3,4,362,0,7,6,18,26,14,19,6,0,91,0,0,4,31,25,15,3,3,0,76,28,172,153,1157,798,709,667,440,239,4372,87,265,193,630,363,274,318,278,198,2610,3553,9773,8841,18053,12790,10487,8502,5344,3131,80469,0,0,0,14,4,4,5,0,0,26,6602,16404,14892,19618,15048,12676,9283,5204,2754,102484,0,0,0,35,3,5,0,0,0,52,0,0,0,42,23,27,14,6,3,123,3,15,14,168,46,12,10,0,0,274,0,3,0,32,17,10,6,3,0,73,8,38,22,160,119,75,37,17,3,477,0,13,3,65,46,26,14,17,0,186,20,458,516,1852,860,701,325,132,53,4917,0,0,5,42,37,42,59,67,10,248,0,0,4,25,21,68,102,70,32,323,64,661,629,1492,1579,1320,1039,754,285,7814,0,3,0,39,29,27,12,3,0,112,4,59,43,176,104,53,68,24,11,534
CED218,20,99,247,2135,1302,861,389,116,42,5207,0,0,0,6,3,8,4,0,4,32,0,0,14,48,18,3,0,0,0,80,30,174,394,1793,1103,1036,728,396,123,5786,221,514,403,1192,452,363,269,153,42,3623,5690,12495,11059,27080,12050,9556,6828,3013,1133,88900,0,34,70,227,67,35,8,3,0,449,10921,21266,16270,24711,10451,6445,3167,1134,508,94875,0,8,20,194,39,30,19,0,0,312,0,4,20,377,202,254,125,68,18,1064,0,3,5,34,18,7,0,6,0,77,0,0,7,36,35,34,35,7,0,150,5,10,19,39,15,14,3,5,0,112,0,10,16,150,179,169,168,81,12,775,4,45,95,682,252,266,169,65,27,1597,0,6,11,152,180,419,412,341,99,1620,4,96,135,375,166,194,218,109,25,1328,8,85,129,297,255,324,274,186,63,1624,0,20,47,280,177,119,70,26,5,736,0,3,6,28,13,22,7,7,5,95
CED219,0,11,20,285,96,40,23,4,0,484,0,3,3,9,6,16,12,15,6,66,0,0,14,50,15,11,7,0,0,98,19,153,306,1036,481,382,303,189,65,2936,252,693,480,1314,537,417,349,235,87,4364,6081,12049,9665,25278,10535,8961,7077,3130,1205,83986,0,10,13,65,14,8,0,0,0,107,11589,20858,15580,31317,14125,11131,7938,3123,1049,116711,0,57,46,336,68,15,3,0,0,540,0,0,8,100,44,55,36,13,4,256,0,0,0,38,16,0,0,0,0,65,0,0,0,26,10,3,0,0,0,46,0,12,4,65,30,34,11,0,0,163,0,3,11,56,66,49,41,21,0,250,0,6,28,206,94,83,47,18,8,500,0,0,3,57,64,139,125,80,14,483,0,13,60,75,40,43,77,21,12,351,7,71,123,526,578,1022,966,589,210,4095,6,17,28,194,99,64,20,7,0,444,0,0,0,13,19,20,14,9,0,75
CED220,0,18,76,271,124,84,64,20,8,666,0,0,0,18,8,7,8,9,3,48,0,0,7,42,8,11,7,3,0,81,23,76,210,1382,418,383,453,364,219,3525,86,209,353,1153,353,293,303,248,202,3207,3117,6774,9954,27565,10165,8617,7177,4763,2428,80562,0,0,3,46,3,13,5,0,0,68,5940,11689,14186,29275,12932,10421,7628,4478,1894,98440,0,5,20,77,9,7,7,0,0,117,0,0,3,60,14,21,24,13,5,137,0,8,26,228,36,17,4,0,0,320,0,0,22,33,19,23,9,5,0,109,3,26,33,255,88,58,34,14,0,512,0,7,3,134,34,24,11,17,4,237,27,319,975,3055,825,821,407,168,89,6680,0,0,0,50,18,48,34,35,8,192,0,4,8,53,15,44,51,60,30,265,36,227,339,1825,732,763,606,434,153,5110,0,0,9,68,24,20,7,5,0,130,5,27,60,310,77,40,48,16,9,585
CED221,0,16,37,309,145,72,33,12,3,626,0,0,3,8,9,19,18,5,4,58,5,14,29,113,36,7,6,0,0,211,19,160,385,1290,660,537,347,170,58,3626,317,638,507,1379,458,355,268,155,77,4153,7744,14343,11892,31384,11011,8289,5434,2591,1031,93721,40,677,1596,4064,1069,472,177,50,8,8153,14809,23510,13961,24111,9220,7023,4430,2060,713,99847,0,21,30,234,50,17,13,0,0,373,0,3,13,202,87,117,48,12,0,486,0,0,3,31,4,3,3,0,0,54,0,55,117,761,298,217,126,31,8,1622,0,14,24,39,20,14,6,3,0,115,0,0,5,98,117,122,92,48,8,497,9,59,123,734,366,249,124,45,16,1733,0,0,3,92,52,71,76,38,7,339,0,16,77,127,58,56,53,24,0,415,8,122,178,563,619,851,683,500,186,3697,0,27,91,546,282,214,93,32,8,1290,0,5,8,15,21,6,8,6,3,75
