CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED227,50437,152202,3134,5580,1255,2837,4390,8420,308,492,20,29,0,6,3,7,19,44,350,576,11,18,120,141,3,3,20,37,153,203,46,109,55379,161503,2802,..,58178,161503
CED228,55830,174031,4452,10602,1392,3427,5850,14030,1059,2023,23,41,391,626,0,0,20,46,1502,2732,26,47,3,3,0,0,8,28,44,79,38,105,63257,190971,4238,..,67498,190971
CED229,9483,27261,7899,18306,7426,18090,15323,36396,9306,15784,13662,21920,8610,14101,21149,36583,50,109,52785,88501,0,0,3,7,0,6,652,1100,664,1113,146,266,78399,153537,19180,..,97579,153537
CED230,59020,141321,3344,5120,135,246,3479,5361,2161,3210,23,29,0,0,0,3,16,10,2202,3256,352,555,236,452,22,43,168,357,784,1405,195,364,65670,151713,9688,..,75359,151713
CED231,33489,92164,6177,12456,8151,19473,14327,31931,3684,6432,3056,4889,4383,7022,1313,2484,23,38,12466,20866,0,0,0,0,0,0,154,314,154,314,44,88,60475,145362,6500,..,66980,145362
CED232,49499,145017,2362,4448,673,1527,3036,5972,157,284,72,129,0,0,0,0,28,54,257,470,29,61,17,23,4,3,4,8,54,98,47,112,52897,151675,3429,..,56330,151675
CED233,5587,14355,10525,23610,10112,24510,20637,48120,4586,7890,7340,12186,14865,24863,38312,67091,36,72,65139,112103,0,0,3,4,0,0,475,983,478,987,229,361,92069,175935,26755,..,118824,175935
CED234,43910,125214,5502,11380,5786,15734,11286,27114,1833,3722,939,1664,2071,3688,2129,3897,29,77,6998,13051,5,3,0,0,0,0,16,40,19,39,56,126,62272,165543,6007,..,68281,165543
CED235,52400,126253,2697,3798,391,780,3092,4575,1156,1645,27,30,12,16,0,6,21,22,1211,1723,111,139,435,613,7,15,57,115,605,878,92,169,57402,133607,17666,..,75067,133607
CED236,54153,135609,4585,7054,174,330,4758,7382,108,166,13,16,4,3,0,0,19,38,142,224,337,479,345,515,17,36,277,456,977,1484,101,228,60137,144936,7160,..,67295,144936
CED237,48044,142952,3492,8027,3370,8254,6862,16279,1097,2369,364,562,518,812,0,0,22,44,1999,3784,0,0,0,0,0,0,16,44,18,50,35,67,56962,163135,3001,..,59960,163135
CED238,55477,131666,3301,4816,559,1050,3864,5869,821,1185,67,100,3,9,0,0,18,38,913,1331,112,174,168,263,25,48,110,245,416,741,109,227,60779,139830,14113,..,74892,139830
CED239,33821,92443,6898,13728,10403,24510,17298,38239,4362,7348,1606,2691,4274,6778,654,1024,41,107,10942,17948,0,0,0,0,0,0,269,622,269,622,71,153,62402,149406,7058,..,69463,149406
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
