CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED211,0,0,0,14,7,3,3,0,0,33,4602,9056,7929,12893,7132,5900,4171,2613,970,55263,0,0,3,33,7,9,3,0,0,62,0,0,0,10,0,14,8,4,0,38,0,0,0,18,7,5,4,0,0,37,0,0,5,25,48,50,35,22,0,186,0,11,5,54,25,26,12,9,0,130,0,6,5,15,19,10,20,3,3,75,14,235,361,1974,525,491,432,132,30,4196,0,0,0,11,3,22,28,28,6,100,0,11,11,27,8,23,31,23,11,139,9,67,125,368,405,576,518,440,182,2689,0,0,0,22,19,12,18,3,0,73,0,0,0,36,13,9,10,5,3,79,0,8,20,29,35,43,79,99,40,360,0,0,4,11,18,43,66,80,37,262,5,48,56,292,100,121,104,13,5,741,20,164,186,1265,311,154,111,57,9,2275,0,7,26,109,43,17,23,12,10,239,0,38,46,289,88,55,20,18,0,561
CED212,0,0,0,30,10,17,4,4,0,73,4539,9306,7629,15362,7412,6041,4242,2092,653,57277,0,0,4,14,4,0,4,0,0,25,0,0,0,29,19,40,23,6,0,121,0,0,4,28,4,0,0,0,0,43,0,7,11,14,12,3,7,0,0,50,0,0,10,48,27,21,17,4,4,133,0,0,4,15,32,19,9,12,4,99,3,35,74,151,84,72,59,20,0,499,0,0,4,28,17,30,31,28,3,143,0,0,8,12,3,13,17,22,0,72,8,140,268,625,765,1012,837,603,227,4487,0,0,11,40,30,27,10,4,0,126,4,3,5,25,14,14,13,5,0,86,0,3,18,47,48,75,101,95,38,424,0,0,7,29,27,51,58,65,25,275,0,0,33,24,11,6,8,4,0,95,5,36,76,428,142,109,64,36,10,902,0,4,6,32,7,8,13,0,0,70,0,0,5,46,15,8,9,0,0,83
CED213,0,0,0,3,0,0,0,0,0,12,3492,7746,6981,11497,7003,7059,6901,4034,1329,56050,0,0,0,3,0,0,0,0,0,5,0,0,0,6,4,0,3,8,0,19,0,0,0,10,3,5,0,0,0,21,0,0,6,3,0,0,0,0,0,16,4,12,4,45,27,20,25,11,0,158,0,0,0,13,5,11,10,5,0,40,0,7,9,32,19,14,17,5,3,114,0,0,0,3,7,20,51,40,10,132,0,0,0,6,0,12,42,23,4,95,13,138,285,500,662,935,1014,879,310,4731,0,0,0,8,6,5,3,4,0,34,0,0,8,32,5,9,21,11,9,87,0,7,6,30,32,41,111,120,39,390,0,0,4,16,18,47,116,106,42,345,0,0,0,13,6,4,9,0,4,40,0,6,18,87,13,18,26,27,8,201,0,3,7,11,4,3,3,9,4,39,0,0,0,6,7,0,6,0,0,15
CED214,0,13,39,219,46,10,7,3,0,336,4715,7590,6437,13678,4310,2855,1572,602,197,41953,3,18,48,276,42,11,11,0,0,405,0,3,10,104,52,86,73,46,12,396,0,0,8,85,13,3,0,0,0,110,0,0,9,16,27,32,23,4,5,115,0,3,4,60,20,15,3,0,0,109,0,3,3,56,60,49,56,43,0,271,6,20,103,516,172,207,157,64,36,1268,0,0,0,42,42,122,121,170,43,547,4,7,26,47,13,34,50,22,10,214,9,39,41,487,236,226,128,69,20,1256,0,3,12,62,32,32,19,11,0,179,0,0,5,49,18,10,4,0,0,88,0,0,12,65,26,24,88,84,15,317,0,3,6,24,46,107,157,288,132,751,3,6,17,208,24,22,23,6,3,313,33,148,706,3230,205,109,78,26,9,4530,0,9,21,182,34,8,14,5,0,268,0,19,23,187,26,19,3,3,0,278
CED215,0,0,3,66,11,7,5,0,0,90,7055,11383,6480,12566,6231,4355,2354,979,310,51724,0,29,33,248,75,16,11,0,0,408,0,0,0,51,24,33,17,9,0,145,0,7,3,95,21,5,3,0,0,137,0,0,3,24,20,24,19,7,3,106,0,8,4,42,30,14,6,3,0,118,0,6,0,49,31,24,23,10,0,147,12,144,189,1254,291,275,254,51,18,2489,0,0,0,29,26,64,75,76,26,298,0,15,33,50,20,31,37,16,4,198,11,167,177,667,558,453,306,175,51,2566,0,7,11,103,49,28,19,8,0,230,0,6,5,56,21,11,14,6,0,116,0,4,19,64,56,31,57,43,8,293,0,8,14,22,40,102,154,180,92,617,4,24,15,147,32,39,19,3,0,286,127,865,1006,7496,794,194,218,65,13,10779,8,20,47,356,107,23,30,6,0,604,4,18,18,205,54,12,12,4,0,334
CED216,0,0,0,4,0,0,0,0,0,3,3765,8330,7079,13481,7143,8607,8079,3774,981,61254,0,0,0,22,0,3,4,0,0,30,0,0,0,0,4,0,0,3,0,12,0,3,0,0,0,0,0,0,0,4,0,0,0,6,6,3,3,0,0,17,3,6,4,19,15,18,10,11,0,85,0,0,0,7,11,3,7,4,0,34,0,7,12,65,15,23,13,9,4,145,0,0,0,6,5,9,12,21,4,59,0,3,0,10,4,10,16,5,6,46,8,32,34,183,198,479,690,497,126,2252,0,0,3,15,11,11,6,0,0,47,0,4,5,14,3,3,5,4,3,36,0,0,6,10,17,36,148,104,30,350,0,0,0,0,3,14,35,13,4,82,0,0,4,19,3,4,0,4,0,34,10,22,51,310,41,18,25,15,5,491,6,4,0,18,3,0,7,5,0,39,0,3,0,13,0,3,0,0,0,21
CED217,0,0,3,11,0,0,3,0,0,15,3301,8346,7742,9611,7146,6120,4282,2261,895,49708,0,0,0,18,3,0,0,0,0,26,0,0,0,16,8,7,6,3,0,44,0,7,6,66,12,4,4,0,0,106,0,0,0,15,4,0,4,4,0,34,3,22,21,64,52,41,22,7,4,226,0,4,0,34,24,11,7,9,0,81,12,254,291,711,292,300,158,52,21,2093,0,0,0,20,21,17,27,38,7,119,0,0,0,14,12,38,48,23,9,146,40,315,322,785,861,713,542,382,108,4065,0,0,0,17,12,13,3,0,0,45,0,28,26,98,51,33,26,11,3,280,0,13,17,73,73,61,107,91,35,467,0,4,14,24,52,100,126,184,83,574,9,66,37,58,33,30,28,9,4,270,15,106,140,944,171,118,80,49,6,1636,0,17,16,47,21,12,4,0,3,122,0,0,0,79,20,18,10,3,0,136
CED218,0,9,32,144,32,24,0,0,0,244,5632,10988,8371,12779,5180,3123,1490,520,178,48266,0,5,6,93,24,13,10,0,0,151,0,4,9,192,86,122,58,34,8,507,0,0,0,13,14,3,0,0,0,35,0,0,0,6,13,20,14,0,0,61,3,5,9,12,5,6,0,0,0,51,0,3,4,75,83,77,73,42,6,364,0,29,42,284,95,116,75,36,15,691,0,10,8,72,97,193,180,177,43,786,9,48,72,187,87,92,107,66,11,675,7,48,60,173,152,168,138,91,19,852,0,7,21,132,76,57,34,10,0,344,0,0,6,16,4,12,4,0,0,54,0,0,11,37,22,13,81,61,13,255,0,17,20,40,46,135,147,141,29,561,0,3,5,91,31,26,25,9,0,186,38,329,662,3813,805,373,251,95,24,6388,0,13,16,106,28,19,14,6,0,200,0,14,28,142,38,12,3,0,0,235
CED219,0,4,8,36,11,4,0,0,0,63,5889,10639,7961,15369,6858,5283,3761,1446,351,57561,0,38,25,163,48,11,3,0,0,286,0,0,8,66,20,30,17,10,4,135,0,0,0,16,6,0,0,0,0,26,0,0,0,5,0,0,0,0,0,6,0,7,5,21,15,16,6,0,0,62,0,3,3,29,28,26,22,9,0,123,0,3,14,75,32,32,26,9,4,194,0,0,0,26,28,72,58,45,10,241,0,7,26,38,12,28,37,14,3,166,0,37,63,269,296,500,442,277,82,1968,0,15,13,84,42,30,5,4,4,195,0,0,0,9,10,13,0,0,0,32,0,0,5,30,28,35,114,53,19,278,0,5,0,7,26,38,42,42,4,168,0,0,0,14,6,3,7,0,0,43,23,202,331,2848,260,138,115,34,3,3953,0,3,8,37,17,9,0,0,3,75,0,9,3,39,16,6,4,0,0,73
CED220,0,0,0,21,5,0,5,0,0,35,3092,6042,6843,14586,6244,5052,3503,1967,671,47997,0,5,13,52,6,4,3,0,0,75,0,0,0,40,4,9,8,7,3,67,0,5,14,104,17,9,0,0,0,150,0,0,12,13,4,9,5,5,0,45,0,15,15,99,48,29,17,5,0,229,0,3,0,55,19,9,3,3,0,104,7,133,385,1189,258,341,177,66,25,2589,0,0,0,25,8,14,13,13,3,81,0,6,8,34,8,23,23,30,8,127,18,103,172,1022,447,424,328,243,63,2827,0,0,0,22,12,7,0,0,0,50,4,12,31,167,48,17,19,3,5,306,0,4,13,78,42,32,69,50,17,311,3,0,6,44,48,112,165,367,222,971,5,58,51,182,51,39,44,24,5,462,37,167,285,1951,179,108,80,51,13,2867,0,8,39,160,30,26,25,7,5,302,0,0,6,139,26,11,7,0,0,195
CED221,20,360,797,2150,602,272,95,22,0,4323,7611,12180,6992,11949,4566,3533,2086,922,252,50087,0,6,17,113,31,8,6,0,0,184,0,7,8,103,37,58,22,6,0,238,0,0,0,11,6,0,0,0,0,22,0,33,67,293,147,103,60,11,0,726,0,8,14,10,10,4,5,3,0,55,0,0,5,52,54,55,46,28,0,243,0,35,55,288,158,106,53,23,5,733,0,0,0,51,26,37,39,25,5,185,0,5,40,65,23,36,25,21,0,207,0,63,85,299,326,431,305,247,66,1828,0,14,42,245,131,105,48,13,0,604,0,5,6,7,7,4,3,3,0,35,0,6,9,37,29,29,48,39,8,204,0,5,19,35,20,41,49,35,11,211,0,4,7,58,8,14,6,0,0,96,45,573,1026,6260,1287,582,341,103,23,10246,0,11,15,91,36,13,10,4,0,181,0,65,144,165,20,9,5,3,0,415
CED222,0,11,34,205,35,15,15,0,0,320,5058,8586,7441,10315,4822,3401,2157,1080,461,43330,0,26,43,222,36,30,21,0,0,390,0,6,7,97,47,76,57,32,10,334,0,3,3,45,9,5,0,0,0,74,9,107,448,1249,653,556,399,142,39,3601,4,12,9,30,19,13,9,0,0,100,0,0,6,40,46,33,42,53,8,230,7,135,637,2293,454,559,403,125,94,4721,0,0,0,24,26,26,61,80,26,249,0,13,22,52,17,31,53,52,18,259,9,51,63,240,187,215,209,155,57,1194,0,0,10,67,41,37,18,7,0,177,0,3,0,48,15,9,16,3,7,100,5,9,12,48,28,30,49,60,32,261,6,42,83,194,181,346,520,847,338,2550,6,29,71,260,45,56,33,12,3,532,67,312,1501,5306,663,449,266,182,44,8791,4,33,75,359,98,45,42,14,0,669,0,13,31,167,34,17,9,0,0,271
