CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED227,83354,86111,169469,6804,6513,13317,13370,12951,26323,5536,5061,10598,5115,4964,10078,12406,13663,26068,13221,13482,26702,10272,10612,20885,7559,8044,15597,5278,6162,11444,2977,3402,6381,809,1271,2079,81361,84187,165546,1995,1931,3923,597,679,1276,35,17,53,14,12,28,649,715,1362,55069,56926,111990,24541,25352,49896,58470,60395,118865,20956,21615,42571,70241,72219,142457,1958,1845,3800,12542,12155,24694,4362,4188,8551,1778,2073,3853,2380,4316,6694,33651,39769,73422,8473,7833,16310,10746,9006,19751,4294,3634,7932,2250,2384,4634,428,510,938,79331,81919,161250,3450,3825,7264
CED228,100992,100333,201323,9037,8459,17497,16071,15399,31471,5868,5420,11294,7043,6088,13134,17204,18757,35954,18796,17623,36421,10709,10575,21287,8100,8693,16791,5335,5721,11050,2270,2555,4825,566,1038,1603,99255,98764,198021,1735,1563,3305,887,1015,1897,14,16,31,24,19,37,922,1042,1965,49694,49719,99417,45682,45251,90932,47234,47106,94342,47456,47115,94570,73842,73000,146844,2342,2108,4456,14683,14113,28796,4605,4443,9050,2995,2754,5749,4006,6045,10059,46200,47766,93968,7347,6946,14289,9666,8566,18226,3918,3679,7593,2659,3267,5922,1082,1398,2478,95441,95043,190485,5317,5155,10468
CED229,82107,85969,168080,3594,3474,7075,6357,6213,12568,2896,2989,5881,5371,5998,11363,19644,20964,40606,14237,14287,28521,10536,10935,21470,8543,8802,17343,6516,6911,13427,3311,3650,6958,1101,1757,2862,78846,82254,161095,3267,3721,6980,350,339,694,11,13,26,20,10,26,381,366,747,47018,48487,95504,30239,32714,62953,56687,57829,114513,20316,23131,43454,61432,64095,125526,1126,1115,2240,5980,5815,11798,2532,2627,5157,2847,3264,6108,5108,6873,11981,55437,59812,115249,4667,4635,9307,4029,3667,7696,1526,1379,2906,1125,1330,2463,323,391,713,74840,78427,153269,6975,6386,13361
CED230,83340,84301,167639,4399,4440,8831,10268,9623,19893,4701,4283,8984,4333,3902,8235,9688,9873,19562,8713,9092,17807,9910,10412,20319,12130,12097,24230,10974,10641,21612,6099,6596,12696,2129,3339,5466,79478,81131,160613,3859,3166,7025,2389,2595,4987,83,72,152,67,84,153,2541,2748,5295,66969,68177,135141,9053,9300,18348,69519,71112,140635,7063,6891,13953,71819,73280,145100,1179,1230,2413,9236,8714,17951,3082,3057,6142,728,995,1721,1230,2787,4011,22548,28504,51051,11553,11267,22818,14658,12609,27269,6946,5857,12807,5322,4727,10051,716,634,1346,75191,76391,151586,7965,7765,15730
CED231,74746,78659,153408,4107,3840,7953,8541,8130,16672,4092,3790,7886,4882,4692,9572,11811,12153,23961,10951,11574,22522,10114,10688,20803,8317,9057,17371,6444,7522,13963,3965,4889,8855,1526,2332,3856,72570,76426,148997,2173,2234,4411,338,319,658,19,14,40,14,16,33,377,355,729,51205,52443,103645,20631,23262,43891,51237,52192,103430,20512,23427,43935,64890,68174,133063,1272,1289,2558,8167,7778,15945,3540,3390,6932,2399,2362,4768,2826,4031,6856,40532,44130,84664,6245,5804,12049,6090,5655,11748,2636,2692,5331,2912,4090,7004,664,1136,1795,70740,74491,145233,3513,3415,6927
CED232,79087,80801,159894,6024,5637,11657,12544,11859,24400,5316,4956,10275,4479,4030,8507,9796,10739,20536,11704,12340,24045,10448,11141,21585,8598,9004,17607,6364,6954,13314,3138,3069,6201,679,1076,1750,76824,78701,155529,2262,2103,4359,943,896,1836,27,32,66,21,16,38,994,952,1943,60577,61984,122561,15057,15367,30423,63156,64400,127556,12444,12895,25340,70368,71599,141972,1886,1680,3575,11870,11196,23063,4230,4082,8316,1621,1675,3299,1857,3584,5436,32014,38590,70601,8824,7975,16798,10111,7962,18077,4189,3320,7506,2075,2143,4216,248,287,541,74956,76594,151544,3220,3394,6610
CED233,98410,101559,199964,3252,3189,6437,4892,4797,9687,3449,4326,7776,12923,15054,27976,33351,33977,67326,16397,14783,31175,9062,8916,17975,7144,7154,14302,4835,5380,10215,2358,2731,5089,751,1255,2004,94334,97176,191509,4072,4387,8460,534,496,1030,23,14,36,22,14,34,580,520,1105,49613,48668,98288,42044,46391,88437,58095,56102,114188,33221,38799,72018,64179,64913,129088,869,833,1701,4446,4359,8810,2897,3736,6639,7957,9567,17528,9479,11770,21250,72451,75714,148166,4174,3830,8004,3617,3148,6765,1310,1310,2619,1240,1954,3193,637,1043,1678,86179,89368,175548,13952,13059,27009
CED234,83846,89005,172855,4056,3994,8048,10500,9805,20298,5343,4818,10157,5683,5085,10771,10218,10392,20607,11052,12194,23247,11196,12220,23420,10045,11134,21181,7694,9097,16789,5658,6895,12559,2391,3383,5775,81869,86901,168770,1979,2105,4083,238,213,451,9,7,17,9,4,9,248,226,481,46562,47211,93770,34721,39014,73741,44955,45451,90405,36228,40647,76877,67652,71043,138694,1420,1363,2787,10100,9451,19553,4823,4376,9196,3168,3030,6195,3150,4359,7507,48208,51721,99930,6139,6176,12320,5771,6031,11801,2753,3087,5836,2844,3954,6801,735,1047,1785,80373,84787,165160,3057,3753,6818
CED235,71468,74883,146349,3894,3774,7667,9007,8395,17399,3852,3798,7650,3287,3084,6375,7410,8088,15497,7582,8175,15754,8496,9232,17726,10239,11269,21510,10509,10893,21404,5567,5811,11374,1618,2375,3987,67801,71405,139205,3663,3479,7143,949,914,1861,44,36,84,22,30,51,1016,980,1995,57366,59721,117092,9000,9948,18953,63595,66392,129986,3276,3817,7095,64054,66999,131057,1097,994,2090,8268,7685,15952,2743,2929,5672,741,962,1710,1124,2689,3818,22052,28714,50761,10119,9865,19980,12803,11021,23823,5461,4762,10222,3281,3278,6552,266,266,536,65141,68376,133515,5310,5649,10958
CED236,79509,80000,159507,4467,4142,8608,10260,9620,19881,4919,4293,9207,4317,3977,8291,9049,9310,18361,8498,9023,17517,9868,10082,19953,10768,11072,21840,9871,9904,19778,5707,5888,11593,1784,2694,4479,75946,76876,152825,3560,3125,6682,2355,2437,4789,64,65,128,73,67,143,2491,2561,5063,63234,63748,126983,9865,10202,20069,65305,66234,131544,8051,8157,16208,68671,69554,138224,1221,1115,2342,9309,8757,18069,3339,3237,6580,896,1169,2069,1334,2965,4297,21965,28202,50160,10715,10258,20976,14201,11908,26117,6637,5354,11997,4609,4052,8663,665,593,1260,71832,73014,144847,7347,6485,13831
CED237,84897,85498,170399,5818,5400,11216,11490,10743,22237,4988,4611,9602,5961,5358,11325,13284,13158,26442,13294,13132,26426,10304,10603,20910,8739,9501,18236,6427,7206,13637,3422,4030,7448,1160,1762,2925,83377,84039,167415,1522,1461,2983,672,753,1425,16,19,41,24,24,46,718,799,1513,46359,46275,92633,34840,35634,70471,37891,37400,75286,42882,43905,86788,68823,69991,138818,1692,1572,3263,10779,10060,20837,4023,4006,8031,2537,2597,5138,3187,4355,7541,39577,41376,80961,6719,6131,12851,8182,7112,15295,3629,3496,7125,4329,5652,9983,1443,1914,3362,81224,81665,162888,3647,3853,7504
CED238,76844,77714,154555,3960,3728,7683,9351,8680,18029,4488,4123,8601,3713,3364,7078,8478,8280,16759,8215,8556,16776,9679,10016,19697,11192,11711,22905,10653,10494,21143,5409,5927,11334,1708,2849,4556,72989,74117,147106,3857,3595,7452,1420,1350,2769,36,28,62,37,20,59,1493,1392,2889,64378,65291,129664,6967,7131,14101,67740,69727,137470,3038,3123,6161,67755,69795,137555,1118,1078,2200,8574,7992,16563,3088,3095,6180,703,944,1650,1342,2656,3996,23372,30540,53908,11179,10848,22026,13574,10403,23975,5994,4757,10750,3863,3454,7321,313,235,554,68846,70907,139756,7644,6605,14247
CED239,77216,81096,158319,4604,4432,9031,7815,7639,15455,3359,3197,6556,5821,5846,11671,16831,17440,34271,13140,13111,26247,9371,9634,19003,7099,7560,14656,4524,5333,9855,2957,4127,7085,1711,2776,4486,75133,78729,153863,2090,2371,4456,452,480,930,16,14,25,23,22,44,483,516,1000,48177,50655,98820,25677,27125,52799,46788,48741,95531,26891,28754,55638,62559,66834,129396,1373,1290,2665,7408,7190,14600,2784,2786,5569,2900,3128,6027,4467,6029,10491,44661,48418,93078,5039,4296,9330,5097,4382,9480,2233,2181,4417,3239,4719,7963,944,1458,2400,72910,76299,149208,3737,3886,7619
CED294,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
CED297,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
