CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED211,6,44,60,99,60,43,34,11,6,363,3,26,35,146,104,90,51,31,5,491,0,23,60,381,101,98,106,33,10,817,0,16,18,111,30,12,17,0,0,199,0,32,44,83,17,6,8,0,0,181,0,5,0,17,12,9,0,4,0,50,11,31,39,74,52,42,24,9,3,278,0,22,28,130,131,128,88,33,3,561,0,0,5,19,11,14,21,12,3,79,0,0,4,22,17,15,5,0,0,61,12,80,117,431,238,236,251,192,78,1629,89,239,233,667,303,273,249,183,148,2390,4829,10493,9993,21744,10795,9302,7316,4570,1785,80822,0,0,0,13,8,4,0,0,0,34,4333,8586,7220,12981,7588,6384,5274,3523,1797,57692,0,0,3,33,14,8,7,0,0,62,0,0,0,13,5,8,11,4,4,45,0,0,6,20,3,3,0,0,0,41,0,0,9,58,46,58,33,19,0,210,0,8,13,50,26,19,13,13,5,143
CED212,0,5,3,20,13,13,4,0,0,64,0,29,52,167,136,74,56,25,3,538,0,0,7,99,54,69,52,32,5,316,0,0,0,19,0,6,3,0,0,29,6,25,20,31,11,4,0,0,0,94,0,0,0,20,18,19,10,6,0,78,4,29,16,77,57,37,49,21,0,287,0,11,13,33,23,11,3,4,0,94,0,5,11,33,29,26,32,15,9,154,0,0,7,20,23,7,7,0,0,72,3,91,127,459,334,303,251,193,66,1821,190,440,396,1043,597,465,323,233,111,3794,4775,10389,9154,20308,10763,9384,7077,3959,1337,77143,0,0,0,23,21,22,5,0,0,69,4444,8885,7168,15791,7719,6493,4921,2655,1234,59307,0,0,4,13,0,4,0,0,0,22,0,0,0,35,17,30,18,8,0,114,4,0,0,38,6,4,3,0,0,57,0,0,5,32,17,13,4,4,0,73,0,12,8,59,27,27,18,3,3,154
CED213,0,7,0,0,10,9,7,0,0,34,0,7,20,67,73,49,47,32,5,298,0,0,3,30,11,20,25,12,6,116,0,0,0,5,0,0,0,0,0,5,0,16,12,12,4,0,0,0,0,51,0,0,0,7,14,6,8,3,0,34,5,18,17,55,42,41,40,15,4,241,0,4,0,9,8,11,0,3,0,29,0,3,11,14,21,16,29,19,6,124,0,0,4,5,3,4,0,0,0,23,3,42,34,155,140,160,238,182,72,1024,159,436,358,856,608,618,669,503,258,4453,3695,8525,7946,14128,9238,9763,10310,6704,2332,72638,0,0,0,0,0,3,0,0,0,7,3198,7297,6231,12189,7892,7909,7931,4859,1937,59451,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,0,0,0,10,4,0,0,0,0,25,0,0,0,15,0,0,0,0,0,24,0,10,8,69,26,30,24,6,6,184
CED214,0,8,7,86,26,20,15,0,0,155,3,5,5,95,28,11,8,4,0,163,0,18,73,363,63,58,32,9,0,614,0,0,7,69,6,6,3,0,0,89,0,11,33,103,19,4,6,5,0,187,0,0,6,84,69,81,29,21,5,295,11,19,22,111,40,18,7,8,0,227,29,304,843,3262,2483,2662,1419,399,164,11560,0,0,4,8,7,5,4,0,0,27,0,0,8,41,6,3,0,0,0,58,21,160,375,1901,791,613,558,332,129,4869,265,531,689,2151,673,550,440,348,154,5807,5167,9444,10635,32309,10792,9141,6545,3480,1267,88791,0,5,32,69,7,10,3,0,0,128,4416,7019,6494,12833,3997,2790,1627,701,410,40279,7,14,18,183,25,11,0,5,0,268,0,0,6,102,70,105,100,44,11,422,5,3,5,71,11,3,4,3,0,106,0,5,3,31,27,38,19,11,0,144,0,5,3,76,17,3,0,0,0,114
CED215,15,89,49,122,83,40,24,4,0,417,6,82,81,243,165,84,22,18,0,705,6,29,53,330,109,47,37,12,0,617,3,4,8,46,8,5,9,0,0,69,0,43,51,81,13,4,3,0,0,197,0,6,6,49,26,16,6,4,0,108,19,74,45,119,48,41,14,5,3,366,6,37,48,335,274,249,157,39,11,1150,0,4,7,26,15,18,7,0,4,79,0,0,16,66,38,10,0,0,0,132,40,285,350,1512,699,508,346,218,86,4035,308,625,494,1650,498,364,254,145,56,4389,7748,14818,10261,32467,12098,8386,5628,2728,952,95075,5,3,3,34,6,5,0,0,0,59,6499,10863,6096,12477,6522,4416,2455,1269,649,51257,4,32,21,275,46,8,13,0,0,398,0,0,0,47,34,34,20,8,3,151,0,8,13,122,23,0,0,5,0,176,0,0,6,36,44,29,22,9,4,141,5,15,14,92,24,17,10,6,0,180
CED216,0,8,5,14,3,4,9,0,0,34,3,18,18,51,47,32,25,10,0,210,0,5,20,71,21,16,16,6,4,152,0,0,0,8,0,3,0,4,0,18,0,10,27,29,8,0,0,0,0,74,0,0,0,9,4,3,0,0,0,24,4,13,15,31,19,22,33,21,6,161,3,13,10,87,33,28,10,0,0,180,0,0,0,5,9,11,20,10,3,62,0,0,4,5,7,6,0,0,0,34,7,33,51,203,108,161,186,128,43,924,263,636,564,1319,753,927,934,568,233,6201,4080,9277,8045,16701,8818,10923,11138,5727,1598,76298,0,0,0,0,0,0,0,0,0,0,3637,7767,6593,13827,7788,9184,8005,4035,1508,62344,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,6,0,0,0,9,4,0,0,0,0,12,0,0,0,13,3,0,0,0,0,18,0,4,4,27,18,29,14,7,0,106
CED217,3,62,48,55,35,19,12,4,6,246,11,94,101,344,343,227,154,76,17,1359,0,5,12,83,47,46,53,28,18,290,3,4,4,32,6,0,4,0,0,63,0,12,27,31,10,0,5,0,0,86,0,6,3,44,23,28,14,9,0,136,33,112,94,116,92,80,44,21,10,592,0,26,33,88,61,34,14,4,0,256,0,4,4,17,24,18,5,12,3,94,0,0,0,32,19,22,13,6,0,90,32,182,186,934,694,596,590,380,159,3756,65,307,243,602,342,251,238,195,113,2352,3567,10216,9731,16445,11328,9700,7352,4238,1690,74264,0,0,0,3,0,0,3,0,0,14,3308,8056,7152,10006,7899,6554,5000,2942,1857,52772,0,0,0,18,0,4,0,0,0,26,0,0,0,25,15,17,10,6,3,79,0,7,13,101,35,11,10,0,0,169,0,3,0,18,13,0,0,3,0,43,0,16,4,93,62,38,19,10,3,247
CED218,3,25,19,49,18,25,17,3,0,154,0,8,24,65,32,26,12,7,0,177,3,42,106,377,219,183,89,33,7,1057,0,5,3,18,11,0,9,0,0,47,4,6,23,62,14,3,6,0,0,118,0,4,8,75,73,55,44,21,0,271,7,36,36,45,33,9,8,0,0,173,26,95,228,1468,958,925,346,99,24,4175,0,0,0,5,4,3,8,3,0,19,0,0,12,27,17,7,3,0,0,71,22,177,422,1591,979,975,765,349,73,5357,225,532,508,1245,490,373,286,135,33,3837,6026,13225,12009,27254,11571,9051,6413,2937,717,89201,0,23,38,87,36,9,6,3,0,206,5293,10274,7896,11940,5267,3318,1675,609,330,46607,0,7,12,97,13,18,3,0,0,159,0,0,11,183,113,138,71,31,13,556,0,0,3,16,12,8,0,0,0,42,0,0,4,34,21,11,20,4,0,85,0,4,8,28,9,3,3,5,0,61
CED219,0,14,11,20,19,18,7,0,0,99,0,8,32,72,55,32,23,9,0,242,6,21,37,186,85,49,32,12,0,425,0,4,0,9,5,0,0,0,0,15,0,26,36,36,8,3,0,0,0,104,0,0,5,24,20,21,15,6,0,87,0,19,16,53,26,20,17,3,0,163,0,18,12,129,51,52,23,6,0,295,0,0,0,13,10,17,15,7,3,59,0,8,16,39,19,8,0,0,0,85,22,185,331,913,459,364,300,172,49,2797,299,695,518,1327,536,440,341,198,59,4420,6298,12508,10159,24094,10093,8247,6456,2845,701,81404,0,6,8,33,4,0,0,0,0,49,5693,10221,7620,15949,7261,5847,4173,1686,700,59149,0,30,15,175,19,6,6,4,0,253,0,0,0,38,23,23,21,3,0,115,0,0,0,27,10,3,6,0,0,43,0,0,0,23,11,3,0,0,0,42,0,4,3,50,20,19,7,0,0,106
CED220,5,33,42,158,45,20,32,10,0,342,0,15,51,304,94,108,96,35,9,700,0,9,36,252,69,61,71,28,9,544,3,6,4,98,14,4,3,3,0,133,6,6,26,101,21,11,6,0,0,173,0,0,3,51,14,20,4,5,0,98,34,68,96,221,61,63,45,22,3,610,0,3,40,172,117,60,48,15,7,465,0,0,4,34,10,9,4,10,6,84,0,0,9,28,9,6,0,0,0,60,17,77,163,1168,365,356,371,299,135,2951,85,223,299,1135,368,297,239,214,109,2964,3343,7113,9061,26421,9355,7898,6009,3842,1441,74497,0,0,3,22,0,7,0,0,0,37,2856,5650,7343,14688,6691,5368,4118,2507,1223,50444,0,0,7,31,4,5,0,0,0,45,0,0,0,23,14,14,15,4,6,75,0,5,13,123,20,7,4,0,0,174,0,0,10,19,12,14,10,3,0,68,3,16,22,155,36,32,17,8,0,280
CED221,0,23,23,40,27,33,13,3,0,160,0,14,45,134,96,65,37,20,3,412,7,161,353,1566,627,395,223,65,19,3408,0,5,0,38,0,0,0,0,0,46,0,23,24,135,20,3,0,0,0,205,0,0,6,71,54,48,19,16,3,217,5,31,29,50,32,14,12,0,0,169,6,16,32,161,108,80,40,3,4,455,0,0,6,14,11,12,5,7,3,56,0,12,37,96,35,13,10,0,0,201,13,143,383,1164,629,556,324,181,43,3442,324,744,555,1450,462,391,259,120,45,4361,8138,15429,12201,30584,11009,8268,4991,2302,609,93534,20,317,797,1910,467,202,82,22,12,3832,7204,11327,6968,12162,4653,3487,2348,1139,465,49755,0,10,17,122,22,4,0,0,0,189,0,0,3,99,51,57,25,7,0,248,0,0,0,16,0,4,3,0,0,34,0,19,51,461,150,119,66,20,6,898,0,4,7,27,6,7,5,0,0,59
