CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED211,0,4,4,6,7,7,5,0,0,32,0,13,5,58,36,20,37,31,8,205,0,0,5,43,18,67,152,116,72,486,0,12,12,21,13,6,10,0,0,74,0,22,47,139,67,26,7,10,0,317,3,3,0,13,16,17,7,5,8,69,16,127,127,458,219,184,133,54,13,1337,0,0,0,4,0,6,25,17,7,61,0,0,3,36,18,18,14,3,5,94,7,56,177,515,121,49,26,10,3,960,0,0,23,86,5,0,0,0,0,114,0,0,9,16,25,31,88,81,41,299,11,51,71,261,191,167,90,49,15,898,0,0,0,0,0,9,4,5,0,20,0,18,40,169,22,8,7,4,0,263,0,0,0,9,12,5,9,0,0,36,3,24,37,172,66,36,30,8,0,396,0,0,0,19,19,25,48,14,12,143,0,0,0,3,4,0,0,0,0,8,0,0,9,39,52,62,97,72,33,361
CED212,0,0,4,8,12,8,5,3,0,37,0,20,12,101,58,42,45,29,17,316,0,3,5,40,29,58,101,90,36,363,0,4,7,5,7,0,4,0,0,28,0,0,12,27,6,0,0,4,0,45,0,0,0,20,18,26,11,8,0,91,0,8,15,59,37,28,27,9,0,189,0,0,0,3,0,14,22,17,11,63,0,0,8,48,20,36,35,12,4,163,0,0,0,15,0,0,4,0,0,22,0,3,0,33,0,4,0,0,0,43,0,0,3,11,22,31,103,75,46,302,7,83,164,539,358,269,163,47,21,1649,0,0,0,7,10,4,5,0,0,33,0,0,3,35,4,10,3,5,0,64,0,0,3,13,6,12,7,0,0,39,3,39,55,170,67,43,33,3,0,411,0,5,0,23,32,54,54,19,6,195,0,0,7,18,9,12,6,0,0,42,0,13,28,80,106,145,132,107,27,641
CED213,0,0,0,3,4,3,0,0,4,11,0,14,29,71,63,49,59,29,11,327,0,5,3,45,30,77,230,196,70,655,0,4,3,4,0,0,4,0,0,19,0,0,0,4,0,0,0,0,0,13,0,0,0,0,6,7,9,3,0,23,0,0,7,23,17,18,10,3,4,79,0,0,0,0,4,5,29,38,11,91,0,0,0,17,10,23,17,14,5,78,0,0,0,6,0,0,0,3,0,11,0,0,0,14,0,0,0,0,0,17,0,0,8,22,26,43,139,112,43,388,7,23,38,218,196,228,182,97,20,1005,0,0,0,5,9,11,9,9,0,42,0,0,0,4,0,3,0,0,0,8,0,0,0,9,10,8,4,0,0,33,0,16,30,66,19,3,0,0,0,137,0,0,0,18,10,10,27,13,6,78,0,0,0,6,0,4,0,0,0,11,0,14,28,67,90,134,161,128,39,654
CED214,3,91,48,147,41,45,16,4,0,393,0,7,11,99,37,17,16,10,0,192,0,0,9,92,24,120,196,216,134,797,6,8,11,38,10,4,0,0,0,77,3,3,7,80,17,7,10,0,0,123,6,0,8,40,47,49,34,8,3,193,11,72,59,426,81,51,42,9,0,752,0,0,0,19,24,131,503,402,115,1195,0,0,4,54,9,16,17,6,0,106,0,33,112,370,69,30,16,0,0,639,3,7,313,523,18,7,0,0,0,869,0,0,3,24,9,13,23,10,5,88,16,105,165,696,222,121,52,14,0,1387,0,3,8,84,89,160,264,111,35,751,9,45,122,789,76,17,9,5,0,1070,0,0,13,11,17,4,0,0,0,43,9,92,140,788,246,219,142,42,11,1680,0,0,3,53,40,51,64,46,24,277,0,15,20,67,45,44,14,0,0,205,0,0,5,58,30,43,28,23,6,195
CED215,4,6,6,43,22,9,4,0,0,96,8,17,13,204,54,34,23,21,3,371,0,6,9,87,55,150,190,177,132,807,0,11,4,24,14,0,6,0,0,56,6,22,20,146,45,15,6,3,0,272,3,6,31,243,140,107,70,33,4,631,7,68,81,428,103,76,60,14,0,849,0,0,3,16,27,102,216,184,62,613,0,9,14,106,30,25,16,3,3,210,0,8,22,59,28,23,8,3,5,158,0,3,46,222,19,4,7,0,0,315,0,11,3,30,21,13,29,25,5,144,56,403,383,1063,427,252,103,21,8,2705,0,4,0,74,100,108,129,80,21,521,20,131,128,653,79,26,7,4,0,1047,0,7,3,15,21,4,0,0,0,50,8,86,152,655,279,158,92,15,0,1449,0,3,3,50,30,23,47,10,9,182,5,13,29,86,46,26,20,0,0,221,0,4,25,82,70,92,75,36,9,404
CED216,0,3,0,11,4,0,0,0,0,14,0,0,0,22,10,26,31,22,4,118,0,0,10,5,14,46,146,100,57,384,0,3,0,7,4,0,3,0,0,20,0,0,6,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,12,0,13,10,78,21,16,9,4,0,152,0,0,0,4,3,21,76,39,11,150,0,0,0,10,3,6,12,0,0,31,0,0,0,33,12,0,7,0,0,55,0,3,7,32,0,0,0,0,0,34,0,0,3,16,15,58,216,174,40,526,0,38,41,203,133,166,171,60,6,821,0,0,0,0,0,0,3,0,0,6,0,7,5,45,8,5,3,0,0,67,0,0,3,0,9,4,5,0,0,19,9,42,46,158,39,19,11,0,3,320,0,0,0,12,4,9,30,9,3,74,0,0,0,3,0,4,0,0,0,9,0,5,4,24,17,73,116,81,11,344
CED217,0,0,0,4,4,0,4,3,0,20,0,11,22,245,66,51,33,22,4,457,0,9,8,68,45,75,136,78,84,504,9,48,24,51,45,17,12,0,0,209,0,14,29,55,27,10,4,6,0,138,0,0,0,5,25,21,21,8,0,77,3,15,31,150,73,65,50,18,7,413,0,0,0,0,0,10,20,10,0,43,0,0,0,28,13,17,10,5,3,81,0,0,0,0,4,3,3,0,0,10,0,0,57,69,3,0,0,0,0,133,5,19,21,32,32,35,37,28,13,208,6,56,94,380,255,229,118,64,12,1208,0,0,0,10,9,12,14,4,0,45,0,3,3,34,9,8,3,3,0,57,0,0,0,7,11,4,0,0,0,21,0,15,19,93,19,11,13,0,0,172,0,4,0,42,33,52,145,71,42,392,0,0,0,3,0,0,0,0,0,10,3,20,29,89,99,112,105,59,14,529
CED218,6,137,118,309,116,70,37,16,3,815,0,8,4,44,12,11,15,11,8,105,0,0,3,58,57,236,347,246,85,1043,0,0,3,9,4,0,0,0,0,20,0,4,3,38,13,6,0,0,0,67,0,11,14,97,85,80,64,24,7,387,3,80,38,167,60,44,37,7,0,440,0,3,10,53,80,260,591,338,62,1405,0,0,11,58,18,12,18,3,0,125,0,21,96,279,78,29,10,0,0,522,0,5,12,120,13,4,3,0,0,155,0,0,0,5,3,9,23,19,9,71,21,259,342,509,162,107,35,11,4,1449,0,8,17,232,225,303,468,159,25,1440,7,96,97,620,83,44,37,5,7,992,0,0,3,3,4,5,0,0,0,15,3,106,390,1056,660,471,277,61,3,3032,0,0,0,56,45,81,94,34,10,319,0,21,49,90,67,45,20,3,0,301,0,0,0,22,23,29,33,29,12,148
CED219,0,15,17,36,22,7,9,0,0,106,0,6,9,56,25,39,30,30,0,192,0,3,5,39,35,125,175,107,21,507,0,3,3,3,9,0,3,0,0,23,0,0,11,21,8,8,3,0,0,49,0,5,9,44,31,26,17,5,3,140,0,44,19,78,24,25,15,6,0,201,0,10,22,54,57,118,292,148,17,710,0,3,8,46,11,13,8,0,0,85,3,18,50,183,52,18,10,0,3,322,0,0,18,71,5,0,4,0,0,97,0,0,6,9,27,19,79,48,11,202,34,250,252,564,288,206,93,34,9,1726,0,3,0,53,48,50,73,10,5,241,9,53,33,260,44,23,11,0,0,439,0,0,3,3,15,6,0,0,0,28,6,91,166,388,205,106,46,19,0,1031,0,0,4,24,16,21,35,6,7,116,0,41,44,118,77,48,21,4,0,360,0,5,7,59,51,88,96,62,16,392
CED220,0,0,0,18,10,5,0,0,0,38,0,0,10,365,29,30,33,17,5,490,0,0,9,150,38,49,84,94,40,467,8,17,11,94,28,21,12,4,0,187,0,7,20,133,28,17,7,3,0,212,0,0,0,23,12,10,16,0,0,66,5,15,79,425,107,106,105,39,8,891,0,0,0,8,4,5,10,11,3,39,0,0,4,72,14,15,16,7,0,136,0,0,10,8,8,4,3,8,0,41,0,0,87,150,9,0,0,0,0,250,0,5,9,45,16,18,36,12,11,155,9,40,100,692,242,200,134,49,8,1478,0,0,0,15,8,9,0,0,0,31,0,0,11,88,9,5,3,0,0,122,0,0,4,0,12,9,0,0,3,25,6,13,20,263,42,23,8,3,0,385,0,0,0,53,19,28,73,51,26,241,0,0,0,0,0,0,0,0,0,0,0,4,14,114,51,45,43,36,13,324
CED221,0,34,34,70,27,19,13,3,5,204,0,31,4,35,19,16,12,18,9,141,0,5,3,30,16,65,84,80,24,303,0,3,5,13,5,0,0,0,0,31,0,0,13,43,25,7,0,0,0,93,0,3,11,39,34,21,25,6,0,141,0,26,65,133,52,54,28,5,0,370,0,0,0,4,0,17,32,25,4,83,0,13,62,282,130,189,151,49,21,897,0,4,5,35,13,13,5,0,0,74,0,7,36,187,24,7,0,0,0,271,0,5,0,17,22,17,81,72,25,225,48,348,453,864,300,224,118,36,10,2405,0,0,0,43,27,31,19,5,0,125,24,229,263,515,89,62,19,5,0,1193,0,0,0,3,4,4,0,0,0,14,7,125,304,801,406,208,56,12,0,1922,0,3,6,44,28,32,43,12,4,174,0,43,87,183,112,136,48,17,5,618,0,3,9,36,43,84,72,42,13,308
CED222,0,6,14,39,13,19,9,8,0,95,6,11,5,80,31,25,24,18,9,206,0,0,11,88,43,100,227,342,251,1066,3,23,28,43,20,7,10,0,0,136,5,46,50,345,77,40,25,6,3,599,0,0,7,31,39,50,40,30,0,205,9,108,330,1425,205,140,110,31,6,2362,0,0,0,3,7,12,36,57,22,130,4,0,25,150,56,111,100,87,34,569,0,5,44,357,122,60,22,17,4,629,0,7,132,261,12,8,0,0,0,419,0,4,3,13,11,20,25,36,19,125,15,115,176,450,176,143,77,19,6,1169,0,0,0,12,11,8,16,8,8,66,14,50,121,408,60,30,25,3,0,701,0,0,0,3,9,5,0,0,0,14,16,65,117,542,191,120,83,22,7,1166,0,0,4,40,38,59,107,35,13,292,0,4,5,25,19,19,12,6,0,84,0,0,4,30,40,34,44,34,9,202
CED223,0,0,0,0,0,0,0,0,0,6,0,0,9,42,15,17,16,20,3,116,0,3,8,15,13,39,134,126,64,395,0,4,3,8,4,0,4,0,0,20,0,0,4,11,0,3,0,0,0,18,0,7,0,3,3,5,3,0,0,17,0,11,10,31,17,17,8,4,4,93,0,0,0,0,0,5,13,4,0,28,0,0,0,12,0,8,0,0,0,24,0,0,0,7,3,0,0,0,0,23,4,15,30,81,3,0,0,0,0,130,0,4,3,16,18,35,132,103,25,340,0,14,32,146,141,140,124,43,15,659,0,0,0,0,0,3,8,0,0,24,0,3,0,29,0,0,0,0,0,39,0,0,0,6,19,12,3,0,0,49,4,44,33,128,33,6,8,0,0,259,0,0,0,7,0,4,11,9,5,32,0,0,3,7,0,0,0,0,0,16,0,4,3,31,29,63,78,54,19,282
