CED_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED225,480,562,801,663,2244,3475,1315,3240,62,12838,1147,2636,2868,2504,5085,6467,1782,3418,133,26054,394,793,745,633,1931,3039,693,1081,112,9418,930,2229,1362,718,1027,1000,258,361,73,7960,433,1698,1685,1105,2594,2231,410,642,82,10900,470,2255,864,394,784,780,184,311,43,6090,129,342,254,163,520,512,163,272,25,2376,275,1527,650,287,580,530,139,233,49,4272,66,136,93,60,208,209,50,112,247,1187,4334,12194,9319,6527,14971,18242,4997,9674,831,81095
CED226,399,1025,1161,990,2426,4192,1471,4538,105,16300,1071,3723,3228,2719,5905,8888,2489,5863,191,34068,205,561,579,317,970,1375,289,506,54,4866,829,2515,1138,477,683,548,145,230,70,6635,353,1946,1551,807,2183,2027,439,698,61,10070,558,2564,1010,380,804,890,246,448,64,6963,88,269,204,91,207,225,56,85,8,1246,251,1291,528,199,271,278,49,97,35,3007,80,181,129,78,194,238,54,150,311,1414,3827,14069,9526,6060,13643,18664,5250,12623,908,84572
CED227,298,492,628,448,2240,2796,916,2389,96,10305,669,1362,1503,1484,3814,4124,950,1615,128,15646,512,870,925,733,3390,4035,1033,1683,209,13403,895,2092,1918,1331,1749,1081,260,445,179,9948,454,1453,1597,970,3366,2166,457,560,103,11131,518,2344,1126,534,1293,904,231,344,88,7394,243,486,511,391,1612,1671,542,1147,137,6744,432,1901,1061,667,1686,1387,354,577,141,8208,103,148,118,68,291,290,79,146,406,1650,4129,11153,9402,6629,19441,18455,4837,8903,1490,84432
CED228,304,432,540,447,2247,2707,627,1400,115,8821,566,1165,1349,1302,5274,6410,834,1337,230,18472,449,931,1147,636,3124,3216,757,1071,216,11550,868,2172,2114,1412,2171,1284,284,486,223,11023,438,1089,1426,997,4273,2874,517,686,138,12433,597,2419,1355,573,1343,833,174,263,112,7662,410,955,1345,862,2722,2564,820,1441,281,11400,435,2102,1553,784,2009,1302,313,468,229,9197,115,163,140,132,461,408,55,126,643,2236,4169,11437,10972,7145,23632,21592,4378,7285,2185,92800
CED229,602,977,1138,1054,3360,5306,1794,4881,111,19226,1309,3368,3176,2637,7980,11306,2859,5990,279,38897,416,784,907,459,1415,1831,465,797,104,7172,1079,2592,1634,748,1119,917,229,351,129,8795,348,1295,1277,815,3269,2841,604,922,72,11448,474,1590,968,443,1229,1157,301,569,69,6788,96,301,382,149,313,297,85,178,17,1818,244,1071,1143,288,442,455,115,217,56,4029,89,178,144,91,331,359,80,229,406,1897,4655,12150,10764,6673,19460,24475,6530,14124,1241,100070
CED230,413,882,864,725,1656,2812,1018,4825,238,13439,585,1041,1137,1242,2231,2360,654,1209,103,10570,355,767,604,534,2247,2688,658,1282,167,9300,750,1692,1651,1189,1504,1022,236,431,157,8638,276,1117,1210,797,1866,1232,236,336,71,7123,367,1894,990,521,1046,685,182,263,106,6047,241,384,367,254,985,1196,401,1208,113,5150,520,2391,1304,964,2134,1955,508,754,286,10823,103,162,111,67,215,203,51,131,576,1616,3606,10330,8238,6304,13890,14145,3929,10442,1824,72700
CED231,429,525,715,622,2391,3406,1270,3323,81,12763,1019,2040,2318,2031,5288,6567,1801,3397,168,24629,333,675,691,436,1843,2374,545,1005,99,7994,787,1913,1290,697,1042,926,235,346,91,7331,426,1428,1601,1009,3330,2490,514,733,98,11637,612,2111,943,399,927,784,197,338,64,6364,153,367,357,222,664,698,190,365,56,3078,308,1376,823,359,727,636,189,321,70,4804,86,142,100,77,279,265,45,136,340,1465,4161,10568,8830,5854,16488,18145,4987,9963,1068,80068
CED232,373,461,610,568,2008,2777,976,2661,107,10538,823,1647,1894,1577,3248,3811,1128,1925,143,16206,520,904,853,696,2907,4335,1059,1770,235,13283,1019,2155,1691,1115,1556,1323,346,424,135,9753,460,1571,1627,1066,2820,2122,406,619,102,10783,436,2288,966,450,989,738,211,319,67,6463,196,414,379,264,1006,1280,450,981,97,5067,399,1744,824,470,1051,1077,283,535,127,6507,90,141,111,68,268,270,45,142,332,1469,4318,11315,8948,6276,15855,17734,4898,9375,1343,80063
CED233,599,960,1099,949,3556,4877,1728,4065,99,17952,1514,4299,3584,3330,11340,15926,3909,7452,337,51688,571,1284,1417,621,1724,1982,441,788,122,8947,1685,4071,2537,965,1293,952,232,326,168,12231,460,1532,1464,862,3891,3005,603,806,67,12691,717,2391,1379,473,1292,1021,262,395,117,8046,138,505,584,202,363,384,78,160,39,2458,454,1870,1819,365,605,484,150,211,104,6063,90,214,198,95,353,369,65,192,523,2090,6239,17121,14084,7851,24430,28997,7469,14391,1579,122175
CED234,394,848,969,801,2421,3607,1111,3198,86,13431,835,2710,2588,2044,5764,7101,1551,3051,159,25803,414,904,926,630,1810,2372,470,875,129,8525,780,2336,1535,773,981,713,164,271,91,7652,383,1879,1700,975,2777,2235,413,567,93,11022,565,2737,1258,499,1070,987,225,369,76,7796,113,379,303,173,494,462,130,223,35,2317,344,1662,851,370,642,551,126,251,57,4867,59,188,165,94,280,270,48,110,395,1604,3903,13645,10305,6368,16235,18296,4242,8915,1116,83013
CED235,376,767,732,591,1232,1974,629,2859,198,9364,615,1432,1405,1245,1956,1971,615,1297,78,10613,471,856,809,598,2125,3024,666,1403,202,10148,816,1942,1600,962,1095,781,211,315,142,7856,368,1248,1204,770,1699,1088,236,305,45,6956,394,1855,922,440,803,600,143,250,86,5483,215,319,342,216,660,818,342,902,98,3914,550,2037,975,645,1161,1109,366,609,217,7667,124,144,88,42,159,173,41,94,364,1234,3932,10587,8068,5507,10883,11539,3247,8034,1425,63234
CED236,375,670,705,548,1541,2372,911,3666,229,11017,539,1054,1229,1297,2210,2403,666,1263,76,10727,372,701,660,532,2283,3131,790,1393,169,10044,771,1762,1617,1147,1365,1031,277,482,141,8592,322,1115,1132,786,1885,1309,275,387,78,7299,410,2025,965,488,957,618,157,246,115,5987,282,345,357,224,905,1212,501,1067,115,5007,554,2307,1176,843,1932,1852,641,794,252,10356,110,106,83,69,171,219,51,108,491,1404,3744,10087,7930,5938,13252,14147,4269,9406,1660,70437
CED237,275,394,508,351,2022,2118,574,1256,89,7578,494,1227,1303,1293,4100,3862,747,1229,122,14376,403,837,1047,668,3040,3286,699,923,232,11144,701,1964,1846,1224,1876,1027,216,365,167,9382,396,1217,1447,940,3574,2300,401,531,106,10904,571,2501,1310,524,1239,805,161,236,103,7446,233,578,729,496,1865,1740,512,775,150,7088,410,1802,1299,682,1903,1324,277,441,172,8309,64,175,146,81,368,263,55,112,522,1783,3545,10693,9631,6263,19992,16725,3636,5855,1658,78009
CED238,451,937,911,735,1401,2568,985,4895,293,13171,701,1396,1529,1439,2101,2270,700,1320,93,11549,512,862,774,587,1990,2785,651,1287,148,9596,842,1970,1689,1062,1316,1028,235,398,135,8662,330,1192,1146,785,1502,1123,247,317,59,6690,391,2101,884,473,878,602,151,296,95,5879,268,350,314,215,757,1200,462,1108,118,4790,626,2633,1193,759,1707,1835,555,830,235,10366,92,140,83,62,175,212,58,128,440,1395,4212,11579,8531,6111,11829,13620,4048,10575,1611,72115
CED239,415,467,720,744,2516,3094,1053,2417,79,11497,1145,2532,2655,2644,6678,7993,2004,3471,189,29312,429,935,977,657,2090,2397,556,886,137,9062,902,2265,1700,962,1255,894,243,350,141,8712,458,1121,1376,923,3272,2323,455,610,85,10626,512,2001,965,391,897,713,163,253,53,5948,143,478,514,263,688,663,175,289,79,3292,345,1474,1150,404,841,710,163,296,108,5489,86,132,116,72,287,277,60,103,377,1508,4433,11405,10166,7066,18515,19064,4884,8661,1254,85448
CED294,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
