CED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED219,..,11643,11643,15874,1067,16941,10033,152,10181,10178,39,10211,4533,10,4551,2536,6,2543,43154,12916,56076
CED220,..,24296,24296,19976,2935,22916,7638,933,8573,7788,302,8094,2595,82,2674,579,24,604,38580,28570,67153
CED221,..,8583,8583,13388,1008,14394,10935,253,11189,12679,110,12790,5757,25,5784,4148,18,4163,46911,9994,56904
CED222,..,14952,14952,17902,2058,19957,12105,976,13076,11502,585,12088,4518,236,4750,2750,165,2920,48778,18970,67744
CED223,..,18078,18078,22072,1209,23279,7582,181,7764,7194,44,7245,3286,15,3301,1296,10,1309,41432,19548,60982
CED224,..,15886,15886,17371,1094,18462,9752,251,9998,10779,101,10880,3611,41,3651,1442,17,1461,42955,17382,60340
CED225,..,13630,13630,18210,1038,19249,9495,331,9829,11021,145,11172,3653,51,3704,1106,24,1131,43490,15218,58707
CED226,..,16146,16146,18084,1665,19751,8991,574,9559,10603,256,10858,3920,84,4001,1122,37,1161,42712,18770,61481
CED227,..,9775,9775,15084,871,15956,9913,158,10069,11869,53,11925,4976,20,5000,2655,9,2661,44490,10891,55379
CED228,..,10786,10786,15094,1327,16424,12700,382,13080,13199,230,13434,5483,100,5587,3885,67,3951,50370,12893,63257
CED229,..,32352,32352,24336,4358,28693,7623,1133,8756,5695,285,5980,1824,69,1889,699,24,729,40180,38217,78399
CED230,..,20874,20874,22430,1510,23944,8062,265,8324,7041,119,7162,3575,48,3622,1703,51,1747,42810,22862,65670
CED231,..,17682,17682,17857,1663,19522,9043,566,9608,9229,193,9421,3198,52,3246,977,23,999,40298,20178,60475
CED232,..,8801,8801,15651,670,16322,9416,110,9526,11309,19,11327,4927,7,4936,1975,3,1982,43273,9622,52897
CED233,..,37735,37735,27225,8016,35243,7996,3069,11068,4855,1134,5991,1226,277,1505,446,86,534,41748,50321,92069
CED234,..,13207,13207,18968,1088,20060,10898,374,11273,11699,180,11881,4196,67,4263,1541,48,1590,47307,14968,62272
CED235,..,17196,17196,20582,1081,21666,7162,130,7288,6655,38,6695,3158,14,3173,1373,12,1388,38932,18475,57402
CED236,..,17352,17352,20564,1266,21830,7803,264,8064,7283,83,7369,3603,24,3632,1864,34,1895,41116,19025,60137
CED237,..,10858,10858,15212,1059,16266,10637,325,10958,11337,164,11502,4719,70,4789,2534,44,2578,44435,12526,56962
CED238,..,18676,18676,21511,1277,22788,7508,221,7734,6823,81,6903,3301,35,3331,1334,20,1355,40472,20303,60779
CED239,..,18302,18302,17817,2647,20458,8787,1425,10205,8424,700,9127,2762,202,2965,1278,67,1347,39060,23343,62402
CED294,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
