CED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED211,646,909,448,578,666,262,117,176,52,3844,964,1053,749,1303,1086,490,184,301,85,6215,1499,693,5151,1743,1484,750,657,981,200,13155,80,55,82,106,141,85,42,96,10,685,178,147,120,230,290,139,57,123,18,1307,60,129,41,35,62,27,23,29,15,426,95,157,120,144,137,84,48,89,144,1015,9493,22324,8124,6573,7818,3247,1557,2456,965,62549
CED212,642,796,401,606,622,236,115,167,34,3618,1071,1071,733,1646,1138,519,208,323,115,6831,1924,766,7300,2321,1880,1106,1162,1626,300,18374,94,54,101,130,202,151,64,118,7,920,190,118,141,273,262,146,102,125,22,1370,59,106,44,40,51,22,28,27,15,386,121,172,135,184,163,110,75,131,155,1234,7628,14208,9614,6897,6315,3147,2017,2937,856,53606
CED213,712,748,388,513,507,259,63,125,61,3388,875,804,595,1268,827,433,108,275,58,5245,2102,670,6699,2085,1469,916,792,1438,270,16438,106,41,96,140,141,116,23,107,15,780,187,105,142,218,230,129,60,107,12,1191,53,65,40,30,42,28,7,21,6,292,168,154,155,170,163,125,64,152,125,1270,7515,11988,8759,5817,4719,2595,1242,2561,754,45949
CED214,397,563,478,451,433,207,208,205,43,2988,686,762,859,1247,875,440,391,514,105,5882,817,530,2962,1558,1078,557,975,1020,195,9682,69,41,92,126,122,82,78,134,14,760,115,116,136,201,198,102,146,143,24,1168,44,114,67,51,51,29,55,63,18,491,107,160,133,165,141,102,147,175,308,1441,7466,19262,6548,6433,7143,3247,3381,3833,1196,58506
CED215,666,734,499,458,611,261,237,201,60,3725,1156,1090,893,1456,1202,472,569,371,133,7347,1306,655,4225,1498,1383,686,1099,1014,247,12109,64,55,62,81,130,68,59,78,11,612,180,110,122,209,279,126,138,106,27,1304,103,168,67,61,79,42,52,43,23,639,149,226,120,124,157,93,121,141,294,1417,11478,23763,7916,6863,8904,3587,3645,3033,1459,70653
CED216,429,525,226,433,327,86,53,112,43,2231,722,806,414,1377,773,244,117,219,92,4757,2073,728,6194,2637,1877,999,1576,1932,322,18342,100,59,106,161,187,123,61,158,16,973,145,75,84,206,170,96,80,115,18,987,38,60,38,38,29,18,14,42,5,280,186,143,151,180,126,130,105,227,134,1390,5658,9999,7646,6158,4446,1974,2126,3101,752,41855
CED217,924,1057,310,392,597,287,57,110,51,3777,958,900,451,724,785,447,77,123,61,4528,1179,448,2311,723,710,499,211,389,108,6578,55,43,35,59,112,62,11,25,3,413,229,176,89,170,229,169,20,55,18,1164,105,189,40,40,58,38,7,19,20,509,182,249,77,84,133,85,23,40,196,1075,14929,25511,4445,4126,6725,3398,720,1279,1041,62171
CED218,496,502,439,445,642,232,284,197,50,3286,846,736,821,1406,1162,465,552,376,113,6472,1139,514,4802,1794,1534,741,1358,1303,290,13476,56,27,85,126,194,110,88,113,16,824,146,108,170,274,363,157,161,159,36,1569,69,113,46,49,84,42,46,37,17,506,111,154,137,184,189,109,117,142,252,1405,6382,14279,7867,6578,7866,3092,3746,3204,1206,54212
CED219,492,510,373,520,598,203,227,164,51,3139,799,770,697,1681,1100,413,519,356,80,6412,1615,740,6762,2641,2170,985,1963,1700,366,18945,80,35,98,138,206,137,127,132,4,953,137,78,147,253,269,132,173,135,29,1361,49,76,59,47,64,27,45,29,13,402,119,133,136,180,170,113,129,162,190,1321,5623,11050,9110,7468,6606,2742,3838,3162,946,50543
CED220,733,872,284,322,533,290,59,98,46,3237,906,969,506,754,804,467,85,224,67,4777,862,499,1833,776,668,503,158,350,91,5744,65,47,36,66,96,78,21,35,9,444,187,158,73,125,224,133,19,48,23,995,115,228,43,51,68,54,4,29,14,606,152,244,69,64,121,68,29,57,193,993,14840,33871,4515,4630,7845,4075,880,1718,1186,73567
CED221,484,522,567,533,575,234,368,290,65,3624,906,836,1079,2294,1286,574,761,634,147,8520,1484,581,6508,2744,1933,1067,1981,1907,364,18565,82,30,139,124,212,125,148,176,15,1052,133,79,180,341,240,136,171,211,26,1504,46,92,90,63,68,43,62,62,13,534,143,130,171,212,149,88,190,193,266,1531,5843,12286,10211,9029,7370,3367,4987,4730,1208,59038
CED222,447,639,506,465,604,238,218,314,54,3491,708,735,1066,1408,1018,535,477,691,110,6746,892,435,3766,1696,973,597,906,1122,220,10595,53,41,83,90,122,74,77,115,9,675,144,112,163,238,234,143,105,212,27,1378,76,142,92,64,85,55,71,89,13,685,116,187,174,179,149,111,136,223,336,1604,7676,20409,8056,7148,7884,3823,3594,4936,1395,64925
CED223,752,636,293,530,422,155,79,148,39,3061,934,897,526,1563,878,334,156,313,83,5681,2714,803,6701,2794,1957,1101,1615,2110,301,20102,110,41,109,186,184,155,76,200,12,1069,183,93,101,233,178,109,84,145,18,1138,57,66,22,39,39,8,23,38,5,294,234,126,143,193,134,140,131,225,169,1494,8068,11832,8461,7029,4986,2360,2338,3656,774,49494
CED224,786,893,449,549,740,289,106,164,54,4026,1122,1041,739,1171,1212,530,214,278,83,6399,1619,704,5085,1464,1363,745,655,890,220,12744,75,51,79,119,181,97,48,68,4,736,208,159,124,205,321,151,71,103,18,1378,78,138,54,49,58,36,29,35,10,489,147,186,120,123,167,93,60,82,202,1193,10267,20028,7881,5786,7605,3302,1648,2213,938,59668
CED225,678,971,379,547,654,239,74,133,34,3717,934,975,649,1046,931,378,124,214,59,5310,1485,647,4638,1409,1272,598,519,752,168,11486,57,52,76,98,159,75,31,53,5,604,182,140,105,187,307,152,33,88,18,1217,70,164,38,44,67,37,13,19,9,463,117,195,98,102,147,82,50,66,138,995,10743,24715,7343,5704,7240,2729,1254,1896,836,62452
CED226,746,902,274,329,533,285,65,107,52,3289,823,736,408,644,727,404,80,165,53,4042,791,412,1576,634,561,433,128,284,79,4899,66,41,36,58,79,52,17,42,3,393,179,118,62,120,204,127,23,48,15,874,86,214,25,59,66,48,8,16,23,551,121,242,45,68,125,71,11,32,156,866,14260,32289,3787,4098,7502,3593,691,1396,1102,68718
CED227,653,606,527,539,617,217,268,225,41,3694,1117,1020,978,1949,1264,535,525,454,110,7955,2022,779,7105,2318,2089,1069,1572,1722,344,19019,83,55,103,155,239,137,83,121,15,988,155,81,150,297,272,139,119,137,14,1368,70,95,62,63,58,24,56,60,18,500,169,146,150,159,182,119,104,122,203,1350,7538,14576,10313,7841,7234,3232,3489,3678,1050,58959
CED228,434,494,518,489,515,200,444,232,43,3377,859,743,1043,2045,1172,522,1018,515,127,8038,1082,591,4889,2192,1670,891,1946,1611,308,15176,63,40,61,130,164,108,149,136,5,856,102,83,129,307,243,136,212,152,29,1389,80,155,76,104,85,63,100,82,22,774,91,177,146,195,173,108,221,145,327,1584,6830,17514,8930,8930,8548,3823,6223,4347,1486,66631
CED229,871,1149,393,423,531,295,68,157,77,3963,1202,1229,734,1074,938,554,148,265,96,6228,1189,727,2483,1028,922,555,246,470,142,7769,98,74,39,84,92,76,24,53,6,530,210,226,106,150,248,142,32,63,26,1200,119,261,72,59,75,49,19,63,25,754,182,326,80,136,142,81,43,90,245,1319,16435,36620,5917,6247,8676,4323,1175,2505,1490,83383
CED230,726,557,173,481,320,121,61,145,34,2615,849,781,379,1413,662,223,129,351,82,4863,3433,790,5457,2689,1780,1081,1545,2076,329,19173,162,51,85,173,209,161,89,230,9,1160,204,63,72,226,180,125,78,192,23,1152,58,48,22,27,46,13,11,61,12,286,342,173,134,201,123,122,145,368,213,1825,7936,9897,6719,6315,4154,2088,2182,3951,809,44052
CED231,599,762,374,438,643,196,96,140,44,3295,944,902,595,957,1047,386,170,229,74,5315,1257,571,3705,1186,1189,596,630,810,183,10120,80,46,58,86,145,78,36,70,5,604,164,129,108,201,303,145,58,84,25,1225,66,129,35,37,63,20,18,20,11,401,130,195,101,129,138,86,57,78,195,1105,10408,23243,6196,5129,7638,2897,1494,2140,994,60134
CED232,697,780,423,605,633,210,143,146,54,3684,984,877,810,1704,1167,430,318,315,84,6692,2029,789,7638,2269,1843,962,1365,1474,357,18719,93,45,86,121,227,122,66,97,6,859,149,113,133,267,286,140,103,132,31,1346,51,103,62,63,47,28,19,25,12,413,117,148,144,168,186,112,75,110,155,1217,8049,15142,10276,7440,6726,2774,2556,2853,953,56765
CED233,640,951,529,443,422,286,79,181,52,3582,993,1154,1048,1323,833,532,171,466,101,6617,880,682,2253,1148,860,505,275,556,122,7275,87,62,72,125,106,51,23,78,4,607,174,157,128,183,155,98,35,85,30,1040,119,309,77,81,70,46,29,44,13,795,143,257,120,170,90,88,43,144,277,1338,15597,49109,7267,8476,9908,5019,1526,3737,1638,102279
CED234,741,804,419,474,595,332,104,205,55,3730,894,827,680,962,889,506,151,293,90,5302,1175,505,3174,1136,884,563,355,647,144,8594,56,42,62,80,121,70,19,54,11,519,176,125,133,176,259,145,53,84,12,1169,87,166,57,48,66,58,19,26,12,545,154,221,116,106,136,90,34,70,201,1133,11107,24348,6425,5389,7898,3904,1257,2199,1162,63693
CED235,508,550,245,428,393,140,56,142,39,2497,718,714,424,1284,717,313,104,276,57,4611,2369,644,6288,2290,1618,1050,1422,1897,302,17881,121,44,92,138,170,121,58,156,7,909,134,63,86,245,159,111,82,121,18,1007,47,67,22,38,42,12,10,23,12,273,176,128,130,188,134,124,94,195,137,1314,6281,9945,7736,5885,4289,2230,1914,3244,695,42220
CED236,636,482,206,421,314,98,63,158,32,2400,907,771,453,1521,747,272,148,380,58,5254,2688,694,5973,2547,1677,1006,1479,2180,304,18550,129,43,90,143,168,154,79,215,9,1026,172,67,98,202,197,107,95,169,22,1132,42,67,32,36,27,17,22,44,15,302,219,156,142,198,117,138,131,313,178,1588,6941,10003,7436,6191,4133,2102,2146,4061,742,43766
CED237,453,536,493,509,588,223,248,221,54,3316,751,665,892,1607,1105,506,451,428,89,6495,1085,486,4719,2001,1393,787,1194,1304,242,13209,48,43,81,122,181,95,76,101,12,749,155,84,124,280,295,164,117,152,28,1398,63,88,87,71,87,38,62,57,14,559,82,163,167,186,180,113,124,173,224,1396,5528,13505,8044,7269,6942,3246,3344,3561,1057,52504
CED238,858,577,214,449,372,142,79,196,40,2930,914,657,400,1305,653,253,112,338,63,4686,3128,684,5692,2724,1477,983,1489,2295,330,18806,157,41,80,144,181,148,80,238,8,1077,198,59,100,208,172,101,66,150,16,1080,52,48,24,35,26,19,10,39,6,261,302,160,135,191,122,127,124,267,165,1589,8498,10933,7160,6356,4126,2120,2072,4134,755,46151
CED239,490,731,419,410,487,250,121,166,37,3106,836,1002,811,1196,896,410,189,348,84,5776,945,619,3498,1276,1024,480,493,778,151,9262,42,43,55,95,127,74,15,48,9,503,147,144,98,175,240,102,66,83,20,1068,69,137,64,61,70,31,25,44,14,503,97,157,96,124,136,74,79,92,211,1075,9642,27870,7037,6517,7554,3033,1828,2760,1076,67315
CED294,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
