CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED211,1058,3219,819,680,93,7827,1616,956,4069,1875,1855,225,10586,92,32,327,181,184,14,826,244,90,574,445,1078,45,2475,300,48,739,379,592,241,2295,9451,3696,22699,10118,15137,1439,62549
CED212,795,2614,836,785,103,6220,993,741,3235,2125,2494,267,9840,56,42,236,168,261,20,771,78,44,282,435,1341,41,2221,110,56,440,391,910,265,2170,4032,2551,14205,10527,20667,1625,53606
CED213,682,2409,651,666,96,5331,805,547,2504,1607,2050,221,7739,56,48,275,206,326,32,948,59,36,235,329,1183,46,1893,74,41,401,312,734,215,1778,3133,2138,12008,8693,18412,1567,45949
CED214,763,2233,526,414,77,5700,1643,679,3618,1287,1357,205,8791,139,61,529,199,232,23,1191,187,68,552,437,797,73,2109,357,53,865,399,625,475,2775,9683,3050,23277,8957,11607,1933,58506
CED215,827,2713,727,541,94,6703,1713,830,3779,1521,1302,218,9369,158,51,509,240,266,26,1252,219,69,477,470,901,52,2180,508,64,922,450,612,382,2945,13122,3665,26633,11154,14024,2052,70653
CED216,594,1837,610,865,81,4585,783,600,2553,1862,2677,255,8731,27,13,116,101,182,15,448,43,23,140,254,1252,51,1764,27,28,145,190,776,252,1419,2264,1838,8716,7065,20294,1675,41855
CED217,857,2760,665,402,90,6788,2016,757,3960,1195,807,238,8973,164,69,578,171,177,28,1182,181,70,536,307,580,44,1725,437,89,1064,355,318,260,2528,11740,3990,28341,8353,8156,1588,62171
CED218,620,2215,666,690,107,5212,1054,558,3376,1542,1712,245,8484,44,16,263,160,180,30,697,96,32,363,426,1068,77,2062,217,32,650,374,767,370,2406,5671,2154,18799,9821,15868,1907,54212
CED219,739,2248,837,987,87,5736,693,552,2422,1681,2076,223,7657,33,24,190,138,258,18,667,75,26,227,353,1399,49,2123,97,23,308,294,936,330,1998,3764,2116,12051,9630,21256,1722,50543
CED220,831,2971,463,273,78,7244,3037,908,5409,1014,733,236,11336,211,85,797,223,175,34,1532,250,62,574,307,523,40,1763,547,104,1376,305,286,292,2914,16222,4488,36011,8066,7178,1603,73567
CED221,482,1608,787,689,73,4468,1163,637,3981,2709,3022,313,11827,31,21,159,144,258,23,642,105,29,328,502,1389,68,2415,256,33,626,539,1166,428,3045,5944,1904,15746,12249,21125,2069,59038
CED222,638,2298,623,482,88,6074,1777,613,4417,1725,1709,262,10507,104,18,284,138,183,20,743,215,46,540,527,1098,86,2516,581,52,1079,508,730,559,3513,12050,2671,24955,10318,12648,2289,64925
CED223,839,2148,770,993,65,5577,809,812,2890,2062,2730,268,9573,58,40,164,145,247,16,668,46,37,166,283,1373,44,1961,59,30,193,212,796,268,1565,2939,2649,11001,8806,22304,1793,49494
CED224,902,2920,793,619,89,6862,1459,801,3726,1602,1529,242,9362,82,46,368,186,215,20,911,129,61,428,438,1063,55,2179,240,65,769,425,686,315,2496,7505,3229,21943,10464,14854,1680,59668
CED225,1196,3432,762,617,105,8415,2330,1088,4561,1575,1527,249,11323,140,59,477,175,205,20,1089,217,79,456,365,939,34,2090,259,53,668,271,488,211,1963,10457,4232,23932,9071,13300,1454,62452
CED226,909,3025,479,308,83,7649,3570,992,5757,1078,629,274,12297,171,73,589,183,116,23,1154,250,79,565,286,420,32,1627,474,101,1163,263,241,248,2486,16333,4626,32799,7369,6168,1420,68718
CED227,739,2414,868,892,87,6128,1227,707,3775,2280,2456,258,10698,34,33,192,188,297,21,766,127,38,306,498,1519,63,2556,204,41,512,472,1086,328,2643,5945,2342,15692,11749,21377,1855,58959
CED228,630,2077,850,677,110,5711,1384,621,3540,2039,2121,284,9984,98,32,301,179,226,24,858,197,35,346,428,1094,63,2166,529,46,796,481,876,501,3222,11804,2556,20967,11527,17427,2356,66631
CED229,847,3025,630,410,114,7971,2986,880,5004,1136,718,238,10951,350,128,1092,392,290,40,2292,318,91,760,462,687,68,2391,680,131,1469,444,415,340,3480,18510,4727,38310,10267,9502,2074,83383
CED230,640,2169,624,913,87,4834,675,583,2548,1944,2842,295,8882,11,33,110,101,206,12,471,36,27,117,243,1361,48,1837,25,14,158,189,764,348,1510,1912,1847,9151,7535,21490,2117,44052
CED231,881,2978,618,482,83,7084,2004,857,3817,1109,969,179,8930,133,65,555,214,242,17,1229,189,69,432,329,833,42,1893,273,59,765,307,484,287,2178,9777,3723,24505,8683,11947,1503,60134
CED232,944,2683,881,982,87,6731,1116,813,3298,1901,1980,266,9380,63,49,270,180,253,22,837,111,42,309,460,1443,62,2417,165,46,391,308,882,269,2065,5386,2964,15400,10456,20926,1623,56765
CED233,906,3582,428,313,103,10087,4142,1089,6242,1001,806,187,13460,520,138,1480,350,239,43,2771,472,101,888,465,661,79,2661,800,103,1699,429,326,427,3788,26346,5468,49114,10299,8921,2132,102279
CED234,748,2672,657,467,83,6597,2252,849,4690,1384,1188,248,10615,107,39,372,122,147,17,812,256,98,594,431,814,55,2250,414,66,1032,365,421,303,2601,12268,3470,26926,9077,10280,1680,63693
CED235,666,1972,673,875,82,4982,685,591,2284,1662,2322,262,7805,49,43,235,171,312,19,838,43,28,172,255,1372,46,1921,44,32,192,208,743,248,1464,2451,2013,9196,7169,19800,1587,42220
CED236,677,1917,617,825,76,4618,770,628,2590,1990,2640,311,8925,17,10,103,93,210,16,445,55,37,170,294,1405,56,2010,38,18,158,203,794,303,1527,2280,1911,9239,7730,20713,1886,43766
CED237,584,1806,715,684,89,4992,1411,616,3610,1937,2013,308,9885,59,25,187,127,161,15,577,155,31,294,425,1101,88,2086,252,44,602,406,753,353,2416,6998,2099,16204,9883,15359,1958,52504
CED238,590,2116,546,775,73,4822,829,744,2837,1852,2725,287,9273,34,22,174,110,233,19,593,52,26,131,241,1190,36,1676,56,34,183,171,706,273,1417,2774,2109,10782,7675,20967,1846,46151
CED239,1138,3291,672,496,70,8804,2628,1001,4269,1367,1104,215,10589,277,107,833,233,208,29,1678,279,80,648,364,739,50,2153,354,86,942,348,434,304,2474,13784,4434,27713,8967,10840,1583,67315
CED294,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
