CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED211,0,6,5,37,202,145,244,187,44,53,45,51,21,9,28,1079,15,21,37,46,147,36,21,8,0,4,4,4,0,0,8,342,0,11,18,51,87,83,272,122,17,18,24,24,7,0,13,756,4,0,27,110,194,179,332,99,12,26,31,26,17,10,7,1078,7,18,81,110,196,189,418,208,53,83,61,91,26,8,25,1594,0,0,0,14,66,100,152,96,14,23,11,16,4,0,4,499,0,0,0,18,54,69,172,134,36,20,37,34,7,0,22,593,238,765,1776,1055,805,455,821,327,29,36,41,26,20,15,175,6570,4,4,28,52,72,100,135,76,10,11,15,26,14,9,6,566,0,4,0,331,399,155,161,123,19,26,34,30,11,0,22,1311,114,340,421,666,766,546,1319,1174,273,187,376,269,58,14,123,6655,626,2485,3736,3617,5326,4784,12395,7893,1634,1606,1750,1724,566,170,963,49276
CED212,0,0,5,33,224,201,316,197,65,56,71,99,24,5,22,1331,6,27,27,33,180,83,28,21,3,0,0,4,0,0,6,412,0,0,8,12,37,21,45,26,0,0,0,4,0,5,3,167,0,5,10,96,145,158,396,190,35,39,20,25,10,7,10,1139,5,19,74,69,133,117,118,54,10,13,12,14,0,0,7,634,0,0,0,0,9,19,16,24,3,3,0,3,3,0,0,93,0,0,0,12,22,29,124,103,27,21,32,21,7,4,16,423,248,894,2589,1771,1472,698,1763,913,93,103,58,73,32,21,292,11013,5,3,32,50,79,96,146,82,16,20,21,19,17,7,3,596,0,0,0,30,54,45,59,52,8,9,7,10,11,0,8,291,77,234,523,659,747,827,1180,570,130,90,90,109,48,17,106,5408,532,2160,4414,3791,4675,3735,7110,3742,700,606,622,679,289,121,800,33981
CED213,0,3,6,17,69,50,89,85,38,37,36,48,21,3,21,519,13,23,19,22,65,22,12,9,4,0,0,0,0,0,4,192,0,9,13,24,10,15,14,6,6,3,0,0,0,0,5,91,4,12,30,112,105,92,162,49,12,6,21,20,5,8,7,648,0,22,41,40,28,10,8,13,0,8,0,5,0,0,9,200,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,21,0,0,0,3,6,23,67,67,17,12,14,15,11,0,9,257,341,1174,2879,1827,1363,780,1952,812,95,93,66,66,42,3,409,11898,9,12,32,62,68,69,119,52,14,22,15,19,12,8,21,519,0,0,0,12,19,11,15,6,3,10,5,4,0,0,11,95,118,307,472,473,372,238,338,187,54,32,55,48,16,10,86,2817,764,3070,5048,3613,3103,1899,3782,1921,355,308,320,329,148,57,960,25687
CED214,0,0,13,181,876,634,706,554,169,185,213,277,90,12,71,3991,54,45,63,78,247,75,30,24,14,5,0,0,0,0,25,668,0,0,9,17,42,47,143,52,5,11,19,11,0,0,8,363,0,0,3,16,27,28,97,36,13,3,8,15,9,8,7,282,0,5,22,32,82,96,159,285,41,56,94,92,29,4,25,1033,0,0,0,3,28,20,38,53,23,10,14,26,8,3,6,238,0,0,0,16,92,82,205,91,33,23,25,28,11,8,19,622,36,179,481,332,310,229,520,400,59,82,61,48,20,4,71,2822,0,0,8,25,42,59,97,89,27,23,25,31,18,5,11,447,0,0,29,1824,7669,5039,4158,3101,681,627,553,712,325,95,1025,25832,165,965,1835,1985,1820,2164,2892,1893,507,554,610,737,201,74,397,16790,513,2543,5425,6193,13321,10904,14534,11417,2935,3187,3827,4323,1328,345,2426,83211
CED215,0,0,11,88,584,396,945,673,140,159,148,208,87,8,58,3511,25,27,39,32,166,63,48,33,9,7,3,12,4,3,6,477,0,0,7,22,53,75,310,175,40,52,31,56,37,0,13,869,0,4,13,51,90,101,447,263,53,110,76,119,34,14,14,1377,0,3,15,35,80,116,432,223,41,53,50,64,18,5,17,1148,0,0,0,0,15,33,50,67,3,13,3,16,0,0,0,205,0,0,0,8,50,64,181,150,55,42,16,45,20,6,9,642,79,428,1022,554,576,437,1354,950,176,120,117,156,43,27,100,6134,0,0,11,44,40,67,211,164,30,54,35,41,14,16,10,743,0,0,4,314,934,456,347,264,46,51,43,63,34,6,87,2652,113,680,1119,920,1234,1489,2782,1812,408,467,410,482,160,73,327,12476,392,2286,4622,3590,5739,6434,21773,15246,3364,3508,3757,4297,1444,548,1616,78611
CED216,0,0,3,20,149,110,147,224,68,70,65,116,40,17,43,1065,17,3,9,19,55,13,7,8,0,0,0,0,0,0,3,143,0,0,3,14,8,4,22,15,0,0,0,0,0,0,0,69,0,7,13,37,41,46,151,33,14,8,27,11,19,10,13,429,0,10,26,9,13,17,60,68,18,12,16,11,6,0,5,272,0,0,0,0,0,0,9,23,0,3,12,7,0,0,7,58,0,0,0,0,21,13,64,87,22,10,21,23,4,0,12,276,283,1040,1804,869,538,207,443,185,27,27,38,24,11,9,276,5777,3,7,37,54,25,40,87,37,8,7,13,7,6,4,7,346,0,0,0,17,29,43,53,50,13,12,3,22,4,3,86,336,82,291,365,299,222,155,367,252,44,32,47,81,35,12,121,2422,646,2726,3094,1994,1716,1131,2413,1666,365,365,442,562,226,74,986,18410
CED217,0,0,3,35,110,48,86,81,37,23,34,43,16,3,11,538,79,154,109,83,314,68,46,34,4,11,9,0,0,0,25,938,6,9,13,57,56,59,136,101,27,30,15,16,25,4,5,547,0,15,26,168,531,627,779,209,96,111,79,92,38,18,28,2806,9,16,98,129,140,78,82,43,12,9,14,11,0,0,9,648,0,0,0,0,25,33,30,40,3,0,9,4,5,3,4,162,0,0,4,12,24,27,98,85,15,18,14,14,13,0,16,342,214,578,1166,971,927,880,2067,1333,208,252,207,195,103,37,173,9320,5,12,49,109,97,156,321,170,43,34,48,91,50,26,31,1251,0,0,0,110,116,56,95,82,14,31,38,42,24,6,9,621,230,526,596,1256,1365,1947,1568,972,249,224,248,353,120,68,169,9883,840,2466,3849,4194,5619,6087,9550,6042,1403,1578,1680,1924,828,303,917,47290
CED218,0,0,13,325,1239,1061,2108,1009,210,179,144,234,80,23,77,6710,14,26,41,86,319,117,44,7,0,0,0,0,0,0,13,683,0,0,5,13,46,37,134,58,8,12,23,5,5,0,3,349,0,3,5,24,35,43,128,55,6,12,18,5,9,3,0,356,0,0,29,38,222,352,726,338,52,65,66,79,24,9,22,2028,0,0,0,4,24,17,31,21,0,0,0,4,3,0,4,117,0,0,0,14,59,56,123,95,11,21,15,20,5,0,12,422,40,210,496,305,227,103,326,187,31,31,24,24,6,5,51,2064,0,0,0,9,30,34,83,73,12,16,15,19,0,0,12,306,0,0,10,583,2477,1919,1802,1204,205,179,183,236,116,29,445,9379,108,879,1986,2668,2694,3115,3437,1687,343,287,293,351,80,46,576,18559,356,2257,5879,6635,9734,9922,18155,10380,2430,2061,2137,2594,860,283,2079,75777
CED219,0,0,8,75,273,221,775,671,142,114,92,112,35,16,29,2565,11,11,14,27,112,28,32,13,0,0,0,0,0,0,10,260,0,0,9,21,15,28,72,36,15,4,11,0,6,0,4,219,0,7,4,31,43,78,198,71,12,11,7,15,0,0,4,480,0,5,12,24,62,96,270,237,26,28,19,32,16,3,9,836,0,0,0,3,3,10,13,24,7,0,3,0,0,0,3,69,0,0,3,11,22,25,124,90,27,16,19,29,10,0,10,386,87,559,1563,911,662,257,598,306,43,37,24,26,11,5,128,5207,0,5,6,30,33,38,87,73,14,16,8,3,18,4,6,353,0,0,0,51,136,103,195,160,26,24,24,20,4,0,33,774,93,536,891,940,931,920,2447,1378,282,263,248,216,83,39,223,9488,386,1936,3754,3062,3432,3249,10516,6888,1435,1251,1155,1353,453,174,843,39891
CED220,0,0,7,40,123,96,156,178,53,71,77,109,34,4,16,964,89,75,66,47,166,53,29,21,4,7,4,10,0,0,18,592,8,0,24,53,108,117,225,130,28,34,31,25,21,6,4,812,0,10,33,139,319,240,322,113,27,40,30,39,29,7,9,1361,4,15,67,147,196,145,186,124,48,42,46,48,16,0,13,1106,0,0,0,8,52,58,65,77,21,25,28,22,7,4,3,373,0,0,7,12,56,67,160,96,37,45,29,35,12,0,6,567,144,387,780,684,569,557,1032,744,175,227,252,284,108,50,109,6099,13,13,46,105,114,156,243,233,53,58,71,92,62,23,31,1307,0,0,8,238,270,109,150,138,30,42,43,62,20,0,24,1135,193,399,487,767,886,1375,1325,1018,334,388,398,506,179,66,187,8516,698,2063,3744,3595,5226,5703,8932,7212,2066,2566,2778,3292,1265,412,900,50446
CED221,0,0,0,39,432,508,1527,1026,180,181,175,255,81,13,57,4478,4,8,16,15,171,75,68,22,5,0,0,0,0,0,3,378,0,0,5,14,55,34,143,73,8,10,8,11,0,4,6,384,0,0,10,70,153,82,322,115,28,13,14,19,8,5,10,851,0,9,59,124,501,885,2510,1367,210,252,269,290,106,21,69,6674,0,0,0,0,3,13,21,35,14,6,14,17,4,0,0,127,0,0,0,3,93,86,172,118,19,20,33,21,11,0,14,585,74,385,1147,917,649,264,696,268,41,38,14,13,10,6,132,4648,0,6,6,24,19,45,91,63,16,21,16,11,4,3,11,337,0,0,3,58,191,235,284,151,32,30,25,19,17,9,26,1079,49,149,583,923,2280,2461,3967,1649,352,380,312,293,115,56,270,13839,227,1152,2658,3015,6390,8255,26664,15327,2932,3077,2928,3273,1210,482,1325,78897
CED222,0,4,3,104,512,318,491,443,126,155,236,315,77,15,55,2849,16,38,68,73,316,77,67,14,3,0,4,0,4,0,14,701,0,4,4,24,71,78,216,108,38,44,39,24,17,0,9,692,3,6,17,99,184,211,314,102,23,23,18,39,17,8,8,1070,0,13,174,361,721,600,998,572,191,273,319,392,127,23,78,4847,0,0,0,3,23,72,106,109,29,27,50,50,10,5,19,499,0,0,0,20,260,137,367,325,100,67,83,69,20,3,42,1494,77,290,673,459,311,178,421,248,36,41,41,42,23,4,79,2927,0,0,12,29,35,51,108,89,28,34,15,33,16,0,9,460,0,0,8,1234,4152,2756,2324,1621,384,365,355,410,222,62,478,14362,106,374,1095,2158,3727,4017,4032,2740,676,677,764,833,317,107,528,22140,386,2605,6836,6858,13349,12514,20210,14225,4170,4744,5924,6391,2166,463,2582,103430
CED223,0,0,3,12,99,60,108,179,63,37,47,71,28,19,32,772,15,6,12,3,17,10,3,4,0,0,0,0,0,0,5,75,0,0,3,24,3,5,3,14,4,0,0,0,4,0,0,67,0,9,12,53,40,28,130,38,13,9,15,7,0,0,4,360,0,9,15,6,4,11,40,27,17,16,10,3,9,8,0,170,0,0,0,0,0,7,12,22,3,5,19,16,4,0,0,84,0,0,0,0,7,14,45,53,12,3,20,11,6,0,14,199,186,642,1382,714,496,258,475,197,35,23,45,36,34,14,225,4764,0,4,30,67,38,47,66,73,7,0,10,19,6,5,6,382,0,0,0,6,9,13,21,17,3,39,60,65,11,0,17,259,105,254,348,242,211,146,349,261,85,75,162,153,43,22,83,2534,590,2141,2575,1734,1489,1056,2223,1564,410,421,589,598,237,94,647,16367
