CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED211,574,597,1171,202,215,418,203,490,686,225,946,1171,613,2487,3101,672,1789,2462,1951,1273,3218,2117,1453,3563,2606,1522,4129,3076,1245,4316,2286,1081,3363,2386,826,3203,5562,1280,6842,4784,171,4959,4193,279,4467,2931,65,2996,8081,343,8425,2285,200,2487,412,538,948,45126,16798,61926
CED212,389,570,961,136,201,334,186,468,650,166,1044,1206,620,2858,3473,725,1914,2641,2040,1261,3304,2052,1629,3682,2569,1680,4256,2955,1317,4271,2369,1095,3457,2548,771,3315,5799,1100,6894,4728,122,4856,3608,218,3828,2361,50,2407,5793,277,6072,2321,216,2531,543,624,1164,41888,17408,59295
CED213,439,661,1100,223,241,463,176,539,714,186,1063,1247,752,3223,3974,690,2380,3073,2697,1418,4116,2412,1496,3913,3052,1514,4568,3297,1060,4357,2154,856,3011,2388,639,3026,5005,947,5954,3811,95,3907,3073,230,3303,1896,29,1923,5235,477,5709,2515,127,2646,631,805,1441,40617,17815,58434
CED214,746,854,1595,220,221,438,322,664,994,396,1500,1895,955,2739,3692,897,1468,2369,2560,1149,3713,2409,1541,3951,2625,1709,4332,3247,1566,4820,2459,1353,3815,2400,1174,3573,5065,1933,6995,4002,435,4437,3341,586,3928,2261,186,2445,6011,710,6724,2191,530,2722,554,554,1107,42653,20884,63541
CED215,595,595,1185,204,177,376,217,412,632,226,798,1021,631,1836,2466,703,1076,1781,1876,837,2712,1787,1127,2912,2354,1248,3601,2971,1129,4097,2469,1087,3553,2577,809,3390,6305,1569,7872,5109,202,5312,4810,426,5231,3295,112,3407,10377,560,10936,2522,268,2784,482,411,893,49499,14677,64179
CED216,526,714,1240,219,253,477,252,712,964,275,1595,1872,946,4240,5187,1057,2401,3462,3638,1490,5133,3106,1855,4951,3287,1585,4870,3655,1106,4762,2345,882,3228,2619,639,3257,4859,819,5673,3308,94,3405,2362,200,2563,1296,35,1334,3195,321,3516,2785,200,2990,758,994,1754,40489,20142,60630
CED217,502,645,1149,189,276,462,209,458,671,154,844,1001,435,1864,2297,436,1408,1845,1126,1161,2280,1217,1306,2517,1639,1422,3059,1962,1154,3113,1480,1054,2525,1642,885,2528,3711,1708,5421,3209,155,3364,3334,506,3839,2454,64,2514,15511,997,16512,2332,169,2505,387,461,838,41914,16533,58440
CED218,678,492,1173,182,117,296,239,312,555,259,640,900,723,1556,2281,797,661,1460,2431,556,2983,2142,790,2931,2562,885,3446,3213,741,3959,2685,633,3316,2854,492,3347,6274,725,6997,4938,93,5029,3941,147,4081,2597,51,2645,5777,181,5953,2457,116,2582,581,320,906,45327,9521,54844
CED219,489,516,1005,156,119,280,172,335,514,238,794,1026,685,2043,2729,855,1260,2112,2306,867,3170,2265,1179,3442,2727,1335,4063,3409,1076,4479,2764,871,3635,2892,611,3497,6430,869,7300,4771,117,4883,3444,162,3608,2178,21,2196,4476,181,4656,2359,137,2498,555,441,993,43154,12916,56076
CED220,463,986,1450,148,319,470,154,637,790,144,1107,1257,391,2035,2422,384,1666,2049,937,1411,2341,997,1800,2796,1356,2469,3829,1670,2407,4076,1331,2388,3720,1554,1984,3545,3790,3932,7724,3213,526,3747,3127,1199,4323,2334,265,2596,14243,2324,16572,2011,573,2588,323,542,865,38580,28570,67153
CED221,441,397,837,116,93,210,182,216,394,176,528,704,560,1358,1919,734,817,1555,2020,607,2626,2266,1011,3284,2883,1146,4024,3798,936,4729,3357,756,4111,3499,491,3987,7922,627,8547,5709,129,5837,3928,141,4079,2280,56,2337,3876,157,4036,2633,183,2820,538,343,877,46911,9994,56904
CED222,879,1011,1897,278,285,561,302,640,937,320,1280,1598,950,2985,3935,883,1492,2373,2870,1092,3965,2642,1553,4196,3103,1523,4624,3725,1261,4987,2972,1047,4019,2954,802,3751,6250,1359,7611,4661,385,5045,3694,453,4145,2520,186,2709,6720,609,7330,2538,506,3047,523,486,1012,48778,18970,67744
CED223,376,589,960,192,268,464,168,650,816,232,1404,1635,852,3742,4592,863,2281,3141,3104,1548,4649,2684,1888,4575,3220,1843,5066,3662,1190,4852,2504,969,3473,2770,650,3416,5794,821,6611,3865,107,3973,2726,184,2912,1650,35,1686,3255,306,3557,2854,180,3032,659,905,1566,41432,19548,60982
CED224,464,639,1099,167,229,403,188,482,669,175,947,1118,536,2660,3199,610,1776,2384,1821,1180,2999,1722,1427,3154,2281,1548,3827,2538,1248,3791,2073,1129,3199,2188,938,3123,5192,1433,6621,4598,158,4758,4198,364,4561,2986,62,3044,8698,461,9161,2059,170,2233,450,535,992,42955,17382,60340
CED225,454,549,1003,174,184,358,178,453,632,169,829,996,534,2122,2651,556,1411,1968,1618,1147,2765,1654,1205,2852,2147,1321,3469,2528,1071,3594,2012,1055,3065,2181,828,3009,4921,1431,6348,4327,170,4496,4142,318,4468,3026,77,3105,10269,443,10707,2171,202,2371,437,405,847,43490,15218,58707
CED226,729,700,1431,243,249,491,261,467,727,211,708,919,463,1436,1891,478,1361,1833,1095,1189,2285,1112,1381,2492,1589,1637,3231,1999,1561,3560,1545,1429,2973,1701,1213,2910,3984,2300,6282,3231,277,3510,3171,643,3817,2395,173,2562,15653,1307,16959,2520,365,2890,341,370,708,42712,18770,61481
CED227,384,376,756,143,114,256,155,258,412,167,557,726,491,1539,2029,626,1087,1716,1882,705,2590,1858,1022,2881,2557,1166,3720,3198,925,4122,2618,775,3389,3113,583,3697,6943,744,7690,5576,113,5693,4058,177,4235,2426,41,2466,5305,205,5510,2450,131,2581,538,381,919,44490,10891,55379
CED228,517,521,1036,141,134,275,206,308,510,256,697,946,624,1504,2125,958,1055,2012,2182,823,3006,2375,1124,3497,3119,1388,4503,3906,1125,5036,3415,992,4408,3448,646,4095,8031,1018,9043,5606,202,5806,4294,255,4545,2652,99,2750,5400,352,5753,2654,239,2899,605,416,1020,50370,12893,63257
CED229,505,1314,1824,163,344,506,152,797,951,171,1476,1642,393,2269,2663,453,1957,2403,965,1761,2724,1014,2452,3471,1490,3436,4924,1898,3288,5182,1539,3328,4864,1787,2848,4634,4519,5809,10325,3673,641,4311,3557,1669,5234,2605,338,2944,12893,3041,15935,2039,777,2818,376,669,1045,40180,38217,78399
CED230,464,725,1189,209,305,518,233,858,1087,295,1775,2076,1070,4963,6034,1063,2562,3623,3817,1636,5451,3124,2170,5297,3603,1926,5527,3971,1241,5208,2679,970,3651,2900,616,3514,5485,847,6327,3644,156,3801,2355,181,2537,1334,44,1383,2748,324,3072,2837,213,3055,973,1354,2325,42810,22862,65670
CED231,483,710,1200,176,241,421,217,668,886,200,1207,1400,612,2500,3115,549,1387,1939,1937,1127,3056,1674,1446,3121,2081,1727,3803,2263,1559,3829,1792,1493,3292,1883,1261,3145,4359,2211,6562,3796,314,4112,3493,547,4038,2663,149,2812,9765,823,10593,1857,326,2176,487,487,976,40298,20178,60475
CED232,403,371,773,161,121,283,162,289,450,152,490,647,539,1359,1894,643,865,1502,1629,671,2299,1664,836,2502,2302,969,3271,2794,801,3597,2363,689,3049,2636,486,3121,6165,790,6955,4897,66,4963,4242,162,4408,2670,22,2692,6751,253,7005,2615,99,2710,490,286,783,43273,9622,52897
CED233,791,3246,4037,234,656,891,341,1352,1697,309,2216,2523,632,2783,3418,665,2541,3203,1244,2417,3653,1423,3134,4554,1775,4304,6074,2305,4040,6345,1777,3740,5517,2003,3297,5297,4744,6635,11377,3854,1118,4968,3579,2008,5587,2708,580,3296,11381,3846,15231,1732,1814,3544,251,588,841,41748,50321,92069
CED234,967,815,1785,333,303,635,299,474,779,255,861,1112,816,2081,2903,800,1415,2216,2261,1054,3315,2117,1211,3323,2688,1295,3986,3032,1009,4040,2254,861,3113,2484,693,3181,5207,1227,6434,4156,157,4317,3779,329,4111,2690,75,2768,10214,454,10674,2484,233,2717,469,394,870,47307,14968,62272
CED235,467,620,1090,242,267,514,231,670,897,259,1401,1656,929,3744,4671,930,2409,3342,3190,1424,4609,2853,1661,4509,3175,1510,4685,3408,1023,4429,2297,804,3100,2603,587,3187,4891,751,5644,3267,78,3342,2473,168,2640,1360,27,1389,3136,301,3438,2493,142,2633,735,894,1621,38932,18475,57402
CED236,507,586,1089,214,234,449,197,653,849,281,1435,1717,941,3698,4641,987,2194,3185,3416,1470,4882,2859,1711,4573,3116,1704,4816,3636,1135,4775,2548,886,3432,2691,577,3271,5396,830,6224,3729,124,3856,2517,186,2709,1440,31,1474,3035,319,3351,2762,183,2947,848,1060,1905,41116,19025,60137
CED237,732,594,1328,205,154,362,239,403,641,275,843,1121,804,2070,2877,870,952,1822,2891,763,3656,2460,1146,3608,3034,1189,4222,3551,1018,4570,2953,813,3767,2856,585,3445,6353,799,7150,4763,164,4931,3473,196,3671,2237,50,2285,3942,199,4138,2194,193,2383,607,389,992,44435,12526,56962
CED238,414,600,1011,195,303,496,182,736,918,232,1454,1683,826,3899,4730,881,2326,3204,2982,1594,4574,2809,1967,4776,3098,1815,4917,3636,1228,4865,2527,871,3396,2767,689,3451,5368,906,6277,3709,122,3826,2531,219,2752,1467,40,1506,3369,368,3732,2747,200,2946,726,985,1709,40472,20303,60779
CED239,469,728,1190,131,263,396,160,641,801,187,1231,1423,551,2699,3250,600,1490,2084,1896,1166,3064,1575,1547,3119,2011,1826,3829,2284,1796,4077,1918,1799,3720,2005,1522,3524,4754,2759,7518,4008,528,4542,3834,763,4596,2765,284,3047,7761,1007,8764,1743,787,2525,414,507,917,39060,23343,62402
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
