CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED211,2177,2911,5091,5085,6721,11804,0,0,0,2985,3405,6393,16,12,27,13347,15484,28833,387,491,880,1556,1737,3297,125,174,299,155,163,318,501,616,1112,138,138,277,325,396,719,972,1132,2110,1236,1410,2651,181,263,444,269,334,606,1951,2865,4821,2760,3260,6022,159,234,391,32152,38855,71009,2074,2007,4080,1011,934,1946,80,106,184,0,9,5,449,457,903,376,475,852,825,931,1762,37847,35833,73676,290,249,536,100,197,296,38239,36275,74514,4260,4263,8525,80822,86289,167110
CED212,695,1130,1829,6637,8286,14928,0,0,0,690,819,1510,0,3,8,12917,14963,27883,83,129,214,1580,1600,3179,210,269,478,238,263,502,196,217,410,100,97,197,196,272,469,542,681,1223,1174,1405,2578,65,89,150,113,125,237,1376,1986,3360,1769,2181,3952,67,55,123,27961,33447,61405,784,755,1534,621,580,1206,192,202,388,4,3,9,158,139,297,273,361,628,427,499,937,40554,38521,79074,289,263,548,147,286,431,40990,39061,80054,5477,5189,10670,77143,80871,158012
CED213,354,631,979,8041,10565,18605,6,6,11,821,1024,1845,4,0,4,12817,14735,27547,112,144,252,1184,1105,2298,248,305,552,131,136,268,175,234,404,39,24,66,155,198,360,289,383,674,1304,1628,2931,81,118,196,29,43,72,1783,2613,4397,1075,1378,2449,35,57,95,28320,34700,63020,144,132,282,143,138,277,155,140,299,5,0,6,43,36,83,126,231,356,176,272,447,37444,35465,72909,229,225,454,119,277,393,37794,35969,73760,5555,5731,11291,72638,77714,150355
CED214,9275,11687,20964,1769,2005,3764,0,4,9,1138,1052,2186,0,0,0,19150,20878,40030,59,72,132,3660,3900,7563,192,242,438,153,177,329,112,174,293,422,439,860,428,456,888,532,635,1168,468,557,1027,38,36,74,117,117,228,574,723,1295,2431,2614,5046,37,41,81,31291,34112,65403,3882,2393,6279,5779,4292,10071,85,77,156,4,3,4,1113,891,2007,223,274,502,1344,1173,2516,29291,27007,56299,317,227,540,107,163,271,29720,27387,57110,7428,6466,13892,88791,87592,176388
CED215,2258,2993,5256,3465,4454,7915,3,3,5,875,983,1856,7,5,6,18828,21276,40102,103,110,214,3899,4043,7940,181,217,401,174,202,371,231,298,528,320,333,654,450,489,941,813,914,1729,825,1010,1836,46,70,114,91,99,189,966,1340,2307,2744,3058,5802,48,48,94,34067,38941,73005,9710,8785,18493,6821,6407,13225,85,93,173,3,5,6,3151,2505,5659,313,385,700,3470,2887,6359,31142,28952,60095,291,185,481,121,142,266,31554,29283,60839,7106,5526,12634,95075,94911,189984
CED216,442,641,1086,8478,10265,18740,0,0,0,762,862,1632,111,110,221,12199,14128,26332,34,60,92,417,424,840,257,348,602,113,107,218,165,236,402,25,22,46,168,183,354,506,612,1114,1566,1705,3273,102,142,246,130,145,276,2248,3049,5301,1392,1629,3021,44,50,96,28718,34089,62805,328,305,631,417,359,771,33,38,74,8,3,16,154,153,312,185,311,499,351,466,818,37738,34964,72702,227,185,412,104,144,251,38069,35297,73368,7939,6865,14809,76298,78058,154357
CED217,933,1400,2336,6469,8192,14655,3,0,3,361,478,837,4,0,5,13823,16552,30374,43,54,97,3240,3652,6893,77,110,185,26,46,67,202,290,491,136,129,266,154,191,343,198,252,441,827,994,1814,15,41,53,32,32,61,1507,2061,3570,880,1158,2042,44,46,89,28030,34265,62291,1572,1334,2901,495,517,1011,5253,5735,10988,0,0,0,153,117,269,170,208,380,322,326,652,33306,32356,65666,285,217,504,97,182,280,33691,32759,66449,3965,4142,8102,74264,80469,154736
CED218,4876,5935,10815,2168,2607,4778,36,43,82,1161,1129,2292,0,0,0,27388,29134,56521,86,86,172,5699,5830,11527,292,357,641,244,236,483,107,142,240,1252,1319,2571,462,526,990,1150,1263,2409,470,526,993,52,64,116,208,232,438,626,860,1489,3807,4215,8017,36,34,69,45242,48602,93846,4340,3936,8274,6500,6245,12743,18,16,35,0,0,0,3494,3055,6547,189,209,402,3684,3261,6948,17208,15491,32698,109,84,193,70,107,173,17386,15674,33062,7155,5218,12377,89201,88900,178100
CED219,853,1198,2051,4962,6370,11328,24,24,47,991,1105,2102,191,173,363,20332,22171,42506,61,71,136,1815,1773,3587,308,373,683,367,362,726,223,307,526,338,334,674,350,372,712,733,887,1614,836,1066,1901,76,130,207,140,208,350,1457,2071,3525,2444,2787,5230,44,51,95,35685,40627,76322,2151,1986,4142,2709,2755,5457,53,49,96,0,0,3,2838,2605,5439,187,285,477,3029,2889,5919,30738,28618,59354,216,171,390,104,148,251,31059,28935,59995,5869,5543,11413,81404,83986,165389
CED220,1509,2184,3693,5747,7212,12961,3,4,10,463,565,1028,3,0,4,12849,15137,27981,43,50,92,3732,4251,7979,103,117,225,28,28,55,164,209,368,125,139,261,209,223,430,247,349,599,807,871,1678,22,30,54,36,50,86,1253,1724,2974,898,1289,2185,38,37,73,26770,32288,59054,2850,2453,5300,893,877,1767,3074,3371,6448,3,0,0,171,143,314,234,239,473,405,386,791,33922,33733,67650,387,343,737,118,183,302,34424,34257,68687,4566,4750,9317,74497,80562,155062
CED221,4296,4630,8931,3965,4877,8844,7,8,20,840,1023,1860,24,26,53,16808,18099,34904,84,110,191,1627,1680,3302,209,305,516,565,589,1156,126,135,258,371,437,814,484,518,1003,1589,1756,3346,1016,1163,2177,64,82,150,309,359,668,981,1317,2300,3039,3416,6455,64,76,139,32179,35975,68159,6762,6451,13214,10322,9732,20055,62,75,134,9,13,22,5345,4749,10089,315,381,695,5667,5138,10805,27935,25894,53830,163,136,296,94,127,219,28190,26153,54345,6057,5554,11613,93534,93721,187255
CED222,11147,12989,24140,2589,3245,5834,8,10,19,774,887,1661,6,10,22,18092,19835,37927,124,123,250,7627,8277,15901,226,302,525,105,114,218,121,154,274,278,306,582,354,392,747,617,720,1338,796,908,1699,20,52,76,187,217,406,1061,1342,2400,1945,2326,4278,49,66,118,34979,39290,74269,6612,4845,11461,5675,4748,10424,1781,1853,3627,0,0,0,2177,1762,3947,396,418,813,2576,2183,4760,29180,25432,54609,238,180,419,107,140,247,29528,25749,55277,6129,5506,11638,98421,97169,195590
CED223,460,607,1071,8482,10198,18676,0,0,0,870,968,1837,61,51,109,14350,16139,30486,70,93,163,305,276,579,296,362,663,71,86,159,493,581,1079,22,12,35,238,281,521,484,587,1074,1634,1814,3458,111,174,280,163,190,352,2737,3717,6454,1562,1815,3379,35,45,83,31993,37394,69388,477,439,922,226,180,408,46,51,90,13,11,22,175,163,336,164,278,438,350,444,800,36196,33772,69965,222,186,413,112,162,277,36539,34119,70656,6915,6369,13285,77010,79610,156620
