CED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED211,537,75,166,15,795,182,22,43,5,242,113,32,83,9,234,79,36,140,0,255,402,82,212,21,715,274,124,345,19,762,1403,267,429,33,2135,1167,422,635,50,2270,1357,623,715,75,2773,1524,942,689,69,3221,831,958,520,63,2374,891,1079,473,37,2484,1989,2809,784,87,5671,1539,2819,402,47,4803,1140,2753,270,25,4183,794,1951,104,20,2864,1583,5884,261,21,7749,487,1244,486,21,2233,209,134,80,14,442,16501,22254,6832,627,46217
CED212,280,65,128,5,480,104,14,30,4,152,100,22,89,3,210,67,25,128,4,221,318,51,320,14,710,258,74,504,11,848,1383,160,641,39,2224,1070,241,829,62,2201,1205,536,957,65,2754,1289,877,864,74,3099,815,985,639,45,2480,932,1131,505,42,2610,2074,2866,891,90,5921,1608,2733,370,43,4754,1131,2235,200,37,3595,613,1561,85,16,2273,1240,4008,202,19,5458,431,1275,554,20,2280,265,176,138,10,588,15165,19010,8088,589,42852
CED213,355,50,74,10,485,185,16,34,3,235,101,18,70,5,196,72,18,128,4,220,544,31,239,17,831,329,55,411,10,801,2181,112,533,33,2864,1591,218,702,53,2557,1882,495,758,56,3197,1990,746,656,46,3444,884,830,471,27,2213,1075,908,423,31,2440,2059,2356,608,57,5081,1445,2082,263,27,3810,1068,1809,152,11,3041,534,1232,75,9,1847,1726,3090,170,20,5007,661,1232,554,24,2473,407,130,120,14,668,19094,15419,6431,453,41397
CED214,546,160,313,36,1055,136,38,86,12,270,110,92,190,28,422,97,78,322,22,518,508,193,423,35,1154,286,282,545,41,1146,1713,510,635,84,2948,955,776,889,140,2760,861,1097,858,138,2951,1189,1397,897,143,3625,729,1190,600,86,2610,732,1186,516,101,2535,1754,2412,796,195,5155,1369,1995,379,97,3840,1059,1709,275,60,3098,797,1172,112,34,2113,1748,3445,245,50,5490,500,1046,473,58,2078,272,155,164,25,615,15362,18920,8713,1378,44370
CED215,590,147,201,15,948,140,35,55,5,237,110,53,104,8,276,88,59,125,4,279,363,123,244,7,730,232,184,356,20,793,1173,380,512,41,2100,759,556,607,68,1982,871,932,703,79,2583,1055,1397,642,94,3190,654,1326,584,64,2626,722,1430,486,55,2694,1826,3716,815,119,6478,1481,3111,362,65,5023,1245,3176,261,40,4720,925,2149,99,30,3203,2174,7478,276,52,9972,520,1461,449,27,2451,229,190,99,16,529,15150,27896,6981,811,50829
CED216,384,74,96,8,568,181,16,40,6,240,133,30,104,10,274,110,12,200,13,326,607,67,349,18,1044,461,83,624,15,1184,2856,233,701,39,3834,1897,397,872,97,3263,1882,663,791,67,3401,1965,1046,662,55,3732,1010,928,416,38,2389,1171,1103,323,38,2637,2039,2332,461,32,4862,1243,1837,165,32,3275,831,1381,85,10,2317,411,792,40,3,1244,956,1948,107,8,3016,850,1385,491,24,2752,459,149,175,17,796,19440,14481,6710,529,41159
CED217,282,84,201,10,580,119,20,54,4,201,104,25,79,7,222,53,23,86,3,170,264,43,144,13,470,184,60,215,15,469,801,119,255,22,1201,693,150,389,42,1276,917,281,452,45,1690,1146,413,421,58,2039,661,419,394,26,1504,830,481,344,31,1685,1664,1389,689,57,3789,1485,1471,243,41,3236,1223,1809,292,28,3345,888,1431,99,14,2431,3427,11289,591,35,15344,518,1351,437,12,2308,187,142,68,3,403,15447,21007,5461,459,42370
CED218,601,175,230,9,1014,126,35,50,0,211,112,69,136,4,323,83,73,195,0,352,436,168,264,15,887,263,257,478,15,1007,1692,503,562,34,2797,951,737,693,63,2445,849,1250,773,45,2921,1003,1711,767,72,3550,592,1611,589,50,2845,640,1824,493,52,3008,1557,4018,821,88,6485,1133,3342,417,50,4938,753,2804,281,43,3881,474,1855,131,22,2484,757,4240,227,31,5261,400,1512,454,33,2398,234,277,128,21,661,12656,26459,7692,646,47457
CED219,379,108,160,9,658,112,20,43,0,177,75,44,120,4,241,93,29,166,7,293,324,86,381,21,812,241,153,652,12,1052,1459,336,727,34,2557,973,589,891,53,2515,1057,937,929,60,2985,1197,1479,813,79,3574,751,1475,586,44,2860,903,1520,492,38,2950,2003,3681,771,82,6540,1433,2920,362,49,4766,990,2125,228,24,3366,509,1495,90,10,2112,877,3071,137,18,4107,459,1382,452,20,2307,256,210,132,17,612,14079,21668,8130,603,44482
CED220,262,86,169,18,538,90,20,40,10,160,58,23,77,9,171,45,13,72,8,147,225,38,133,27,420,176,51,172,27,429,685,81,193,39,999,526,143,315,63,1046,767,234,363,69,1431,977,341,342,88,1751,685,352,266,67,1370,884,399,275,74,1633,2131,1054,550,128,3865,1915,1043,200,104,3259,1617,1192,239,59,3105,1233,971,85,38,2319,4814,8580,545,74,14010,592,1017,345,30,1991,173,101,52,8,336,17863,15741,4429,934,38969
CED221,549,153,184,15,897,71,30,51,3,150,85,70,100,0,250,57,61,146,0,264,291,170,293,14,771,194,243,507,20,956,1255,495,621,27,2403,868,926,837,64,2691,918,1489,855,49,3311,1067,2245,818,81,4211,818,2146,607,62,3632,951,2212,485,64,3706,2111,5174,801,110,8193,1376,3788,352,82,5595,779,2756,226,43,3804,438,1547,75,14,2068,517,2576,119,34,3244,422,1644,465,37,2568,231,244,131,9,620,12991,27957,7679,728,49353
CED222,758,206,284,60,1300,206,47,75,6,333,126,80,165,16,384,121,83,238,13,450,600,177,359,35,1166,395,234,443,38,1112,2119,535,623,71,3348,1266,808,872,137,3082,1202,1311,899,145,3546,1512,1599,912,165,4181,898,1584,654,112,3256,976,1552,519,100,3148,1939,3290,956,213,6400,1265,2622,450,95,4426,894,2248,279,56,3480,557,1596,121,18,2296,1164,4515,262,47,5985,553,1298,492,49,2392,283,182,117,23,613,16829,23957,8723,1402,50903
CED223,308,29,77,0,419,162,22,25,5,206,100,23,69,7,198,93,24,159,7,281,584,47,294,14,942,365,78,507,20,965,2417,169,633,31,3258,1667,293,796,72,2823,1844,622,836,66,3363,2065,1032,658,61,3810,1093,1033,409,35,2568,1331,1106,361,33,2828,2595,2712,508,56,5868,1524,2113,183,29,3852,993,1573,108,12,2691,500,1017,36,7,1565,1061,1837,115,6,3021,836,1461,505,16,2813,407,143,121,13,682,19927,15325,6404,480,42143
CED224,405,83,129,9,626,130,25,52,4,204,99,41,72,5,218,65,35,110,0,217,354,71,197,15,634,260,119,302,17,700,1343,210,403,27,1982,915,321,584,52,1874,1092,556,727,57,2429,1170,809,652,71,2705,709,872,569,36,2192,795,972,461,42,2271,1810,2615,813,86,5329,1477,2728,380,50,4624,1258,2641,262,31,4191,857,1971,106,16,2944,1772,6244,305,33,8350,420,1140,445,25,2026,238,152,82,7,483,15183,21595,6650,575,44003
CED225,337,80,121,11,544,126,23,41,3,189,86,38,77,0,205,63,17,102,8,189,350,51,179,12,588,222,76,323,17,631,1185,155,360,30,1733,936,249,509,56,1749,1190,429,598,47,2264,1334,648,575,71,2622,827,721,473,43,2062,852,884,460,44,2246,1893,2264,813,74,5047,1574,2395,351,59,4379,1239,2612,255,28,4135,896,2001,103,17,3022,2113,7515,337,31,9990,476,1210,441,6,2135,245,138,72,10,464,15940,21500,6185,573,44196
CED226,391,151,341,21,905,123,38,85,16,265,88,50,133,13,285,42,45,135,3,234,244,73,172,19,511,201,109,205,18,534,687,193,255,38,1170,619,215,311,50,1197,856,380,404,60,1703,1088,513,410,76,2083,711,505,314,58,1584,881,521,321,41,1766,1913,1444,609,97,4070,1576,1322,290,67,3265,1371,1507,300,39,3211,972,1269,111,27,2376,3599,11157,607,67,15435,522,1515,449,19,2504,151,148,46,14,358,16050,21143,5501,746,43446
CED227,444,97,114,3,656,115,23,40,3,178,86,27,73,0,188,79,25,111,4,224,259,64,258,8,593,224,109,437,5,779,1291,295,506,14,2103,883,476,630,45,2039,1045,952,765,57,2813,1174,1551,661,65,3448,690,1557,485,36,2761,963,1828,420,50,3261,2186,4227,693,83,7193,1607,3583,348,50,5584,998,2751,208,26,3979,537,1696,96,10,2344,934,3746,158,11,4845,496,1456,414,22,2390,288,214,91,7,602,14295,24674,6513,508,45990
CED228,619,151,219,17,996,103,28,48,7,184,88,50,129,3,272,76,61,195,11,339,279,178,332,27,808,279,297,606,19,1201,1159,577,721,43,2498,857,927,870,71,2727,979,1529,899,71,3485,1145,2170,839,136,4298,875,2094,598,83,3646,893,2157,485,73,3611,2149,5163,788,134,8230,1481,3592,333,91,5502,999,2862,213,47,4121,614,1746,89,23,2478,947,3668,165,26,4811,475,1585,475,29,2566,250,263,163,19,693,14277,29098,8156,927,52464
CED229,279,68,157,35,535,94,21,49,12,169,60,29,57,18,161,57,27,88,10,179,207,29,171,20,428,168,61,231,17,479,632,98,258,32,1015,532,162,300,55,1057,859,254,385,83,1580,1158,359,376,89,1984,881,335,306,56,1583,1098,374,282,75,1837,2791,1067,595,146,4598,2448,932,190,110,3675,2195,1043,214,68,3521,1650,823,62,38,2573,5670,6417,474,87,12652,804,820,363,22,2015,202,124,47,15,387,21783,13047,4611,991,40426
CED230,339,75,99,7,522,163,23,41,4,232,124,33,106,8,273,88,33,214,13,346,679,81,398,18,1172,410,130,651,24,1209,2942,303,722,49,4016,1812,493,907,100,3304,1873,867,898,104,3742,2028,1306,652,78,4070,1002,1219,456,28,2707,1312,1246,318,60,2926,2367,2643,462,69,5534,1439,1926,174,37,3582,842,1337,93,12,2282,426,803,25,11,1266,854,1570,95,15,2539,781,1492,471,41,2781,603,193,188,35,1022,20091,15773,6962,702,43526
CED231,354,68,118,16,563,124,27,47,6,203,81,31,109,7,229,50,31,134,4,226,371,67,213,21,674,223,88,266,30,607,1497,188,359,43,2083,877,301,529,70,1774,980,495,612,99,2175,1075,648,566,96,2380,683,674,469,50,1880,741,693,427,60,1922,1733,1907,701,113,4456,1466,1914,345,80,3806,1212,1974,257,44,3480,910,1561,116,31,2619,2318,6799,341,54,9510,476,943,388,15,1822,246,171,75,16,510,15414,18564,6077,860,40921
CED232,338,77,126,7,544,129,18,29,4,175,84,29,58,3,178,61,28,113,8,212,301,77,238,9,625,222,105,424,10,764,1167,214,441,18,1842,884,330,619,37,1868,1122,671,623,40,2453,1219,1099,613,42,2975,751,1197,511,21,2484,842,1467,383,24,2718,1954,3626,671,60,6320,1494,3133,301,44,4973,1175,2833,217,15,4236,662,1848,82,17,2604,1375,4784,194,19,6369,506,1568,501,10,2579,228,202,90,13,531,14517,23308,6236,389,44449
CED233,447,67,195,141,854,121,25,64,42,249,132,24,147,46,354,112,19,167,30,336,273,76,246,66,667,283,80,284,82,724,729,159,331,131,1348,766,200,395,156,1518,1083,278,392,157,1907,1514,329,372,215,2434,1031,351,288,138,1816,1326,366,270,123,2080,3139,973,497,195,4800,2728,809,174,151,3865,2396,897,165,108,3564,1845,719,52,61,2677,5981,4447,335,124,10879,798,573,275,29,1676,121,58,80,14,273,24828,10461,4718,2009,42019
CED234,753,185,344,27,1314,269,38,91,10,400,156,71,107,12,340,108,55,116,9,294,590,129,221,14,960,361,203,299,29,895,1744,351,370,29,2485,1231,513,487,71,2296,1328,784,685,69,2865,1511,1000,579,98,3192,787,1026,443,64,2325,1005,1105,437,47,2589,1851,2655,757,98,5368,1345,2353,388,63,4149,1015,2453,261,38,3766,662,1865,105,13,2645,2045,7450,364,25,9885,537,1470,407,15,2439,252,171,64,13,503,17543,23882,6539,732,48700
CED235,385,56,68,3,516,200,15,36,4,253,136,20,83,5,255,115,19,162,7,303,628,61,323,15,1030,414,95,528,6,1042,2481,198,661,36,3376,1778,359,793,72,2996,1840,672,711,67,3291,1896,967,600,39,3502,880,1001,391,42,2321,1141,1186,309,26,2662,2063,2395,442,40,4934,1232,1831,167,22,3244,859,1457,91,11,2415,413,858,46,3,1321,1016,1823,92,12,2941,689,1294,451,22,2456,440,172,130,14,761,18606,14473,6092,446,39618
CED236,402,92,91,10,598,172,24,31,3,231,87,40,89,0,219,110,34,192,3,341,591,89,361,20,1059,382,121,635,15,1156,2594,301,718,41,3654,1650,417,900,73,3032,1602,753,832,70,3260,1853,1130,684,71,3740,914,1194,457,34,2600,1135,1208,364,48,2761,2220,2608,532,48,5412,1361,2108,200,22,3698,855,1499,110,10,2476,421,911,32,3,1369,872,1829,88,9,2788,788,1398,509,26,2724,485,193,185,31,898,18489,15964,7026,541,42014
CED237,572,199,208,17,1005,166,45,37,3,253,102,78,108,5,300,113,71,187,8,376,464,180,304,16,959,315,222,502,23,1061,2063,579,596,55,3288,1034,824,830,56,2745,1012,1371,849,86,3318,1178,1754,786,83,3799,721,1676,628,73,3108,723,1705,497,71,2995,1680,3941,795,109,6534,1202,3017,403,76,4705,695,2382,208,39,3319,415,1529,128,19,2084,560,2778,152,12,3505,409,1251,423,37,2120,260,239,145,20,668,13697,23851,7793,804,46148
CED238,319,43,79,10,447,160,12,35,0,209,106,25,61,7,198,91,21,144,0,260,570,49,273,18,908,389,83,508,15,993,2254,211,599,37,3104,1703,336,806,90,2933,1736,658,755,87,3226,1956,1103,585,64,3708,1000,1081,448,50,2578,1283,1190,315,35,2812,2428,2538,426,70,5464,1458,1994,207,29,3686,975,1431,108,12,2524,460,895,33,9,1394,1139,1862,110,21,3131,773,1443,469,29,2712,440,162,112,22,736,19206,15142,6073,593,41013
CED239,296,109,118,30,550,95,17,30,7,145,48,45,65,3,167,51,40,122,7,223,323,80,195,24,626,203,155,299,19,679,1338,300,369,50,2060,700,395,540,98,1723,805,654,629,99,2189,1064,827,514,95,2504,711,787,463,78,2036,830,844,372,77,2119,2001,2066,712,145,4930,1807,1759,323,92,3980,1511,1934,191,67,3703,1152,1340,100,34,2631,2335,4739,199,65,7336,516,790,344,23,1674,191,160,84,15,449,15986,17037,5674,1020,39724
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
