CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,0,24,49,271,33,22,19,5,0,431,0,0,0,18,41,19,15,5,0,94,6,57,64,469,190,172,92,29,9,1079,0,0,0,51,50,71,103,39,34,342,0,0,0,8,4,0,0,0,0,13,0,9,13,73,98,149,188,168,80,778,13,91,95,206,129,106,77,22,19,756,14,50,94,321,231,184,110,65,17,1078,0,43,103,717,207,195,206,91,36,1594,6,27,31,270,84,34,38,11,0,499,4,60,82,285,82,45,20,3,0,593,0,5,3,29,21,18,10,7,0,92,15,46,80,166,89,82,63,13,3,566,6,38,57,354,293,268,227,64,21,1311,0,0,5,23,25,31,39,16,9,147,0,4,11,52,28,32,9,4,0,140,16,146,228,909,516,486,540,416,196,3457,188,460,424,1322,570,517,508,485,404,4873,9379,20478,18997,44762,22458,19537,16157,10489,4847,167110
CED212,0,0,5,54,12,16,3,4,0,101,0,0,3,28,29,30,16,4,0,98,8,79,118,528,256,189,120,28,5,1331,0,5,4,76,70,91,107,46,17,412,0,0,10,27,20,18,15,4,0,91,3,23,59,169,184,318,300,229,103,1385,4,17,16,50,28,35,20,0,3,167,0,68,111,333,271,167,111,56,13,1139,0,6,22,184,100,135,105,65,13,634,0,0,3,51,10,12,5,0,0,93,6,49,43,215,80,29,5,0,0,423,0,0,5,33,30,33,20,5,4,137,5,50,42,179,102,88,89,27,5,596,0,10,32,139,65,36,15,6,0,291,0,13,13,58,57,59,58,39,12,315,0,4,15,46,40,25,14,5,0,150,12,145,258,1061,702,624,576,404,143,3926,366,853,790,2071,1060,846,665,535,259,7450,9453,20233,17782,41823,21967,19405,15113,8681,3550,158012
CED213,0,0,0,4,0,7,5,3,0,18,0,0,0,22,24,25,11,0,0,87,4,36,49,236,82,51,43,14,4,519,0,0,0,46,13,25,65,28,15,192,0,3,0,3,5,4,0,0,0,18,0,23,54,135,180,268,341,271,102,1373,0,8,5,10,21,19,18,5,0,91,3,26,33,140,138,117,115,60,16,648,0,0,8,50,26,40,47,27,12,200,0,0,0,16,5,5,0,0,0,21,0,28,30,103,62,19,9,0,0,257,0,0,0,13,13,21,14,6,3,73,9,31,42,126,91,79,97,31,10,519,0,7,0,42,11,20,8,5,0,95,0,8,13,32,45,39,49,37,14,232,0,0,10,12,17,14,4,9,0,59,12,77,61,397,301,345,477,347,146,2163,306,852,739,1708,1209,1262,1388,1103,611,9174,7080,16601,15060,29362,19647,20756,21953,14401,5492,150355
CED214,20,91,159,1016,94,23,21,4,0,1422,0,4,16,29,28,12,0,0,0,97,8,148,287,1818,588,572,393,125,35,3991,0,0,9,110,76,114,162,109,81,668,4,34,59,138,94,73,23,10,3,434,0,0,7,115,48,59,48,48,15,359,3,11,18,218,56,24,29,5,0,363,4,8,19,164,55,18,7,6,0,282,5,27,108,583,103,101,60,21,15,1033,4,8,13,169,15,14,9,5,0,238,8,23,63,361,101,45,14,6,0,622,5,0,9,151,129,146,67,44,9,563,17,25,42,249,68,26,13,8,0,447,64,553,1767,8126,5796,5335,2955,849,382,25832,0,0,3,28,13,3,5,6,0,60,0,3,14,80,11,5,0,0,0,117,46,310,777,3803,1479,1220,1150,738,328,9853,520,1032,1248,3952,1204,1012,838,669,468,10942,10043,18128,20696,62922,21769,18224,13633,7554,3419,176388
CED215,35,254,176,1162,124,48,20,5,0,1820,0,8,10,34,38,5,3,0,0,103,17,171,306,1581,647,454,260,53,13,3511,0,10,6,132,83,54,109,41,48,477,5,23,58,174,92,54,27,3,3,430,0,18,46,163,129,190,173,86,40,838,21,177,116,280,161,75,34,7,0,869,18,147,152,512,306,155,57,35,9,1377,6,47,91,612,199,94,67,21,4,1148,3,8,20,127,19,16,14,0,0,205,6,84,99,316,86,35,16,3,0,642,0,11,4,83,39,31,13,0,0,193,26,141,90,261,109,66,42,8,7,743,7,57,108,896,610,519,351,83,21,2652,0,6,8,45,32,36,12,6,5,149,0,6,29,153,62,19,7,3,0,282,69,543,664,3243,1402,961,728,459,210,8288,614,1186,891,3117,951,683,509,312,141,8403,14914,28832,19382,65062,24236,17137,11831,6068,2518,189984
CED216,0,14,12,68,12,13,5,0,0,118,0,3,3,9,26,14,9,3,0,64,17,77,77,443,167,159,86,19,7,1065,0,0,0,18,12,20,52,18,13,143,0,0,0,3,0,4,0,0,0,9,0,10,12,52,49,166,251,185,46,768,0,5,6,16,15,9,11,0,5,69,4,29,43,109,93,67,55,21,0,429,0,9,23,131,39,22,26,17,4,272,0,0,0,45,5,3,3,4,0,58,5,27,47,123,46,21,10,0,0,276,0,3,0,10,11,4,0,3,0,33,3,22,29,75,45,48,81,32,6,346,4,16,14,164,60,51,14,0,0,336,0,3,5,8,11,30,40,17,10,121,0,3,12,24,22,12,14,3,0,87,8,75,99,382,210,297,341,244,90,1748,504,1270,1132,2723,1478,1774,1784,1138,554,12350,7985,17961,15624,33962,18427,22658,22098,11705,3939,154357
CED217,0,6,8,60,11,11,9,0,0,105,0,0,0,13,28,16,0,0,0,59,0,21,39,251,95,57,53,9,0,538,0,5,6,125,85,155,303,150,105,938,0,0,0,3,4,0,4,0,0,17,7,30,47,197,176,215,195,123,52,1034,16,115,95,120,84,56,43,19,5,547,19,157,202,727,722,446,327,147,59,2806,0,6,20,190,94,112,128,66,39,648,3,4,9,96,23,14,12,0,0,162,0,42,47,171,51,18,10,4,0,342,0,16,9,74,52,46,43,12,4,262,58,207,173,290,205,172,92,39,15,1251,0,43,69,230,145,69,48,5,5,621,0,11,8,41,53,29,27,14,4,183,0,0,4,65,41,40,14,12,0,174,62,357,337,2094,1492,1299,1256,825,399,8127,153,569,437,1228,705,519,555,475,315,4964,7117,19988,18578,34496,24118,20184,15854,9578,4822,154736
CED218,18,192,136,1027,138,74,61,11,8,1661,0,0,7,7,5,7,0,0,0,26,10,230,746,2337,1442,1087,647,172,36,6710,0,0,3,105,103,172,197,72,28,683,0,41,86,181,128,87,49,12,0,581,0,10,4,35,39,66,73,53,22,301,9,49,48,106,36,51,37,8,0,349,0,16,41,131,75,51,22,12,3,356,11,76,185,733,440,324,169,68,16,2028,0,6,4,59,19,6,19,0,0,117,6,13,42,229,78,31,13,10,0,422,0,12,16,123,151,110,72,36,0,528,15,68,59,83,53,20,10,0,0,306,47,197,476,3605,2261,1786,736,212,60,9379,0,0,0,11,3,13,8,8,4,50,0,0,26,74,40,13,3,0,0,151,53,347,816,3388,2083,2016,1496,753,195,11147,446,1050,913,2444,943,733,563,291,80,7451,11713,25720,23066,54336,23619,18609,13241,5950,1848,178100
CED219,15,111,64,508,69,41,18,0,0,841,0,4,0,9,25,13,8,4,0,61,15,170,332,1043,500,295,163,47,7,2565,0,0,8,61,35,53,71,14,19,260,4,81,107,232,149,86,46,11,0,714,0,8,19,105,82,184,208,140,35,787,0,31,25,57,48,37,20,3,3,219,0,21,62,162,93,71,43,17,10,480,3,45,83,367,160,85,63,18,10,836,3,9,0,33,12,8,8,0,0,69,7,44,77,167,62,15,7,0,0,386,0,0,11,50,45,41,20,10,3,182,7,44,44,119,53,41,39,13,0,353,0,27,32,418,146,95,47,9,9,774,0,3,5,24,12,32,21,21,11,125,0,6,23,90,34,22,6,0,0,180,39,342,639,1949,942,745,610,362,111,5735,551,1385,995,2641,1072,863,692,434,150,8785,12384,24559,19828,49375,20627,17203,13532,5974,1909,165389
CED220,0,0,15,127,5,11,3,0,0,178,0,0,0,8,24,17,5,0,0,65,5,30,58,619,110,70,52,16,3,964,0,0,3,109,52,67,161,111,91,592,0,0,0,7,0,5,8,0,0,10,4,9,31,223,79,93,82,82,24,627,8,70,125,351,89,59,84,26,0,812,9,25,86,531,207,200,189,77,33,1361,4,12,69,510,133,135,140,73,26,1106,5,18,15,255,33,23,9,3,0,373,5,12,65,356,72,38,22,0,0,567,0,5,4,84,31,40,15,13,4,194,62,129,193,497,140,133,111,40,9,1307,3,19,116,443,237,150,112,32,14,1135,0,0,4,55,25,19,17,14,6,137,0,0,12,70,20,16,14,4,0,141,39,163,365,2555,788,738,817,663,354,6482,172,428,647,2288,726,590,546,460,310,6167,6462,13888,19016,53995,19519,16521,13192,8606,3870,155062
CED221,37,445,507,1064,170,91,36,7,0,2364,0,0,0,10,11,6,0,0,0,27,17,275,609,1832,926,548,199,52,11,4478,0,7,17,91,65,77,84,34,8,378,5,71,182,361,253,265,79,20,8,1240,0,8,26,67,90,172,135,108,34,640,0,45,52,105,71,67,28,8,0,384,0,31,90,270,197,122,81,48,13,851,21,290,662,3098,1199,776,440,145,47,6674,0,3,6,88,18,7,0,0,0,127,9,33,55,349,100,37,7,9,0,585,0,10,18,123,118,89,43,19,5,415,11,58,65,100,49,30,25,0,0,337,7,33,64,477,253,155,76,11,6,1079,0,0,6,19,18,28,22,15,7,119,4,25,67,213,71,21,13,0,0,412,30,305,766,2457,1291,1091,674,353,103,7067,642,1388,1063,2828,922,752,519,272,122,8507,15881,29772,24097,61967,22019,16563,10430,4887,1644,187255
CED222,20,104,163,651,86,47,38,6,0,1116,0,0,6,14,23,9,8,0,0,54,21,133,253,1321,422,367,250,58,24,2849,0,0,6,109,63,134,237,93,50,701,0,8,14,45,32,38,19,9,0,159,0,7,9,55,63,62,89,77,37,400,13,46,135,285,93,58,50,12,4,692,3,38,99,323,257,147,131,54,15,1070,26,129,425,2096,521,565,642,326,115,4847,4,9,28,373,38,24,20,0,6,499,16,150,273,763,162,75,44,7,0,1494,0,3,17,97,111,132,94,60,17,529,11,73,72,159,62,32,30,12,4,460,45,336,1029,4313,2995,3051,1786,557,253,14362,0,0,7,14,14,6,13,9,0,58,0,6,25,77,11,18,6,0,0,139,73,421,646,2783,1488,1441,1335,946,405,9549,390,728,1061,2774,840,749,632,510,262,7945,10710,20925,25624,62331,23858,20465,16254,10506,4915,195590
CED223,0,10,5,52,0,0,4,0,0,69,0,0,0,14,35,18,8,0,0,85,6,76,64,357,96,84,71,10,3,772,0,0,0,7,7,5,21,11,13,75,0,0,3,10,0,3,0,0,0,25,0,3,5,61,57,139,150,108,31,559,3,7,0,12,21,8,8,3,0,67,0,18,35,94,87,61,42,18,0,360,0,16,9,82,37,18,14,3,0,170,0,5,9,62,5,5,0,0,0,84,0,22,19,85,51,13,0,3,0,199,0,0,0,5,0,6,0,0,0,17,7,21,27,103,44,68,86,23,0,382,5,41,26,136,28,9,6,0,0,259,0,4,0,8,22,32,36,26,3,129,0,10,13,33,16,16,5,0,0,88,17,135,175,418,259,287,338,282,120,2028,384,1170,1056,2315,1436,1735,1566,1041,464,11160,7875,18935,15969,33752,19886,23021,21401,11529,4247,156620
