CED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
CED211,0,0,0,15,12,18,16,11,0,70,14,216,311,2662,828,691,493,141,43,5400,0,0,0,12,3,21,35,23,14,109,0,10,3,26,9,9,31,22,9,111,9,52,103,295,354,537,547,521,281,2703,0,0,4,34,29,23,13,4,0,112,0,0,0,11,11,5,7,6,4,60,0,9,10,51,42,44,116,106,55,432,0,3,0,12,11,36,92,124,43,328,10,53,45,302,116,151,89,21,9,787,20,199,145,1194,235,156,122,75,22,2161,0,11,12,158,51,32,30,15,0,310,0,40,40,320,79,52,30,12,15,584,0,4,0,16,8,8,0,0,0,39,0,11,10,33,20,32,37,30,17,185,0,6,4,23,25,43,141,131,72,456,0,8,8,60,53,9,16,7,4,164,3,17,40,184,81,31,15,6,3,379,0,0,3,22,17,12,11,6,0,72,22,138,117,521,241,216,201,65,16,1549
CED212,0,0,5,21,20,22,24,10,0,104,0,29,82,286,142,107,69,18,4,741,0,0,0,20,26,38,23,20,9,138,0,0,7,15,4,12,30,14,7,90,10,119,208,624,702,923,860,689,348,4474,0,0,11,54,46,24,14,7,6,163,0,4,7,27,12,17,12,4,13,90,0,0,12,63,54,70,98,85,34,421,0,11,12,7,28,40,54,69,32,243,0,4,50,41,21,12,25,3,0,146,4,47,70,416,130,100,56,34,15,877,0,0,11,49,30,22,4,3,0,125,0,0,3,32,9,6,6,4,0,64,0,0,0,5,0,3,4,0,0,17,0,4,10,82,37,35,62,30,16,283,0,5,3,31,23,53,84,76,25,296,0,9,3,27,31,11,4,0,0,85,0,0,0,50,16,7,3,0,0,78,0,4,0,16,18,22,15,0,4,87,0,7,21,65,47,46,51,9,0,247
CED213,0,0,0,10,14,12,11,6,0,52,0,12,11,47,45,30,15,11,3,172,0,0,0,13,10,37,37,34,12,136,0,0,0,6,0,6,44,21,10,94,9,135,231,498,759,1042,1132,1027,404,5230,0,0,0,9,6,11,6,0,6,44,0,3,4,25,18,14,14,8,5,83,0,0,11,42,45,55,121,99,49,428,0,0,4,11,7,42,90,127,27,315,0,6,5,15,14,10,4,0,0,55,0,6,15,67,14,33,27,19,8,186,0,3,0,42,14,0,12,0,0,72,0,0,0,7,0,0,4,0,0,15,0,0,0,4,0,5,0,0,0,6,0,12,15,69,39,58,53,32,14,302,0,4,10,23,21,60,211,133,61,527,0,4,0,22,21,10,7,0,0,67,0,0,4,14,4,6,0,0,0,30,0,0,0,0,3,3,4,0,0,15,0,0,3,23,20,32,27,10,4,114
CED214,4,0,3,57,46,48,63,34,7,262,7,20,87,654,283,272,158,66,43,1579,0,0,0,39,41,101,187,204,62,643,0,14,18,37,15,36,50,34,18,215,8,40,41,381,165,171,101,82,40,1032,0,6,15,76,38,42,30,14,4,220,0,3,7,35,7,10,7,5,3,76,0,3,11,70,30,24,121,81,39,382,0,4,15,21,22,83,236,389,186,956,0,0,13,245,30,32,29,3,0,353,37,121,393,1682,132,104,85,38,19,2607,4,11,26,233,38,19,25,9,0,354,0,9,13,87,16,10,0,0,0,143,0,90,47,147,28,23,17,5,0,351,0,3,5,71,23,13,12,14,3,147,0,0,5,63,29,102,218,288,208,913,0,0,16,107,41,6,3,0,0,183,0,6,10,123,14,7,5,0,0,165,4,3,5,42,46,42,31,13,4,184,17,70,46,442,72,65,50,10,4,773
CED215,0,0,4,42,35,27,25,4,0,149,24,121,129,1659,406,394,267,44,11,3059,0,0,0,39,30,73,99,90,36,369,0,20,20,43,17,26,34,14,9,184,19,170,131,583,422,408,343,218,80,2368,0,4,12,132,48,43,27,16,5,289,0,3,8,55,13,7,10,3,5,96,4,12,13,90,54,28,71,67,25,367,0,8,12,30,41,110,180,243,103,728,0,18,16,141,42,28,21,0,0,276,117,776,605,6431,472,343,241,68,14,9077,0,25,41,478,84,29,52,7,0,724,0,12,17,183,33,22,5,0,0,275,0,9,11,48,17,14,8,5,0,104,3,12,17,142,58,32,30,19,7,322,0,12,11,72,41,104,229,247,168,883,0,9,9,97,53,11,3,0,0,189,3,20,26,203,58,19,6,6,0,341,11,12,34,191,135,97,81,21,4,578,7,72,89,505,140,112,73,15,3,1026
CED216,0,0,0,3,3,11,7,5,0,28,0,6,9,91,39,39,12,4,0,203,0,0,0,5,5,9,12,13,5,54,0,0,0,12,0,0,9,0,0,29,4,32,31,154,211,583,718,529,199,2459,0,0,4,19,11,9,11,0,0,50,0,0,0,6,10,11,3,4,0,40,0,0,0,37,24,39,159,103,35,402,0,0,0,0,0,13,18,17,8,55,0,3,0,8,0,3,0,0,0,21,3,26,82,263,23,15,24,9,5,446,0,5,0,35,7,6,11,7,0,73,0,4,0,10,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,8,0,3,3,22,11,16,28,18,5,107,0,0,5,10,13,51,107,125,65,369,3,0,0,10,0,4,3,0,0,30,0,0,3,22,9,0,0,0,0,29,0,0,0,4,3,0,0,0,0,10,0,12,19,57,24,29,17,5,0,167
CED217,0,3,0,40,26,12,12,3,0,101,9,201,224,1138,565,404,167,77,39,2825,0,0,0,20,15,24,38,29,13,134,0,0,0,14,14,30,52,43,17,177,23,341,303,710,719,606,498,367,177,3745,0,3,0,19,20,14,11,3,0,65,0,32,18,82,56,22,36,10,6,259,3,15,22,99,98,68,118,101,56,580,0,8,5,19,38,92,172,255,105,697,4,38,28,74,48,46,37,14,3,288,19,121,79,774,141,102,104,68,22,1432,4,4,22,119,40,13,13,9,3,226,0,0,0,75,15,14,13,5,0,122,0,0,4,9,6,8,3,0,0,24,5,14,20,249,67,70,38,36,19,518,0,12,4,63,39,61,116,143,116,555,7,47,19,155,102,42,20,7,10,400,0,17,17,89,41,18,7,0,0,197,0,0,0,19,27,28,5,8,3,84,0,23,28,177,91,83,69,32,8,511
CED218,0,3,3,75,95,91,96,37,9,412,4,18,47,398,156,149,91,27,14,905,0,0,0,82,82,221,230,166,53,835,0,48,61,195,76,103,110,45,18,654,4,36,67,126,105,158,136,93,46,769,0,13,19,143,105,61,38,10,4,391,0,3,0,12,7,8,9,4,5,48,0,0,10,34,23,26,94,55,27,268,0,10,7,33,40,117,151,135,37,534,0,11,15,107,31,28,22,0,0,206,35,283,454,3473,606,392,287,114,30,5681,0,10,22,146,64,30,22,3,0,296,3,13,20,93,23,12,11,7,0,164,4,145,119,293,75,65,61,17,0,782,0,13,5,18,7,10,13,6,3,74,0,8,16,43,54,235,348,206,104,1019,0,3,7,42,18,4,3,0,0,79,0,5,7,58,21,3,3,0,0,108,0,13,10,93,77,109,42,14,8,373,0,71,25,225,65,59,46,15,0,510
CED219,0,0,4,31,34,24,21,12,0,124,0,0,16,134,61,56,28,9,3,312,0,0,0,30,37,71,68,33,8,245,0,7,31,41,23,19,41,11,9,186,5,30,58,265,276,525,521,310,128,2123,6,7,17,108,53,34,19,0,4,246,0,0,0,7,9,14,7,4,0,48,0,0,3,35,30,48,140,56,29,350,0,0,0,13,10,26,39,46,7,141,0,4,5,26,3,11,5,0,0,58,34,215,242,2543,189,210,125,33,18,3595,0,3,5,85,34,7,3,0,0,140,0,3,4,18,7,8,0,0,0,49,0,9,9,41,15,5,8,3,0,95,0,4,5,49,33,24,34,20,6,182,0,3,4,21,28,91,116,72,30,361,0,6,9,34,11,0,0,0,0,61,0,3,7,34,13,3,5,0,0,72,0,0,4,47,29,22,16,9,0,127,0,44,16,89,37,35,30,4,3,253
CED220,0,4,4,72,19,13,9,8,0,130,17,186,589,1869,566,481,230,104,59,4090,0,0,0,30,7,26,17,15,8,110,0,0,5,24,10,26,28,28,19,139,22,120,165,802,286,338,273,188,97,2282,0,0,3,45,12,9,8,7,0,81,4,14,28,143,32,20,26,11,6,282,5,4,20,112,34,24,88,50,30,354,0,3,3,36,51,119,248,559,228,1251,10,52,70,243,45,78,67,20,4,573,30,147,209,1525,157,137,96,51,22,2371,0,9,70,240,61,25,36,6,7,458,0,6,6,139,21,15,17,15,0,212,0,0,0,18,6,0,0,3,0,32,0,7,10,327,32,33,30,23,10,473,0,5,8,85,20,50,109,97,86,462,7,14,30,172,78,39,25,12,0,381,0,11,28,232,42,29,12,0,3,353,0,3,3,10,11,12,4,3,0,51,4,12,90,534,168,170,149,52,12,1202
CED221,0,0,0,46,59,69,51,23,9,255,6,22,71,444,207,145,71,19,11,1004,0,0,3,39,26,32,34,16,0,155,0,13,39,64,34,19,25,7,0,206,0,59,90,267,291,421,381,253,115,1872,0,14,44,299,146,108,48,19,10,682,0,0,4,12,13,9,5,4,3,39,0,3,12,46,14,24,51,49,12,209,0,5,8,27,27,36,50,33,12,186,0,9,0,62,14,20,0,0,0,107,43,552,855,5950,997,628,343,111,43,9515,0,17,21,116,56,18,14,5,4,252,7,70,127,179,21,5,7,0,0,409,0,24,29,82,19,22,10,8,0,188,0,32,0,35,23,19,17,23,5,150,0,5,10,28,20,51,68,51,32,258,0,3,4,50,5,0,0,0,0,64,0,4,10,68,26,3,3,0,0,120,0,5,7,34,34,32,11,0,0,118,9,32,38,189,78,70,40,7,0,456
CED222,0,3,0,34,39,36,76,56,13,254,8,108,566,2630,698,759,404,157,91,5424,0,0,5,21,14,37,79,78,21,250,0,13,23,42,13,30,69,59,26,280,12,63,58,175,153,176,208,176,102,1122,0,3,11,74,50,43,25,7,7,212,0,0,5,35,11,10,3,8,12,90,0,6,14,37,31,33,62,71,39,295,4,39,96,159,162,337,730,1076,422,3019,0,10,45,249,49,68,47,6,4,480,67,262,910,3727,552,421,311,205,88,6533,6,19,88,410,123,58,38,12,4,746,0,13,21,116,23,13,7,0,0,201,0,6,12,22,15,20,10,6,5,92,0,6,9,66,16,20,26,19,10,170,0,4,15,48,37,108,329,447,302,1299,3,23,19,155,91,22,19,0,0,330,9,32,56,385,105,42,17,10,0,654,0,4,7,37,36,54,55,25,12,225,22,113,288,1160,209,174,144,41,12,2157
CED223,0,0,0,11,3,5,0,3,0,24,0,12,14,81,24,22,13,4,0,173,0,0,0,0,0,22,23,30,18,96,0,4,3,6,0,0,0,3,0,16,4,38,53,206,245,479,488,377,134,2026,0,0,0,11,8,13,5,4,0,40,0,0,4,27,3,7,10,6,0,57,4,3,0,43,28,67,183,111,47,488,0,0,0,0,5,6,10,10,6,33,0,3,8,23,7,3,4,0,0,47,10,25,34,255,29,17,19,12,8,406,0,0,5,35,13,6,5,6,0,68,0,0,0,7,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,3,0,22,7,24,13,12,0,84,0,0,0,10,14,39,98,112,74,339,0,5,0,25,11,4,7,0,0,54,0,0,0,15,7,0,0,0,0,22,0,0,0,3,0,0,0,0,0,10,4,7,12,47,22,25,8,4,0,132
