CED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED211,70,93,440,778,151,1586,110,965,45,4245,332,1045,1309,1221,775,1338,323,727,141,7220,1703,6053,2522,1728,1967,1071,579,1001,334,16968,3512,7280,2197,1578,2505,986,534,867,338,19802,3376,5107,2185,1759,2900,1007,681,990,312,18320,2068,3092,1565,1387,2348,852,712,969,189,13176,467,901,364,314,662,259,215,325,60,3565,73,131,43,30,59,34,14,45,26,450,5,3,3,0,3,7,0,10,15,40,11609,23714,10620,8792,11368,7145,3172,5897,1455,83785
CED212,62,51,506,686,125,1553,107,1001,65,4150,289,609,1317,1198,586,1102,331,803,113,6348,1584,3807,3352,1896,1789,1151,754,1247,296,15873,2913,4175,2787,1817,2280,1083,877,1200,312,17440,2938,3549,2376,1887,2538,1176,1146,1308,289,17214,1755,2309,1704,1422,2149,928,1052,1196,195,12717,447,703,408,304,573,254,247,313,77,3323,82,91,33,18,52,35,13,41,24,389,6,3,0,0,0,0,0,5,10,26,10075,15306,12484,9232,10089,7281,4527,7118,1375,77486
CED213,50,51,694,944,103,1316,84,874,92,4205,236,422,1452,1184,329,878,182,583,98,5359,1177,2413,2698,1500,952,758,347,913,187,10946,2262,2943,2287,1306,1401,769,377,877,220,12431,2891,3171,2351,1696,1982,1133,642,1209,293,15368,2295,2621,1792,1383,1933,1027,725,1144,213,13127,891,1114,481,316,780,382,225,368,116,4679,181,159,55,20,106,53,32,69,53,723,12,19,0,0,3,0,0,0,6,46,9992,12904,11811,8353,7598,6304,2627,6031,1271,66888
CED214,33,65,148,389,133,935,89,530,60,2380,322,1122,942,1416,967,1323,642,1087,228,8059,2398,8015,3032,2788,3191,1756,2009,2279,696,26170,3189,6126,2191,1727,2476,941,1373,1656,450,20144,2126,3218,1688,1400,1848,691,1638,1785,355,14750,1001,1522,1112,882,1175,505,1410,1501,219,9319,221,348,204,171,275,99,291,358,46,2009,25,26,10,9,11,10,5,23,8,138,0,0,0,0,0,0,0,0,0,3,9322,20451,9332,8784,10096,6256,7454,9227,2069,82979
CED215,46,105,296,557,170,1367,146,770,59,3515,290,836,1039,1066,772,1087,655,771,166,6683,2276,6404,2637,2152,2729,1344,1862,1381,541,21332,5311,9777,2741,2321,3804,1432,1640,1234,635,28899,3790,4989,1871,1693,2846,1021,1337,1081,371,18999,1663,2501,1133,969,1799,613,930,904,192,10703,301,499,217,184,360,129,197,209,61,2159,25,40,20,5,24,11,6,24,15,176,5,3,0,0,0,0,0,0,3,15,13709,25160,9966,8948,12510,7004,6782,6374,2040,92478
CED216,72,39,634,651,122,1448,100,878,86,4035,307,537,1127,977,473,665,216,705,86,5097,1147,2711,2286,1731,1292,861,748,1364,255,12401,1666,2511,1930,1506,1467,692,815,1354,250,12183,1998,2157,1780,1771,1798,878,1020,1492,223,13102,1913,1992,1688,1516,1724,832,1136,1550,259,12613,1025,613,365,335,494,237,348,433,117,3984,304,64,32,19,50,28,26,53,56,645,42,0,0,0,0,0,3,5,15,69,8482,10637,9845,8513,7417,5646,4414,7839,1339,64133
CED217,44,146,206,1167,272,1367,90,703,57,4044,304,1243,656,1302,861,1298,201,449,86,6393,1836,4997,1315,1065,1456,818,263,455,254,12465,4548,6574,1019,879,1568,866,195,301,298,16247,5966,7250,1148,1067,2440,1154,230,362,330,19949,3582,4984,958,926,1988,820,243,396,225,14125,934,1743,325,263,813,347,106,218,70,4820,164,263,49,29,115,67,14,40,32,782,16,19,0,0,8,0,0,4,11,62,17405,27209,5667,6710,9518,6736,1341,2931,1357,78879
CED218,54,95,383,501,204,1789,189,873,79,4167,319,1094,1209,1017,1011,1437,632,817,222,7747,1614,4790,2728,2003,2720,1206,1751,1419,559,18798,2754,4731,2677,2107,3142,1142,2097,1565,535,20753,2364,2929,2185,1856,2833,1038,2011,1879,387,17484,1183,1339,1414,1123,1842,710,1597,1494,231,10933,240,285,271,208,354,149,297,362,61,2236,24,33,13,7,28,18,16,24,0,158,0,0,0,0,0,0,0,0,6,9,8548,15305,10881,8831,12125,7489,8590,8439,2082,82283
CED219,55,59,620,498,155,1562,158,902,67,4073,317,613,1558,1039,765,1089,609,877,143,7009,1463,3544,3488,2420,2392,1247,1837,1598,412,18397,2306,3647,2684,2221,2676,1047,2032,1428,367,18406,2101,2304,2066,1932,2619,1004,1803,1352,312,15494,1251,1414,1349,1317,1857,782,1340,981,185,10481,303,333,299,264,479,165,301,291,62,2505,48,32,15,13,33,12,23,35,12,224,7,0,0,0,0,0,0,0,3,15,7868,11943,12078,9703,10974,6905,8096,7467,1557,76596
CED220,48,106,76,800,186,864,49,464,25,2622,474,2095,665,1638,1307,1480,232,608,134,8630,3781,12769,2048,1966,2873,1764,475,852,428,26952,4712,8248,1137,867,1866,960,224,388,323,18737,4431,6047,758,821,1910,851,211,337,284,15643,2699,4308,634,641,1547,656,191,347,177,11195,832,1807,223,191,642,270,92,151,91,4298,179,359,28,33,88,58,18,25,45,826,30,32,5,0,7,7,0,5,12,89,17180,35768,5569,6975,10434,6910,1483,3165,1515,88994
CED221,65,57,495,471,147,1493,178,957,81,3947,363,817,1596,1274,907,1353,760,1271,218,8554,1920,4216,4007,2904,2783,1594,2308,2370,565,22659,2747,4679,3745,3064,3051,1322,2641,2353,527,24132,1855,2261,2641,2081,2324,944,2062,2132,359,16666,980,917,1524,1149,1646,588,1652,1447,210,10115,181,225,269,189,317,106,316,320,48,1976,29,10,17,7,15,10,8,27,8,138,0,3,4,0,0,0,0,0,6,16,8139,13184,14302,11133,11184,7402,9935,10874,2024,88199
CED222,34,122,220,575,188,1304,119,746,66,3378,372,1570,1216,1601,1020,1644,735,1534,246,9937,2037,7640,3176,2550,2819,1737,2062,3045,741,25799,3212,6095,2516,1871,2510,1114,1385,1948,515,21179,2534,3786,2120,1754,2352,988,1518,2131,374,17553,1369,1929,1510,1176,1630,648,1452,1857,241,11811,299,513,371,293,451,191,347,443,68,2980,31,32,37,21,40,11,11,71,14,276,7,0,0,0,4,0,0,4,10,22,9897,21682,11174,9834,11015,7650,7624,11776,2280,92931
CED223,87,38,723,842,165,1402,103,1151,113,4618,250,390,1380,1067,368,596,334,774,99,5255,1286,2676,2605,1858,1106,815,799,1437,210,12794,2209,3133,2183,1688,1435,768,852,1285,234,13784,2746,2922,2011,1800,2005,1022,1148,1579,263,15493,2651,2454,1719,1671,1919,978,1276,1750,232,14646,1588,823,461,429,518,294,420,573,115,5225,548,78,39,28,57,35,32,81,56,947,53,8,0,3,9,6,7,11,20,113,11425,12519,11120,9375,7593,5910,4963,8634,1334,72871
CED224,59,97,360,715,184,1506,111,801,41,3866,286,952,1069,1087,710,1286,297,591,103,6378,1952,5393,2484,1510,1906,1069,647,873,283,16117,3922,6573,2294,1472,2622,1099,694,828,356,19863,4031,4907,2189,1685,2972,1202,873,1119,322,19289,2173,2622,1554,1176,2367,865,844,991,175,12772,509,774,421,275,668,257,233,315,59,3509,61,95,49,19,58,37,16,38,30,393,8,4,3,0,3,4,0,5,5,33,12987,21408,10420,7935,11486,7331,3714,5557,1381,82227
CED225,50,102,417,751,184,1357,78,769,41,3749,270,1129,1140,1276,811,1213,249,576,112,6764,1837,6123,2230,1586,1808,857,393,659,219,15719,3682,7627,1978,1284,2183,705,364,513,314,18648,3936,5822,1836,1524,2712,890,552,716,251,18242,2337,3823,1393,1216,2385,763,547,718,174,13358,630,1270,389,290,737,276,173,264,57,4089,80,136,41,27,76,25,26,54,12,481,6,5,4,0,4,0,0,4,8,38,12838,26054,9418,7960,10900,6090,2376,4272,1187,81095
CED226,53,207,131,1046,307,1368,95,667,30,3902,410,2152,672,1682,1336,1699,218,656,136,8955,2189,8345,1424,1374,1900,1131,297,529,310,17491,3923,7580,843,730,1645,792,178,289,339,16304,5322,7369,809,820,2245,968,193,317,298,18342,3243,5788,737,728,1808,700,181,341,184,13718,965,2237,217,228,734,234,75,163,83,4932,179,369,28,24,97,59,15,46,22,840,18,28,0,5,5,4,0,9,10,78,16300,34068,4866,6635,10070,6963,1246,3007,1414,84572
CED227,73,84,634,623,171,1641,140,1145,61,4577,359,776,1592,1213,857,1162,462,989,158,7568,1961,4430,3957,2484,2476,1387,1634,1855,418,20597,3048,5127,3134,2484,2811,1255,1788,1517,423,21579,2710,3147,2380,1881,2665,1098,1376,1405,321,16974,1593,1595,1411,1071,1707,674,1085,1006,175,10325,438,446,273,179,403,161,247,260,55,2469,113,46,29,8,29,17,7,32,31,315,20,0,0,0,0,0,0,0,7,37,10305,15646,13403,9948,11131,7394,6744,8208,1650,84432
CED228,63,88,363,412,154,1532,192,818,83,3709,362,809,1487,1201,866,1374,1092,1258,245,8701,1903,5882,3371,2987,3069,1698,3334,2334,723,25294,3346,7424,2946,3201,3809,1417,2963,1875,624,27606,1864,2673,1944,1929,2465,868,2064,1491,338,15632,1017,1280,1200,1103,1755,637,1471,1139,165,9767,233,299,231,176,310,124,274,258,45,1944,31,19,10,13,16,0,13,24,3,134,4,0,0,0,0,0,0,4,5,11,8821,18472,11550,11023,12433,7662,11400,9197,2236,92800
CED229,23,104,78,637,124,576,55,345,25,1963,458,1862,680,1771,1050,1161,238,581,145,7954,4463,14318,3088,3148,3615,2128,682,1645,624,33707,5705,9708,1545,1313,2539,1107,314,586,475,23302,4693,6405,910,956,1990,849,223,389,290,16705,2810,4318,644,731,1488,639,214,330,176,11355,918,1874,196,207,556,270,83,115,112,4331,144,298,31,18,69,61,12,28,41,698,11,22,6,7,8,8,0,3,6,59,19226,38897,7172,8795,11448,6788,1818,4029,1897,100070
CED230,153,43,627,506,121,1378,138,1080,86,4138,411,536,1240,926,449,748,314,1015,120,5767,1687,2867,2245,1827,1180,940,880,2391,340,14346,2466,2360,1711,1460,1391,780,886,1731,280,13049,3085,2257,1561,1810,1717,949,1093,1874,309,14656,3321,1866,1469,1726,1708,950,1390,2056,263,14761,1727,587,391,356,502,265,411,582,108,4927,514,52,44,24,52,31,39,88,94,934,76,3,3,0,4,4,0,4,20,122,13439,10570,9300,8638,7123,6047,5150,10823,1616,72700
CED231,40,88,234,577,205,1318,94,660,39,3258,333,1357,944,1208,1010,1233,300,684,128,7191,2337,7694,2221,1825,2493,1101,636,969,361,19626,3976,6797,1679,1234,2472,841,549,663,352,18579,3592,4716,1557,1331,2725,970,650,857,303,16713,2014,3003,1042,932,2131,669,648,691,192,11318,419,893,281,216,559,198,196,236,65,3072,49,69,35,13,37,29,12,43,18,304,4,0,0,0,6,0,0,0,6,20,12763,24629,7994,7331,11637,6364,3078,4804,1465,80068
CED232,51,60,723,743,159,1534,117,1027,74,4484,306,625,1599,1127,622,999,356,791,135,6568,1479,3805,3373,2125,1982,969,1035,1217,323,16323,2986,4950,3092,2308,2707,956,1237,1148,381,19767,3123,3719,2515,1968,2726,1031,1150,1152,273,17655,1914,2286,1603,1244,1996,752,910,865,196,11769,511,683,349,216,540,187,241,258,56,3034,151,67,39,21,45,25,25,37,22,433,13,3,0,0,0,3,0,0,9,31,10538,16206,13283,9753,10783,6463,5067,6507,1469,80063
CED233,44,196,111,883,202,826,54,518,49,2885,706,4265,1194,3598,2061,2388,420,1395,323,16346,6093,25405,4399,4894,5267,2820,1005,2432,826,53142,5184,11350,1790,1438,2327,966,405,775,459,24693,3365,5361,797,775,1405,527,284,449,240,13207,1904,3527,492,516,1063,376,238,378,122,8612,558,1346,135,118,315,131,52,98,48,2804,88,219,22,10,44,19,3,20,21,452,6,12,4,0,0,0,0,0,7,25,17952,51688,8947,12231,12691,8046,2458,6063,2090,122175
CED234,47,143,286,799,213,1466,89,739,49,3832,387,1584,990,1245,920,1557,241,673,148,7751,1840,6324,1861,1351,2008,1222,396,807,388,16200,3818,7067,1681,1225,2293,1083,404,569,365,18497,3949,5630,1822,1480,2685,1189,481,831,327,18402,2542,3707,1449,1222,2115,933,523,901,214,13604,685,1134,383,300,683,278,168,302,82,4011,150,197,50,32,92,54,17,44,25,672,13,9,3,0,12,8,0,0,8,52,13431,25803,8525,7652,11022,7796,2317,4867,1604,83013
CED235,79,38,592,641,125,1209,68,859,106,3716,272,407,1130,869,444,627,196,748,75,4767,1193,2374,2424,1544,1172,819,615,1389,218,11763,1813,2484,2024,1440,1386,737,697,1207,214,12007,2320,2339,1890,1625,1617,931,937,1461,230,13359,2153,2133,1608,1377,1682,879,1069,1460,226,12584,1166,739,435,331,474,266,289,473,98,4269,328,83,38,34,57,25,31,60,51,697,44,0,3,0,4,0,0,3,19,75,9364,10613,10148,7856,6956,5483,3914,7667,1234,63234
CED236,108,60,687,667,145,1513,107,1098,101,4482,361,551,1322,1069,437,696,285,984,114,5830,1475,2785,2460,1781,1180,842,776,1987,257,13539,2195,2533,1862,1504,1369,765,822,1722,248,13018,2749,2254,1805,1757,1845,1002,1239,1967,253,14861,2546,1850,1489,1456,1758,894,1332,1969,248,13549,1205,636,382,344,506,249,413,550,114,4401,329,56,36,10,56,30,34,70,51,669,50,0,0,3,0,4,4,0,23,81,11017,10727,10044,8592,7299,5987,5007,10356,1404,70437
CED237,59,75,366,408,146,1423,97,641,70,3282,325,907,1271,1199,859,1484,499,968,200,7705,1649,4822,3138,2359,2433,1387,1477,1706,493,19474,2452,4693,2660,2228,2803,1162,1704,1539,463,19707,1865,2360,2022,1700,2514,1052,1578,1613,299,14999,1029,1241,1379,1216,1788,761,1379,1427,200,10426,189,268,290,255,343,157,337,380,42,2251,15,15,17,5,21,14,12,34,23,155,6,0,0,0,0,0,0,3,5,10,7578,14376,11144,9382,10904,7446,7088,8309,1783,78009
CED238,146,30,637,660,131,1500,121,1235,116,4580,379,409,1096,933,366,650,307,1122,90,5352,1535,2613,2309,1665,974,846,734,2104,236,13024,2401,2752,1861,1423,1266,724,797,1551,197,12969,3073,2566,1807,1855,1708,915,1098,1766,272,15058,3090,2311,1464,1716,1672,910,1343,1899,241,14642,1900,779,381,393,520,286,353,611,147,5374,576,81,34,16,53,47,34,79,64,992,68,3,6,0,5,3,6,8,22,125,13171,11549,9596,8662,6690,5879,4790,10366,1395,72115
CED239,22,86,217,424,98,941,70,543,27,2428,321,1404,1145,1712,985,1312,358,1023,157,8419,2964,11050,3087,2973,3076,1544,920,1579,495,27688,3944,8851,1912,1453,2472,808,623,762,369,21199,2719,4819,1490,1126,2122,713,613,693,261,14552,1285,2538,996,817,1543,514,557,662,145,9055,213,529,197,185,310,108,132,199,33,1923,28,40,13,11,14,13,16,33,16,182,4,3,0,0,0,0,0,0,4,14,11497,29312,9062,8712,10626,5948,3292,5489,1508,85448
CED294,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
