POW_SA3_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
20607,233,453,451,257,559,501,136,229,23,2844,164,414,357,261,988,1113,246,517,667,4725,4589,10994,10081,7655,21401,22324,5879,10670,1263,94862
20701,241,524,401,198,369,334,96,177,19,2357,138,407,320,159,510,582,114,283,518,3030,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
20702,92,226,200,91,177,149,49,97,11,1088,43,154,123,65,122,141,14,68,192,917,1727,6163,4187,2178,4446,4122,1200,2114,384,26526
20703,147,354,366,228,648,529,138,199,17,2628,75,224,211,112,341,401,55,101,367,1901,2345,8055,6492,4475,10700,10019,2548,4318,662,49600
20801,137,288,193,116,166,158,33,75,8,1186,60,228,169,86,229,265,48,164,225,1472,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
20802,165,422,307,140,276,250,99,159,22,1848,65,267,182,114,264,301,48,131,311,1688,1921,8371,6281,3817,7384,8002,1966,4123,638,42510
20803,191,489,407,203,672,575,153,265,33,2989,130,519,430,265,1273,1104,194,442,565,4919,3228,10891,8439,5441,16080,15244,3933,7184,1076,71510
20804,90,211,129,63,128,97,29,41,8,793,45,117,106,59,138,140,29,85,193,915,1849,5318,3746,2108,5129,3697,978,2008,373,25202
20901,133,296,280,130,274,247,59,147,22,1569,60,197,151,108,303,340,59,126,309,1642,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
20902,96,226,184,87,265,268,53,106,24,1305,62,206,144,100,383,294,54,110,337,1693,1872,5872,4973,2949,8464,6898,1835,3074,680,36609
20903,91,182,126,54,104,134,31,51,8,786,28,103,56,43,74,112,17,59,84,568,953,3666,2242,1382,2313,2831,701,1560,216,15870
20904,211,449,368,159,489,452,124,212,28,2490,116,438,399,220,1034,832,160,310,691,4205,3311,11758,9557,6124,15911,14842,3753,6837,1456,73549
21001,106,203,186,95,341,327,74,155,21,1509,87,214,185,123,525,467,104,196,370,2263,1708,4866,4007,2498,8690,8610,2338,4306,731,37754
21002,34,78,74,31,44,60,17,54,8,393,17,53,21,20,39,53,19,38,51,301,466,1788,1182,699,1240,1502,437,947,158,8406
21003,73,135,133,75,255,207,68,78,14,1038,24,110,98,53,179,182,27,75,128,869,762,2684,2427,1415,3375,3140,785,1592,302,16490
21004,62,99,79,27,78,93,26,45,8,509,10,57,29,26,53,66,9,17,65,336,594,2040,1506,885,1807,1749,502,938,159,10171
21005,166,385,363,180,670,579,133,220,44,2734,172,587,525,283,1555,1190,257,440,999,6008,4247,10891,9984,6170,22614,19903,5693,9302,2063,90874
21101,240,478,348,208,589,696,203,336,21,3120,125,427,369,294,1301,1121,262,406,505,4804,3031,10500,8180,5525,16971,15750,4122,6994,1014,72089
21102,20,37,39,19,19,30,8,18,4,207,0,48,28,16,30,41,3,11,28,204,299,1174,847,486,745,855,221,618,71,5311
21103,173,370,328,153,405,468,116,219,15,2260,63,248,198,122,573,477,102,220,313,2322,2366,8003,6124,4004,9404,9082,2467,4511,650,46602
21104,61,189,173,92,272,228,49,112,13,1186,33,143,109,89,310,302,51,85,173,1288,1170,4483,3609,2130,5187,4921,1113,2140,374,25117
21105,195,392,307,161,290,325,86,165,23,1949,78,270,171,123,360,342,74,156,322,1897,2787,9084,6290,3917,7927,7774,2172,4515,740,45211
21201,138,261,213,88,202,260,57,150,14,1379,61,163,115,79,313,319,53,147,275,1532,1571,5694,3991,2538,5916,5835,1707,3630,619,31507
21202,181,352,273,141,359,353,100,173,23,1952,59,285,230,123,541,495,110,201,382,2430,2293,8134,6431,3917,9321,8532,2238,4228,802,45896
21203,138,260,234,98,234,220,61,101,17,1365,57,203,173,86,313,261,57,123,336,1603,1692,6723,5431,3273,7246,6002,1758,3506,723,36363
21204,192,530,564,281,1381,1152,334,503,49,4990,228,835,805,540,2844,2306,488,768,1242,10053,4225,12658,12552,8631,33963,29398,8315,13333,2342,125415
21205,223,499,417,232,823,670,171,296,26,3363,196,572,509,318,1424,1357,250,509,925,6065,4834,15361,12932,8860,26331,26615,6737,11817,1772,115259
21301,135,337,281,152,521,488,135,183,40,2274,117,429,390,251,895,786,159,311,735,4070,2887,8817,7886,5248,14730,13520,3587,6350,1434,64456
21302,85,234,250,106,275,275,76,125,16,1445,73,178,214,99,470,472,87,195,292,2079,1539,4724,4010,2484,7371,7793,2249,4636,630,35433
21303,137,304,272,195,443,273,69,127,25,1843,84,235,207,114,465,402,73,170,431,2186,2354,6912,5594,3805,9080,8019,1968,4148,782,42663
21304,149,323,275,123,346,308,76,180,14,1795,79,207,211,119,411,399,79,155,448,2104,2085,7456,5788,3394,8595,8818,2312,4480,974,43902
21305,194,444,381,174,544,515,138,233,27,2647,140,454,430,287,1090,954,168,363,929,4811,3909,12689,10933,6868,20470,18164,4960,8914,1911,88819
21401,207,328,272,165,369,393,93,170,19,2007,96,273,219,142,593,510,110,220,418,2582,2889,8353,7058,5227,10310,10070,2532,4761,846,52045
21402,309,457,397,188,360,377,85,175,29,2382,118,357,225,142,390,359,80,205,430,2293,3829,11400,8358,5266,9808,10274,2870,5602,1061,58473
21501,37,130,97,68,170,198,44,81,11,837,38,101,56,49,130,139,28,76,216,831,1415,3803,2907,2399,4697,5439,1428,3969,531,26594
21502,58,132,109,71,214,193,35,90,13,929,60,120,95,63,201,177,44,80,306,1153,1139,3213,2699,2048,5370,4649,1250,2872,649,23895
21503,33,66,58,50,117,115,41,92,9,578,36,103,54,41,158,145,40,71,208,856,733,2249,1836,1410,2969,3361,983,2631,420,16600
21601,51,125,92,61,109,168,42,80,15,731,34,80,50,37,98,114,25,76,163,667,916,2411,2001,1425,2888,2980,968,2427,425,16445
21602,29,66,40,31,72,106,26,62,8,437,26,53,38,16,60,77,17,32,105,424,570,1640,1295,1022,1925,2190,735,1751,286,11409
21603,68,219,169,95,341,284,79,139,19,1417,63,168,115,64,239,272,66,127,309,1424,1533,4267,3466,2732,6457,6486,1911,3620,650,31126
21701,27,87,56,48,105,118,24,60,11,528,41,100,38,30,82,99,29,63,145,621,855,2444,1943,1328,2535,3193,864,2413,333,15912
21703,22,82,47,33,104,108,24,68,5,504,38,103,53,34,96,104,32,75,179,715,962,2858,2048,1364,2840,3207,1068,3048,446,17836
21704,60,167,128,67,162,169,32,90,14,886,32,104,68,38,125,150,33,72,172,811,1333,3961,2937,2077,4345,4515,1370,3099,472,24109
29797,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,16,19,8,3,3,12,22,9,114,0,194
29999,489,1014,650,335,512,710,145,406,56,4323,550,1035,695,417,955,1183,201,599,1318,6946,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
