POW_SA3_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
20402,90,7228,40,7359,38,2227,11,2276,20,663,9,687,144,10116,61,10324,62,4423,24,4508,76,5249,23,5350,15,950,13,974,153,10617,64,10828,149,11652,61,11864,116,7477,39,7627,34,1606,19,1664,298,20733,121,21154
20403,222,12441,58,12724,61,3910,21,3994,27,1093,17,1141,318,17450,97,17860,139,6665,18,6824,155,7778,28,7952,33,1348,12,1395,321,15790,52,16169,365,19109,78,19548,215,11687,47,11952,68,2444,27,2532,644,33241,152,34033
20501,55,6197,21,6274,24,2331,9,2358,11,556,4,569,91,9081,36,9201,41,3924,14,3981,45,5631,25,5703,11,878,5,889,95,10428,41,10568,97,10115,38,10251,70,7961,29,8057,17,1430,11,1460,187,19512,72,19772
20502,154,5482,43,5672,60,2188,12,2253,19,631,6,662,233,8302,56,8590,98,3319,21,3436,119,4794,27,4946,30,791,8,825,245,8909,57,9208,250,8801,58,9112,180,6988,35,7200,49,1424,17,1485,476,17205,111,17799
20503,62,7543,44,7648,28,3271,22,3319,10,907,12,933,105,11722,74,11906,32,4201,20,4252,69,6839,28,6937,20,1227,22,1260,123,12264,71,12448,97,11745,65,11906,97,10108,46,10255,29,2138,26,2189,223,23993,141,24354
20504,139,11933,61,12140,34,3208,11,3260,10,1064,6,1083,192,16207,80,16483,106,6748,31,6885,117,8438,38,8596,22,1465,11,1492,244,16652,75,16971,250,18679,97,19025,158,11645,52,11853,34,2530,12,2575,443,32859,156,33455
20505,71,6571,29,6672,26,1704,8,1746,9,606,11,626,114,8881,48,9042,57,3489,14,3556,53,4291,16,4359,10,739,5,757,119,8519,39,8674,130,10057,44,10227,79,5997,26,6101,23,1351,15,1383,237,17401,82,17714
20601,48,7673,12,7738,31,4522,17,4564,12,788,4,805,87,12986,30,13102,52,5875,3,5930,46,7567,16,7631,8,1031,4,1037,106,14473,24,14599,102,13552,16,13667,74,12093,32,12196,19,1818,11,1846,191,27459,56,27701
20602,43,5389,13,5444,19,2470,10,2494,6,464,0,468,63,8317,21,8408,63,3664,9,3732,35,4548,6,4593,9,609,6,617,102,8824,17,8943,101,9053,18,9175,55,7018,15,7087,11,1072,3,1089,172,17143,38,17352
20603,20,5814,8,5840,13,2990,0,3005,5,579,0,588,29,9392,13,9437,20,5096,12,5129,23,6157,12,6195,5,942,0,948,52,12194,25,12269,41,10904,19,10974,35,9149,18,9203,9,1522,4,1536,86,21580,40,21703
20604,899,202459,198,203554,194,34734,86,35014,102,12641,66,12804,1197,249831,348,251374,755,150972,147,151879,332,66134,83,66548,141,18586,56,18781,1230,235687,288,237209,1653,353434,346,355435,532,100863,169,101560,244,31226,121,31585,2430,485518,634,488582
20605,180,40542,66,40783,48,10045,24,10112,20,2383,14,2417,237,52974,97,53307,93,22963,37,23101,49,13765,22,13838,15,2648,5,2663,157,39375,65,39600,270,63505,107,63880,97,23809,37,23949,28,5031,19,5079,398,92344,169,92908
20606,35,10732,18,10786,18,4851,8,4875,10,939,3,947,58,16516,31,16609,37,8708,8,8748,26,8721,12,8753,17,1455,10,1479,72,18878,25,18978,71,19442,23,19533,42,13568,19,13632,23,2386,19,2425,137,35395,59,35586
20607,185,33330,39,33554,79,10182,23,10283,28,2324,13,2363,295,45843,70,46207,201,26484,38,26717,122,18302,25,18448,30,3454,7,3493,350,48241,69,48658,383,59817,72,60272,202,28493,45,28735,58,5780,19,5853,642,94085,138,94862
20701,83,24212,25,24319,30,9825,19,9876,14,1684,8,1702,130,35718,50,35899,68,19791,30,19896,41,19680,35,19760,9,2644,9,2669,127,42117,74,42318,154,44006,56,44212,78,29509,51,29637,20,4330,21,4372,255,77840,130,78222
20702,27,6809,11,6848,14,4109,5,4125,3,836,4,850,47,11759,29,11826,14,5010,11,5033,22,8372,10,8404,5,1259,4,1268,36,14643,24,14704,41,11820,21,11879,37,12484,15,12532,8,2096,8,2112,82,26398,52,26526
20703,58,14716,18,14793,20,5919,14,5954,5,1127,9,1139,80,21764,42,21889,60,12714,12,12788,24,13006,31,13063,11,1852,4,1867,97,27576,48,27714,120,27432,34,27579,42,18933,41,19018,15,2982,10,3005,173,49341,89,49600
20801,32,9450,20,9505,21,4649,16,4688,3,822,3,826,52,14914,43,15013,16,6941,17,6972,24,9559,15,9607,0,1297,4,1296,44,17789,40,17871,51,16388,33,16472,45,14204,39,14290,3,2114,6,2120,97,32708,81,32884
20802,41,11518,13,11569,16,6142,12,6167,6,973,3,981,53,18640,23,18715,31,9853,17,9911,36,12241,26,12306,4,1571,7,1580,70,23669,54,23791,69,21375,36,21477,50,18390,32,18477,7,2546,8,2558,125,42310,80,42510
20803,127,28079,54,28257,40,9044,31,9110,18,1927,17,1964,181,39055,100,39339,50,14110,21,14179,64,15562,24,15650,10,2321,10,2344,126,31997,52,32176,180,42192,71,42444,99,24607,52,24764,27,4255,28,4308,308,71053,156,71510
20804,15,5854,9,5874,16,3190,6,3207,8,682,0,684,36,9719,14,9771,18,5899,16,5929,18,7926,18,7960,8,1526,3,1542,47,15357,34,15432,34,11756,20,11808,28,11118,20,11170,16,2205,6,2225,81,25074,47,25202
20901,84,13241,26,13351,25,5597,9,5635,7,1087,9,1102,120,19925,46,20089,71,10615,18,10705,70,14207,36,14318,18,2036,11,2057,156,26859,63,27085,156,23857,40,24054,93,19811,50,19954,24,3123,16,3166,272,46792,111,47174
20902,104,11582,29,11718,29,4822,12,4866,14,1067,5,1092,151,17472,49,17674,134,8397,19,8554,64,8844,16,8927,27,1436,4,1461,227,18676,37,18942,242,19977,50,20271,97,13671,26,13791,35,2503,8,2548,377,36148,85,36609
20903,33,4498,10,4541,5,2307,5,2313,6,478,5,482,48,7279,14,7341,15,2843,5,2867,26,4948,14,4978,6,677,0,687,41,8468,22,8535,48,7337,17,7405,32,7246,17,7295,7,1154,8,1172,87,15739,41,15870
20904,181,26053,40,26270,59,9453,30,9543,14,2015,13,2046,251,37518,85,37859,124,14937,17,15074,136,17727,31,17894,23,2693,12,2721,282,35354,57,35690,299,40989,58,41344,191,27180,61,27436,36,4708,25,4767,534,72871,148,73549
21001,79,16941,30,17051,21,4450,9,4477,10,1173,13,1200,120,22570,49,22732,25,6840,24,6893,21,6860,8,6894,10,1224,4,1235,55,14927,40,15018,108,23786,56,23944,44,11307,23,11375,18,2400,15,2437,172,37495,94,37754
21002,17,2492,7,2519,11,1039,3,1056,6,241,0,249,39,3780,12,3827,7,1582,9,1598,19,2579,5,2610,5,365,0,369,31,4533,11,4585,24,4078,15,4120,36,3620,10,3668,4,615,0,619,67,8314,24,8406
21003,25,5529,4,5560,8,2471,4,2483,0,474,8,483,33,8476,16,8524,24,3305,9,3339,20,4019,8,4042,9,572,0,584,53,7892,15,7968,53,8832,11,8896,28,6490,9,6527,11,1048,9,1065,91,16367,27,16490
21004,37,2814,9,2854,18,1323,0,1341,0,278,0,284,55,4416,9,4479,17,2126,8,2142,31,3047,8,3084,5,463,5,466,43,5630,15,5691,49,4933,13,4992,47,4369,11,4424,6,741,4,752,101,10048,26,10171
21005,245,40541,73,40859,52,12109,34,12192,18,3287,18,3329,321,55932,124,56383,101,16523,34,16654,83,14744,25,14852,20,2950,12,2987,202,34217,78,34496,347,57057,112,57514,134,26856,64,27049,49,6235,35,6315,521,90153,202,90874
21101,148,28633,62,28844,58,8214,20,8293,10,1780,4,1802,214,38631,91,38941,58,14908,24,14992,74,15814,27,15911,15,2222,4,2243,154,32946,55,33149,212,43543,85,43835,130,24026,49,24206,29,4007,11,4047,366,71576,147,72089
21102,5,1385,3,1392,5,807,0,813,0,140,0,144,9,2334,4,2343,11,1033,0,1040,4,1689,5,1696,0,224,0,228,14,2945,5,2969,14,2419,5,2433,8,2498,5,2508,0,365,3,372,18,5281,12,5311
21103,94,16199,33,16324,39,5587,13,5638,13,1153,3,1171,144,22931,51,23134,47,9066,17,9129,66,12403,22,12490,18,1821,4,1844,127,23288,49,23473,143,25262,56,25463,106,17990,32,18129,31,2970,16,3015,280,46226,101,46602
21104,37,8254,15,8308,10,3507,9,3522,3,637,8,649,53,12403,29,12483,13,5032,5,5050,25,6663,11,6692,4,884,0,891,40,12578,21,12636,50,13283,19,13357,35,10170,20,10218,8,1527,8,1540,91,24980,48,25117
21105,130,14094,28,14245,63,6024,18,6111,20,1389,15,1422,205,21505,60,21776,90,8036,16,8141,126,13031,23,13183,20,2074,16,2110,233,23146,53,23434,213,22127,47,22387,191,19056,43,19291,38,3468,21,3528,443,44654,115,45211
21201,80,10813,32,10923,21,3836,14,3871,9,933,3,951,107,15586,46,15741,43,6099,20,6165,64,8272,18,8355,11,1230,8,1245,119,15599,44,15768,122,16909,51,17085,90,12106,33,12225,20,2165,13,2193,229,31188,95,31507
21202,84,14646,27,14758,22,5754,16,5799,9,1209,3,1219,119,21610,50,21776,44,9501,17,9559,71,12590,26,12678,9,1862,4,1878,119,23945,45,24119,132,24141,47,24318,94,18345,39,18477,20,3070,15,3094,240,45556,97,45896
21203,59,10524,24,10607,26,5255,22,5296,7,1021,7,1039,90,16797,50,16939,52,7840,16,7906,73,10039,21,10136,16,1356,9,1381,146,19238,37,19419,113,18366,37,18514,99,15297,34,15426,21,2378,13,2416,233,36032,90,36363
21204,278,59281,88,59646,58,14371,48,14472,13,3401,36,3449,349,77054,164,77572,133,25178,44,25356,103,19225,31,19366,23,3087,14,3119,261,47489,92,47842,415,84458,134,85005,165,33599,81,33842,35,6486,43,6570,610,124546,260,125415
21205,176,43265,61,43507,45,12980,20,13048,16,2794,15,2829,237,59043,99,59380,105,27859,22,27990,69,23986,45,24097,22,3746,11,3783,201,55590,82,55878,283,71128,87,71499,115,36968,68,37152,42,6539,28,6607,438,114636,187,115259
21301,151,24795,48,24998,36,8432,18,8488,16,2104,10,2134,198,35332,79,35614,65,13100,27,13191,57,13371,32,13464,9,2168,8,2186,135,28640,66,28839,213,37898,74,38189,93,21803,53,21949,26,4272,23,4318,333,63971,151,64456
21302,127,15527,42,15697,36,4398,6,4435,0,1099,4,1105,161,21023,53,21233,33,6303,12,6351,32,6743,10,6781,13,1043,4,1065,79,14090,31,14195,162,21829,55,22049,66,11138,17,11219,19,2146,10,2166,240,35106,85,35433
21303,93,13518,20,13633,30,5842,9,5880,8,1248,14,1270,129,20602,44,20783,77,9498,11,9588,47,10367,15,10427,17,1843,4,1862,143,21711,28,21881,170,23016,33,23222,78,16213,21,16314,27,3091,17,3138,277,42319,74,42663
21304,126,14667,38,14831,49,5923,21,5995,18,1284,7,1315,194,21878,66,22139,94,9268,11,9378,68,10553,22,10643,22,1716,3,1746,186,21544,36,21764,221,23940,47,24204,120,16476,44,16639,39,3011,13,3060,378,43417,108,43902
21305,232,33836,63,34130,57,11865,36,11960,33,2706,12,2755,320,48409,115,48841,111,18233,39,18380,143,18362,25,18524,41,3015,16,3065,288,39608,84,39976,343,52074,103,52517,193,30227,65,30484,73,5718,31,5818,605,88017,198,88819
21401,137,16303,37,16472,70,5875,11,5955,11,1346,10,1368,219,23526,60,23800,100,11069,24,11198,103,14535,41,14678,24,2328,15,2366,233,27930,82,28247,235,27370,68,27675,173,20408,46,20635,37,3673,25,3738,446,51457,141,52045
21402,193,17427,55,17676,71,7777,37,7890,28,1911,14,1960,291,27115,111,27516,87,10764,29,10891,133,16962,39,17140,35,2873,19,2934,256,30603,97,30957,280,28190,92,28564,209,24745,82,25026,66,4789,36,4891,550,57721,206,58473
21501,106,10011,41,10165,36,2716,17,2770,3,840,4,849,149,13569,61,13782,48,5301,24,5375,79,6241,25,6344,9,1077,10,1098,134,12619,57,12813,160,15314,60,15536,111,8958,42,9111,16,1911,16,1946,287,26187,120,26594
21502,202,8349,44,8594,64,2338,17,2419,28,722,19,765,300,11404,77,11777,167,5362,29,5561,163,5346,42,5550,44,958,16,1019,368,11667,80,12125,365,13716,68,14148,230,7683,56,7967,74,1677,32,1787,667,23074,157,23895
21503,122,6510,39,6662,40,1604,9,1656,15,470,10,500,176,8586,60,8818,66,3203,19,3283,92,3728,23,3841,15,634,11,658,169,7567,47,7781,187,9710,54,9948,127,5329,36,5495,30,1108,16,1155,344,16146,107,16600
21601,104,5831,27,5959,30,1548,18,1601,19,552,8,584,153,7932,56,8144,83,3212,12,3307,80,4129,24,4234,23,724,5,761,185,8068,47,8297,183,9046,44,9266,116,5675,41,5837,43,1276,22,1341,336,16003,104,16445
21602,77,4247,31,4350,19,1113,4,1139,14,373,4,395,114,5735,43,5890,37,2190,17,2245,55,2755,5,2812,10,448,6,460,101,5391,27,5522,113,6435,43,6600,76,3864,16,3955,24,819,9,856,215,11125,68,11409
21603,249,11222,37,11511,92,3038,18,3143,29,912,8,949,364,15177,61,15604,198,6734,29,6956,183,7116,25,7323,30,1195,11,1237,415,15045,64,15525,444,17955,65,18473,271,10159,39,10467,61,2109,19,2187,784,30224,125,31126
21701,98,5759,22,5874,38,1677,18,1732,9,526,9,545,147,7961,40,8151,72,3038,15,3125,70,3894,20,3985,13,631,7,649,154,7564,42,7758,175,8797,36,9000,104,5569,36,5714,24,1155,14,1192,300,15519,84,15912
21703,62,6750,49,6857,23,1940,3,1965,11,637,10,657,97,9325,55,9480,28,3263,17,3309,52,4227,23,4298,7,733,8,750,85,8223,54,8354,91,10018,62,10163,77,6160,31,6263,16,1367,22,1404,182,17549,108,17836
21704,101,8413,28,8544,44,2526,7,2573,8,710,8,730,158,11650,44,11850,62,4711,18,4785,90,6285,19,6398,14,1048,10,1072,166,12041,45,12260,167,13123,43,13328,131,8811,29,8970,27,1759,16,1805,322,23691,91,24109
29797,4,139,0,147,0,10,0,10,0,23,0,23,4,174,0,181,0,12,0,13,0,0,0,0,0,0,0,0,0,10,0,16,4,153,0,160,0,17,0,17,0,23,0,23,4,187,0,194
29999,607,60585,222,61412,248,28778,111,29131,86,7581,66,7736,942,96942,396,98277,116,10596,36,10738,198,23075,71,23349,47,5014,44,5108,362,38681,154,39201,723,71176,255,72156,444,51855,182,52479,133,12595,111,12840,1297,135628,552,137478
