POW_SA3_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
20503,277,54,35,2200,1817,269,363,59,48,2566,1924,291,410,91,53,2772,1794,257,443,97,52,2645,1559,257,431,111,48,2401,634,181,331,132,36,1311,186,101,197,97,31,609,57,63,130,95,31,371,17671,2035,3322,865,455,24354
20504,156,33,20,3242,2899,198,184,28,31,3342,3004,230,175,37,25,3472,3034,168,181,34,24,3439,2178,156,161,41,40,2581,781,98,107,43,16,1051,234,46,63,36,14,402,70,14,45,36,14,184,29826,1385,1590,362,291,33455
20505,172,31,23,1665,1365,125,186,34,28,1741,1446,148,178,31,29,1836,1353,128,201,51,28,1762,1163,90,230,72,40,1595,458,79,162,65,20,792,118,34,116,59,13,336,47,25,81,54,22,218,14244,969,1760,474,267,17714
20601,394,35,13,2789,1826,349,351,44,20,2586,1801,333,288,48,16,2484,1561,289,247,40,18,2160,1079,199,184,33,9,1502,461,116,126,33,8,741,174,65,68,15,0,329,53,36,35,15,4,141,21586,2468,3119,372,156,27701
20602,249,22,5,1716,1179,253,265,25,9,1731,1162,274,281,25,11,1749,976,210,175,25,6,1389,721,143,165,19,12,1058,333,86,119,11,4,555,95,46,53,21,5,220,36,23,22,12,0,96,13247,1697,2085,224,93,17352
20603,217,39,6,2149,1636,335,239,33,8,2252,1596,331,194,36,9,2160,1266,289,191,44,13,1795,834,214,158,38,9,1255,420,114,118,26,9,685,131,59,58,11,6,266,44,22,20,11,6,102,17260,2156,1853,315,123,21703
20604,1211,219,138,64522,47364,1838,1177,175,131,50685,38409,1706,1031,173,128,41450,28265,1437,928,148,129,30909,17952,1015,720,106,112,19898,7139,655,500,110,55,8457,2248,395,305,92,39,3082,638,198,187,102,81,1210,462698,13039,9692,1698,1457,488582
20605,503,81,39,10584,7747,985,533,62,49,9370,6733,981,489,87,33,8318,4900,842,431,78,32,6283,3198,638,382,73,20,4310,1350,414,263,64,21,2111,476,263,150,44,14,941,182,122,90,38,18,453,80218,6939,4624,714,407,92908
20606,276,34,12,3152,2104,472,270,54,18,2917,1953,526,255,62,8,2803,1611,434,270,64,17,2396,1051,309,222,51,14,1649,606,219,143,46,6,1019,238,202,120,44,3,607,91,121,86,41,15,356,28551,3753,2591,523,166,35586
20607,526,64,39,10207,7092,862,486,68,40,8547,5936,828,485,59,28,7338,4452,630,416,49,23,5570,3118,439,335,64,16,3975,1444,315,231,54,12,2058,469,181,145,42,8,849,159,105,101,43,18,419,83170,6087,4623,610,368,94862
20701,492,133,29,8000,6260,1124,557,152,21,8114,5926,1205,599,153,35,7924,4817,1021,564,105,32,6541,3515,788,521,128,23,4972,1661,531,400,78,17,2685,640,325,253,73,6,1301,257,193,155,85,11,707,64178,7535,5060,1169,281,78222
20702,227,66,19,2399,1877,366,232,53,18,2540,1909,356,270,64,14,2613,1751,320,255,58,13,2399,1262,242,200,31,10,1746,582,174,123,34,10,921,189,96,69,29,7,385,93,69,49,33,10,249,21152,2606,2097,544,129,26526
20703,278,67,15,5142,4243,513,316,87,24,5177,4155,491,335,64,19,5057,3560,416,286,48,33,4335,2664,296,260,46,22,3291,1061,191,155,30,10,1444,330,102,91,37,3,562,145,51,63,24,11,299,42678,3403,2713,584,225,49600
20801,333,47,19,3043,2260,711,432,76,15,3504,2330,721,471,86,17,3611,2068,702,402,78,20,3271,1474,479,387,84,22,2446,696,349,232,66,4,1351,296,224,132,50,3,711,95,141,82,53,12,381,24314,4522,3239,632,168,32884
20802,475,94,15,4165,3097,689,563,80,26,4453,2927,700,577,86,13,4314,2505,536,515,81,12,3660,1887,476,425,66,14,2867,966,297,302,75,8,1655,373,205,182,43,9,813,146,82,79,40,10,364,32506,4588,4444,760,209,42510
20803,467,87,33,7161,6304,854,526,117,44,7844,6216,978,543,93,33,7861,5295,839,437,82,44,6694,3702,621,396,92,37,4851,1565,407,243,79,20,2311,526,206,126,72,19,944,186,126,64,51,16,437,60163,6127,3969,850,402,71510
20804,150,40,4,2105,1687,288,167,17,9,2179,1674,294,188,35,12,2207,1291,240,155,30,5,1718,1044,196,144,17,6,1408,513,126,92,23,5,760,197,79,85,28,0,390,59,52,44,24,9,192,21476,1901,1437,293,87,25202
20901,398,57,22,4721,3839,520,408,52,19,4841,3819,523,398,43,17,4800,3286,480,343,62,15,4180,2637,364,308,50,34,3395,1218,247,196,42,9,1713,331,140,105,28,6,615,114,79,60,24,9,284,39533,3639,3297,488,215,47174
20902,299,53,19,3878,3192,310,264,40,23,3832,3031,338,279,54,24,3720,2651,261,215,36,20,3176,1958,184,172,39,17,2367,795,110,105,15,13,1029,244,52,41,6,9,355,79,34,24,13,9,150,31359,2285,2387,375,217,36609
20903,219,44,11,1492,1086,318,236,36,9,1686,1084,331,250,28,17,1714,962,323,241,44,17,1583,706,278,186,55,10,1243,313,153,138,50,5,665,109,83,71,30,6,300,64,56,35,21,5,178,11233,2211,1962,350,113,15870
20904,639,102,55,7820,5958,781,553,84,48,7422,5495,784,463,98,46,6886,4639,642,412,87,52,5841,3194,504,337,71,35,4139,1342,276,170,52,21,1861,311,115,79,33,10,549,115,75,42,27,14,275,61582,5896,4703,875,497,73549
21001,194,41,19,3930,3371,422,237,42,13,4080,3350,444,211,43,29,4076,2648,410,176,42,22,3296,1942,293,156,31,18,2450,753,177,87,38,6,1059,194,83,42,15,11,347,74,62,15,10,7,167,32430,3043,1693,379,210,37754
21002,124,32,14,858,594,136,108,18,5,866,574,195,122,28,9,929,490,144,117,24,14,789,339,106,114,38,9,604,175,50,60,29,4,321,60,38,36,27,5,171,16,25,35,24,4,107,6062,1018,979,256,89,8406
21003,208,31,11,1745,1216,219,234,37,14,1720,1236,220,210,42,17,1721,1092,186,164,25,13,1486,797,129,106,21,12,1063,301,63,53,12,6,435,100,33,27,12,0,169,33,19,14,9,0,70,12794,1598,1713,269,110,16490
21004,99,16,4,934,690,127,110,14,7,952,707,143,90,17,14,968,615,118,100,20,3,856,449,81,81,13,0,636,202,40,49,23,11,322,67,24,25,9,0,121,27,15,3,8,0,57,8102,901,942,163,61,10171
21005,562,98,66,10045,8294,805,431,95,60,9679,8112,783,452,94,51,9493,6935,719,403,60,45,8155,4487,477,250,45,48,5303,1674,220,130,38,20,2089,390,120,57,29,8,611,114,56,30,21,3,225,79243,6011,4207,805,612,90874
21101,489,100,29,7460,6486,713,483,94,33,7812,6360,817,521,97,40,7834,5764,729,502,79,32,7103,4018,631,427,83,29,5183,1679,347,256,59,17,2355,461,168,136,35,0,804,145,96,60,43,17,362,61347,5440,4222,801,283,72089
21102,57,14,0,463,361,116,76,23,0,582,388,163,87,17,6,660,355,129,95,29,7,609,256,101,81,29,6,467,111,72,52,16,0,261,41,41,26,12,0,126,22,29,25,19,0,95,3588,838,674,190,20,5311
21103,335,56,26,4527,3818,510,332,62,12,4743,3796,519,363,59,21,4755,3427,514,351,51,28,4362,2541,422,264,50,24,3298,1083,237,142,39,11,1514,301,131,85,32,4,562,116,79,42,30,14,276,39074,3826,2952,520,232,46602
21104,158,50,15,2581,2194,293,196,42,11,2740,2183,267,221,40,20,2730,1965,272,168,27,4,2446,1331,163,134,25,7,1666,673,116,85,17,5,895,224,71,55,20,3,373,83,35,33,9,3,165,21088,2072,1520,346,88,25117
21105,522,88,24,4344,3379,621,568,87,31,4678,3370,694,560,95,37,4762,3041,564,580,122,36,4350,2298,483,440,120,35,3377,936,280,322,107,15,1670,326,170,164,93,16,770,117,58,90,65,10,340,34925,4381,4643,963,294,45211
21201,344,60,42,3094,2254,452,310,68,32,3111,2122,416,318,64,26,2946,1762,367,221,77,28,2455,1253,282,242,65,20,1864,482,146,177,60,17,884,154,75,79,52,12,365,67,38,65,57,9,230,24590,3111,2853,666,286,31507
21202,395,81,19,4626,3649,514,362,72,15,4612,3555,545,404,71,25,4596,2859,465,319,72,28,3739,2048,364,278,46,17,2759,871,154,137,29,10,1195,204,84,53,26,3,371,94,38,33,22,10,194,38477,3620,2999,577,221,45896
21203,535,67,20,4013,2457,432,456,68,25,3438,2293,378,358,60,19,3107,1755,322,292,54,17,2434,1255,239,230,40,25,1786,521,130,97,45,16,809,140,44,42,19,0,243,38,22,27,15,12,112,28205,3647,3645,627,233,36363
21204,517,158,79,13584,12267,1086,568,106,89,14118,11929,1094,550,103,74,13750,10660,964,551,106,57,12330,7487,731,446,87,67,8821,3064,445,243,57,30,3842,798,239,130,59,18,1239,237,130,69,37,24,493,110868,7843,4859,1101,743,125415
21205,515,131,60,12958,10867,953,550,140,45,12553,10274,987,540,109,58,11964,8623,799,488,101,51,10055,6016,567,409,94,40,7140,2589,388,265,73,15,3319,783,227,152,64,13,1242,261,123,92,64,19,547,102230,6771,4658,1110,488,115259
21301,382,69,46,6896,5857,570,383,73,47,6935,5402,506,382,66,34,6382,4652,409,341,64,31,5486,3359,346,258,47,32,4044,1297,184,115,39,28,1654,333,83,49,16,9,484,102,34,23,11,10,187,56196,3961,3278,627,394,64456
21302,264,37,15,3864,3126,369,275,53,22,3847,2980,382,272,45,23,3705,2624,326,233,43,20,3247,1779,244,210,43,14,2289,713,133,120,25,4,993,173,67,50,21,5,312,52,39,21,14,4,135,30056,2640,2157,395,191,35433
21303,310,32,20,4434,3479,392,305,41,21,4237,3329,352,242,53,28,4005,2799,283,252,35,23,3386,2025,212,196,28,24,2487,822,119,109,21,10,1081,228,58,34,13,4,331,69,19,19,10,0,110,36885,2657,2520,379,225,42663
21304,443,92,38,4845,3441,536,381,88,37,4477,2990,467,311,75,19,3865,2285,332,224,76,27,2939,1551,208,184,59,17,2023,625,125,94,30,14,883,168,48,61,14,7,299,45,20,12,18,11,102,36068,3833,3010,676,321,43902
21305,806,183,60,10417,7419,831,594,120,47,9013,6656,700,458,92,43,7940,5452,580,383,95,32,6538,3590,371,263,73,29,4334,1329,202,139,40,18,1726,308,90,58,21,8,488,75,47,28,14,14,194,75722,6339,5140,1095,525,88819
21401,440,82,30,5340,4280,578,416,56,22,5352,4216,639,457,79,34,5430,3534,511,405,63,34,4534,2747,402,304,58,33,3538,1072,226,218,45,14,1582,316,130,97,22,12,573,115,75,37,35,18,273,43468,4110,3571,610,299,52045
21402,583,88,54,5310,4325,875,760,105,74,6132,4387,925,758,139,67,6282,3823,856,667,126,64,5528,2893,705,569,135,69,4374,1275,459,388,91,57,2269,480,283,213,100,27,1105,178,132,136,93,33,575,44901,6236,5607,1103,629,58473
21501,209,71,31,2251,1875,227,254,81,23,2465,2131,273,279,109,47,2850,2103,281,369,130,43,2932,1766,254,399,165,52,2633,701,160,260,155,27,1305,208,86,177,142,14,627,77,56,161,158,33,486,20434,1892,2638,1240,389,26594
21502,163,52,28,2256,1980,235,173,41,37,2456,1990,210,199,69,47,2512,1797,188,187,84,24,2278,1444,176,199,108,28,1956,532,115,132,56,25,859,145,65,74,51,16,347,45,30,38,36,20,160,19860,1543,1544,630,321,23895
21503,130,42,19,1492,1064,148,143,66,25,1447,1242,208,162,97,31,1733,1273,228,184,101,36,1831,1038,190,211,129,31,1603,489,111,156,92,30,874,134,56,79,73,16,356,36,36,58,99,19,247,12561,1457,1425,853,308,16600
21601,124,31,19,1411,1352,171,165,39,26,1752,1330,191,191,48,26,1781,1326,192,180,67,22,1785,1101,183,222,79,26,1611,443,81,157,75,26,775,138,32,91,47,7,316,45,26,63,49,26,210,12917,1245,1506,527,254,16445
21602,103,24,10,1040,833,126,108,29,15,1119,910,152,126,53,21,1263,859,153,131,51,21,1212,720,114,141,65,28,1065,299,70,96,62,19,539,92,53,37,46,10,241,25,25,42,46,6,144,8777,994,1022,445,173,11409
21603,150,44,25,2972,2574,273,186,59,29,3122,2684,312,203,63,36,3303,2531,307,213,71,38,3150,1864,260,198,61,46,2428,775,163,153,70,19,1184,244,62,89,60,8,474,72,52,41,61,28,248,26367,2134,1706,596,325,31126
21701,149,43,13,1384,1298,103,180,51,27,1655,1322,118,175,63,29,1707,1368,152,248,59,18,1853,1026,133,277,90,32,1555,460,90,221,104,33,916,139,41,127,100,14,415,25,43,95,90,31,286,12173,925,1810,717,281,15912
21703,169,39,18,1528,1237,187,230,47,29,1733,1370,180,279,52,32,1913,1360,161,277,80,56,1931,1040,154,286,78,36,1586,492,115,186,88,19,903,150,60,131,97,25,467,54,33,113,85,32,307,13446,1312,2053,692,329,17836
21704,217,32,15,2277,1925,199,274,44,17,2460,1979,254,271,58,32,2595,1870,205,276,61,47,2468,1442,157,285,73,37,1993,581,80,239,57,22,980,145,58,121,60,23,412,49,36,82,67,33,265,19445,1493,2286,567,315,24109
29797,0,0,0,24,36,0,0,0,0,36,34,0,0,0,0,35,34,0,0,0,0,35,12,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,194
29999,3872,230,213,13467,6693,2195,4220,215,204,13522,6267,2248,4507,232,263,13516,5443,1834,4211,240,250,11974,4164,1383,3707,226,262,9740,1906,795,2019,214,139,5077,707,340,872,163,78,2149,326,189,453,240,86,1298,79049,16470,37324,2452,2182,137478
