POW_SA3_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
20402,6,77,45,122,51,22,65,25,4,33,485,162,647,0,0,0,19,20,32,0,6,6,8,7,11,0,0,0,25,5,29,3,3,8,0,4,5,58,51,102,0,4,5,40,78,117,9,10,22,30,39,66,77,138,211,0,0,0,12,0,15,47,84,134,62,87,153,5,4,8,224,360,588,46,15,59,276,375,654,0,0,0,136,165,300,151,147,300,282,313,597,0,0,0,369,542,915,16,3,17,253,122,367,634,660,1299,10,30,39,311,1112,1414,64,126,190,49,96,140,430,1361,1792,11,34,45,263,1355,1617,225,598,818,89,569,664,108,679,788,693,3236,3928,0,0,0,23,11,30,10,12,24,89,98,189,4,0,4,125,130,252,0,0,0,336,73,404,80,272,352,0,0,0,415,345,763,348,156,501,193,152,342,10324,10828,21154
20403,289,103,69,176,33,19,51,119,45,168,1436,443,1881,6,0,4,26,29,47,14,9,28,8,15,21,0,0,0,11,5,17,6,0,6,0,12,14,71,65,135,0,0,5,48,147,201,13,23,33,55,63,117,120,237,358,0,0,0,77,38,114,85,146,236,162,189,353,0,6,4,422,555,981,112,22,132,535,579,1113,0,5,5,142,157,297,240,285,527,386,445,826,0,6,5,542,705,1250,1067,409,1475,397,170,569,2012,1291,3303,28,42,65,500,1784,2284,287,371,660,86,134,225,894,2338,3231,16,70,88,227,1377,1601,246,724,970,121,678,800,225,986,1209,830,3841,4670,3,6,9,51,30,80,28,27,50,163,152,312,6,5,6,246,218,462,0,0,0,519,106,627,113,378,492,0,0,6,639,489,1131,493,262,755,240,212,453,17860,16169,34033
20501,4,78,51,130,22,13,43,15,6,22,398,141,536,0,0,0,14,16,30,5,9,16,12,13,25,0,0,0,27,6,34,21,10,35,6,20,29,95,82,181,4,0,3,47,80,128,27,60,86,39,45,84,114,188,300,0,0,0,11,11,29,72,133,203,85,143,226,5,0,5,296,406,707,79,26,111,384,439,819,0,4,4,41,102,142,154,138,292,192,243,435,0,4,4,221,372,594,4,0,3,125,46,171,348,424,772,12,28,42,422,1428,1849,34,88,122,59,107,157,526,1647,2174,9,33,36,145,813,959,190,666,858,67,537,608,110,596,708,515,2655,3172,0,0,4,8,5,14,11,23,34,84,161,246,0,3,4,112,193,304,0,0,0,331,66,400,154,398,559,0,4,4,488,476,965,264,171,436,141,137,283,9201,10568,19772
20502,26,62,49,107,63,22,87,11,5,12,473,139,605,0,0,0,12,16,29,12,4,15,3,0,5,0,0,0,26,4,27,6,0,10,0,0,0,51,28,79,0,0,4,23,65,87,12,18,32,15,30,48,51,105,162,0,0,0,18,10,23,48,114,162,65,117,186,0,0,5,225,309,536,31,7,41,259,325,583,0,0,0,50,82,131,134,146,279,178,231,410,0,5,6,354,412,763,5,3,5,186,90,281,546,516,1060,13,19,34,303,1142,1443,51,79,135,26,51,74,389,1292,1685,16,53,67,176,741,912,202,714,914,80,445,522,102,536,641,567,2488,3062,0,3,3,52,36,95,9,13,31,53,51,100,4,9,7,120,113,235,0,0,0,311,59,366,83,240,326,0,0,0,395,300,693,220,139,360,202,175,375,8590,9208,17799
20503,15,85,97,182,25,10,34,12,7,18,529,219,749,3,3,8,8,16,26,16,11,27,4,4,6,0,0,0,21,4,27,6,0,6,3,19,26,68,57,128,9,0,8,39,138,175,15,24,38,59,67,120,119,228,346,0,0,5,12,7,18,126,175,299,134,185,317,6,7,13,382,496,882,65,34,102,454,532,992,0,0,0,62,112,175,237,165,401,300,281,577,0,0,0,344,396,736,0,4,6,136,51,192,482,448,928,13,30,37,408,1282,1688,28,55,84,50,114,166,501,1479,1978,8,54,58,183,1082,1262,236,679,907,93,598,692,105,576,683,630,2982,3610,8,7,14,138,138,278,31,44,71,130,212,344,3,3,9,310,400,720,0,0,0,364,78,439,117,384,499,0,0,0,481,461,938,299,167,470,235,187,421,11906,12448,24354
20504,0,179,104,284,58,34,91,18,3,28,836,238,1070,0,5,6,22,21,44,15,16,30,19,26,42,3,0,3,65,21,89,184,79,257,0,0,6,309,165,471,0,5,5,68,218,286,40,71,108,53,72,127,162,366,526,0,0,0,61,14,78,123,190,316,185,208,394,5,3,8,441,514,945,102,15,117,543,534,1075,0,0,0,142,189,334,179,244,426,318,436,758,0,4,3,613,1575,2190,3,0,3,491,271,755,1103,1847,2951,11,31,48,422,1660,2080,191,293,487,46,86,131,674,2075,2747,10,42,52,458,2008,2468,295,943,1241,158,939,1094,308,1139,1453,1230,5075,6308,3,0,0,35,39,76,10,14,22,95,132,231,0,12,13,146,198,352,0,0,0,563,118,681,140,469,609,0,0,0,701,586,1289,533,249,777,315,222,538,16483,16971,33455
20505,3,49,47,94,22,3,21,5,0,3,381,121,504,0,0,0,7,9,15,9,3,13,5,14,16,0,0,0,10,4,19,9,0,6,0,5,5,31,34,66,0,0,4,26,69,97,7,10,14,16,24,41,49,108,157,0,0,0,12,18,35,59,79,141,73,103,175,0,0,0,217,319,534,43,11,51,262,329,590,0,0,0,43,55,98,99,97,199,144,158,300,0,4,4,249,339,591,631,216,844,362,209,572,1244,766,2012,11,20,36,269,1100,1368,32,49,85,22,69,92,339,1234,1569,4,34,38,146,827,975,152,511,669,47,339,388,87,466,548,437,2179,2612,0,0,0,13,15,29,7,18,19,44,52,96,7,7,15,68,93,160,0,0,0,252,51,300,65,264,331,0,0,0,314,315,636,249,118,365,162,150,309,9042,8674,17714
20601,3,97,37,137,23,14,34,38,25,66,525,155,677,3,9,16,49,50,95,143,84,233,31,28,57,0,3,4,41,16,52,22,6,28,0,12,15,286,208,496,11,4,13,100,107,201,35,36,67,82,45,126,223,187,411,6,4,7,8,8,16,178,203,377,187,212,398,6,7,13,951,993,1944,360,116,476,1318,1117,2433,0,0,0,114,202,313,187,167,359,300,366,672,0,0,4,431,815,1249,3,5,11,279,122,401,711,946,1658,63,90,156,392,1448,1843,154,271,428,191,299,487,799,2111,2906,20,48,68,187,618,804,414,1247,1662,122,485,604,365,1357,1722,1106,3753,4856,21,15,34,29,26,56,234,212,443,117,109,231,17,5,23,418,372,783,0,0,0,270,56,327,317,494,812,0,26,26,594,580,1171,583,388,977,213,153,364,13102,14599,27701
20602,3,43,17,65,11,4,20,44,17,63,206,63,268,6,6,12,19,38,55,62,51,108,14,0,15,3,0,6,51,15,64,26,4,26,0,10,12,174,119,296,3,8,9,54,58,114,17,20,33,47,34,74,118,115,235,0,0,0,9,4,16,107,129,236,118,134,252,12,7,27,520,601,1123,266,63,332,806,676,1483,0,3,6,94,134,227,127,111,238,224,246,470,0,5,3,83,184,270,7,0,7,191,75,261,284,256,543,14,61,76,367,1121,1490,44,76,122,112,267,378,543,1526,2071,9,30,39,23,35,64,266,755,1022,111,329,444,183,753,936,598,1908,2502,6,8,12,14,9,19,139,146,287,101,111,213,10,3,14,264,277,541,0,0,0,270,50,323,180,339,522,0,26,26,450,419,873,409,292,697,129,89,215,8408,8943,17352
20603,6,53,33,86,26,23,57,14,9,14,369,170,537,0,0,3,18,27,46,42,21,61,14,12,18,3,3,4,42,19,63,20,7,24,0,11,8,133,94,228,8,7,17,117,129,251,28,31,61,201,185,385,364,358,717,0,3,4,7,4,8,169,257,430,178,261,438,9,10,11,785,945,1735,235,83,319,1028,1037,2066,0,0,0,206,266,469,132,140,265,332,404,739,0,0,0,848,1115,1965,6,0,5,194,91,286,1049,1208,2261,18,34,47,345,1513,1857,70,141,207,123,189,316,556,1875,2432,15,38,49,58,158,212,415,1312,1723,170,524,687,101,538,636,751,2565,3318,5,15,17,8,4,11,40,46,89,218,221,441,11,6,12,287,289,576,0,0,0,115,14,131,204,623,825,0,16,19,323,657,978,236,233,466,152,141,291,9437,12269,21703
20604,319,2405,1607,4015,2121,901,3017,219,62,282,11597,5217,16808,123,79,209,1128,1054,2183,428,376,803,1181,924,2111,196,174,373,7422,3389,10810,1576,738,2307,181,278,459,12234,7019,19250,624,418,1047,22813,18322,41130,8707,9443,18146,9749,7273,17027,41891,35461,77348,11,17,22,169,101,269,4117,3630,7754,4295,3747,8042,252,179,437,33662,34813,68475,21451,8470,29919,55370,43461,98830,9,19,26,5939,6776,12709,2397,2557,4952,8347,9345,17684,71,112,182,16078,22363,38438,1620,700,2323,8505,5385,13889,26277,28554,54834,599,1051,1651,1657,3329,4976,9220,12407,21630,822,1323,2144,12294,18108,30404,186,487,674,6392,19429,25819,2797,6976,9776,753,1767,2513,1183,3320,4507,11312,31980,43292,152,166,317,1021,1513,2538,917,1063,1989,2500,1808,4308,3585,2190,5774,8182,6745,14926,3,3,5,704,162,862,3181,5415,8589,0,37,37,3878,5616,9497,4999,4128,9129,2827,2471,5301,251374,237209,488582
