POW_SA3_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
20402,123,239,392,392,876,611,99,204,42,2974,131,154,312,368,884,813,188,328,46,3234,93,77,153,247,565,581,153,296,26,2202,96,59,107,181,397,517,171,284,21,1834,55,42,55,90,247,365,111,267,8,1248,100,38,59,96,260,482,222,469,20,1743,13,3,9,8,21,62,30,123,0,280,18,23,15,18,32,84,32,177,3,406,15,25,20,4,30,25,6,38,69,229,1244,3055,2574,2002,4018,4071,1132,2644,421,21154
20403,215,404,698,625,1193,963,209,305,75,4674,211,276,470,577,1423,1468,330,528,79,5357,156,144,277,332,939,1066,329,549,47,3851,109,100,157,237,693,906,313,559,36,3106,87,67,92,136,418,601,228,490,13,2135,113,85,92,119,452,832,346,826,21,2885,12,24,21,19,43,104,51,148,5,431,21,23,34,41,60,142,53,272,5,655,14,33,27,23,39,47,15,45,98,339,1879,4873,4024,3053,6283,6904,2038,4317,652,34033
20501,103,275,453,425,720,469,87,199,53,2792,94,160,302,282,745,652,178,292,27,2726,89,85,147,189,461,496,144,295,25,1923,65,52,83,122,309,403,135,329,21,1523,34,34,39,68,193,256,104,276,14,1018,48,49,49,58,232,346,171,427,15,1391,12,13,13,16,26,67,14,81,4,248,8,20,31,32,36,94,38,177,12,449,13,41,25,15,35,52,7,54,71,308,1050,3565,2676,1817,3458,3315,960,2519,411,19772
20502,105,211,364,359,642,504,101,184,50,2515,142,181,270,279,705,569,147,288,53,2628,60,69,115,191,456,408,133,237,28,1689,55,45,78,111,313,390,123,257,13,1395,46,31,34,82,169,209,73,199,15,858,63,20,23,50,193,291,131,281,15,1065,14,19,10,9,26,37,21,73,3,211,14,20,22,12,28,45,30,105,13,280,5,31,24,17,37,33,0,35,50,237,1057,3017,2421,1766,3222,2968,870,2056,428,17799
20503,150,361,520,450,736,568,114,220,61,3164,133,229,368,368,830,791,154,366,44,3277,94,110,201,220,437,590,157,332,34,2186,98,89,106,173,366,482,154,357,29,1849,49,44,61,83,229,323,127,310,17,1248,78,60,70,83,268,514,232,492,12,1804,15,15,18,26,35,84,38,112,4,341,22,37,31,33,52,112,46,213,12,551,22,49,44,23,37,31,14,51,98,366,1621,4596,3396,2259,3677,4104,1156,2966,576,24354
20504,176,325,631,580,1215,703,115,209,70,4028,187,249,417,527,1376,1058,217,319,61,4413,152,124,230,334,932,874,246,393,37,3324,157,85,160,252,877,851,270,421,32,3098,96,58,70,128,605,623,271,394,22,2268,167,70,98,130,797,1076,467,797,22,3605,41,20,24,38,166,188,95,233,3,812,60,37,45,31,289,218,164,357,20,1216,20,43,32,16,51,64,12,45,145,436,1898,4840,4061,2957,7269,6311,1986,3457,674,33455
20505,93,176,267,281,562,480,86,182,36,2167,98,118,213,225,570,620,131,299,32,2304,70,64,115,133,374,495,160,312,23,1747,84,38,74,109,332,478,138,338,20,1613,48,36,39,64,210,295,110,250,9,1059,87,40,35,47,236,449,199,481,18,1588,23,8,12,12,46,73,34,128,7,331,40,20,17,22,48,96,55,278,8,585,14,20,15,6,22,32,8,36,59,225,1031,2595,2052,1453,2916,3519,1031,2761,355,17714
20601,137,397,631,493,933,548,76,140,43,3400,122,291,498,497,1059,818,134,221,43,3688,97,133,255,337,808,722,180,227,25,2777,82,103,170,217,700,594,175,304,24,2369,67,44,100,125,434,513,111,248,9,1657,73,85,114,155,485,697,253,491,17,2360,9,23,27,34,77,146,55,159,5,538,12,39,41,52,88,193,86,326,4,848,5,28,23,20,34,41,4,23,103,292,1387,5308,4214,2675,5319,4811,1147,2382,456,27701
20602,86,224,342,299,606,403,49,98,25,2134,76,180,277,276,707,551,97,177,22,2363,41,93,139,187,495,467,131,163,27,1746,45,61,116,136,370,453,109,183,11,1484,30,38,65,79,244,308,108,170,7,1050,45,45,78,110,274,526,201,368,13,1651,7,17,28,32,52,112,38,118,3,408,8,36,34,38,53,142,80,271,9,670,5,20,17,14,25,20,0,14,60,168,831,3095,2349,1640,3253,3328,874,1725,253,17352
20603,102,290,486,311,622,368,54,89,34,2355,111,208,362,313,800,530,91,193,28,2633,75,119,191,205,650,531,109,178,16,2078,67,66,125,169,575,543,138,245,21,1956,52,47,55,110,379,444,114,195,17,1411,72,71,91,106,453,723,262,488,18,2279,3,29,23,21,85,130,54,146,3,492,5,47,55,55,86,185,76,337,15,861,5,27,18,4,27,30,9,15,88,228,1185,4205,3191,1806,4155,3797,957,2060,353,21703
20604,1856,3278,5465,3565,8371,4759,644,750,555,29251,2340,2742,5308,4661,16739,11934,1801,1916,639,48083,2068,1659,3365,3936,17960,14766,2534,2895,465,49659,2253,1329,2613,3660,18440,17286,3283,4138,409,53403,1997,886,1561,2593,14761,16439,3267,4722,311,46545,3948,1484,2221,4114,26881,42014,9990,15454,425,106532,910,410,581,951,5320,12407,3490,6919,129,31128,1503,839,967,1321,5595,18410,7227,24299,264,60420,142,195,180,118,482,666,118,322,1350,3577,25244,35209,37422,28937,118865,141500,32770,62301,6346,488582
20605,369,829,1455,924,2352,1524,226,330,145,8158,399,701,1101,1011,3928,3232,589,659,148,11765,313,398,667,647,3473,3413,660,871,97,10543,279,349,417,559,2771,3417,779,1145,77,9797,239,183,252,333,1932,2709,687,1131,62,7514,420,307,364,546,3199,5829,1736,3126,82,15614,92,107,114,127,601,1329,505,1300,26,4205,138,204,235,231,652,2182,999,3480,35,8153,19,53,49,30,78,144,16,85,277,770,3758,9264,8983,5703,20257,24725,6357,12536,1322,92908
20606,195,501,681,521,881,585,91,129,58,3649,203,337,569,502,1367,1058,203,256,35,4519,118,229,330,322,1053,1116,237,260,39,3709,117,169,225,234,859,1051,243,412,36,3345,62,107,148,150,515,758,222,307,18,2279,126,143,187,186,708,1298,492,979,29,4141,12,69,66,52,131,317,115,338,12,1124,58,144,167,146,204,638,247,1024,37,2666,20,34,13,22,31,56,14,33,113,338,1900,5919,4886,2827,6336,7307,1950,3939,522,35586
20607,404,994,1647,1179,2293,1362,241,305,113,8534,469,750,1384,1353,3968,2926,501,611,132,12084,427,407,805,1086,3536,3217,670,749,95,11007,375,320,536,890,3097,3187,753,997,65,10222,252,200,279,531,2189,2442,686,923,56,7552,473,323,414,724,3567,5195,1604,2677,75,15049,108,91,114,147,562,1180,438,1022,15,3683,142,177,244,236,718,1777,802,2892,29,7024,35,45,53,34,106,133,27,67,295,791,4589,10994,10081,7655,21401,22324,5879,10670,1263,94862
20701,260,899,1517,973,1587,999,152,228,96,6718,305,711,1156,948,2537,1980,353,409,90,8492,248,458,701,730,2223,2121,483,574,61,7600,223,369,560,614,1993,2279,519,744,53,7359,180,252,311,404,1370,1851,457,749,53,5625,291,372,428,528,2181,4034,1257,2476,37,11598,64,132,143,114,383,1013,342,841,18,3041,89,285,280,245,504,1558,633,2556,34,6194,34,87,67,21,94,108,26,60,222,716,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
20702,127,375,551,435,732,372,67,95,41,2794,150,262,445,327,983,645,139,177,53,3177,88,149,232,217,658,549,156,215,27,2295,78,100,156,149,508,546,180,257,20,1983,54,65,74,91,303,384,141,215,8,1335,113,101,109,116,441,723,308,461,12,2381,24,22,31,25,74,168,54,145,9,548,25,44,55,44,101,243,92,370,12,981,16,40,29,12,34,27,6,16,74,253,1727,6163,4187,2178,4446,4122,1200,2114,384,26526
20703,212,608,985,716,1410,856,134,168,68,5169,218,493,836,887,1867,1424,221,278,70,6303,167,264,488,583,1665,1228,263,311,37,5011,188,177,336,506,1537,1297,369,448,26,4886,139,103,178,272,1126,1184,285,412,13,3713,265,178,205,320,1568,2228,762,1214,33,6773,48,40,54,51,202,431,152,383,13,1361,38,64,101,90,210,585,221,835,14,2156,15,47,37,18,56,51,19,34,168,439,2345,8055,6492,4475,10700,10019,2548,4318,662,49600
20801,144,493,725,487,813,522,81,156,50,3469,136,352,590,502,1069,887,175,247,41,3993,106,219,333,312,836,847,191,294,27,3169,94,173,243,271,623,772,225,344,17,2753,55,112,157,157,452,581,170,310,24,2012,91,172,208,202,527,1008,392,885,30,3514,18,68,58,56,131,239,99,272,7,942,46,161,164,142,164,555,213,893,15,2360,20,45,26,14,41,46,13,35,113,361,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
20802,195,574,959,700,1196,671,100,191,60,4656,183,527,799,630,1461,1100,198,289,66,5252,128,272,465,440,1150,1154,226,312,43,4203,125,197,311,359,927,1109,284,430,38,3775,98,152,164,219,656,901,252,428,30,2897,121,182,203,269,806,1486,436,1030,38,4570,15,55,64,62,108,325,112,324,8,1069,38,106,116,103,175,559,198,747,10,2055,27,60,45,32,46,73,8,37,145,464,1921,8371,6281,3817,7384,8002,1966,4123,638,42510
20803,333,724,1324,1096,3300,1772,260,381,143,9327,289,542,938,922,3607,2798,553,638,105,10395,235,331,517,645,2534,2385,501,760,66,7986,206,224,309,436,1720,2057,576,863,55,6438,112,122,177,229,991,1414,492,728,32,4295,181,165,196,268,1304,2367,872,1720,40,7119,39,48,49,57,198,438,190,502,13,1542,42,90,95,134,241,638,246,1068,22,2571,34,91,52,37,106,110,24,68,249,760,3228,10891,8439,5441,16080,15244,3933,7184,1076,71510
20804,135,332,555,407,763,330,49,79,39,2693,136,254,434,381,1106,574,118,111,38,3145,90,138,220,258,810,520,99,145,15,2303,85,99,137,183,634,460,117,190,16,1921,44,70,92,99,438,362,127,181,8,1417,67,100,126,118,584,695,212,434,10,2343,11,35,35,33,104,155,63,139,4,586,19,79,90,89,149,316,139,610,15,1506,13,43,24,16,24,34,12,18,84,268,1849,5318,3746,2108,5129,3697,978,2008,373,25202
20901,234,619,1031,833,1305,824,152,211,76,5266,277,445,891,989,1545,1491,257,340,70,6301,215,248,556,739,1242,1355,290,374,39,5068,185,168,323,576,1157,1424,322,470,36,4664,146,99,175,323,764,1095,284,493,14,3383,195,154,207,254,819,1613,544,1081,20,4890,29,55,66,55,101,271,118,305,11,1009,45,68,108,120,151,437,177,665,14,1781,14,58,38,33,62,78,17,39,148,484,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
20902,194,402,766,564,1404,768,113,159,72,4447,178,315,575,533,1688,1141,188,281,59,4958,146,163,301,359,1323,1055,219,310,54,3920,118,92,210,255,1146,971,284,373,38,3488,96,69,132,137,764,764,235,328,19,2537,129,84,119,125,961,1114,481,761,28,3804,13,14,25,27,111,190,95,220,3,698,21,29,48,30,106,221,109,359,3,917,14,38,23,15,52,63,12,33,157,405,1872,5872,4973,2949,8464,6898,1835,3074,680,36609
20903,89,244,329,247,399,288,53,99,18,1774,70,189,258,246,439,437,97,138,14,1884,59,110,160,140,343,391,89,144,15,1464,55,78,91,119,248,409,102,205,14,1329,24,49,44,58,172,280,81,152,5,864,55,61,67,78,238,379,143,357,7,1379,6,16,23,23,37,92,26,94,0,319,18,28,31,22,62,156,34,178,3,539,14,22,12,9,29,43,6,18,49,197,953,3666,2242,1382,2313,2831,701,1560,216,15870
20904,354,816,1421,1252,3395,1902,302,393,166,9997,359,527,1019,1061,3554,2859,585,732,161,10857,227,258,488,623,2319,2384,571,866,117,7848,217,191,314,448,1680,2042,581,879,83,6438,132,94,118,257,935,1369,446,846,44,4239,187,137,160,218,1175,2058,730,1485,50,6206,27,23,44,46,154,308,127,395,18,1146,41,56,81,76,203,418,180,676,19,1749,30,85,65,41,125,129,18,76,302,874,3311,11758,9557,6124,15911,14842,3753,6837,1456,73549
21001,170,339,642,528,1600,1009,163,188,69,4711,157,271,440,420,1883,1555,355,431,92,5608,131,130,229,259,1378,1360,326,442,55,4311,104,118,136,184,1045,1176,345,542,39,3684,57,69,83,97,588,764,279,510,24,2478,117,92,122,97,760,1385,492,1046,44,4155,21,16,14,27,119,269,109,316,10,904,40,41,49,46,127,316,141,557,10,1338,17,37,34,17,67,71,11,31,156,438,1708,4866,4007,2498,8690,8610,2338,4306,731,37754
21002,46,106,160,137,215,185,47,56,12,947,35,73,110,96,256,225,64,105,18,987,29,31,72,61,145,210,61,106,15,737,26,23,27,47,127,206,56,99,5,623,12,18,18,38,91,136,36,116,5,476,20,20,35,32,98,215,84,167,3,670,6,9,11,9,20,39,17,69,3,184,7,13,10,11,27,53,22,98,0,250,9,11,13,3,11,11,5,4,38,92,466,1788,1182,699,1240,1502,437,947,158,8406
21003,101,223,382,287,626,377,72,116,42,2212,82,154,250,265,694,563,119,173,33,2336,54,83,120,149,495,434,125,168,19,1653,47,50,60,96,435,370,103,198,12,1372,35,30,45,55,227,302,79,179,7,953,40,35,37,51,253,480,154,347,8,1412,3,14,9,14,34,85,31,91,6,283,10,3,6,13,33,90,34,149,4,349,13,21,21,10,24,30,8,17,60,197,762,2684,2427,1415,3375,3140,785,1592,302,16490
21004,54,113,234,185,311,246,43,49,10,1232,53,81,131,137,368,278,72,92,11,1233,29,41,80,89,275,268,73,119,6,977,38,33,53,54,220,243,80,155,7,879,11,17,24,33,122,169,53,110,5,544,23,15,30,31,133,240,99,200,6,779,0,3,3,8,17,37,14,44,3,129,0,12,17,11,19,53,26,65,4,197,3,16,4,5,14,18,0,10,45,125,594,2040,1506,885,1807,1749,502,938,159,10171
21005,494,916,1578,1371,4641,2559,465,507,283,12810,498,634,1083,1017,4999,3991,895,1042,251,14394,330,333,516,589,3303,3064,889,1212,144,10389,291,234,320,413,2576,2766,770,1285,141,8785,206,145,186,211,1467,1873,627,1048,53,5827,330,193,186,263,1937,2944,1179,2141,76,9255,75,54,65,74,285,428,241,532,17,1781,148,151,126,115,368,536,276,960,27,2706,37,89,64,43,158,143,45,95,422,1096,4247,10891,9984,6170,22614,19903,5693,9302,2063,90874
21101,306,679,1273,1176,3338,1769,304,359,109,9304,338,523,890,937,3843,2866,572,641,109,10723,241,280,515,563,2507,2504,627,713,73,8020,186,212,296,453,1971,2162,586,871,45,6773,129,124,152,246,1117,1466,464,729,41,4468,168,146,183,243,1515,2402,853,1660,28,7198,21,40,42,66,221,489,210,505,7,1601,39,72,79,83,259,592,253,989,8,2385,18,48,59,39,101,128,22,71,254,740,3031,10500,8180,5525,16971,15750,4122,6994,1014,72089
21102,31,83,134,91,117,74,6,20,5,547,24,80,97,80,145,117,18,37,11,606,11,55,56,55,113,109,23,47,3,470,15,32,37,42,90,116,39,82,3,454,4,15,24,25,63,79,28,74,0,315,19,31,30,28,69,140,58,164,6,549,9,4,7,5,8,30,9,43,5,118,9,26,22,12,24,54,17,100,4,266,3,5,8,5,9,14,0,7,18,67,299,1174,847,486,745,855,221,618,71,5311
21103,243,475,913,744,1824,1046,172,223,67,5707,219,390,729,749,2150,1687,361,468,49,6791,154,202,379,465,1466,1449,371,483,40,5008,130,124,223,331,1080,1261,384,608,39,4186,79,72,103,186,639,896,280,487,21,2761,142,110,142,186,709,1274,476,1096,26,4173,13,20,39,50,82,180,113,274,4,788,27,65,54,66,109,317,124,474,3,1239,18,44,37,21,88,52,20,37,181,503,2366,8003,6124,4004,9404,9082,2467,4511,650,46602
21104,111,277,555,427,829,517,58,99,46,2911,110,217,410,402,1106,805,140,180,48,3412,77,101,199,232,791,757,149,209,22,2533,71,73,127,173,610,668,165,250,30,2162,46,42,81,93,427,496,113,259,10,1555,67,70,88,119,606,822,281,522,13,2587,13,18,25,16,92,159,64,157,6,552,12,35,36,32,101,235,73,282,0,805,7,20,18,9,30,36,4,22,82,220,1170,4483,3609,2130,5187,4921,1113,2140,374,25117
21105,255,609,954,765,1609,1039,195,324,71,5815,260,396,697,661,1702,1398,335,474,58,5977,182,207,318,394,1125,1220,316,537,43,4338,144,182,224,282,824,997,331,621,31,3639,97,82,97,165,463,672,246,525,23,2365,106,104,134,146,553,945,381,927,21,3312,21,31,38,37,85,190,75,240,10,731,27,48,61,62,96,226,84,336,10,950,27,59,61,26,79,87,15,58,195,612,2787,9084,6290,3917,7927,7774,2172,4515,740,45211
21201,192,332,534,504,1295,846,162,235,70,4163,163,263,389,412,1306,1152,262,423,71,4440,88,122,175,233,805,887,283,485,40,3126,77,95,127,168,527,739,234,531,30,2527,49,55,57,88,340,476,197,400,22,1692,75,63,76,67,371,673,292,710,23,2339,12,12,22,20,50,116,41,171,4,450,18,32,25,34,63,156,67,250,7,650,11,37,22,17,46,51,18,47,133,391,1571,5694,3991,2538,5916,5835,1707,3630,619,31507
21202,208,522,943,766,1936,1049,156,249,98,5924,217,333,672,695,1952,1595,328,396,91,6277,142,168,366,472,1339,1358,372,496,54,4772,125,124,209,363,990,1184,334,586,47,3955,73,77,104,178,646,808,243,494,28,2651,117,95,122,138,718,1195,442,1027,28,3886,17,24,25,38,107,187,90,227,5,717,11,50,64,40,131,243,111,437,5,1093,29,70,44,21,79,83,16,31,169,541,2293,8134,6431,3917,9321,8532,2238,4228,802,45896
21203,178,421,804,717,1709,855,177,285,106,5253,163,290,532,502,1590,1087,282,452,67,4968,107,163,278,266,956,1005,291,488,51,3606,77,103,145,189,692,798,272,493,27,2809,53,60,72,101,344,538,206,398,25,1798,84,56,84,89,416,642,308,664,14,2358,15,15,17,10,62,107,38,154,6,426,9,31,38,33,78,111,39,203,13,562,16,46,31,16,56,52,8,29,155,401,1692,6723,5431,3273,7246,6002,1758,3506,723,36363
