SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL21784,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,0,0,21
SAL21785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10
SAL21786,9,12,3,7,6,7,7,0,3,54,96,61,50,71,53,71,61,25,12,496
SAL21787,20,4,6,19,8,20,15,11,0,92,220,134,113,161,172,185,166,86,25,1271
SAL21788,0,0,0,0,0,6,0,0,0,10,18,13,7,6,22,35,12,6,0,118
SAL21789,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8
SAL21790,96,49,74,56,44,51,33,7,0,411,1500,719,1236,1028,637,498,407,136,19,6182
SAL21791,4,0,4,4,5,4,6,3,0,22,25,16,6,16,15,20,22,9,0,139
SAL21792,17,10,8,12,15,14,0,0,0,72,137,63,58,112,137,98,71,21,6,706
SAL21793,254,151,53,134,181,140,122,85,35,1150,3848,2201,913,2140,2989,2471,2194,1446,531,18734
SAL21794,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,5,0,0,28
SAL21795,113,77,64,67,69,72,42,27,6,533,1962,1201,1304,1326,1305,1231,935,452,76,9799
SAL21796,0,0,0,0,9,0,0,3,0,13,15,8,4,18,27,19,4,5,0,99
SAL21797,0,8,0,3,5,7,3,0,0,24,12,14,0,11,12,21,15,4,4,92
SAL21798,36,69,15,37,25,9,22,3,3,227,620,516,306,378,384,379,290,112,18,3011
SAL21799,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,9,0,0,0,18
SAL21800,0,0,0,0,5,0,5,0,0,3,9,0,3,4,9,8,7,7,0,44
SAL21801,28,5,8,14,17,12,27,12,3,134,275,105,91,175,220,244,233,95,11,1450
SAL21802,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10
SAL21803,284,176,79,146,220,157,143,101,54,1352,3814,2269,1144,2246,3132,2514,2445,1657,618,19846
SAL21804,6,0,0,0,0,0,0,0,0,9,27,4,10,14,13,14,11,4,5,94
SAL21805,0,0,4,0,0,5,0,0,0,11,50,33,21,29,35,28,24,18,3,251
SAL21806,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16
SAL21807,44,34,39,16,30,26,13,9,0,198,365,341,400,265,280,236,194,107,33,2225
SAL21808,0,0,0,0,0,0,6,0,0,8,3,3,0,5,6,0,10,3,0,41
SAL21809,3,0,0,0,0,0,0,0,0,0,7,0,4,3,6,3,5,0,0,42
SAL21810,0,0,0,3,0,0,0,0,0,13,55,21,8,35,47,36,43,30,13,295
SAL21811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21813,0,0,0,0,0,4,7,0,0,8,58,40,33,48,39,54,46,15,4,330
SAL21814,3,0,0,0,4,0,0,0,0,17,23,12,5,12,25,19,11,5,0,119
SAL21815,7,3,0,4,0,0,0,0,0,15,18,9,10,18,19,19,13,12,0,117
SAL21816,261,275,258,204,269,211,122,119,85,1796,5992,4724,4286,4812,4847,4094,2997,2397,1186,35340
SAL21817,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,16,19,8,0,54
SAL21818,3,0,0,0,0,0,3,0,0,8,21,6,5,9,20,5,6,6,0,85
SAL21819,0,0,3,0,0,6,5,0,0,13,27,11,6,19,8,22,14,0,0,108
SAL21820,0,3,0,3,7,3,3,0,0,28,74,50,33,43,66,70,64,33,9,437
SAL21821,0,0,4,0,0,0,0,0,0,0,6,0,8,0,4,10,3,0,0,31
SAL21822,0,0,0,0,0,3,7,0,0,20,80,27,29,40,59,51,82,27,5,403
SAL21823,6,0,0,3,0,3,0,0,0,17,39,20,14,27,23,25,16,3,0,170
SAL21824,0,11,4,0,7,4,10,5,0,32,67,54,30,41,74,70,57,25,4,426
SAL21825,0,0,0,0,3,0,0,0,0,3,4,3,0,4,6,4,14,0,0,33
SAL21826,0,0,0,0,0,7,3,0,0,15,24,3,16,15,26,53,38,12,3,184
SAL21827,179,138,148,139,153,115,100,90,38,1097,3516,2190,2704,2894,2599,2073,1965,1420,519,19889
SAL21828,0,0,0,0,0,0,3,0,0,13,11,8,6,8,15,26,19,7,0,100
SAL21829,0,6,0,0,0,4,4,0,0,19,26,13,22,3,15,20,24,7,0,138
SAL21830,4,0,11,6,4,7,6,4,0,41,20,11,18,14,19,37,31,12,0,167
SAL21831,0,0,0,0,0,0,0,0,0,0,8,0,0,6,6,3,0,0,0,29
SAL21832,10,6,3,5,10,8,19,7,3,79,134,83,81,64,119,132,168,72,24,884
SAL21833,0,0,0,0,3,6,0,4,0,21,5,7,8,6,25,33,33,25,0,140
SAL21834,3,0,0,0,0,3,0,0,0,11,34,22,20,13,37,40,19,7,0,185
SAL21835,6,6,3,4,6,0,0,0,0,14,28,18,4,12,26,18,12,0,0,132
SAL21836,0,4,0,0,3,4,0,0,0,15,10,4,7,6,12,18,12,8,0,69
SAL21837,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,14
SAL21838,0,4,0,3,8,0,0,0,0,13,7,7,4,4,8,12,0,0,0,46
SAL21839,0,0,0,0,0,0,0,0,0,0,23,6,7,13,11,4,5,0,0,63
SAL21840,0,0,0,7,7,7,4,3,0,29,39,12,16,20,30,40,42,19,12,230
SAL21841,0,0,0,0,0,0,0,0,0,0,6,4,3,9,0,9,0,0,0,41
SAL21842,10,3,4,4,3,0,0,0,0,21,24,13,10,16,13,25,3,11,0,126
SAL21843,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,8
SAL21844,0,0,0,3,0,0,4,0,0,10,17,7,14,10,12,24,18,0,0,105
SAL21845,12,4,3,3,3,4,0,0,0,27,50,19,23,28,31,54,42,25,4,278
SAL21846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,8
SAL21847,0,0,0,0,0,0,8,0,0,14,4,4,13,13,11,25,32,16,0,114
SAL21848,0,3,0,0,4,0,3,3,0,12,13,15,6,8,18,10,20,10,0,95
SAL21849,77,38,90,72,76,55,40,16,8,473,1616,1163,1725,1565,1357,1137,803,422,201,9996
SAL21850,11,10,8,4,8,8,7,3,4,62,166,95,75,85,110,136,132,74,23,897
SAL21851,4,3,0,0,3,3,4,4,0,25,15,5,5,15,22,25,52,26,3,177
SAL21852,5,0,6,0,3,3,3,0,0,20,25,14,22,15,34,26,26,6,0,170
SAL21853,0,0,0,0,0,0,0,0,0,0,11,5,13,3,6,13,5,3,3,59
SAL21854,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,17
SAL21855,0,0,0,0,0,0,6,0,0,7,16,14,0,15,11,16,29,7,0,98
SAL21856,0,0,0,0,3,0,0,0,0,4,11,0,3,3,7,17,7,5,0,64
SAL21857,4,6,0,3,3,10,6,3,0,45,79,58,32,66,75,110,99,18,8,545
SAL21858,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,7
SAL21859,10,3,5,3,9,6,7,0,0,35,60,55,31,38,83,68,38,16,3,387
SAL21860,0,0,0,0,0,3,5,0,0,15,26,7,20,18,19,22,31,18,3,168
SAL21861,0,0,0,0,0,0,0,0,0,0,10,13,0,0,10,15,10,4,0,68
SAL21862,4,7,0,6,3,0,0,0,0,18,18,22,0,15,19,27,14,11,0,126
SAL21863,23,26,16,19,27,36,26,19,13,210,512,302,311,336,387,492,447,328,169,3285
SAL21864,4,0,0,0,0,4,0,0,0,10,5,4,0,0,3,8,0,0,0,26
SAL21865,6,0,0,4,4,7,0,3,5,31,26,17,25,11,31,50,25,28,11,212
SAL21866,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,6,0,0,20
SAL21867,38,19,16,27,30,33,39,37,29,274,347,179,218,244,218,355,393,207,92,2254
SAL21868,3,0,3,0,0,5,0,0,0,8,14,12,5,10,9,12,13,0,0,72
SAL21869,0,0,0,0,0,0,0,0,0,0,0,5,4,0,10,3,4,0,0,22
SAL21870,18,7,16,9,10,0,0,0,0,61,57,33,41,42,38,38,26,10,0,280
SAL21871,0,0,0,0,0,0,0,0,0,0,4,0,3,8,3,5,7,3,0,30
SAL21872,0,0,0,0,0,0,0,0,0,0,17,5,0,9,0,6,9,4,0,54
SAL21873,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,0,17
SAL21874,5,3,0,5,0,0,0,0,0,19,26,12,16,26,26,25,15,9,0,153
SAL21875,13,8,8,3,10,9,0,0,0,46,95,61,42,54,56,70,31,10,0,425
SAL21876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21877,3,8,0,0,7,9,7,0,0,42,87,76,36,55,87,86,84,30,8,555
SAL21878,11,10,9,10,12,15,7,0,0,92,191,117,130,113,153,171,111,27,10,1023
SAL21879,28,18,11,19,22,10,12,3,4,134,136,114,74,100,131,127,97,30,17,819
