SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL20102,5,0,3,11,23,22,9,17,12,99
SAL20103,137,100,318,1112,1646,829,668,1689,618,6563
SAL20104,0,0,0,35,47,24,17,24,14,154
SAL20105,13,6,56,1235,1547,389,195,941,377,4699
SAL20106,0,0,0,23,21,16,12,25,0,91
SAL20107,0,0,3,12,4,4,5,11,3,39
SAL20108,41,17,88,506,771,396,282,666,148,2763
SAL20109,0,0,0,12,13,7,3,13,11,55
SAL20110,0,0,0,5,0,0,0,0,3,15
SAL20111,50,21,121,1001,1432,579,310,979,309,4607
SAL20112,207,50,329,909,1409,625,400,1379,323,5051
SAL20113,91,25,195,649,999,427,299,792,163,3324
SAL20114,0,0,0,14,19,20,11,25,9,106
SAL20115,0,0,0,40,44,20,32,43,31,207
SAL20116,5,0,6,24,44,11,14,35,34,158
SAL20117,3,0,3,16,17,10,3,11,0,58
SAL20118,0,0,0,21,36,19,7,16,16,109
SAL20119,4,3,3,53,60,33,30,52,12,241
SAL20120,18,7,57,351,605,359,234,239,113,1901
SAL20121,10,0,18,81,131,74,55,52,26,406
SAL20122,0,0,0,3,5,0,0,0,0,11
SAL20123,221,47,509,2408,3172,1611,962,2768,392,11312
SAL20124,269,39,622,3884,4891,2457,1607,4106,557,17505
SAL20125,4,0,5,74,110,53,50,73,28,394
SAL20126,0,0,0,38,62,30,16,45,37,227
SAL20127,0,0,0,16,35,11,19,8,5,99
SAL20128,0,0,0,10,15,0,3,5,5,31
SAL20129,0,0,4,143,156,55,49,229,24,660
SAL20130,0,0,0,14,9,5,5,9,0,46
SAL20131,29,19,71,97,131,66,71,279,77,716
SAL20132,0,0,0,13,14,4,9,15,12,56
SAL20133,79,12,117,948,1387,666,573,1072,205,4849
SAL20134,0,0,0,0,0,4,5,5,0,18
SAL20135,0,0,0,6,9,5,3,0,0,20
SAL20136,80,22,158,455,722,325,242,486,98,2328
SAL20137,0,0,0,20,25,13,9,7,4,73
SAL20138,0,0,3,33,38,20,34,30,3,156
SAL20139,0,0,0,3,6,0,0,0,0,9
SAL20140,0,0,0,28,37,17,13,11,8,117
SAL20141,0,0,10,63,134,71,49,38,28,400
SAL20142,0,0,0,13,8,11,10,8,5,44
SAL20143,0,0,0,0,9,9,3,9,3,35
SAL20144,0,0,6,33,46,24,30,57,13,206
SAL20145,0,0,0,0,9,0,0,0,0,15
SAL20146,0,0,3,146,236,118,94,124,67,789
SAL20147,0,0,3,32,41,14,14,42,15,156
SAL20148,0,0,0,20,32,17,13,16,14,104
SAL20149,4,0,4,77,118,72,40,58,11,377
SAL20150,0,4,4,40,52,47,40,33,19,230
SAL20151,0,0,3,49,67,28,16,24,16,204
SAL20152,0,0,0,0,5,0,4,5,3,13
SAL20153,0,0,0,4,0,3,4,0,0,11
SAL20154,0,0,0,10,3,5,3,11,9,37
SAL20155,0,0,0,0,0,0,0,6,0,8
SAL20156,0,0,0,5,12,10,4,4,0,30
SAL20157,0,0,0,8,5,7,0,3,3,25
SAL20158,0,0,0,3,3,0,5,0,0,6
SAL20159,0,0,0,12,17,14,12,18,8,89
SAL20160,0,0,0,33,69,37,32,31,6,213
SAL20161,3,0,6,23,32,20,17,13,16,118
SAL20162,27,13,95,727,1154,574,323,435,263,3479
SAL20163,0,0,0,3,0,4,4,5,8,21
SAL20164,0,0,0,48,78,57,35,96,38,351
SAL20165,3,4,7,180,245,134,115,178,31,871
SAL20166,0,0,0,14,9,9,3,11,8,59
SAL20167,0,0,0,0,0,0,0,0,0,0
SAL20168,0,0,0,3,3,0,0,11,5,22
SAL20169,20,0,33,386,519,205,162,459,112,1840
SAL20170,0,0,0,3,5,0,4,12,0,20
SAL20171,0,0,0,73,108,34,38,81,16,359
SAL20172,0,0,4,23,20,11,10,12,13,85
SAL20173,190,66,349,2139,2765,1163,778,2895,523,10259
SAL20174,89,112,252,1478,2062,872,598,1848,460,7319
SAL20175,33,13,82,1351,1690,768,528,1298,225,5854
SAL20176,20,3,38,497,700,390,247,405,152,2383
SAL20177,3,0,8,9,52,30,23,58,17,190
SAL20178,0,0,3,14,45,16,30,40,16,153
SAL20179,0,0,0,9,13,3,5,8,10,45
SAL20180,0,0,0,3,15,0,5,6,0,29
SAL20181,34,14,62,252,351,200,149,377,125,1461
SAL20182,142,30,419,2700,3689,1787,952,1962,369,11453
SAL20183,0,0,0,5,3,9,4,0,0,20
SAL20184,3,0,16,57,93,45,39,72,21,333
SAL20185,0,0,0,13,25,19,8,16,29,107
SAL20186,58,9,116,598,1114,587,310,642,334,3591
SAL20187,0,0,0,7,0,0,4,0,4,15
SAL20188,12,4,31,681,1094,509,292,434,109,3117
SAL20189,3,0,8,250,384,170,98,192,45,1143
SAL20190,4,0,15,312,462,222,148,196,42,1381
SAL20191,73,13,180,882,1206,527,400,1487,253,4740
SAL20192,63,11,135,847,1094,526,406,1179,257,4307
SAL20193,4,0,9,29,33,29,20,17,17,149
SAL20194,0,0,0,0,3,0,0,0,3,6
SAL20195,14,41,91,180,310,186,103,178,148,1111
SAL20196,5,0,5,59,104,55,35,59,16,327
SAL20197,0,0,0,4,14,14,6,3,12,57
SAL20198,22,3,36,316,472,171,116,467,102,1656
SAL20199,0,0,0,0,0,0,0,0,0,0
SAL20200,0,0,0,21,41,25,14,14,9,128
SAL20201,191,125,528,2426,3766,1580,1064,2908,725,12473
SAL20202,4,0,4,10,13,10,13,11,11,72
SAL20203,0,0,9,55,72,31,40,36,21,257
SAL20204,266,81,524,1561,2445,1228,943,2282,856,9306
SAL20205,0,0,7,19,30,16,21,37,38,154
SAL20206,0,0,0,14,17,9,3,3,10,53
SAL20207,0,0,0,42,89,35,27,27,5,222
SAL20208,66,21,135,1018,1520,562,340,1224,260,4924
SAL20209,0,0,0,12,25,17,18,26,13,103
SAL20210,0,0,0,15,26,13,5,4,11,73
SAL20211,0,0,0,7,11,9,4,3,0,39
SAL20212,0,0,0,15,31,17,13,15,13,113
SAL20213,0,0,0,5,7,7,5,9,3,32
SAL20214,186,25,374,3360,4524,1887,1080,3276,560,14682
SAL20215,404,47,830,5314,7155,3055,1862,5782,841,24008
SAL20216,0,0,0,0,0,6,0,0,0,12
SAL20217,0,0,0,30,28,14,20,35,4,138
SAL20218,0,0,0,15,8,4,5,6,7,43
SAL20219,0,0,5,27,35,30,30,19,31,168
SAL20220,0,0,5,4,5,6,0,7,7,31
SAL20221,0,0,8,22,37,27,22,30,8,148
SAL20222,0,0,0,5,0,0,3,11,3,28
SAL20223,0,0,0,26,42,23,18,20,21,151
SAL20224,514,97,987,8528,11109,4872,3479,10162,1717,39859
SAL20225,0,0,0,7,22,15,8,20,9,85
SAL20226,0,0,0,13,29,7,10,29,21,109
SAL20227,3,0,3,11,16,12,8,12,9,67
SAL20228,0,0,0,0,0,0,0,6,0,7
SAL20229,6,0,9,65,132,78,48,67,21,407
SAL20230,0,0,0,20,19,14,3,21,5,84
SAL20231,9,3,15,40,60,38,50,70,9,264
SAL20232,0,0,0,34,68,32,25,70,40,270
SAL20233,5,0,10,637,885,360,310,995,195,3378
SAL20234,0,0,0,0,0,0,0,0,0,0
SAL20235,0,0,7,47,51,26,20,55,14,209
SAL20236,0,0,0,3,13,7,6,9,4,37
SAL20237,0,0,4,6,24,9,4,7,0,53
SAL20238,0,0,0,12,4,6,6,3,6,44
SAL20239,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,0,4,0,0,8
SAL20241,0,0,0,10,15,4,3,3,4,40
SAL20242,0,0,4,25,38,13,18,19,3,108
SAL20243,0,0,0,0,0,0,0,0,0,8
SAL20244,16,5,29,103,146,74,54,148,53,572
SAL20245,0,0,0,0,3,0,0,0,0,9
SAL20246,0,4,11,113,137,104,61,102,72,581
SAL20247,0,0,5,155,244,115,88,110,45,758
SAL20248,31,3,59,662,1038,513,365,830,141,3546
SAL20249,30,9,58,333,523,240,134,398,119,1760
SAL20250,0,0,0,32,48,29,17,32,67,231
SAL20251,85,18,216,1324,1686,879,423,875,197,5389
SAL20252,200,80,535,2708,3833,1740,918,2512,482,12186
SAL20253,85,9,225,1381,1797,806,538,1422,173,6117
SAL20254,277,29,480,1945,2498,1184,737,2348,326,9035
SAL20255,0,0,0,8,5,10,7,0,7,35
SAL20256,0,0,0,53,108,51,33,52,25,325
SAL20257,26,15,83,425,765,388,258,414,216,2463
SAL20258,3,0,3,12,3,0,4,15,0,41
SAL20259,0,0,3,41,72,23,18,27,20,204
SAL20260,9,0,13,214,279,120,103,258,61,1032
SAL20261,0,0,4,22,29,3,7,12,4,75
SAL20262,0,0,0,0,8,0,0,6,0,24
SAL20263,0,0,0,15,23,16,12,6,8,82
SAL20264,0,0,0,12,12,6,8,16,4,65
SAL20265,0,0,0,0,0,0,0,0,5,8
SAL20266,0,0,0,10,22,11,14,8,4,69
SAL20267,0,0,3,7,33,9,19,6,8,73
SAL20268,0,0,0,3,8,6,0,0,0,14
SAL20269,0,0,0,4,0,4,4,0,3,9
SAL20270,0,0,0,43,60,33,32,42,34,245
SAL20271,0,0,0,0,0,0,0,0,0,0
SAL20272,0,0,0,37,43,27,12,22,15,159
SAL20273,0,0,0,0,0,0,0,4,0,7
SAL20274,3,0,10,84,160,96,66,96,40,544
SAL20275,0,0,0,3,7,4,5,10,7,41
SAL20276,0,0,0,11,13,15,10,13,15,91
SAL20277,0,0,0,4,12,10,9,6,13,43
SAL20278,117,8,176,1233,1776,633,416,1297,342,5694
SAL20279,0,0,4,115,117,39,30,217,36,556
SAL20280,4,0,13,34,88,52,25,59,19,281
SAL20281,0,0,0,8,9,3,7,3,3,27
SAL20282,4,0,3,35,67,26,23,101,21,281
SAL20283,5,0,5,117,191,87,76,95,41,608
SAL20284,4,0,4,126,235,72,75,184,32,725
SAL20285,0,0,5,34,43,15,11,22,5,133
SAL20286,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,7,0,0,0,4,5
SAL20288,0,0,13,134,237,143,118,141,90,867
SAL20289,0,0,5,26,29,21,19,23,13,125
SAL20290,0,0,0,0,6,0,0,0,0,9
SAL20291,0,0,0,6,10,3,4,5,0,29
SAL20292,0,0,0,4,4,4,0,0,0,11
SAL20293,0,0,0,6,8,0,0,0,0,17
SAL20294,0,0,0,25,32,22,15,8,4,111
SAL20295,0,0,0,21,26,12,13,24,3,107
SAL20296,0,0,0,0,6,3,0,0,0,14
SAL20297,0,0,0,8,18,3,3,6,3,46
SAL20298,0,0,5,28,34,21,17,15,12,134
SAL20299,0,0,0,12,17,9,5,3,0,45
SAL20300,38,34,89,114,192,87,88,167,154,799
SAL20301,0,0,0,6,24,13,12,19,5,87
SAL20302,0,0,0,10,19,7,6,17,3,70
SAL20303,0,0,0,5,7,0,0,9,6,28
SAL20304,267,42,518,4036,5621,2395,1551,5024,958,19579
SAL20305,0,0,0,8,6,4,0,22,8,55
SAL20306,0,3,3,16,15,11,7,19,6,78
SAL20307,5,0,11,1104,1558,625,426,1005,131,4846
SAL20308,0,0,6,18,16,13,17,37,31,136
SAL20309,0,0,6,27,46,17,20,31,18,164
SAL20310,0,0,0,0,18,13,0,3,5,40
SAL20311,0,0,0,4,10,13,3,6,0,33
SAL20312,0,0,0,21,29,11,14,12,4,90
SAL20313,0,0,0,5,7,4,6,11,0,32
SAL20314,263,104,475,2320,2814,1155,676,4869,1143,12970
SAL20315,124,18,281,2228,2814,1209,738,2896,406,10293
SAL20316,74,18,198,1595,2086,843,519,1737,267,7044
SAL20317,0,0,0,3,0,5,0,7,0,17
SAL20318,0,0,0,7,3,0,0,0,0,7
SAL20319,0,0,0,9,7,0,3,3,0,35
SAL20320,0,0,3,3,9,5,0,11,0,25
SAL20321,0,0,0,20,20,11,14,10,3,78
SAL20322,0,0,0,58,70,43,36,47,12,265
SAL20323,0,0,0,0,0,0,0,5,0,8
SAL20324,62,15,116,1327,1668,587,489,3418,685,8171
SAL20325,0,0,0,4,13,0,0,0,0,29
SAL20326,3,4,22,163,220,100,76,242,105,908
SAL20327,3,0,7,31,41,35,10,17,5,132
SAL20328,0,0,0,3,9,0,3,3,0,23
SAL20329,0,0,0,14,6,4,6,5,0,38
SAL20330,5,0,8,163,265,127,137,154,79,930
SAL20331,14,6,53,538,889,360,238,493,76,2601
SAL20332,0,0,4,12,33,16,17,12,4,96
SAL20333,0,0,5,22,24,17,13,25,11,115
SAL20334,0,0,0,15,8,9,0,9,6,45
SAL20335,4,0,7,51,82,38,39,62,25,293
SAL20336,22,25,84,369,695,349,219,386,211,2240
SAL20337,439,141,958,4544,6019,2667,1533,3976,889,19635
SAL20338,420,117,854,3096,4043,1851,1046,2941,604,13592
SAL20339,0,0,5,23,39,14,22,33,14,147
SAL20340,0,0,0,0,4,0,0,0,0,3
SAL20341,0,0,0,18,7,5,7,8,4,55
SAL20342,0,0,0,9,19,8,13,16,11,75
SAL20343,0,0,0,4,0,0,0,0,3,6
SAL20344,0,0,0,8,10,0,4,4,3,32
SAL20345,34,9,80,701,1027,466,382,925,216,3718
SAL20346,95,17,170,1254,1412,587,701,4570,1309,9840
SAL20347,0,0,0,14,11,8,0,16,8,61
SAL20348,0,0,0,6,6,4,6,7,0,22
SAL20349,0,0,0,10,8,3,5,0,4,41
SAL20350,0,0,4,0,16,4,0,12,3,41
SAL20351,57,18,107,1363,1733,830,753,2687,531,7895
SAL20352,18,4,47,336,456,148,113,517,135,1704
SAL20353,0,0,0,0,0,3,6,9,0,16
SAL20354,0,0,0,25,48,27,21,29,23,178
SAL20355,3,0,3,7,15,7,11,9,3,44
SAL20356,22,5,59,708,1136,472,345,719,135,3529
SAL20357,0,0,0,10,26,11,16,15,0,83
SAL20358,0,0,6,16,21,14,13,11,7,85
SAL20359,0,0,5,24,33,17,16,7,5,106
SAL20360,0,0,0,0,0,0,0,0,0,0
SAL20361,236,33,440,6010,8191,2324,992,3985,841,22349
SAL20362,75,12,173,3309,4649,1126,501,1914,518,12028
SAL20363,148,38,289,3117,4317,1412,709,2763,554,12865
SAL20364,6,5,15,107,209,113,90,97,54,667
SAL20365,0,0,4,15,21,15,15,20,4,84
SAL20366,0,0,8,31,39,30,34,31,25,181
SAL20367,0,0,4,11,21,19,8,20,3,84
SAL20368,0,0,0,22,47,27,20,16,0,127
SAL20369,0,5,5,49,57,16,14,32,11,183
SAL20370,0,0,0,5,3,3,5,3,0,18
SAL20371,0,0,0,9,10,6,3,8,8,46
SAL20372,0,0,0,0,0,0,0,0,0,0
SAL20373,3,0,4,25,30,14,32,17,9,124
SAL20374,0,0,0,0,0,4,0,0,0,0
SAL20375,0,0,4,44,67,26,23,39,28,237
SAL20376,3,0,6,38,79,46,26,36,20,253
SAL20377,0,0,0,18,14,10,18,12,3,75
SAL20378,0,0,0,0,0,0,0,4,0,5
SAL20379,0,0,0,0,0,0,0,0,0,0
SAL20380,0,0,0,3,3,3,7,6,0,22
SAL20381,0,0,10,108,137,79,73,136,37,567
SAL20382,0,0,0,5,4,0,0,0,0,18
SAL20383,0,0,5,13,12,13,13,11,7,72
SAL20384,0,0,0,17,25,13,15,8,9,81
SAL20385,0,0,0,12,9,7,9,15,4,42
SAL20386,219,31,515,2085,2564,1224,856,2557,309,9601
SAL20387,3,5,15,98,168,86,75,83,64,571
SAL20388,0,5,9,4,19,10,10,11,5,67
SAL20389,0,0,0,0,8,9,3,8,4,33
SAL20390,0,0,0,105,143,55,44,59,28,430
SAL20391,0,0,0,28,48,34,10,22,7,155
SAL20392,0,0,0,15,17,16,5,15,9,80
SAL20393,0,0,0,42,72,40,37,34,20,240
SAL20394,0,0,0,44,39,26,14,26,32,178
SAL20395,0,0,0,79,142,64,49,73,30,439
SAL20396,0,0,0,9,13,7,9,8,0,43
SAL20397,0,0,0,0,0,0,0,0,0,0
SAL20398,4,0,4,7,19,12,3,16,0,52
SAL20399,381,76,719,4815,5833,2461,1870,7725,1329,24031
SAL20400,0,0,0,10,7,8,10,13,9,54
SAL20401,0,0,3,5,15,5,3,9,5,54
SAL20402,0,0,0,5,10,7,3,6,4,30
SAL20403,0,0,0,23,25,9,10,4,8,78
SAL20404,0,0,0,61,58,34,31,38,28,249
SAL20405,0,0,0,6,6,0,3,5,6,23
SAL20406,0,0,0,9,11,5,0,8,6,42
SAL20407,0,0,0,0,0,0,0,0,0,0
SAL20408,0,0,0,0,0,0,4,3,5,20
SAL20409,21,6,58,584,933,557,322,447,125,2970
SAL20410,0,0,0,48,74,26,23,47,9,223
SAL20411,45,10,72,515,657,335,270,481,159,2422
SAL20412,0,0,0,17,24,13,4,14,11,82
SAL20413,0,0,0,0,0,0,0,0,0,0
SAL20414,0,0,0,4,0,6,0,3,0,14
SAL20415,0,0,0,0,4,3,0,6,3,17
SAL20416,0,0,0,9,6,4,3,10,9,36
SAL20417,0,0,0,8,7,9,3,3,5,34
SAL20418,0,0,12,212,209,71,40,115,50,698
SAL20419,107,63,200,758,932,446,355,1830,276,4594
SAL20420,9,0,11,785,1009,466,430,1680,167,4541
SAL20421,0,0,0,7,0,5,10,5,4,30
SAL20422,4,0,4,36,52,26,13,43,16,182
SAL20423,0,0,0,0,6,4,0,3,0,18
SAL20424,0,0,0,6,3,5,0,9,3,25
SAL20425,0,0,0,37,65,20,20,51,31,224
SAL20426,279,37,545,2789,3363,1384,869,3933,787,13128
SAL20427,156,14,372,1820,2371,1108,769,2764,383,9214
SAL20428,3,0,3,106,130,77,61,89,14,481
SAL20429,0,0,0,4,17,3,3,6,9,43
SAL20430,0,0,0,0,0,0,0,0,0,6
SAL20431,0,3,14,98,146,76,65,76,44,513
SAL20432,0,0,0,19,25,23,17,20,9,109
SAL20433,0,0,0,22,20,17,17,19,3,96
SAL20434,0,0,0,35,35,23,23,12,5,137
SAL20435,0,0,6,8,24,12,18,15,17,94
SAL20436,0,0,0,31,43,9,9,25,14,138
SAL20437,3,0,3,69,124,54,27,61,45,383
SAL20438,0,0,0,3,3,0,5,0,0,10
SAL20439,0,0,0,0,7,8,9,14,7,46
SAL20440,0,0,0,0,4,0,0,3,11,17
SAL20441,74,3,92,1573,1627,694,603,3216,399,8106
SAL20442,0,0,0,0,0,0,0,0,0,0
SAL20443,0,0,0,35,36,18,12,24,22,153
SAL20444,66,28,131,653,888,386,306,1095,318,3643
SAL20445,0,0,0,33,24,18,22,28,12,137
SAL20446,0,0,0,10,11,9,0,11,0,41
SAL20447,0,0,5,57,79,58,44,38,26,307
SAL20448,0,0,0,9,10,4,4,4,4,33
SAL20449,0,0,0,0,4,0,0,0,0,10
SAL20450,0,0,0,3,4,3,3,12,0,26
SAL20451,0,0,0,35,34,17,15,17,12,139
SAL20452,0,0,0,0,0,0,0,0,0,0
SAL20453,574,94,1008,4346,5741,2535,1455,3754,664,18498
SAL20454,0,0,0,34,69,28,21,53,0,217
SAL20455,72,12,113,546,629,251,300,1934,330,3988
SAL20456,0,0,0,3,3,3,7,6,0,20
SAL20457,17,5,30,293,520,261,184,317,82,1664
SAL20458,0,0,0,10,12,12,0,11,0,43
SAL20459,0,0,6,6,15,6,6,4,6,41
SAL20460,68,17,130,476,790,403,306,648,219,2840
SAL20461,73,54,150,660,963,406,286,826,223,3371
SAL20462,0,0,0,0,0,0,0,0,0,4
SAL20463,0,0,0,9,17,12,4,12,23,71
SAL20464,0,4,4,16,48,26,23,44,31,177
SAL20465,0,0,0,0,4,0,4,5,0,13
SAL20466,6,0,7,110,159,65,50,105,43,531
SAL20467,0,0,0,5,6,8,9,3,3,30
SAL20468,184,24,323,1521,2040,956,585,1247,220,6564
SAL20469,0,0,0,27,49,25,11,16,13,137
SAL20470,0,0,3,26,42,18,14,21,5,127
SAL20471,0,0,0,0,0,0,0,0,0,5
SAL20472,0,0,0,4,10,8,3,8,4,32
SAL20473,12,6,23,196,319,157,116,147,51,972
SAL20474,0,0,7,93,152,83,59,68,41,495
SAL20475,17,0,18,327,564,285,166,293,235,1870
SAL20476,333,120,665,742,1024,561,393,1400,473,4589
SAL20477,0,0,0,4,5,3,11,6,14,45
SAL20478,0,0,0,10,13,14,4,9,8,59
SAL20479,0,0,0,0,0,0,0,0,0,3
SAL20480,4,0,3,34,47,26,42,31,20,203
SAL20481,0,0,0,10,4,6,10,16,3,46
SAL20482,0,0,0,3,12,5,0,3,0,27
SAL20483,0,0,0,10,21,3,3,8,0,51
SAL20484,0,0,0,20,27,12,14,17,0,83
SAL20485,3,0,3,206,241,126,82,147,13,816
SAL20486,3,0,4,116,204,99,71,128,28,651
SAL20487,0,0,5,64,71,36,28,70,22,294
SAL20488,8,0,8,128,157,88,90,150,44,672
SAL20489,0,0,0,5,13,0,4,0,6,33
SAL20490,0,0,0,10,4,3,5,4,0,22
SAL20491,0,0,0,0,4,0,0,4,4,16
SAL20492,6,0,14,164,281,142,118,193,68,965
SAL20493,0,0,0,20,38,14,18,34,16,141
SAL20494,0,0,0,50,94,61,37,44,30,313
SAL20495,148,17,217,3580,4075,955,474,5094,1012,15192
SAL20496,40,6,96,1631,2120,545,280,782,197,5544
SAL20497,5,0,6,14,21,6,7,16,5,75
SAL20498,205,105,446,3456,4793,1704,892,3863,715,15429
SAL20499,0,0,0,22,44,16,25,17,10,137
SAL20500,58,5,102,3832,4452,1929,1596,6180,893,18880
SAL20501,0,0,6,18,7,15,9,18,17,87
SAL20502,0,0,0,12,18,7,12,25,10,83
SAL20503,0,0,3,18,29,12,17,24,12,110
SAL20504,0,0,0,9,13,0,11,6,5,38
SAL20505,0,0,0,9,11,4,8,4,4,36
SAL20506,0,0,0,0,7,0,0,3,0,15
SAL20507,42,0,70,773,1093,417,248,804,143,3486
SAL20508,251,78,423,3653,4682,1778,1239,5467,948,17764
SAL20509,0,0,0,6,12,4,5,11,10,48
SAL20510,3,0,3,17,49,29,24,38,10,170
SAL20511,0,0,0,0,10,5,9,3,0,21
SAL20512,0,0,0,31,77,35,22,37,13,217
