SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL20118,51,1947,809,260,1843,0.7,1458,2.3
SAL20119,53,702,689,100,1525,0.7,1211,2.2
SAL20120,46,2167,862,480,2330,0.7,1918,2.6
SAL20121,58,1800,866,423,1983,0.7,1637,2.3
SAL20122,59,1500,687,0,1812,0.7,1812,2.8
SAL20123,43,3000,850,451,2492,0.8,1975,2.6
SAL20124,42,3078,854,554,2727,0.8,2346,2.9
SAL20125,41,1300,725,213,1625,0.8,1440,2.7
SAL20126,41,1300,787,160,1843,0.8,1525,2.7
SAL20127,51,759,788,300,1958,0.8,1875,2.4
SAL20128,40,595,933,275,2250,0.7,2125,2.7
SAL20129,23,1517,1054,380,2040,0.8,2017,3.1
SAL20130,51,1187,1053,200,2125,0.8,2249,2.7
SAL20131,71,2880,505,176,990,0.7,644,1.6
SAL20132,32,1733,735,230,1874,0.9,1375,3.4
SAL20133,35,1863,845,390,2232,0.8,2055,3
SAL20134,54,0,1075,0,3499,0.7,3499,2.6
SAL20135,53,692,833,0,2083,0.8,1833,2.9
SAL20136,37,1684,942,355,2279,0.8,2090,2.8
SAL20137,53,1734,706,165,2166,0.7,1312,2.5
SAL20138,56,1311,584,323,1416,0.7,1111,2.1
SAL20139,39,455,687,250,1749,0.8,1624,2.5
SAL20140,56,1733,1017,253,1949,0.8,1854,2.5
SAL20141,50,1602,778,250,2103,0.8,1555,2.5
SAL20142,54,787,524,0,949,0.9,825,2
SAL20143,54,1550,703,0,1875,0.8,1749,2.3
SAL20144,56,1000,448,190,1083,0.7,875,2
SAL20145,64,1842,1125,100,2333,0.8,2333,2.7
SAL20146,40,1495,843,293,2085,0.8,1742,2.6
SAL20147,46,1724,870,210,2150,0.9,1899,2.9
SAL20148,37,1517,900,298,2143,0.7,1792,2.5
SAL20149,44,1560,719,300,2011,0.8,1708,2.7
SAL20150,43,1599,638,370,1713,0.8,1531,2.9
SAL20151,44,2234,1151,301,3250,0.7,2562,2.8
SAL20152,54,1083,425,0,1749,0.9,900,2.6
SAL20153,48,2232,849,220,2374,0.5,1125,1.5
SAL20154,32,0,850,235,1875,1,1812,3.5
SAL20155,57,0,762,0,0,0.3,575,1
SAL20156,41,1246,668,268,2124,0.8,1125,2.2
SAL20157,58,3500,530,0,1374,0.8,900,2.5
SAL20158,43,936,1624,0,3250,0.8,2999,2.5
SAL20159,50,1697,619,200,2250,0.6,1312,2.3
SAL20160,50,1317,721,250,1624,0.8,1408,2.6
SAL20161,48,1083,560,230,1291,0.8,1037,2.1
SAL20162,46,2184,1030,450,2773,0.7,2226,2.5
SAL20163,45,1517,695,0,1499,0.8,1062,1.9
SAL20164,49,1500,550,225,1674,0.7,1262,2.4
SAL20165,39,2268,952,325,2881,0.8,2837,3.3
SAL20166,45,1865,1149,250,2874,0.7,2624,2.8
SAL20167,0,0,0,0,0,0,0,0
SAL20168,30,0,880,0,0,0,0,0
SAL20169,40,1690,774,360,1958,0.7,1493,2.3
SAL20170,43,699,1042,0,2250,1.5,2166,2.9
SAL20171,42,2167,752,425,2016,0.8,1897,2.9
SAL20172,56,1513,810,305,1812,0.6,1531,2.2
SAL20173,38,1820,785,375,1977,0.8,1598,2.4
SAL20174,38,1835,839,360,2113,0.8,1675,2.5
SAL20175,39,2000,887,390,2612,0.8,2279,2.9
SAL20176,42,2252,1001,368,2862,0.8,2755,3.2
SAL20177,61,867,437,130,958,0.7,734,2
SAL20178,63,1000,459,185,1042,0.7,828,1.9
SAL20179,44,421,630,125,1350,0.7,1274,2.5
SAL20180,29,0,1093,185,2374,1.2,2250,3.8
SAL20181,51,1160,575,250,1479,0.7,1031,2.1
SAL20182,48,3000,1044,612,3292,0.8,2626,2.7
SAL20183,49,347,833,0,2124,0.9,1999,3.3
SAL20184,51,1122,698,220,1875,0.7,1260,2.2
SAL20185,50,947,641,185,1812,0.8,840,2
SAL20186,49,1550,767,300,1880,0.7,1401,2.2
SAL20187,48,0,550,340,1749,0.9,1125,2.2
SAL20188,38,1863,959,401,2496,0.8,2202,2.7
SAL20189,40,1900,827,373,2313,0.8,2132,2.9
SAL20190,44,2000,843,450,2484,0.8,2382,3
SAL20191,41,1500,638,340,1643,0.8,1224,2.2
SAL20192,42,1600,674,350,1700,0.7,1368,2.4
SAL20193,57,1700,1008,350,2333,0.6,2214,2.4
SAL20194,33,600,374,0,900,0.9,699,3
SAL20195,52,2300,776,380,2301,0.8,1556,2.5
SAL20196,50,1500,767,308,1906,0.7,1413,2.5
SAL20197,57,1280,671,0,2249,0.8,1875,2.5
SAL20198,36,2300,722,375,2235,0.9,1845,2.6
SAL20199,0,0,0,0,0,0,0,0
SAL20200,48,2600,1114,525,2750,0.8,2600,2.9
SAL20201,37,1703,802,350,2080,0.8,1517,2.3
SAL20202,67,1190,388,220,866,0.8,710,1.8
SAL20203,51,1733,787,285,1797,0.7,1687,2.4
SAL20204,51,1253,645,250,1521,0.7,1142,2.1
SAL20205,59,1142,690,150,1392,0.7,1017,1.8
SAL20206,48,1300,979,0,2208,0.8,2125,2.5
SAL20207,47,2084,900,300,2156,0.9,1971,2.8
SAL20208,43,1482,821,290,1984,0.7,1429,2.1
SAL20209,61,650,680,158,1446,0.8,1041,1.8
SAL20210,44,1192,687,300,1875,0.9,1458,2.6
SAL20211,37,880,687,0,2125,0.9,1812,2.8
SAL20212,37,1728,814,417,2250,0.9,1958,2.6
SAL20213,51,1526,550,0,1437,0.8,1125,2.6
SAL20214,39,2500,990,480,2877,0.9,2263,2.6
SAL20215,40,2500,927,500,2640,0.8,2215,2.7
SAL20216,41,1733,875,0,2749,0.7,1375,2.3
SAL20217,49,1625,845,300,2218,0.9,2125,2.8
SAL20218,51,1773,725,20,1375,0.7,1374,2.5
SAL20219,49,1083,476,250,1228,0.8,900,2.3
SAL20220,56,1199,933,180,2249,0.6,1125,2.2
SAL20221,47,433,658,150,1395,0.8,1093,2.4
SAL20222,44,1042,866,200,1375,0.7,1333,2.2
SAL20223,53,1500,814,205,1937,0.7,1797,2.3
SAL20224,38,2000,852,400,2346,0.8,2113,2.9
SAL20225,42,915,491,140,1312,0.7,974,2.3
SAL20226,48,1083,472,228,979,0.8,860,2.3
SAL20227,55,2179,1012,125,2250,0.7,1562,2.4
SAL20228,59,995,624,0,1375,0.6,1375,2.2
SAL20229,50,1338,867,260,1964,0.7,1840,2.5
SAL20230,52,982,419,193,949,0.8,780,2.4
SAL20231,56,526,629,78,1625,0.7,1062,2.2
SAL20232,42,1000,687,150,1645,0.8,1390,2.6
SAL20233,32,2052,978,400,2333,0.8,2266,3.2
SAL20234,40,0,524,0,5500,0.7,5500,5
SAL20235,37,1656,863,280,2042,0.8,1771,2.8
SAL20236,56,0,774,275,2250,0.7,1875,2.1
SAL20237,55,1895,850,185,2333,0.7,1375,2.1
SAL20238,45,856,1011,0,1708,0.8,1999,3.2
SAL20239,0,0,0,0,0,0,0,0
SAL20240,59,1907,850,50,1625,0.7,1499,2
SAL20241,54,1083,825,0,1625,0.9,1625,2.4
SAL20242,46,1246,706,250,2041,0.8,1050,2.3
SAL20243,69,0,537,0,1250,0.7,1250,2.5
SAL20244,49,758,740,155,1612,0.7,1171,2.2
SAL20245,30,0,1312,0,2749,0.6,2250,1.7
SAL20246,39,1487,794,300,1921,0.8,1784,3
SAL20247,43,1517,782,300,1914,0.8,1521,2.4
SAL20248,46,1842,725,366,1991,0.8,1615,2.5
SAL20249,40,1393,805,290,2004,0.7,1471,2.2
SAL20250,48,1467,693,200,1874,0.8,1531,2.6
SAL20251,49,2897,1067,541,3209,0.8,2416,2.5
SAL20252,41,2208,942,411,2668,0.8,2065,2.5
SAL20253,39,2400,822,431,2385,0.8,2021,2.8
SAL20254,42,2251,753,410,2371,0.8,1861,2.6
SAL20255,46,3033,725,0,2374,0.7,1562,2.4
SAL20256,47,1300,767,305,1837,0.8,1424,2
SAL20257,58,2000,787,400,1986,0.6,1490,2.1
SAL20258,41,1028,822,250,2083,0.9,1625,2.9
SAL20259,49,1677,739,325,1812,0.8,1446,2.4
SAL20260,39,1742,807,360,2125,0.8,1889,2.7
SAL20261,56,2106,769,150,2062,0.6,1458,2
SAL20262,39,867,900,175,1625,0.8,1875,3.1
SAL20263,51,1950,767,300,1875,0.7,1416,2.4
SAL20264,47,717,660,180,1875,0.8,1687,2.9
SAL20265,19,0,450,180,0,0.3,350,1
SAL20266,60,1950,612,0,1656,0.8,1562,2.5
SAL20267,56,2050,596,175,1333,0.8,1125,2.3
SAL20268,31,0,725,150,2250,1,1624,2.7
SAL20269,54,0,350,0,3999,0.9,3999,2.7
SAL20270,42,1231,692,200,1803,0.8,1468,2.5
SAL20271,30,0,899,0,1625,1,1625,3
SAL20272,51,2000,791,550,2374,0.8,1792,2.7
SAL20273,25,0,850,0,1749,0.6,1374,2.5
SAL20274,49,1603,581,220,1708,0.8,1394,2.5
SAL20275,44,1029,466,250,1874,0.8,1499,2.6
SAL20276,47,1700,883,285,1937,0.7,1850,2.4
SAL20277,58,1850,474,0,1562,0.6,762,1.8
SAL20278,42,2139,975,391,2459,0.8,1766,2.2
SAL20279,26,1571,988,225,2270,0.8,2104,2.7
SAL20280,52,3033,759,400,1833,0.7,1812,2.6
SAL20281,38,867,1312,0,2625,1,2624,3.1
SAL20282,39,2248,729,381,1906,0.8,1625,2.6
SAL20283,54,1300,662,296,1548,0.7,1315,2.2
SAL20284,28,1500,891,398,1937,0.7,1854,2.7
SAL20285,48,1400,785,210,1916,0.8,1708,2.7
SAL20286,0,0,0,0,0,0,0,0
SAL20287,56,867,1562,0,2999,0.5,2250,1.7
SAL20288,50,1083,599,218,1508,0.7,1200,2.3
SAL20289,53,1300,593,2077,1297,0.8,1278,2.4
SAL20290,63,1733,1125,0,2750,0.4,900,1.3
SAL20291,41,1083,933,100,1749,0.7,1406,2.6
SAL20292,42,1083,1100,150,2250,0.7,1874,2.4
SAL20293,46,1850,668,350,1374,0.9,1125,2.3
SAL20294,39,1941,752,250,1792,0.7,1292,2.7
SAL20295,48,1590,695,300,1553,0.8,1187,2.7
SAL20296,50,2167,1041,0,2750,0.8,1999,2.8
SAL20297,38,1103,1071,215,2374,0.8,1937,2.3
SAL20298,50,1993,1008,225,2125,0.8,1875,2.6
SAL20299,52,2361,754,92,1375,0.6,1399,2.3
SAL20300,57,949,573,180,1449,0.7,1054,2.1
SAL20301,39,1695,756,461,1937,0.7,1875,2.7
SAL20302,43,1517,700,290,1624,0.9,1625,2.9
SAL20303,56,1476,1312,65,2750,0.7,2374,2.4
SAL20304,39,1870,800,376,2000,0.8,1619,2.4
SAL20305,50,681,450,300,1187,0.8,1125,2.4
SAL20306,55,1048,808,220,1958,0.7,1791,2.5
SAL20307,32,2200,1093,404,2594,0.8,2552,3.2
SAL20308,53,840,752,162,1625,1,1531,2.5
SAL20309,46,1083,588,295,1361,0.8,1287,2.5
SAL20310,46,1798,1050,200,2166,0.8,2125,2.6
SAL20311,49,1387,674,260,1687,0.7,1375,2.3
SAL20312,53,1083,892,160,2250,0.8,2071,2.4
SAL20313,24,1700,537,0,2125,1.3,2250,4.6
SAL20314,33,1950,627,381,1594,1,1267,2.2
SAL20315,37,2297,747,425,2160,0.8,1820,2.6
SAL20316,39,2400,788,425,2424,0.8,1928,2.6
SAL20317,54,0,350,0,1499,0.8,949,2.5
SAL20318,65,1553,383,0,1024,1,1125,3.3
SAL20319,37,4737,575,73,1625,0.8,1187,3.2
SAL20320,58,1998,871,504,1875,1.1,982,1.4
SAL20321,42,1863,929,0,2208,0.7,2125,2.6
SAL20322,50,1163,728,170,1666,0.7,1362,2.3
SAL20323,33,1100,931,0,1625,0.8,1499,2.7
SAL20324,34,1859,622,312,1600,1,1451,2.7
SAL20325,32,1194,1089,168,2250,0.9,2083,2.6
SAL20326,40,1213,655,300,1477,0.8,1077,2.1
SAL20327,56,1667,773,389,2333,0.7,1542,2.2
SAL20328,50,121,371,125,900,1.1,899,2.5
SAL20329,45,990,949,250,2249,0.7,2124,2.6
SAL20330,44,1300,705,250,1664,0.7,1334,2.4
SAL20331,42,2167,940,411,2374,0.8,1935,2.4
SAL20332,49,1941,736,200,2187,0.8,1625,2.6
SAL20333,49,1350,866,115,2250,0.7,1771,2.3
SAL20334,49,1067,537,345,1625,0.7,1624,2.8
SAL20335,50,1083,609,215,1366,0.7,1242,2.2
SAL20336,49,1638,774,300,1773,0.7,1352,2.2
SAL20337,48,3467,1259,600,3778,0.8,2710,2.4
SAL20338,45,3300,1036,600,3400,0.8,2544,2.6
SAL20339,50,510,703,165,1406,0.8,1350,2.5
SAL20340,53,4000,1125,0,2749,0.9,1375,2.3
SAL20341,54,1355,840,225,1625,0.7,1437,2.2
SAL20342,49,1127,817,115,1875,0.8,1437,2.7
SAL20343,63,0,1812,0,4999,0.5,2624,1.8
SAL20344,31,697,1031,140,1874,0.8,1542,2.8
SAL20345,40,1507,712,314,1860,0.7,1519,2.5
SAL20346,32,1408,478,331,1262,1,1151,2.9
SAL20347,45,596,1062,115,1625,0.7,1593,2.2
SAL20348,37,1083,537,735,1375,0.8,1125,2.6
SAL20349,59,0,860,70,1875,0.6,1625,2.2
SAL20350,59,867,469,0,1375,0.7,1124,2.2
SAL20351,32,1663,706,350,1797,0.8,1642,3.1
SAL20352,34,2068,1064,391,2395,0.8,1958,2.2
SAL20353,56,0,425,100,900,0.7,824,2
SAL20354,49,1040,581,200,1449,0.8,1174,2.5
SAL20355,42,0,661,0,1562,0.9,1687,3.5
SAL20356,36,1619,875,290,2181,0.7,1757,2.5
SAL20357,55,1950,746,200,1625,0.7,1406,2.5
SAL20358,45,2000,638,250,1775,0.8,1437,2.6
SAL20359,43,797,922,100,1812,0.7,1768,2.5
SAL20360,0,0,0,0,0,0,0,0
SAL20361,34,2162,1085,441,2807,0.9,2096,2.1
SAL20362,33,2000,1252,421,2837,1,2088,2
SAL20363,34,2000,1004,366,2539,0.9,1797,2.1
SAL20364,43,1083,625,250,1508,0.8,1198,2.3
SAL20365,51,1083,602,210,2041,0.7,1025,2.3
SAL20366,54,1000,581,158,1406,0.8,1083,2.1
SAL20367,46,1677,687,125,1375,0.7,1187,2.2
SAL20368,47,1300,738,275,1843,0.8,1481,2.6
SAL20369,40,2167,946,360,2225,0.8,2166,2.9
SAL20370,31,1607,1187,115,3249,0.7,1875,2.3
SAL20371,48,1885,519,100,1291,0.7,1208,2.4
SAL20372,0,0,0,0,0,0,0,0
SAL20373,48,1200,589,100,1531,0.8,1312,2.7
SAL20374,59,0,399,0,1625,0.6,1274,2
SAL20375,47,1150,783,260,1892,0.7,1649,2.5
SAL20376,54,1733,741,130,1895,0.7,1421,2.3
SAL20377,38,1300,1028,250,2416,0.8,2083,3
SAL20378,61,0,349,0,900,0.6,900,2
SAL20379,58,0,3500,0,8000,0.6,8000,2
SAL20380,55,0,524,0,1125,0.6,450,2.2
SAL20381,45,2100,726,348,2022,0.8,1738,2.8
SAL20382,24,1343,900,330,2750,0.6,949,2.3
SAL20383,55,2167,756,245,2249,0.7,1291,2.3
SAL20384,58,2000,599,350,2125,0.8,1375,2.2
SAL20385,61,1127,682,0,1625,0.6,900,1.8
SAL20386,45,2400,739,459,2206,0.7,1814,2.6
SAL20387,44,2210,910,300,2666,0.8,2302,2.9
SAL20388,61,1641,665,250,2125,0.6,1458,1.9
SAL20389,36,1682,700,315,1375,1.1,1343,2.7
SAL20390,40,1723,786,258,2212,0.8,1916,2.9
SAL20391,50,1900,817,250,2100,0.7,1812,2.6
SAL20392,46,1437,609,285,1812,0.9,1437,2.6
SAL20393,40,1559,1004,275,2441,0.8,2422,3.1
SAL20394,37,1675,681,233,2036,0.9,1792,3
SAL20395,51,1509,733,350,1763,0.7,1527,2.4
SAL20396,53,1200,743,285,2250,0.7,2083,2.4
SAL20397,0,0,0,0,0,0,0,0
SAL20398,56,1354,668,450,1375,0.8,1166,2.6
SAL20399,38,2000,690,381,1991,0.8,1668,2.6
SAL20400,59,1232,478,160,1375,0.7,979,2.2
SAL20401,42,1450,820,200,1958,0.7,1625,2.6
SAL20402,52,2011,956,348,2583,0.6,1624,1.9
SAL20403,50,1300,810,200,2125,0.7,1875,2.5
SAL20404,46,1539,707,245,1875,0.8,1625,2.7
SAL20405,39,3575,724,0,1875,0.9,1875,3.6
SAL20406,51,1456,669,210,1624,0.7,1416,2.7
SAL20407,71,0,2500,0,4750,0.6,4750,2
SAL20408,62,8333,612,375,1062,0.7,1125,2.3
SAL20409,45,1733,818,305,2216,0.7,1745,2.6
SAL20410,46,1474,655,335,2312,0.8,2058,2.8
SAL20411,38,1950,779,320,2216,0.8,1927,2.8
SAL20412,47,2600,725,414,2125,0.8,1624,2.8
SAL20413,0,0,0,0,0,0,0,0
SAL20414,58,0,575,0,2750,1,2249,3
SAL20415,56,0,574,0,2749,0.7,2250,2.6
SAL20416,47,904,575,165,2166,0.8,762,2.3
SAL20417,54,964,850,340,2083,0.6,1624,2.1
SAL20418,32,2200,1418,440,3324,1,2423,2.1
SAL20419,37,2000,676,400,2054,0.9,1871,3.1
SAL20420,33,2000,803,411,2220,1,2246,3.6
SAL20421,62,759,1042,0,2083,0.6,1875,2.1
SAL20422,39,1458,847,253,2299,0.8,2125,2.9
SAL20423,55,1473,820,291,1562,0.6,1374,2.2
SAL20424,65,3525,1124,0,2249,0.6,1562,2
SAL20425,58,1300,610,135,1562,0.8,949,1.9
SAL20426,34,2500,681,411,2242,0.8,1684,2.5
SAL20427,41,2147,676,439,1972,0.8,1610,2.6
SAL20428,43,1625,829,350,2173,0.8,2125,3
SAL20429,53,1572,900,300,1899,0.6,1803,2.2
SAL20430,33,0,474,0,1124,0.9,900,2.7
SAL20431,53,1733,698,348,1759,0.7,1367,2.2
SAL20432,53,850,956,110,2356,0.6,1875,2.1
SAL20433,40,982,872,325,2125,0.7,2049,2.8
SAL20434,51,1717,764,300,1875,0.7,1696,2.5
SAL20435,48,1800,949,210,1812,0.7,2036,2.7
SAL20436,46,1454,543,230,1343,0.8,1174,2.7
SAL20437,43,1517,903,250,2316,0.8,2233,2.9
SAL20438,66,1500,687,200,900,0.6,1124,1.8
SAL20439,52,942,391,250,962,0.7,850,2
SAL20440,33,0,1562,0,2750,0.6,2250,2.2
SAL20441,36,1883,658,400,1998,0.9,2062,3.4
SAL20442,0,0,0,0,0,0,0,0
SAL20443,44,2139,759,269,2125,0.8,2111,2.9
SAL20444,39,1200,588,251,1366,0.8,1054,2.3
SAL20445,38,704,780,100,1583,0.8,1449,2.7
SAL20446,41,1289,687,190,1187,0.6,1083,2.1
SAL20447,42,1733,782,200,2097,0.8,2013,2.8
SAL20448,32,2167,866,270,2250,0.7,1875,2.3
SAL20449,58,1842,649,145,1074,0.6,900,2
SAL20450,43,0,695,178,1874,0.6,774,2.2
SAL20451,45,1613,762,263,2028,0.9,1812,2.9
SAL20452,0,0,0,0,0,0,0,0
SAL20453,43,3000,1043,486,3264,0.8,2457,2.6
SAL20454,39,1742,866,260,2230,0.8,2042,3.2
SAL20455,38,1600,444,320,1270,1,1110,2.9
SAL20456,57,499,900,175,4499,0.5,1249,1.9
SAL20457,44,1408,709,320,1697,0.8,1399,2.5
SAL20458,56,1950,942,220,2083,0.7,1656,2.2
SAL20459,39,672,474,200,1542,0.9,762,2.3
SAL20460,51,1127,628,240,1534,0.7,1128,2.2
SAL20461,37,1387,749,300,1828,0.7,1438,2.4
SAL20462,69,0,1187,0,2250,0.4,2124,1.3
SAL20463,49,1083,808,260,1875,0.8,1937,2.9
SAL20464,52,780,445,120,900,0.6,642,1.8
SAL20465,38,4333,725,110,1375,0.7,1375,2.8
SAL20466,41,1700,776,313,1896,0.8,1607,2.6
SAL20467,35,530,1140,110,2166,0.8,2083,2.8
SAL20468,46,3500,1102,515,3593,0.8,2877,2.7
SAL20469,58,1890,880,283,2343,0.7,1937,2.2
SAL20470,52,1100,585,180,1600,0.8,1208,2.2
SAL20471,21,0,1125,250,0,0.8,900,1.5
SAL20472,55,147,866,351,1374,0.8,1124,2.1
SAL20473,55,1517,656,300,1632,0.7,1285,2.2
SAL20474,55,1950,1002,359,2319,0.7,2189,2.4
SAL20475,43,1500,732,340,1949,0.8,1471,2.4
SAL20476,59,1603,558,350,1316,0.7,950,1.9
SAL20477,36,1265,525,175,1062,0.7,1062,2.3
SAL20478,56,867,582,175,1437,0.8,1125,2.1
SAL20479,62,0,1124,0,2250,0.5,2250,1.5
SAL20480,43,650,619,150,1521,0.8,1125,2.4
SAL20481,59,750,585,160,1042,0.7,900,2.1
SAL20482,44,1000,687,0,2833,0.8,2083,2.5
SAL20483,49,239,1125,120,2687,0.8,2416,2.6
SAL20484,47,1750,665,120,1468,0.8,1275,2.5
SAL20485,36,2167,883,350,2763,0.8,2713,3.4
SAL20486,32,1923,942,300,2297,0.9,2200,3.3
