SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL20665,7,192,461,206,179,1045,15,1060
SAL20666,110,1738,2882,921,376,6028,75,6102
SAL20667,0,0,3,5,0,10,0,13
SAL20668,0,4,5,0,6,13,0,15
SAL20669,0,12,27,13,5,67,0,66
SAL20670,175,541,224,47,7,997,3,1001
SAL20671,4,28,25,13,6,87,3,91
SAL20672,61,482,460,203,99,1307,17,1323
SAL20673,0,3,6,3,0,17,0,17
SAL20674,32,412,513,194,116,1261,11,1272
SAL20675,0,0,0,0,0,0,0,0
SAL20676,0,0,0,0,0,3,0,3
SAL20677,0,0,3,0,3,16,0,16
SAL20678,0,10,32,26,9,83,0,84
SAL20679,0,13,19,13,11,54,5,53
SAL20680,0,5,10,7,6,29,0,29
SAL20681,0,0,6,11,5,18,0,22
SAL20682,646,4580,4360,1027,615,11227,107,11335
SAL20683,16,341,796,276,195,1617,5,1621
SAL20684,55,806,1315,407,244,2836,22,2855
SAL20685,53,560,789,237,112,1754,12,1765
SAL20686,0,5,3,0,0,5,0,5
SAL20687,0,12,42,18,20,92,0,95
SAL20688,0,16,30,18,22,87,4,88
SAL20689,0,14,17,7,3,49,0,49
SAL20690,0,0,4,8,4,13,0,13
SAL20691,0,6,0,3,6,13,0,13
SAL20692,0,15,11,4,4,35,0,35
SAL20693,0,0,3,0,0,6,0,6
SAL20694,0,0,0,0,0,7,0,7
SAL20695,0,0,0,0,0,6,0,10
SAL20696,0,3,15,9,8,40,0,40
SAL20697,18,460,699,203,87,1470,10,1475
SAL20698,0,3,0,0,9,6,0,6
SAL20699,0,6,10,9,7,29,0,29
SAL20700,0,34,67,26,22,149,4,153
SAL20701,6,24,61,26,27,139,5,139
SAL20702,196,723,638,249,129,1933,49,1982
SAL20703,0,10,18,8,14,45,0,43
SAL20704,0,7,0,6,5,20,0,23
SAL20705,0,0,0,0,0,0,0,0
SAL20706,5,108,133,56,26,333,11,341
SAL20707,1200,4223,2762,846,500,9533,287,9813
SAL20708,433,2566,2838,1015,553,7401,132,7532
SAL20709,21,32,15,5,4,69,0,75
SAL20710,0,0,0,0,0,0,0,0
SAL20711,0,6,18,8,4,38,0,42
SAL20712,70,799,1285,560,396,3114,38,3151
SAL20713,0,4,4,9,3,14,0,14
SAL20714,0,14,11,12,3,35,0,35
SAL20715,0,33,93,58,61,240,5,245
SAL20716,3,24,44,37,25,127,4,135
SAL20717,0,0,0,0,0,6,0,6
SAL20718,0,43,40,25,16,133,0,130
SAL20719,0,14,19,6,0,44,0,44
SAL20720,0,3,8,0,3,20,0,19
SAL20721,79,571,423,115,42,1236,23,1264
SAL20722,0,4,12,11,9,42,0,42
SAL20723,0,26,54,18,19,119,5,125
SAL20724,7,46,109,39,7,202,0,202
SAL20725,0,4,0,0,0,7,0,7
SAL20726,0,12,26,14,14,67,0,61
SAL20727,0,17,39,18,12,84,3,81
SAL20728,48,295,305,91,38,776,9,785
SAL20729,329,2108,2221,742,357,5761,123,5894
SAL20730,95,712,772,268,158,2011,37,2044
SAL20731,158,875,964,413,257,2663,39,2701
SAL20732,0,0,3,0,0,8,0,8
SAL20733,0,6,3,3,6,12,0,12
SAL20734,0,0,0,5,3,5,0,5
SAL20735,0,0,3,4,0,10,0,10
SAL20736,0,21,53,35,29,140,0,136
SAL20737,10,203,310,102,59,687,10,700
SAL20738,0,9,23,15,5,59,0,59
SAL20739,0,0,0,0,0,0,0,0
SAL20740,0,0,0,8,0,10,0,10
SAL20741,0,48,89,49,38,226,0,228
SAL20742,0,4,4,7,3,22,5,19
SAL20743,52,496,1150,390,198,2284,35,2317
SAL20744,0,3,20,10,4,45,5,50
SAL20745,5,59,59,28,19,161,9,167
SAL20746,0,19,28,19,10,79,4,79
SAL20747,0,0,0,0,0,9,0,9
SAL20748,4,85,153,110,132,475,12,492
SAL20749,0,27,52,29,32,139,6,137
SAL20750,0,10,15,14,17,50,0,48
SAL20751,3,13,21,13,12,72,0,69
SAL20752,75,854,1873,763,554,4121,30,4158
SAL20753,0,9,14,11,7,42,0,48
SAL20754,39,636,912,266,182,2031,28,2056
SAL20755,0,0,16,3,9,29,0,28
SAL20756,48,236,261,95,71,714,14,727
SAL20757,3,14,30,16,16,79,0,76
SAL20758,114,1026,1731,564,294,3733,38,3777
SAL20759,0,8,6,10,9,33,0,33
SAL20760,3,11,10,5,0,31,8,40
SAL20761,0,12,16,11,10,49,0,49
SAL20762,0,27,50,18,26,118,0,118
SAL20763,0,0,0,4,4,12,0,12
SAL20764,0,4,21,3,10,38,0,38
SAL20765,0,5,12,10,0,22,0,22
SAL20766,3044,3514,765,96,36,7452,92,7540
SAL20767,0,0,5,3,0,5,0,5
SAL20768,0,3,11,0,4,19,3,22
SAL20769,0,31,72,47,40,194,9,193
SAL20770,33,205,225,76,47,589,18,604
SAL20771,696,4348,3554,840,378,9822,121,9937
SAL20772,458,3951,4608,1205,616,10839,102,10939
SAL20773,0,181,322,75,29,613,4,621
SAL20774,141,1220,1850,651,417,4277,39,4321
SAL20775,0,0,3,6,4,8,0,8
SAL20776,0,5,43,19,15,86,3,89
SAL20777,0,33,51,23,17,131,0,133
SAL20778,0,0,0,0,0,5,0,5
SAL20779,127,2344,4324,1230,635,8668,87,8756
SAL20780,0,3,3,0,0,9,0,9
SAL20781,0,0,0,0,0,0,0,0
SAL20782,0,5,9,13,3,26,0,26
SAL20783,287,1242,1069,322,191,3114,81,3197
SAL20784,0,9,7,6,3,24,0,25
SAL20785,0,8,3,0,4,11,0,14
SAL20786,0,3,19,7,10,34,0,34
SAL20787,0,0,3,5,7,22,0,22
SAL20788,110,991,1109,301,158,2668,36,2711
SAL20789,0,0,4,0,0,6,0,6
SAL20790,181,1933,2325,778,440,5661,74,5730
SAL20791,0,18,27,19,9,69,0,66
SAL20792,0,20,42,21,35,127,4,129
SAL20793,0,25,46,29,28,129,0,133
SAL20794,0,0,5,0,7,12,0,12
SAL20795,0,10,21,9,8,56,0,56
SAL20796,15,45,119,29,8,222,3,223
SAL20797,0,5,4,8,5,12,0,17
SAL20798,0,16,54,25,8,97,0,102
SAL20799,0,28,31,12,17,76,0,78
