SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL20011,0,0,10,12,18,21,30,6,3,106,0,0,4,9,9,16,19,4,0,61,19,26,68,69,36,16,14,5,3,250,112,399,1737,1886,578,291,184,42,12,5247
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,10,8,15,12,19,11,0,82,12,23,59,74,135,223,209,68,28,838
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,8,0,14,16,23,31,23,4,0,118
SAL20015,0,0,0,6,10,32,134,203,107,497,0,0,0,3,8,11,12,32,28,101,4,12,36,34,28,34,34,51,31,274,122,389,1280,1273,1028,890,770,562,267,6591
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,5,24,44,57,70,140,76,24,431,3,4,29,35,46,51,38,24,13,243,31,21,65,62,43,39,28,17,0,306,130,375,842,766,658,658,655,246,51,4382
SAL20018,0,0,5,9,4,11,36,97,28,173,0,0,0,0,0,0,4,15,10,34,4,4,18,34,28,37,48,34,19,239,80,242,560,815,983,854,700,476,123,4838
SAL20019,0,0,0,0,0,0,5,6,4,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,14,6,7,27,21,37,51,58,22,8,242
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,10,6,13,10,14,3,0,63
SAL20021,3,7,7,24,24,34,42,67,34,239,0,0,20,15,9,17,12,13,14,103,11,25,72,75,36,32,43,32,3,339,78,320,996,722,446,419,364,210,79,3628
SAL20022,0,0,3,7,6,9,32,61,23,137,0,0,4,0,0,4,5,0,0,22,8,16,21,9,17,36,22,27,13,170,46,111,231,279,337,418,488,280,96,2291
SAL20023,5,7,13,18,14,23,58,74,36,243,0,0,0,7,5,3,9,4,5,33,24,27,60,46,53,49,39,35,24,359,380,752,1398,1657,1517,1182,993,533,144,8558
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,9,0,0,16
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,3,0,0,15,0,3,3,14,24,6,10,4,0,68
SAL20026,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,12,16,10,0,4,61
SAL20027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,10,6,3,0,0,32,8,7,13,39,59,44,32,20,0,222
SAL20028,0,0,0,0,0,5,10,22,10,48,0,0,0,0,0,0,0,0,0,0,3,3,10,3,11,12,16,10,0,71,35,61,148,177,208,202,180,70,17,1098
SAL20029,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,8,3,5,10,23,45,33,23,4,5,150
SAL20030,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,6,0,0,18,9,9,8,23,27,21,33,8,0,136
SAL20031,0,0,0,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,21,7,4,11,20,43,31,29,12,4,154
SAL20032,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,0,0,6,17
SAL20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,0,8,6,3,9,10,3,0,54
SAL20034,0,0,9,4,5,8,21,47,36,126,0,0,0,0,0,0,8,7,6,23,8,25,52,23,26,46,19,8,0,201,87,393,922,813,829,775,494,218,97,4621
SAL20035,0,0,0,17,22,36,125,151,110,470,0,0,0,3,8,8,17,22,13,80,11,22,82,104,72,60,57,54,39,506,163,444,1375,1917,1679,1357,1135,750,336,9165
SAL20036,12,4,27,19,63,145,349,283,149,1043,0,0,19,16,35,44,63,68,38,275,35,49,141,131,129,101,144,83,70,887,371,977,2585,2657,2457,2569,1997,917,399,14925
SAL20037,0,6,16,42,49,93,214,398,237,1043,0,3,8,20,29,31,76,135,108,412,33,35,166,117,88,55,62,101,60,707,222,601,2044,2075,1508,1037,958,1000,556,9995
SAL20038,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,0,16,0,8,14,11,15,37,12,4,6,106
SAL20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,0,11,4,3,5,7,5,18,17,3,0,52
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4
SAL20041,0,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,8,4,0,17,6,9,10,24,26,44,51,20,4,199
SAL20042,0,0,0,0,0,4,7,4,4,17,0,0,0,0,0,0,0,0,0,0,5,3,11,14,10,10,4,0,0,42,6,33,71,85,110,121,90,26,11,559
SAL20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,0,11,0,5,4,11,14,24,25,9,0,82
SAL20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,5,3,0,19
SAL20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,0,10,0,0,0,0,5,5,11,0,0,29
SAL20046,0,0,3,5,0,4,12,9,17,42,0,0,5,0,0,0,0,0,3,3,3,0,16,19,18,26,39,13,12,154,43,104,254,333,361,543,613,306,102,2672
SAL20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,9,3,0,23
SAL20048,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,7,3,11,5,7,0,40
SAL20049,0,0,3,5,7,3,13,16,14,68,0,0,0,0,0,0,0,0,0,0,4,3,18,25,27,27,34,18,12,166,17,44,177,181,238,309,319,143,54,1494
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,12
SAL20051,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,7,3,9,9,0,0,34
SAL20052,0,0,0,0,0,3,6,3,0,11,0,0,0,0,0,0,0,0,0,0,3,0,5,0,12,17,8,8,0,51,4,18,24,23,39,79,60,22,3,283
SAL20053,10,5,17,19,22,42,113,123,88,435,0,3,7,4,11,17,15,7,3,70,22,41,123,100,97,87,78,71,31,646,200,451,1175,946,1052,1173,1093,664,300,7047
SAL20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,3,5,3,8,18,17,17,4,0,80
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,9,8,13,16,19,45,26,26,12,0,169
SAL20057,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,4,9,10,13,21,7,7,3,76
SAL20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,18
SAL20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12
SAL20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,4,0,13
SAL20061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,4,4,8,7,7,0,0,33
SAL20062,0,0,10,3,21,23,38,49,34,176,0,0,8,10,19,16,16,18,40,132,8,28,75,50,39,34,30,16,8,284,54,156,601,549,397,276,257,150,107,2548
SAL20063,0,0,3,0,6,4,11,4,0,27,0,0,5,0,0,0,0,3,0,5,3,3,11,3,9,9,5,5,0,55,19,19,54,55,70,90,54,29,0,400
SAL20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,3,0,3,0,18
SAL20065,0,0,0,0,3,0,4,13,7,21,0,0,0,0,0,0,0,0,0,0,3,0,5,5,6,6,10,12,0,42,3,11,19,22,30,46,53,40,8,231
SAL20066,0,0,5,0,3,5,17,49,29,112,0,0,3,0,0,0,0,12,5,28,11,39,60,58,59,19,40,57,31,372,111,661,1938,1388,1186,901,898,642,214,7939
SAL20067,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,7,4,10,13,25,10,4,0,75
SAL20068,7,0,12,10,3,15,27,24,26,125,0,0,0,4,4,0,0,0,0,14,14,35,70,55,42,24,12,12,8,269,208,836,2696,1971,933,637,471,186,102,8042
SAL20069,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,7,0,9,48
SAL20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,19
SAL20071,0,0,0,0,0,6,5,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,3,0,23,11,34,32,36,63,93,76,41,6,399
SAL20072,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,5,0,0,0,17,5,13,19,58,67,67,55,31,13,321
SAL20073,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,7,0,10,12,17,6,8,3,72
SAL20074,3,0,0,3,12,3,20,28,8,80,0,0,0,3,0,3,0,0,0,16,8,8,17,21,11,12,9,12,0,97,49,130,362,368,261,297,245,121,20,1860
SAL20075,0,6,24,25,34,43,82,147,91,464,0,4,28,13,21,22,20,40,39,188,22,47,181,125,120,96,53,50,16,712,246,935,2650,2505,2146,1700,1118,554,228,12080
SAL20076,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,3,4,0,22,6,0,12,30,42,44,29,6,0,183
SAL20077,5,0,0,6,3,18,32,46,40,148,0,0,0,8,5,7,11,7,4,40,0,14,28,32,24,16,33,32,54,236,169,453,712,1041,1245,1017,694,420,227,5978
SAL20078,0,0,3,8,14,28,58,60,55,218,0,0,9,10,9,10,17,15,5,73,4,21,56,37,30,33,44,29,15,271,125,441,1040,1017,958,799,609,413,259,5665
SAL20079,7,6,8,3,0,5,24,35,37,123,0,0,0,3,4,3,3,6,0,24,10,10,21,24,30,36,29,32,6,198,162,350,656,1069,1126,929,622,378,141,5433
SAL20080,0,0,0,0,19,24,30,52,27,151,0,0,0,0,11,15,14,15,9,64,3,6,10,25,17,22,29,29,22,169,167,432,492,782,1049,939,564,385,155,4968
SAL20081,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,14,4,10,24,8,23,20,8,4,0,105
SAL20082,0,0,0,3,6,21,30,33,7,107,0,0,0,0,0,3,6,4,3,20,6,0,8,4,19,15,11,8,0,81,96,245,318,364,584,567,290,101,25,2590
SAL20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAL20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL20085,0,0,0,0,0,6,7,0,0,5,0,0,0,0,0,0,0,0,0,4,3,3,0,5,0,0,0,0,0,19,16,10,21,34,35,34,31,15,0,197
SAL20086,5,0,4,4,0,4,11,13,6,40,4,0,4,0,0,0,0,0,0,9,3,0,0,3,3,7,9,9,0,29,22,50,87,133,146,174,180,90,26,901
SAL20087,0,0,0,7,9,10,25,41,21,111,0,0,0,0,0,0,0,0,0,0,8,5,4,17,11,12,35,17,3,110,30,43,122,118,172,169,265,127,49,1099
SAL20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20089,0,3,3,12,28,78,267,473,269,1131,0,0,0,10,20,21,61,100,49,271,10,19,64,59,49,58,91,130,120,605,206,597,1372,1656,1506,1370,1425,1280,604,10020
SAL20090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,8,6,7,0,33
SAL20091,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,9,4,4,0,29,23,34,81,129,114,133,81,31,7,643
SAL20092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,9,0,3,0,26,15,20,23,53,77,67,48,22,3,330
SAL20093,0,0,3,0,4,7,10,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,14,11,11,14,7,0,66,19,32,138,112,124,128,118,41,7,725
SAL20094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,6,6,4,3,4,0,30
SAL20095,4,7,11,6,16,33,73,104,48,310,0,0,4,6,8,3,10,4,0,30,15,13,59,42,35,45,70,68,19,373,135,395,1196,962,881,832,940,596,181,6108
SAL20096,0,0,0,0,0,5,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,11,0,0,24,6,18,34,29,45,69,66,15,3,294
SAL20097,0,0,4,4,6,8,14,15,9,63,0,0,0,0,0,0,0,3,0,3,3,3,5,9,8,16,10,6,3,76,35,72,214,180,193,257,220,82,27,1285
SAL20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,10
SAL20099,0,0,0,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,5,3,8,6,0,0,0,25,8,12,45,40,47,61,37,8,3,272
SAL20100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,7,11,8,5,8,5,42
SAL20101,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,3,6,4,9,5,9,0,44
SAL20102,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,8,0,0,5,16,19,32,17,3,3,95
SAL20103,6,7,25,10,34,39,77,129,65,392,0,0,0,4,0,8,4,8,0,32,25,32,62,66,63,95,99,112,101,656,191,439,999,814,872,1021,978,727,318,6360
SAL20104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,13,0,24,41,20,26,19,16,9,0,149
SAL20105,0,0,0,0,0,11,13,30,10,68,0,0,0,4,0,3,6,6,0,33,10,40,99,67,32,28,39,21,6,353,65,393,1409,990,659,476,369,170,56,4590
SAL20106,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,6,21,14,6,5,0,88
SAL20107,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,10,4,4,5,3,3,39
SAL20108,3,0,3,8,9,23,30,46,20,127,0,0,0,0,0,0,0,0,0,0,4,0,18,19,17,27,42,28,14,170,69,140,390,446,424,499,379,221,88,2668
SAL20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,10,5,10,12,9,3,3,0,55
SAL20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,11
SAL20111,0,4,9,9,4,16,29,28,18,110,0,3,0,0,0,0,4,6,0,13,10,29,38,38,47,44,50,52,45,352,105,399,808,698,711,722,600,285,121,4446
SAL20112,0,4,12,14,13,32,47,59,72,262,0,0,7,5,6,5,8,0,3,29,14,24,44,48,42,23,46,63,92,396,120,373,888,695,629,706,715,468,329,4922
SAL20113,0,0,0,0,9,7,25,48,50,139,0,0,0,0,0,0,0,5,0,9,4,9,27,25,21,25,14,25,26,184,71,215,501,493,488,500,419,330,195,3206
SAL20114,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,6,5,3,11,16,22,30,11,0,95
SAL20115,0,0,0,0,5,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,9,9,7,6,0,0,29,9,5,22,43,42,38,35,8,0,202
SAL20116,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,10,7,3,0,33,9,15,10,29,25,19,37,7,6,152
SAL20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,10,9,10,0,3,56
SAL20118,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,13,0,0,13,13,22,20,15,17,0,110
SAL20119,0,0,0,0,0,0,3,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,21,3,12,10,23,46,51,42,26,3,233
SAL20120,0,0,0,0,0,0,4,11,13,34,0,0,0,0,0,0,0,0,0,0,3,4,19,18,26,19,12,10,5,116,48,76,157,309,324,342,319,184,57,1830
SAL20121,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,3,5,28,8,16,19,41,57,70,96,65,18,391
SAL20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SAL20123,5,0,0,10,15,24,54,97,72,266,0,0,4,10,16,11,14,25,11,83,19,28,36,45,69,31,57,57,49,395,285,900,1346,1677,1916,1677,1401,937,509,10644
SAL20124,3,5,3,9,26,41,76,176,125,459,0,5,0,19,21,23,18,25,26,142,35,35,52,53,94,70,53,61,47,495,593,1458,1834,2292,3378,2913,1905,1209,622,16202
SAL20125,0,0,0,0,0,3,6,0,6,15,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,5,3,4,0,29,14,21,50,68,64,79,58,22,5,374
SAL20126,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,7,12,5,5,3,0,38,15,19,27,33,44,36,31,21,0,220
SAL20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,6,16,18,28,15,9,0,91
SAL20128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,3,8,0,32
SAL20129,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,10,4,0,0,0,4,0,25,112,128,155,108,55,40,36,18,4,644
SAL20130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,8,10,3,10,0,44
SAL20131,0,0,0,0,3,8,25,42,13,91,0,0,3,3,0,0,0,4,0,13,0,6,0,6,7,0,17,36,20,89,4,21,24,31,55,81,207,214,71,708
SAL20132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,11,3,4,17,15,3,8,4,6,0,58
SAL20133,0,3,8,11,11,21,29,41,18,139,0,0,0,0,7,0,4,8,0,21,11,12,20,49,25,19,29,47,54,273,139,276,815,981,844,560,545,278,117,4564
SAL20134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,0,19
SAL20135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,0,0,19
SAL20136,0,0,0,0,0,3,16,35,64,129,0,0,0,0,0,0,0,0,0,6,6,3,9,10,10,0,8,18,27,93,57,122,398,381,370,297,243,187,158,2211
SAL20137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,9,10,6,24,11,8,0,73
SAL20138,0,0,0,0,0,6,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,12,15,25,33,37,25,3,156
SAL20139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,15
SAL20140,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,8,0,0,6,19,14,24,36,10,0,114
SAL20141,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,0,3,5,25,8,16,42,49,62,99,75,29,10,388
SAL20142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,6,0,0,4,14,11,6,6,0,39
SAL20143,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,11,5,3,18,0,0,0,35
SAL20144,0,0,0,0,0,6,3,9,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,3,0,0,13,3,11,15,14,35,46,54,19,6,198
SAL20145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,11
SAL20146,0,0,6,0,0,6,6,9,0,22,0,0,0,0,0,0,0,0,0,0,6,4,12,12,8,8,6,5,0,65,32,42,128,128,139,151,92,36,3,753
