SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL20011,114,156,265,50,54,104,0,0,0,40,43,77,0,0,0,751,777,1527,14,7,21,113,109,221,7,9,13,8,16,26,0,0,0,54,49,103,46,50,100,76,90,168,10,16,28,0,0,0,17,9,33,12,15,30,126,134,256,0,0,0,1333,1387,2720,642,639,1281,320,323,645,0,0,0,0,0,0,860,820,1688,9,9,17,869,835,1706,487,456,944,6,0,9,0,5,5,494,461,953,204,211,419,3975,4005,7982
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,6,7,12,25,35,58,0,0,0,0,3,9,0,0,0,63,68,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,13,15,28,0,4,4,0,0,0,111,137,242,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,302,305,610,5,0,12,0,0,0,309,313,622,48,43,94,480,498,979
SAL20014,0,0,0,17,17,35,0,0,0,0,0,0,0,0,0,11,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,0,0,0,0,0,0,34,39,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,63,0,0,0,0,0,0,35,32,63,5,8,17,77,80,160
SAL20015,55,99,157,159,222,379,3,0,3,21,24,45,0,0,0,1719,1904,3622,0,5,3,218,251,473,6,8,24,4,4,10,0,7,10,4,10,14,6,5,9,31,30,60,32,43,81,3,7,4,3,8,6,68,76,142,57,82,143,4,0,7,2345,2688,5042,89,66,147,101,64,164,0,0,0,0,0,0,18,28,39,8,10,18,21,35,54,1185,1038,2220,3,11,13,3,8,11,1192,1059,2250,168,183,350,3979,4191,8173
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,350,428,773,62,65,126,0,0,0,157,131,283,0,0,0,755,719,1474,0,0,0,119,128,245,5,7,14,0,6,0,0,3,4,14,23,38,13,21,30,31,39,70,19,18,35,0,0,0,4,6,13,18,42,63,132,130,267,0,0,0,1336,1330,2662,63,38,104,240,207,448,0,0,0,0,0,0,68,48,114,4,0,10,71,54,124,576,515,1097,0,7,7,4,12,20,584,537,1118,207,201,411,2849,2796,5641
SAL20018,27,49,76,224,297,521,0,0,0,13,17,32,0,0,0,498,649,1149,0,0,3,276,301,579,9,3,10,0,0,0,6,9,17,4,6,12,5,3,11,7,10,17,36,28,66,3,0,6,0,4,5,39,57,99,29,50,78,4,0,9,1170,1435,2605,80,60,143,8,16,25,25,18,39,0,0,0,7,0,8,5,7,11,8,12,13,1384,1413,2803,8,12,21,5,10,15,1401,1433,2836,141,161,305,2865,3176,6044
SAL20019,0,0,0,19,17,36,0,0,0,4,0,5,0,0,0,12,20,37,0,0,0,5,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,3,11,15,3,4,8,0,0,0,60,59,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,80,150,0,0,0,0,0,0,81,80,157,12,5,21,147,150,297
SAL20020,0,0,0,8,6,12,0,0,0,0,0,0,0,0,0,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,18,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,31,0,0,0,0,0,0,19,12,31,4,5,8,32,40,76
SAL20021,113,142,255,72,89,161,0,0,0,23,27,47,0,0,0,476,477,951,0,0,0,63,51,112,10,14,25,4,4,4,5,7,12,11,12,29,14,11,22,24,18,44,22,26,46,0,0,0,0,0,7,20,23,42,76,64,137,3,0,7,811,828,1646,255,127,379,197,98,292,4,4,9,0,0,0,43,32,71,0,15,18,47,41,90,672,592,1262,14,0,15,6,9,14,692,606,1295,206,155,360,2328,2006,4334
SAL20022,4,9,13,159,203,364,0,0,0,27,22,53,0,0,0,208,224,430,0,0,3,5,9,12,5,6,12,0,0,0,0,4,4,0,0,0,0,4,0,6,10,14,23,31,60,0,3,3,6,3,6,51,95,144,21,32,50,0,0,0,512,647,1160,0,3,8,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,3,3,12,740,678,1417,3,0,3,3,7,9,746,689,1431,91,79,172,1359,1439,2801
SAL20023,70,73,143,382,508,893,0,0,0,51,46,96,19,13,32,1302,1539,2836,39,57,96,47,47,93,3,14,21,3,0,5,15,23,42,9,9,18,17,14,24,38,48,91,92,130,222,4,14,15,10,11,21,206,310,512,83,103,182,0,0,0,2316,2887,5204,177,158,327,86,68,152,0,0,4,0,0,0,47,40,88,15,15,25,57,54,117,2743,2530,5271,17,11,23,7,13,22,2756,2545,5309,282,290,575,5747,6078,11822
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,5,6,10,3,0,0,13,11,24
SAL20025,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,51,0,0,0,0,0,0,24,20,51,12,13,26,47,43,96
SAL20026,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,11,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,30,0,0,0,0,0,0,14,15,30,4,4,4,32,32,61
SAL20027,0,0,0,12,21,32,0,0,0,0,0,0,0,0,0,31,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,3,6,0,0,0,0,0,0,9,3,11,0,0,4,0,0,0,59,61,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,54,124,0,0,3,0,0,0,70,59,130,29,25,50,157,142,297
SAL20028,3,0,3,42,54,99,0,0,0,6,6,10,0,0,0,147,183,326,3,3,6,4,0,4,0,0,0,0,0,0,7,6,4,0,0,0,0,0,0,4,9,16,30,21,54,0,0,0,0,0,0,38,46,78,9,12,23,0,0,0,291,342,627,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,337,321,655,4,6,7,0,0,0,335,324,662,64,44,107,689,715,1410
SAL20029,0,3,3,17,7,23,0,0,0,0,3,3,0,0,0,18,15,30,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,6,7,8,0,5,3,0,0,0,44,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,37,85,0,0,0,0,0,0,49,40,83,6,11,16,91,96,185
SAL20030,0,0,0,5,9,10,0,0,0,0,0,0,0,0,0,8,15,22,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,0,0,3,0,0,0,0,0,0,6,3,7,5,5,13,0,0,0,39,36,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,80,0,0,0,0,0,0,38,35,80,14,5,20,92,82,168
SAL20031,0,0,0,16,11,22,0,0,0,0,0,0,0,0,0,13,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,36,37,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,91,0,0,0,0,0,0,46,43,91,16,15,34,100,92,195
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,27,0,0,0,0,0,0,10,16,27,0,0,0,11,18,31
SAL20033,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,26,0,0,0,0,0,0,11,16,26,3,6,12,36,31,66
SAL20034,36,63,99,119,138,252,0,0,0,14,19,34,0,0,0,474,530,1004,0,3,3,156,177,336,4,7,13,0,0,0,3,9,13,0,4,5,0,5,10,7,8,13,14,18,29,0,0,0,0,5,7,45,65,111,35,55,94,0,0,0,880,1035,1916,28,20,52,17,15,33,10,19,32,0,5,5,5,4,14,13,16,30,23,21,40,1526,1611,3135,25,18,40,9,20,27,1557,1645,3206,166,151,318,2728,2973,5702
SAL20035,65,105,168,327,429,754,0,0,0,55,67,121,0,0,0,1476,1751,3228,4,7,13,193,198,395,10,12,24,7,3,16,21,37,56,13,15,18,17,20,32,19,28,47,68,78,149,11,15,25,3,5,11,76,124,201,88,113,199,0,3,3,2388,2890,5278,55,72,130,98,110,209,4,9,13,0,0,0,18,9,30,12,17,31,34,23,62,2419,2435,4860,43,34,70,0,10,12,2458,2484,4945,359,328,691,5468,6023,11490
SAL20036,244,364,606,415,596,1007,0,0,0,74,85,156,0,0,0,2608,3049,5661,11,18,30,616,612,1228,27,22,55,10,11,25,27,40,66,26,25,50,49,61,106,59,78,134,68,120,184,6,11,21,14,17,28,89,142,227,244,280,525,0,0,0,4350,5166,9513,217,190,407,413,401,819,5,5,3,0,0,0,70,51,120,25,22,45,87,79,166,2995,2738,5734,27,19,47,16,22,38,3041,2777,5815,596,554,1151,8939,9535,18479
SAL20037,175,233,411,153,231,380,0,0,0,32,51,85,0,0,0,1526,1853,3380,3,3,6,527,578,1106,25,23,46,3,5,10,10,22,36,13,13,27,22,23,45,24,43,69,30,60,90,0,5,4,4,3,6,35,59,96,143,182,331,4,5,13,2563,3160,5717,105,74,176,1047,1012,2062,3,7,12,0,0,0,22,19,33,21,24,40,38,44,80,1820,1713,3528,17,7,24,6,4,6,1838,1727,3568,484,458,944,6254,6713,12962
SAL20038,0,0,0,7,0,6,0,0,0,0,3,3,0,0,0,21,21,40,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,0,36,38,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,48,0,0,0,0,0,0,25,24,51,5,12,12,67,68,141
SAL20039,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,39,0,0,0,0,0,0,22,18,39,6,4,15,30,32,63
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
SAL20041,0,0,0,18,14,35,0,0,0,0,0,0,0,0,0,21,17,41,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,3,14,16,0,0,0,0,0,0,52,53,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,48,91,0,0,0,0,0,0,46,48,93,9,11,21,109,115,223
SAL20042,4,0,3,24,30,51,0,0,0,11,9,21,0,0,0,65,69,130,0,0,0,0,4,5,0,0,0,4,0,3,0,0,0,0,0,0,0,3,3,4,4,7,13,21,37,0,0,0,0,0,0,20,20,38,12,8,17,7,4,4,151,162,315,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,157,329,3,0,3,0,0,0,168,157,333,47,36,79,373,362,734
SAL20043,0,0,0,7,6,15,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,3,4,7,0,0,0,22,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,39,0,0,0,0,0,0,18,21,39,10,4,13,48,48,99
SAL20044,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,0,0,0,0,0,0,11,9,13,3,4,3,13,9,26
SAL20045,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,10,3,11,21,13,31
SAL20046,4,8,12,133,169,301,0,0,0,28,37,71,0,0,0,230,286,514,0,0,0,13,4,11,0,0,3,4,0,6,7,8,16,0,0,0,0,3,3,0,3,3,24,34,50,0,0,0,0,3,3,63,96,151,24,23,49,5,0,4,517,660,1174,0,3,0,4,3,5,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,911,823,1734,7,8,14,3,6,9,920,834,1755,125,120,248,1574,1637,3208
SAL20047,0,0,0,7,4,10,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,0,0,3,0,0,0,15,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,0,0,0,0,0,0,6,5,13,0,0,3,21,16,40
SAL20048,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,17,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,18,0,0,0,0,0,0,17,7,18,0,0,0,29,23,53
SAL20049,12,18,27,79,95,171,0,0,0,10,3,10,0,0,0,96,97,194,0,0,3,19,13,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,13,7,20,0,0,0,4,0,3,39,43,74,9,16,28,0,0,0,264,288,552,13,4,15,6,13,19,0,0,4,0,0,0,0,3,5,0,4,8,3,6,13,464,450,913,0,0,0,0,4,4,469,451,918,129,110,239,897,890,1790
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,3,4,12
SAL20051,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,0,0,0,0,0,0,13,9,17,0,0,0,20,18,38
