SAL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SAL20011,48,61,105,3,3,4,0,0,0,0,3,3,9,4,11,1378,816,2190,52,82,137,25,0,25,0,0,0,0,0,0,18,6,28,4,10,16,1537,981,2517,10,21,24,0,0,0,0,4,4,11,6,19,0,5,5,0,0,4,18,37,54,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,9,12,19,30,44,78,7,18,24,0,0,0,0,0,0,7,18,25,419,470,890,140,235,376,13,7,19,2144,1759,3901
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,79,181,4,8,10,5,0,5,0,0,0,4,0,0,3,5,3,8,12,17,119,99,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,92,174,28,33,58,0,0,0,226,229,454
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,44,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,26,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,25,0,9,7,0,0,0,39,41,86
SAL20015,21,15,38,13,6,17,0,0,0,4,19,21,5,6,10,1301,837,2134,57,63,117,11,0,15,10,0,8,17,0,17,6,3,16,28,27,53,1476,980,2454,0,3,5,0,0,0,9,6,16,4,10,14,0,0,0,0,0,0,17,19,39,0,0,0,0,4,6,0,4,4,0,0,0,0,0,0,5,3,9,18,11,31,39,31,70,0,7,9,0,0,0,4,3,4,0,7,12,448,687,1136,185,327,509,4,6,6,2149,2039,4189
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,23,22,40,3,7,10,0,0,0,0,0,0,0,4,3,839,479,1321,53,76,135,10,0,10,6,0,6,3,0,3,6,4,8,3,5,3,945,600,1544,4,10,14,0,0,0,0,0,0,9,7,9,3,3,4,4,0,4,18,20,38,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,3,9,10,8,17,28,27,49,4,13,20,0,0,0,0,0,0,4,13,20,103,160,270,83,105,184,10,0,14,1175,908,2086
SAL20018,8,0,9,0,0,3,0,0,0,47,53,105,4,3,4,515,317,829,23,32,54,5,0,4,10,0,12,34,35,67,5,14,16,71,65,136,721,519,1237,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,12,13,25,0,0,4,0,0,0,0,0,5,3,3,6,683,797,1478,131,216,349,4,14,20,1560,1560,3117
SAL20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,63,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,9,40,32,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,19,0,9,5,0,0,5,60,50,113
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,15,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,16,24,38
SAL20021,87,71,155,6,27,30,0,0,0,0,0,0,4,4,13,607,285,897,40,37,79,12,0,12,10,5,11,8,0,13,4,6,7,11,22,29,791,458,1246,6,16,23,0,0,0,6,9,14,4,4,8,0,0,0,10,0,4,25,29,59,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,4,10,5,10,30,39,72,3,6,12,0,0,0,0,0,0,3,6,12,210,238,446,112,135,243,10,5,9,1154,879,2038
SAL20022,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,389,316,702,23,18,35,7,0,7,0,0,0,10,0,9,3,0,8,48,43,89,477,373,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,62,77,138,47,98,142,3,7,14,593,561,1158
SAL20023,16,0,17,8,11,20,0,0,0,0,0,0,11,11,21,1934,1811,3742,153,176,336,19,0,19,10,0,15,28,5,32,13,3,18,31,21,50,2223,2045,4268,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,3,7,19,11,34,29,16,45,4,0,5,0,0,0,0,0,0,4,3,4,405,463,867,269,450,717,10,15,19,2930,2989,5921
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,4,8
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,14,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,0,0,3,0,0,0,24,19,39
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,4,6,11,0,0,0,20,10,31
SAL20027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,89,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,52,48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,21,12,6,16,0,0,4,75,66,143
SAL20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,247,498,15,7,32,6,0,6,3,5,8,3,0,3,0,0,0,15,7,24,304,261,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,39,49,93,26,52,79,4,4,11,385,372,756
SAL20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,26,59,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16,6,6,6,0,0,3,52,41,88
SAL20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,45,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,5,6,0,0,0,34,30,63
SAL20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,59,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,40,39,77
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10
SAL20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,14,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,19,17,26
SAL20034,46,47,96,6,13,24,0,0,0,0,0,3,0,4,7,518,473,993,22,37,55,3,0,3,11,0,12,56,47,97,9,6,9,29,29,58,710,649,1360,7,3,6,0,0,0,5,4,9,4,0,8,0,0,0,0,0,0,19,7,23,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,4,10,10,11,19,29,21,49,3,0,7,0,0,0,0,0,0,5,0,5,684,785,1467,149,259,405,6,3,6,1576,1721,3299
SAL20035,74,89,159,3,18,25,0,0,0,0,0,0,0,0,3,1398,958,2353,58,79,138,10,0,10,14,0,12,34,18,51,15,11,27,33,55,89,1636,1231,2870,8,22,24,0,0,0,5,13,21,8,4,16,0,0,0,4,6,11,27,46,71,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,3,17,7,20,39,57,97,6,5,13,0,0,0,0,0,0,6,5,13,901,1136,2037,246,413,655,9,15,25,2845,2855,5699
SAL20036,92,88,185,13,24,39,3,0,0,0,0,0,9,16,21,2761,1886,4640,120,167,287,33,0,34,19,0,26,24,6,25,23,13,35,25,31,52,3112,2231,5344,10,24,38,0,0,0,3,4,7,15,11,33,8,4,9,8,3,13,45,57,100,0,0,0,0,0,0,8,3,7,6,7,12,0,0,0,11,7,20,44,16,56,90,79,169,15,20,33,0,0,0,0,0,0,21,20,40,815,1201,2017,381,621,1003,21,17,43,4440,4176,8617
SAL20037,33,25,61,20,40,62,0,0,5,0,0,0,4,5,14,1653,982,2636,69,88,163,21,0,27,6,0,13,27,11,34,12,12,29,30,25,51,1890,1190,3078,14,24,35,0,0,0,0,0,0,17,14,24,0,0,3,0,0,5,31,36,68,0,0,0,7,4,12,5,0,3,3,0,4,0,3,3,12,10,20,24,6,30,66,52,122,6,16,23,0,0,0,0,0,0,6,16,25,726,941,1665,212,358,570,15,11,29,2917,2565,5482
SAL20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,0,7,7,0,0,0,33,33,65
SAL20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,15,11,24
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,31,37,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,23,7,5,6,0,0,0,50,50,97
SAL20042,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,112,88,201,4,6,11,8,0,8,0,0,0,0,0,0,0,0,0,11,3,15,132,99,236,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,78,20,24,38,4,0,6,192,168,357
SAL20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,6,10,0,0,0,23,20,48
SAL20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,11,4,9
SAL20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3
SAL20046,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,368,305,675,23,14,36,3,0,3,0,0,5,6,3,14,6,3,9,23,26,50,446,347,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,204,238,441,77,115,192,9,14,20,736,724,1460
SAL20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,14,8,21
