SAL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SAL20648,..,0,11,24,31,51,40,43,7,210,..,5,20,14,10,0,6,4,0,59,..,0,0,3,0,0,0,0,0,8,92,..,..,..,..,..,..,..,..,92,..,17,..,..,..,..,..,..,..,17,..,9,10,0,5,3,0,0,0,32,..,4,0,0,4,0,5,0,0,7,..,0,3,0,0,0,0,0,0,7,..,0,3,0,3,3,0,0,0,14,..,0,13,0,12,31,24,7,6,98,0,0,0,3,0,0,0,0,0,16,92,41,63,46,61,101,76,61,18,565,..,3,9,29,32,57,50,29,4,209,..,9,21,15,12,8,3,0,0,63,..,0,7,13,4,0,0,0,0,34,97,..,..,..,..,..,..,..,..,97,..,20,..,..,..,..,..,..,..,20,..,8,0,0,0,0,0,0,0,9,..,4,0,0,0,0,4,4,0,11,..,0,0,0,0,0,0,0,0,0
SAL20649,..,0,0,6,9,4,8,6,0,22,..,0,7,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,6,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,3,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,6,7,3,12,5,0,59,..,0,0,4,3,6,6,0,0,19,..,0,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20650,..,0,0,0,0,4,0,0,3,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,5,3,0,6,5,0,0,3,26,..,0,0,0,0,9,0,4,0,5,..,0,7,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,5,..,..,..,..,..,..,..,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20651,..,0,0,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,5,5,5,0,30,..,0,0,0,0,5,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20652,..,0,0,4,0,3,5,0,0,16,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,4,..,0,0,0,0,5,3,5,0,11,0,0,0,0,0,0,0,0,0,0,6,0,3,3,4,7,16,0,0,36,..,0,0,0,0,5,3,0,0,13,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20653,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20654,..,0,5,12,26,40,42,13,0,139,..,0,3,0,6,6,3,0,0,20,..,0,0,0,0,0,0,0,0,8,54,..,..,..,..,..,..,..,..,54,..,15,..,..,..,..,..,..,..,15,..,19,14,5,0,0,0,0,0,33,..,0,0,0,0,0,4,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,4,0,0,7,..,0,0,0,0,4,9,0,0,9,0,0,4,0,0,0,0,0,0,4,54,36,24,19,29,55,59,14,0,295,..,0,3,16,25,47,33,10,0,137,..,0,5,5,8,9,3,0,0,27,..,0,0,5,6,0,0,0,0,11,36,..,..,..,..,..,..,..,..,36,..,26,..,..,..,..,..,..,..,26,..,12,3,0,0,0,0,0,0,15,..,0,0,0,0,0,6,0,0,6,..,0,0,0,0,0,0,0,0,0
SAL20655,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20656,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20657,..,0,65,146,157,224,357,212,31,1189,..,8,57,47,44,50,24,14,0,241,..,0,0,6,18,11,3,3,0,41,457,..,..,..,..,..,..,..,..,457,..,83,..,..,..,..,..,..,..,83,..,70,40,22,13,6,0,0,0,152,..,9,9,6,3,5,3,5,0,38,..,5,12,5,0,0,0,0,0,20,..,6,23,10,9,13,14,3,0,77,..,5,24,34,59,86,98,66,29,402,0,6,12,4,12,20,12,9,0,71,457,203,235,278,317,405,510,307,65,2774,..,4,89,153,172,271,343,149,18,1204,..,19,77,47,39,44,25,10,4,258,..,4,29,61,65,30,25,15,6,239,421,..,..,..,..,..,..,..,..,421,..,97,..,..,..,..,..,..,..,97,..,40,13,13,9,10,0,0,0,90,..,10,6,0,0,11,10,7,4,49,..,10,5,7,7,0,0,0,0,26
SAL20658,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,18,..,0,0,4,0,0,0,0,0,4,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20659,..,0,7,12,13,23,26,6,0,79,..,0,5,3,6,7,4,0,0,17,..,0,0,0,0,0,0,0,0,0,24,..,..,..,..,..,..,..,..,24,..,3,..,..,..,..,..,..,..,3,..,8,4,0,0,0,0,0,0,18,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,24,18,11,13,21,29,32,9,4,166,..,0,12,8,13,22,17,4,0,80,..,0,0,3,4,3,4,0,0,22,..,0,0,3,0,0,0,0,0,10,24,..,..,..,..,..,..,..,..,24,..,8,..,..,..,..,..,..,..,8,..,3,8,0,0,4,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20660,..,0,0,7,0,6,7,0,0,15,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,3,6,7,0,0,29,..,0,0,0,0,4,9,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20661,..,75,2148,4524,2490,1858,1049,342,60,12543,..,104,514,293,207,143,43,6,0,1320,..,7,31,76,129,113,53,14,7,422,8300,..,..,..,..,..,..,..,..,8300,..,1918,..,..,..,..,..,..,..,1918,..,1447,1193,283,103,31,4,0,0,3059,..,245,330,114,78,95,76,34,12,982,..,130,207,80,33,23,5,0,0,481,..,258,337,100,64,58,25,8,0,854,..,55,263,270,226,239,142,62,19,1274,39,41,48,45,28,21,14,4,0,241,8336,4267,5077,5777,3372,2576,1404,474,103,31388,..,211,3295,4295,2195,1541,801,195,21,12555,..,159,534,281,231,115,37,10,0,1367,..,45,329,557,631,311,138,64,39,2108,7689,..,..,..,..,..,..,..,..,7689,..,2104,..,..,..,..,..,..,..,2104,..,941,779,156,71,29,10,0,0,1988,..,169,179,47,80,216,240,119,63,1106,..,99,96,27,7,19,5,0,0,256
SAL20662,..,11,463,803,648,607,465,207,43,3246,..,73,298,176,127,73,41,9,0,812,..,7,18,45,69,67,24,11,5,241,2050,..,..,..,..,..,..,..,..,2050,..,481,..,..,..,..,..,..,..,481,..,500,338,130,40,23,8,0,0,1033,..,76,129,37,41,36,32,18,9,381,..,47,79,25,26,13,10,0,0,201,..,80,130,45,46,56,26,11,0,401,..,24,106,140,207,202,131,59,28,909,23,33,41,20,20,18,9,5,0,173,2078,1339,1608,1433,1221,1097,743,325,96,9937,..,33,676,776,653,562,386,152,26,3260,..,123,301,158,119,81,23,12,0,814,..,26,158,250,262,149,62,35,18,955,1870,..,..,..,..,..,..,..,..,1870,..,526,..,..,..,..,..,..,..,526,..,310,209,49,29,12,8,0,0,616,..,84,66,9,32,68,62,48,21,382,..,52,41,22,5,7,0,0,0,123
SAL20663,..,16,727,1855,915,490,321,234,86,4643,..,77,269,200,95,50,9,3,0,705,..,0,21,31,38,30,12,0,0,135,3374,..,..,..,..,..,..,..,..,3374,..,708,..,..,..,..,..,..,..,708,..,508,237,51,29,0,3,0,0,827,..,114,136,41,17,23,28,6,4,374,..,49,87,36,17,5,6,6,0,210,..,34,88,22,16,14,9,5,0,190,..,18,76,72,51,39,32,54,24,363,23,21,15,3,11,4,3,0,0,79,3393,1540,1657,2306,1190,676,412,314,113,11600,..,54,1138,1767,774,361,312,201,44,4658,..,111,283,182,93,30,18,5,4,730,..,34,137,209,216,85,36,17,9,743,3069,..,..,..,..,..,..,..,..,3069,..,784,..,..,..,..,..,..,..,784,..,356,170,28,11,8,3,0,0,573,..,83,61,22,29,83,96,33,14,425,..,37,42,15,13,6,4,0,0,118
SAL20664,..,17,572,1552,1101,684,377,128,22,4457,..,66,284,169,123,85,18,6,0,750,..,4,21,37,53,35,18,14,0,178,3184,..,..,..,..,..,..,..,..,3184,..,770,..,..,..,..,..,..,..,770,..,511,379,100,34,8,4,0,0,1041,..,99,102,39,29,32,26,19,6,351,..,51,74,38,19,18,0,0,0,208,..,44,97,27,24,28,15,4,0,248,..,14,83,112,107,102,55,34,3,517,22,20,16,27,13,4,3,0,0,112,3208,1600,1632,2108,1505,991,522,213,42,11815,..,57,938,1601,940,569,288,91,9,4501,..,71,323,164,134,50,20,0,0,764,..,26,125,237,260,141,38,37,12,879,2982,..,..,..,..,..,..,..,..,2982,..,873,..,..,..,..,..,..,..,873,..,373,247,25,20,14,3,0,0,679,..,70,64,17,25,86,72,58,17,410,..,50,42,12,10,3,0,0,0,126
SAL20665,..,3,76,158,122,121,92,45,8,625,..,22,93,38,19,15,3,0,0,192,..,0,0,0,9,5,0,0,0,18,308,..,..,..,..,..,..,..,..,308,..,57,..,..,..,..,..,..,..,57,..,71,52,15,10,3,0,0,0,139,..,4,9,6,3,3,8,3,6,35,..,9,6,4,0,0,4,3,0,26,..,0,19,7,0,3,0,3,0,29,..,6,22,10,3,19,16,8,5,80,0,3,4,4,0,0,0,0,0,15,308,164,284,242,162,176,130,58,17,1525,..,5,118,155,112,128,87,29,4,630,..,23,109,26,17,14,7,0,0,194,..,3,10,20,28,9,6,4,0,74,329,..,..,..,..,..,..,..,..,329,..,73,..,..,..,..,..,..,..,73,..,51,27,3,3,0,0,0,0,94,..,6,4,4,7,15,10,7,3,55,..,4,7,0,0,3,0,3,0,18
SAL20666,..,17,654,1334,669,441,285,133,18,3545,..,57,338,175,102,50,21,9,0,759,..,3,19,27,41,32,11,3,0,143,2593,..,..,..,..,..,..,..,..,2593,..,449,..,..,..,..,..,..,..,449,..,378,231,65,29,5,0,0,0,712,..,78,113,52,28,33,26,12,6,354,..,42,52,28,15,12,4,0,0,156,..,31,104,16,17,25,12,0,0,211,..,10,94,87,107,72,51,22,4,452,11,20,21,15,12,4,4,6,0,89,2608,1089,1626,1808,1017,680,417,183,19,9447,..,45,983,1254,590,365,261,67,17,3579,..,105,364,156,95,40,13,8,0,774,..,13,141,219,186,93,35,19,5,716,2509,..,..,..,..,..,..,..,..,2509,..,522,..,..,..,..,..,..,..,522,..,256,160,28,14,6,0,0,0,455,..,45,69,15,20,84,64,28,11,340,..,31,32,10,5,5,0,0,0,84
SAL20667,..,0,0,0,0,0,0,4,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,4,0,15,..,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20668,..,0,0,0,3,0,7,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,15,..,0,0,3,0,0,4,3,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20669,..,0,0,4,12,3,14,4,0,35,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,3,3,0,11,0,0,0,0,0,0,0,0,0,0,9,7,3,3,14,12,19,5,0,76,..,0,3,5,4,6,18,0,0,35,..,0,0,3,0,7,3,0,0,5,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,5,..,..,..,..,..,..,..,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20670,..,0,37,54,54,48,22,13,6,225,..,14,144,81,30,13,8,0,0,281,..,0,0,0,0,0,0,0,0,9,87,..,..,..,..,..,..,..,..,87,..,29,..,..,..,..,..,..,..,29,..,5,4,0,3,3,0,0,0,16,..,7,8,5,0,0,0,0,0,27,..,5,13,0,0,0,0,0,0,22,..,45,109,10,0,0,3,0,0,181,..,10,56,43,26,23,13,7,3,176,0,10,16,0,7,0,0,0,0,31,87,118,391,190,116,89,47,21,3,1070,..,0,40,58,51,43,17,4,0,220,..,19,129,45,15,11,0,0,0,230,..,0,0,0,10,4,0,7,0,23,76,..,..,..,..,..,..,..,..,76,..,24,..,..,..,..,..,..,..,24,..,10,8,0,5,0,0,0,0,23,..,0,6,3,0,0,0,0,0,15,..,0,7,0,0,0,0,0,0,9
SAL20671,..,0,5,3,3,5,11,6,0,30,..,0,0,3,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,7,12,..,..,..,..,..,..,..,..,12,..,4,..,..,..,..,..,..,..,4,..,0,3,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,3,4,5,0,14,0,0,0,0,0,0,0,0,0,0,12,9,10,8,9,14,12,7,0,89,..,0,3,6,5,5,8,0,0,28,..,0,3,3,0,0,0,0,0,12,..,0,0,0,0,4,0,0,0,3,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20672,..,0,38,78,95,121,121,85,19,557,..,6,32,17,35,23,9,6,0,139,..,0,0,8,8,5,8,0,0,32,246,..,..,..,..,..,..,..,..,246,..,54,..,..,..,..,..,..,..,54,..,49,31,11,11,0,0,0,0,111,..,4,0,0,3,0,0,0,0,13,..,3,4,0,3,3,0,0,0,12,..,0,4,6,7,3,3,3,0,32,..,0,15,6,35,39,52,21,16,184,0,0,3,3,7,7,8,0,0,38,247,126,135,138,206,204,210,126,30,1415,..,4,52,82,87,123,126,65,7,552,..,5,35,20,35,24,14,0,0,145,..,0,18,26,29,12,4,7,0,107,207,..,..,..,..,..,..,..,..,207,..,52,..,..,..,..,..,..,..,52,..,40,19,0,0,4,0,0,0,68,..,0,0,0,3,3,6,0,0,20,..,0,0,0,0,0,0,0,0,5
SAL20673,..,0,0,4,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,3,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,4,5,3,0,0,0,33,..,0,0,4,0,4,0,0,0,4,..,0,8,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..,..,..,..,10,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20674,..,0,58,93,88,94,97,55,7,488,..,20,76,45,38,31,9,4,0,217,..,0,0,6,8,13,7,3,0,33,307,..,..,..,..,..,..,..,..,307,..,59,..,..,..,..,..,..,..,59,..,80,54,15,7,3,0,0,0,162,..,5,5,5,5,7,4,0,7,34,..,6,10,5,3,0,0,0,0,25,..,3,10,0,7,6,3,0,0,30,..,5,22,17,28,54,35,12,3,176,4,8,5,5,4,3,0,4,0,36,315,174,236,185,185,209,157,77,12,1562,..,0,79,103,93,100,80,41,5,488,..,26,75,46,47,24,10,0,0,229,..,0,22,40,55,13,4,7,0,154,300,..,..,..,..,..,..,..,..,300,..,73,..,..,..,..,..,..,..,73,..,42,16,9,6,0,0,0,0,72,..,6,3,0,5,14,4,4,0,38,..,7,0,0,0,0,0,0,0,5
