SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL20845,11,23,6,0,56
SAL20846,6,0,5,0,30
SAL20847,20,10,0,0,57
SAL20848,540,270,169,45,3448
SAL20849,27,18,0,3,122
SAL20850,111,78,38,33,465
SAL20851,19,9,6,0,110
SAL20852,52,38,16,4,219
SAL20853,12,0,0,0,28
SAL20854,9,0,0,0,23
SAL20855,6,3,0,0,33
SAL20856,0,0,0,0,0
SAL20857,10,13,0,0,100
SAL20858,22,5,3,0,84
SAL20859,254,150,73,16,1411
SAL20860,26,19,8,0,131
SAL20861,27,21,18,8,100
SAL20862,66,56,52,12,384
SAL20863,80,81,24,3,363
SAL20864,987,735,324,131,6765
SAL20865,1964,1531,607,154,10639
SAL20866,784,528,142,26,3797
SAL20867,1429,769,262,69,10492
SAL20868,558,422,163,33,3120
SAL20869,3,6,3,0,19
SAL20870,56,27,9,0,201
SAL20871,1975,1343,427,123,11769
SAL20872,46,28,12,0,286
SAL20873,0,0,0,0,12
SAL20874,0,0,0,0,0
SAL20875,13,14,10,0,72
SAL20876,7,0,0,0,10
SAL20877,94,57,11,3,409
SAL20878,1660,934,517,329,15216
SAL20879,238,179,66,21,2204
SAL20880,4,12,3,0,51
SAL20881,30,13,4,0,97
SAL20882,0,0,0,0,0
SAL20883,38,20,8,3,120
SAL20884,4,0,0,0,11
SAL20885,1896,1152,471,203,12483
SAL20886,3,0,0,0,9
SAL20887,186,145,49,27,1737
SAL20888,124,75,32,14,853
SAL20889,98,78,54,20,973
SAL20890,3,0,3,0,21
SAL20891,33,30,15,3,309
SAL20892,281,339,168,65,1662
SAL20893,41,27,3,0,139
SAL20894,18,23,0,0,74
SAL20895,0,3,0,0,7
SAL20896,25,16,12,0,108
SAL20897,29,8,4,0,95
SAL20898,8,13,0,0,54
SAL20899,142,88,17,4,1297
SAL20900,3,10,4,0,30
SAL20901,552,317,103,20,4040
SAL20902,79,47,33,0,267
SAL20903,0,7,0,0,9
SAL20904,10,7,3,0,47
SAL20905,0,0,0,0,0
SAL20906,15,6,0,0,216
SAL20907,25,25,5,0,117
SAL20908,13,0,6,0,48
SAL20909,601,344,166,85,6350
SAL20910,6,0,0,0,15
SAL20911,3,0,5,0,11
SAL20912,24,13,12,0,86
SAL20913,22,17,3,0,87
SAL20914,3,6,0,0,30
SAL20915,0,4,0,0,18
SAL20916,0,0,0,0,0
SAL20917,2025,1402,701,206,14015
SAL20918,192,135,49,9,910
SAL20919,0,0,0,0,15
SAL20920,105,87,23,6,352
SAL20921,82,94,39,6,457
SAL20922,0,4,0,0,5
SAL20923,0,0,0,0,9
SAL20924,824,473,201,58,7301
SAL20925,1013,776,422,125,8866
SAL20926,13,6,0,0,53
SAL20927,6,6,0,3,45
SAL20928,0,0,0,0,0
SAL20929,417,268,79,28,4179
SAL20930,188,216,134,28,786
SAL20931,244,168,77,36,2073
SAL20932,87,69,32,3,432
SAL20933,25,15,4,0,100
SAL20934,0,0,0,0,5
SAL20935,848,506,232,158,11071
SAL20936,13,12,9,0,73
SAL20937,814,590,407,191,5859
SAL20938,33,26,18,0,182
SAL20939,49,24,7,0,152
SAL20940,229,236,139,56,1098
SAL20941,22,28,3,0,95
SAL20942,4,4,4,0,30
SAL20943,5,4,0,0,22
SAL20944,12,3,0,0,67
SAL20945,5,0,0,0,16
SAL20946,6,4,0,0,30
SAL20947,2740,2031,1067,413,19515
SAL20948,366,210,136,53,2554
SAL20949,1660,1257,740,368,9878
SAL20950,255,111,22,0,4304
SAL20951,13,16,10,0,70
SAL20952,13,17,5,0,72
SAL20953,3,0,0,0,6
SAL20954,40,42,19,4,254
SAL20955,43,15,7,0,143
SAL20956,20,15,0,0,256
SAL20957,0,0,0,0,7
SAL20958,5,0,7,0,27
SAL20959,10,6,0,0,25
SAL20960,87,35,21,0,650
SAL20961,3,0,0,0,3
SAL20962,7,3,0,0,33
SAL20963,12,0,0,0,39
SAL20964,16,17,5,3,85
SAL20965,90,70,27,4,642
SAL20966,177,103,61,12,985
SAL20967,24,29,8,0,135
SAL20968,7,10,0,0,66
SAL20969,18,13,0,3,112
SAL20970,0,0,0,0,0
SAL20971,0,0,0,0,18
SAL20972,10,0,0,0,29
SAL20973,571,483,179,52,3604
SAL20974,532,374,149,25,4292
SAL20975,0,5,0,0,13
SAL20976,26,31,10,0,124
SAL20977,3,0,0,0,6
SAL20978,3,3,0,0,13
SAL20979,246,151,71,6,1335
SAL20980,9,11,8,0,36
SAL20981,0,0,0,0,0
SAL20982,9,8,0,0,41
SAL20983,0,0,0,0,12
SAL20984,7,0,0,0,32
SAL20985,6,6,0,0,48
SAL20986,0,0,0,0,7
SAL20987,0,0,0,0,0
SAL20988,4,0,0,0,10
SAL20989,58,33,5,0,228
SAL20990,17,5,3,0,63
SAL20991,12,11,3,0,43
SAL20992,11,0,0,0,35
SAL20993,11,10,4,0,40
SAL20994,5,0,0,0,7
SAL20995,6,4,7,0,28
SAL20996,5,0,0,0,18
SAL20997,0,0,0,0,0
SAL20998,4,3,0,0,18
SAL20999,44,25,16,5,219
SAL21000,9,6,6,0,69
SAL21001,832,555,273,110,5134
SAL21002,119,61,22,10,460
SAL21003,6,0,0,0,13
SAL21004,452,433,255,64,3537
SAL21005,48,49,10,0,222
SAL21006,13,18,3,0,90
SAL21007,3,7,0,0,30
SAL21008,18,15,10,0,63
SAL21009,299,274,133,28,3386
SAL21010,2678,1727,914,279,16095
SAL21011,17,12,0,0,58
SAL21012,7,0,0,0,8
SAL21013,3650,2559,1660,682,24269
SAL21014,0,0,0,0,0
SAL21015,6,6,0,0,19
SAL21016,9,3,6,0,34
SAL21017,0,0,0,0,11
SAL21018,23,19,6,0,114
SAL21019,5,0,0,0,16
SAL21020,55,43,19,6,248
SAL21021,3,3,0,0,22
SAL21022,0,0,0,0,0
SAL21023,0,0,0,0,0
SAL21024,3,5,0,0,60
SAL21025,110,54,22,5,555
SAL21026,20,14,7,0,111
SAL21027,13,13,0,0,70
SAL21028,3,0,4,0,3
SAL21029,3,9,5,0,37
SAL21030,8,3,0,0,13
SAL21031,6,0,0,0,14
SAL21032,11,3,0,0,34
SAL21033,0,0,0,0,6
SAL21034,4,4,3,0,17
SAL21035,0,0,0,0,3
SAL21036,0,0,0,0,0
SAL21037,4,5,0,0,13
SAL21038,54,52,29,3,259
SAL21039,43,26,19,3,152
SAL21040,3,0,0,0,41
SAL21041,19,15,0,0,68
SAL21042,8,3,0,0,30
SAL21043,13,4,4,0,70
SAL21044,0,0,0,0,13
SAL21045,115,110,34,0,568
SAL21046,15,9,0,0,50
SAL21047,1102,556,407,347,12415
SAL21048,33,27,8,0,134
SAL21049,5,0,0,0,13
SAL21050,26,32,6,5,155
SAL21051,18,3,0,3,58
SAL21052,3,6,0,0,26
SAL21053,12,15,3,0,58
SAL21054,58,39,16,0,169
SAL21055,17,14,7,0,97
SAL21056,182,145,56,16,1187
SAL21057,25,14,9,0,71
SAL21058,632,490,294,163,4493
SAL21059,30,21,6,3,146
SAL21060,7,0,0,0,14
SAL21061,3,0,0,0,0
SAL21062,4,6,0,0,21
SAL21063,11,5,3,0,53
SAL21064,25,18,0,0,72
SAL21065,0,5,0,0,21
SAL21066,27,20,0,0,82
SAL21067,19,4,5,0,43
SAL21068,36,27,13,4,142
SAL21069,71,39,19,6,362
SAL21070,0,6,0,0,7
SAL21071,17,11,0,0,107
SAL21072,23,10,7,0,127
SAL21073,158,83,29,0,708
SAL21074,37,27,4,0,163
SAL21075,17,20,15,0,106
SAL21076,8,0,0,0,21
SAL21077,46,42,19,3,201
SAL21078,16,4,0,0,45
SAL21079,180,109,83,37,1437
SAL21080,0,0,0,0,0
SAL21081,0,9,0,0,13
SAL21082,3,3,0,0,12
SAL21083,6,0,0,0,27
SAL21084,79,48,8,3,304
SAL21085,0,0,0,0,0
SAL21086,0,0,0,0,7
SAL21087,3,9,0,0,48
SAL21088,28,27,15,0,139
SAL21089,118,111,50,14,596
SAL21090,15,13,0,0,43
SAL21091,6,0,0,0,26
SAL21092,26,15,0,0,155
SAL21093,0,0,0,0,0
SAL21094,4,6,6,0,27
SAL21095,0,0,0,0,3
SAL21096,0,0,0,0,6
SAL21097,0,0,0,0,5
SAL21098,54,59,17,3,253
SAL21099,0,0,0,0,6
SAL21100,12,5,7,0,50
SAL21101,57,46,15,4,319
SAL21102,0,11,0,0,33
SAL21103,3,3,3,0,21
SAL21104,1631,1327,595,186,11287
SAL21105,1383,663,164,19,9584
SAL21106,3,0,5,0,19
SAL21107,14,16,0,0,62
SAL21108,12,5,4,3,49
SAL21109,15,10,3,5,70
SAL21110,14,12,4,0,79
SAL21111,0,0,0,0,0
SAL21112,0,5,0,0,13
SAL21113,5,3,0,0,25
SAL21114,951,833,551,298,7631
SAL21115,102,59,31,6,501
SAL21116,41,25,20,6,183
SAL21117,38,36,20,0,228
SAL21118,21,14,5,3,118
SAL21119,0,0,0,0,0
SAL21120,8,6,0,0,10
SAL21121,40,36,17,0,225
SAL21122,4,5,6,0,29
SAL21123,123,73,17,8,601
SAL21124,296,166,113,53,2851
SAL21125,681,452,221,121,4844
SAL21126,9,3,4,0,56
SAL21127,48,49,13,7,294
SAL21128,18,9,7,3,66
SAL21129,791,700,381,183,4833
SAL21130,472,290,144,79,3419
SAL21131,1662,1017,488,126,7895
SAL21132,465,244,130,43,2901
SAL21133,1568,749,262,52,10741
SAL21134,20,7,3,0,84
SAL21135,10,8,0,0,40
SAL21136,7,5,0,0,18
SAL21137,109,91,47,5,556
SAL21138,60,39,8,7,193
SAL21139,103,59,23,10,519
SAL21140,443,223,81,10,5115
SAL21141,13,13,3,0,50
SAL21142,70,42,9,0,310
SAL21143,24,16,4,0,97
SAL21144,6,11,0,0,71
SAL21145,673,639,386,123,4782
SAL21146,3,6,0,0,13
SAL21147,9,8,4,0,31
SAL21148,134,75,26,0,698
SAL21149,9,4,0,0,20
SAL21150,29,11,4,0,130
SAL21151,0,0,0,0,0
SAL21152,1798,1374,758,251,15174
SAL21153,1253,902,526,179,9870
SAL21154,9,5,3,0,23
SAL21155,33,11,10,0,103
SAL21156,167,110,31,4,784
SAL21157,38,28,3,0,152
SAL21158,746,503,332,129,3977
SAL21159,12,9,9,0,87
SAL21160,336,284,190,58,1524
SAL21161,73,63,14,0,419
SAL21162,0,7,0,0,16
SAL21163,211,156,66,11,1474
SAL21164,16,15,5,0,109
SAL21165,833,628,331,126,5554
SAL21166,10,6,3,0,46
SAL21167,583,411,280,115,4562
SAL21168,491,242,88,38,3898
SAL21169,330,198,81,20,2632
SAL21170,10,10,5,0,42
SAL21171,13,7,0,0,32
SAL21172,70,62,28,13,346
SAL21173,51,62,25,3,258
SAL21174,240,144,69,29,1920
SAL21175,37,23,10,0,187
SAL21176,31,26,9,0,121
SAL21177,0,0,0,0,3
SAL21178,18,10,4,0,68
SAL21179,144,165,80,37,922
SAL21180,6,0,0,0,16
SAL21181,142,126,32,31,771
SAL21182,0,6,0,0,10
SAL21183,3,0,0,0,13
SAL21184,9,9,0,0,50
SAL21185,938,588,299,131,6865
SAL21186,18,27,11,0,91
SAL21187,1768,1359,760,205,11797
SAL21188,0,0,0,0,14
SAL21189,11,18,8,0,88
SAL21190,15,7,0,0,59
SAL21191,24,27,17,0,153
SAL21192,18,23,5,0,139
SAL21193,1083,445,128,18,7856
SAL21194,0,5,0,0,9
SAL21195,9,0,0,0,559
SAL21196,67,52,20,4,371
SAL21197,3,3,0,0,17
SAL21198,0,3,4,0,12
SAL21199,0,0,0,0,16
SAL21200,12,3,0,0,40
SAL21201,52,47,23,8,259
SAL21202,45,30,5,0,360
SAL21203,2658,1553,527,113,17179
SAL21204,3,0,0,0,26
SAL21205,6,3,0,0,34
SAL21206,988,799,419,188,6845
SAL21207,0,3,0,0,92
SAL21208,8,0,0,5,22
SAL21209,7,8,0,0,35
SAL21210,0,0,0,0,0
SAL21211,11,5,3,0,50
SAL21212,0,0,0,0,0
SAL21213,10,0,0,0,28
SAL21214,593,264,123,59,4374
SAL21215,41,18,0,0,185
SAL21216,0,0,0,0,13
SAL21217,4,0,0,0,12
SAL21218,123,69,19,7,1083
SAL21219,212,135,28,9,1656
SAL21220,4,0,0,0,25
SAL21221,22,24,0,0,107
SAL21222,18,21,4,0,157
SAL21223,387,251,90,15,2005
SAL21224,6,8,3,0,22
SAL21225,4,5,0,0,29
SAL21226,0,6,0,0,16
SAL21227,11,6,3,0,40
SAL21228,30,28,13,0,163
SAL21229,171,219,63,7,775
SAL21230,53,30,6,0,188
SAL21231,64,59,31,34,367
SAL21232,7,5,0,0,52
SAL21233,71,22,12,8,285
SAL21234,171,95,30,3,914
SAL21235,670,757,392,109,3553
SAL21236,85,101,25,0,452
SAL21237,175,132,59,16,797
SAL21238,20,16,10,0,117
SAL21239,6,0,0,0,44
SAL21240,0,0,0,0,9
SAL21241,101,74,45,31,663
SAL21242,30,31,7,4,182
SAL21243,13,4,0,0,52
SAL21244,3,0,3,0,42
SAL21245,407,277,131,29,2640
SAL21246,1347,958,396,148,8325
SAL21247,476,328,155,54,2297
SAL21248,111,59,45,15,1047
SAL21249,18,17,10,0,72
SAL21250,62,41,3,4,825
SAL21251,8,3,3,0,11
SAL21252,13,5,5,0,73
SAL21253,73,54,24,10,227
SAL21254,422,303,78,13,2425
SAL21255,0,0,0,0,6
SAL21256,9,4,0,0,75
SAL21257,3,5,0,0,19
SAL21258,15,12,4,0,55
SAL21259,6,5,0,0,25
SAL21260,14,11,3,0,43
SAL21261,87,57,14,5,330
SAL21262,17,10,3,0,65
SAL21263,3,0,0,0,15
SAL21264,5,0,0,0,9
SAL21265,62,35,13,17,202
SAL21266,0,0,0,0,0
SAL21267,0,0,0,0,5
SAL21268,3,0,0,0,5
SAL21269,77,46,23,6,319
SAL21270,4,0,0,0,8
SAL21271,4,6,0,0,15
SAL21272,31,5,4,0,57
SAL21273,24,39,19,0,163
SAL21274,0,0,3,0,14
SAL21275,4,7,0,0,22
SAL21276,22,12,10,0,83
SAL21277,56,56,44,24,426
SAL21278,0,0,0,0,0
SAL21279,310,241,166,30,1946
SAL21280,9,5,4,0,39
SAL21281,0,9,0,0,25
SAL21282,119,141,72,30,664
SAL21283,17,19,5,3,79
SAL21284,91,56,16,3,2804
SAL21285,5,0,3,0,13
SAL21286,163,170,66,5,855
SAL21287,127,95,45,3,751
SAL21288,4,0,0,0,7
SAL21289,10,3,0,0,40
SAL21290,0,0,0,0,7
SAL21291,4,0,0,0,15
SAL21292,13,20,4,0,43
SAL21293,721,740,518,255,5271
SAL21294,151,90,45,3,704
SAL21295,65,60,26,10,387
SAL21296,6,9,3,0,27
SAL21297,0,0,0,0,4
SAL21298,6,5,5,0,37
SAL21299,3,0,0,0,14
SAL21300,15,15,3,0,94
SAL21301,15,7,0,0,76
SAL21302,4,10,6,0,44
SAL21303,0,0,0,0,3
SAL21304,3,3,6,0,23
SAL21305,0,0,0,0,7
SAL21306,48,32,9,0,217
SAL21307,0,0,0,0,11
SAL21308,19,6,0,3,64
SAL21309,45,15,13,0,203
SAL21310,68,53,14,0,469
SAL21311,30,25,5,0,96
SAL21312,197,177,51,9,1460
SAL21313,6,3,0,0,28
SAL21314,514,393,208,90,2933
SAL21315,709,538,175,49,4363
SAL21316,980,650,499,113,7149
SAL21317,170,94,35,0,829
SAL21318,15,8,5,0,40
SAL21319,137,122,90,9,1161
SAL21320,3,0,0,0,3
SAL21321,4,17,0,7,42
SAL21322,0,0,0,0,21
SAL21323,0,0,0,0,0
SAL21324,8,4,0,0,19
SAL21325,7,5,0,0,37
SAL21326,457,396,252,128,3114
SAL21327,672,416,132,58,7014
SAL21328,319,291,133,68,1674
SAL21329,4,3,0,0,14
SAL21330,33,12,11,3,127
SAL21331,17,9,0,0,48
SAL21332,17,7,3,0,68
SAL21333,14,14,3,0,57
SAL21334,18,13,0,0,52
SAL21335,6,3,4,0,26
SAL21336,2583,1897,1055,491,15325
SAL21337,720,444,223,83,3853
SAL21338,5,0,3,0,29
SAL21339,1426,977,431,136,12836
SAL21340,582,407,213,85,3958
SAL21341,17,10,0,0,82
SAL21342,45,25,7,0,206
SAL21343,9,4,0,0,20
SAL21344,54,25,8,0,253
SAL21345,86,59,22,6,324
SAL21346,0,3,0,0,0
SAL21347,60,44,11,0,706
SAL21348,26,12,3,0,107
SAL21349,54,35,9,0,211
SAL21350,22,17,10,0,89
SAL21351,11,5,0,6,62
SAL21352,604,469,270,90,4290
SAL21353,42,40,7,6,235
SAL21354,762,564,355,147,5777
SAL21355,296,117,48,10,1398
SAL21356,15,6,0,0,46
SAL21357,13,7,0,0,42
SAL21358,185,116,25,4,920
SAL21359,60,26,13,0,210
SAL21360,113,80,27,3,705
SAL21361,11,7,0,0,24
SAL21362,351,279,92,25,2737
SAL21363,164,89,79,21,1941
SAL21364,27,39,4,3,122
SAL21365,224,94,43,32,2270
SAL21366,0,0,0,0,13
SAL21367,0,0,0,0,3
SAL21368,35,25,5,0,192
SAL21369,19,26,9,4,80
SAL21370,13,6,3,0,34
SAL21371,0,0,0,0,13
SAL21372,0,0,0,0,0
SAL21373,22,9,4,0,84
SAL21374,573,420,268,61,4017
SAL21375,3,0,0,0,13
SAL21376,7,4,0,0,18
SAL21377,22,13,5,0,93
SAL21378,17,17,0,0,100
SAL21379,9,4,0,0,29
SAL21380,197,144,77,43,1674
SAL21381,4,3,0,6,17
SAL21382,0,0,0,0,11
SAL21383,5,5,0,0,11
SAL21384,90,87,38,5,453
SAL21385,29,16,18,7,139
SAL21386,61,32,14,4,204
SAL21387,5,0,0,0,13
SAL21388,29,11,0,0,154
SAL21389,14,5,8,0,54
SAL21390,3,3,4,0,22
SAL21391,0,0,0,0,0
SAL21392,8,6,5,0,56
SAL21393,101,85,53,28,564
SAL21394,7,11,3,0,31
SAL21395,12,11,0,0,43
SAL21396,189,159,60,14,1090
SAL21397,23,10,12,0,60
SAL21398,8,3,0,0,26
SAL21399,390,325,176,59,2182
SAL21400,14,9,3,0,56
SAL21401,18,23,5,5,100
SAL21402,12,8,3,0,61
SAL21403,15,0,0,0,58
SAL21404,28,26,5,4,154
SAL21405,20,10,5,0,74
SAL21406,5,0,4,0,7
SAL21407,4,0,0,0,17
SAL21408,0,0,0,0,3
SAL21409,0,0,0,0,0
SAL21410,8,9,0,0,29
SAL21411,645,358,103,27,4471
SAL21412,550,462,248,127,3255
SAL21413,0,3,0,0,30
SAL21414,655,592,307,109,3914
SAL21415,19,14,8,0,67
SAL21416,30,14,9,0,150
SAL21417,30,20,12,3,97
SAL21418,8,3,0,0,52
SAL21419,38,32,14,0,191
SAL21420,28,17,9,0,148
SAL21421,20,15,4,0,70
SAL21422,0,0,0,0,0
SAL21423,0,0,0,0,0
SAL21424,0,0,0,0,5
SAL21425,7,5,0,0,23
SAL21426,24,20,9,0,83
SAL21427,93,57,35,8,481
SAL21428,31,24,17,3,176
SAL21429,33,47,20,3,212
SAL21430,15,6,11,0,64
SAL21431,0,0,0,0,3
SAL21432,0,0,0,0,3
SAL21433,0,0,0,0,0
SAL21434,4,0,0,0,10
SAL21435,207,146,120,26,981
SAL21436,0,0,0,0,10
SAL21437,11,3,5,0,28
SAL21438,7,3,5,0,13
SAL21439,0,5,3,0,13
SAL21440,4,6,0,0,23
SAL21441,5,0,0,0,37
SAL21442,10,0,3,0,35
SAL21443,0,0,0,0,7
SAL21444,90,108,49,4,440
SAL21445,0,0,0,0,0
SAL21446,0,0,0,0,0
SAL21447,345,331,201,90,1746
SAL21448,0,0,0,0,3
SAL21449,442,557,294,65,2448
SAL21450,73,29,11,0,297
SAL21451,4,11,6,0,46
SAL21452,878,572,303,82,9239
SAL21453,12,10,7,0,27
SAL21454,41,29,11,0,195
SAL21455,21,9,6,0,79
SAL21456,236,194,66,12,1361
SAL21457,21,26,8,0,102
SAL21458,4,3,0,0,22
SAL21459,144,101,32,14,1151
SAL21460,11,3,0,0,36
SAL21461,5,5,0,0,19
SAL21462,15,9,9,0,75
SAL21463,0,0,0,0,9
SAL21464,9,6,0,0,42
SAL21465,8,4,0,0,31
SAL21466,12,15,0,0,54
SAL21467,1756,1105,472,121,11561
SAL21468,120,64,21,6,641
SAL21469,1140,831,335,92,8715
SAL21470,13,10,9,0,64
SAL21471,17,11,3,0,74
SAL21472,7,6,3,0,38
SAL21473,201,149,47,5,1219
SAL21474,30,26,8,0,144
SAL21475,19,3,0,0,56
SAL21476,230,110,35,19,2549
SAL21477,24,6,3,0,73
SAL21478,3,0,0,0,7
SAL21479,4,0,0,0,11
SAL21480,0,3,0,0,0
SAL21481,4,0,0,0,12
SAL21482,34,34,8,0,187
SAL21483,4,12,0,0,25
SAL21484,11,6,3,0,69
SAL21485,8,4,0,0,31
SAL21486,40,21,15,4,209
SAL21487,26,12,0,0,105
SAL21488,70,35,20,6,657
SAL21489,5,7,0,0,23
SAL21490,403,420,262,73,2670
SAL21491,15,18,0,0,71
SAL21492,58,36,14,3,286
SAL21493,1009,773,501,158,6662
SAL21494,0,0,0,0,0
SAL21495,9,5,0,0,33
SAL21496,109,44,17,0,574
SAL21497,23,23,7,0,133
SAL21498,0,0,0,0,8
SAL21499,0,0,0,0,0
SAL21500,8,8,5,0,51
SAL21501,16,12,5,0,56
SAL21502,4,0,0,0,49
SAL21503,9,8,0,0,39
SAL21504,1357,897,503,151,8709
SAL21505,14,10,5,0,49
SAL21506,17,15,10,0,82
SAL21507,17,15,0,0,71
SAL21508,14,19,7,5,62
SAL21509,46,34,18,4,227
SAL21510,51,24,10,0,232
SAL21511,0,0,0,0,0
SAL21512,3,0,0,0,16
SAL21513,0,0,0,0,5
SAL21514,51,54,29,0,303
SAL21515,5,0,0,0,11
SAL21516,50,35,9,3,203
SAL21517,0,0,0,0,23
SAL21518,0,0,0,0,0
SAL21519,17,11,0,0,50
SAL21520,138,66,27,3,643
SAL21521,0,8,4,0,36
SAL21522,9,5,0,0,26
SAL21523,83,84,16,0,375
SAL21524,145,161,66,10,521
SAL21525,0,0,0,0,0
SAL21526,75,51,23,10,360
SAL21527,19,10,5,0,68
SAL21528,81,62,22,8,391
SAL21529,108,54,20,0,542
SAL21530,3,3,0,0,11
SAL21531,7,5,0,0,26
SAL21532,20,15,0,0,93
SAL21533,37,23,6,0,182
SAL21534,203,171,102,40,1497
SAL21535,13,11,0,0,99
SAL21536,128,104,24,4,752
SAL21537,65,36,11,0,282
SAL21538,176,90,43,7,1100
SAL21539,25,22,14,0,122
SAL21540,25,29,9,0,131
SAL21541,11,19,12,0,87
SAL21542,172,201,81,40,855
SAL21543,0,0,4,0,6
SAL21544,217,82,50,8,1257
SAL21545,3,3,0,0,15
SAL21546,18,19,4,0,122
SAL21547,365,293,164,39,2185
SAL21548,0,0,0,0,5
SAL21549,3,6,0,0,21
SAL21550,131,95,60,0,1489
SAL21551,117,116,39,9,703
SAL21552,0,5,0,0,8
SAL21553,34,21,7,4,123
SAL21554,465,195,89,38,4029
SAL21555,339,161,29,13,4358
SAL21556,0,0,0,0,18
SAL21557,35,26,12,0,117
SAL21558,699,285,92,20,3367
SAL21559,127,61,10,0,498
SAL21560,47,36,12,0,200
SAL21561,106,79,22,4,474
SAL21562,227,198,62,10,1156
SAL21563,0,4,0,0,14
SAL21564,769,592,298,163,5577
SAL21565,5,10,3,0,37
SAL21566,0,0,0,0,13
SAL21567,13,16,8,0,63
SAL21568,0,4,0,0,9
SAL21569,243,196,86,22,2590
SAL21570,5,0,0,0,13
SAL21571,436,356,167,44,2484
SAL21572,18,7,0,0,40
SAL21573,44,36,3,0,180
SAL21574,383,277,78,12,2539
SAL21575,415,242,98,85,5218
SAL21576,29,15,4,3,220
SAL21577,0,3,0,0,19
SAL21578,82,65,23,8,292
SAL21579,18,18,8,0,115
SAL21580,7,3,3,5,41
SAL21581,4,0,0,0,17
SAL21582,26,11,10,0,96
SAL21583,250,281,125,23,1043
SAL21584,167,172,80,21,694
SAL21585,115,85,26,5,524
SAL21586,1005,827,557,227,6261
SAL21587,2043,1388,692,325,13517
SAL21588,9,0,3,0,180
SAL21589,30,18,8,5,121
SAL21590,104,65,17,0,418
SAL21591,29,33,3,0,148
SAL21592,25,19,9,0,100
SAL21593,264,154,56,24,1474
SAL21594,12,8,4,0,53
SAL21595,0,4,6,0,23
SAL21596,4,12,0,0,21
SAL21597,327,161,39,19,6250
SAL21598,0,0,0,0,5
SAL21599,528,469,232,92,2885
SAL21600,5,0,0,0,3
SAL21601,26,21,9,0,111
SAL21602,26,18,11,0,119
SAL21603,34,60,22,3,179
SAL21604,811,464,137,34,7371
SAL21605,7,12,5,0,56
SAL21606,37,25,9,6,127
SAL21607,0,0,0,0,5
SAL21608,84,70,26,0,351
SAL21609,9,3,0,0,46
SAL21610,0,0,0,0,6
SAL21611,0,4,0,0,5
SAL21612,86,77,22,3,874
SAL21613,12,7,0,0,41
SAL21614,11,9,0,3,44
SAL21615,103,121,165,85,1202
SAL21616,0,0,0,0,0
SAL21617,13,14,0,0,43
SAL21618,572,619,381,117,3421
SAL21619,60,54,11,8,353
SAL21620,58,77,33,6,297
SAL21621,9,5,4,0,27
SAL21622,0,0,0,0,12
SAL21623,0,0,0,0,5
SAL21624,12,16,7,0,116
SAL21625,382,424,223,52,1906
SAL21626,6,5,3,0,18
SAL21627,15,13,3,0,75
SAL21628,79,62,39,12,444
SAL21629,589,324,155,90,3803
SAL21630,10,17,5,0,48
SAL21631,14,8,0,0,62
SAL21632,3,5,0,0,30
SAL21633,8,8,3,0,41
SAL21634,12,11,5,0,60
SAL21635,652,302,124,19,5134
SAL21636,0,0,0,0,8
SAL21637,65,64,27,11,401
SAL21638,5,0,0,0,6
SAL21639,7,12,0,0,44
SAL21640,2192,1480,772,299,41789
SAL21641,11,4,0,0,54
SAL21642,450,443,194,34,3335
SAL21643,493,419,149,54,4551
SAL21644,487,329,121,21,3594
SAL21645,7,0,0,0,32
SAL21646,0,0,0,0,8
SAL21647,4,5,0,0,15
SAL21648,1087,800,476,197,7602
SAL21649,100,72,23,4,540
SAL21650,4,0,0,0,15
SAL21651,0,4,0,0,28
SAL21652,5,0,4,0,40
SAL21653,206,119,72,23,1151
SAL21654,35,10,9,0,164
SAL21655,8,13,6,0,105
SAL21656,92,62,18,5,432
SAL21657,6,3,0,0,29
SAL21658,40,22,14,0,117
SAL21659,849,514,202,20,11163
SAL21660,11,19,6,0,84
SAL21661,3,0,0,0,22
SAL21662,34,25,13,0,114
SAL21663,34,24,22,12,115
SAL21664,57,69,28,7,263
SAL21665,57,46,10,3,310
SAL21666,0,0,0,0,0
SAL21667,70,59,13,5,339
SAL21668,30,23,5,9,195
SAL21669,0,0,0,0,11
SAL21670,26,31,10,0,122
SAL21671,16,22,12,0,107
SAL21672,6,4,4,0,22
SAL21673,283,327,125,19,1119
SAL21674,35,27,4,0,113
SAL21675,449,191,36,3,7920
SAL21676,0,4,5,0,9
SAL21677,478,285,184,59,2406
SAL21678,13,0,0,0,42
SAL21679,19,26,9,0,116
SAL21680,0,0,0,0,9
SAL21681,61,44,20,4,298
SAL21682,2210,1652,806,349,15231
SAL21683,2352,1336,403,131,13955
SAL21684,21,16,3,3,97
SAL21685,141,83,40,7,806
SAL21686,0,5,0,0,22
SAL21687,3,0,0,0,16
SAL21688,0,0,0,0,17
SAL21689,10,3,0,0,28
SAL21690,0,0,0,0,5
SAL21691,246,133,36,6,1778
SAL21692,7,0,0,0,27
SAL21693,6,0,6,0,49
SAL21694,4,0,7,0,28
SAL21695,9,8,0,0,30
SAL21696,5,3,0,0,32
SAL21697,3,0,0,0,0
SAL21698,52,43,20,19,244
SAL21699,0,0,0,0,0
SAL21700,0,0,0,0,0
SAL21701,5,0,0,0,23
