SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,11,10,5,10,14,7,10,0,82
SAL22601,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,14,14,20,32,19,6,16,0,130
SAL22602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,13,9,14,27,5,33,0,120
SAL22603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
SAL22604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,10
SAL22605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SAL22606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,14
SAL22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,32
SAL22608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,8,4,8,15,0,17,0,68
SAL22609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
SAL22611,0,0,0,0,3,3,0,0,0,11,0,4,0,0,3,4,0,0,0,8,8,31,25,13,41,33,8,51,13,218
SAL22612,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,9,12,14,11,17,3,21,0,99
SAL22613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,6,4,3,0,0,5,25
SAL22614,7,10,6,7,5,15,12,11,0,71,6,8,8,0,18,14,6,14,3,77,116,275,215,162,358,356,112,199,18,1815
SAL22615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,7,11,3,5,3,0,17,0,62
SAL22616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,4,9,6,14,0,6,0,56
SAL22617,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,0,0,0,9,14,29,19,12,38,33,12,30,0,197
SAL22618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
SAL22619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,0,0,7,0,16
SAL22620,18,35,14,7,33,20,3,21,0,151,8,9,11,5,28,29,6,12,17,124,240,586,472,312,713,771,231,372,45,3726
SAL22621,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,9,7,13,15,6,13,4,80
SAL22622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,11,3,26
SAL22623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,7,3,0,8,0,28
SAL22624,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,15,5,25,15,9,17,0,100
SAL22625,0,0,9,0,3,4,0,6,0,17,4,3,0,0,3,0,0,5,0,23,39,89,55,32,61,70,15,50,14,420
SAL22626,0,4,0,4,0,0,0,0,0,9,0,3,6,0,0,0,0,0,4,10,20,81,41,27,40,47,20,33,4,317
SAL22627,12,29,38,14,38,41,10,13,0,193,4,28,20,19,48,47,13,17,26,214,224,857,594,433,1080,1170,325,522,58,5262
SAL22628,14,34,22,26,39,30,10,16,0,183,6,25,31,23,54,54,12,22,34,260,222,907,678,448,1137,1177,286,489,71,5400
SAL22629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,7,4,22
SAL22630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,4,20
SAL22631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL22632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,5,11,3,12,3,41
SAL22633,11,13,16,10,19,19,7,9,0,104,4,11,14,9,15,23,8,14,21,117,172,500,404,255,636,778,177,354,40,3309
SAL22634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,8,16,13,6,12,0,90
SAL22635,0,0,0,4,0,3,0,0,0,15,0,0,0,0,0,0,0,5,4,9,10,62,39,36,59,60,8,50,17,336
SAL22636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,9,0,23
SAL22637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,20
SAL22638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,3,0,14
SAL22639,0,0,0,0,6,5,0,0,0,9,0,0,3,0,0,0,0,0,5,10,5,24,18,15,35,33,6,40,4,186
SAL22640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,8,0,0,0,16
SAL22641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,8,6,0,12,4,32
SAL22644,0,3,0,0,3,3,0,3,0,22,0,5,6,0,0,0,0,0,3,11,29,59,51,39,85,115,28,55,16,473
SAL22645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,4,7,3,6,10,5,8,0,57
SAL22646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,10,0,22
SAL22647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,9,5,0,3,8,0,5,3,31
SAL22648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,25
SAL22649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,9,0,21
SAL22650,0,0,0,4,4,3,0,0,0,15,3,3,0,0,0,0,0,0,0,9,23,64,38,29,56,65,28,66,0,371
SAL22651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,9
SAL22652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22653,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,11,7,3,10,0,4,0,47
SAL22654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL22655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL22656,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,9,14,9,13,15,13,25,0,106
SAL22657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,3,10,8,4,16,4,50
SAL22658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
