SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL20045,..,4,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10
SAL20046,..,354,354,516,24,540,127,9,138,146,0,146,54,0,51,17,3,19,853,392,1245
SAL20047,..,5,5,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,5,14
SAL20048,..,7,7,5,0,5,0,0,0,0,0,0,6,0,6,0,0,0,11,7,18
SAL20049,..,276,276,259,18,283,62,3,64,74,4,75,15,0,15,9,0,9,420,299,720
SAL20050,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10
SAL20051,..,3,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,6,13
SAL20052,..,52,52,47,7,54,16,0,16,3,0,3,7,0,7,3,0,3,78,61,136
SAL20053,..,1099,1099,1118,71,1184,385,18,405,319,6,330,139,4,147,53,0,58,2023,1202,3225
SAL20054,..,14,14,19,0,20,0,0,0,0,0,0,5,0,5,0,0,0,25,11,41
SAL20055,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,..,12,12,34,0,30,11,0,11,12,0,12,6,0,6,3,0,3,63,17,82
SAL20057,..,6,6,11,0,11,7,0,7,12,0,12,0,0,0,0,0,0,25,6,30
SAL20058,..,8,8,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,9,8,9
SAL20059,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20060,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10
SAL20061,..,3,3,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,4,12,15
SAL20062,..,366,366,308,34,344,174,10,184,137,8,140,55,3,61,50,0,48,722,420,1143
SAL20063,..,36,36,49,0,52,28,0,28,12,0,12,16,0,16,7,0,9,111,38,156
SAL20064,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL20065,..,45,45,40,5,43,11,0,11,11,0,11,3,0,3,0,0,0,64,45,112
SAL20066,..,1739,1739,1379,197,1582,426,49,476,382,14,402,125,0,128,24,0,24,2350,2005,4354
SAL20067,..,11,11,15,0,17,0,0,0,3,0,3,0,0,0,0,0,0,24,12,35
SAL20068,..,504,504,1052,111,1161,756,55,813,782,47,824,301,13,304,109,9,110,2989,733,3721
SAL20069,..,8,8,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,17,6,24
SAL20070,..,4,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SAL20071,..,19,19,64,4,68,17,0,17,20,0,20,19,0,19,11,0,11,132,24,157
SAL20072,..,28,28,60,0,65,23,0,23,20,0,20,14,0,14,0,0,0,119,35,148
SAL20073,..,6,6,8,0,8,3,0,3,3,0,3,3,0,3,3,0,3,23,6,30
SAL20074,..,139,139,313,15,328,139,4,145,160,0,165,69,0,69,37,0,37,724,160,880
SAL20075,..,1717,1717,1710,233,1945,935,96,1032,867,34,898,272,8,280,77,0,80,3862,2099,5959
SAL20076,..,15,15,32,0,32,7,0,7,20,0,20,3,0,3,0,0,0,64,15,77
SAL20077,..,539,539,692,41,737,510,15,524,639,8,648,210,0,216,52,0,50,2108,599,2714
SAL20078,..,748,748,748,55,806,448,34,477,455,8,465,144,9,151,42,0,42,1831,861,2689
SAL20079,..,549,549,748,33,780,445,9,457,552,4,553,200,5,200,53,0,53,1999,598,2597
SAL20080,..,355,355,591,10,601,382,4,387,572,0,572,182,0,183,60,0,60,1787,368,2150
SAL20081,..,5,5,15,0,14,7,0,7,11,0,11,4,0,4,6,0,6,38,6,47
SAL20082,..,184,184,293,13,300,194,0,194,302,0,302,89,0,89,36,0,36,911,200,1108
SAL20083,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20084,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20085,..,17,17,20,0,20,14,0,16,9,0,9,13,0,13,5,0,5,54,17,73
SAL20086,..,129,129,167,3,175,72,0,72,52,0,46,19,0,19,17,0,17,322,138,455
SAL20087,..,199,199,203,8,211,46,0,46,54,0,54,24,0,24,19,0,19,348,204,559
SAL20088,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SAL20089,..,1044,1044,1427,66,1499,769,15,780,755,3,756,293,6,295,115,0,115,3357,1138,4491
SAL20090,..,3,3,8,0,8,5,0,5,0,0,0,0,0,0,0,0,0,12,3,17
SAL20091,..,41,41,99,0,105,58,0,58,63,0,63,24,0,24,3,0,3,248,39,291
SAL20092,..,18,18,45,0,52,20,0,20,31,0,31,18,0,18,3,0,3,122,19,145
SAL20093,..,57,57,96,7,97,62,3,65,58,0,58,26,0,26,14,0,14,250,68,317
SAL20094,..,6,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,6,12
SAL20095,..,968,968,1026,51,1078,458,8,461,401,7,403,179,0,179,61,0,61,2118,1029,3155
SAL20096,..,32,32,60,0,64,24,0,24,13,0,13,5,0,5,3,0,3,106,38,146
SAL20097,..,139,139,214,16,223,97,0,97,93,0,93,42,0,42,18,0,18,455,151,609
SAL20098,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20099,..,10,10,59,3,63,10,0,10,18,0,18,12,0,12,3,0,3,100,17,120
SAL20100,..,3,3,12,0,12,0,0,0,5,0,5,0,0,0,0,0,0,9,3,16
SAL20101,..,3,3,10,4,15,0,0,0,0,0,0,0,0,0,0,0,0,17,8,21
SAL20102,..,13,13,16,0,21,7,0,7,8,0,8,0,0,0,0,0,0,34,19,49
SAL20103,..,1238,1238,1019,82,1105,390,14,402,317,6,320,150,0,155,75,5,77,1951,1349,3300
SAL20104,..,36,36,14,10,26,6,0,10,3,3,9,0,0,0,0,0,0,38,45,78
SAL20105,..,960,960,692,162,858,242,72,319,181,22,201,44,3,42,35,4,36,1196,1228,2423
SAL20106,..,11,11,14,0,14,4,0,4,3,0,3,7,0,7,4,0,4,32,11,40
SAL20107,..,15,15,3,0,3,0,0,0,9,0,9,0,0,0,0,0,0,12,15,25
SAL20108,..,361,361,458,24,488,179,0,180,177,0,177,85,0,85,35,0,35,935,381,1320
SAL20109,..,0,0,0,0,6,4,0,4,3,0,3,3,0,3,0,0,0,17,6,23
SAL20110,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SAL20111,..,937,937,663,104,760,269,42,303,239,9,249,84,0,81,10,3,14,1257,1086,2345
SAL20112,..,1004,1004,783,114,896,290,19,314,211,8,221,88,5,95,35,3,36,1415,1148,2559
SAL20113,..,619,619,554,53,606,198,7,207,192,0,189,98,0,98,15,0,15,1056,685,1747
SAL20114,..,9,9,18,0,22,7,0,7,0,0,0,6,0,6,0,0,0,34,11,43
SAL20115,..,13,13,31,0,28,21,0,21,9,0,9,6,0,6,4,0,4,72,8,82
SAL20116,..,5,5,14,0,18,5,0,5,8,0,8,4,0,4,10,0,10,42,11,52
SAL20117,..,4,4,15,0,9,3,0,3,0,0,0,6,0,6,0,0,0,25,7,29
SAL20118,..,12,12,23,0,23,4,0,4,8,0,8,0,0,0,3,0,3,35,12,46
SAL20119,..,50,50,37,0,40,16,0,16,12,0,12,0,0,0,3,0,3,76,48,123
SAL20120,..,182,182,315,7,323,114,0,114,143,0,143,58,0,58,20,0,20,650,188,841
SAL20121,..,47,47,95,0,92,25,0,25,21,0,21,6,0,6,3,0,3,143,48,188
SAL20122,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL20123,..,1294,1294,1453,71,1526,900,34,930,906,17,918,307,0,307,110,3,108,3668,1417,5085
SAL20124,..,1196,1196,1845,78,1918,1284,29,1313,1764,13,1775,634,3,637,239,0,236,5766,1326,7090
SAL20125,..,34,34,61,7,68,26,0,26,18,0,18,15,0,15,7,0,7,133,38,171
SAL20126,..,14,14,32,0,38,14,0,14,14,0,14,10,0,10,5,0,5,73,15,89
SAL20127,..,9,9,22,0,22,5,0,5,8,0,8,6,0,6,0,0,0,37,5,43
SAL20128,..,4,4,3,0,3,4,0,4,3,0,3,0,0,0,0,0,0,11,4,16
SAL20129,..,22,22,46,0,49,37,0,42,31,0,31,22,0,22,17,0,17,153,29,181
SAL20130,..,6,6,9,0,9,0,0,0,4,0,4,0,0,0,0,0,0,14,6,19
SAL20131,..,244,244,137,8,143,22,4,25,8,0,8,5,0,7,3,0,3,181,254,431
SAL20132,..,6,6,5,0,5,0,0,0,4,0,4,5,0,5,0,0,0,14,6,21
SAL20133,..,279,279,637,18,652,327,0,327,470,0,470,241,0,241,79,0,79,1758,292,2048
SAL20134,..,0,0,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,6,0,11
SAL20135,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
SAL20136,..,168,168,362,10,372,151,5,150,198,0,198,90,0,90,35,0,35,824,186,1005
SAL20137,..,7,7,17,0,13,3,0,3,0,0,0,5,0,5,0,0,0,29,8,31
SAL20138,..,28,28,33,5,38,5,0,6,8,0,8,3,0,3,0,0,0,50,29,78
SAL20139,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL20140,..,12,12,23,0,23,6,0,7,6,0,6,0,0,0,3,0,3,45,14,53
SAL20141,..,42,42,66,3,75,20,0,20,33,0,33,7,0,7,10,0,10,135,46,182
SAL20142,..,12,12,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,7,12,21
SAL20143,..,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,4,18
SAL20144,..,41,41,34,8,36,16,0,17,12,0,12,0,0,0,0,0,0,56,50,110
SAL20145,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL20146,..,73,73,125,11,128,56,0,56,64,0,64,21,0,21,9,0,9,267,84,354
SAL20147,..,10,10,24,0,28,4,0,4,4,0,4,7,0,7,5,0,5,50,12,60
SAL20148,..,22,22,15,0,15,4,0,4,6,0,6,3,0,3,8,0,8,29,22,52
SAL20149,..,31,31,64,3,66,18,0,18,23,0,23,14,0,14,8,0,8,128,35,160
SAL20150,..,15,15,34,0,35,13,0,13,11,0,11,5,0,5,4,0,4,77,14,91
SAL20151,..,13,13,35,0,35,14,0,14,15,0,15,7,0,7,5,0,5,71,13,81
SAL20152,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
SAL20153,..,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5
SAL20154,..,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,7
SAL20155,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20156,..,9,9,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21
SAL20157,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12
SAL20158,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL20159,..,11,11,13,0,13,3,0,3,7,0,7,4,0,4,0,0,0,26,11,36
SAL20160,..,19,19,41,0,41,12,0,12,17,0,17,8,0,8,3,0,3,80,20,97
SAL20161,..,25,25,26,0,26,6,0,6,6,0,6,0,0,0,0,0,0,35,25,59
SAL20162,..,374,374,573,15,584,165,6,169,262,0,263,134,0,134,27,0,27,1158,393,1553
SAL20163,..,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12
SAL20164,..,37,37,61,4,65,16,0,16,19,0,19,10,0,10,9,0,9,107,39,146
SAL20165,..,33,33,94,4,100,52,0,52,83,0,83,53,0,53,18,0,18,298,32,337
SAL20166,..,3,3,5,0,5,4,0,4,3,0,3,4,0,4,0,0,0,14,3,18
SAL20167,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20168,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20169,..,279,279,291,12,306,154,3,158,100,0,100,34,0,30,23,0,23,603,297,901
SAL20170,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL20171,..,20,20,50,0,51,24,0,24,34,0,34,8,0,8,4,0,4,121,24,148
SAL20172,..,12,12,15,0,17,0,0,0,3,0,3,6,0,6,0,0,0,23,11,40
SAL20173,..,1387,1387,1476,130,1605,835,28,861,664,12,675,205,7,216,104,0,104,3290,1565,4851
SAL20174,..,913,913,1003,72,1075,588,10,596,544,3,546,199,6,204,75,0,74,2406,998,3404
SAL20175,..,422,422,650,30,679,395,0,399,568,0,568,257,0,257,78,0,78,1943,458,2401
SAL20176,..,94,94,269,4,272,119,3,121,226,0,232,119,0,119,39,0,39,775,102,881
SAL20177,..,35,35,36,0,38,11,0,11,7,0,7,0,0,0,0,0,0,59,37,98
SAL20178,..,28,28,40,4,46,5,0,5,5,0,5,0,0,0,0,0,0,47,29,78
SAL20179,..,7,7,9,0,9,3,0,3,5,0,5,0,0,0,0,0,0,15,7,18
SAL20180,..,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,12,0,12
SAL20181,..,262,262,266,16,282,73,3,73,70,0,70,23,0,23,17,0,17,445,275,725
SAL20182,..,991,991,1661,36,1695,746,3,747,1101,0,1098,398,0,398,81,0,81,3981,1029,5007
SAL20183,..,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,9
SAL20184,..,55,55,63,5,72,19,0,19,21,0,21,10,0,10,0,0,0,108,67,175
SAL20185,..,20,20,14,0,14,4,0,4,3,0,3,0,0,0,0,0,0,22,18,46
SAL20186,..,519,519,648,29,683,174,8,176,208,0,208,82,0,80,25,0,25,1137,553,1690
SAL20187,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7
SAL20188,..,267,267,462,31,494,268,6,273,263,0,264,89,0,87,29,0,29,1112,304,1414
SAL20189,..,78,78,143,9,149,78,0,85,103,0,103,51,0,51,12,0,12,384,87,470
SAL20190,..,76,76,169,6,180,85,5,91,116,0,116,61,0,61,26,0,26,458,83,548
SAL20191,..,840,840,733,58,789,300,15,320,294,6,292,105,6,112,42,0,38,1468,923,2397
SAL20192,..,564,564,699,36,733,329,15,342,251,4,261,88,0,88,50,0,50,1413,617,2034
SAL20193,..,13,13,27,0,29,8,0,8,9,0,9,6,0,6,0,0,0,50,16,60
SAL20194,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20195,..,115,115,170,4,171,45,0,51,70,0,70,43,0,43,7,0,7,331,119,450
SAL20196,..,37,37,58,4,55,19,0,19,25,0,25,7,0,7,3,0,3,107,39,152
SAL20197,..,3,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,3,22
SAL20198,..,176,176,207,28,234,131,15,143,95,9,102,43,7,44,25,0,26,497,234,730
SAL20199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20200,..,3,3,15,0,16,5,0,5,4,0,4,0,0,0,5,0,5,31,5,44
SAL20201,..,2109,2109,1800,194,1991,819,84,900,785,39,826,277,17,292,84,7,92,3755,2452,6205
SAL20202,..,9,9,19,0,19,5,0,5,0,0,0,0,0,0,0,0,0,20,9,37
SAL20203,..,23,23,55,0,59,17,0,17,14,0,14,6,0,6,0,0,0,94,26,117
SAL20204,..,1657,1657,1662,126,1783,492,10,499,396,5,402,179,0,178,77,0,77,2804,1795,4602
SAL20205,..,30,30,34,4,33,3,0,3,5,0,5,0,0,0,0,0,0,43,33,78
SAL20206,..,3,3,14,0,14,3,0,3,3,0,3,0,0,0,0,0,0,23,3,23
SAL20207,..,15,15,30,5,39,17,0,17,21,0,21,3,0,3,5,0,5,76,13,95
SAL20208,..,964,964,797,84,884,306,34,344,220,5,223,62,0,62,32,0,29,1415,1090,2503
SAL20209,..,23,23,23,3,23,3,0,3,0,0,0,0,0,0,0,0,0,29,25,52
SAL20210,..,4,4,14,0,14,3,0,3,7,0,7,4,0,4,0,0,0,28,4,30
SAL20211,..,4,4,5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,12,4,20
SAL20212,..,10,10,18,0,17,9,0,9,9,0,9,3,0,3,4,0,4,35,10,45
SAL20213,..,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,10,0,15
SAL20214,..,1604,1604,1961,165,2124,1132,24,1156,1286,27,1308,428,9,440,84,0,82,4891,1838,6723
SAL20215,..,2226,2226,2958,164,3115,1994,41,2037,2500,22,2525,711,7,719,178,8,183,8342,2460,10802
SAL20216,..,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20217,..,6,6,19,0,18,18,0,18,15,0,15,0,0,0,0,0,0,53,7,58
SAL20218,..,4,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,4,17
SAL20219,..,23,23,26,3,32,8,0,8,6,0,6,0,0,0,5,0,5,52,25,77
SAL20220,..,3,3,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,10,3,15
SAL20221,..,18,18,27,3,24,7,0,9,12,0,12,3,0,3,0,0,0,52,22,73
SAL20222,..,4,4,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,11,4,14
SAL20223,..,12,12,28,0,28,5,0,5,7,0,7,0,0,0,0,0,0,47,15,61
SAL20224,..,2905,2905,4543,225,4760,3043,43,3081,3835,17,3853,1412,8,1418,626,3,632,13458,3196,16653
SAL20225,..,14,14,15,0,12,5,0,5,3,0,3,0,0,0,0,0,0,24,16,46
SAL20226,..,16,16,15,0,14,6,0,6,6,0,6,0,0,0,0,0,0,30,17,46
SAL20227,..,13,13,9,0,9,0,0,0,8,0,8,6,0,6,0,0,0,21,13,32
SAL20228,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
SAL20229,..,33,33,87,3,83,30,0,30,25,0,25,8,0,8,5,0,5,152,37,189
SAL20230,..,11,11,17,0,18,4,0,4,0,0,0,0,0,0,0,0,0,27,13,41
SAL20231,..,48,48,46,0,52,10,0,10,8,0,8,10,0,10,5,0,5,82,54,133
SAL20232,..,22,22,39,0,39,22,0,19,19,0,19,6,0,6,3,0,3,89,23,113
SAL20233,..,151,151,357,12,369,294,3,304,340,0,343,147,0,147,77,0,77,1223,174,1396
SAL20234,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20235,..,18,18,23,0,26,15,0,15,17,0,17,10,0,10,3,0,3,70,18,91
SAL20236,..,0,0,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,10,0,12
SAL20237,..,10,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,10,30
SAL20238,..,3,3,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,11,3,16
SAL20239,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20240,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL20241,..,0,0,15,0,15,0,0,0,4,0,4,0,0,0,0,0,0,16,0,17
SAL20242,..,23,23,16,0,16,6,0,6,8,0,8,9,0,9,0,0,0,34,23,53
SAL20243,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20244,..,109,109,95,8,104,34,0,34,18,0,18,14,0,14,12,0,12,172,118,288
SAL20245,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20246,..,32,32,81,0,86,29,0,29,45,0,43,21,0,21,17,0,17,193,34,224
SAL20247,..,105,105,117,4,124,41,0,48,43,0,43,38,0,38,3,0,3,249,110,363
SAL20248,..,368,368,595,15,607,236,3,239,262,0,263,94,0,100,37,0,37,1227,390,1617
SAL20249,..,301,301,256,33,295,105,6,106,124,0,125,27,0,27,12,0,12,524,339,867
SAL20250,..,11,11,32,0,32,6,0,7,7,0,11,6,0,6,0,0,0,56,13,72
SAL20251,..,605,605,901,28,930,337,3,340,417,0,421,164,0,164,32,0,32,1851,634,2486
SAL20252,..,1513,1513,1650,125,1783,801,34,833,970,32,1002,308,5,316,106,4,109,3840,1715,5561
SAL20253,..,561,561,698,57,753,466,26,488,591,10,601,214,0,216,68,5,75,2037,658,2701
SAL20254,..,1050,1050,1048,83,1133,652,30,684,775,13,786,281,3,283,91,5,93,2846,1181,4024
SAL20255,..,6,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
SAL20256,..,66,66,53,5,54,20,0,20,16,0,16,7,0,7,0,0,0,95,65,161
SAL20257,..,341,341,536,11,542,101,6,102,108,0,108,43,0,45,7,0,7,785,357,1144
SAL20258,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,13
SAL20259,..,20,20,33,0,37,10,0,10,9,0,9,5,0,6,0,0,0,60,26,87
SAL20260,..,88,88,146,4,149,90,4,88,85,0,85,28,0,28,11,0,11,354,93,452
SAL20261,..,13,13,12,0,12,8,0,8,0,0,0,0,0,0,0,0,0,19,13,33
SAL20262,..,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,0,4
SAL20263,..,8,8,17,0,17,6,0,6,0,0,0,0,0,0,0,0,0,32,8,41
SAL20264,..,0,0,13,0,13,3,0,3,5,0,5,0,0,0,0,0,0,22,0,22
SAL20265,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20266,..,5,5,17,0,14,5,0,5,0,0,0,0,0,0,0,0,0,23,4,33
SAL20267,..,10,10,20,0,20,3,0,3,3,0,3,0,0,0,0,0,0,29,10,36
SAL20268,..,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6
SAL20269,..,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SAL20270,..,30,30,34,0,39,14,0,14,16,0,16,8,0,8,9,0,9,77,31,105
SAL20271,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
