SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL20191,0,0,0,0,0,0,0,0,3,69,63,19,152,5,12,16,167,119,3,294
SAL20192,0,3,0,0,0,3,3,0,6,83,73,12,167,3,8,11,180,118,4,297
SAL20193,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SAL20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20195,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,15,6,0,23
SAL20196,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,10,5,0,9
SAL20197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20198,0,0,0,0,0,0,0,0,5,26,17,0,44,0,0,0,44,58,0,102
SAL20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20201,0,4,0,0,0,4,0,0,8,195,165,29,391,14,11,23,413,239,3,650
SAL20202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20203,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,3,0,9
SAL20204,0,0,0,0,0,0,3,0,11,121,130,20,271,4,13,15,288,227,3,519
SAL20205,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,8
SAL20206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20207,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,8,5,0,12
SAL20208,0,0,0,0,0,0,3,3,10,81,81,19,176,3,3,8,181,104,9,295
SAL20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20212,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,6
SAL20213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20214,0,3,0,0,0,3,0,3,13,274,172,23,468,17,6,22,491,236,10,737
SAL20215,0,5,0,0,0,3,3,3,11,468,285,31,785,22,21,36,822,439,12,1275
SAL20216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SAL20218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20219,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,8,0,15
SAL20220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20221,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,7
SAL20222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20223,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5
SAL20224,3,9,0,0,0,9,6,4,21,749,417,64,1234,28,34,62,1294,568,11,1878
SAL20225,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,0,3
SAL20226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SAL20227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20229,0,0,0,0,0,0,0,0,0,5,8,0,12,0,0,0,15,3,0,17
SAL20230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20231,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,8
SAL20232,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,3
SAL20233,0,0,0,0,0,0,0,4,0,50,26,4,79,4,3,11,87,47,0,137
SAL20234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20235,0,0,0,0,0,0,0,0,0,6,3,0,11,0,0,0,4,3,0,9
SAL20236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20244,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,9,14,0,23
SAL20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20246,0,0,0,0,0,0,0,0,0,12,0,4,19,0,0,0,21,3,0,24
SAL20247,0,0,0,0,0,0,0,0,0,12,9,0,14,0,0,0,19,4,0,26
SAL20248,0,6,0,0,0,6,0,0,0,38,54,12,98,3,0,5,101,55,0,157
SAL20249,0,0,0,0,0,0,0,0,0,36,22,0,64,0,0,4,69,24,0,96
SAL20250,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,6,0,0,6
SAL20251,0,0,0,0,0,0,0,0,4,63,45,16,123,0,4,10,126,69,0,195
SAL20252,0,0,0,0,0,0,3,0,3,160,107,13,283,7,7,15,298,186,3,490
SAL20253,0,0,0,0,0,0,0,0,0,86,68,11,167,0,3,8,173,100,0,273
SAL20254,0,0,0,0,0,0,0,0,0,133,78,16,235,5,6,14,245,159,0,407
SAL20255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20256,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,11,6,0,19
SAL20257,0,0,0,0,0,0,4,0,5,16,13,0,32,0,0,0,32,35,3,64
SAL20258,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
SAL20259,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
SAL20260,0,0,0,0,0,0,0,0,0,19,16,5,36,0,0,0,36,13,4,52
SAL20261,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0
SAL20262,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SAL20263,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,4
SAL20264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20270,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,3,4,0,0,7
SAL20271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20272,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6
SAL20273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20274,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,11,3,0,13
SAL20275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20278,0,0,0,0,0,0,0,0,0,103,64,0,168,6,5,11,180,91,0,277
SAL20279,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,0,3
SAL20280,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,12
SAL20281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20282,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,4,0,13
SAL20283,0,0,0,0,0,0,0,0,0,5,8,0,15,0,0,0,15,7,0,18
SAL20284,0,0,0,0,0,0,0,0,0,28,12,4,42,0,0,0,42,9,0,54
SAL20285,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
SAL20286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20288,0,0,0,0,0,0,0,0,0,13,5,0,18,0,0,0,20,18,0,38
SAL20289,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
SAL20290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
