SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL20011,444,921,25,131,114,557,16,72,1169,4486,1319,5241,33,161,53,190,75,253,160,599,1481,5840,0,18,20,61,6,23,93,296,115,396,11,29,7,20,39,102,57,150,179,546,19,43,2117,7363
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,160,311,0,4,11,33,0,4,38,131,48,178,3,25,13,41,15,41,35,101,78,276,0,0,0,12,0,0,13,31,20,41,4,7,3,7,12,17,17,38,34,77,4,3,275,671
SAL20014,21,41,0,0,0,4,0,0,11,38,10,43,0,0,5,8,11,25,8,35,22,80,0,0,0,15,0,0,0,3,8,12,0,0,0,0,0,0,0,0,3,16,0,0,48,136
SAL20015,840,1703,8,46,74,341,13,52,578,2167,674,2600,46,209,71,245,192,627,312,1081,985,3685,3,7,24,68,3,14,124,307,147,388,20,68,32,72,207,455,261,602,411,997,55,117,2299,6495
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,414,860,14,103,61,317,24,109,309,1245,404,1770,33,161,46,154,175,598,255,912,658,2686,12,50,21,78,18,72,105,306,155,498,24,78,39,97,171,392,237,565,389,1063,33,76,1498,4688
SAL20018,671,1328,0,10,66,312,3,12,419,1591,498,1918,20,87,99,353,85,276,212,717,708,2641,0,0,11,29,0,0,68,143,76,174,10,29,49,113,57,129,114,273,201,450,25,55,1605,4471
SAL20019,49,104,0,0,0,0,0,0,17,74,17,74,0,4,0,9,4,22,10,36,26,111,0,0,0,0,4,9,3,10,7,17,0,3,0,0,0,5,0,7,13,24,0,0,87,238
SAL20020,7,16,0,0,0,0,0,12,0,0,3,11,0,0,0,5,4,8,4,11,8,21,0,0,0,5,0,0,0,4,4,12,0,0,0,0,0,3,0,3,8,9,0,0,21,55
SAL20021,423,869,4,56,23,123,0,13,235,893,269,1083,7,32,17,52,57,202,83,286,353,1368,4,22,9,25,4,24,68,187,89,253,8,40,19,45,85,180,115,266,197,520,41,95,1017,2849
SAL20022,378,752,5,21,22,110,4,12,147,558,178,700,11,43,21,71,49,150,79,259,252,963,0,0,15,39,3,15,34,101,50,153,3,15,9,17,48,105,67,138,114,295,6,9,750,2020
SAL20023,1082,2157,26,153,180,839,38,164,850,3386,1098,4546,72,303,139,457,197,631,406,1395,1510,5934,13,65,68,227,19,83,265,741,366,1113,26,84,57,117,147,321,229,529,595,1641,31,60,3211,9800
SAL20024,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
SAL20025,16,30,0,0,3,8,0,9,8,14,6,40,0,0,0,0,0,0,0,0,6,40,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,20,72
SAL20026,12,29,0,0,0,0,0,0,4,5,4,5,0,0,0,0,3,5,3,5,6,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,8,5,8,3,14,0,0,22,47
SAL20027,40,70,0,3,8,35,0,4,20,79,27,125,4,7,3,6,3,11,10,32,40,152,0,0,0,0,0,0,6,8,6,8,0,0,0,3,0,6,6,9,10,17,0,0,79,242
SAL20028,186,368,5,17,16,65,5,22,88,369,111,469,11,44,8,19,36,131,56,192,166,658,0,0,4,20,0,6,19,49,28,71,5,11,4,7,15,36,22,54,50,127,5,11,405,1164
SAL20029,23,47,0,0,6,23,0,0,9,41,18,69,0,11,0,3,3,7,8,26,22,93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,10,4,10,0,3,50,149
SAL20030,15,34,0,0,4,18,6,10,8,40,15,68,0,0,0,0,0,14,6,21,23,85,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,0,41,126
SAL20031,25,45,0,0,3,17,0,7,5,26,12,53,0,0,0,3,7,16,6,23,16,74,0,0,0,7,0,0,0,3,3,11,0,0,0,0,3,11,3,11,9,20,0,0,47,140
SAL20032,3,4,0,0,0,6,0,0,5,10,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,8,3,9,0,0,10,29
SAL20033,8,20,0,0,0,0,0,0,7,19,7,19,0,0,4,10,0,0,4,10,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,21,51
SAL20034,576,1154,4,14,69,309,4,9,366,1382,444,1720,44,179,101,348,108,326,246,861,689,2578,0,0,14,40,0,0,60,138,77,189,9,35,33,74,57,138,101,244,177,429,23,42,1462,4198
SAL20035,1328,2638,14,66,107,499,13,54,838,3143,971,3758,56,226,117,404,202,653,369,1283,1342,5045,0,7,27,80,12,24,179,414,212,524,21,56,49,121,200,428,269,604,480,1130,50,111,3200,8923
SAL20036,1791,3619,30,148,176,802,47,203,1137,4275,1385,5433,116,474,178,635,580,1910,868,3015,2257,8448,9,28,44,168,22,88,318,815,390,1098,45,149,88,206,465,1031,598,1388,987,2489,87,196,5129,14753
SAL20037,1170,2357,30,184,110,581,42,216,952,3669,1136,4660,65,291,82,288,246,803,388,1381,1527,6039,11,42,39,161,14,48,184,487,249,732,21,83,58,132,284,647,370,860,617,1591,77,173,3385,10158
SAL20038,10,16,0,0,0,9,0,3,6,19,9,36,5,8,3,11,3,10,10,25,16,60,0,0,0,11,0,0,0,0,3,10,0,0,0,0,0,7,0,7,8,18,0,0,29,88
SAL20039,7,11,0,0,0,9,0,0,0,8,4,10,0,0,0,3,0,3,4,8,6,16,0,0,0,0,0,0,5,6,5,6,0,0,0,0,0,3,0,8,5,7,0,0,18,38
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SAL20041,39,76,0,0,0,4,6,18,9,28,10,46,0,3,0,9,6,13,5,21,21,70,0,5,0,0,0,0,3,8,0,9,0,0,0,0,6,4,6,4,6,13,0,0,69,167
SAL20042,83,169,0,9,16,77,0,8,52,200,65,291,6,18,7,26,27,79,38,121,106,409,0,0,0,0,0,5,5,20,7,20,0,0,0,0,5,8,5,7,13,28,0,0,202,611
SAL20043,24,51,0,7,0,0,0,0,0,19,3,25,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,4,3,4,8,5,0,0,34,85
SAL20044,4,13,0,0,0,5,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
SAL20045,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14
SAL20046,494,980,3,10,25,100,5,33,176,683,208,829,13,46,35,109,43,120,85,277,293,1105,0,0,5,18,0,0,24,61,27,75,0,10,15,23,29,57,41,93,77,172,8,8,859,2260
SAL20047,3,12,0,6,0,9,0,0,3,12,9,24,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34
SAL20048,9,13,0,0,0,7,0,0,0,12,3,16,0,0,0,0,5,7,5,7,4,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,40
SAL20049,231,451,4,14,20,87,3,12,66,244,86,355,0,4,9,35,30,83,40,117,131,474,0,0,3,16,0,0,29,67,32,80,3,4,9,19,21,41,33,65,63,142,6,14,428,1080
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,0,0,4,6
SAL20051,7,8,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,10,25
SAL20052,48,91,0,0,0,3,0,0,13,59,18,64,4,10,0,0,7,28,9,35,26,104,0,0,0,0,0,6,3,6,3,11,0,0,0,3,0,0,3,5,5,16,0,0,83,212
SAL20053,952,1880,7,50,63,277,27,111,353,1403,444,1846,21,80,44,142,145,443,206,661,653,2509,3,31,25,84,17,63,155,436,200,615,8,33,29,64,149,323,189,419,392,1031,46,91,2045,5509
SAL20054,16,33,0,9,0,0,0,0,4,14,6,19,0,0,0,0,0,0,3,9,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,67
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,29,55,0,4,9,19,0,11,13,41,14,76,6,20,3,11,4,6,12,38,26,111,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,9,9,5,12,0,3,63,185
SAL20057,14,26,0,0,0,0,0,0,0,11,0,11,3,13,0,4,3,13,5,23,8,36,0,5,0,0,0,0,5,11,9,15,0,0,0,0,0,3,0,3,7,16,0,0,28,80
SAL20058,3,10,0,0,0,0,0,0,4,8,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
SAL20059,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
SAL20060,4,8,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19
SAL20061,5,8,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
SAL20062,248,499,4,20,20,96,4,27,196,732,223,874,14,57,15,67,48,158,80,282,307,1151,0,6,8,35,3,18,63,179,77,236,8,19,14,37,65,157,90,216,168,457,28,63,748,2174
SAL20063,47,93,0,3,8,40,5,14,19,67,31,122,0,3,3,18,16,57,21,82,56,207,0,0,0,0,0,0,8,25,8,25,0,0,4,8,3,12,10,16,19,40,0,0,116,341
SAL20064,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
SAL20065,31,65,0,0,0,0,0,5,5,41,11,39,0,6,0,6,3,12,9,19,16,67,0,0,0,0,0,0,5,13,5,13,0,0,0,0,7,3,7,3,9,19,4,5,65,158
SAL20066,1192,2368,12,49,70,306,7,22,486,1807,569,2182,32,137,107,367,99,299,235,806,804,2983,0,0,26,92,0,5,113,252,143,345,13,36,66,145,92,190,172,368,310,715,56,116,2367,6184
SAL20067,14,28,0,0,0,9,0,0,5,17,9,20,0,0,0,9,4,3,3,13,6,36,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,3,3,3,0,3,0,0,26,67
SAL20068,987,1986,16,86,105,480,40,181,1194,4542,1350,5287,29,103,60,205,116,370,197,673,1550,5957,8,46,44,163,24,69,216,590,297,871,20,57,39,97,102,223,162,380,464,1249,38,73,3033,9271
SAL20069,10,15,0,0,0,14,0,6,0,6,3,23,0,0,0,0,4,6,4,6,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,16,46
SAL20070,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
SAL20071,67,132,0,7,10,46,6,14,16,72,33,138,8,29,4,23,21,65,33,115,64,253,0,0,0,0,0,0,3,12,3,12,0,7,0,0,6,11,3,11,9,19,0,0,141,407
SAL20072,60,122,0,0,10,59,3,12,23,96,41,158,6,4,3,10,4,18,13,43,51,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,9,12,3,8,124,341
SAL20073,9,20,0,5,3,14,0,5,5,12,5,34,3,6,0,3,0,10,3,17,10,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,74
SAL20074,287,574,5,34,29,134,8,38,209,845,257,1044,12,54,19,69,41,132,71,255,326,1306,0,7,8,33,6,21,56,157,68,210,5,18,5,5,42,91,50,122,115,330,0,4,735,2211
SAL20075,1464,2938,12,65,130,581,14,49,1121,4216,1272,4912,88,374,190,656,257,829,533,1861,1802,6770,8,16,41,143,7,30,200,478,255,672,19,65,69,147,202,425,289,638,540,1307,98,195,3910,11213
SAL20076,26,57,0,0,8,25,0,5,20,76,25,107,0,6,4,15,0,4,6,29,31,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,191
SAL20077,619,1240,7,44,124,553,6,17,653,2548,788,3163,78,330,198,716,170,563,445,1609,1238,4770,3,5,25,81,3,18,78,188,110,300,16,44,47,97,94,208,151,344,265,645,25,46,2142,6696
SAL20078,635,1290,9,56,96,426,13,42,468,1765,591,2284,43,163,113,393,131,424,285,987,872,3270,0,10,24,76,0,5,109,272,139,369,7,38,53,125,117,261,183,425,322,789,31,70,1872,5418
SAL20079,634,1273,25,110,117,528,15,67,594,2329,749,3029,58,252,108,389,172,546,336,1179,1087,4214,5,12,20,51,5,13,75,199,105,272,11,36,50,109,112,240,174,383,277,658,25,46,2019,6195
SAL20080,557,1131,14,65,109,493,25,116,426,1705,578,2378,85,370,135,473,265,883,479,1726,1058,4107,10,29,13,46,0,4,50,132,73,216,15,36,38,79,86,197,136,320,201,534,13,26,1837,5798
SAL20081,16,31,0,0,0,0,0,0,11,56,11,56,0,0,0,0,4,18,4,18,22,74,0,0,0,0,0,0,3,9,5,15,0,0,0,0,0,5,0,5,5,16,0,0,39,119
SAL20082,247,501,14,82,62,271,8,45,197,792,285,1185,45,214,68,254,150,537,271,997,552,2183,0,0,10,35,3,8,24,55,36,101,9,23,18,39,58,138,79,198,115,300,7,11,922,2997
SAL20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20084,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20085,19,44,0,0,3,18,0,6,14,49,18,74,3,17,4,19,7,23,15,60,32,131,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,5,5,5,7,12,0,0,61,186
SAL20086,154,316,0,0,11,40,4,25,60,243,71,308,6,36,11,26,24,86,43,144,121,450,4,10,3,11,0,0,18,51,26,69,3,5,0,0,20,45,25,56,52,123,5,4,328,894
SAL20087,177,358,0,7,11,70,0,10,58,234,77,317,4,17,7,24,26,74,39,121,112,440,0,0,5,19,7,15,20,57,34,95,0,0,3,6,26,51,26,59,60,152,4,15,362,965
SAL20088,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,6
SAL20089,1260,2545,19,104,134,609,23,92,793,3055,960,3863,105,442,122,443,399,1303,617,2186,1577,6047,0,12,37,127,11,35,125,311,171,486,31,112,50,122,296,659,378,895,553,1383,63,143,3456,10111
SAL20090,7,18,0,0,0,0,0,0,0,11,0,11,0,0,3,4,0,4,6,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36
SAL20091,101,202,6,28,11,63,0,3,57,222,79,314,14,50,4,20,25,78,39,143,119,457,0,0,0,4,0,0,12,32,17,38,4,13,4,13,14,26,19,49,36,85,0,0,253,743
SAL20092,46,95,3,18,20,87,0,3,25,97,46,200,3,14,7,33,15,42,27,86,77,292,0,0,0,4,0,0,0,3,3,7,0,0,0,0,0,4,0,4,8,12,0,0,127,402
SAL20093,96,195,5,13,16,62,9,29,81,327,102,426,9,24,0,3,26,83,35,105,136,533,0,0,7,11,0,0,8,32,14,44,0,0,3,7,8,16,5,21,21,63,3,3,256,793
SAL20094,5,13,0,3,0,0,0,0,3,15,3,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
SAL20095,900,1813,11,51,82,379,16,85,491,1878,597,2390,29,118,48,167,137,429,212,717,809,3106,0,14,29,82,13,31,171,473,215,604,14,51,34,71,147,335,194,457,412,1058,37,73,2154,6042
SAL20096,49,99,0,0,3,13,0,0,13,64,22,77,0,5,5,9,13,36,13,50,36,127,0,3,0,4,0,3,3,13,3,17,0,0,0,0,10,12,13,13,12,36,3,11,104,274
SAL20097,196,395,3,16,9,46,12,35,101,393,118,489,12,39,4,12,51,168,65,231,187,717,0,7,0,5,4,15,22,69,35,92,5,23,5,17,31,62,42,106,77,196,3,8,463,1315
SAL20098,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL20099,57,111,0,0,4,37,0,0,19,102,35,137,0,3,0,5,4,19,9,33,39,166,0,0,0,0,0,5,3,4,4,8,0,0,0,3,3,6,8,11,8,17,0,0,105,297
SAL20100,6,16,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,13,33
SAL20101,10,19,0,0,0,4,0,0,4,16,3,21,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,20,43
SAL20102,19,39,0,0,0,0,0,0,4,27,4,27,0,0,0,0,4,13,4,13,11,34,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,33,89
SAL20103,845,1667,10,58,50,252,24,119,378,1477,462,1909,20,91,28,99,131,426,184,616,645,2526,10,31,28,108,16,49,184,533,231,714,14,34,35,76,170,382,216,485,449,1199,43,87,1981,5483
SAL20104,12,28,0,0,0,0,0,0,7,34,7,34,0,0,3,4,0,3,4,10,15,44,0,0,0,0,0,5,3,14,9,16,0,0,0,3,7,12,4,10,13,24,0,0,35,100
SAL20105,600,1198,5,46,45,201,4,34,284,1045,344,1327,12,51,33,105,35,109,78,262,420,1586,0,0,10,31,3,6,64,126,72,165,0,5,28,51,48,95,68,150,141,317,40,82,1204,3185
SAL20106,9,18,0,9,0,4,0,9,7,32,9,51,0,0,3,5,0,8,6,19,14,70,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,10,4,10,3,15,0,0,29,100
SAL20107,4,6,0,0,0,5,0,4,0,13,4,22,0,0,0,0,0,5,0,5,8,26,0,0,0,0,0,0,3,3,8,6,0,0,0,0,0,0,0,0,8,6,0,4,15,35
SAL20108,411,809,7,49,32,138,13,71,214,867,270,1126,21,75,24,79,72,222,112,380,384,1511,0,0,11,27,4,13,63,172,77,209,7,12,7,21,60,132,76,165,155,378,11,26,955,2716
SAL20109,0,8,0,0,0,0,0,0,8,25,8,25,0,3,0,5,4,5,3,20,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,60
SAL20110,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
SAL20111,551,1101,0,9,48,214,8,37,278,1067,336,1330,11,31,49,152,70,216,129,403,462,1735,0,0,19,48,5,29,77,187,100,261,5,19,38,74,84,182,125,272,219,538,29,56,1268,3429
SAL20112,652,1300,8,26,29,141,17,77,257,984,305,1228,14,62,22,77,82,258,117,399,427,1628,3,22,21,74,23,67,130,338,174,497,3,9,29,62,117,251,148,324,326,820,23,51,1428,3792
SAL20113,446,886,7,32,44,186,9,26,248,975,298,1224,11,36,37,128,60,199,112,362,414,1583,6,9,6,22,4,25,69,185,87,243,6,13,16,33,87,180,106,231,196,472,16,31,1069,2979
SAL20114,15,33,0,0,0,6,0,0,4,15,4,13,0,0,0,0,3,19,8,24,14,38,0,0,3,7,0,0,0,4,3,8,0,4,0,0,0,3,0,8,7,17,0,0,36,89
SAL20115,38,71,0,0,6,18,0,0,16,62,20,74,0,0,4,12,9,28,11,37,28,114,0,0,0,7,0,0,0,5,0,14,0,0,0,0,0,6,4,3,8,17,0,0,73,199
SAL20116,20,47,0,0,0,8,0,6,11,49,13,54,0,7,0,6,0,9,3,26,17,82,0,0,0,0,0,0,4,7,4,7,0,0,0,0,6,10,6,10,6,13,0,0,49,146
SAL20117,13,24,0,0,0,3,0,0,8,30,9,33,0,5,0,0,0,10,3,12,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,69
SAL20118,21,39,0,0,0,3,0,0,8,31,9,34,0,0,0,0,6,11,6,17,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,7,0,0,39,98
SAL20119,38,74,0,10,0,16,0,0,11,41,14,68,0,4,5,10,7,28,12,43,27,109,0,0,0,0,0,0,6,7,3,13,0,0,0,0,3,7,5,12,6,20,0,0,76,205
SAL20120,305,614,0,12,27,115,9,34,166,667,198,825,8,36,36,108,44,148,90,295,293,1117,0,0,3,14,3,7,21,62,23,78,4,14,9,21,25,58,41,94,66,174,4,11,669,1915
SAL20121,91,170,0,3,3,17,3,28,20,68,29,115,4,12,7,13,6,22,17,42,42,153,0,0,5,3,0,0,4,21,6,23,0,0,0,7,10,17,10,22,14,45,4,4,145,379
