SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL21144,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,6,0,20
SAL21145,5,0,0,82,5,0,0,12,0,5,0,0,0,6,30,67,0,0,0,0,0,0,0,0,0,0,0,4,167,39,13,292,62,165,21,38,9,88,30,933
SAL21146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,7
SAL21148,0,0,0,33,6,0,0,13,0,0,0,0,0,5,8,26,0,0,0,0,0,0,0,0,0,0,0,0,62,8,0,95,6,16,0,6,0,6,5,216
SAL21149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL21150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,6,7,0,0,0,4,3,40
SAL21151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21152,8,18,0,1184,36,3,0,27,0,21,6,7,3,9,73,182,0,0,0,7,0,6,0,6,0,0,3,20,561,69,20,638,104,322,28,99,27,99,81,2045
SAL21153,7,20,0,936,12,0,0,13,3,6,0,0,3,11,50,93,0,0,3,0,0,0,0,0,0,0,8,13,455,76,18,465,77,267,10,71,9,101,57,1617
SAL21154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
SAL21155,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,14
SAL21156,6,0,0,51,5,0,0,5,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,98,12,25,0,9,6,9,6,218
SAL21157,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,4,6,0,0,3,0,0,34
SAL21158,0,0,0,130,8,7,0,0,3,4,0,3,0,3,18,55,0,0,0,0,0,0,0,0,0,0,0,7,141,62,13,300,41,122,16,33,10,44,25,792
SAL21159,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,18
SAL21160,0,0,0,9,0,0,0,0,0,4,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,4,4,27,15,0,45,10,31,0,11,3,32,12,197
