SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL20011,2698,2755,5457,1596,861,2459,418,739,1156,123,165,287,68,129,204,2213,1890,4103,365,733,1096,3.2,7,5,82,68.7,75.2,79.3,63.8,71.5,299,325,629,40,103,144,601,768,1366,389,314,705,357,249,606,15,24,41,34,39,75,407,314,721,2820,2824,5642,918,934,1852,218,192,408,3077,3158,6234
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,414,455,876,124,76,204,82,133,218,20,17,35,9,0,10,235,233,466,142,185,325,3.8,1.7,2.8,56.7,50.8,53.6,54.5,49.9,52.1,33,56,91,21,31,58,105,133,236,42,54,95,79,28,102,0,0,4,4,7,8,85,32,116,362,393,753,67,59,133,244,257,505,177,188,364
SAL20014,64,65,128,34,24,58,11,15,26,0,4,3,0,0,0,39,41,86,15,16,33,0,0,0,68.9,67.2,68,68.9,67.2,68,0,0,0,0,0,0,6,12,15,3,11,12,19,10,26,0,5,5,0,6,0,18,12,31,62,69,132,10,7,14,53,48,96,19,23,44
SAL20015,3290,3539,6821,1626,1040,2664,403,826,1230,117,178,296,104,88,191,2256,2123,4378,919,1305,2226,4.6,4,4.3,68.6,60.1,64.2,65.4,57.6,61.4,154,192,346,56,136,188,500,728,1220,289,390,682,830,290,1117,30,43,68,42,73,107,893,401,1290,3326,3516,6842,491,504,998,2109,2308,4417,1486,1510,2991
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,2296,2294,4590,766,415,1185,309,420,726,103,73,172,123,110,233,1297,1016,2311,852,1120,1967,9.5,10.5,9.9,56.5,44.3,50.4,51.2,39.7,45.4,56,49,108,10,26,44,193,249,439,163,181,342,380,217,600,23,27,53,39,46,81,439,298,732,2393,2392,4787,273,226,502,1732,1740,3476,790,743,1533
SAL20018,2388,2662,5052,1134,834,1973,350,606,962,76,114,188,53,53,110,1618,1611,3227,676,943,1615,3.3,3.5,3.4,67.6,60.5,63.9,65.4,58.4,61.7,375,422,795,77,140,220,714,793,1511,176,236,414,212,103,318,3,16,19,27,46,75,247,168,411,2287,2504,4792,446,519,962,1474,1643,3121,1112,1248,2365
SAL20019,124,122,242,37,19,58,17,35,45,7,0,3,3,0,9,64,55,116,56,60,114,6.5,5.5,6,50.8,45.1,48,47.5,42.6,45.1,3,3,9,5,5,6,10,7,17,9,14,20,34,15,58,0,0,0,6,0,6,40,21,58,119,121,242,17,22,38,83,77,163,49,50,103
SAL20020,31,36,67,12,7,20,5,15,21,0,0,0,3,0,3,16,24,44,6,11,17,10.5,0,4.9,63.3,59.5,61.2,56.7,59.5,58.2,0,0,0,0,0,0,0,4,11,0,0,8,6,6,11,0,0,0,4,0,4,9,4,11,32,34,67,0,0,0,24,29,43,9,11,16
SAL20021,1995,1722,3716,713,406,1118,352,394,745,85,84,169,99,49,151,1256,930,2186,560,668,1228,8,5.7,7,62.9,54.2,58.9,57.9,51.1,54.8,184,110,293,36,62,98,304,329,637,192,181,376,275,132,406,19,28,39,25,34,54,311,193,502,1751,1555,3305,361,289,648,1034,972,2011,979,775,1756
SAL20022,1147,1241,2386,409,217,623,149,283,435,43,60,100,23,21,43,616,579,1198,466,603,1072,3.6,3.6,3.6,53.9,46.9,50.3,52,45.2,48.5,21,35,53,27,37,63,90,159,242,84,151,235,327,156,478,9,22,30,19,20,41,349,195,546,1113,1196,2312,152,159,309,766,831,1598,433,480,914
SAL20023,4336,4780,9116,2122,1258,3388,670,1521,2191,139,210,350,117,131,244,3052,3121,6170,1127,1507,2638,3.9,4.1,4,70.4,65.2,67.7,67.7,62.5,65,302,288,584,114,233,353,649,976,1626,418,470,892,950,617,1570,32,67,94,37,68,109,1015,752,1768,4315,4613,8922,1147,1194,2345,2386,2542,4934,2762,2971,5735
SAL20024,13,7,16,3,3,5,3,0,5,0,0,0,0,0,0,4,4,8,7,6,7,0,0,0,41.7,37.5,40,41.7,37.5,40,3,0,3,0,0,0,4,4,5,0,0,3,3,0,4,0,0,0,0,0,0,0,0,4,9,11,21,0,0,0,9,3,14,0,0,3
SAL20025,35,29,71,22,9,28,4,3,13,0,0,3,0,0,0,24,18,40,7,11,17,0,5.9,2.5,60.5,53.1,57.1,60.5,50,55.7,0,3,5,0,0,0,5,4,3,0,0,3,15,3,21,0,0,0,0,5,5,15,10,21,32,29,66,7,3,8,23,18,44,18,13,30
SAL20026,33,25,61,13,4,19,11,4,10,0,5,0,0,0,0,20,18,36,9,12,20,0,6.7,2.9,64.5,55.6,60.3,64.5,51.9,58.6,0,0,0,0,0,0,3,4,5,3,0,5,9,0,12,0,0,0,0,3,3,9,3,16,27,20,44,6,4,12,18,18,44,9,8,11
SAL20027,121,113,233,52,21,76,22,32,59,3,6,12,0,0,0,75,71,145,27,30,62,0,1.4,0.7,62,60.9,61.4,62,60,61,0,11,13,0,3,4,18,16,37,7,19,23,41,13,51,0,0,0,0,7,7,46,17,60,128,122,249,7,3,10,99,96,193,26,32,64
SAL20028,559,581,1143,283,145,431,71,183,250,33,42,72,0,10,11,386,377,763,134,172,312,0.8,1.6,1.2,69.4,64.8,67,68.9,63.7,66.3,11,18,30,0,14,16,38,80,121,38,72,108,165,89,258,0,11,10,7,9,15,178,110,287,592,616,1209,43,50,89,456,464,920,158,163,322
SAL20029,78,82,159,33,11,39,10,26,34,8,8,19,0,0,0,51,41,92,21,33,57,1.9,0,1.1,67.5,51.2,59.2,66.2,51.2,58.6,9,8,11,4,0,7,3,11,19,5,14,20,25,11,37,0,0,0,0,0,0,25,13,39,80,77,155,9,9,15,57,59,116,31,22,53
SAL20030,76,63,140,29,7,40,4,19,21,3,3,4,4,0,3,42,32,72,25,29,52,10.3,3.3,7.2,50,47.6,48.9,44.9,46,45.4,0,0,0,0,0,0,0,10,17,0,4,9,25,6,33,0,0,3,0,0,0,25,3,32,67,59,129,9,16,30,45,40,90,27,32,58
SAL20031,85,76,162,35,11,43,3,22,28,0,0,0,0,0,0,40,39,77,33,30,60,0,0,0,42.9,47.4,45.1,42.9,47.4,45.1,0,0,0,0,0,0,0,6,9,0,3,10,26,10,36,5,0,8,0,0,4,32,16,49,73,79,151,9,4,13,60,65,129,18,19,40
SAL20032,8,11,18,9,0,9,0,9,9,0,0,0,0,0,0,9,10,9,7,5,10,0,14.3,8.3,50,63.6,57.1,50,54.5,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,11,18,31,0,0,0,12,12,19,0,0,6
SAL20033,30,28,55,11,3,16,7,5,17,0,0,0,0,0,0,19,14,34,8,7,21,0,6.7,3.2,57.1,51.7,54.4,57.1,48.3,52.6,0,0,0,0,0,3,3,3,7,0,3,4,12,4,9,0,0,0,0,0,0,8,5,13,24,23,54,3,4,3,18,18,36,7,6,19
SAL20034,2275,2552,4823,1107,862,1978,375,731,1110,92,123,215,62,70,130,1639,1789,3433,532,675,1207,3.8,3.9,3.8,72.1,70.2,71.1,69.4,67.5,68.4,350,413,771,107,204,312,683,837,1514,179,213,394,215,90,303,12,16,28,20,32,55,246,140,383,2117,2266,4383,485,585,1075,1418,1530,2947,1081,1204,2278
SAL20035,4468,5015,9484,2153,1492,3644,540,1132,1679,147,232,376,117,130,246,2958,2987,5949,1287,1802,3093,3.9,4.4,4.2,66.2,59.6,62.7,63.7,57,60.1,318,400,723,107,238,348,826,1125,1953,420,521,941,958,402,1358,29,37,62,70,92,163,1061,527,1588,4376,4854,9227,745,830,1572,2848,3142,5988,2011,2281,4291
SAL20036,7408,8045,15453,3289,2010,5305,882,1812,2697,267,351,619,308,260,567,4749,4432,9180,2286,3248,5535,6.5,5.8,6.2,64.1,55.1,59.4,59.9,51.9,55.8,323,340,667,100,269,367,904,1314,2213,602,843,1440,1643,793,2438,53,83,138,93,154,250,1796,1027,2828,7589,8052,15641,829,945,1774,5667,6016,11678,2256,2550,4805
SAL20037,4945,5398,10339,2149,1352,3501,595,989,1576,175,227,399,187,154,340,3103,2719,5824,1504,2327,3833,6,5.7,5.9,62.8,50.4,56.3,59,47.5,53,250,287,536,84,191,276,743,1004,1753,371,488,857,893,368,1252,35,56,90,60,69,129,982,488,1471,4857,5285,10145,896,898,1800,3201,3589,6785,2139,2212,4352
SAL20038,56,57,111,21,6,29,5,23,30,3,0,8,0,0,0,33,35,61,19,18,33,0,3,1.6,54.5,56.9,55.8,54.5,55.2,54.9,0,4,4,0,0,0,3,10,7,9,10,13,13,9,25,0,0,0,3,0,6,20,9,29,60,60,115,3,4,10,42,42,83,19,18,29
SAL20039,26,32,58,4,6,10,3,6,9,4,0,4,0,0,0,15,11,24,12,14,23,0,0,0,42.3,38.7,40.4,42.3,38.7,40.4,0,0,0,0,0,0,0,4,0,0,0,0,7,3,10,0,0,0,0,0,0,7,3,10,26,25,54,0,0,3,20,23,42,4,3,12
SAL20040,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,6,3
SAL20041,102,106,203,40,10,45,7,40,50,4,4,11,4,0,4,52,50,101,41,48,87,5.6,0,2.9,52.9,48,50.5,50,48,49,3,5,7,0,5,5,5,13,26,4,12,18,24,10,39,0,0,5,0,0,0,26,12,42,99,94,193,11,8,15,85,78,165,13,22,34
SAL20042,293,295,589,129,68,199,37,81,119,26,15,44,3,8,11,198,173,374,78,96,174,2,5.1,3.5,66.7,59.7,63.2,65.3,56.6,61,7,9,12,3,6,6,21,47,73,28,39,62,110,29,139,0,0,7,0,9,10,116,43,156,315,305,622,20,26,45,219,218,440,101,89,186
SAL20043,38,42,82,13,3,17,10,9,18,4,11,9,0,0,0,23,20,48,10,18,26,0,0,0,64.1,57.1,60.5,64.1,57.1,60.5,3,0,5,0,0,0,0,4,8,3,5,11,15,7,21,0,0,0,0,0,0,15,7,18,43,36,80,3,6,5,28,25,45,21,18,41
SAL20044,14,7,20,9,4,10,0,0,0,0,0,0,0,0,0,11,4,9,6,9,14,0,0,0,63.6,30,47.6,63.6,30,47.6,0,0,0,0,0,0,3,0,4,4,3,3,0,0,3,0,0,0,0,0,0,0,0,3,16,11,20,0,0,4,8,10,13,5,0,6
SAL20045,21,13,31,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,10,0,9,0,0,0,17.6,27.3,21.4,17.6,27.3,21.4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,3,0,8,9,6,16,0,0,0,10,6,13,0,0,0
SAL20046,1313,1434,2751,430,256,683,243,392,636,62,77,139,32,19,46,767,741,1509,477,621,1097,4,2.4,3.2,58.4,51.6,54.8,56,50.3,53.1,123,143,266,46,88,134,309,381,685,151,176,327,273,93,372,0,19,24,16,20,41,293,136,429,1231,1255,2486,227,261,485,744,776,1517,636,689,1322
SAL20047,11,15,29,8,0,10,3,3,6,0,0,0,0,0,0,14,8,21,0,10,10,0,0,0,92.9,50,71.4,92.9,50,71.4,0,0,0,0,0,0,0,3,3,0,0,0,6,0,6,0,0,0,0,0,0,6,0,7,23,14,39,0,0,0,16,13,31,0,0,6
SAL20048,19,19,43,15,9,15,0,7,5,0,0,0,0,0,0,15,8,19,12,8,15,0,0,0,54.5,55.6,55,54.5,55.6,55,0,0,0,0,0,0,0,4,4,4,3,4,7,0,6,0,0,0,0,0,0,7,0,6,21,16,38,5,0,5,17,15,28,9,7,20
SAL20049,767,780,1546,208,123,330,145,213,360,52,44,104,13,13,26,421,392,814,261,314,575,2.6,3.6,3.1,55.4,50,52.6,53.9,48.2,51,36,50,80,12,38,51,74,121,199,71,87,159,190,74,259,3,9,16,13,12,26,208,97,305,644,651,1296,143,128,265,426,438,862,325,321,645
SAL20050,3,4,12,3,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,7,3,0,0,0,66.7,33.3,44.4,66.7,33.3,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,7,5,0,0,0
SAL20051,17,13,34,10,3,9,0,3,5,0,0,0,0,0,0,9,10,19,8,4,11,0,11.1,5.3,55.6,69.2,61.3,55.6,61.5,58.1,0,0,0,0,0,0,0,0,5,0,0,0,4,4,6,0,0,0,0,0,0,3,4,5,21,16,28,0,3,3,15,4,18,7,6,14
SAL20052,150,135,287,63,19,84,19,30,51,5,3,8,0,0,6,90,58,149,41,51,96,1.1,5.1,2.7,58.6,43.7,51.6,57.9,41.5,50.2,0,3,3,5,4,6,3,15,14,7,10,14,32,10,46,0,5,5,0,6,6,32,18,49,133,114,250,14,5,24,99,81,182,44,35,82
SAL20053,3880,3395,7276,1192,755,1943,392,779,1173,117,148,268,84,62,141,1779,1744,3525,1904,1455,3361,4.6,3.5,4,45.9,51.4,48.4,43.8,49.6,46.5,70,72,142,36,93,127,196,348,548,192,372,565,802,479,1277,34,61,91,24,52,74,860,588,1444,3027,3140,6165,492,553,1039,2036,2066,4099,1288,1454,2733
SAL20054,53,34,83,16,4,24,11,8,14,3,0,3,3,0,6,32,18,45,10,18,28,9.7,6.3,8.5,62,47.1,56,56,44.1,51.2,0,0,0,0,0,0,7,13,21,3,4,6,6,8,14,0,0,0,0,0,0,6,8,14,44,35,75,3,5,8,24,19,41,21,15,37
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,100,80,181,49,23,77,12,24,40,0,0,3,6,5,10,73,57,129,22,28,54,6.9,5.5,6.3,71.3,66.3,69,66.3,62.7,64.7,7,0,4,0,4,7,9,6,21,4,13,22,23,9,32,0,0,0,0,0,0,23,10,36,107,84,188,7,6,21,87,59,151,27,30,53
SAL20057,36,47,81,14,12,30,4,8,9,0,4,4,0,0,0,22,24,46,13,13,28,4.5,3.8,4.2,56.4,59.1,57.8,53.8,56.8,55.4,0,0,0,0,0,0,0,3,8,3,6,11,12,16,22,0,0,0,0,3,3,14,14,28,35,37,77,5,9,14,24,24,48,19,19,40
SAL20058,12,12,18,7,0,9,0,5,3,0,0,0,0,0,4,4,9,10,4,9,9,16.7,20,18.2,60,50,55,50,40,45,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,0,0,0,0,0,0,9,5,11,8,11,23,0,0,0,12,14,20,0,0,0
SAL20059,3,3,12,4,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL20060,8,5,13,3,0,4,0,0,0,0,0,0,0,0,0,3,0,4,4,6,10,0,0,0,44.4,14.3,31.3,44.4,14.3,31.3,0,0,0,0,0,6,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,8,0,6,9,4,10,0,0,3,7,8,15,4,3,6
SAL20061,16,16,33,6,3,5,0,0,0,0,0,0,0,0,0,10,3,13,7,3,10,0,14.3,7.1,46.7,43.8,45.2,46.7,37.5,41.9,0,0,0,0,0,0,6,4,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,13,12,19,0,0,0,6,11,8,10,5,12
SAL20062,1345,1282,2625,498,300,805,203,251,448,50,53,105,72,68,140,825,671,1495,360,498,858,8.4,10.4,9.3,61.2,52.3,56.9,56.1,46.9,51.6,74,71,150,15,37,50,187,194,376,104,117,216,212,120,334,16,19,35,19,22,39,246,165,408,1200,1208,2410,215,199,409,759,784,1540,576,528,1108
SAL20063,242,178,416,103,43,148,32,57,82,7,8,15,4,3,14,150,110,259,53,52,101,5.3,4.5,5,63.2,62.4,62.8,59.8,59.6,59.7,3,7,11,3,10,7,17,27,38,9,13,23,45,19,70,0,3,3,0,0,3,53,25,77,218,170,385,23,17,46,163,123,287,66,59,130
SAL20064,7,4,18,4,5,7,0,0,0,0,0,0,0,0,0,4,8,4,4,0,3,0,0,0,33.3,50,41.2,33.3,50,41.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,3,3,5,0,0,0,0,5,7,0,0,3
SAL20065,119,113,231,29,5,39,14,24,37,0,9,7,0,4,4,44,42,87,48,51,103,0,11.9,5.7,38.5,37.2,37.8,38.5,32.7,35.7,0,0,0,0,3,3,4,5,11,3,9,9,29,15,45,0,0,0,5,0,5,31,17,53,103,94,198,7,12,18,79,74,153,26,32,55
SAL20066,3659,4513,8175,1922,1628,3547,530,1054,1576,123,181,297,105,115,218,2666,2973,5634,835,1359,2194,3.8,3.9,3.9,72.8,65.8,69,70.1,63.3,66.3,587,675,1260,126,252,377,1368,1546,2910,268,479,749,247,158,405,13,26,39,37,62,99,292,250,538,3150,3741,6888,892,1101,1993,1779,2167,3949,2084,2504,4589
SAL20067,43,38,85,18,11,25,10,11,16,0,0,3,0,0,0,27,24,50,15,10,24,0,4,1.9,62.8,64.1,63.4,62.8,61.5,62.2,0,0,3,0,0,0,6,6,4,7,16,19,10,3,19,0,0,0,0,0,0,10,3,19,39,38,76,0,4,7,35,28,59,11,12,23
SAL20068,3948,4385,8332,2326,1338,3667,679,1587,2265,145,289,439,98,114,212,3250,3331,6579,562,930,1494,3,3.4,3.2,82.4,75.9,79,79.9,73.3,76.4,254,241,494,71,199,271,697,1025,1718,442,641,1091,1039,696,1736,41,62,103,48,74,123,1128,837,1962,3836,3973,7814,1345,1528,2870,1071,1095,2168,3589,3935,7527
SAL20069,25,25,51,10,4,20,0,11,11,0,0,0,0,0,0,16,8,30,7,14,14,5.9,0,3.4,70.8,50,60.4,66.7,50,58.3,0,0,0,0,4,4,0,5,3,0,0,0,9,0,12,0,0,0,0,0,0,10,0,11,27,21,47,0,8,8,21,18,39,4,4,15
SAL20070,10,7,19,5,0,4,0,0,3,0,0,0,0,0,0,7,3,12,3,3,3,0,0,0,66.7,66.7,66.7,66.7,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,8,0,13,0,0,3,8,3,8,0,3,0
SAL20071,209,203,419,83,50,136,35,65,99,14,8,21,0,4,7,135,128,262,68,72,136,0.7,3.2,1.9,64.2,61,62.6,63.7,59,61.4,4,9,17,4,7,8,29,36,64,25,35,62,60,15,78,0,0,0,0,6,4,58,23,81,219,220,434,3,4,4,181,171,349,38,43,83
SAL20072,178,162,337,76,30,105,27,60,86,16,10,31,0,0,0,118,102,219,56,59,114,0.8,1,0.9,66.9,60.7,63.9,66.3,60.1,63.3,10,10,20,6,16,23,28,52,83,14,16,30,49,17,65,0,3,3,4,0,3,53,23,76,179,183,360,16,17,29,125,130,256,59,59,122
SAL20073,39,38,76,24,12,33,5,15,17,0,3,6,0,0,0,33,23,55,4,15,20,0,4.3,1.8,86.5,57.5,71.4,86.5,55,70.1,0,0,0,0,4,4,3,6,10,3,0,0,11,4,17,0,0,0,0,0,0,14,9,20,44,41,83,4,0,4,39,37,73,7,3,6
