SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL20118,0,0,0,13,9,0,25,69,14,109
SAL20119,3,3,3,28,6,0,41,188,22,241
SAL20120,51,10,57,417,172,25,610,1180,111,1901
SAL20121,18,0,18,59,37,0,93,283,21,406
SAL20122,0,0,0,4,0,0,3,6,0,11
SAL20123,457,45,509,2373,674,31,3075,7849,385,11312
SAL20124,578,39,622,4001,949,57,5005,11985,514,17505
SAL20125,5,0,5,76,26,4,105,258,33,394
SAL20126,0,0,0,49,19,0,64,125,37,227
SAL20127,0,0,0,21,6,0,29,67,5,99
SAL20128,0,0,0,7,0,0,8,18,0,31
SAL20129,4,0,4,149,20,7,174,465,24,660
SAL20130,0,0,0,10,6,0,14,29,0,46
SAL20131,56,11,71,38,25,4,62,588,64,716
SAL20132,0,0,0,9,0,5,19,29,12,56
SAL20133,103,15,117,1467,294,44,1810,2836,200,4849
SAL20134,0,0,0,5,0,0,3,19,0,18
SAL20135,0,0,0,5,3,0,5,12,0,20
SAL20136,127,28,158,610,144,32,786,1442,94,2328
SAL20137,0,0,0,13,8,0,22,54,4,73
SAL20138,0,0,3,21,3,0,32,124,4,156
SAL20139,0,0,0,0,3,0,9,3,0,9
SAL20140,0,0,0,25,15,3,38,73,9,117
SAL20141,10,0,10,70,31,10,111,261,21,400
SAL20142,0,0,0,8,4,0,6,24,5,44
SAL20143,0,0,0,3,8,0,6,25,3,35
SAL20144,6,0,6,25,7,0,31,157,15,206
SAL20145,0,0,0,4,4,0,5,5,0,15
SAL20146,3,0,3,172,59,5,232,479,74,789
SAL20147,3,0,3,27,12,5,45,96,20,156
SAL20148,0,0,0,35,3,0,38,58,14,104
SAL20149,4,0,4,76,22,0,101,266,13,377
SAL20150,7,4,4,50,21,4,72,143,19,230
SAL20151,3,0,3,29,17,0,50,138,16,204
SAL20152,0,0,0,3,0,0,3,10,3,13
SAL20153,0,0,0,0,0,0,0,11,0,11
SAL20154,0,0,0,11,0,0,11,15,9,37
SAL20155,0,0,0,0,0,0,0,3,0,8
SAL20156,0,0,0,3,0,0,6,22,0,30
SAL20157,0,0,0,8,7,0,12,13,3,25
SAL20158,0,0,0,0,0,0,3,0,0,6
SAL20159,0,0,0,10,7,0,21,55,12,89
SAL20160,0,0,0,46,17,3,66,142,9,213
SAL20161,6,0,6,21,0,0,20,80,10,118
SAL20162,81,13,95,807,281,20,1108,2111,264,3479
SAL20163,0,0,0,6,5,0,8,11,4,21
SAL20164,0,0,0,50,17,0,68,237,47,351
SAL20165,5,4,7,213,63,9,277,561,31,871
SAL20166,0,0,0,12,4,0,22,31,5,59
SAL20167,0,0,0,0,0,0,0,0,0,0
SAL20168,0,0,0,0,0,0,0,16,5,22
SAL20169,37,0,33,334,119,14,465,1276,96,1840
SAL20170,0,0,0,8,0,0,8,12,0,20
SAL20171,0,0,0,72,21,3,98,234,20,359
SAL20172,4,0,4,7,7,0,12,59,9,85
SAL20173,291,60,349,2054,561,50,2666,7103,495,10259
SAL20174,139,116,252,1661,413,44,2121,4759,437,7319
SAL20175,70,11,82,1363,379,34,1780,3858,222,5854
SAL20176,41,3,38,581,189,12,784,1453,142,2383
SAL20177,4,0,8,22,9,0,25,147,15,190
SAL20178,4,0,3,10,12,0,19,117,13,153
SAL20179,0,0,0,3,3,3,8,25,3,45
SAL20180,0,0,0,9,0,0,10,17,0,29
SAL20181,51,14,62,203,83,12,294,1051,109,1461
SAL20182,381,31,419,2490,820,65,3372,7731,355,11453
SAL20183,0,0,0,8,3,0,13,7,0,20
SAL20184,9,0,16,58,24,5,85,225,22,333
SAL20185,0,0,0,15,10,0,26,59,30,107
SAL20186,105,14,116,651,205,11,865,2402,321,3591
SAL20187,0,0,0,0,0,0,3,12,4,15
SAL20188,21,5,31,846,197,23,1071,1939,103,3117
SAL20189,8,0,8,282,92,5,383,716,47,1143
SAL20190,15,0,15,301,121,9,429,916,34,1381
SAL20191,165,14,180,774,314,19,1113,3394,239,4740
SAL20192,123,11,135,712,339,31,1084,2962,260,4307
SAL20193,9,0,9,17,11,0,36,100,16,149
SAL20194,0,0,0,0,0,0,0,0,3,6
SAL20195,49,41,91,186,84,12,286,688,137,1111
SAL20196,5,0,5,63,36,3,104,209,11,327
SAL20197,0,0,0,6,5,0,10,34,12,57
SAL20198,31,3,36,337,61,8,409,1162,89,1656
SAL20199,0,0,0,0,0,0,0,0,0,0
SAL20200,0,0,0,28,13,4,38,81,8,128
SAL20201,400,120,528,2599,731,59,3399,8379,690,12473
SAL20202,4,0,4,0,0,0,7,58,16,72
SAL20203,0,0,9,36,37,0,72,171,20,257
SAL20204,440,80,524,1153,546,64,1760,6710,841,9306
SAL20205,7,0,7,14,4,0,15,105,38,154
SAL20206,0,0,0,5,4,3,12,34,12,53
SAL20207,0,0,0,45,26,8,76,144,5,222
SAL20208,115,16,135,736,339,19,1096,3565,259,4924
SAL20209,0,0,0,4,7,0,12,81,10,103
SAL20210,0,0,0,13,3,4,20,46,15,73
SAL20211,0,0,0,9,3,0,8,31,0,39
SAL20212,0,0,0,30,4,0,30,66,12,113
SAL20213,0,0,0,5,5,0,11,22,3,32
SAL20214,348,23,374,3454,743,53,4248,9892,544,14682
SAL20215,789,40,830,6312,1106,100,7516,15688,806,24008
SAL20216,0,0,0,0,0,0,0,12,0,12
SAL20217,0,0,0,29,8,0,38,96,6,138
SAL20218,0,0,0,7,5,0,11,26,7,43
SAL20219,5,0,5,26,10,0,38,99,27,168
SAL20220,0,0,5,0,0,0,0,25,6,31
SAL20221,8,0,8,30,13,0,43,95,10,148
SAL20222,0,0,0,4,6,0,7,21,3,28
SAL20223,0,0,0,20,6,0,22,110,15,151
SAL20224,892,95,987,9945,2291,242,12477,25722,1661,39859
SAL20225,0,0,0,19,6,0,20,53,9,85
SAL20226,0,0,0,14,3,0,13,73,21,109
SAL20227,0,0,3,16,5,0,19,46,7,67
SAL20228,0,0,0,0,0,0,0,7,0,7
SAL20229,9,0,9,77,32,9,123,271,18,407
SAL20230,0,0,0,17,7,0,22,59,5,84
SAL20231,13,3,15,40,24,3,68,186,10,264
SAL20232,0,0,0,55,11,0,74,160,30,270
SAL20233,9,0,10,1102,191,25,1321,1870,188,3378
SAL20234,0,0,0,0,0,0,0,0,0,0
SAL20235,7,0,7,58,15,0,78,122,17,209
SAL20236,0,0,0,5,0,0,13,22,4,37
SAL20237,4,0,4,8,0,0,8,51,0,53
SAL20238,0,0,0,11,4,0,17,23,6,44
SAL20239,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,0,3,0,0,8
SAL20241,0,0,0,5,0,0,5,27,5,40
SAL20242,4,0,4,30,5,0,34,67,6,108
SAL20243,0,0,0,0,0,0,0,8,0,8
SAL20244,25,6,29,88,20,0,109,417,49,572
SAL20245,0,0,0,0,0,0,0,9,0,9
SAL20246,6,4,11,118,40,5,160,349,67,581
SAL20247,5,0,5,165,44,4,208,505,44,758
SAL20248,51,8,59,716,286,26,1026,2385,134,3546
SAL20249,51,9,58,360,112,13,484,1157,117,1760
SAL20250,0,0,0,22,6,0,33,132,68,231
SAL20251,187,22,216,1074,493,22,1587,3607,194,5389
SAL20252,460,79,535,2493,625,59,3170,8555,452,12186
SAL20253,207,16,225,1601,284,15,1902,4056,163,6117
SAL20254,456,31,480,2028,472,33,2534,6189,311,9035
SAL20255,0,0,0,0,0,0,6,22,3,35
SAL20256,0,0,0,56,15,5,78,223,22,325
SAL20257,67,16,83,318,207,4,533,1706,227,2463
SAL20258,3,0,3,10,0,0,10,26,0,41
SAL20259,3,0,3,21,24,0,48,135,24,204
SAL20260,13,0,13,246,73,9,326,649,63,1032
SAL20261,4,0,4,11,11,0,18,47,6,75
SAL20262,0,0,0,8,0,0,8,16,0,24
SAL20263,0,0,0,9,5,0,18,53,4,82
SAL20264,0,0,0,10,8,0,16,43,12,65
SAL20265,0,0,0,0,0,0,0,4,5,8
SAL20266,0,0,0,9,5,0,14,50,12,69
SAL20267,5,0,3,16,3,0,19,51,6,73
SAL20268,0,0,0,0,4,0,9,8,0,14
SAL20269,0,0,0,0,0,0,0,7,3,9
SAL20270,0,0,0,58,16,0,77,150,28,245
SAL20271,0,0,0,0,0,0,0,0,0,0
SAL20272,0,0,0,21,16,0,32,111,10,159
SAL20273,0,0,0,0,0,0,0,3,0,7
SAL20274,10,0,10,87,46,6,141,362,45,544
SAL20275,0,0,0,4,3,0,8,22,5,41
SAL20276,0,0,0,11,7,0,19,51,16,91
SAL20277,0,0,0,3,3,0,7,33,13,43
SAL20278,165,8,176,1201,353,42,1601,3763,331,5694
SAL20279,4,0,4,60,28,3,88,439,33,556
SAL20280,11,0,13,45,26,0,75,188,16,281
SAL20281,0,0,0,11,5,0,13,12,0,27
SAL20282,3,0,3,41,14,0,58,204,22,281
SAL20283,5,0,5,76,36,3,110,453,40,608
SAL20284,4,0,4,195,49,8,244,451,34,725
SAL20285,5,0,5,27,5,0,30,97,5,133
SAL20286,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,0,0,5,4,5
SAL20288,9,0,13,126,63,12,198,580,87,867
SAL20289,0,0,5,16,7,0,22,89,13,125
SAL20290,0,0,0,0,4,0,4,9,0,9
SAL20291,0,0,0,6,0,0,8,26,0,29
SAL20292,0,0,0,4,0,0,5,3,0,11
SAL20293,0,0,0,8,0,0,8,10,0,17
SAL20294,0,0,0,28,8,0,40,65,4,111
SAL20295,0,0,0,28,7,0,29,68,5,107
SAL20296,0,0,0,5,0,0,3,9,0,14
SAL20297,0,0,0,8,7,0,13,26,3,46
SAL20298,5,0,5,23,11,0,37,82,12,134
SAL20299,0,0,0,9,5,0,11,34,0,45
SAL20300,56,34,89,118,35,0,156,489,151,799
SAL20301,0,0,0,18,7,0,21,57,5,87
SAL20302,0,0,0,14,3,0,17,47,6,70
SAL20303,0,0,0,10,0,0,10,16,4,28
SAL20304,467,42,518,4079,1217,98,5395,13237,945,19579
SAL20305,0,0,0,9,3,0,8,32,4,55
SAL20306,3,0,3,8,4,0,15,52,3,78
SAL20307,11,0,11,1684,343,80,2111,2605,131,4846
SAL20308,0,0,6,14,0,0,18,93,24,136
SAL20309,6,0,6,35,11,3,49,97,20,164
SAL20310,0,0,0,8,6,0,16,25,3,40
SAL20311,0,0,0,5,4,0,11,22,0,33
SAL20312,0,0,0,15,13,0,24,60,3,90
SAL20313,0,0,0,12,0,0,12,14,0,32
SAL20314,375,100,475,1641,324,16,1984,9858,1129,12970
SAL20315,258,20,281,2204,438,29,2677,7207,407,10293
SAL20316,177,20,198,1591,306,23,1917,4864,268,7044
SAL20317,0,0,0,4,3,0,4,14,0,17
SAL20318,0,0,0,3,0,0,3,10,0,7
SAL20319,0,0,0,12,0,0,12,18,0,35
SAL20320,3,0,3,0,0,0,0,25,0,25
SAL20321,0,0,0,23,10,0,36,41,3,78
SAL20322,0,0,0,34,8,0,34,210,17,265
SAL20323,0,0,0,7,0,0,7,3,0,8
SAL20324,104,15,116,1295,289,26,1605,5904,659,8171
SAL20325,0,0,0,13,0,0,13,15,0,29
SAL20326,20,4,22,125,57,3,183,626,91,908
SAL20327,3,0,7,16,15,0,38,91,5,132
SAL20328,0,0,0,3,0,0,3,13,0,23
SAL20329,0,0,0,7,0,0,10,26,0,38
SAL20330,9,0,8,158,55,0,220,639,74,930
SAL20331,44,6,53,638,178,18,835,1689,79,2601
SAL20332,4,0,4,18,4,0,25,69,4,96
SAL20333,5,0,5,21,8,0,24,79,8,115
SAL20334,0,0,0,10,0,0,11,26,3,45
SAL20335,6,0,7,42,16,5,55,205,22,293
SAL20336,64,21,84,347,106,22,474,1558,210,2240
SAL20337,817,133,958,3873,1371,74,5319,13451,869,19635
SAL20338,744,106,854,3296,706,54,4055,8950,587,13592
SAL20339,3,0,5,23,9,0,36,94,19,147
SAL20340,0,0,0,4,0,0,4,3,0,3
SAL20341,0,0,0,4,4,0,9,40,3,55
SAL20342,0,0,0,14,4,0,19,50,8,75
SAL20343,0,0,0,0,0,0,0,9,3,6
SAL20344,0,0,0,6,0,0,6,19,3,32
SAL20345,69,13,80,757,219,43,1017,2488,207,3718
SAL20346,151,19,170,1608,303,16,1922,6637,1282,9840
SAL20347,0,0,0,13,4,4,23,28,6,61
SAL20348,0,0,0,8,4,0,6,13,0,22
SAL20349,0,0,0,0,4,0,4,30,3,41
SAL20350,0,0,4,6,0,0,5,28,5,41
SAL20351,93,16,107,2056,463,56,2578,4823,499,7895
SAL20352,35,4,47,293,48,6,345,1235,128,1704
SAL20353,0,0,0,0,0,0,0,16,0,16
SAL20354,0,0,0,28,17,0,49,110,14,178
SAL20355,3,0,3,10,6,0,16,23,3,44
SAL20356,55,6,59,920,246,26,1193,2203,126,3529
SAL20357,0,0,0,15,11,6,27,55,0,83
SAL20358,6,0,6,22,11,0,30,49,7,85
SAL20359,5,0,5,23,8,0,30,71,4,106
SAL20360,0,0,0,0,0,0,0,0,0,0
SAL20361,411,26,440,2950,709,62,3720,17806,820,22349
SAL20362,159,5,173,1506,400,44,1946,9564,516,12028
SAL20363,254,34,289,2095,463,45,2603,9724,537,12865
SAL20364,14,5,15,125,47,12,179,434,52,667
SAL20365,4,0,4,11,0,3,20,66,4,84
SAL20366,8,0,8,18,20,0,39,111,26,181
SAL20367,4,0,4,14,9,0,31,57,3,84
SAL20368,0,0,0,33,8,0,42,81,0,127
SAL20369,5,0,5,45,6,0,52,123,8,183
SAL20370,0,0,0,0,0,0,0,14,0,18
SAL20371,0,0,0,8,0,0,8,27,8,46
SAL20372,0,0,0,0,0,0,0,0,0,0
SAL20373,4,0,4,28,4,0,34,82,10,124
SAL20374,0,0,0,0,0,0,0,0,0,0
SAL20375,0,0,4,34,23,4,60,142,29,237
SAL20376,6,0,6,26,14,0,38,191,21,253
SAL20377,0,0,0,24,3,0,22,44,3,75
SAL20378,0,0,0,0,0,0,0,9,0,5
SAL20379,0,0,0,0,0,0,0,0,0,0
SAL20380,0,0,0,0,6,0,7,11,0,22
SAL20381,4,0,10,87,48,0,139,394,40,567
SAL20382,0,0,0,4,0,0,4,15,0,18
SAL20383,3,0,5,7,6,0,18,48,11,72
SAL20384,0,0,0,4,7,0,13,61,3,81
SAL20385,0,0,0,4,0,0,4,37,4,42
SAL20386,479,25,515,1761,544,28,2331,6994,277,9601
SAL20387,10,5,15,120,29,3,153,356,56,571
SAL20388,0,5,9,3,9,0,10,47,5,67
SAL20389,0,0,0,6,0,0,8,14,7,33
SAL20390,0,0,0,89,45,3,137,267,22,430
SAL20391,0,0,0,22,11,0,35,105,12,155
SAL20392,0,0,0,18,10,0,25,41,13,80
SAL20393,0,0,0,57,21,6,83,137,18,240
SAL20394,0,0,0,39,11,0,54,87,33,178
SAL20395,0,0,0,84,42,3,125,275,40,439
SAL20396,0,0,0,3,4,0,9,32,0,43
SAL20397,0,0,0,0,0,0,0,0,0,0
SAL20398,4,0,4,7,8,0,13,44,0,52
SAL20399,640,69,719,4093,1200,56,5343,17433,1259,24031
SAL20400,0,0,0,0,9,0,12,37,9,54
SAL20401,0,0,3,13,5,0,19,26,6,54
SAL20402,0,0,0,0,5,0,6,21,0,30
SAL20403,0,0,0,6,10,0,19,54,8,78
SAL20404,0,0,0,43,10,0,60,166,26,249
SAL20405,0,0,0,4,0,3,10,10,4,23
SAL20406,0,0,0,5,7,0,10,22,6,42
SAL20407,0,0,0,0,0,0,0,0,0,0
SAL20408,0,0,0,0,4,0,7,13,0,20
SAL20409,52,6,58,727,277,22,1021,1830,118,2970
SAL20410,0,0,0,36,19,0,52,159,12,223
SAL20411,65,7,72,569,183,22,772,1491,159,2422
SAL20412,0,0,0,15,10,0,20,50,5,82
SAL20413,0,0,0,0,0,0,0,0,0,0
SAL20414,0,0,0,0,0,0,0,14,0,14
SAL20415,0,0,0,3,0,0,9,7,3,17
SAL20416,0,0,0,4,5,0,11,21,9,36
SAL20417,0,0,0,3,3,0,9,22,5,34
SAL20418,3,0,12,106,19,0,123,526,51,698
SAL20419,138,65,200,1045,238,13,1295,3028,272,4594
SAL20420,13,0,11,1551,206,24,1783,2601,152,4541
SAL20421,0,0,0,0,4,0,10,25,4,30
SAL20422,4,0,4,41,8,0,50,111,20,182
SAL20423,0,0,0,0,4,0,4,17,0,18
SAL20424,0,0,0,0,0,0,0,19,0,25
SAL20425,0,0,0,23,12,0,39,151,34,224
SAL20426,505,34,545,2124,469,34,2627,9721,782,13128
SAL20427,354,11,372,1654,477,12,2145,6712,359,9214
SAL20428,3,0,3,107,43,4,153,312,20,481
SAL20429,0,0,0,0,0,0,4,29,3,43
SAL20430,0,0,0,0,0,0,3,6,0,6
SAL20431,12,3,14,70,19,0,86,379,44,513
SAL20432,0,0,0,15,4,0,16,84,9,109
SAL20433,0,0,0,26,7,0,32,59,3,96
SAL20434,0,0,0,23,7,0,31,97,7,137
SAL20435,6,0,6,18,4,0,17,56,13,94
SAL20436,0,0,0,22,7,0,30,86,18,138
SAL20437,8,0,3,86,48,4,133,215,40,383
SAL20438,0,0,0,0,3,0,3,11,0,10
SAL20439,0,0,0,3,0,0,6,44,0,46
SAL20440,0,0,0,4,0,0,4,5,11,17
SAL20441,88,3,92,1681,477,24,2191,5529,394,8106
SAL20442,0,0,0,0,0,0,0,0,0,0
SAL20443,0,0,0,33,3,0,35,96,17,153
SAL20444,108,28,131,593,271,22,887,2449,308,3643
SAL20445,0,0,0,36,7,0,46,82,12,137
SAL20446,0,0,0,7,0,0,7,27,0,41
SAL20447,5,0,5,77,30,0,105,173,22,307
SAL20448,0,0,0,7,0,0,10,17,8,33
SAL20449,0,0,0,0,0,0,0,10,0,10
SAL20450,0,0,0,3,0,0,9,18,0,26
SAL20451,0,0,0,34,16,3,52,72,12,139
SAL20452,0,0,0,0,0,0,0,0,0,0
SAL20453,901,99,1008,3691,1101,63,4848,12992,654,18498
SAL20454,0,0,0,74,8,4,89,128,4,217
SAL20455,99,11,113,607,143,10,760,2903,329,3988
SAL20456,0,0,0,5,0,0,5,13,0,20
SAL20457,25,5,30,380,117,16,507,1070,87,1664
SAL20458,0,0,0,3,0,0,0,41,0,43
SAL20459,6,0,6,9,0,0,15,18,8,41
SAL20460,112,14,130,412,176,14,601,2014,220,2840
SAL20461,98,54,150,655,230,18,905,2246,225,3371
SAL20462,0,0,0,0,0,0,0,6,0,4
SAL20463,0,0,0,11,8,0,14,37,23,71
SAL20464,0,4,4,19,6,0,27,121,26,177
SAL20465,0,0,0,3,0,0,3,10,0,13
SAL20466,7,0,7,108,37,3,152,340,45,531
SAL20467,0,0,0,12,8,0,14,15,0,30
SAL20468,303,21,323,1338,499,19,1852,4499,214,6564
SAL20469,0,0,0,13,10,0,24,105,13,137
SAL20470,3,0,3,7,7,0,21,106,4,127
SAL20471,0,0,0,0,0,0,0,5,0,5
SAL20472,0,0,0,5,0,0,5,19,4,32
SAL20473,20,6,23,150,71,0,225,704,50,972
SAL20474,9,0,7,63,41,5,109,338,45,495
SAL20475,21,0,18,402,93,15,509,1126,236,1870
SAL20476,538,118,665,556,241,16,806,3310,468,4589
SAL20477,0,0,0,3,0,0,10,25,14,45
SAL20478,0,0,0,10,0,0,11,34,7,59
SAL20479,0,0,0,0,0,0,0,0,0,3
SAL20480,6,0,3,35,19,4,58,129,14,203
SAL20481,0,0,0,4,6,0,14,35,3,46
SAL20482,0,0,0,7,7,0,7,14,0,27
SAL20483,0,0,0,9,4,5,15,31,7,51
SAL20484,0,0,0,19,14,0,33,46,0,83
SAL20485,3,0,3,226,62,6,290,508,17,816
SAL20486,5,0,4,239,53,9,302,324,27,651
SAL20487,5,0,5,52,23,0,77,190,22,294
SAL20488,6,0,8,138,40,8,184,445,46,672
SAL20489,0,0,0,7,0,0,7,23,6,33
SAL20490,0,0,0,5,0,0,10,12,0,22
SAL20491,0,0,0,0,0,0,0,10,4,16
SAL20492,14,0,14,190,62,12,262,639,65,965
SAL20493,0,0,0,20,10,0,36,91,17,141
SAL20494,0,0,0,74,26,3,103,175,31,313
SAL20495,191,18,217,855,326,15,1197,12983,1009,15192
SAL20496,83,6,96,764,283,25,1073,4287,186,5544
SAL20497,6,0,6,12,0,0,12,57,7,75
SAL20498,339,103,446,2855,526,45,3428,11295,710,15429
SAL20499,0,0,0,31,17,3,58,66,9,137
SAL20500,95,5,102,4991,838,96,5927,12078,881,18880
SAL20501,0,0,6,15,0,0,24,50,16,87
SAL20502,0,0,0,9,0,0,8,67,3,83
SAL20503,3,0,3,15,4,0,23,78,14,110
SAL20504,0,0,0,5,0,0,3,24,9,38
SAL20505,0,0,0,11,0,0,7,26,4,36
SAL20506,0,0,0,0,0,0,0,4,0,15
SAL20507,64,4,70,738,216,14,961,2370,151,3486
SAL20508,349,75,423,3918,969,105,4984,11857,920,17764
SAL20509,0,0,0,8,8,0,17,25,10,48
SAL20510,3,0,3,35,25,0,58,98,10,170
SAL20511,0,0,0,0,0,0,0,21,0,21
SAL20512,0,0,0,36,11,0,52,144,13,217
