POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
206051128,74,19,8,1878,1323,190,82,12,11,1622,1065,188,92,15,5,1372,779,187,77,9,6,1056,497,128,59,16,0,706,213,67,60,17,0,360,87,75,40,9,3,214,24,35,26,16,3,101,13819,1331,695,150,70,16077
206051129,53,9,4,293,132,75,74,11,0,291,165,73,68,5,3,313,112,48,49,7,3,215,66,51,38,3,0,157,28,23,28,5,0,85,17,14,8,3,0,46,7,7,4,3,0,20,1709,448,492,55,16,2720
206051130,50,6,0,446,278,88,57,17,0,437,270,92,44,8,3,413,203,82,48,14,0,352,159,75,33,12,5,279,73,50,23,0,0,148,27,23,15,5,0,72,10,11,10,4,5,48,3271,633,404,75,19,4404
206051134,60,3,0,353,164,59,58,3,0,291,183,53,37,9,5,283,133,58,44,5,0,238,113,26,43,3,0,180,48,21,26,3,3,102,20,23,13,0,0,53,18,8,14,0,0,39,2529,436,473,45,19,3500
206051511,82,19,13,3659,2997,174,66,3,14,3260,2675,194,68,18,12,2961,1984,144,60,13,13,2209,1200,108,45,6,9,1375,496,74,29,6,6,618,125,50,3,8,0,189,38,11,3,3,3,61,27599,1411,832,119,150,30107
206051512,76,17,7,2382,1636,243,94,12,3,1994,1348,208,84,6,6,1659,910,189,68,14,4,1185,632,134,70,15,4,859,260,94,44,18,6,420,89,35,33,11,6,172,40,20,22,8,9,95,18721,1542,760,145,79,21249
206051513,51,4,3,590,447,77,43,5,0,579,392,71,39,8,0,514,312,57,34,11,5,410,216,52,37,0,0,316,103,36,27,6,0,177,45,19,14,3,0,86,20,4,3,4,0,43,4511,533,449,51,27,5570
206051514,47,8,5,988,768,79,56,0,4,903,634,104,54,8,0,804,476,77,50,10,3,612,311,60,56,12,3,435,130,45,29,5,6,204,59,24,19,9,0,111,19,12,13,3,0,52,8060,606,526,74,24,9288
206061135,49,10,0,612,475,89,44,8,8,619,469,79,48,13,0,609,391,72,52,8,3,525,249,48,44,12,7,354,171,32,25,8,3,234,62,28,18,13,3,127,27,24,22,10,0,82,5286,610,475,98,31,6497
206061136,80,11,4,969,601,153,94,10,5,858,519,160,73,23,0,778,405,127,87,18,3,637,260,93,55,16,0,426,164,53,36,9,3,268,49,46,29,7,0,131,13,15,20,4,3,56,9007,1158,814,133,43,11151
206061138,41,6,6,406,265,79,40,13,0,405,311,97,49,12,0,469,312,99,46,12,7,477,240,67,57,12,4,390,118,67,38,16,7,247,66,71,38,15,0,184,27,47,30,13,10,127,3383,710,470,129,32,4728
206061515,41,5,0,616,430,73,38,7,0,548,382,93,32,7,0,520,283,66,42,15,0,409,191,51,36,4,0,287,89,29,20,6,0,142,37,38,12,4,0,91,10,21,6,6,0,52,5687,606,392,81,36,6791
206061516,59,8,0,559,339,84,56,10,3,491,267,96,49,11,3,420,223,74,43,7,0,347,111,51,22,6,0,202,68,32,22,9,0,124,21,25,18,4,0,77,9,15,11,8,0,38,5198,671,436,88,27,6417
206071139,52,8,5,1209,966,82,33,5,6,1088,753,93,32,5,3,888,601,71,37,10,4,717,406,48,36,14,0,502,196,36,13,10,0,253,54,13,14,9,0,94,17,4,8,3,0,36,9528,597,421,70,30,10652
206071140,46,8,0,212,118,24,30,7,0,185,128,51,44,6,0,225,76,30,41,3,0,156,83,27,35,7,0,158,30,16,24,6,0,74,17,12,19,0,4,49,9,11,11,3,0,33,1633,255,376,40,10,2317
206071141,78,11,6,1501,937,145,67,9,5,1167,767,120,56,9,4,961,597,95,38,6,4,742,360,63,30,10,3,466,198,47,24,9,0,273,69,18,4,7,0,99,23,19,10,5,3,52,11947,1060,633,95,55,13793
206071142,88,15,10,1598,1097,141,72,11,9,1326,994,108,89,13,4,1211,842,95,71,12,6,1025,652,46,51,0,0,760,318,45,27,7,5,392,102,23,18,4,7,148,25,17,15,4,4,66,13834,910,731,96,68,15640
206071143,61,3,5,367,239,68,71,0,8,384,214,56,59,7,0,331,190,56,53,6,0,301,139,44,46,3,0,238,50,23,33,4,0,109,28,15,19,4,0,67,14,12,7,3,0,46,3060,420,576,40,33,4130
206071145,45,0,4,470,303,36,40,0,0,383,313,51,38,5,4,405,274,28,35,0,0,337,201,31,31,4,0,266,96,23,34,4,0,159,26,14,17,0,0,57,14,9,11,9,0,41,3466,286,372,29,18,4164
206071517,95,16,8,3286,2224,258,91,20,15,2610,1640,250,95,14,7,2002,1002,152,84,8,5,1255,667,101,60,13,8,847,262,84,34,14,4,405,98,43,28,9,6,183,27,18,16,9,9,78,25741,1740,872,148,98,28596
206071518,61,0,6,1566,1201,106,70,11,10,1393,1125,107,74,9,0,1315,857,110,62,8,0,1042,610,66,52,9,5,734,302,44,42,11,5,400,85,32,22,8,4,153,29,17,17,0,0,72,13966,817,639,94,51,15567
207011146,15,4,0,204,167,58,42,4,0,268,150,42,27,10,0,231,112,33,22,6,0,175,94,28,22,8,0,149,62,24,18,4,0,109,15,16,6,4,0,46,14,5,6,3,0,31,1785,317,235,44,6,2390
207011147,43,11,0,426,313,112,45,20,3,499,304,107,61,24,4,495,316,87,61,14,3,480,204,63,41,16,9,341,130,54,26,10,0,218,43,30,21,3,5,99,31,22,14,8,0,66,3710,693,446,138,30,5014
207011148,27,13,8,343,210,125,54,19,0,420,242,110,61,15,3,431,206,85,61,15,4,372,152,56,38,9,4,263,82,36,29,8,0,161,37,22,18,7,0,88,16,23,11,13,0,62,2488,662,441,135,23,3755
207011149,72,23,5,934,733,121,61,19,4,941,723,143,85,17,5,978,612,118,72,14,8,825,471,95,67,21,0,654,224,64,56,14,6,368,83,33,51,16,4,179,31,19,19,16,0,88,7807,888,655,183,33,9574
