POW_SA2_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
212031308,105,32,10,1012,12,0,6,15,0,24,57,3,3,0,0,64,42,0,15,5,0,66,54,3,9,4,0,81,91,0,19,6,5,114,142,15,27,8,5,196,198,24,31,9,5,259,284,42,34,5,0,362,204,36,32,3,0,267,131,34,10,6,0,187,94,22,24,0,3,147,56,18,9,0,0,94,57,29,19,0,0,107,9,15,5,0,0,23,9,21,6,0,0,39,11,7,0,0,0,17,1451,275,241,59,21,2046
212031457,90,13,0,1006,13,0,3,3,0,14,123,0,4,0,0,132,123,3,13,3,0,137,82,3,10,0,0,94,94,5,10,5,0,118,121,4,18,0,0,150,134,20,30,0,0,191,153,25,27,3,0,210,145,21,19,0,6,192,90,23,24,0,0,136,64,28,7,0,0,112,40,13,14,0,0,67,46,27,6,0,0,83,17,0,3,0,0,25,7,12,10,0,0,26,20,0,0,0,0,22,1274,200,199,21,7,1701
212031458,99,19,8,1070,7,0,0,11,0,15,39,0,8,0,4,51,56,0,12,4,0,77,45,3,17,6,3,71,51,4,13,4,0,78,101,8,23,9,0,141,120,17,28,0,0,171,172,22,28,4,0,225,163,27,17,4,0,207,150,19,29,0,0,198,115,17,15,0,0,147,81,6,6,0,0,92,121,22,7,0,0,158,9,4,6,0,0,19,5,7,6,0,0,17,11,0,0,0,0,17,1250,161,220,38,9,1679
212031555,65,10,3,704,11,0,0,3,0,10,70,0,10,0,0,84,60,3,3,4,0,68,31,6,7,0,0,43,65,4,13,5,0,80,84,4,15,0,0,98,90,3,21,0,0,122,99,20,19,5,0,144,99,18,22,0,0,138,83,22,14,0,0,117,73,17,5,0,0,99,54,10,6,3,0,75,84,9,10,0,0,102,4,10,3,0,0,18,6,11,3,0,0,18,3,0,0,0,0,3,915,133,150,21,3,1226
212031556,84,17,3,725,8,0,3,3,0,15,48,0,6,0,0,62,41,0,7,5,0,49,45,8,13,0,0,72,59,7,21,9,0,94,114,16,30,3,3,163,151,33,28,0,0,202,206,34,34,5,0,282,192,39,47,3,0,279,101,32,27,0,0,161,65,27,21,0,0,117,46,26,12,0,0,77,45,35,5,0,0,89,3,14,3,0,0,23,10,3,0,0,0,24,10,0,3,0,5,17,1135,272,264,38,16,1724
212031557,120,30,9,1573,13,4,4,8,0,26,78,5,7,4,0,95,105,9,15,0,0,131,81,9,14,0,0,109,106,13,22,4,0,150,173,30,34,8,0,236,255,28,42,3,5,335,347,32,55,4,4,439,308,46,29,0,0,387,230,40,22,6,4,293,185,24,17,0,0,222,99,14,8,0,0,120,148,21,17,0,0,178,16,7,3,0,0,30,18,20,9,0,0,42,23,0,4,0,0,24,2172,284,297,44,14,2818
212031558,60,8,7,800,6,0,0,3,0,11,54,0,6,0,0,57,38,4,9,0,0,56,37,3,6,3,0,46,62,3,14,0,0,78,89,4,24,0,0,113,117,15,19,0,0,152,143,18,31,3,0,192,155,11,22,0,0,195,113,19,16,0,0,148,77,7,9,0,0,94,82,9,13,0,0,101,97,12,5,0,0,117,17,0,0,0,0,19,21,4,0,0,0,22,8,0,0,0,0,13,1101,107,168,18,6,1399
212031559,66,16,8,832,4,0,0,4,0,5,44,0,3,0,0,52,42,0,8,0,0,51,50,6,6,0,0,57,51,11,18,0,0,80,84,12,9,3,5,116,156,16,21,8,4,196,154,27,23,3,4,209,137,20,22,0,0,182,113,22,22,0,0,157,84,8,8,0,0,104,58,9,6,0,0,73,69,14,5,0,0,86,5,3,0,0,0,17,4,10,7,0,0,16,5,0,0,0,4,11,1072,142,167,26,16,1413
212031560,73,9,5,693,9,0,4,7,0,12,23,0,7,0,0,30,37,0,8,0,0,52,31,4,3,3,0,37,54,6,6,0,0,71,78,12,15,0,0,106,89,19,21,0,0,134,108,16,10,3,0,142,85,12,20,0,0,112,91,12,6,3,0,114,65,15,10,0,0,84,51,11,6,0,0,65,81,11,9,0,0,100,9,4,0,0,0,16,6,13,10,0,0,25,10,0,0,0,0,11,826,125,145,16,3,1110
212031561,56,17,0,474,5,0,3,4,0,16,17,0,3,0,0,24,12,4,4,6,0,18,25,4,10,5,0,38,19,4,12,0,0,31,51,7,19,4,3,92,76,14,15,0,0,104,76,15,17,0,0,122,80,16,23,5,0,118,59,7,13,3,0,83,47,10,8,0,0,66,35,7,0,0,0,43,43,9,0,0,0,54,9,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,556,90,140,28,5,815
