POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
209011202,6,20,0,0,30,1462,1643,196,53,3348
209011203,4,14,0,0,20,2015,1115,116,41,3288
209011204,0,8,0,0,8,702,716,80,31,1532
209021205,6,14,3,6,30,3581,2261,323,90,6259
209021428,16,35,9,4,63,10369,6679,1005,333,18384
209021429,3,8,0,0,15,1265,1166,121,44,2595
209021523,0,6,0,5,16,708,709,86,29,1529
209021524,0,4,0,0,8,579,468,46,30,1123
209021525,0,6,0,0,5,888,942,111,32,1977
209021526,11,12,0,0,27,2887,1559,181,111,4739
209031209,14,55,3,0,73,2948,3213,419,86,6668
209031210,0,3,0,0,3,292,314,30,6,642
209031211,3,10,0,0,18,470,318,57,17,858
209031212,9,16,0,0,28,586,508,67,18,1179
209031213,0,17,0,0,23,1091,925,128,25,2166
209031214,0,10,3,0,11,753,622,82,26,1482
209031215,3,19,0,0,28,1266,1395,175,36,2875
209041216,3,11,0,0,13,2786,1636,271,78,4768
209041217,3,3,0,0,12,704,1102,107,25,1932
209041220,3,12,0,0,22,2343,2789,381,109,5617
209041221,0,0,0,0,0,396,359,34,12,811
209041223,34,36,13,3,83,11962,4546,533,359,17393
209041224,7,13,0,0,23,1714,1653,178,78,3623
209041225,9,25,0,3,32,1224,1054,133,39,2459
209041431,0,3,0,0,8,752,623,75,36,1480
209041432,16,18,0,0,27,8498,5581,787,281,15155
209041433,3,0,0,0,3,2246,1170,128,98,3642
209041435,0,4,0,0,4,444,372,44,19,878
209041436,0,12,0,0,12,1702,1501,152,63,3415
209041437,0,0,0,0,0,1179,760,60,37,2036
209041527,0,0,0,0,4,1404,1039,131,53,2625
209041528,0,0,0,0,3,456,510,38,20,1025
209041529,0,7,0,0,11,572,690,56,31,1347
209041530,7,3,0,0,7,1736,942,80,72,2830
209041531,0,5,0,0,6,512,544,55,20,1129
209041532,0,5,0,0,5,716,572,78,16,1384
210011226,4,8,3,0,20,2619,1947,308,85,4961
210011227,0,8,0,0,11,3863,1447,371,118,5795
210011228,32,37,8,10,78,13707,4365,612,364,19052
210011230,6,8,0,0,5,1274,1007,142,44,2467
210011231,0,14,3,0,12,689,677,88,22,1470
210011533,0,11,0,0,12,642,831,69,46,1583
210011534,3,11,0,0,16,1149,1097,120,56,2424
210021232,10,14,0,0,27,2150,2010,225,81,4464
210021233,5,5,0,0,15,416,326,63,10,827
210021234,0,8,0,0,14,393,373,47,11,819
210021235,23,29,0,4,59,1157,956,133,56,2301
210031236,14,19,0,0,35,3258,1877,206,100,5440
210031237,4,6,0,0,11,1239,1048,113,67,2467
210031439,0,0,0,0,0,90,72,9,3,173
210031440,0,0,0,0,0,848,451,60,27,1382
210031535,0,4,0,0,4,1112,964,111,50,2238
210031536,0,7,0,0,6,722,684,89,25,1522
210031537,0,0,0,0,0,398,416,42,6,862
210031538,0,4,0,0,8,1227,1016,135,30,2401
210041240,6,10,0,0,20,1116,801,114,39,2068
210041539,0,0,0,0,3,251,186,24,7,467
210041540,6,19,0,0,22,3070,3032,385,87,6578
210041541,3,0,0,0,10,560,412,62,27,1061
210051242,6,16,6,0,29,7935,4096,562,261,12848
210051243,35,40,4,4,82,19033,6085,701,556,26381
210051245,3,11,0,0,20,2179,1685,235,86,4193
210051246,9,6,0,0,17,1555,1136,114,70,2879
210051247,0,0,0,0,0,362,435,45,39,884
210051248,13,6,0,0,22,9932,4287,1535,338,16084
210051250,0,7,0,0,12,3025,1067,145,98,4332
210051441,0,0,0,0,0,668,663,74,35,1437
210051442,0,3,0,0,3,794,746,71,47,1656
210051443,4,10,0,0,16,3239,1334,201,128,4897
210051445,0,4,0,0,4,1526,944,97,73,2642
210051542,0,0,0,0,0,294,224,30,10,560
210051543,0,0,0,0,0,1078,1558,173,80,2892
210051544,7,5,0,0,17,5520,2287,200,213,8221
210051545,0,0,0,0,0,380,509,49,30,971
211011251,31,49,10,3,95,9672,3329,431,205,13634
211011254,22,32,10,0,68,12846,3845,567,259,17517
211011255,3,0,0,0,7,369,293,39,7,706
211011256,6,6,0,4,12,3456,2114,232,64,5866
211011257,0,6,0,0,10,2287,745,78,50,3154
211011258,4,4,0,0,10,1628,783,90,41,2543
211011259,3,13,5,4,28,2041,2414,261,77,4792
211011260,10,28,3,3,40,3434,3772,544,122,7877
211011446,9,25,0,0,37,3712,2842,328,97,6973
211011447,5,22,5,4,29,1318,1343,132,29,2820
211011448,7,17,3,0,29,2833,2433,308,61,5638
211011449,0,7,0,0,8,250,283,32,4,569
211021261,5,38,0,3,46,1378,1344,111,41,2874
211021262,13,28,0,0,48,1055,1164,187,30,2438
211031263,13,30,6,4,50,6815,2563,315,167,9859
211031265,3,9,5,0,20,1108,941,99,26,2171
211031266,19,47,12,3,74,8261,6639,1073,212,16187
211031267,7,31,3,0,41,3118,2956,334,72,6475
211031268,0,18,0,0,18,587,817,73,22,1500
211031450,4,22,3,0,31,2191,1802,259,68,4317
