stopid,hhid,persid,stopno,travdow,origplace1,origplace2,origlga,starthour,origpurp1,origpurp2,destplace1,destplace2,destlga,someoneelse,person1,person2,person3,person4,person5,person6,person7,person8,person9,person10,person11,person12,person13,person14,person15,person16,person17,person18,person19,person20,destpurp1,destpurp2,fullmode,mainmode,faretype,vehoccup,tollroad,arrhour,startime,arrtime,dephour,deptime,travtime,vistadist,duration,entrytype,tripid,stoppoststratweight,stoppoststratweight_GROUP_1,stoppoststratweight_GROUP_2,stoppoststratweight_GROUP_3,stoppoststratweight_GROUP_4,stoppoststratweight_GROUP_5,stoppoststratweight_GROUP_6,stoppoststratweight_GROUP_7,stoppoststratweight_GROUP_8,stoppoststratweight_GROUP_9,stoppoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260102P01S03,Y25H6260102,Y25H6260102P01,3,Tuesday,Accommodation,Survey Home,Greater Dandenong (C),15,At Home,Go home,Place of work,My Workplace,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Work Related,Own Workplace,Car Driver,Vehicle Driver,Not applicable,1,No,15,900,915,24,1485,15,5.64462,570,Travel day form only,Y25H6260102P01T03,1505.13155993,1678.309427824,1719.643390668,1837.848191277,1429.869625567,1460.759174305,1675.048155272,1973.805422996,1477.832741624,1460.412531362,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01S04,Y25H6260102,Y25H6260102P01,4,Tuesday,Place of work,My Workplace,Greater Dandenong (C),24,Work Related,Own Workplace,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,25,1485,1500,N/A - Did not depart,N/A - Did not depart,15,5.64462,Home/Last Trip of Day,Travel day form only,Y25H6260102P01T04,1505.13155993,1678.309427824,1719.643390668,1837.848191277,1429.869625567,1460.759174305,1675.048155272,1973.805422996,1477.832741624,1460.412531362,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P03S01,Y25H6260102,Y25H6260102P03,1,Tuesday,Accommodation,Survey Home,Greater Dandenong (C),5,At Home,Go home,Place of work,My Workplace,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Work Related,Own Workplace,Car Driver,Vehicle Driver,Not applicable,1,No,5,330,345,14,870,15,4.61658,525,Travel day form only,Y25H6260102P03T01,1419.351207791,1758.911043983,1489.254223172,1662.222234217,1302.212570698,1398.561652173,1664.32482425,1897.963308274,1373.201179744,1377.060605324,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P03S02,Y25H6260102,Y25H6260102P03,2,Tuesday,Place of work,My Workplace,Greater Dandenong (C),14,Work Related,Own Workplace,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,14,870,885,N/A - Did not depart,N/A - Did not depart,15,4.61658,Home/Last Trip of Day,Travel day form only,Y25H6260102P03T02,1419.351207791,1758.911043983,1489.254223172,1662.222234217,1302.212570698,1398.561652173,1664.32482425,1897.963308274,1373.201179744,1377.060605324,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260134P01S11,Y25H6260134,Y25H6260134P01,11,Saturday,Transport Feature,Train Station,Greater Dandenong (C),14,Change Mode,Got on or off PT,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Walking,Walking,Not applicable,Not applicable,Not applicable,14,869,880,N/A - Did not depart,N/A - Did not depart,11,0.98324,Home/Last Trip of Day,Travel day form only,Y25H6260134P01T03,1225.556538169,0.0,1407.963277847,1170.420024241,1276.826152465,1046.010903744,1411.950768966,1735.907834556,1313.229758835,1247.406866301,1401.63924832,MELB - Middle,Greater Melbourne,Weekend
Y25H6260103P03S01,Y25H6260103,Y25H6260103P03,1,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),5,At Home,Go home,Place of work,My Workplace,Melbourne (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Work Related,Own Workplace,4WD Driver,Vehicle Driver,Not applicable,1,No,5,330,350,15,930,20,34.03512,580,Travel day form only,Y25H6260103P03T01,1241.18169407,1420.186732136,1498.217981615,1437.522519618,1203.753368953,1245.724222784,1326.487390392,1621.786514134,1223.634656616,1296.153577055,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P03S02,Y25H6260103,Y25H6260103P03,2,Wednesday,Place of work,My Workplace,Melbourne (C),15,Work Related,Own Workplace,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,4WD Driver,Vehicle Driver,Not applicable,1,No,16,930,960,N/A - Did not depart,N/A - Did not depart,30,34.03512,Home/Last Trip of Day,Travel day form only,Y25H6260103P03T02,1241.18169407,1420.186732136,1498.217981615,1437.522519618,1203.753368953,1245.724222784,1326.487390392,1621.786514134,1223.634656616,1296.153577055,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P01S01,Y25H6260117,Y25H6260117P01,1,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),5,At Home,Go home,Place of work,My Workplace,Melbourne (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Work Related,Own Workplace,Ute Driver,Vehicle Driver,Not applicable,1,No,6,350,400,16,1010,50,34.32071,610,Travel day form only,Y25H6260117P01T01,975.021862368,1290.724700869,1027.164516563,1098.995134085,930.765307556,997.689812971,1064.739164196,1158.44952606,996.757696142,1005.318911677,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P01S02,Y25H6260117,Y25H6260117P01,2,Wednesday,Place of work,My Workplace,Melbourne (C),16,Work Related,Own Workplace,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Ute Driver,Vehicle Driver,Not applicable,1,No,18,1010,1080,N/A - Did not depart,N/A - Did not depart,70,34.32071,Home/Last Trip of Day,Travel day form only,Y25H6260117P01T02,975.021862368,1290.724700869,1027.164516563,1098.995134085,930.765307556,997.689812971,1064.739164196,1158.44952606,996.757696142,1005.318911677,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S01,Y25H6260117,Y25H6260117P02,1,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),8,At Home,Go home,Place of education,Secondary School,Greater Dandenong (C),No,No,Not applicable,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Car Driver,Vehicle Driver,Not applicable,4,No,8,480,494,8,495,14,6.21269,1,Both,Y25H6260117P02T01,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S02,Y25H6260117,Y25H6260117P02,2,Wednesday,Place of education,Secondary School,Greater Dandenong (C),8,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Place of education,Primary School,Greater Dandenong (C),No,No,Not applicable,No,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Car Driver,Vehicle Driver,Not applicable,3,No,8,495,512,8,513,17,5.52785,1,Both,Y25H6260117P02T02,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S03,Y25H6260117,Y25H6260117P02,3,Wednesday,Place of education,Primary School,Greater Dandenong (C),8,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,8,513,515,8,535,2,0.69392,20,Both,Y25H6260117P02T03,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S04,Y25H6260117,Y25H6260117P02,4,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),8,At Home,Go home,Retail venue,Shopping Centre,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Buy Something,Bought something,Car Driver,Vehicle Driver,Not applicable,1,No,8,535,539,9,591,4,2.80007,52,Both,Y25H6260117P02T04,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S05,Y25H6260117,Y25H6260117P02,5,Wednesday,Retail venue,Shopping Centre,Greater Dandenong (C),9,Buy Something,Bought something,Retail venue,Supermarket,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Buy Something,Bought something,Car Driver,Vehicle Driver,Not applicable,1,No,9,591,597,10,607,6,4.30728,10,Both,Y25H6260117P02T05,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S06,Y25H6260117,Y25H6260117P02,6,Wednesday,Retail venue,Supermarket,Greater Dandenong (C),10,Buy Something,Bought something,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,10,607,610,13,837,3,2.21233,227,Both,Y25H6260117P02T06,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S07,Y25H6260117,Y25H6260117P02,7,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),13,At Home,Go home,Place of education,Secondary School,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Car Driver,Vehicle Driver,Not applicable,1,No,14,837,850,14,855,13,6.21277,5,Both,Y25H6260117P02T07,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S08,Y25H6260117,Y25H6260117P02,8,Wednesday,Place of education,Secondary School,Greater Dandenong (C),14,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Accommodation,Survey Home,Greater Dandenong (C),No,No,Not applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,2,No,14,855,867,15,903,12,6.21277,36,GPS Only,Y25H6260117P02T08,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S09,Y25H6260117,Y25H6260117P02,9,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),15,At Home,Go home,Place of education,Primary School,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Car Driver,Vehicle Driver,Not applicable,1,No,15,903,905,15,926,2,0.69392,21,Both,Y25H6260117P02T09,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S10,Y25H6260117,Y25H6260117P02,10,Wednesday,Place of education,Primary School,Greater Dandenong (C),15,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Accommodation,Survey Home,Greater Dandenong (C),No,No,Not applicable,No,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,3,No,15,926,927,17,1032,1,0.69392,105,Both,Y25H6260117P02T10,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S11,Y25H6260117,Y25H6260117P02,11,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),17,At Home,Go home,Sport and Recreation venue,Other Indoor Sport,Kingston (C),No,No,Not applicable,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Accompany Someone,Accompanied someone,Car Driver,Vehicle Driver,Not applicable,4,No,17,1032,1048,18,1094,16,7.19572,46,Both,Y25H6260117P02T11,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02S12,Y25H6260117,Y25H6260117P02,12,Wednesday,Sport and Recreation venue,Other Indoor Sport,Kingston (C),18,Accompany Someone,Accompanied someone,Accommodation,Survey Home,Greater Dandenong (C),No,No,Not applicable,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,4,No,18,1094,1106,N/A - Did not depart,N/A - Did not depart,12,8.35307,Home/Last Trip of Day,Both,Y25H6260117P02T12,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03S01,Y25H6260117,Y25H6260117P03,1,Wednesday,Accommodation,Survey Home,Greater Dandenong (C),8,At Home,Go home,Place of education,Secondary School,Greater Dandenong (C),No,No,Yes,Not applicable,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Education,At school,Car Passenger,Vehicle Passenger,Not applicable,4,No,8,480,494,14,855,14,6.21277,361,Both,Y25H6260117P03T01,1323.930793939,1756.357476392,1378.085627453,1412.367970033,1215.655295733,1367.864961676,1659.252229276,1528.443344389,1602.554461533,1270.764250864,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03S02,Y25H6260117,Y25H6260117P03,2,Wednesday,Place of education,Secondary School,Greater Dandenong (C),14,Education,At school,Accommodation,Survey Home,Greater Dandenong (C),No,No,Yes,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Passenger,Vehicle Passenger,Not applicable,2,No,14,855,867,17,1032,12,6.21277,165,Both,Y25H6260117P03T02,1323.930793939,1756.357476392,1378.085627453,1412.367970033,1215.655295733,1367.864961676,1659.252229276,1528.443344389,1602.554461533,1270.764250864,0.0,MELB - Middle,Greater Melbourne,Weekday
