hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y25H6260216,Y25H6260216P01,Y25H6260216P01JTW0011,Weekday,FROM_HOME,Y25H6260216P01S03,780,Yarra Ranges (S),TO_WORK,Y25H6260216P01S03,796.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,796.0,,,,,,,,,,,,,,,14.62034,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,Vehicle Driver,16,14.62034,16.0,518.023181078,MELB - Outer,Greater Melbourne
Y25H6260216,Y25H6260216P01,Y25H6260216P01JTW0012,Weekday,FROM_HOME,Y25H6260216P01S06,920,Yarra Ranges (S),TO_WORK,Y25H6260216P01S07,961.0,Knox (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Social,Work Related,,,,,,,,,,,,,,Accommodation,Place of work,,,,,,,,,,,,,,920.0,931.0,,,,,,,,,,,,,,926.0,961.0,,,,,,,,,,,,,,4.10067,21.19081,,,,,,,,,,,,,,6.0,30.0,,,,,,,,,,,,,,Vehicle Driver,36,25.29148,41.0,518.023181078,MELB - Outer,Greater Melbourne
Y25H6260216,Y25H6260216P02,Y25H6260216P02JTW0013,Weekday,FROM_HOME,Y25H6260216P02S01,465,Yarra Ranges (S),TO_WORK,Y25H6260216P02S01,473.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,473.0,,,,,,,,,,,,,,,5.5318,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,Vehicle Driver,8,5.5318,8.0,870.166875913,MELB - Outer,Greater Melbourne
Y25H6260219,Y25H6260219P01,Y25H6260219P01JTW0014,Weekday,FROM_HOME,Y25H6260219P01S01,390,Yarra Ranges (S),TO_WORK,Y25H6260219P01S01,420.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,7.20605,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,7.20605,30.0,672.404461929,MELB - Outer,Greater Melbourne
Y25H6260221,Y25H6260221P02,Y25H6260221P02JTW0015,Weekend,FROM_HOME,Y25H6260221P02S01,410,Yarra Ranges (S),TO_WORK,Y25H6260221P02S01,415.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,415.0,,,,,,,,,,,,,,,2.08487,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Driver,5,2.08487,5.0,917.430973659,MELB - Outer,Greater Melbourne
Y25H6260223,Y25H6260223P01,Y25H6260223P01JTW0016,Weekday,FROM_HOME,Y25H6260223P01S01,315,Yarra Ranges (S),TO_WORK,Y25H6260223P01S01,375.0,Manningham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,375.0,,,,,,,,,,,,,,,28.3157,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,28.3157,60.0,873.255031177,MELB - Outer,Greater Melbourne
Y25H6260223,Y25H6260223P02,Y25H6260223P02JTW0017,Weekday,FROM_HOME,Y25H6260223P02S01,450,Yarra Ranges (S),TO_WORK,Y25H6260223P02S01,465.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,8.56789,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,8.56789,15.0,961.129159191,MELB - Outer,Greater Melbourne
Y25H6260223,Y25H6260223P03,Y25H6260223P03JTW0018,Weekday,FROM_HOME,Y25H6260223P03S01,404,Yarra Ranges (S),TO_WORK,Y25H6260223P03S01,413.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,,413.0,,,,,,,,,,,,,,,7.41889,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Driver,9,7.41889,9.0,770.693871983,MELB - Outer,Greater Melbourne
Y25H6260223,Y25H6260223P04,Y25H6260223P04JTW0019,Weekday,FROM_HOME,Y25H6260223P04S01,880,Yarra Ranges (S),TO_WORK,Y25H6260223P04S01,890.0,Yarra Ranges (S),Rideshare Service,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,880.0,,,,,,,,,,,,,,,890.0,,,,,,,,,,,,,,,7.41889,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Rideshare Service,10,7.41889,10.0,323.6421109,MELB - Outer,Greater Melbourne
Y25H6260225,Y25H6260225P01,Y25H6260225P01JTW0020,Weekday,FROM_HOME,Y25H6260225P01S01,360,Yarra Ranges (S),TO_WORK,Y25H6260225P01S01,460.0,Baw Baw (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,460.0,,,,,,,,,,,,,,,112.99914,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,Vehicle Driver,100,112.99914,100.0,1445.891652759,MELB - Outer,Greater Melbourne
Y25H6260236,Y25H6260236P01,Y25H6260236P01JTW0021,Weekday,FROM_HOME,Y25H6260236P01S03,475,Yarra Ranges (S),TO_WORK,Y25H6260236P01S03,490.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,475.0,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,7.4905,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,7.4905,15.0,250.828622356,MELB - Outer,Greater Melbourne
Y25H6260238,Y25H6260238P01,Y25H6260238P01JTW0022,Weekday,FROM_HOME,Y25H6260238P01S01,495,Yarra Ranges (S),TO_WORK,Y25H6260238P01S01,510.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,8.36002,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,8.36002,15.0,451.111917179,MELB - Outer,Greater Melbourne
Y25H6260238,Y25H6260238P02,Y25H6260238P02JTW0023,Weekday,FROM_HOME,Y25H6260238P02S01,715,Yarra Ranges (S),TO_WORK,Y25H6260238P02S01,777.0,Port Phillip (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,715.0,,,,,,,,,,,,,,,777.0,,,,,,,,,,,,,,,50.73084,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,Vehicle Driver,62,50.73084,62.0,487.030523178,MELB - Outer,Greater Melbourne
Y25H6260239,Y25H6260239P01,Y25H6260239P01JTW0024,Weekday,FROM_HOME,Y25H6260239P01S03,577,Yarra Ranges (S),TO_WORK,Y25H6260239P01S03,606.0,Whitehorse (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,,,,606.0,,,,,,,,,,,,,,,27.03734,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,Vehicle Driver,29,27.03734,29.0,945.003787577,MELB - Outer,Greater Melbourne
Y25H6260401,Y25H6260401P01,Y25H6260401P01JTW0025,Weekday,FROM_HOME,Y25H6260401P01S01,368,Whittlesea (C),TO_WORK,Y25H6260401P01S01,425.0,Monash (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,368.0,,,,,,,,,,,,,,,425.0,,,,,,,,,,,,,,,46.00973,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,Vehicle Driver,57,46.00973,57.0,1351.136914053,MELB - Outer,Greater Melbourne
Y25H6260403,Y25H6260403P02,Y25H6260403P02JTW0026,Weekday,FROM_HOME,Y25H6260403P02S01,465,Whittlesea (C),TO_WORK,Y25H6260403P02S01,520.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,23.89479,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,Vehicle Driver,55,23.89479,55.0,651.375149951,MELB - Outer,Greater Melbourne
Y25H6260404,Y25H6260404P02,Y25H6260404P02JTW0027,Weekday,FROM_HOME,Y25H6260404P02S01,430,Whittlesea (C),TO_WORK,Y25H6260404P02S01,480.0,Darebin (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,25.73132,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,Vehicle Driver,50,25.73132,50.0,1194.529736209,MELB - Outer,Greater Melbourne
Y25H6260404,Y25H6260404P03,Y25H6260404P03JTW0028,Weekday,FROM_HOME,Y25H6260404P03S01,367,Whittlesea (C),TO_WORK,Y25H6260404P03S03,451.0,Melbourne (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,367.0,386.0,446.0,,,,,,,,,,,,,372.0,446.0,451.0,,,,,,,,,,,,,2.11268,32.79311,0.64344,,,,,,,,,,,,,5.0,60.0,5.0,,,,,,,,,,,,,Train,70,35.549229999999994,84.0,890.742251159,MELB - Outer,Greater Melbourne
Y25H6260412,Y25H6260412P01,Y25H6260412P01JTW0029,Weekday,FROM_HOME,Y25H6260412P01S01,362,Whittlesea (C),TO_WORK,Y25H6260412P01S01,385.0,Whittlesea (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,385.0,,,,,,,,,,,,,,,14.522,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,Vehicle Driver,23,14.522,23.0,506.619495455,MELB - Outer,Greater Melbourne
Y25H6260417,Y25H6260417P01,Y25H6260417P01JTW0030,Weekday,FROM_HOME,Y25H6260417P01S01,360,Whittlesea (C),TO_WORK,Y25H6260417P01S01,405.0,Whitehorse (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,35.46991,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Driver,45,35.46991,45.0,1417.536519108,MELB - Outer,Greater Melbourne
Y25H6260419,Y25H6260419P02,Y25H6260419P02JTW0031,Weekday,FROM_HOME,Y25H6260419P02S01,450,Whittlesea (C),TO_WORK,Y25H6260419P02S01,479.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,479.0,,,,,,,,,,,,,,,13.99341,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,Vehicle Passenger,29,13.99341,29.0,1143.182540718,MELB - Outer,Greater Melbourne
Y25H6260419,Y25H6260419P03,Y25H6260419P03JTW0032,Weekday,FROM_HOME,Y25H6260419P03S01,450,Whittlesea (C),TO_WORK,Y25H6260419P03S04,586.0,Whittlesea (C),Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,,,,,,,,,Pick-up or Drop-off Someone,Social,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,Place of education,Entertainment venue,Place of education,Place of work,,,,,,,,,,,,450.0,479.0,510.0,538.0,,,,,,,,,,,,479.0,481.0,519.0,586.0,,,,,,,,,,,,13.99341,0.55836,1.73509,14.64867,,,,,,,,,,,,29.0,2.0,9.0,48.0,,,,,,,,,,,,Vehicle Driver,88,30.93553,136.0,898.938525717,MELB - Outer,Greater Melbourne
Y25H6260425,Y25H6260425P01,Y25H6260425P01JTW0033,Weekday,FROM_HOME,Y25H6260425P01S01,360,Whittlesea (C),TO_WORK,Y25H6260425P01S02,450.0,Melbourne (C),Vehicle Driver,Walking,,,,,,,,,,,,,,Change Mode,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,360.0,440.0,,,,,,,,,,,,,,440.0,450.0,,,,,,,,,,,,,,37.12915,0.36158,,,,,,,,,,,,,,80.0,10.0,,,,,,,,,,,,,,Vehicle Driver,90,37.49073,90.0,607.414331661,MELB - Outer,Greater Melbourne
Y25H6260431,Y25H6260431P01,Y25H6260431P01JTW0034,Weekday,FROM_HOME,Y25H6260431P01S02,1205,Whittlesea (C),TO_WORK,Y25H6260431P01S02,1245.0,Wyndham (C),Motorcycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,1205.0,,,,,,,,,,,,,,,1245.0,,,,,,,,,,,,,,,50.08704,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,Motorcycle,40,50.08704,40.0,424.933499417,MELB - Outer,Greater Melbourne
Y25H6260431,Y25H6260431P02,Y25H6260431P02JTW0035,Weekday,FROM_HOME,Y25H6260431P02S01,495,Whittlesea (C),TO_WORK,Y25H6260431P02S02,555.0,Whittlesea (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Place of work,,,,,,,,,,,,,,495.0,535.0,,,,,,,,,,,,,,500.0,555.0,,,,,,,,,,,,,,0.38789,4.24448,,,,,,,,,,,,,,5.0,20.0,,,,,,,,,,,,,,Vehicle Driver,25,4.63237,60.0,423.695325664,MELB - Outer,Greater Melbourne
Y25H6260433,Y25H6260433P01,Y25H6260433P01JTW0036,Weekday,FROM_HOME,Y25H6260433P01S01,370,Whittlesea (C),TO_WORK,Y25H6260433P01S01,420.0,Brimbank (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,50.8702,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,Vehicle Passenger,50,50.8702,50.0,782.974869931,MELB - Outer,Greater Melbourne
Y25H6260433,Y25H6260433P02,Y25H6260433P02JTW0037,Weekday,FROM_HOME,Y25H6260433P02S01,370,Whittlesea (C),TO_WORK,Y25H6260433P02S02,427.0,Wyndham (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Personal services,Place of work,,,,,,,,,,,,,,370.0,420.0,,,,,,,,,,,,,,420.0,427.0,,,,,,,,,,,,,,50.8702,3.73911,,,,,,,,,,,,,,50.0,7.0,,,,,,,,,,,,,,Vehicle Driver,57,54.60931,57.0,468.832218205,MELB - Outer,Greater Melbourne
Y25H6260433,Y25H6260433P03,Y25H6260433P03JTW0038,Weekday,FROM_HOME,Y25H6260433P03S01,810,Whittlesea (C),TO_WORK,Y25H6260433P03S01,840.0,Nillumbik (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,840.0,,,,,,,,,,,,,,,14.75522,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,14.75522,30.0,673.660150532,MELB - Outer,Greater Melbourne
Y25H6260433,Y25H6260433P04,Y25H6260433P04JTW0039,Weekday,FROM_HOME,Y25H6260433P04S01,630,Whittlesea (C),TO_WORK,Y25H6260433P04S01,660.0,Whittlesea (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,,11.61778,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,11.61778,30.0,968.616938428,MELB - Outer,Greater Melbourne
Y25H6260439,Y25H6260439P01,Y25H6260439P01JTW0040,Weekday,FROM_HOME,Y25H6260439P01S01,440,Whittlesea (C),TO_WORK,Y25H6260439P01S01,450.0,Whittlesea (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,440.0,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,4.84813,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,4.84813,10.0,491.757175963,MELB - Outer,Greater Melbourne
Y25H6270102,Y25H6270102P01,Y25H6270102P01JTW0041,Weekday,FROM_HOME,Y25H6270102P01S01,374,Frankston (C),TO_WORK,Y25H6270102P01S02,390.0,Greater Dandenong (C),Vehicle Driver,Walking,,,,,,,,,,,,,,Change Mode,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,374.0,386.0,,,,,,,,,,,,,,386.0,390.0,,,,,,,,,,,,,,9.42079,0.43422,,,,,,,,,,,,,,12.0,4.0,,,,,,,,,,,,,,Vehicle Driver,16,9.85501,16.0,724.493668619,MELB - Outer,Greater Melbourne
