persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260106P02,Y25H6260106,2,Saturday,25->29,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,0,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1403.021087649,1869.508697766,1738.142476058,1353.763050994,1416.952500856,1577.912080691,1557.952443812,1651.456929461,1444.704665168,1421.37614728,0.0,MELB - Middle,Greater Melbourne,Weekend
Y25H6260117P01,Y25H6260117,1,Wednesday,40->44,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Construction Trades Workers,Construction,Building Construction,At Home,2,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,975.021862368,1290.724700869,1027.164516563,1098.995134085,930.765307556,997.689812971,1064.739164196,1158.44952606,996.757696142,1005.318911677,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02,Y25H6260117,2,Wednesday,40->44,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Financial and Insurance Services,Finance,At Home,12,"$1,250-$1,499 ($65,000-$77,999)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Not applicable,No,No,No,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03,Y25H6260117,3,Wednesday,10->14,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,4,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1103.166622046,1430.851188511,1155.726918423,1158.729978577,1036.907527949,1158.98963189,1384.691760382,1259.820432915,1304.200211475,1067.817031772,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P04,Y25H6260117,4,Wednesday,10->14,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,5,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1139.144490236,1540.718870552,1239.50958212,1101.225457645,1106.055067968,1103.018221436,1543.047109374,1408.755166862,1073.243796857,1178.877793227,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P05,Y25H6260117,5,Wednesday,5->9,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,5,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1420.682222079,2084.729535984,1296.697616187,1467.553982841,1240.806789988,1553.870340221,1802.113091229,1756.036883657,1501.292227095,1390.002946789,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260122P01,Y25H6260122,1,Monday,80->84,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,3,"$500-$649 ($26,000-$33,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,957.19678772,0.0,1337.378147661,896.340065508,981.383797708,899.271086893,927.909105694,1260.487041234,987.052855351,921.867793996,1165.495793491,MELB - Middle,Greater Melbourne,Weekday
Y25H6260122P02,Y25H6260122,2,Monday,75->79,Male,Sibling,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,250-$1,499 ($65,000-$77,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,678.358430972,0.0,1044.536815641,664.430357657,737.995312841,647.837014605,640.769158022,810.590581946,671.012482391,687.946794463,830.548262997,MELB - Middle,Greater Melbourne,Weekday
Y25H6260123P01,Y25H6260123,1,Tuesday,90->94,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$400-$499 ($20,800-$25,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,731.311701454,0.0,1067.543991841,737.952064806,758.839850855,695.604585991,683.387252081,909.284990478,727.637269797,748.25260518,869.721496753,MELB - Middle,Greater Melbourne,Weekday
Y25H6260123P02,Y25H6260123,2,Tuesday,85->89,Male,Spouse,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$1,750-$1,999 ($91,000-$103,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,731.311701454,0.0,1067.543991841,737.952064806,758.839850855,695.604585991,683.387252081,909.284990478,727.637269797,748.25260518,869.721496753,MELB - Middle,Greater Melbourne,Weekday
Y25H6260132P01,Y25H6260132,1,Thursday,80->84,Female,Self,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1181.298360854,0.0,1262.077226112,1203.473998758,1236.736413391,971.757137703,1294.982898151,1818.552786745,1223.787414044,1149.495687686,1319.060927237,MELB - Middle,Greater Melbourne,Weekday
Y25H6260133P01,Y25H6260133,1,Friday,40->44,Male,Self,Full Licence,No,No,No,No,No,Yes,Yes,No Study,Volunteer,Casual Work,Self-Employed,Community and Personal Service Workers,Sports and Personal Service Workers,Arts and Recreation Services,Sports and Recreation Activities,At Home,3,"$650-$799 ($33,800-$41,599)",Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,Yes,596.869426712,0.0,799.186768683,617.629775778,588.932054704,558.245446521,616.395813876,719.949254167,596.92025626,619.639680797,998.305566164,MELB - Middle,Greater Melbourne,Weekday
Y25H6260133P02,Y25H6260133,2,Friday,40->44,Female,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$1-$149 ($1-$7,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1202.390924541,0.0,1603.027376109,1182.816917596,1143.584955228,1222.097403465,1412.753047151,1522.509779971,1157.768983654,1247.935818234,1702.800886075,MELB - Middle,Greater Melbourne,Weekday
Y25H6260133P03,Y25H6260133,3,Friday,0->4,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,No Study,Not Yet at School,Not Yet at School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Not applicable,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1036.047757821,0.0,1270.158517149,1128.85712115,987.338833025,974.194397728,1266.135181998,1370.777777083,1015.168290755,1042.047564296,1498.754299209,MELB - Middle,Greater Melbourne,Weekday
Y25H6260133P04,Y25H6260133,4,Friday,0->4,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,No Study,Not Yet at School,Not Yet at School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Not applicable,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1036.047757821,0.0,1270.158517149,1128.85712115,987.338833025,974.194397728,1266.135181998,1370.777777083,1015.168290755,1042.047564296,1498.754299209,MELB - Middle,Greater Melbourne,Weekday
Y25H6260134P01,Y25H6260134,1,Saturday,75->79,Female,Self,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,11,"$800-$999 ($41,600-$51,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1225.556538169,0.0,1407.963277847,1170.420024241,1276.826152465,1046.010903744,1411.950768966,1735.907834556,1313.229758835,1247.406866301,1401.63924832,MELB - Middle,Greater Melbourne,Weekend
Y25H6260137P01,Y25H6260137,1,Tuesday,50->54,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Health and Welfare Support Workers,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,2,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Missing/Refused,1395.682773418,0.0,2051.957712669,1299.359489462,1479.209892997,1446.050612135,1365.904921779,1387.055022595,1392.098554088,1374.006842118,1827.776437499,MELB - Middle,Greater Melbourne,Weekday
Y25H6260137P02,Y25H6260137,2,Tuesday,50->54,Male,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$1,250-$1,499 ($65,000-$77,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1495.679952557,0.0,2430.484750369,1415.136366018,1586.845985824,1653.932550748,1554.848453035,1545.938371382,1426.197420368,1520.510007093,1620.136967975,MELB - Middle,Greater Melbourne,Weekday
Y25H6260139P01,Y25H6260139,1,Thursday,35->39,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Hospitality Retail and Service Managers,Retail Trade,Other Store-Based Retailing,At Home,7,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,836.660020189,0.0,1009.439794786,905.46529306,880.657459668,892.079339594,865.971377492,1127.751784388,815.1319446,872.421336388,987.099781461,MELB - Middle,Greater Melbourne,Weekday
Y25H6260139P02,Y25H6260139,2,Thursday,30->34,Female,Spouse,No Car Licence,No,No,Yes,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,5,"$150-$299 ($7,800-$15,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,Yes,2272.540030524,0.0,2679.937910785,2808.453001892,2236.463169378,2602.057079006,2747.482511925,2270.021455765,2265.735998494,2302.393676491,2925.300793679,MELB - Middle,Greater Melbourne,Weekday
Y25H6260201P01,Y25H6260201,1,Monday,90->94,Female,Self,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$800-$999 ($41,600-$51,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,385.770694142,487.093370155,385.592976246,318.420964686,666.109840197,362.567720497,391.169857026,454.952964864,595.333134064,0.0,339.68342798,MELB - Outer,Greater Melbourne,Weekday
Y25H6260201P02,Y25H6260201,2,Monday,50->54,Male,Child,Full Licence,Yes,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,5,"$3,000-$3,499 ($156,000-$181,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,549.362278105,660.383920679,552.938310994,451.22923583,487.366149076,521.692960579,557.607958797,831.597505338,679.116652865,0.0,768.202965206,MELB - Outer,Greater Melbourne,Weekday
Y25H6260204P01,Y25H6260204,1,Thursday,65->69,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,Volunteer,Part-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Public Administration and Safety,Public Administration,At Home,4,Negative income,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,959.308243475,1115.184550538,932.245742201,991.507005818,788.131412729,967.978892701,935.793084856,1045.000538682,1531.8345325,0.0,1375.04167643,MELB - Outer,Greater Melbourne,Weekday
Y25H6260204P02,Y25H6260204,2,Thursday,55->59,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Public Administration and Safety,Public Administration,At Home,2,"$1,000-$1,249 ($52,000-$64,999)",Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,Yes,732.036018701,853.634430085,711.390019565,795.240461307,685.423489052,718.615996934,716.06079611,797.768865027,937.742182437,0.0,1031.918233145,MELB - Outer,Greater Melbourne,Weekday
Y25H6260205P01,Y25H6260205,1,Friday,60->64,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,000-$1,249 ($52,000-$64,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,804.907884261,1001.138535206,825.396363124,738.051220433,728.982697552,799.728286422,798.078370643,964.235245745,1168.784272111,0.0,976.422963775,MELB - Outer,Greater Melbourne,Weekday
Y25H6260205P02,Y25H6260205,2,Friday,60->64,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Education and Training (NEC),At Home,4,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,492.453868396,620.534565592,503.364088808,449.241170257,458.28570353,489.297478797,487.159278748,572.164724042,798.44440754,0.0,534.494097724,MELB - Outer,Greater Melbourne,Weekday
Y25H6260209P01,Y25H6260209,1,Tuesday,60->64,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,Keeping House,Full-time Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Electricity Gas Water and Waste Services,Electricity Supply,At Home,5,"$1,250-$1,499 ($65,000-$77,999)",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,No,No,701.058282728,862.678812667,682.813795534,674.988559341,645.199602527,695.626590548,707.646904489,737.201300534,1016.676880907,0.0,874.569075698,MELB - Outer,Greater Melbourne,Weekday
Y25H6260209P02,Y25H6260209,2,Tuesday,60->64,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,Keeping House,Full-time Work,Paid Employee,Managers,Specialist Managers,Electricity Gas Water and Waste Services,Electricity Supply,At Home,9,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,756.878214059,901.849718942,740.032292626,724.132442128,726.053061478,748.527202952,764.527176288,833.61844654,1120.085827497,0.0,935.642339947,MELB - Outer,Greater Melbourne,Weekday
Y25H6260210P01,Y25H6260210,1,Wednesday,70->74,Male,Self,No Car Licence,No,Yes,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$300-$399 ($15,600-$20,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,414.681029023,491.272301207,409.92085948,399.704981508,317.656052865,429.280457184,415.76143784,499.303597331,577.609509748,0.0,590.430658358,MELB - Outer,Greater Melbourne,Weekday
Y25H6260210P02,Y25H6260210,2,Wednesday,70->74,Female,Spouse,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$650-$799 ($33,800-$41,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,384.098213803,469.934398826,378.226221638,372.578652652,282.28179168,398.941948459,384.829086027,441.553642247,524.283247173,0.0,551.890795336,MELB - Outer,Greater Melbourne,Weekday
Y25H6260211P01,Y25H6260211,1,Thursday,80->84,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,3,"$400-$499 ($20,800-$25,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,632.764481641,783.438242708,623.739663681,569.709740691,1121.09542168,609.115320218,620.763678404,749.81239803,1002.371762796,0.0,444.759744937,MELB - Outer,Greater Melbourne,Weekday
Y25H6260215P01,Y25H6260215,1,Monday,35->39,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,3,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,353.382379113,421.724674547,350.809775285,337.094848365,316.590935153,341.87765475,355.294411817,410.175937578,514.709769976,0.0,408.858502095,MELB - Outer,Greater Melbourne,Weekday
Y25H6260215P02,Y25H6260215,2,Monday,35->39,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,5,"$1,750-$1,999 ($91,000-$103,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,381.519526368,440.873559923,380.206967079,361.637708369,356.26466105,367.876570762,383.852782644,463.822062772,567.062288374,0.0,437.410075701,MELB - Outer,Greater Melbourne,Weekday
