hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y25H6270325,Y25H6270325P04,Y25H6270325P04JTE026,Weekday,FROM_HOME,Y25H6270325P04S01,488,Melbourne (C),TO_EDUCATION,Y25H6270325P04S03,500.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,488.0,490.0,497.0,,,,,,,,,,,,,489.0,497.0,500.0,,,,,,,,,,,,,0.06551,1.1602,0.42372,,,,,,,,,,,,,1.0,7.0,3.0,,,,,,,,,,,,,Tram,11,1.6494299999999995,12.0,1170.606658886,MELB - Inner,Greater Melbourne
Y25H6270429,Y25H6270429P03,Y25H6270429P03JTE027,Weekday,FROM_HOME,Y25H6270429P03S01,510,Hume (C),TO_EDUCATION,Y25H6270429P03S01,525.0,Hume (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,4.50211,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,4.50211,15.0,2607.949297526,MELB - Outer,Greater Melbourne
Y25H6270429,Y25H6270429P04,Y25H6270429P04JTE028,Weekday,FROM_HOME,Y25H6270429P04S01,510,Hume (C),TO_EDUCATION,Y25H6270429P04S01,525.0,Hume (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,4.50211,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,4.50211,15.0,1564.336419959,MELB - Outer,Greater Melbourne
Y25H6270429,Y25H6270429P05,Y25H6270429P05JTE029,Weekday,FROM_HOME,Y25H6270429P05S01,510,Hume (C),TO_EDUCATION,Y25H6270429P05S01,525.0,Hume (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,4.50211,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,4.50211,15.0,871.28591578,MELB - Outer,Greater Melbourne
Y25H6270440,Y25H6270440P03,Y25H6270440P03JTE030,Weekday,FROM_HOME,Y25H6270440P03S01,480,Hume (C),TO_EDUCATION,Y25H6270440P03S01,520.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,20.24876,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,Vehicle Driver,40,20.24876,40.0,1422.814724753,MELB - Outer,Greater Melbourne
Y25H6280209,Y25H6280209P03,Y25H6280209P03JTE031,Weekday,FROM_HOME,Y25H6280209P03S01,510,Casey (C),TO_EDUCATION,Y25H6280209P03S01,525.0,Casey (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,0.82055,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Walking,15,0.82055,15.0,993.319438462,MELB - Outer,Greater Melbourne
Y25H6280209,Y25H6280209P04,Y25H6280209P04JTE032,Weekday,FROM_HOME,Y25H6280209P04S01,420,Casey (C),TO_EDUCATION,Y25H6280209P04S01,480.0,Knox (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,23.16238,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Passenger,60,23.16238,60.0,563.864843389,MELB - Outer,Greater Melbourne
Y25H6280231,Y25H6280231P03,Y25H6280231P03JTE033,Weekday,FROM_HOME,Y25H6280231P03S01,505,Casey (C),TO_EDUCATION,Y25H6280231P03S01,514.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,5.90049,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Passenger,9,5.90049,9.0,552.312023838,MELB - Outer,Greater Melbourne
Y25H6280231,Y25H6280231P04,Y25H6280231P04JTE034,Weekday,FROM_HOME,Y25H6280231P04S01,505,Casey (C),TO_EDUCATION,Y25H6280231P04S01,514.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,5.90049,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Passenger,9,5.90049,9.0,552.119350574,MELB - Outer,Greater Melbourne
Y25H6280231,Y25H6280231P05,Y25H6280231P05JTE035,Weekday,FROM_HOME,Y25H6280231P05S01,505,Casey (C),TO_EDUCATION,Y25H6280231P05S01,514.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,5.90049,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Passenger,9,5.90049,9.0,551.491964401,MELB - Outer,Greater Melbourne
Y25H6280236,Y25H6280236P05,Y25H6280236P05JTE036,Weekday,FROM_HOME,Y25H6280236P05S01,450,Casey (C),TO_EDUCATION,Y25H6280236P05S03,493.0,Casey (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,450.0,466.0,491.0,,,,,,,,,,,,,465.0,490.0,493.0,,,,,,,,,,,,,0.80344,8.93228,0.15461,,,,,,,,,,,,,15.0,24.0,2.0,,,,,,,,,,,,,Public Bus,41,9.89033,43.0,471.090243716,MELB - Outer,Greater Melbourne
Y25H6280236,Y25H6280236P06,Y25H6280236P06JTE037,Weekday,FROM_HOME,Y25H6280236P06S01,480,Casey (C),TO_EDUCATION,Y25H6280236P06S03,525.0,Casey (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,480.0,516.0,524.0,,,,,,,,,,,,,496.0,524.0,525.0,,,,,,,,,,,,,1.22623,1.96568,0.1879,,,,,,,,,,,,,16.0,8.0,1.0,,,,,,,,,,,,,Public Bus,25,3.37981,45.0,457.382498481,MELB - Outer,Greater Melbourne
