tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260103P03T01,Y25H6260103,Y25H6260103P03,1,5,330,5,350,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),20,20,34.03512,Vehicle Driver,Work Related,580,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,34.03512,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1195.425306854,1356.047704277,1443.617337927,1391.560493807,1180.311535294,1200.516608541,1285.241075174,1543.887982071,1168.903006851,1260.254757675,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P03T02,Y25H6260103,Y25H6260103P03,2,15,930,16,960,Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),30,30,34.03512,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,34.03512,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1195.425306854,1356.047704277,1443.617337927,1391.560493807,1180.311535294,1200.516608541,1285.241075174,1543.887982071,1168.903006851,1260.254757675,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P01T01,Y25H6260117,Y25H6260117P01,1,5,350,6,400,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),50,50,34.32071,Vehicle Driver,Work Related,610,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,34.32071,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,975.021862368,1290.724700869,1027.164516563,1098.995134085,930.765307556,997.689812971,1064.739164196,1158.44952606,996.757696142,1005.318911677,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P01T02,Y25H6260117,Y25H6260117P01,2,16,1010,18,1080,Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),70,70,34.32071,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,70,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,34.32071,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,975.021862368,1290.724700869,1027.164516563,1098.995134085,930.765307556,997.689812971,1064.739164196,1158.44952606,996.757696142,1005.318911677,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T01,Y25H6260117,Y25H6260117P02,1,8,480,8,494,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),14,14,6.21269,Vehicle Driver,Pick-up or Drop-off Someone,1,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21269,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T02,Y25H6260117,Y25H6260117P02,2,8,495,8,512,Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),Place of education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),17,17,5.52785,Vehicle Driver,Pick-up or Drop-off Someone,1,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.52785,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T03,Y25H6260117,Y25H6260117P02,3,8,513,8,515,Place of education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),2,2,0.69392,Vehicle Driver,Pick-up or Drop-off Someone,20,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.69392,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T04,Y25H6260117,Y25H6260117P02,4,8,535,8,539,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Retail venue,Shopping Centre,Buy Something,Bought something,Greater Dandenong (C),4,4,2.80007,Vehicle Driver,Buy Something,52,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.80007,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T05,Y25H6260117,Y25H6260117P02,5,9,591,9,597,Retail venue,Shopping Centre,Buy Something,Bought something,Greater Dandenong (C),Retail venue,Supermarket,Buy Something,Bought something,Greater Dandenong (C),6,6,4.30728,Vehicle Driver,Buy Something,10,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.30728,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T06,Y25H6260117,Y25H6260117P02,6,10,607,10,610,Retail venue,Supermarket,Buy Something,Bought something,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),3,3,2.21233,Vehicle Driver,Buy Something,227,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.21233,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T07,Y25H6260117,Y25H6260117P02,7,13,837,14,850,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),13,13,6.21277,Vehicle Driver,Pick-up or Drop-off Someone,5,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T08,Y25H6260117,Y25H6260117P02,8,14,855,14,867,Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),12,12,6.21277,Vehicle Driver,Pick-up or Drop-off Someone,36,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T09,Y25H6260117,Y25H6260117P02,9,15,903,15,905,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),2,2,0.69392,Vehicle Driver,Pick-up or Drop-off Someone,21,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.69392,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T10,Y25H6260117,Y25H6260117P02,10,15,926,15,927,Place of education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),1,1,0.69392,Vehicle Driver,Pick-up or Drop-off Someone,105,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.69392,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T11,Y25H6260117,Y25H6260117P02,11,17,1032,17,1048,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Sport and Recreation venue,Other Indoor Sport,Accompany Someone,Accompanied someone,Kingston (C),16,16,7.19572,Vehicle Driver,Accompany Someone,46,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.19572,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P02T12,Y25H6260117,Y25H6260117P02,12,18,1094,18,1106,Sport and Recreation venue,Other Indoor Sport,Accompany Someone,Accompanied someone,Kingston (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),12,12,8.35307,Vehicle Driver,Accompany Someone,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.35307,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,890.817278491,1232.248189237,928.834938985,873.045115328,828.248162666,928.86449643,1047.358386007,1098.683716279,895.68610072,916.723570444,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03T01,Y25H6260117,Y25H6260117P03,1,8,480,8,494,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of education,Secondary School,Education,At school,Greater Dandenong (C),14,14,6.21277,Vehicle Passenger,Education,361,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1222.034280235,1610.051737423,1280.644735913,1303.782239498,1152.478168866,1266.383740584,1540.292182719,1400.343185019,1450.737371363,1177.24584475,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03T02,Y25H6260117,Y25H6260117P03,2,14,855,14,867,Place of education,Secondary School,Education,At school,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),12,12,6.21277,Vehicle Passenger,Education,165,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1222.034280235,1610.051737423,1280.644735913,1303.782239498,1152.478168866,1266.383740584,1540.292182719,1400.343185019,1450.737371363,1177.24584475,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03T03,Y25H6260117,Y25H6260117P03,3,17,1032,17,1048,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Sport and Recreation venue,Other Indoor Sport,Recreational,Participated in sport,Kingston (C),16,16,7.19572,Vehicle Passenger,Recreational,46,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.19572,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1222.034280235,1610.051737423,1280.644735913,1303.782239498,1152.478168866,1266.383740584,1540.292182719,1400.343185019,1450.737371363,1177.24584475,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P03T04,Y25H6260117,Y25H6260117P03,4,18,1094,18,1106,Sport and Recreation venue,Other Indoor Sport,Recreational,Participated in sport,Kingston (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),12,12,8.35307,Vehicle Passenger,Recreational,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.35307,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1222.034280235,1610.051737423,1280.644735913,1303.782239498,1152.478168866,1266.383740584,1540.292182719,1400.343185019,1450.737371363,1177.24584475,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P04T01,Y25H6260117,Y25H6260117P04,1,8,480,8,494,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),14,14,6.21277,Vehicle Passenger,Pick-up or Drop-off Someone,1,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.21277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1206.144181718,1650.903675727,1315.177170573,1170.623206587,1183.041430636,1176.045921232,1625.583728974,1468.206174409,1137.215987978,1263.770855681,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P04T02,Y25H6260117,Y25H6260117P04,2,8,495,8,512,Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Greater Dandenong (C),Place of education,Primary School,Education,At school,Greater Dandenong (C),17,17,5.52785,Vehicle Passenger,Education,414,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.52785,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1206.144181718,1650.903675727,1315.177170573,1170.623206587,1183.041430636,1176.045921232,1625.583728974,1468.206174409,1137.215987978,1263.770855681,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260117P04T03,Y25H6260117,Y25H6260117P04,3,15,926,15,927,Place of education,Primary School,Education,At school,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),1,1,0.69392,Vehicle Passenger,Education,105,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.69392,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1206.144181718,1650.903675727,1315.177170573,1170.623206587,1183.041430636,1176.045921232,1625.583728974,1468.206174409,1137.215987978,1263.770855681,0.0,MELB - Middle,Greater Melbourne,Weekday
