POW_LGA_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
LGA21830,101,197,10,0,304,0,0,0,0,3,10,22,0,0,32,0,0,0,0,0,22,43,4,0,62,0,6,0,0,11,6,22,6,0,27,0,35,0,0,34,12,28,9,0,46,0,0,0,0,0,0,3,0,0,6,5,5,0,0,6,11,10,5,0,21,6,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,15,5,0,18,0,4,0,0,7,3,12,0,0,15,11,8,0,0,18,190,407,36,4,631,402,222,0,15,642,0,0,0,0,0,19,13,0,0,34,0,0,0,0,0,44,26,0,0,67,9,0,0,0,10,21,18,0,0,41,16,19,0,0,38,13,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,27,18,5,0,0,24,5,0,0,0,0,5,0,0,0,8,20,4,0,0,24,13,0,0,0,13,44,13,0,0,57
LGA21890,0,0,7,0,6,0,0,0,0,0,70,218,55,0,339,6,12,0,0,16,252,358,45,0,646,28,92,23,0,145,91,256,42,0,388,54,273,33,0,358,76,34,8,0,119,40,31,0,0,73,58,34,0,0,93,33,60,16,0,109,283,273,14,0,570,35,54,9,0,103,9,15,0,0,26,45,46,13,0,98,90,190,27,0,305,47,53,7,0,105,84,178,9,0,272,84,104,18,4,204,1376,2281,323,13,3977,9,0,0,0,8,0,0,0,0,0,164,24,0,4,188,10,0,0,0,6,421,73,8,3,499,27,3,4,0,34,197,96,5,0,296,101,91,11,0,205,219,7,0,0,230,126,5,0,0,131,39,0,0,0,42,30,4,0,0,36,650,56,5,0,707,147,13,0,0,168,19,3,3,0,25,283,33,0,0,319,539,94,3,0,632,356,22,0,0,371,325,59,0,0,387
LGA22110,57,80,11,0,155,0,4,0,0,4,16,39,13,0,65,0,0,4,0,11,58,149,11,0,223,6,21,8,0,33,18,95,8,3,120,16,83,11,4,113,19,46,3,0,66,0,0,0,0,0,9,13,0,0,25,11,17,3,0,34,41,59,9,0,111,15,15,0,0,30,5,3,0,0,5,0,3,5,0,11,20,50,8,0,75,8,7,0,0,10,14,43,0,0,53,16,28,0,0,50,330,760,85,14,1190,266,89,0,3,364,0,0,0,0,0,66,27,0,6,101,3,0,0,0,3,187,79,0,5,263,8,5,0,0,11,47,38,0,0,92,52,63,0,0,120,32,9,0,0,40,12,0,0,0,9,4,0,0,0,4,10,0,0,0,11,87,18,0,0,104,62,16,0,0,80,12,0,0,0,12,36,4,0,0,41,120,24,5,0,148,24,10,0,0,27,139,33,0,0,176
LGA22170,9,14,0,0,22,0,3,0,0,3,106,306,56,0,468,9,34,0,0,40,288,677,63,6,1038,34,123,19,0,177,99,195,23,0,313,13,111,20,0,148,82,90,3,0,179,18,22,0,0,45,51,42,3,0,95,47,53,11,0,110,199,236,26,0,460,45,76,18,0,138,7,18,0,0,31,32,30,9,0,73,101,179,21,0,306,19,13,0,0,36,76,154,9,0,242,62,113,15,3,192,1308,2474,312,16,4110,13,3,0,0,17,0,0,0,0,0,169,34,8,0,210,12,4,0,0,15,560,124,4,0,686,24,11,0,0,38,128,52,0,0,186,51,68,3,0,122,113,17,0,0,127,29,0,0,0,35,28,5,0,0,32,26,6,0,0,28,335,37,3,0,374,248,28,0,0,272,8,3,0,0,9,141,15,0,0,155,466,92,4,0,568,76,7,0,0,85,376,73,0,0,441
LGA22250,47,104,4,0,161,0,0,0,0,0,4,16,15,0,33,0,0,0,0,0,16,31,4,0,48,0,10,0,0,6,5,21,0,0,29,0,10,0,0,8,8,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,9,0,0,22,3,6,0,0,13,107,242,28,3,376,152,57,0,5,219,0,0,0,0,0,18,0,0,0,21,0,0,0,0,0,26,14,0,0,41,4,4,0,0,5,11,14,0,0,22,0,13,0,0,16,10,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,14,11,0,0,0,11,0,0,0,0,0,6,0,0,0,7,24,3,0,0,32,0,0,0,0,0,30,11,0,0,39
LGA22310,8,8,0,0,13,4,4,0,0,9,43,81,17,0,135,5,4,0,0,5,254,302,16,4,572,48,40,0,0,95,131,191,22,0,353,42,242,16,0,306,67,29,4,0,107,53,38,4,0,97,141,99,6,0,248,94,79,18,0,193,500,485,39,0,1026,78,71,11,0,162,20,14,3,0,39,56,63,12,0,132,141,244,48,0,435,30,56,5,0,100,81,131,6,0,222,107,99,14,0,217,1917,2276,240,7,4439,7,5,0,0,9,0,0,0,0,0,92,15,0,0,109,3,0,0,0,3,382,47,0,3,436,24,4,0,0,28,189,46,8,0,242,63,62,0,0,126,161,12,0,0,169,65,0,0,0,65,78,4,0,0,80,48,10,0,0,53,754,103,9,0,869,189,25,0,0,212,19,0,0,0,20,299,31,0,0,330,638,95,8,0,739,173,14,0,0,186,363,62,0,0,430
LGA22410,49,96,3,0,152,0,0,0,0,0,4,19,3,0,25,0,0,0,0,4,6,50,7,0,62,0,6,0,0,7,3,20,0,0,26,7,12,6,0,24,8,19,3,0,31,0,5,0,0,5,0,5,0,0,4,0,8,0,0,7,6,13,0,0,18,4,3,0,0,10,0,4,0,0,0,0,0,0,0,0,8,18,0,0,27,0,3,0,0,3,4,17,0,0,20,0,12,3,0,19,114,297,37,0,450,201,118,0,8,324,0,0,0,0,0,20,12,0,3,37,0,0,0,0,0,53,21,0,0,74,9,3,0,0,11,22,28,0,0,49,13,27,0,0,39,17,10,0,0,27,4,0,0,0,4,0,0,0,0,0,3,5,0,0,9,25,7,0,0,34,39,3,0,0,39,0,0,0,0,0,9,0,0,0,9,48,9,0,0,55,7,0,0,0,14,59,18,0,0,75
LGA22490,44,75,4,0,119,0,0,0,0,0,13,18,3,0,34,0,0,0,0,0,53,88,4,0,149,0,3,0,0,11,0,16,0,0,15,5,8,0,0,14,22,28,0,0,48,3,3,0,0,7,4,5,0,0,9,4,5,0,0,11,21,17,3,0,40,0,16,0,0,21,0,0,0,0,0,7,0,0,0,8,0,11,3,0,21,9,4,0,0,12,9,9,0,0,22,6,3,0,0,11,210,320,22,5,554,106,45,0,7,159,0,0,0,0,0,22,3,0,0,25,6,0,0,0,6,89,23,0,0,119,6,0,0,0,7,15,13,0,0,32,5,4,0,0,10,12,0,0,0,16,7,0,0,0,7,5,0,0,0,5,0,0,0,0,0,52,0,0,0,61,23,6,0,0,30,5,0,0,0,5,23,0,0,0,23,36,0,0,0,37,16,0,0,0,16,61,3,0,0,67
LGA22620,32,44,9,3,82,14,9,3,0,24,33,143,55,0,227,9,11,0,0,19,141,389,51,0,588,5,46,4,0,63,31,187,40,0,262,25,137,36,0,192,53,90,10,0,152,9,5,0,0,18,34,64,4,0,100,21,40,18,0,76,80,181,62,0,334,22,42,9,0,73,5,14,9,0,23,11,20,0,0,35,82,168,31,4,278,4,14,9,0,31,39,133,14,0,189,36,63,8,0,106,694,1804,359,11,2864,132,53,0,5,194,4,0,0,0,8,84,44,0,0,124,6,4,0,0,9,348,150,0,3,498,21,11,0,0,31,128,68,3,0,198,54,65,5,0,124,118,20,0,0,143,23,3,0,0,22,10,4,0,0,18,18,3,0,0,19,206,59,8,0,269,142,17,0,0,163,8,0,0,0,9,95,11,0,0,114,364,72,6,0,440,71,13,0,0,81,295,74,0,0,369
LGA22670,9,24,8,0,43,0,0,0,0,0,205,760,256,0,1220,17,36,8,0,62,342,653,128,3,1126,86,326,79,0,483,155,405,58,0,612,47,188,23,0,253,406,246,67,5,725,21,27,14,0,58,44,53,8,0,105,31,78,28,0,135,130,232,33,0,397,67,94,30,0,198,7,26,11,0,39,18,37,3,0,65,85,228,28,0,340,10,19,7,0,32,151,305,20,0,483,136,249,59,3,449,1970,3971,871,18,6836,10,9,0,0,20,0,0,0,0,0,231,99,8,0,337,18,3,0,0,25,503,103,3,7,611,56,19,3,0,76,246,99,5,0,353,78,106,6,0,187,554,17,11,0,581,16,0,0,0,20,30,7,0,0,35,22,5,0,0,23,250,72,0,0,324,173,25,0,0,198,14,0,0,0,19,117,9,0,0,123,318,74,3,0,399,57,3,0,0,57,331,88,0,0,423
LGA22750,42,68,11,0,128,5,6,0,0,12,109,273,59,3,441,14,22,8,0,47,485,1034,116,3,1639,44,113,27,0,178,102,396,63,0,562,51,334,85,0,467,186,158,21,0,364,35,31,3,0,67,94,126,12,0,233,59,114,28,0,202,382,498,71,3,958,68,117,13,0,199,19,29,10,0,54,51,79,16,0,146,185,406,66,0,659,23,85,11,0,120,134,292,13,0,438,90,143,29,3,268,2177,4313,671,20,7176,104,32,0,4,137,0,7,0,0,5,229,59,9,0,297,12,3,0,0,18,969,270,3,10,1251,43,17,0,0,57,247,130,11,0,382,106,137,7,0,255,365,24,10,0,395,74,7,0,0,78,66,13,0,0,76,36,19,5,0,53,673,139,10,0,825,363,55,0,3,420,16,3,0,0,21,333,39,0,0,372,933,201,9,3,1144,187,33,3,0,225,714,172,0,9,893
LGA22830,97,165,22,3,296,0,0,0,0,0,41,110,22,0,173,0,6,10,0,14,97,257,17,0,373,8,25,14,0,45,25,135,11,0,168,22,112,18,0,144,37,77,16,0,127,6,6,7,0,17,9,31,3,0,42,14,32,5,0,49,48,104,26,0,179,19,23,5,0,51,0,3,7,0,8,3,6,3,0,15,55,107,5,0,169,4,3,0,0,15,61,104,0,0,170,28,37,13,3,77,584,1341,197,17,2142,276,85,6,9,370,0,0,0,0,0,38,22,3,0,62,7,6,0,0,10,202,56,0,3,270,16,8,0,0,18,44,30,0,0,78,22,25,0,0,50,50,25,0,0,67,3,0,0,0,3,10,4,0,0,10,5,0,0,0,10,99,26,6,0,127,78,15,0,4,97,3,3,0,0,8,39,5,0,0,44,156,27,0,0,181,23,9,0,0,31,165,44,0,0,211
LGA22910,32,40,0,0,75,0,0,0,0,0,8,20,0,0,26,0,0,0,0,0,28,41,0,0,67,4,3,0,0,12,3,26,3,0,37,10,52,13,0,73,10,10,0,0,22,7,3,0,0,11,5,3,0,0,10,6,6,0,0,13,47,35,5,0,87,10,13,0,0,17,3,0,0,0,3,5,7,0,0,7,0,14,0,0,22,6,12,0,0,17,6,12,0,0,22,16,10,0,0,30,207,313,27,0,547,117,39,0,0,154,0,0,0,0,0,32,5,0,4,41,0,0,0,0,0,89,23,0,0,114,6,0,0,0,8,64,16,0,0,84,53,20,0,0,75,13,3,0,0,13,11,4,0,0,18,3,0,0,0,3,8,0,0,0,8,84,16,0,0,102,40,10,0,0,48,5,0,0,0,5,36,0,0,0,37,71,5,0,0,79,33,0,0,0,39,43,10,0,0,54
LGA22980,25,54,0,0,76,0,0,0,0,0,0,7,0,0,7,0,0,0,0,3,4,3,0,0,12,0,4,0,0,3,0,12,0,0,9,0,3,0,0,5,4,9,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,9,0,4,0,0,4,43,97,7,0,148,136,72,0,0,208,0,0,0,0,0,7,4,0,0,11,0,0,0,0,0,18,9,0,0,26,0,0,0,0,0,9,0,0,0,10,3,0,0,0,7,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,11,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,5,13,0,0,0,15
LGA23110,5,5,4,0,8,4,0,0,0,8,34,119,24,0,173,8,17,0,0,31,205,317,47,4,578,15,54,9,0,88,52,124,7,0,189,20,104,21,0,144,147,94,20,0,257,20,18,0,0,33,47,39,0,0,91,29,46,14,0,84,191,165,9,0,371,41,37,9,0,94,9,14,0,0,24,22,34,7,0,60,50,120,21,0,182,20,21,0,0,34,49,93,4,0,148,55,56,5,0,120,1014,1479,202,0,2703,7,4,0,0,10,0,0,0,0,0,76,16,0,0,88,3,4,0,0,5,274,54,4,0,327,20,4,0,0,27,83,40,3,0,131,44,47,0,0,90,149,12,0,0,161,32,5,0,0,35,18,11,0,0,28,18,3,0,0,19,291,25,0,0,324,119,21,0,0,132,12,4,0,0,18,130,14,0,0,141,227,41,6,0,266,75,7,0,0,89,207,35,0,0,248
LGA23190,43,85,5,4,135,0,0,0,0,0,3,22,8,0,33,4,3,0,0,6,29,64,13,0,104,0,9,0,0,13,7,68,15,0,89,9,31,3,0,40,12,17,0,0,23,0,0,0,0,0,3,25,0,0,25,7,13,0,0,12,15,20,3,0,30,3,6,0,0,12,0,4,0,0,4,3,0,0,0,3,7,18,11,0,35,0,3,0,0,3,7,32,0,0,44,0,9,0,0,14,155,420,57,8,647,117,74,0,5,192,0,0,0,0,0,31,4,0,0,36,0,0,0,0,0,66,23,0,0,98,8,3,0,0,9,15,22,0,0,39,9,23,0,0,35,16,10,0,0,24,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,22,10,7,0,40,25,4,0,0,31,0,0,0,0,0,16,0,3,0,19,42,3,0,0,50,10,3,0,0,12,58,24,0,0,82
LGA23270,10,17,4,0,32,0,6,0,0,9,187,636,158,9,991,22,42,4,0,69,611,971,123,3,1712,77,224,49,0,341,112,286,44,0,443,48,188,25,3,262,702,381,55,9,1141,28,20,4,0,49,52,47,4,0,105,53,82,10,0,150,179,229,23,0,427,89,119,23,0,234,10,27,4,0,42,32,32,11,0,69,95,187,38,0,319,9,24,11,0,42,144,257,11,0,409,157,206,30,4,401,2637,3978,607,32,7254,19,0,0,0,19,3,0,0,0,3,286,93,6,0,384,19,5,0,0,26,716,211,5,3,935,50,14,7,0,72,195,64,15,4,276,95,59,0,0,155,901,34,3,6,943,32,3,0,0,39,28,4,0,0,34,31,6,0,0,38,327,42,0,0,375,245,43,0,4,290,16,5,0,0,21,189,24,0,0,216,473,61,8,0,536,62,10,0,0,69,424,70,0,0,497
LGA23350,37,50,0,5,88,0,0,0,0,0,4,30,14,0,54,0,0,0,0,0,32,50,0,0,75,3,3,0,0,8,5,21,5,0,31,9,43,3,0,59,5,23,0,0,31,0,0,0,0,3,3,0,0,0,9,0,5,0,0,6,31,23,0,0,55,5,7,0,0,6,0,0,0,0,3,13,11,0,0,16,4,12,0,0,22,7,0,0,0,10,6,11,0,0,13,4,5,0,0,6,168,299,27,9,492,155,33,0,0,189,0,0,0,0,0,30,12,0,0,46,0,0,0,0,0,74,21,0,0,99,4,0,0,0,9,29,8,0,0,36,26,24,0,0,48,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,59,11,0,0,71,23,5,0,0,26,0,6,0,0,6,22,0,0,0,23,41,4,0,0,47,19,0,0,0,21,42,8,0,0,53
LGA23430,7,17,12,0,35,6,4,0,0,11,205,579,150,4,938,12,23,9,0,46,360,850,106,4,1322,90,349,60,0,496,198,385,73,0,657,51,244,39,0,333,147,126,24,0,297,26,47,11,0,78,117,81,5,0,201,76,92,7,0,175,355,417,25,0,791,76,105,20,0,206,12,24,5,0,44,57,73,16,0,145,95,225,38,0,360,28,58,8,0,88,151,286,12,0,453,134,282,37,3,459,2200,4266,652,17,7136,8,0,0,0,7,0,0,0,0,0,253,77,8,0,335,16,0,0,0,16,577,141,3,0,727,42,31,0,0,72,234,89,3,0,332,83,94,0,0,177,256,14,4,0,273,54,0,0,0,57,46,13,0,0,54,47,12,3,0,63,521,76,0,0,601,270,35,3,0,312,18,0,0,0,19,242,24,3,0,270,481,71,5,0,553,118,8,0,0,131,469,104,0,0,575
LGA23670,5,14,0,0,14,3,3,0,0,11,117,448,110,0,674,9,16,3,0,29,324,701,80,6,1103,71,190,54,5,313,141,278,25,0,447,32,180,23,0,236,142,100,11,0,261,20,32,9,0,63,94,64,3,0,164,32,69,9,0,118,256,322,22,0,604,57,81,19,0,156,14,17,7,0,35,35,47,13,0,99,87,213,42,0,336,22,27,0,0,47,98,266,15,0,384,93,196,38,7,339,1660,3288,482,9,5440,6,5,0,0,9,4,0,0,0,5,193,68,4,0,275,4,0,0,0,6,577,126,0,0,709,44,8,0,0,56,163,58,13,0,236,62,71,0,0,134,182,16,0,0,201,39,0,0,0,39,54,17,0,0,66,23,7,0,0,30,399,52,5,0,459,247,33,0,0,291,18,0,0,0,19,233,35,0,0,269,508,67,5,0,574,83,12,0,0,95,453,99,0,4,555
LGA23810,12,24,4,5,45,5,0,0,0,5,10,69,16,0,103,10,13,4,0,28,49,196,33,0,280,4,28,4,0,40,20,106,16,0,133,5,70,16,0,97,43,38,3,0,90,8,0,3,0,12,6,22,3,0,41,3,30,6,0,44,37,82,16,0,140,9,29,3,0,40,0,8,0,0,4,10,4,0,0,17,35,73,4,0,113,0,7,0,0,13,26,63,0,0,89,13,42,6,0,58,316,912,156,7,1384,87,24,0,0,117,3,0,0,0,0,49,8,0,0,56,7,4,0,0,15,177,79,5,3,265,6,5,0,0,16,58,47,3,3,118,29,51,0,4,78,45,13,0,3,65,10,0,0,0,10,13,4,0,0,16,8,0,0,0,4,71,29,3,0,99,75,22,0,3,98,7,4,0,0,6,50,3,0,0,53,162,27,4,0,187,21,9,0,0,34,181,85,0,0,271
LGA23940,76,95,5,3,173,0,0,0,0,0,5,13,0,0,16,0,0,0,0,0,0,12,0,0,17,0,4,0,0,5,3,8,4,0,19,0,10,0,0,10,12,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,159,9,3,276,226,108,0,3,340,0,0,0,0,0,5,5,0,0,10,0,0,0,0,0,12,3,0,0,20,10,0,0,0,10,14,4,0,0,19,7,3,0,0,15,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,12,6,0,0,21
LGA24130,40,34,3,0,77,0,0,0,0,0,39,68,16,4,119,7,5,0,0,13,122,236,14,5,373,14,24,3,0,46,17,63,12,0,93,14,59,17,0,88,34,39,0,0,74,11,8,3,0,25,23,23,0,0,47,6,22,3,0,36,136,122,9,0,265,25,23,0,0,44,10,0,0,0,11,34,32,5,0,66,34,54,16,0,110,13,19,0,0,32,25,47,4,0,72,27,32,0,0,64,637,916,102,14,1660,121,26,0,3,148,0,0,0,0,0,69,17,0,0,89,7,0,0,0,8,191,49,3,0,247,5,3,0,0,8,50,49,0,0,98,24,39,0,0,65,23,5,0,0,27,26,3,0,0,29,14,3,0,0,18,11,3,0,0,21,196,33,0,0,227,107,12,0,0,125,12,0,0,0,15,95,10,0,0,108,189,18,3,0,209,69,19,0,0,85,145,35,0,0,181
LGA24210,3,9,8,0,22,6,3,0,0,7,41,37,8,0,88,7,5,0,0,12,281,333,19,0,629,61,65,5,0,132,115,148,9,0,277,28,163,18,0,213,51,46,0,0,99,23,18,0,0,46,123,85,10,0,208,71,74,20,0,158,332,307,14,5,663,54,45,3,0,103,3,5,0,0,10,50,50,8,0,111,100,189,19,0,306,17,23,0,0,44,46,112,7,0,162,82,65,5,0,145,1488,1787,162,10,3435,8,0,0,0,7,0,0,0,0,0,73,7,0,0,84,5,0,0,0,4,302,71,4,0,374,27,3,0,0,27,121,35,6,0,166,35,45,0,0,82,133,8,0,0,143,42,5,0,0,41,71,3,0,0,71,27,0,0,0,29,414,57,7,0,482,129,20,0,0,150,7,0,0,0,7,232,15,0,0,247,347,70,3,4,423,63,0,0,0,64,208,41,0,0,247
LGA24250,12,25,0,0,32,0,0,3,0,3,5,5,0,0,15,0,0,0,0,0,14,43,4,0,65,0,8,0,0,9,0,24,4,0,34,8,30,11,0,49,9,8,0,0,12,0,0,0,0,3,5,5,0,0,9,3,15,0,0,19,5,28,0,0,37,0,5,0,0,12,0,3,0,0,3,0,0,0,0,4,8,8,0,0,19,0,6,0,0,6,4,11,0,0,20,8,8,0,0,19,101,242,22,0,363,65,23,0,0,89,3,0,0,0,3,19,11,0,0,32,9,0,0,0,10,71,26,0,3,104,4,0,0,0,3,7,19,0,0,27,22,10,0,0,34,8,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,22,19,0,0,0,19,0,0,0,0,0,11,5,0,0,15,28,4,0,0,32,3,0,0,0,4,24,13,0,0,45
