POW_LGA_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
LGA21270,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,9,12,0,3,3,0,20,829,219,197,154,34,1432,783,76,77,82,12,1027,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
LGA21370,0,0,0,10,0,0,0,0,0,5,61,10,3,0,3,82,91,4,15,0,10,128,5942,834,914,259,145,8098,6194,369,518,227,92,7395,0,0,0,0,0,0,7,0,0,0,0,7,6,0,0,0,0,11,16,4,0,4,0,23,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,11,0,0,0,0,13,4,0,0,0,0,4,4,0,0,0,0,3,56,3,0,0,3,56,6,4,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,13,5,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,21,10,0,0,0,0,10,7,0,0,0,0,8,90,0,10,0,0,110,3,0,0,0,0,6,107,0,0,0,0,114,5,0,0,0,0,3,0,0,0,0,0,5,20,0,0,0
LGA21450,3,0,0,46,34,12,5,0,0,48,482,83,77,11,10,663,61,12,16,6,9,105,11458,2171,1619,317,168,15729,9814,668,894,266,74,11711,34,0,3,0,0,37,20,9,0,0,0,31,22,3,0,0,0,24,119,27,14,12,3,177,10,3,0,0,0,13,33,0,3,0,0,41,41,3,0,0,0,41,28,0,9,0,0,41,10,0,0,0,0,9,14,0,3,0,0,16,606,33,37,11,4,695,29,0,5,0,0,36,17,0,6,0,0,20,5,0,0,0,0,6,21,0,3,0,0,24,18,3,5,0,0,32,14,0,3,0,0,16,14,0,10,0,3,25,11,6,0,0,0,12,74,3,5,5,4,89,13,0,0,0,0,16,26,3,6,4,0,41,242,16,23,3,0,294,46,3,7,0,0,54,161,0,10,0,0,176,12,0,3,0,0,24,21,0,0,0,0,22,84,6,9,3
LGA21610,7,0,0,97,237,35,43,4,0,322,1918,405,306,46,19,2694,125,14,16,5,11,169,28572,5375,3968,536,267,38718,23639,881,1398,304,80,26301,389,27,44,19,9,486,71,12,7,4,0,99,50,0,3,0,0,58,697,122,73,46,9,947,71,13,9,8,0,90,142,8,13,3,0,166,251,10,4,6,0,276,82,3,5,0,0,94,45,4,4,0,0,57,76,16,12,0,0,102,3281,190,214,52,17,3757,115,8,8,0,0,133,103,4,18,3,0,136,37,0,6,0,0,46,73,3,15,5,0,90,79,16,5,0,0,103,37,0,0,0,0,36,88,7,20,3,0,113,57,5,7,3,0,71,324,21,39,8,0,395,74,0,0,3,0,78,57,5,3,5,0,70,822,30,50,5,4,905,190,23,26,4,0,245,810,29,35,4,0,879,99,7,19,6,5,134,118,9,10,5,0,146,310,19,20,4
LGA21670,0,0,0,10,0,0,0,0,0,3,14,0,3,0,0,21,22,0,7,3,4,35,1547,192,216,62,49,2058,1848,77,118,47,24,2106,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,24,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,0,22,0,0,0,0,0,0,30,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
LGA21750,0,0,0,10,3,0,0,4,0,7,90,10,4,0,0,107,53,3,12,3,9,88,4139,471,612,169,87,5480,3643,173,351,136,39,4337,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,5,42,7,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,17,0,0,0,0,0,0,8,0,0,0,0,8,29,4,0,0,0,37,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,0,0,5,8,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,14,0,0,0,0,17,8,0,0,0,0,8,6,0,0,0,0,12,68,0,5,0,0,75,0,0,0,0,0,0,41,0,0,0,0,39,3,0,0,0,0,4,0,0,3,0,0,3,7,0,0,0
LGA21830,0,0,0,3,0,0,0,0,0,0,31,0,3,0,0,30,45,4,21,4,5,82,2589,437,666,202,114,4010,2244,169,336,158,63,2967,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,8,0,0,0,5,0,11,70,3,9,3,0,91,0,0,0,0,0,0,31,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA21890,14,0,0,132,423,58,45,7,3,538,1359,139,175,17,23,1705,69,11,3,0,7,94,20311,2825,2457,300,189,26082,15829,664,1387,152,63,18107,14,0,0,0,0,14,52,0,0,0,0,57,78,4,12,0,0,97,832,103,61,46,9,1050,42,4,3,0,0,49,57,4,0,0,0,57,71,0,0,0,0,70,80,0,16,0,0,96,191,12,24,7,3,237,88,3,12,0,0,101,1062,40,18,3,4,1139,103,5,9,0,0,120,112,6,11,0,0,129,80,0,6,0,0,89,87,6,10,0,0,94,231,22,26,10,0,290,89,0,10,5,0,104,68,3,8,0,0,82,94,18,9,4,4,122,241,6,18,6,0,271,272,3,0,0,0,280,29,0,5,0,0,37,419,27,50,5,0,503,62,0,7,0,0,73,367,4,8,0,0,379,49,0,8,0,0,62,69,9,3,0,0,82,108,3,5,0
LGA22110,0,0,0,16,33,0,4,0,0,34,96,13,10,4,0,133,89,15,23,11,12,155,6249,803,1026,318,180,8572,6647,326,555,237,112,7887,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,27,31,3,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,7,19,3,10,3,0,37,0,0,0,0,0,0,3,0,0,0,0,0,57,0,3,0,0,59,7,3,0,0,0,10,4,0,0,0,0,5,4,0,0,0,0,4,3,0,0,0,0,4,7,0,3,0,0,16,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,25,0,6,6,0,28,13,0,0,0,0,13,11,0,0,0,0,20,89,3,12,3,0,110,0,0,0,0,0,0,134,0,3,0,3,135,0,0,0,0,0,3,5,0,0,0,0,5,33,3,8,0
LGA22170,14,0,0,70,145,16,11,0,0,177,810,140,110,13,11,1086,80,10,4,0,10,107,18336,3009,1991,279,185,23800,18011,740,1103,197,67,20121,66,0,0,0,0,65,14,0,0,0,0,18,55,0,6,0,0,60,289,45,30,22,0,393,28,4,0,0,0,34,40,3,0,0,0,52,112,4,0,0,0,114,79,4,11,3,0,101,33,5,6,0,0,39,48,5,4,3,0,53,1130,25,30,8,9,1205,55,0,0,0,0,58,47,5,0,0,0,55,14,6,0,0,0,20,76,5,0,0,0,85,33,8,7,0,0,41,23,3,3,0,0,34,30,0,0,0,0,29,18,5,6,4,0,29,137,7,14,0,0,152,48,0,0,0,0,50,49,8,4,3,0,63,527,26,47,12,3,606,35,0,0,0,0,34,468,7,12,0,3,485,51,5,4,0,0,66,43,0,6,0,0,47,240,12,14,3
LGA22250,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,15,21,4,0,6,8,41,1302,261,291,141,51,2049,1295,101,162,91,24,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,5,0,3,0,0,11,0,0,0,0,0,0,25,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,8,4,0,161,137,26,21,6,3,196,926,375,252,43,12,1606,44,10,9,0,5,65,12566,3027,2146,340,99,18173,10885,735,1195,178,38,13030,14,0,0,0,0,17,39,0,0,0,0,43,63,8,4,0,0,75,744,170,83,76,9,1081,19,0,3,0,0,28,14,0,3,0,0,24,52,4,0,0,0,61,82,3,19,5,0,105,83,6,10,0,0,106,116,3,11,0,0,133,1135,47,54,15,6,1260,113,6,12,0,0,125,48,6,8,0,0,59,8,0,0,0,0,6,114,3,10,0,0,130,66,4,11,0,0,82,106,3,23,0,0,138,116,12,22,8,0,155,32,0,0,0,0,34,260,24,23,6,0,310,208,0,0,0,0,212,33,0,3,0,0,36,357,24,36,0,4,421,37,0,6,0,0,39,382,3,13,0,0,406,68,13,13,5,0,103,74,3,13,0,0,87,472,62,106,4
