POW_LGA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA21270,0,0,0,0,0,13,6,0,0,20,37,89,4,7,140,111,46,13,4,175,130,45,3,0,183,126,59,11,0,199,110,49,11,0,175,133,58,3,3,198,148,85,3,7,248,199,101,4,4,309,200,108,7,4,316,198,107,10,3,318,100,70,13,4,182,35,37,3,9,89,17,27,7,10,57,1548,883,92,62,2590
LGA21370,0,0,0,3,4,59,40,13,15,125,248,715,134,37,1141,774,406,71,33,1282,898,391,97,37,1424,868,445,90,33,1443,845,535,60,31,1478,894,441,42,26,1405,1121,515,59,47,1741,1133,519,88,41,1780,1090,571,83,32,1781,818,652,103,38,1610,347,352,55,18,775,113,163,21,17,312,61,101,12,25,207,9220,5814,915,423,16371
LGA21450,0,3,0,0,3,126,74,10,17,218,402,1966,245,44,2657,1578,1344,170,82,3177,2260,1007,163,103,3525,2218,1137,233,73,3655,2100,1230,143,61,3542,1925,1008,114,48,3093,1879,1081,93,54,3111,1794,993,105,45,2939,1419,887,100,47,2453,960,767,103,26,1862,362,456,50,13,886,100,223,26,7,367,69,130,18,11,226,17075,12223,1571,619,31486
LGA21610,0,0,0,0,0,254,199,25,43,521,684,4947,520,73,6221,3515,4765,516,195,8995,5618,2897,462,260,9237,5638,3206,551,198,9596,5765,3758,445,207,10177,5049,3168,270,149,8639,4825,2864,252,107,8047,4682,2629,289,104,7697,3568,2248,275,85,6179,2388,1868,220,68,4540,861,981,128,37,2001,183,383,38,14,618,64,193,24,26,312,42830,33909,3983,1532,82257
LGA21670,0,0,0,3,3,12,11,0,6,30,53,205,35,13,306,175,152,13,9,353,223,132,28,5,391,207,144,21,16,388,190,147,23,3,356,204,123,24,5,360,257,179,16,4,458,279,172,26,9,487,303,208,26,7,549,191,181,26,12,403,100,112,24,4,242,29,54,7,0,96,22,22,10,7,60,2232,1825,276,104,4438
LGA21750,0,0,0,0,0,47,23,3,9,75,181,446,72,15,721,544,258,40,10,847,693,307,58,27,1086,624,323,58,18,1030,592,344,53,18,1012,537,310,44,18,903,616,334,38,10,1011,661,363,59,20,1100,622,370,59,13,1061,426,352,77,17,871,194,226,38,10,473,92,131,11,17,250,44,78,0,19,148,5829,3842,621,205,10496
LGA21830,0,0,0,0,4,32,18,4,8,59,119,273,28,35,458,320,141,21,22,502,403,146,33,14,583,392,176,26,20,617,392,201,33,15,638,403,173,20,23,623,473,221,17,23,729,547,215,32,13,810,529,277,41,20,864,391,267,40,18,715,213,169,39,15,427,92,97,6,17,214,71,73,8,14,167,4332,2422,343,242,7344
LGA21890,4,0,0,0,10,170,122,22,29,350,215,1777,280,27,2302,1638,3041,399,131,5210,3683,2264,304,158,6408,4129,2171,394,140,6840,3715,2068,306,107,6192,3473,1877,175,68,5599,3492,1830,154,83,5556,3470,1735,189,77,5465,2807,1518,179,64,4563,1841,1369,174,37,3421,717,751,95,16,1585,187,334,42,13,571,77,131,29,15,242,29442,20884,2706,928,53965
LGA22110,8,4,0,4,8,86,45,13,14,160,250,698,109,40,1101,664,450,62,43,1221,885,419,76,33,1416,865,579,98,43,1583,846,586,77,39,1550,870,566,75,37,1548,1002,626,73,33,1737,1136,708,78,37,1960,1067,784,156,39,2039,836,870,138,26,1871,395,511,70,29,1001,158,246,28,11,446,103,155,17,13,293,9091,7193,1054,426,17762
LGA22170,0,3,0,0,0,187,150,15,29,381,473,2505,341,48,3368,2146,2404,311,104,4962,3490,1641,327,107,5566,3314,1892,407,121,5736,3303,2069,317,99,5789,3131,1934,179,96,5340,3244,1845,191,71,5352,3329,1820,205,70,5430,2618,1654,200,54,4534,1730,1540,234,36,3538,659,798,113,15,1582,173,349,41,10,573,54,181,22,13,273,27675,20635,2889,846,52045
LGA22250,0,0,0,0,0,12,11,0,3,32,55,124,16,4,194,164,67,12,7,258,194,86,23,4,308,157,92,11,9,265,222,111,12,3,356,216,96,4,4,326,239,97,8,7,346,312,127,20,9,471,301,157,13,5,471,255,142,28,6,427,119,116,12,9,255,36,57,0,10,106,36,35,6,6,86,2307,1318,171,85,3880
LGA22310,3,5,0,0,8,135,112,15,21,284,138,1702,202,16,2063,1168,2542,245,59,4020,2548,1637,173,115,4477,2717,1448,241,88,4495,2616,1647,201,80,4548,2370,1474,126,54,4023,2586,1537,130,45,4298,2427,1538,135,47,4152,1961,1383,130,31,3507,1339,1251,121,32,2743,603,912,75,18,1606,225,504,53,14,788,80,246,22,6,353,20780,17828,1854,613,41076
LGA22410,3,0,0,0,0,30,15,4,6,47,122,348,34,13,517,343,176,20,15,557,417,196,39,18,668,356,212,46,19,631,410,266,24,18,726,429,239,16,15,706,574,277,35,14,904,554,275,56,14,904,568,335,68,11,983,435,303,60,10,804,228,175,24,16,441,92,93,7,9,196,66,57,12,19,154,4590,2968,454,183,8193
LGA22490,0,0,0,0,0,17,4,0,4,27,73,182,16,9,283,202,166,18,3,389,256,122,18,5,395,285,142,14,12,461,258,184,27,9,477,297,169,20,7,488,288,143,20,5,464,311,171,15,12,510,207,143,19,6,375,148,114,8,4,277,76,92,8,5,170,50,59,4,0,117,34,40,4,0,82,2488,1732,190,90,4492
LGA22620,0,0,0,0,4,208,136,20,26,387,596,2553,292,73,3516,2442,2159,274,92,4966,3523,1606,300,93,5532,3334,1766,427,84,5609,3199,1978,280,88,5537,3190,1768,196,62,5210,3512,1592,162,69,5333,3283,1606,188,56,5135,2840,1704,279,55,4876,1860,1628,279,51,3829,684,860,150,24,1715,158,330,42,23,545,69,157,20,25,278,28693,19709,2882,794,52077
LGA22670,4,0,0,0,6,509,202,26,69,812,735,2401,220,76,3428,4635,3972,321,269,9187,8671,3173,391,342,12578,9227,3039,578,318,13164,9450,3129,437,253,13265,8996,2757,316,195,12269,9589,2716,280,187,12770,9362,2556,336,177,12427,8315,2351,346,148,11164,5441,2123,304,84,7951,2030,1215,164,40,3449,465,546,70,21,1096,136,245,29,24,427,77058,30212,3786,2122,113178
LGA22750,0,4,0,4,9,380,271,37,64,754,985,5495,725,100,7301,4870,5778,763,227,11638,8195,4167,692,271,13319,8106,4020,913,195,13236,7822,4464,681,184,13152,7255,4109,453,146,11966,7728,4042,378,139,12292,7148,3664,431,154,11394,5988,3787,541,110,10420,3833,3381,474,101,7781,1308,1926,294,51,3585,331,817,97,27,1266,144,335,30,43,549,63704,45977,6482,1741,117909
LGA22830,0,0,0,0,0,145,74,6,24,251,443,1241,153,57,1898,1569,930,128,73,2699,2202,826,167,82,3280,2034,1014,188,74,3308,1900,1004,127,67,3095,1900,913,115,56,2985,2106,874,90,60,3130,2203,926,129,51,3312,1953,995,164,57,3162,1402,841,161,39,2445,581,529,58,19,1189,166,280,35,12,482,78,140,26,20,254,18545,10509,1542,659,31250
LGA22910,0,0,0,0,0,21,24,0,0,41,31,177,44,5,259,139,154,29,9,334,203,158,37,7,406,210,181,27,9,428,248,191,30,6,469,258,219,29,9,517,290,246,30,7,575,332,262,37,11,647,273,301,34,6,616,210,289,37,6,541,103,157,14,0,284,49,88,6,0,149,38,53,3,10,98,2387,2471,369,91,5311
LGA22980,0,0,0,0,0,10,0,0,0,12,36,52,0,0,96,95,26,4,3,133,177,53,10,9,247,138,60,10,0,212,94,62,5,3,169,122,51,3,3,179,122,55,7,4,188,147,70,16,0,240,188,87,4,4,287,143,92,14,10,250,54,42,6,4,114,25,27,0,3,60,19,37,3,5,67,1361,728,95,42,2233
LGA23110,0,0,0,0,0,140,92,12,21,259,205,1253,192,30,1677,1251,1559,189,85,3073,2590,1183,124,98,4006,2940,1079,223,118,4364,3052,1222,192,84,4547,2768,1065,116,60,4004,2817,988,112,54,3972,2711,951,124,62,3838,2288,933,112,37,3363,1436,796,123,20,2370,516,437,70,9,1026,111,186,13,4,324,35,92,6,9,139,22718,11746,1599,654,36710
LGA23190,0,0,0,0,0,38,20,3,7,68,144,420,44,11,617,518,260,42,13,834,670,245,62,15,999,607,303,53,20,980,545,315,50,9,920,526,296,23,12,853,608,325,27,15,965,652,293,40,17,997,627,350,47,17,1051,469,333,54,9,861,176,176,28,9,384,57,98,17,6,174,37,57,5,14,118,5626,3471,489,159,9749
LGA23270,0,0,0,0,4,386,201,39,73,704,751,3360,399,102,4614,4273,4431,497,274,9474,7907,3381,526,384,12188,8766,3353,749,357,13220,8986,3564,563,323,13437,7862,3053,419,226,11562,7751,2871,372,206,11197,7700,2745,449,148,11037,6435,2424,422,133,9415,3951,1880,336,96,6260,1416,911,160,39,2530,301,381,59,18,765,104,162,13,15,289,66189,32505,4969,2327,105989
LGA23350,0,0,0,0,0,13,15,5,5,29,67,248,67,12,390,134,116,16,6,280,244,103,24,6,384,203,123,34,9,361,234,148,29,14,423,316,154,22,4,505,379,177,41,11,610,408,199,30,6,646,348,223,46,9,628,280,242,46,3,576,122,154,37,11,326,59,85,9,0,161,55,63,7,8,134,2852,2043,419,97,5420
LGA23430,4,8,0,0,8,322,179,29,40,571,488,3376,472,54,4388,3047,4200,524,141,7914,5744,2548,375,226,8898,6067,2203,448,181,8900,6016,2418,342,140,8912,5805,2321,224,140,8484,6403,2468,200,122,9191,6314,2497,284,98,9185,5261,2247,281,79,7867,3397,1987,276,62,5715,1337,1182,161,29,2710,391,621,52,17,1085,121,326,39,20,502,50390,28394,3679,1295,83752
LGA23670,0,3,3,4,4,255,145,19,26,450,485,3006,375,41,3915,2969,3159,334,116,6581,5015,1891,276,148,7334,5060,1893,400,144,7490,5290,2119,338,105,7853,5116,2042,195,108,7463,5381,2135,212,81,7808,5325,2179,237,91,7831,4762,2035,226,80,7105,2981,1903,247,53,5184,1092,1117,120,27,2353,263,499,42,7,806,95,222,30,19,363,43834,24202,3030,1014,72079
LGA23810,0,0,0,5,4,145,76,13,19,250,412,1480,169,46,2107,1528,1147,137,70,2884,2320,974,233,88,3618,2212,1054,245,77,3589,2178,1202,180,68,3625,2038,1028,135,53,3252,2195,975,118,62,3353,2225,1056,145,51,3479,2079,1125,196,57,3453,1329,1002,217,40,2586,428,493,93,31,1043,128,226,32,17,402,49,107,15,14,182,19124,11873,1902,682,33579
LGA23940,0,0,0,0,0,9,12,0,0,21,18,89,8,6,119,84,48,0,0,130,120,43,4,3,179,125,61,10,6,201,121,53,12,4,193,164,62,8,5,248,163,62,3,4,240,203,89,17,14,316,190,95,11,12,307,209,117,16,6,356,111,73,9,7,198,56,62,4,0,120,45,34,5,9,90,1602,896,113,93,2701
LGA24130,0,0,0,0,0,46,51,8,8,111,187,963,135,39,1320,617,671,86,35,1409,795,404,74,29,1297,730,438,84,21,1273,757,549,68,30,1402,909,595,60,22,1590,958,689,64,28,1742,1019,650,85,28,1777,789,631,94,18,1523,532,581,73,17,1200,239,359,39,8,640,91,206,13,8,324,68,125,12,15,216,7694,6852,881,286,15711
LGA24210,0,6,0,0,6,96,87,7,12,199,138,1847,337,13,2333,878,2301,330,44,3560,1671,1205,170,56,3103,1817,1068,229,68,3184,1678,1240,180,64,3167,1553,1162,105,35,2854,1711,1256,112,46,3119,1771,1320,128,43,3265,1526,1296,147,33,3007,972,1078,137,18,2208,422,654,87,13,1182,116,356,28,5,506,68,236,23,17,342,14316,15024,2018,456,31820
LGA24250,0,0,0,0,0,14,15,6,5,35,49,148,34,9,239,129,94,15,12,248,199,94,18,4,319,162,104,21,3,293,187,160,17,6,369,198,152,14,14,376,228,129,20,11,388,245,155,21,11,428,224,145,33,10,413,186,199,33,4,423,87,144,20,5,256,39,67,8,0,110,11,40,11,8,62,1953,1632,251,93,3929
LGA24330,0,3,0,0,4,156,112,10,34,312,127,1527,300,40,1985,1323,2838,391,114,4669,2896,1958,283,147,5281,3430,1706,330,103,5565,3169,1576,247,101,5094,2825,1393,147,67,4434,2712,1348,117,62,4237,2540,1283,132,54,4005,2122,1081,142,40,3386,1397,928,140,23,2487,531,448,85,14,1081,125,163,38,5,331,33,71,7,7,110,23222,16314,2354,782,42663
LGA24410,0,4,0,3,7,171,115,9,21,312,331,2488,344,30,3203,2041,2675,331,60,5106,3037,1393,237,109,4783,2960,1410,288,91,4745,2856,1593,219,74,4737,2812,1536,121,63,4531,3107,1472,121,45,4746,3004,1520,172,61,4755,2689,1475,172,36,4369,1770,1282,210,42,3297,633,785,93,9,1521,176,329,41,11,562,58,184,27,7,276,25467,18146,2368,650,46629
LGA24600,3,6,7,9,28,1810,586,141,210,2753,671,3584,1101,183,5535,17649,15834,3121,803,37408,51122,13927,3091,1154,69291,60873,13601,5256,1172,80892,62406,14171,4715,963,82265,52224,11289,2206,621,66343,42388,8212,1335,446,52397,34560,6772,1311,403,43045,24652,5769,1354,314,32089,14098,5148,1165,196,20610,4912,3077,661,116,8774,1356,1512,230,69,3168,330,665,133,116,1242,367244,103564,25678,6558,503044
LGA24650,0,0,0,0,0,119,88,13,28,248,363,2182,238,56,2836,1663,1888,217,112,3884,2908,1371,206,132,4613,3099,1556,268,127,5048,3056,1585,208,125,4971,2662,1329,134,69,4197,2452,1229,115,56,3848,2069,974,118,62,3216,1468,786,118,38,2411,880,668,86,24,1653,319,320,41,13,694,70,138,25,7,231,9,43,6,10,67,21017,14071,1778,816,37682
LGA24780,5,0,0,0,5,108,72,6,26,207,317,1026,113,47,1502,1185,730,108,65,2091,1657,705,136,88,2584,1537,751,171,70,2526,1426,770,107,71,2369,1463,683,64,49,2256,1670,652,77,58,2456,1675,682,92,64,2512,1469,672,94,43,2278,1093,708,110,48,1956,444,350,39,20,859,142,177,19,9,347,69,63,10,17,160,14148,7967,1139,649,23895
LGA24850,0,0,0,0,0,52,38,0,15,104,249,812,87,30,1180,683,548,87,37,1355,875,379,60,36,1349,842,463,115,39,1463,795,496,71,32,1393,757,407,45,27,1240,830,499,30,24,1383,812,440,59,25,1336,746,406,71,22,1246,440,416,64,5,929,198,249,41,11,508,85,119,9,6,218,37,63,3,0,106,7369,5298,734,306,13705
LGA24900,0,0,0,0,5,39,32,4,6,81,188,520,54,37,804,518,274,30,15,835,704,254,64,42,1057,626,324,75,32,1057,655,310,44,23,1036,681,315,24,25,1040,743,326,37,15,1119,807,378,57,21,1263,719,418,55,18,1212,570,402,70,28,1065,254,226,47,16,539,84,129,11,10,241,53,70,10,17,144,6600,3955,570,286,11409
LGA24970,0,7,0,0,9,403,216,35,49,701,347,3039,364,53,3791,3944,5638,589,230,10405,8609,3974,493,287,13364,9420,3505,819,280,14022,9753,3837,677,241,14511,9140,3469,332,157,13102,9063,3199,318,136,12713,8520,3162,317,130,12127,6874,2878,355,99,10208,4385,2464,331,87,7261,1607,1540,189,36,3369,413,751,76,32,1266,128,350,40,33,562,72198,37798,4908,1795,116697
LGA25060,0,0,0,0,3,148,106,22,12,290,206,2151,316,19,2696,1481,2526,295,101,4407,2593,1482,225,107,4404,2846,1421,296,114,4676,2654,1398,255,78,4386,2456,1347,164,78,4042,2537,1397,156,55,4148,2488,1372,162,59,4077,2073,1175,144,30,3427,1223,1019,144,33,2412,493,625,94,18,1225,146,252,30,19,448,52,112,16,3,184,21249,16279,2292,715,40540
LGA25150,0,0,0,0,0,44,38,3,6,96,140,568,65,13,791,427,381,45,25,883,545,292,66,29,931,599,338,74,23,1036,542,384,41,35,999,590,337,28,26,983,598,304,27,22,957,585,343,42,22,979,484,382,40,16,922,322,294,36,14,672,136,177,15,7,336,53,82,8,12,157,36,62,11,7,112,5058,3940,508,238,9746
LGA25250,0,4,0,0,4,139,104,11,33,290,176,1465,148,30,1819,1347,2685,288,112,4431,3056,2293,250,136,5732,3311,2063,337,97,5803,2939,1977,275,102,5290,2624,1695,145,79,4543,2490,1633,145,53,4325,2486,1523,150,63,4220,2096,1354,156,42,3647,1340,1068,137,20,2570,495,581,81,18,1183,171,301,29,0,501,67,127,17,6,211,22594,18758,2153,758,44261
LGA25340,0,0,0,0,5,190,162,20,31,406,818,3305,592,107,4828,2685,2783,463,146,6080,3273,1622,307,101,5296,3004,1836,408,106,5355,2872,2041,333,102,5350,3013,2011,216,70,5310,3449,2323,257,91,6132,3485,2364,345,85,6282,2919,2182,324,99,5528,1889,2133,291,62,4374,769,1309,155,37,2269,260,741,83,22,1105,124,368,51,28,575,28564,25026,3829,1061,58473
LGA25430,0,0,0,0,0,15,28,0,3,50,77,286,36,10,409,242,206,26,11,489,343,193,18,12,569,349,212,37,10,610,369,243,41,14,665,392,305,16,10,725,505,302,35,9,855,531,352,41,18,941,463,390,53,15,922,385,354,60,10,812,137,246,31,8,420,49,100,16,3,161,41,46,0,9,94,3874,3237,416,140,7670
LGA25490,0,0,0,0,0,30,9,3,0,45,113,209,25,11,354,232,134,20,8,396,358,120,32,11,519,387,153,29,12,585,368,166,29,7,569,414,129,20,14,575,485,174,21,10,692,490,198,30,22,735,528,215,43,13,798,337,236,46,15,629,206,164,26,14,404,94,89,8,20,206,80,70,5,17,167,4089,2048,327,170,6639
LGA25620,0,0,0,0,0,20,18,6,7,52,59,149,48,9,264,177,112,26,7,314,227,110,29,11,368,205,107,29,5,346,204,130,35,6,375,240,138,28,10,415,298,174,23,8,497,313,185,23,8,534,283,216,39,10,552,240,220,43,10,512,90,137,12,11,256,59,98,7,0,166,51,83,11,8,153,2438,1867,356,99,4757
LGA25710,0,0,3,0,5,42,51,5,5,99,108,1033,155,12,1312,549,851,113,26,1544,692,398,81,23,1186,720,437,98,27,1287,695,573,71,14,1358,763,573,58,21,1417,895,621,42,24,1583,927,619,56,11,1610,759,617,89,14,1482,501,579,70,10,1155,204,377,47,3,634,89,169,8,10,278,30,121,7,0,161,6941,6980,900,196,15013
LGA25810,4,0,0,0,4,20,15,7,5,50,54,197,22,20,286,247,148,29,19,442,355,116,33,16,509,349,145,45,18,552,263,118,25,12,411,250,131,14,0,395,280,139,23,9,447,336,181,29,11,548,309,165,39,3,518,254,201,41,0,495,122,121,25,4,271,39,61,9,0,111,40,43,3,4,97,2891,1759,318,112,5082
LGA25900,0,0,0,0,5,289,142,19,45,493,194,1204,231,34,1662,3004,3377,435,142,6961,7902,3029,437,200,11560,8835,2591,612,200,12233,8091,2404,508,160,11162,6593,1842,232,104,8774,5688,1724,187,65,7664,4930,1542,185,60,6716,3508,1383,168,47,5103,2132,1272,161,30,3600,877,795,90,27,1799,312,495,40,14,856,116,269,29,18,431,52175,21921,3317,1107,78518
LGA25990,0,0,0,0,0,14,6,0,0,16,19,56,6,7,91,84,36,7,7,136,98,36,5,13,152,107,30,10,3,147,113,49,6,7,173,119,62,5,0,191,163,67,8,5,249,167,79,5,9,257,155,82,8,0,246,133,87,13,8,245,57,59,13,4,130,34,39,4,5,86,19,31,4,0,56,1280,719,98,61,2158
LGA26080,0,0,0,0,0,5,4,0,4,8,9,59,28,5,101,34,65,20,7,127,56,38,7,3,110,52,36,10,5,110,59,53,10,3,122,61,61,10,4,135,82,72,12,0,169,96,70,13,3,181,93,93,13,0,205,62,80,18,0,159,17,78,9,0,108,7,29,7,0,44,9,22,0,0,25,641,759,159,31,1590
LGA26170,0,0,0,0,5,42,41,3,12,101,150,517,77,34,779,411,269,44,23,753,502,254,45,35,837,566,312,51,13,947,603,353,50,16,1027,618,316,43,26,1004,719,412,38,26,1203,812,456,66,26,1359,701,467,83,21,1277,565,535,70,29,1193,283,364,40,19,706,134,204,18,12,366,68,113,12,16,205,6137,4570,640,297,11645
LGA26260,0,0,0,0,0,32,20,0,5,52,119,274,38,18,449,375,170,30,10,582,460,181,45,12,697,354,213,51,18,629,384,235,36,14,664,406,239,17,9,680,508,210,27,12,755,502,260,30,8,805,496,306,48,14,864,415,284,44,8,750,224,221,22,3,468,92,102,12,5,212,52,55,9,20,136,4386,2743,406,150,7685
