POW_LGA_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
LGA22250,0,0,0,9,13,17,3,0,46,0,0,6,0,5,3,0,0,16,0,0,8,4,0,5,9,3,37,0,0,0,4,13,10,15,4,45,0,0,9,6,11,16,17,6,73,0,5,5,14,11,18,16,5,76,3,3,4,17,19,29,13,0,94,0,3,9,26,33,22,10,4,103,0,3,15,29,26,28,7,0,108,0,0,15,19,19,22,5,4,82,0,3,12,12,11,17,8,4,64,0,0,4,12,5,10,7,0,45,0,0,5,17,28,19,12,0,90,0,0,0,0,11,5,0,0,14,0,0,0,4,18,14,7,0,44,0,0,3,0,7,6,5,4,23,5,23,89,175,241,254,134,49,965,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,0,0,3,0,0,0,0,0,14,0,0
LGA22310,0,0,9,25,21,18,8,0,81,9,0,4,9,6,0,4,0,33,6,8,10,21,12,12,7,0,66,0,11,18,19,34,10,10,0,109,0,12,16,25,32,21,17,0,114,4,17,34,40,46,35,25,4,191,3,24,35,48,64,47,13,4,238,0,35,82,97,74,73,28,5,385,0,30,127,114,123,91,23,3,512,0,16,124,112,106,72,26,4,462,0,7,114,140,118,85,24,5,495,0,0,78,127,120,78,22,7,439,0,0,134,286,322,186,49,8,992,0,0,28,93,103,58,19,5,308,0,0,36,203,288,116,51,0,697,0,4,0,12,19,8,7,0,51,24,161,844,1373,1466,915,335,43,5161,0,4,18,17,15,7,3,0,62,45,44,24,22,14,10,8,0,169,19,70,31,48,32,17,15,3,230,13,44,30,47,37,35,22,5,228,4,37,45,49,54,44,25,7,277,0,59
LGA22410,4,0,4,4,10,7,8,0,35,0,0,0,0,0,4,4,0,15,0,0,9,5,8,5,6,4,43,0,0,0,3,9,10,11,3,34,0,0,5,6,13,16,16,11,70,3,5,6,9,11,23,22,11,99,4,10,7,15,16,24,20,10,112,4,7,15,26,23,28,22,14,134,6,4,23,32,41,32,26,11,170,0,5,19,20,37,29,23,7,139,0,5,11,24,37,41,25,8,145,0,3,6,30,20,25,14,4,98,0,0,22,32,58,49,25,7,181,0,0,0,5,14,16,7,3,51,0,0,3,10,27,20,6,4,72,0,3,0,7,7,6,14,7,39,14,28,137,225,320,338,251,110,1422,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,8,0,0,5,0,5,0,0,0,12,0,0,3,4,4,6,0,0,15,0,0,3,5,3,6,4,0,32,0,0
LGA22490,0,0,0,3,8,5,4,5,32,0,0,4,3,0,3,5,0,17,0,0,3,0,3,3,5,6,16,0,3,5,0,7,4,9,4,26,0,3,4,7,3,9,5,3,45,3,8,6,6,10,10,9,3,60,0,9,9,12,9,21,14,10,84,5,9,19,7,22,12,13,5,93,4,7,29,22,27,18,15,6,123,0,4,14,10,18,13,11,10,80,0,0,15,24,16,14,4,0,76,0,0,4,21,11,6,0,0,52,0,0,12,26,33,19,20,3,114,0,0,0,13,7,13,0,0,39,0,0,0,3,16,7,6,3,38,0,0,0,0,4,6,6,0,16,14,42,130,155,210,162,124,58,886,0,0,0,0,0,0,0,0,7,0,0,0,0,3,6,0,0,13,0,3,0,9,0,0,0,0,15,0,0,0,4,5,3,5,0,22,0,0,0,3,4,5,0,0,16,0,3
LGA22620,0,0,5,12,21,10,8,0,49,9,0,4,5,5,8,0,0,30,5,0,3,16,6,7,12,7,59,5,8,12,9,13,22,12,11,79,5,7,16,12,20,23,26,11,119,6,18,29,40,34,45,21,6,205,8,27,54,52,54,61,33,6,307,4,53,130,108,119,93,37,16,557,0,60,164,194,148,110,35,7,722,0,16,111,151,133,121,35,6,571,0,11,106,194,172,115,31,10,635,0,0,69,154,169,114,29,4,545,0,5,112,314,393,239,51,8,1122,0,0,14,70,115,83,7,4,292,0,0,24,96,160,92,29,8,408,0,4,3,10,7,10,3,4,38,49,209,862,1441,1570,1142,375,97,5736,0,0,6,5,7,0,0,0,22,12,3,5,14,3,9,3,0,47,8,18,20,28,13,15,4,4,102,0,17,31,35,15,16,14,0,123,4,14,28,36,26,15,16,3,148,4,11
LGA22670,0,3,14,21,24,16,10,0,87,11,8,3,11,6,10,5,0,52,10,6,10,13,14,13,10,0,79,4,10,21,25,37,32,11,0,143,0,16,36,34,28,36,16,4,182,3,36,68,64,65,50,20,0,306,6,50,104,119,108,100,38,11,539,6,85,237,238,192,135,46,14,948,3,67,382,353,362,241,70,12,1478,4,41,352,370,351,264,64,6,1442,0,29,346,457,469,363,75,9,1741,0,10,222,419,466,328,73,3,1514,0,5,407,1054,1152,781,112,9,3526,0,0,60,286,341,233,38,4,966,0,0,62,395,737,495,117,22,1831,0,4,18,14,53,21,3,0,118,56,369,2349,3868,4394,3110,705,92,14947,0,3,13,13,8,5,0,0,47,24,33,12,16,15,10,4,0,117,21,49,36,36,27,10,7,3,199,14,45,35,34,23,27,19,9,200,0,48,54,62,34,38,31,6,276,0,63
LGA22750,0,0,11,16,23,23,8,0,86,13,0,13,7,15,9,6,0,63,8,10,20,19,29,22,19,4,134,4,14,20,22,35,40,27,5,171,9,33,27,38,31,54,21,14,233,20,40,58,67,78,86,50,9,404,16,72,123,126,130,95,65,6,622,18,118,267,185,170,128,68,12,960,8,117,410,348,321,247,51,14,1510,0,53,359,376,305,203,53,10,1364,0,15,278,389,372,220,62,10,1350,0,0,215,349,336,185,34,4,1123,0,6,346,1017,937,521,71,12,2922,0,0,53,246,267,161,26,6,769,0,0,62,320,511,270,84,25,1271,0,0,10,26,27,21,12,6,101,98,480,2266,3558,3583,2281,654,153,13065,0,0,24,24,16,11,6,3,83,18,22,34,29,20,20,9,0,156,13,37,55,61,41,37,21,3,263,9,42,75,78,44,42,29,3,319,10,49,102,96,63,57,53,12,440,8,76
LGA22830,5,0,9,14,23,23,19,5,96,3,3,3,4,4,7,3,7,34,5,6,9,6,17,13,13,0,70,8,3,6,9,16,42,20,4,102,8,0,16,20,24,27,20,3,127,3,6,14,35,41,37,21,13,177,4,18,44,59,60,72,33,9,304,4,38,82,84,87,71,32,12,409,0,32,114,112,104,105,44,8,519,0,12,94,113,106,97,35,6,460,0,4,77,116,92,96,25,8,424,0,4,63,90,95,76,30,6,357,0,4,75,169,250,163,23,3,694,0,0,18,29,62,29,13,0,151,0,0,10,56,105,73,23,4,274,0,0,0,8,18,20,12,7,59,41,132,637,921,1104,961,370,102,4268,0,0,4,10,3,3,0,0,15,9,6,3,3,3,0,0,0,19,6,4,6,12,7,9,6,0,47,0,12,22,13,7,3,10,0,63,12,10,26,23,11,16,14,0,104,6,14
LGA22910,0,0,0,0,7,11,0,0,27,0,0,0,11,0,0,3,0,18,0,0,5,5,0,12,6,7,39,0,0,0,12,11,12,9,8,49,0,0,0,3,18,11,8,0,42,0,0,7,18,19,16,17,16,89,0,5,11,15,20,19,15,4,89,0,0,17,12,30,25,23,0,113,0,5,21,29,31,32,13,10,148,0,0,18,21,22,21,5,0,93,0,0,5,19,25,25,11,9,82,0,0,4,11,12,18,7,5,52,0,0,6,27,34,18,12,0,104,0,0,4,4,8,3,0,0,22,0,0,4,10,24,19,8,3,61,0,0,0,3,4,4,0,0,16,3,17,106,196,261,254,144,69,1048,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,3,5,3,8,0,0,24,0,0,0,3,3,7,5,4,16,0,0,4,13,14,7,5,0,43,0,0
LGA22980,0,0,0,0,0,5,4,0,15,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,4,0,13,0,0,0,0,0,4,5,6,18,0,0,0,0,3,0,0,0,13,0,0,7,8,5,14,4,3,39,0,0,6,4,7,9,7,3,43,0,0,12,12,12,14,10,3,70,3,6,15,11,18,16,8,6,83,0,0,8,13,12,17,5,0,57,0,0,6,11,6,24,8,3,61,0,0,0,9,0,6,5,3,31,0,0,4,10,19,22,6,3,61,0,0,0,0,5,4,0,0,14,0,0,5,0,10,8,7,0,34,0,0,0,0,0,0,10,0,10,6,13,77,85,116,156,84,36,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,3,0,0
LGA23110,0,0,11,8,5,4,0,0,26,8,0,0,4,4,5,0,0,14,0,0,6,10,4,4,0,0,21,4,7,11,17,11,5,3,0,59,6,10,5,9,21,6,3,0,61,0,11,32,27,14,20,7,3,109,0,20,24,36,42,41,11,0,178,0,31,71,79,68,35,16,0,305,0,28,115,94,88,63,21,3,405,0,14,116,105,97,68,16,6,416,0,0,104,135,118,94,22,4,476,0,0,73,147,108,75,15,0,411,0,4,136,333,310,187,32,9,1003,0,0,33,106,123,82,10,0,359,0,0,40,189,236,165,31,3,674,0,0,8,15,7,9,0,0,37,11,126,781,1308,1254,845,192,33,4553,0,0,8,7,5,0,0,0,22,18,9,8,14,3,7,0,0,59,5,11,14,16,15,9,3,0,70,3,16,21,17,7,7,7,0,88,0,19,12,23,15,29,11,0,115,0,16
LGA23190,0,0,0,0,0,3,3,0,15,4,0,3,0,3,4,0,0,12,0,0,0,3,8,9,8,0,27,0,0,0,7,7,10,9,4,41,0,0,0,0,8,5,3,5,32,8,0,7,8,10,19,16,0,74,0,3,11,9,19,30,12,7,95,3,7,23,21,31,38,16,6,145,0,11,33,47,41,52,16,4,207,0,6,27,37,44,42,22,7,184,0,8,24,42,54,46,16,4,183,0,0,8,26,44,26,12,5,119,0,0,22,66,65,56,11,3,226,0,0,0,11,11,20,3,0,49,0,0,3,19,34,24,11,4,98,0,0,4,4,7,5,4,0,27,20,35,172,299,386,387,161,51,1519,0,0,3,0,0,0,0,0,6,3,0,0,0,5,3,0,0,8,0,0,0,5,0,0,0,0,12,0,0,3,0,4,0,3,0,10,0,0,5,10,0,8,0,0,23,0,3
LGA23270,0,0,18,18,19,13,7,0,70,13,7,4,7,0,0,3,0,36,11,11,16,22,10,10,4,0,87,9,14,17,23,21,9,7,3,106,10,25,30,33,32,41,19,4,190,12,38,64,80,56,47,19,7,321,5,51,100,129,99,69,29,3,479,5,95,244,204,156,107,33,5,854,9,72,360,362,284,182,46,3,1312,6,47,343,372,285,192,42,3,1292,0,19,312,438,399,255,42,6,1480,0,8,219,336,346,222,38,5,1171,0,0,375,925,866,514,91,15,2790,0,0,55,243,299,153,31,0,782,0,4,54,309,528,309,59,12,1275,0,3,21,21,32,21,9,0,116,75,393,2218,3509,3445,2159,482,62,12355,6,7,18,13,15,12,0,0,57,24,24,11,27,3,10,7,0,104,12,39,36,25,17,15,4,0,157,9,23,41,36,32,16,4,0,161,4,34,58,50,31,31,10,4,228,0,42
LGA23350,0,0,0,3,6,6,8,0,28,4,0,0,3,0,4,0,0,16,0,0,0,0,3,10,4,7,25,3,0,0,11,6,10,15,12,53,0,3,0,0,4,14,20,4,55,3,0,8,11,17,21,13,13,78,0,0,14,7,17,18,21,14,94,0,3,9,13,25,31,17,3,101,0,0,21,22,27,34,29,4,136,0,0,12,24,34,23,12,9,113,0,0,4,17,26,20,13,0,82,0,0,12,13,25,21,3,5,73,0,5,8,35,48,31,10,0,133,0,0,0,8,15,10,0,0,44,0,0,0,6,17,9,7,3,45,0,0,0,0,0,0,3,6,9,13,15,97,165,272,276,175,88,1101,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,15,0,0,0,4,3,3,0,0,18,0,0,4,3,8,9,4,0,29,0,0
LGA23430,0,0,10,28,26,25,6,0,101,7,5,3,3,18,4,4,0,43,0,9,6,23,20,23,5,0,94,6,21,10,23,29,30,16,3,133,3,19,22,36,36,32,21,4,179,3,42,54,52,77,70,30,8,339,4,45,122,123,121,106,37,10,569,0,92,198,209,163,138,58,9,866,5,84,336,317,292,210,56,7,1315,0,37,343,346,294,202,64,8,1298,0,10,292,356,371,250,66,11,1356,0,4,193,322,346,214,71,9,1144,0,13,325,761,891,537,109,12,2637,0,0,68,220,323,159,29,3,807,0,0,65,436,658,376,97,20,1659,0,3,9,13,31,24,10,0,94,38,382,2086,3268,3688,2406,678,97,12646,0,9,8,9,8,12,0,0,52,32,37,15,26,19,11,4,0,136,24,39,29,32,19,11,9,0,166,11,41,47,37,33,29,13,7,216,11,34,50,44,39,26,22,0,232,8,65
LGA23670,0,4,9,18,23,12,9,0,67,7,4,8,17,7,10,3,0,54,5,8,21,22,12,10,9,0,87,9,15,18,31,29,16,13,3,130,4,21,21,31,39,29,18,3,162,6,22,44,56,56,40,30,5,258,4,40,77,95,75,68,21,3,391,0,80,165,142,135,115,46,14,700,7,75,269,243,224,168,32,3,1023,0,27,245,271,245,184,50,4,1021,0,11,211,324,313,211,46,8,1124,0,4,153,257,252,208,51,13,934,0,4,263,738,814,441,73,9,2341,0,0,55,220,255,169,24,0,729,0,4,47,333,543,331,54,10,1319,0,6,7,12,20,26,9,0,79,52,313,1602,2797,3065,2028,490,84,10423,3,0,13,16,11,15,3,0,61,25,23,25,22,11,14,3,0,129,15,38,33,32,24,26,6,4,179,9,36,33,39,24,30,11,6,199,3,31,42,54,37,38,29,11,245,6,45
LGA23810,0,0,0,3,9,9,7,4,27,0,0,3,0,3,5,8,3,27,0,0,5,6,4,13,6,8,38,0,4,10,10,6,6,15,9,61,0,0,8,6,10,14,13,8,63,9,14,22,15,16,26,12,3,125,5,20,37,38,17,48,16,9,187,3,40,64,47,49,51,21,4,277,3,16,82,85,87,55,20,10,364,0,11,70,78,79,56,11,0,318,0,4,65,95,81,64,17,0,328,0,3,41,82,91,57,8,0,282,0,0,80,181,221,158,24,0,665,0,0,20,47,66,50,8,0,191,0,0,9,64,106,102,23,0,298,0,0,4,7,8,8,8,0,30,29,117,526,762,865,721,220,63,3299,0,4,3,0,3,3,0,0,18,3,0,7,6,6,7,4,0,32,4,4,14,11,6,7,3,0,48,3,9,12,16,8,14,11,0,77,0,4,21,14,6,12,14,0,83,0,18
LGA23940,3,0,6,11,3,18,6,3,47,0,0,0,0,4,6,0,0,19,0,0,0,8,3,6,8,7,27,0,0,0,0,16,6,14,9,43,0,0,0,3,8,11,10,5,38,0,0,11,11,11,16,25,4,81,0,0,11,12,18,28,15,6,91,4,7,16,21,26,25,27,11,132,0,0,15,18,29,40,31,5,136,0,3,16,11,21,14,15,3,84,0,0,12,15,21,23,13,4,81,0,0,7,11,13,17,10,5,65,0,0,3,14,21,36,15,5,87,0,0,0,3,9,0,0,0,16,0,0,0,3,5,5,6,0,17,0,0,0,5,6,11,15,4,28,8,20,89,148,200,257,203,69,998,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,4,0,8,0,0
LGA24130,0,3,3,8,8,7,9,0,36,4,0,0,6,9,9,0,5,31,5,0,7,3,6,10,3,0,41,0,7,0,6,5,11,12,3,49,0,3,7,4,15,20,14,8,75,7,8,14,16,24,27,13,11,112,3,11,12,27,38,24,17,12,136,0,12,28,29,38,48,21,14,181,0,8,48,58,67,52,30,4,270,0,9,29,41,51,46,11,13,205,0,3,30,47,72,40,14,7,213,0,0,21,27,53,34,11,6,158,0,0,27,88,105,61,18,10,309,0,0,0,31,36,31,7,0,108,0,0,3,40,51,43,14,7,165,0,0,0,0,0,0,6,0,13,15,63,231,439,581,460,198,98,2094,0,0,0,0,3,0,3,0,8,8,0,4,4,5,6,8,0,26,0,5,5,10,16,10,5,0,61,3,0,6,9,18,13,11,0,64,0,0,5,11,3,14,11,0,56,0,18
LGA24210,0,0,5,19,17,4,5,0,50,3,4,4,18,10,6,3,0,52,7,9,9,15,15,3,4,7,58,7,12,17,17,31,16,9,0,106,0,19,18,24,14,14,8,5,100,0,28,29,32,51,36,11,0,204,0,29,46,54,43,46,15,6,244,4,35,75,68,74,54,26,3,347,0,42,129,113,110,69,19,4,482,0,19,103,87,102,49,26,10,393,0,10,75,88,83,72,13,0,347,0,0,49,72,86,38,17,3,263,0,0,92,181,213,126,39,8,659,0,0,16,65,94,47,14,3,233,0,0,21,107,207,130,21,7,495,0,0,3,4,15,6,0,4,32,28,210,696,964,1156,739,246,56,4081,0,0,6,11,16,9,0,0,44,31,29,19,21,15,13,4,0,129,18,39,18,30,20,18,14,0,156,8,14,23,40,27,32,13,7,166,4,12,31,35,33,33,16,7,178,0,11
LGA24250,0,0,3,4,0,4,0,0,16,0,0,0,0,0,0,3,0,6,0,0,6,0,3,0,5,0,12,0,0,0,3,3,6,8,0,22,0,0,0,4,6,3,10,0,21,0,0,3,4,8,18,14,5,53,0,0,10,9,8,8,12,4,43,0,0,16,21,23,18,10,6,84,0,3,18,19,36,23,20,3,115,0,3,4,22,23,12,12,4,75,0,0,6,14,10,18,6,5,67,0,0,4,8,11,15,3,0,45,0,0,13,16,20,26,5,0,76,0,0,0,7,7,9,0,0,17,0,0,0,3,9,17,7,0,37,0,0,0,0,4,5,0,0,8,6,13,73,127,167,168,111,29,699,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,0,0,3,0,0,0,0,0,7,0,0,0,4,7,5,4,0,17,0,0,0,4,4,0,0,0,14,0,0
LGA24330,0,0,3,10,9,3,0,0,31,3,0,4,0,0,4,0,0,18,7,15,3,7,3,8,0,0,42,0,10,13,15,14,18,4,0,73,0,12,16,26,20,16,5,0,106,0,25,35,31,33,21,11,7,162,3,28,60,48,52,34,13,0,240,4,56,138,109,83,48,19,0,462,0,49,238,141,128,86,19,3,657,0,20,163,145,115,56,22,0,518,0,7,142,173,134,66,22,0,545,0,5,100,160,121,96,16,0,497,0,0,154,396,313,195,37,0,1090,0,0,38,86,113,73,12,0,322,0,0,39,158,229,135,22,3,582,0,7,3,11,10,11,0,0,36,24,230,1155,1520,1390,863,201,19,5395,4,0,10,7,7,3,4,0,37,29,37,13,11,13,4,0,0,103,17,25,23,21,7,10,3,0,108,0,32,36,35,28,26,6,0,157,0,14,54,36,25,11,10,0,159,4,27
LGA24410,0,0,9,13,11,9,0,0,50,11,5,11,9,5,3,0,0,39,5,6,8,16,9,10,3,0,53,3,6,18,16,9,13,7,0,75,5,18,17,22,18,28,14,0,128,9,22,33,38,52,33,13,8,198,7,37,46,60,57,37,21,0,274,6,41,109,87,73,54,33,8,402,3,69,176,134,138,95,33,3,655,0,23,143,163,136,118,27,3,613,0,11,94,198,176,124,30,3,640,0,6,88,134,144,96,22,4,491,0,0,129,305,360,245,52,5,1099,0,0,17,86,122,81,16,0,326,0,0,24,126,211,131,34,6,538,0,0,0,5,13,8,0,0,40,52,245,935,1401,1545,1094,303,47,5617,0,0,4,13,0,7,4,0,36,16,12,23,13,8,19,8,0,90,12,20,22,24,19,14,5,0,126,3,15,31,29,23,24,11,0,130,7,29,31,39,29,35,26,4,195,0,25
LGA24600,3,3,43,80,65,36,11,5,250,21,21,19,17,14,10,8,0,111,18,46,28,35,25,10,7,3,183,13,58,63,76,43,29,22,7,310,12,52,93,79,64,39,22,6,368,14,118,195,162,83,66,40,3,690,8,148,360,297,156,123,48,7,1151,10,256,816,567,284,188,58,18,2200,0,385,1745,1174,597,326,119,14,4361,0,222,2030,1550,743,403,121,17,5086,0,133,2185,2265,1186,629,131,20,6556,0,59,1983,2704,1524,716,153,14,7149,3,53,5526,10284,6423,2968,439,29,25719,0,8,1272,4541,3381,1500,193,9,10904,0,6,1344,8833,9900,4222,560,60,24925,0,19,57,113,106,66,13,3,380,101,1586,17758,32784,24583,11333,1967,211,90322,8,66,111,107,64,19,12,0,394,67,183,119,70,56,34,16,0,558,58,329,243,117,63,51,34,6,907,30,358,291,171,109,82,56,10,1107,16,352,399,201,137,102,66,18,1299,19,536
LGA24650,0,0,3,10,14,6,0,0,42,0,0,4,0,0,3,0,0,20,3,7,6,11,9,9,4,0,46,0,0,13,13,8,10,7,0,55,0,5,10,14,23,10,0,0,70,6,15,25,49,27,24,6,0,156,6,22,55,49,43,23,0,0,200,4,36,83,104,68,38,9,0,340,0,40,127,137,98,56,13,0,458,0,17,128,112,107,43,11,5,418,0,3,94,130,90,48,0,0,370,0,0,59,101,85,44,9,0,304,0,3,99,260,213,92,10,4,680,0,0,29,67,50,31,4,0,179,0,0,17,91,103,59,7,0,286,0,6,5,5,10,3,4,0,32,33,161,746,1160,947,499,99,16,3655,0,0,9,8,4,3,0,0,22,16,5,7,14,4,3,4,0,62,8,27,12,27,6,6,5,0,92,0,11,24,30,21,9,5,0,106,0,10,27,19,21,8,8,0,93,3,13
LGA24780,0,0,5,8,15,11,10,4,63,7,0,4,3,6,5,0,4,27,5,3,3,17,11,14,12,0,61,0,3,10,7,16,22,15,4,78,5,4,6,15,23,33,19,5,112,8,11,25,27,40,51,26,3,192,7,14,37,45,50,57,27,6,247,0,27,66,69,71,58,35,4,345,0,30,118,100,91,94,39,9,482,0,5,69,66,89,74,34,0,347,0,3,57,82,95,85,23,3,352,0,4,36,80,79,58,12,3,274,0,0,51,143,158,109,23,4,488,0,0,10,28,57,37,9,0,134,0,0,13,36,74,56,21,3,203,0,0,0,12,15,17,9,4,56,39,119,503,743,889,784,314,64,3449,0,0,5,0,0,0,0,0,6,9,0,3,0,4,0,0,0,19,4,6,7,8,3,0,3,0,35,0,3,12,7,3,0,0,0,30,0,3,8,17,0,4,0,0,39,5,9
LGA24850,0,0,0,6,6,10,6,3,33,0,0,0,4,0,4,0,0,15,3,5,5,5,10,12,12,0,31,0,0,5,8,10,8,19,0,48,4,3,9,6,4,7,12,6,36,5,11,12,11,16,14,15,10,88,0,7,14,19,19,20,10,0,101,0,17,27,24,29,24,19,0,141,0,14,45,39,47,39,17,8,202,0,14,24,34,38,32,15,4,156,0,4,36,43,34,30,18,0,171,0,0,33,51,42,27,10,0,170,0,3,47,85,101,69,11,0,322,0,0,3,18,19,16,5,4,65,0,0,4,13,31,21,13,0,88,0,0,4,0,0,9,3,0,18,14,82,276,351,400,339,181,49,1696,0,0,0,0,0,0,0,0,7,0,0,0,6,0,4,0,0,16,3,0,5,8,4,3,0,4,33,0,4,0,5,11,6,0,0,35,0,7,6,8,4,5,3,0,43,0,3
