POW_LGA_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,10,7,0,0,0,6,0,11,8,54,4,80,6,3,13,15,5,9,7,140,13,15,19,11,31,51,16,15,4,175,3,20,15,10,31,46,8,42,0,183,11,33,17,11,27,51,7,42,0,199,11,14,16,16,27,42,15,33,0,175,3,22,17,19,23,39,11,61,3,198,3,31,35,20,26,44,15,63,7,248,4,36,37,27,30,52,27,93,4,309,7,37,43,32,42,46,17,96,4,316,10,30,45,27,38,68,19,71,3,318
LGA21370,0,0,5,0,4,7,0,5,8,21,0,4,0,0,3,3,0,6,0,19,3,0,0,9,0,3,5,5,0,26,0,3,0,0,3,3,0,3,5,19,5,0,0,0,0,5,3,8,4,22,0,3,0,0,0,3,0,11,7,26,0,0,3,0,0,3,0,9,0,26,0,0,0,0,0,0,0,0,6,7,0,3,0,5,0,0,0,0,16,26,13,31,22,14,20,31,6,56,65,253,134,598,90,26,120,99,22,9,37,1141,71,165,139,108,321,268,83,102,33,1282,97,136,151,108,306,345,94,155,37,1424,90,161,174,114,307,277,94,195,33,1443,60,195,218,118,262,240,91,255,31,1478,42,137,158,144,271,290,106,232,26,1405,59,151,205,158,332,347,124,324,47,1741,88,149,203,171,315,344,122,343,41,1780,83,177,217,179,314,325,108,334,32,1781,103,228,251,171,223,252,80,258,38,1610
LGA21450,0,6,4,0,3,6,0,0,3,26,5,5,6,0,4,5,0,12,3,42,0,7,3,5,0,4,0,10,3,32,0,3,3,4,3,5,0,0,6,26,5,3,0,4,0,5,0,3,3,28,3,7,0,0,4,0,0,8,0,20,3,0,3,0,0,0,0,5,5,17,0,3,3,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,4,9,27,39,34,18,32,38,8,43,51,286,245,1591,280,96,192,152,33,23,44,2657,170,715,398,233,656,605,140,176,82,3177,163,378,380,242,885,748,254,373,103,3525,233,406,457,273,832,758,212,420,73,3655,143,474,429,327,707,712,210,476,61,3542,114,360,375,277,600,690,181,456,48,3093,93,363,415,299,601,621,209,451,54,3111,105,332,404,254,554,617,162,463,45,2939,100,330,332,220,432,463,159,367,47,2453,103,301,284,184,328,300,97,235,26,1862
LGA21610,6,12,3,3,4,10,0,7,13,65,4,0,5,0,13,8,0,0,10,40,0,9,4,6,3,6,0,5,4,44,0,3,3,3,8,4,0,6,5,37,0,9,7,3,12,4,0,6,7,47,3,3,4,3,0,4,5,0,7,37,0,3,0,0,4,0,0,0,9,22,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,21,21,38,63,41,30,64,48,13,42,119,456,520,4048,728,170,340,239,59,50,73,6221,516,2427,1628,714,1649,1235,279,353,195,8995,462,981,1172,736,2382,1957,513,768,260,9237,551,1073,1329,808,2125,1961,556,992,198,9596,445,1306,1453,1007,2215,1984,503,1067,207,10177,270,1051,1252,862,1841,1790,480,944,149,8639,252,896,1187,788,1730,1572,487,1033,107,8047,289,820,1047,757,1699,1522,458,1000,104,7697,275,760,885,610,1300,1141,356,772,85,6179,220,695,697,478,884,775,217,512,68,4540
LGA21670,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,0,4,5,0,3,5,0,0,0,16,0,0,0,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,9,10,13,6,5,8,10,77,35,160,31,10,28,21,6,0,13,306,13,70,51,30,93,59,20,9,9,353,28,47,35,55,87,80,20,33,5,391,21,65,40,36,79,67,22,39,16,388,23,59,50,42,69,65,16,26,3,356,24,56,38,24,71,75,15,46,5,360,16,50,70,55,113,77,20,52,4,458,26,50,66,57,106,84,29,65,9,487,26,81,57,67,124,85,32,65,7,549,26,59,70,46,67,51,14,59,12,403
LGA21750,5,0,0,4,0,0,0,4,0,14,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,3,13,0,6,3,0,4,0,0,6,3,20,0,0,3,0,0,0,0,5,4,17,0,0,0,3,0,0,0,5,3,6,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,15,0,0,4,0,0,0,0,3,8,21,12,11,15,13,16,14,3,26,34,142,72,373,48,21,79,65,19,16,15,721,40,123,66,68,218,196,56,69,10,847,58,126,105,75,291,255,54,92,27,1086,58,157,108,61,224,221,64,119,18,1030,53,140,124,83,195,192,59,150,18,1012,44,118,98,85,140,188,61,146,18,903,38,119,123,91,171,212,58,183,10,1011,59,121,139,103,221,173,79,177,20,1100,59,131,145,91,212,170,74,171,13,1061,77,140,126,81,141,124,42,116,17,871
LGA21830,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,4,4,12,0,4,3,0,0,6,0,3,5,19,0,0,0,0,0,0,0,8,7,16,4,7,0,0,0,6,5,13,3,32,5,0,0,0,0,0,0,11,3,26,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,3,0,12,0,0,5,0,0,0,4,0,0,11,11,23,18,3,0,19,8,55,39,183,28,225,33,15,27,52,9,29,35,458,21,59,51,36,68,123,36,93,22,502,33,67,55,29,90,139,44,130,14,583,26,77,46,47,89,116,43,139,20,617,33,88,63,46,78,121,49,146,15,638,20,52,68,49,76,114,44,168,23,623,17,77,94,54,87,142,58,178,23,729,32,59,90,71,99,141,55,255,13,810,41,91,112,73,99,151,65,211,20,864,40,105,95,63,86,113,38,157,18,715
LGA21890,4,0,4,3,3,6,0,0,15,29,0,0,3,3,4,0,0,0,3,28,0,0,4,5,4,4,0,0,4,28,0,7,3,0,4,3,3,0,10,37,3,0,4,0,5,5,0,0,7,29,5,7,3,0,4,3,0,0,3,24,5,7,0,3,0,4,0,0,9,17,0,0,0,0,3,0,0,0,5,18,0,0,0,0,0,0,0,0,6,8,29,29,41,26,38,29,9,11,98,312,280,1511,209,57,98,85,25,3,27,2302,399,1707,954,387,772,632,112,119,131,5210,304,899,876,487,1648,1353,293,392,158,6408,394,772,852,550,1689,1465,411,568,140,6840,306,703,817,546,1502,1296,314,595,107,6192,175,625,730,527,1320,1226,333,603,68,5599,154,554,768,512,1248,1200,339,697,83,5556,189,551,687,498,1248,1150,351,713,77,5465,179,509,550,461,1047,933,279,548,64,4563,174,521,498,347,756,576,172,337,37,3421
LGA22110,5,6,4,4,3,6,0,0,0,25,0,5,0,0,0,5,0,8,0,20,0,4,0,0,3,6,0,0,5,21,5,4,3,0,9,4,0,5,4,27,0,0,3,0,0,0,3,0,11,31,6,7,5,0,6,8,0,3,5,40,3,8,4,6,9,5,0,10,4,39,0,4,6,0,4,0,0,3,4,15,3,7,3,0,0,6,0,0,7,29,21,54,29,21,33,47,15,40,64,319,109,537,106,51,113,100,15,20,40,1101,62,178,151,120,322,227,60,51,43,1221,76,159,134,122,374,295,81,136,33,1416,98,230,212,146,336,264,95,173,43,1583,77,219,219,155,277,276,87,204,39,1550,75,171,233,169,311,294,80,189,37,1548,73,197,236,193,337,352,90,227,33,1737,78,225,259,215,373,348,132,285,37,1960,156,266,273,239,359,340,102,266,39,2039,138,352,316,197,275,277,66,227,26,1871
LGA22170,0,3,5,5,0,3,6,5,10,33,5,4,3,0,4,7,0,3,6,30,3,4,0,0,5,3,0,0,5,22,6,6,4,4,0,4,0,3,10,34,3,0,0,0,7,9,0,5,6,34,6,5,4,3,0,7,0,0,4,33,0,0,0,0,0,3,0,0,3,14,0,6,0,0,3,0,0,0,0,12,3,3,3,0,0,0,0,0,11,18,40,41,19,21,26,48,7,22,71,299,341,2001,392,117,223,190,35,23,48,3368,311,1151,802,453,1002,790,177,173,104,4962,327,513,617,514,1387,1347,294,466,107,5566,407,679,690,519,1207,1242,312,548,121,5736,317,666,843,559,1197,1222,302,581,99,5789,179,587,731,609,1055,1140,306,635,96,5340,191,528,717,599,1141,1142,330,631,71,5352,205,532,669,621,1186,1156,320,671,70,5430,200,497,617,548,943,903,241,541,54,4534,234,525,560,451,665,629,135,300,36,3538
LGA22250,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,7,0,8,0,0,0,5,0,3,0,0,3,12,0,0,4,0,0,7,0,4,0,14,0,0,4,0,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,8,4,6,18,3,25,14,83,16,93,23,6,25,25,0,3,4,194,12,31,19,22,58,62,20,26,7,258,23,36,22,23,53,68,26,48,4,308,11,39,30,23,54,51,20,37,9,265,12,40,42,35,60,70,22,70,3,356,4,29,46,24,53,71,15,76,4,326,8,28,30,28,57,80,23,79,7,346,20,33,66,33,69,113,26,105,9,471,13,40,68,51,81,83,33,105,5,471,28,53,50,37,60,90,18,89,6,427
LGA22310,7,0,0,3,3,4,0,0,12,28,0,6,0,0,0,0,0,0,6,20,4,4,4,0,0,7,0,5,8,24,4,4,0,0,3,0,0,0,8,13,0,0,3,0,5,0,0,0,5,16,3,0,0,3,0,0,3,0,3,14,0,3,4,0,0,0,0,0,0,8,0,7,4,0,0,0,0,0,3,7,6,3,0,0,0,0,0,0,0,7,21,34,17,16,24,22,4,12,51,197,202,1475,182,47,68,55,9,9,16,2063,245,1482,798,265,520,446,84,114,59,4020,173,608,685,346,1092,1010,200,244,115,4477,241,498,554,399,1009,1021,270,422,88,4495,201,568,653,429,920,985,233,477,80,4548,126,493,591,390,722,920,221,502,54,4023,130,527,579,431,685,1012,258,626,45,4298,135,561,542,438,746,840,241,608,47,4152,130,518,481,384,634,666,186,474,31,3507,121,487,466,300,450,480,127,290,32,2743
LGA22410,0,5,0,0,0,4,0,0,5,12,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,0,3,5,17,0,3,0,0,0,5,0,0,0,12,4,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,4,0,0,6,24,14,10,9,4,10,23,9,33,21,135,34,279,43,19,58,53,7,7,13,517,20,73,55,45,138,135,19,48,15,557,39,82,55,61,133,170,25,83,18,668,46,89,82,47,116,127,30,86,19,631,24,111,89,71,140,142,45,92,18,726,16,77,97,64,127,144,42,116,15,706,35,88,111,86,178,211,47,135,14,904,56,92,112,78,160,201,61,139,14,904,68,120,129,86,143,199,59,165,11,983,60,136,98,71,100,149,49,139,10,804
LGA22490,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,5,3,7,10,3,11,12,54,16,150,22,15,32,29,0,6,9,283,18,84,50,30,74,76,23,24,3,389,18,52,43,30,73,98,37,41,5,395,14,66,46,30,80,114,37,56,12,461,27,68,70,45,62,108,25,65,9,477,20,63,60,54,79,91,29,93,7,488,20,57,43,41,63,102,31,98,5,464,15,81,53,38,100,93,29,96,12,510,19,64,52,23,53,67,19,75,6,375,8,59,33,25,26,63,8,48,4,277
LGA22620,4,4,3,0,4,5,0,7,11,35,4,8,9,0,5,0,0,0,7,27,0,0,0,0,3,4,0,7,3,22,0,0,5,9,11,5,0,3,4,36,9,5,3,4,0,7,0,14,6,55,8,3,8,3,4,5,0,3,8,38,3,3,0,0,0,6,0,5,8,19,5,6,4,0,3,6,0,0,3,20,0,8,0,0,4,0,0,4,10,30,35,39,38,24,34,43,10,51,81,362,292,2071,357,124,285,218,47,42,73,3516,274,986,704,466,1105,870,177,291,92,4966,300,577,549,476,1530,1208,332,465,93,5532,427,623,645,497,1291,1123,325,595,84,5609,280,663,784,536,1171,1071,318,635,88,5537,196,534,681,554,1134,1063,310,680,62,5210,162,450,626,518,1326,1086,334,766,69,5333,188,452,617,540,1155,1032,349,738,56,5135,279,558,647,495,1029,869,302,640,55,4876,279,572,626,436,708,573,176,402,51,3829
LGA22670,5,8,5,6,6,14,3,3,24,81,6,9,3,0,17,12,3,11,7,72,0,12,6,10,17,15,4,5,21,88,8,3,7,0,4,4,0,11,21,61,3,3,5,4,11,4,0,5,10,50,3,6,4,5,12,5,0,10,8,57,0,3,3,0,4,4,0,6,4,29,4,4,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,9,19,40,59,53,40,112,100,21,68,170,668,220,1858,377,163,367,274,59,40,76,3428,321,1774,1475,723,2165,1734,370,365,269,9187,391,938,1399,837,3686,3234,785,974,342,12578,578,908,1267,862,3710,3271,908,1333,318,13164,437,980,1235,905,3834,3272,861,1488,253,13265,316,860,1087,806,3367,3220,877,1533,195,12269,280,829,1031,858,3492,3269,1045,1785,187,12770,336,744,975,835,3496,3078,1000,1787,177,12427,346,708,933,709,3214,2688,913,1499,148,11164,304,731,759,635,2253,1765,522,905,84,7951
LGA22750,4,12,11,8,14,9,8,8,14,77,9,10,8,5,9,6,0,21,17,83,3,6,14,7,10,7,4,6,12,65,3,9,3,8,12,18,0,13,10,82,11,4,3,7,11,16,4,8,14,76,3,7,11,0,6,8,0,11,15,70,0,13,4,0,5,5,4,4,10,44,4,3,3,3,0,4,0,0,11,31,3,6,0,0,0,4,0,3,24,49,62,88,64,48,81,107,27,102,187,767,725,4639,636,221,454,389,80,59,100,7301,763,3001,1803,973,2228,1866,358,415,227,11638,692,1535,1503,1130,3416,3041,730,1007,271,13319,913,1433,1535,1049,3002,3039,770,1292,195,13236,681,1547,1748,1170,2799,2829,788,1410,184,13152,453,1332,1617,1164,2342,2711,728,1468,146,11966,378,1186,1613,1240,2468,2758,875,1623,139,12292,431,1156,1429,1076,2427,2504,728,1493,154,11394,541,1220,1473,1087,2166,1978,610,1235,110,10420,474,1317,1241,832,1406,1284,391,749,101,7781
LGA22830,0,0,0,0,3,0,3,5,10,25,3,0,3,0,0,7,0,3,8,25,4,7,3,4,5,6,0,6,4,33,3,9,3,0,4,7,3,10,3,34,3,8,4,0,0,7,0,13,7,35,7,7,4,0,4,8,0,9,6,46,0,7,4,0,6,8,0,0,0,19,0,0,3,0,0,0,0,0,3,8,5,0,3,0,0,4,0,0,5,28,35,37,26,17,27,51,11,55,70,332,153,1009,151,82,194,174,39,34,57,1898,128,393,294,244,670,582,153,170,73,2699,167,290,299,233,872,811,219,305,82,3280,188,362,387,276,754,725,222,328,74,3308,127,337,384,285,630,691,198,383,67,3095,115,272,331,310,640,652,208,396,56,2985,90,247,337,290,650,747,244,471,60,3130,129,264,350,316,694,742,241,525,51,3312,164,341,348,304,662,640,173,481,57,3162,161,293,303,247,469,459,144,331,39,2445
LGA22910,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,5,0,0,0,10,0,0,0,6,0,0,0,0,0,8,0,0,5,0,0,0,0,0,3,12,0,0,0,0,0,0,4,6,0,13,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,4,5,13,11,10,7,15,5,15,10,96,44,150,24,9,20,5,3,7,5,259,29,86,50,20,60,57,16,15,9,334,37,58,64,39,82,64,15,40,7,406,27,77,63,43,85,80,17,34,9,428,30,79,65,46,55,92,24,71,6,469,29,79,87,54,77,91,20,68,9,517,30,84,100,57,88,88,34,77,7,575,37,98,99,63,104,102,46,78,11,647,34,118,92,93,72,83,28,86,6,616,37,127,92,69,46,78,18,66,6,541
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,12,5,29,0,45,8,7,12,15,3,3,0,96,4,10,9,11,24,37,11,18,3,133,10,16,15,26,68,70,13,30,9,247,10,20,20,17,45,45,13,37,0,212,5,25,20,15,29,43,0,21,3,169,3,17,19,14,39,39,12,41,3,179,7,16,21,17,35,35,12,38,4,188,16,21,26,28,46,45,3,50,0,240,4,19,36,31,47,61,19,60,4,287,14,34,28,28,44,51,7,44,10,250
LGA23110,5,3,3,0,6,9,0,4,4,27,0,0,0,3,0,7,0,0,5,20,0,0,0,0,5,8,4,0,6,20,0,0,6,0,4,5,3,0,0,23,0,4,0,0,3,3,0,0,3,20,3,0,0,0,0,0,0,0,3,14,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,4,17,28,16,10,32,29,9,9,47,194,192,1039,157,52,94,77,20,19,30,1677,189,771,543,244,509,498,101,137,85,3073,124,402,522,262,924,995,236,437,98,4006,223,371,442,269,1033,1004,304,600,118,4364,192,406,500,314,1021,1058,310,663,84,4547,116,355,417,299,892,1004,291,584,60,4004,112,307,385,294,844,1030,278,665,54,3972,124,307,368,270,889,914,303,599,62,3838,112,288,362,278,743,733,268,550,37,3363,123,309,299,187,494,489,147,309,20,2370
LGA23190,0,0,0,0,4,0,0,0,0,7,0,3,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,4,0,6,0,20,0,0,3,0,9,0,0,0,0,16,0,0,4,3,0,3,0,8,0,19,0,0,0,0,0,6,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,12,10,9,10,24,3,20,30,120,44,351,56,19,78,54,4,5,11,617,42,108,75,78,248,184,43,43,13,834,62,86,81,81,252,237,95,87,15,999,53,121,111,71,194,256,53,112,20,980,50,116,98,101,190,199,52,104,9,920,23,95,115,87,199,182,41,101,12,853,27,78,123,121,195,214,67,126,15,965,40,95,113,92,226,221,59,137,17,997,47,100,132,124,207,202,63,160,17,1051,54,113,118,103,163,141,46,113,9,861
LGA23270,11,15,9,9,21,17,3,3,31,114,13,11,6,3,12,11,5,3,16,76,9,8,4,8,8,11,0,6,11,63,5,5,7,3,12,10,0,0,16,64,3,5,4,4,10,5,5,3,6,47,6,7,3,8,10,4,0,5,15,51,7,8,5,3,0,5,0,3,0,34,0,0,0,4,0,0,0,0,3,11,0,0,0,0,0,0,0,0,4,7,68,94,59,52,90,87,24,44,173,688,399,2627,557,170,351,290,52,54,102,4614,497,2095,1628,706,1896,1589,372,406,274,9474,526,1090,1496,786,3263,2895,742,1006,384,12188,749,1128,1391,835,3404,3082,875,1405,357,13220,563,1200,1450,915,3359,3218,889,1515,323,13437,419,1009,1220,825,2844,2727,826,1460,226,11562,372,956,1073,844,2831,2669,785,1463,206,11197,449,931,1038,770,2861,2576,797,1471,148,11037,422,824,902,695,2523,2051,663,1194,133,9415,336,675,681,516,1562,1318,382,685,96,6260
LGA23350,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,7,0,6,0,0,0,4,0,3,0,4,0,5,0,0,0,4,0,0,0,11,0,4,0,0,0,0,0,4,0,9,3,11,6,5,7,12,3,9,9,69,67,215,22,9,23,22,6,12,12,390,16,47,43,25,60,46,13,12,6,280,24,36,42,27,76,88,29,50,6,384,34,47,42,38,67,79,14,47,9,361,29,55,57,33,68,78,30,60,14,423,22,58,50,44,92,107,33,81,4,505,41,57,76,48,96,124,40,120,11,610,30,65,79,55,92,170,43,104,6,646,46,93,79,56,85,139,32,101,9,628,46,104,77,57,63,101,32,92,3,576
LGA23430,3,3,5,3,4,7,3,0,17,49,0,10,4,0,7,5,3,0,6,45,4,0,4,4,4,9,0,3,15,44,3,3,5,5,3,0,4,3,14,48,6,6,9,0,11,9,3,0,9,53,7,7,3,0,8,8,0,7,9,49,0,4,0,0,5,6,0,6,6,27,8,6,4,0,0,0,0,0,4,21,3,6,0,0,0,0,0,0,9,20,55,57,42,28,56,57,19,36,133,480,472,2853,416,102,230,195,41,24,54,4388,524,2167,1476,556,1467,1173,185,230,141,7914,375,862,1036,648,2437,2161,524,624,226,8898,448,739,873,587,2341,2339,530,851,181,8900,342,799,937,676,2361,2175,541,934,140,8912,224,803,898,616,2067,2100,607,1027,140,8484,200,768,959,742,2257,2239,616,1288,122,9191,284,781,929,781,2219,2127,637,1325,98,9185,281,742,870,635,1936,1710,530,1079,79,7867,276,705,734,545,1365,1116,285,626,62,5715
