POW_LGA_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
LGA21270,0,5,13,6,9,0,0,37,0,0,0,0,5,5,3,0,15,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,11,14,22,34,46,42,19,0,184,9,0,0,0,0,0,0,0,6,26,0,0,0,0,5,0,0,32,11,0,0,0,0,0,0,0,17,3,7,0,0,5,9,0,0,23,4,0,0,4,3,7,0,0,18,6,7,4,6,12,7,8,0,43,5,7,7,7,14,12,11,0,57,3,5,13,12,7,13,0,0,57,3,8,10,12,10,15,0,0,55,0,0,4,4,4,4,0,0,24,0,0,4,0,0,0,0,0,11,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,23,23,51,44,13,0,153,0,4,21,19,38,35,10,3,130,0,4,13,18,18,28,5,0,75,0,0,11,10,14,20,3,0,54,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,5,10,3,0,19,16,56,153,145,279,338,84,3,1083,9,0,0,0,4,3,0,0,17,137,0,4,7,0,3,5,0,160,47,4,19,8,10,28,4,0,129,19,17,10,11,13,20,14,0,106,6,18,17,25,24,38,16,11,147,19,30,36,43,60,52,32,3,273,12,36,48,58,56,66,10,0,287,12,50,72,71,82,72,19,6,379,0,34,79,56,67,73,14,0,330,3,13,42,32,46,27,0,0,163,0,5,19,25,32,26,3,0,115,0,4,7,22,21,16,0,0,71,0,0,13,11,21,20,4,0,71,0,0,0,5,5,0,0,0,10,0,0,0
LGA21450,10,71,78,58,47,24,0,286,0,7,41,53,63,53,11,0,226,0,3,27,27,25,20,7,0,110,0,0,28,31,21,18,8,0,100,0,0,4,3,15,5,0,0,25,0,0,7,3,9,5,0,0,21,0,0,3,5,11,10,0,0,22,47,148,472,493,417,422,128,6,2137,15,5,0,5,3,3,0,0,35,394,17,8,5,8,7,3,0,437,147,47,18,16,21,30,8,5,287,45,37,17,30,25,27,9,0,198,43,43,60,30,31,29,19,0,256,37,58,69,51,59,53,21,4,356,35,77,137,79,101,83,26,0,530,19,116,182,122,130,101,15,4,692,6,68,202,114,118,74,20,0,609,0,25,91,55,44,33,7,0,255,6,12,53,34,34,24,3,0,156,0,3,42,25,15,6,3,0,94,0,3,22,23,5,10,5,0,68,0,0,0,8,4,0,0,0,13,0,0,4
LGA21610,19,162,159,132,105,29,0,613,0,14,96,94,92,82,16,0,393,0,0,56,48,36,36,10,0,191,0,0,40,59,41,26,9,0,170,0,0,0,13,11,3,0,0,32,0,0,6,8,10,7,0,0,33,0,5,8,6,13,19,0,0,56,153,410,1275,1294,1011,892,237,10,5293,41,9,9,12,9,8,3,0,91,645,41,16,18,18,25,9,0,775,406,108,42,48,47,52,26,3,735,139,126,83,63,63,67,19,11,566,69,153,112,90,100,96,31,11,663,58,186,185,132,131,153,61,12,922,35,190,271,224,231,179,36,0,1169,38,190,389,305,287,222,42,4,1479,13,100,275,230,231,148,30,0,1030,5,34,143,132,96,81,9,0,498,0,12,103,82,61,42,8,0,310,4,20,74,52,34,20,0,0,199,0,6,70,66,37,26,5,0,215,0,0,12,18,6,6,0,0,52,0,0,4
LGA21670,0,7,5,11,16,4,0,51,0,0,3,4,7,3,0,0,20,0,0,0,0,0,3,0,0,7,0,0,3,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,11,42,45,64,84,27,4,288,4,0,0,0,0,3,0,0,6,41,0,0,0,6,0,0,0,49,12,5,6,3,0,10,4,0,38,4,6,6,7,10,6,4,0,41,3,7,8,6,0,11,6,3,52,0,6,14,11,10,22,5,3,81,0,9,22,22,25,30,6,0,113,0,17,25,19,30,34,9,0,135,0,4,16,19,15,24,0,0,75,0,7,4,8,11,6,3,0,25,0,0,7,3,4,0,0,0,15,0,0,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
LGA21750,9,26,23,41,28,8,4,138,0,5,12,16,31,21,4,0,89,0,0,3,15,14,9,0,0,45,0,0,5,4,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,6,59,115,150,196,190,50,5,766,3,0,7,5,0,4,0,0,22,82,0,4,3,0,0,0,0,96,43,5,10,3,10,14,6,0,97,13,18,12,13,16,13,6,3,101,7,11,20,15,17,20,9,3,98,12,13,38,28,30,36,14,0,172,13,34,46,32,37,36,20,3,221,33,74,138,71,72,61,10,0,460,14,54,166,79,77,58,4,0,458,0,16,38,39,24,17,3,0,139,0,5,22,20,10,6,0,0,67,0,0,12,5,5,0,0,0,27,0,0,6,3,5,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0
LGA21830,7,15,18,18,28,3,0,92,0,3,14,13,20,17,8,0,73,0,9,4,15,13,10,4,0,45,0,0,5,9,12,10,0,0,37,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,13,25,49,85,100,126,167,47,6,593,5,0,6,0,0,0,6,0,15,49,5,0,3,3,4,0,0,68,24,4,5,0,7,12,4,0,52,4,3,11,3,9,11,5,0,49,0,5,15,12,14,15,13,0,81,10,14,20,16,26,22,12,6,122,9,24,19,20,17,32,5,6,133,7,16,51,27,22,21,5,0,149,4,28,47,21,26,20,5,0,157,0,16,19,23,14,17,6,0,93,0,3,7,12,13,3,0,0,44,0,4,3,9,13,16,5,0,51,0,0,3,8,17,10,3,0,40,0,0,0,0,3,0,0,0,8,0,0,0
LGA21890,9,69,58,91,70,18,0,319,0,3,31,46,49,43,13,0,188,0,0,16,26,38,38,13,0,127,0,0,26,22,34,40,14,0,146,0,0,4,3,7,0,4,0,15,0,0,0,4,3,0,0,0,9,0,0,7,0,3,5,4,0,14,63,262,713,567,698,584,168,11,3060,22,5,6,0,5,0,5,0,42,238,26,12,9,6,0,6,0,296,105,47,28,12,23,26,20,4,258,32,78,43,23,24,34,9,0,246,26,81,91,41,47,46,7,7,350,27,100,132,59,78,71,18,5,486,11,76,142,104,94,107,22,0,564,6,65,146,106,142,125,32,0,633,5,36,126,86,102,83,17,0,462,0,9,42,49,52,31,4,0,195,0,6,41,38,34,28,3,5,152,0,5,12,15,31,17,5,0,78,0,7,10,26,23,8,4,0,75,0,0,4,0,0,0,0,0,3,0,0,9
LGA22110,5,23,25,33,42,8,0,145,0,0,22,13,26,35,3,0,97,0,0,13,10,4,19,3,0,57,0,0,3,6,6,9,4,0,36,0,0,0,0,0,3,0,0,4,0,0,5,0,5,3,0,0,9,0,0,4,0,0,5,0,0,12,29,59,172,157,235,295,107,6,1053,8,0,0,6,0,5,3,0,19,118,3,6,5,3,9,3,5,156,43,3,5,12,15,24,8,0,124,19,18,18,17,20,58,11,0,160,11,28,22,29,25,40,13,3,175,17,33,45,42,62,78,24,5,308,20,39,65,71,61,80,19,0,361,12,49,93,82,79,79,20,0,412,10,27,73,63,77,54,24,0,326,0,17,26,25,41,32,11,0,147,0,0,13,17,19,13,6,0,71,0,0,14,6,4,7,0,0,28,0,0,4,7,5,3,0,0,24,0,0,3,4,0,0,0,0,5,0,0,0
LGA22170,10,68,61,75,65,16,0,300,0,7,36,50,53,50,8,0,209,0,4,14,23,25,30,6,0,110,0,5,31,19,48,35,0,0,141,0,0,3,6,6,5,0,0,18,0,0,0,4,6,4,0,0,9,0,4,8,0,6,9,4,0,28,78,232,513,486,594,531,156,12,2599,11,3,4,6,5,3,0,3,38,381,26,4,7,17,8,0,3,454,191,49,24,22,18,34,19,4,352,78,66,42,38,37,45,20,3,326,39,70,49,52,55,48,21,9,348,27,73,91,79,88,132,45,6,540,25,106,153,130,133,107,36,10,695,14,107,195,164,168,155,28,3,834,12,60,136,134,131,92,12,0,578,0,21,75,69,65,55,5,0,298,0,8,70,42,35,26,3,0,195,0,8,28,34,32,14,3,0,125,0,9,34,28,28,17,0,0,111,0,0,4,4,5,3,0,0,15,0,0,4
LGA22250,0,10,4,10,9,0,0,34,0,0,5,6,5,10,0,0,17,0,0,0,3,4,3,0,0,8,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,13,38,37,57,67,32,4,252,3,0,3,0,0,0,0,0,7,16,0,4,0,7,0,0,0,28,9,4,4,6,3,5,3,0,34,3,0,4,3,4,16,3,0,37,3,7,4,5,3,16,0,4,45,3,7,7,8,14,11,8,0,51,3,12,12,16,11,16,4,0,83,4,5,13,14,29,20,5,0,85,0,10,21,20,12,24,3,0,94,0,6,6,10,8,5,0,0,26,0,0,3,0,6,4,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,4,17,7,17,16,4,0,63,0,4,10,12,16,9,9,0,59,0,0,9,6,11,18,3,0,48,0,0,10,15,8,13,7,0,45,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,35,96,189,124,124,151,58,12,783,11,5,0,3,0,3,0,0,22,215,24,10,3,6,8,9,0,281,117,35,24,13,14,17,14,0,227,30,44,19,13,7,33,12,5,170,16,63,48,19,19,22,15,3,204,14,63,72,40,40,44,17,9,291,5,45,87,43,55,43,22,3,304,9,37,121,57,70,57,21,0,369,3,23,75,37,51,38,14,0,248,4,10,30,32,33,20,0,0,133,0,3,24,16,20,26,5,0,93,0,0,17,6,19,13,6,0,56,0,3,24,21,23,15,0,0,80,0,3,6,0,8,7,5,0,20,0,0,4
LGA22410,6,23,22,29,42,6,0,135,0,9,20,23,17,33,6,0,103,0,3,20,15,17,20,4,0,79,0,4,11,34,66,77,3,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,7,0,0,13,11,56,135,155,198,284,45,12,891,0,0,0,3,4,0,0,0,4,57,0,4,0,3,6,0,0,79,27,8,0,3,5,8,3,0,54,3,7,10,16,15,18,7,0,72,9,10,3,14,16,17,8,0,74,13,22,20,20,24,38,10,0,138,6,17,25,17,32,29,14,0,142,8,23,26,31,42,35,6,0,160,3,12,26,28,37,40,7,0,158,0,3,16,12,16,15,0,0,68,0,0,8,11,6,5,0,0,37,0,3,9,4,0,6,0,0,28,0,0,0,6,18,5,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0
LGA22490,0,9,9,12,10,0,0,41,0,0,6,12,10,5,0,0,29,0,0,4,3,8,5,3,0,25,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,18,50,48,71,62,23,0,281,0,0,0,5,3,0,0,0,9,43,3,0,3,0,4,0,0,46,14,5,4,4,9,4,4,0,44,0,9,0,7,11,7,3,0,38,4,0,4,4,6,13,4,0,42,10,16,6,4,9,10,0,0,64,7,13,14,19,16,19,6,4,92,8,17,27,24,26,7,4,0,114,0,11,17,21,34,10,5,0,99,0,4,3,10,10,10,0,0,35,0,0,9,9,5,0,3,0,31,0,5,0,5,4,0,0,0,17,0,0,3,4,4,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
LGA22620,21,62,82,91,88,27,3,377,3,22,66,68,85,74,13,0,325,0,13,51,45,49,38,3,0,192,0,9,85,72,70,38,9,0,285,0,0,3,15,11,13,0,0,44,0,0,3,16,6,4,0,0,34,0,0,5,10,8,9,0,0,34,111,247,601,617,702,718,192,14,3204,18,3,3,0,5,0,0,0,37,443,14,8,3,9,19,11,5,523,207,44,23,15,20,45,14,3,379,69,43,40,23,42,47,24,3,297,40,64,55,46,49,76,24,7,364,36,100,114,107,88,143,41,3,629,24,135,173,145,165,152,49,3,841,21,148,273,215,163,164,28,0,1014,18,71,176,160,153,129,25,3,732,0,30,86,59,69,57,17,0,316,5,13,47,44,34,31,3,0,178,0,13,28,33,26,3,0,0,98,0,3,24,24,21,16,6,0,99,0,0,3,5,4,3,0,0,15,0,0,3
LGA22670,88,494,541,539,499,84,0,2247,0,33,253,293,325,261,44,4,1221,0,13,125,186,199,138,26,0,690,0,14,107,151,174,161,29,0,632,0,0,13,21,16,18,8,0,72,0,7,11,16,12,13,3,0,65,7,17,20,24,25,44,9,0,142,333,1522,3896,3797,3855,3388,706,25,17525,25,16,20,14,15,11,0,0,111,293,31,13,14,18,8,5,0,398,173,75,45,37,41,39,21,9,437,71,122,90,70,68,77,30,8,522,49,140,144,71,103,85,43,7,633,45,203,263,134,162,171,45,4,1034,65,242,457,422,396,341,75,5,2023,67,327,768,623,677,563,111,5,3135,26,194,592,480,507,393,78,4,2263,4,43,230,237,241,162,37,4,960,4,28,153,148,131,111,25,0,602,3,15,64,107,75,50,10,0,324,0,7,83,81,84,55,3,0,313,0,0,18,13,13,6,3,0,47,0,0,8
LGA22750,43,163,157,190,213,50,0,826,3,14,97,120,152,135,26,0,539,0,6,64,61,94,79,16,0,322,0,7,70,87,88,88,15,0,352,0,4,11,21,16,19,0,0,68,0,0,7,16,14,19,0,0,58,4,3,12,11,12,27,7,6,72,223,702,1424,1202,1437,1541,417,27,6976,28,10,9,8,5,11,0,0,68,889,42,17,18,18,27,19,0,1023,386,134,55,50,46,65,35,3,781,116,158,88,60,85,113,47,4,674,73,193,172,110,120,161,51,10,888,65,215,210,171,196,220,94,13,1199,44,198,282,241,242,235,88,16,1347,43,236,457,310,347,290,69,7,1757,10,117,384,290,300,268,50,3,1419,4,49,187,144,137,123,27,0,670,0,23,91,91,89,68,9,0,367,0,9,61,67,63,40,7,0,249,0,11,72,99,71,34,10,0,290,0,0,9,12,14,3,4,0,42,0,5,9
LGA22830,10,54,61,79,77,16,0,303,0,3,24,32,54,59,6,0,175,0,3,14,28,35,26,0,0,104,0,0,13,16,32,19,6,0,81,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,3,0,20,0,0,0,4,6,3,0,0,19,35,127,364,370,505,526,151,18,2097,21,3,0,4,5,0,0,0,43,184,6,9,5,9,12,4,0,240,87,25,20,17,21,22,15,0,207,26,31,35,16,33,47,14,3,209,27,31,45,32,32,50,21,3,237,32,53,71,69,62,80,28,3,400,24,67,160,118,126,100,36,3,639,18,101,223,166,173,123,29,8,831,9,45,154,117,127,95,23,0,577,3,17,57,65,69,64,13,0,289,0,17,33,42,46,35,3,0,176,0,0,21,22,41,17,8,0,114,0,5,9,30,41,17,5,0,102,0,0,5,0,6,0,0,0,9,0,0,0
LGA22910,0,0,4,8,4,0,0,22,0,0,4,3,4,0,0,0,15,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,27,30,44,37,19,0,163,9,0,0,4,0,0,0,0,8,34,6,3,5,0,5,0,0,49,17,10,5,5,6,10,5,0,49,7,0,6,9,6,24,0,0,55,3,8,9,11,15,7,4,0,58,0,9,15,13,16,21,11,3,96,6,11,18,16,22,18,13,0,94,0,6,14,18,17,23,8,0,82,0,0,13,12,12,17,4,0,67,0,0,5,4,6,10,0,0,18,0,0,0,7,4,5,0,0,18,0,0,0,5,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,4,0,4,4,3,0,0,17,0,0,6,6,6,4,0,0,21,0,0,0,5,0,0,0,0,10,0,0,0,8,0,11,4,0,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,5,11,27,35,38,56,13,0,198,0,0,3,0,0,0,0,0,9,14,0,0,0,0,3,0,0,18,5,0,0,0,0,3,0,0,7,0,3,0,4,0,0,0,0,14,0,0,5,4,3,0,0,0,15,3,8,4,3,8,8,3,0,34,5,3,15,8,12,16,3,0,65,3,12,46,15,15,16,0,0,110,3,4,6,6,14,12,3,0,50,0,3,3,4,0,5,3,0,23,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,19,146,153,176,117,24,0,642,0,10,85,117,112,93,15,0,431,0,0,47,78,86,76,15,0,300,0,4,66,118,121,98,21,0,433,0,0,15,20,20,6,0,0,74,0,0,3,7,14,8,4,0,39,0,7,9,7,10,8,5,0,36,95,372,1066,1108,1190,896,193,11,4940,6,0,5,4,7,3,4,0,25,204,7,4,0,8,13,5,0,240,85,41,12,8,14,20,5,0,195,29,31,27,20,16,31,4,6,163,23,54,50,25,40,31,16,4,239,14,53,90,45,55,60,7,0,329,18,64,121,75,70,70,19,3,432,11,73,154,139,104,116,20,0,614,8,43,143,108,113,81,12,0,509,0,25,69,61,54,59,15,0,286,0,5,61,56,51,40,6,0,213,0,10,45,62,36,25,3,0,181,0,7,56,90,57,30,0,0,236,0,0,21,11,10,7,0,0,54,0,0,12
LGA23190,3,9,21,22,18,6,0,76,0,0,15,9,13,30,0,0,69,0,0,11,3,5,7,0,0,35,0,0,3,11,4,7,5,0,33,0,0,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,6,18,45,82,100,126,162,43,5,588,0,0,0,0,0,0,0,0,6,58,3,0,4,8,4,0,0,75,44,11,8,8,3,9,5,4,86,13,8,8,3,8,10,5,0,61,4,8,6,12,15,16,4,0,75,6,14,24,17,18,25,6,0,118,5,27,30,15,24,26,10,0,137,0,16,42,24,19,39,13,0,163,4,16,33,27,28,26,0,0,138,0,0,25,7,19,13,0,0,74,0,0,8,6,5,4,0,0,24,0,0,4,0,3,4,0,0,16,0,0,3,4,3,0,4,0,15,0,0,0,0,0,3,0,0,9,0,0,0
LGA23270,82,406,484,422,355,59,0,1808,0,29,261,304,284,209,39,0,1134,0,17,114,160,162,120,21,0,593,0,11,109,145,167,135,19,0,586,0,0,18,23,19,21,5,0,90,3,4,16,35,24,13,3,0,97,0,13,20,21,21,21,10,0,107,237,1186,3225,3224,2967,2506,518,29,13888,42,11,27,9,14,6,4,0,110,447,44,12,14,13,17,13,0,570,262,104,37,44,46,47,11,5,561,108,110,85,70,70,74,16,5,535,68,155,150,78,86,83,40,3,670,55,187,233,160,149,162,44,4,994,68,247,384,311,339,299,61,10,1713,43,261,633,494,545,425,70,5,2476,22,150,526,408,395,259,55,3,1818,5,55,229,200,211,151,40,4,885,3,32,150,167,141,101,16,0,611,6,12,105,114,84,43,11,0,381,0,14,114,121,103,41,10,0,402,0,4,15,20,17,5,0,0,55,0,4,18
LGA23350,5,6,12,15,13,3,0,53,0,0,3,13,21,14,0,0,51,0,0,3,10,11,3,0,0,26,0,0,3,6,10,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,17,63,54,97,77,35,4,352,5,0,0,0,3,0,0,0,14,50,4,0,0,6,0,0,0,65,14,4,10,0,6,6,0,4,38,3,0,7,5,5,12,9,3,39,4,6,0,7,5,8,3,4,45,5,4,4,13,11,20,8,0,73,4,14,7,14,16,20,6,6,86,0,10,18,4,22,35,9,0,102,0,5,28,31,35,24,7,0,128,3,8,15,11,21,24,6,0,89,0,3,15,20,21,22,0,0,83,0,0,6,9,20,16,0,0,49,0,0,6,5,5,3,0,0,27,0,0,0,0,0,0,0,0,5,0,0,0
LGA23430,14,182,215,230,221,58,0,932,0,6,87,134,142,115,23,0,515,0,3,33,52,54,43,10,0,193,0,0,28,43,54,36,6,0,170,0,0,5,5,10,9,0,0,28,0,0,8,7,5,4,0,3,31,3,0,7,6,10,15,6,0,50,154,607,1559,1381,1678,1543,367,28,7323,19,6,10,14,10,0,0,0,55,505,38,12,8,12,11,12,0,606,178,83,39,21,27,38,24,8,414,74,118,70,41,52,62,29,11,451,39,101,115,60,81,71,19,6,502,33,162,149,120,143,141,51,13,808,34,169,250,217,247,226,67,7,1218,28,209,426,370,383,320,75,9,1818,8,88,344,288,310,240,41,4,1319,4,24,155,140,149,135,31,3,645,0,13,73,83,78,61,13,0,332,0,9,48,36,63,47,6,0,215,0,3,59,59,70,42,11,0,247,0,0,4,12,9,6,0,0,37,0,0,6
LGA23670,20,107,172,205,176,26,0,705,0,10,88,101,119,108,25,0,448,0,9,41,61,70,57,8,0,243,0,0,35,37,54,44,5,0,172,0,0,0,5,6,3,0,0,18,0,0,3,9,6,0,0,0,21,3,6,10,8,11,21,8,0,53,168,491,1079,1141,1360,1269,294,11,5807,17,0,8,6,0,3,0,0,40,409,40,8,10,10,16,9,0,511,206,79,24,16,38,48,23,3,443,78,90,70,32,51,53,24,8,396,50,94,66,54,50,51,50,12,422,34,104,105,94,117,120,51,4,631,28,142,219,171,188,196,57,4,1007,29,153,292,253,275,262,67,0,1331,10,84,233,202,219,203,41,6,999,0,23,93,114,120,107,26,0,483,3,12,67,70,63,65,10,0,285,0,11,39,39,28,33,0,0,149,0,4,41,40,38,15,4,0,141,0,0,4,10,13,8,0,0,28,0,4,5
