POW_LGA_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
LGA21270,22,6,20,6,3,3,16,13,3,83,19,0,10,0,8,0,9,0,0,53,8,0,5,0,0,5,0,4,0,25,19,0,15,3,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,221,30,147,63,44,33,70,87,9,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,93,15,168,47,54,19,56,52,4,507,94,13,129,24,30,17,55,33,12,393,57,14,74,13,12,13,28,24,4,228,72,14,103,5,11,8,13,21,0,242,13,0,25,0,0,0,0,6,0,43,26,0,18,3,0,4,0,0,0,57,10,0,21,4,0,5,6,10,9,60,748,129,1346,591,363,257,342,528,58,4368,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,4,0,5,0,8,0,0,0,0,6,3,0,4,0,17,5,0,0,7,7,6,0,7,5,27,3,0,5,3,8,7,0,4,0,33,3,0,8,0,6,9,0,10,0,40,4,0,4,0,7,0,3,10,0,28,5,4,0,0,6,0,0,5,0,24,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,6
LGA21450,105,32,401,57,83,32,82,71,12,882,92,26,375,28,51,20,74,72,15,746,93,16,225,23,34,11,37,34,10,476,109,29,299,12,33,12,48,34,3,587,36,6,46,0,8,0,10,7,0,113,44,6,52,0,3,7,10,5,0,140,10,0,48,3,4,0,7,8,12,104,838,247,2886,938,721,448,561,789,131,7558,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,9,0,3,0,21,0,5,0,7,0,9,0,5,0,27,0,3,5,3,5,3,3,4,0,27,4,0,4,5,5,10,0,6,0,31,6,0,9,12,11,11,0,13,0,58,0,4,8,19,8,8,3,8,0,62,5,6,3,5,18,14,7,7,0,68,5,3,6,3,14,5,5,3,0,48,4,0,0,0,4,3,3,3,0,27,3,0,0,0,0,0,0,0,0,11,3,0,4,0,3,0,3,5,0,24
LGA21610,207,75,770,151,226,98,140,142,31,1854,182,47,621,86,122,54,88,93,30,1324,159,48,414,40,53,30,60,65,12,867,256,49,518,52,64,56,58,67,12,1138,62,7,71,0,7,16,11,18,0,193,76,6,58,6,3,23,3,8,3,182,14,5,67,20,14,6,13,21,39,197,1536,534,5197,2520,1570,1205,1039,1430,286,15321,0,0,0,0,0,3,0,0,0,9,0,0,3,9,3,16,0,7,0,38,0,0,3,7,0,21,3,16,0,58,0,6,0,7,4,10,4,13,0,50,5,4,12,18,9,22,6,6,3,81,0,0,12,21,21,27,4,18,5,114,5,3,14,23,25,34,8,22,4,141,13,5,19,22,34,24,26,16,0,156,17,4,15,6,39,11,12,18,0,125,15,4,8,4,19,6,7,4,0,75,7,0,4,4,10,5,7,0,0,42,0,0,3,0,6,3,0,0,0,17
LGA21670,16,0,41,14,18,7,24,7,3,120,9,3,34,15,6,0,11,5,0,82,3,0,8,6,0,3,0,0,3,23,10,0,19,4,0,0,7,0,0,34,4,0,4,0,0,0,0,0,0,11,3,0,6,0,0,0,0,0,0,11,4,0,6,3,0,0,0,4,0,12,141,33,354,215,100,79,89,132,23,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,5,0,22,3,0,0,5,0,0,0,4,0,17,4,0,3,0,0,0,3,3,0,19,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA21750,61,12,115,43,17,14,40,36,8,345,31,11,60,19,14,4,26,28,0,202,34,3,68,4,9,4,15,14,0,151,44,3,80,16,3,9,12,3,0,172,12,0,10,0,0,0,0,0,0,22,11,0,10,0,0,0,0,0,0,30,12,0,11,3,0,0,4,5,6,35,434,94,778,442,184,156,242,404,43,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,18,5,0,5,7,0,4,0,3,0,20,4,0,0,3,0,0,5,12,0,23,9,0,4,8,4,0,0,4,0,26,3,0,0,0,4,0,4,3,0,14,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA21830,53,8,43,17,21,4,42,27,0,217,48,4,45,3,10,0,34,16,0,167,31,5,23,7,3,3,18,15,0,109,38,0,61,11,5,0,15,12,6,145,13,0,23,0,0,0,0,0,0,39,30,0,44,3,0,0,0,0,0,81,13,0,5,0,9,0,5,0,4,44,488,54,536,210,125,62,198,257,34,1968,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,3,8,4,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,4,0,4,0,0,3,0,19,4,0,0,0,0,0,8,3,0,13,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA21890,115,55,391,124,110,39,75,49,13,968,112,54,347,69,77,30,50,40,10,788,83,29,250,36,31,21,28,21,8,504,154,45,355,34,37,26,37,21,10,723,40,3,52,7,11,8,7,0,0,125,47,0,40,3,4,10,0,5,0,114,8,7,35,12,5,0,0,6,15,82,819,383,2753,1452,730,545,472,533,112,7794,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,5,0,0,0,18,0,0,4,11,3,5,0,5,0,30,0,0,3,5,0,7,0,3,0,23,0,0,0,13,8,10,4,10,0,46,5,0,8,6,14,14,11,7,6,71,0,0,9,16,11,5,6,3,0,54,10,8,7,3,23,7,8,8,0,74,7,6,5,13,7,4,0,0,0,42,5,3,4,0,7,0,0,0,0,22,0,0,0,4,5,3,0,0,0,16
LGA22110,64,28,167,46,48,24,51,46,9,488,78,9,133,25,31,9,40,22,0,355,57,14,55,14,16,10,15,8,3,184,54,14,67,8,16,8,14,8,5,186,14,0,18,0,5,0,0,7,0,43,21,0,6,0,0,3,6,5,3,43,8,0,21,3,3,3,3,3,8,57,655,199,1319,708,514,336,333,492,88,4639,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,7,0,0,0,10,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,8,0,3,0,18,5,0,5,17,11,9,3,10,0,51,7,0,8,9,9,3,0,4,0,48,6,0,6,4,15,7,8,14,0,51,3,0,4,0,11,0,4,4,0,31,3,0,6,3,4,0,4,4,0,22,0,6,0,3,5,3,7,0,0,15,0,0,0,0,0,0,0,0,0,5
LGA22170,165,63,623,130,153,50,95,91,23,1403,153,45,513,76,93,40,61,76,17,1073,127,59,324,37,50,32,41,45,13,726,198,40,358,43,59,37,50,49,12,837,56,6,35,0,13,4,7,10,0,135,61,8,46,0,4,12,5,4,0,147,8,0,65,14,11,11,9,10,24,151,1158,435,3905,1755,1299,776,635,972,165,11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,15,0,0,0,5,5,16,0,10,0,33,0,0,0,7,0,12,4,6,0,32,5,0,9,10,8,19,0,16,0,64,4,0,10,19,8,13,0,18,0,76,6,6,8,17,14,17,7,12,0,92,9,3,19,27,25,13,10,15,0,115,7,3,19,15,31,11,4,3,0,93,3,0,3,4,10,4,4,0,3,35,0,0,0,0,12,4,0,3,0,28,0,0,6,0,9,0,0,0,5,19
LGA22250,20,5,39,8,9,5,9,13,5,119,15,4,28,4,3,3,8,3,0,70,15,3,9,0,6,0,3,6,0,42,17,7,16,0,0,0,0,6,0,48,5,0,3,3,0,0,0,0,0,13,8,0,6,0,0,0,0,0,0,13,4,3,0,0,0,0,0,0,0,17,255,37,304,122,104,55,81,100,17,1080,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,3,7,0,0,0,0,15,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA22310,72,29,287,91,74,29,15,27,5,629,68,19,229,60,42,34,14,32,9,502,50,20,186,20,23,20,3,15,7,342,87,24,184,19,19,15,8,25,14,393,15,8,39,4,0,5,0,5,0,73,25,3,18,3,0,7,0,4,0,65,9,5,31,4,4,0,0,0,7,61,504,235,1869,1011,520,311,106,325,71,4952,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,3,0,11,0,0,0,8,4,0,0,0,0,9,0,0,3,7,0,3,0,0,0,17,0,0,3,6,6,5,0,5,0,31,0,0,5,14,8,7,4,5,0,43,4,0,9,9,16,0,0,5,0,40,3,3,5,8,10,4,0,0,0,38,4,6,0,0,12,4,0,4,0,26,0,6,0,3,6,0,0,3,3,19,3,0,0,0,0,0,0,0,0,9
LGA22410,50,14,104,30,19,3,43,23,8,289,34,11,84,17,11,4,33,9,5,211,14,6,69,9,4,0,33,8,9,149,41,14,113,8,3,0,55,7,8,251,6,5,14,0,0,3,0,0,0,27,20,3,5,0,0,0,4,0,3,31,3,0,15,5,0,0,3,3,4,26,341,89,731,341,170,110,268,228,52,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,5,0,0,0,10,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,17,0,0,0,6,8,0,0,3,0,22,5,3,0,0,6,0,0,3,0,21,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,12,3,0,0,0,0,0,0,0,0,7
LGA22490,27,7,58,7,9,3,13,14,0,143,19,9,37,7,16,4,11,13,0,106,9,3,24,0,5,0,10,5,3,61,20,5,35,3,3,0,4,9,5,83,3,0,10,0,0,0,4,0,0,18,11,0,8,0,0,0,0,0,0,18,6,0,5,0,0,0,0,0,0,13,212,38,396,130,104,40,84,181,18,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,0,0,3,0,10,0,0,0,0,0,0,0,6,0,6,4,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22620,168,80,575,144,211,61,124,123,16,1503,183,91,447,70,123,46,130,57,16,1158,130,51,251,46,65,20,76,50,9,704,177,67,377,45,42,32,139,45,15,940,43,9,72,5,5,6,15,8,0,167,59,12,37,4,5,11,13,6,0,144,5,5,36,9,6,6,11,13,21,113,1273,577,3985,1956,1405,831,1003,1127,177,12337,0,0,0,0,0,0,0,6,0,6,0,0,3,3,0,8,0,10,0,24,0,0,0,0,8,10,0,9,0,24,5,0,4,9,3,13,0,11,0,39,0,0,4,13,11,13,0,9,0,51,4,0,16,15,24,11,6,25,0,96,7,0,15,17,16,16,4,36,5,119,14,0,20,19,27,13,7,23,3,127,13,3,11,16,28,9,9,20,0,108,6,5,5,7,20,0,6,3,0,59,9,6,0,0,16,7,3,4,0,37,0,0,0,4,0,3,0,0,3,16
LGA22670,304,144,1303,160,422,162,480,224,60,3262,332,138,1069,98,270,135,302,166,44,2548,290,98,741,43,113,79,181,91,27,1661,569,124,917,61,127,105,189,120,25,2233,143,15,127,10,12,22,23,20,3,379,171,19,118,4,12,18,26,14,3,381,28,6,81,21,19,9,33,21,44,263,2430,835,7498,1624,2352,1245,3259,2017,423,21682,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,8,0,20,0,3,7,0,0,4,0,8,0,23,0,0,6,9,8,8,0,8,0,39,0,5,8,9,7,6,4,14,0,56,3,4,16,11,16,11,9,8,0,81,11,3,19,15,36,17,12,28,3,146,12,5,21,19,56,11,54,45,5,225,18,11,18,18,78,14,53,43,4,254,16,7,14,6,33,3,38,11,0,133,15,3,13,8,28,6,10,7,0,93,13,4,0,3,6,0,7,5,0,53
LGA22750,303,163,1257,368,442,146,250,212,43,3195,312,147,1116,289,244,70,176,115,53,2526,214,88,728,170,106,49,106,94,26,1586,447,113,1099,161,94,65,143,116,29,2274,81,8,178,14,10,23,25,12,4,348,115,17,180,20,10,24,19,12,10,414,20,6,94,20,17,12,25,19,50,255,2342,1064,8727,4400,2726,1676,1755,2200,403,25294,0,0,0,0,3,0,0,0,0,13,0,0,4,10,5,12,4,6,0,34,0,3,3,15,0,16,5,15,0,59,4,4,9,13,8,24,6,14,0,81,3,0,10,25,10,18,8,27,0,106,3,11,20,39,29,29,9,30,0,167,8,3,32,29,32,29,13,31,0,168,16,9,19,21,49,27,18,35,0,197,19,4,20,27,51,15,34,39,0,218,17,9,9,19,35,10,19,10,0,115,7,4,8,10,21,7,9,4,0,68,3,8,0,11,11,4,6,0,0,39
LGA22830,119,68,358,108,111,33,80,83,16,975,118,40,263,60,76,22,51,48,7,688,74,34,158,34,32,11,36,38,8,435,122,34,176,36,23,10,31,39,3,468,23,0,27,7,5,0,0,4,0,66,33,0,18,3,9,4,7,3,0,75,8,0,34,8,11,6,4,8,10,90,886,361,2381,1114,835,449,539,767,127,7459,4,0,0,0,0,0,0,3,0,3,0,0,0,5,0,9,0,9,0,22,0,0,3,4,3,5,0,6,0,18,0,0,4,3,0,7,0,4,0,18,3,0,3,6,12,6,0,7,0,42,4,0,3,6,5,12,0,8,0,40,0,3,0,5,9,9,0,20,0,55,8,0,9,0,15,12,12,11,5,70,5,3,5,10,11,3,17,11,0,65,3,0,0,6,10,4,0,3,0,29,3,0,0,0,4,0,0,0,0,11,0,0,0,0,5,3,0,3,0,14
LGA22910,22,3,52,13,11,5,8,9,0,119,17,6,33,0,3,0,3,3,0,75,11,0,15,3,0,0,5,3,0,44,14,8,15,0,0,0,4,0,0,38,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,21,190,44,353,183,84,55,50,99,11,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,0,0,9,0,0,0,6,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,4,0,9,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,23,7,22,8,3,0,8,7,0,71,12,0,11,0,6,0,8,0,0,37,4,0,11,0,0,0,3,3,0,25,7,0,5,0,5,0,10,0,0,29,3,0,0,0,0,0,3,0,0,11,5,0,3,0,3,0,5,0,0,20,0,0,0,0,0,0,0,0,3,8,156,10,114,84,31,24,75,84,10,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA23110,87,26,390,54,106,29,135,70,20,917,96,37,419,17,64,21,87,56,16,820,88,30,279,19,40,14,81,55,15,629,191,62,544,38,46,23,136,92,20,1142,51,10,162,3,8,10,26,7,3,269,77,3,118,3,9,9,13,10,6,250,5,0,40,6,0,5,13,15,11,85,769,264,2911,673,599,319,933,655,155,7280,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,5,0,16,0,0,0,5,0,4,0,3,0,19,0,0,0,0,0,5,0,0,0,9,0,0,3,3,0,8,0,9,0,17,4,0,4,4,9,9,5,5,0,41,3,0,3,5,8,4,8,8,0,44,0,3,10,3,10,0,14,3,0,53,8,0,5,5,10,3,17,3,0,58,5,7,6,9,3,0,16,7,0,42,4,3,4,0,9,0,4,6,6,31,4,0,0,0,3,0,4,0,0,14
LGA23190,49,27,103,27,26,15,31,21,5,307,47,24,65,22,17,8,30,13,3,229,35,3,39,8,5,8,14,4,3,119,41,9,43,8,8,5,10,4,3,133,7,0,9,0,0,4,0,0,0,21,13,3,9,0,3,0,0,0,0,36,4,0,7,0,4,0,0,0,0,25,375,130,804,347,277,172,197,207,41,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,8,0,0,0,0,10,0,0,3,0,17,0,0,5,8,4,6,0,0,0,27,0,0,0,3,7,0,0,0,0,26,0,0,0,3,10,6,0,0,0,23,0,5,0,0,3,0,0,0,0,13,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA23270,231,80,1131,182,345,113,363,223,56,2731,268,99,1034,135,255,93,261,167,43,2360,242,74,708,75,118,59,132,102,29,1559,450,110,993,120,134,46,188,128,28,2193,101,21,170,7,18,8,35,15,0,383,153,38,136,11,5,9,26,20,0,404,29,3,108,13,18,7,26,22,41,260,2031,693,7143,2235,2174,1076,2486,1883,401,20123,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,11,0,11,0,29,0,0,0,8,3,7,3,6,0,36,0,0,3,9,7,8,10,6,0,46,0,0,3,10,7,7,0,10,0,51,8,4,9,28,21,15,0,16,0,111,4,0,24,34,35,19,23,31,0,167,8,0,24,27,50,14,34,41,0,195,20,10,14,28,56,12,36,25,0,204,15,7,13,11,42,8,20,6,5,128,6,3,13,15,21,9,14,10,0,82,3,0,5,8,9,4,6,0,0,44
LGA23350,29,5,67,26,14,6,19,18,0,177,20,11,35,10,4,0,8,24,0,122,15,3,28,13,6,0,8,16,3,92,31,3,46,14,0,0,12,6,0,113,4,0,7,0,3,0,0,0,0,21,4,0,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,0,3,14,241,38,417,225,93,56,114,212,14,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,10,0,4,0,5,0,0,0,0,0,10,5,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,4,4,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
LGA23430,223,78,950,107,222,91,211,126,31,2044,270,83,891,79,127,69,104,86,27,1739,204,53,576,28,69,50,55,72,17,1140,417,118,728,43,85,81,55,84,17,1623,95,12,117,6,4,17,13,4,4,275,146,16,65,8,19,23,11,10,8,295,20,4,82,9,6,8,9,15,27,178,1884,614,6000,1490,1421,991,1251,1259,256,15160,0,0,0,0,0,0,0,0,0,6,0,0,0,7,4,6,0,3,0,22,0,0,0,0,0,5,0,7,0,19,0,0,3,17,3,11,0,15,0,50,3,0,10,7,8,5,6,12,0,46,5,0,12,18,7,15,3,16,0,90,10,3,15,10,21,21,19,23,0,127,16,0,28,16,30,16,31,23,0,159,18,6,19,11,39,12,14,19,0,149,10,4,14,6,24,6,11,4,0,85,12,5,9,6,5,0,0,0,0,44,9,3,3,0,9,4,0,3,0,25
LGA23670,212,98,840,93,212,78,194,99,27,1864,264,88,743,56,142,77,122,72,28,1592,197,52,460,23,81,38,69,49,18,985,379,122,600,29,68,68,44,48,15,1380,108,20,79,0,13,15,7,6,7,261,133,13,53,5,11,9,3,5,0,244,15,6,67,13,10,8,13,7,29,172,1801,629,5372,1397,1452,871,1165,1070,255,14018,0,0,0,0,4,0,0,0,0,4,0,0,0,10,0,12,0,5,0,32,0,3,3,13,0,13,4,11,0,41,0,5,4,9,5,8,0,5,0,38,4,0,0,9,12,7,0,7,0,32,0,4,14,22,26,17,5,15,0,101,3,0,11,7,14,11,13,13,3,78,8,0,22,13,22,15,24,16,0,124,7,0,10,8,31,7,20,15,3,109,10,8,12,0,29,4,7,3,3,84,12,6,3,0,12,5,8,0,0,43,8,5,4,3,12,5,3,3,0,33
