POW_LGA_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
LGA21270,8,0,3,5,0,4,0,0,0,18,0,0,3,4,3,5,3,0,20,0,0,7,4,7,0,3,0,23,0,3,3,0,0,4,0,0,10,0,0,5,0,7,4,0,0,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,26,16,31,29,13,0,157,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,3,0,0,0,4,0,11,0,0,17,0,5,5,8,7,5,3,0,30,0,0,3,6,19,7,3,0,42,0
LGA21370,97,14,21,14,9,13,28,9,0,110,17,23,24,31,30,29,12,7,168,12,48,44,33,57,36,18,0,243,6,28,47,36,39,44,10,0,209,0,15,19,21,32,31,3,0,119,0,6,9,11,23,17,3,0,72,0,8,7,9,12,3,0,0,43,0,0,0,8,12,4,3,0,31,0,0,0,7,10,9,0,0,31,0,0,0,0,4,5,0,0,9,0,0,3,3,3,7,0,0,15,5,0,0,0,0,3,0,0,9,431,183,192,187,273,238,74,7,1582,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,7,0,0,0,0,5,4,7,0,16,0,3,0,0,3,3,9,0,29,0,0,0,3,0,7,0,0,19,0,4,5,3,9,24,7,0,63,0,8,6,8,18,22,8,0,82,5,8,26,21,34,59,14,0,162,6,13,41,36,70,74,12,0,253,0
LGA21450,234,53,72,46,31,38,35,12,0,279,37,99,59,65,54,36,18,6,377,14,77,77,73,69,49,6,4,370,8,68,100,65,61,48,11,0,358,0,18,85,53,49,46,8,0,264,0,0,48,32,43,18,14,0,155,0,5,23,35,25,18,4,0,117,0,5,11,16,14,12,9,0,71,0,0,9,15,20,19,0,0,72,0,0,0,6,6,0,6,0,19,0,0,0,3,7,10,0,0,21,11,7,8,6,4,4,0,0,32,986,500,526,443,427,333,95,16,3322,0,0,0,0,0,5,0,0,13,16,3,0,5,0,0,0,0,30,11,6,6,6,8,7,0,0,30,5,12,10,9,4,12,6,0,47,6,13,17,12,5,6,3,0,72,3,17,19,40,21,22,5,0,120,4,20,52,39,40,37,17,0,210,0,28,69,83,51,78,25,3,342,0,30,117,111,97,100,24,0,473,0
LGA21610,957,157,332,127,116,107,72,18,4,931,121,345,187,160,153,130,37,4,1136,35,270,256,195,160,138,19,9,1078,30,223,282,231,184,116,25,0,1098,7,93,236,174,156,104,9,0,779,0,36,94,122,97,72,12,0,437,0,9,70,76,82,54,10,0,293,0,9,35,56,48,24,5,0,174,0,0,53,61,77,40,13,0,254,0,0,13,18,19,9,0,0,59,0,0,14,33,23,10,0,4,91,21,28,9,12,8,7,6,0,99,2728,2160,1562,1409,1251,893,178,33,10208,0,3,6,4,4,0,0,0,19,39,6,4,10,3,3,6,0,74,40,26,12,17,5,12,0,0,123,15,28,32,29,22,26,12,0,168,10,39,53,55,29,28,8,0,226,11,41,89,95,62,63,28,4,381,10,70,125,155,120,90,46,0,612,14,97,297,264,204,180,48,0,1112,0,58,285,275,238,197,32,0,1087,5
LGA21670,39,3,6,6,0,8,8,0,0,34,5,19,12,9,13,14,3,0,79,0,10,21,9,14,11,4,0,69,3,10,11,14,12,11,8,0,68,0,0,7,3,4,9,0,0,30,0,0,0,0,0,5,3,0,14,0,0,0,5,7,3,0,0,7,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,7,118,69,66,46,70,77,22,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,6,0,0,8,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,3,0,4,0,0,0,6,0,3,7,0,11,5,0,6,3,11,7,6,0,42,0,0,8,8,13,12,5,0,53,0,5,11,11,14,20,4,0,62,0
LGA21750,80,15,12,7,5,6,5,3,0,68,11,13,18,12,24,14,14,0,110,4,21,21,14,26,21,16,0,120,0,6,30,15,20,15,6,0,100,0,4,22,6,8,23,3,0,71,0,3,0,8,10,4,4,0,30,0,0,4,7,3,6,3,0,21,0,0,6,5,0,7,0,4,21,0,0,4,0,4,4,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,3,0,0,6,4,0,0,10,228,94,142,95,128,128,59,10,880,0,0,0,4,0,0,0,0,3,0,0,0,0,0,8,0,0,4,0,5,0,4,0,5,0,0,7,0,0,0,0,0,3,4,0,12,0,0,0,0,3,0,6,0,18,0,0,0,6,4,9,10,0,32,0,3,3,10,10,10,0,0,49,5,25,16,23,36,34,11,0,142,0,9,44,36,43,44,7,0,185,0
LGA21830,29,3,5,3,6,7,7,0,0,37,0,5,7,9,6,11,4,0,53,0,14,8,12,14,15,3,0,63,0,9,5,12,10,15,4,0,53,0,4,8,4,16,5,4,0,35,0,0,0,3,9,3,0,0,18,0,0,0,4,5,4,0,0,17,0,0,0,6,0,0,0,0,3,0,0,0,6,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,11,125,46,44,67,84,69,24,3,466,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,4,0,0,0,4,4,0,0,6,0,0,0,3,3,5,0,0,11,0,3,0,6,0,4,3,0,22,5,4,6,3,9,16,3,0,43,8,12,13,6,15,26,9,0,91,0,9,19,23,33,41,6,0,129,0
LGA21890,509,43,177,81,43,58,53,16,4,479,25,199,119,65,92,80,21,3,604,18,152,154,63,114,84,16,3,607,7,94,184,108,91,75,23,0,583,0,56,157,90,85,91,18,0,505,0,12,83,63,69,54,7,0,290,0,9,56,44,61,32,5,0,202,0,4,22,37,40,24,6,0,132,0,5,38,51,59,28,0,0,177,0,0,5,13,14,4,9,0,43,0,0,9,16,19,16,4,0,58,0,18,8,0,17,6,0,0,51,983,1173,1045,668,803,607,153,20,5453,0,0,0,0,4,4,0,0,9,19,6,0,3,0,7,0,0,33,16,13,13,11,3,3,0,0,59,3,23,20,9,13,10,12,0,85,4,23,45,20,20,13,3,0,117,14,47,74,49,21,34,14,0,249,0,42,98,65,89,81,19,0,390,3,57,190,133,178,139,33,0,736,3,30,123,117,148,105,27,4,557,0
LGA22110,121,24,19,11,12,16,35,15,0,126,24,22,34,24,42,57,23,4,234,4,33,46,40,51,56,16,0,236,4,31,54,35,50,55,12,0,242,3,11,33,36,28,36,9,0,155,3,5,9,11,20,9,0,0,72,0,0,18,6,14,8,6,0,43,0,0,0,9,5,7,0,0,23,0,0,8,6,10,9,0,0,29,0,0,0,0,0,3,0,0,5,0,0,0,0,11,0,0,0,16,9,0,0,0,5,0,0,0,20,382,149,237,209,273,310,91,8,1657,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,4,0,13,3,0,0,0,0,4,0,0,9,6,0,0,5,8,7,9,0,26,0,0,5,3,6,8,9,0,32,0,0,5,7,15,12,14,0,63,0,8,14,16,25,29,18,3,113,3,17,37,25,48,57,16,0,215,4,17,38,32,52,54,14,0,221,0
LGA22170,452,85,159,74,49,51,55,11,3,477,56,187,121,87,96,107,27,3,684,26,140,132,94,84,101,23,0,594,14,120,165,89,108,81,21,4,603,7,47,110,105,84,76,20,0,451,0,19,65,56,67,57,9,0,271,6,3,48,43,53,28,11,0,187,0,0,23,29,31,22,3,0,111,0,0,27,39,53,31,3,0,147,0,0,3,8,14,4,6,0,33,0,0,9,15,15,8,0,0,36,15,13,4,5,3,4,3,0,55,1398,996,877,678,732,648,152,14,5499,0,0,0,5,3,5,0,0,15,18,6,0,3,3,4,0,0,42,18,8,5,3,7,4,3,0,50,9,14,20,9,5,7,3,3,66,4,16,10,18,8,17,7,0,86,9,19,22,15,17,27,14,7,131,9,42,69,48,60,51,17,3,300,10,66,133,113,114,115,38,0,599,4,28,98,106,146,103,34,0,512,0
LGA22250,20,0,0,6,5,4,6,6,0,24,3,3,5,9,13,10,4,0,47,0,7,0,16,3,10,5,4,44,0,3,3,8,7,6,0,0,38,0,0,0,4,7,12,4,0,28,0,0,0,0,0,0,0,0,10,0,0,0,0,4,4,0,0,9,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,21,27,49,49,63,28,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,9,0,0,0,0,0,4,3,0,6,0,0,0,0,4,4,9,0,20,0,3,0,4,0,10,3,0,18,0,4,4,8,7,16,7,0,51,0,3,15,10,15,17,6,0,59,0
LGA22310,236,30,107,40,23,30,27,9,5,270,22,96,76,35,45,41,17,3,336,5,79,78,28,66,36,11,0,308,3,56,89,44,53,47,19,4,311,0,34,83,33,48,36,18,4,262,0,12,55,42,38,31,12,5,199,0,8,44,42,28,24,12,0,152,0,0,22,40,21,28,6,8,125,0,7,50,47,38,32,14,0,187,0,0,11,12,17,12,9,0,60,0,0,6,27,31,18,11,3,102,4,6,3,3,3,0,0,0,23,682,659,609,420,466,370,157,29,3407,0,0,0,5,0,0,0,0,9,10,5,0,5,3,0,0,0,29,6,3,6,3,3,8,4,0,36,5,6,3,7,4,6,4,0,33,0,15,11,4,6,11,0,0,46,0,17,30,6,9,7,3,0,80,0,11,23,20,10,17,7,0,88,3,13,36,21,16,24,6,4,134,0,8,32,18,15,21,9,0,113,0
LGA22410,37,11,4,11,7,16,19,4,0,59,3,17,13,5,18,13,8,0,74,7,16,14,12,23,18,0,0,98,8,8,15,16,14,14,0,0,71,0,7,10,0,10,13,4,0,39,0,0,4,4,9,9,4,0,20,0,0,0,3,3,3,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,5,4,7,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,3,198,58,75,72,101,94,26,3,628,0,0,0,0,0,0,0,0,8,3,0,0,0,0,6,0,0,9,0,5,0,0,0,3,0,0,10,0,0,0,0,0,5,0,0,10,0,0,0,3,0,3,0,0,14,0,0,8,0,0,9,7,0,23,4,0,7,5,5,12,11,0,45,0,11,15,12,19,23,5,0,90,0,7,31,24,30,42,4,0,142,0
LGA22490,30,4,4,0,5,0,5,5,0,18,3,9,5,5,6,3,0,0,27,0,5,4,10,8,4,0,0,26,4,5,8,6,10,0,0,0,28,0,4,6,9,3,0,0,0,20,0,0,3,4,4,0,0,0,15,0,0,0,6,0,0,0,0,5,0,0,0,0,4,5,0,0,9,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,78,35,37,47,53,25,4,0,278,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,4,0,3,5,3,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,5,4,3,0,17,4,4,4,5,5,8,0,0,19,0,11,5,4,10,11,4,0,35,0,3,14,11,18,19,4,0,62,0
LGA22620,343,78,114,65,41,57,54,20,6,429,65,156,120,73,88,85,21,6,616,32,130,127,91,106,100,24,3,625,14,93,154,105,109,92,23,6,603,7,54,114,75,87,84,13,5,440,0,10,48,31,59,33,10,5,193,0,5,32,43,39,23,5,5,152,0,7,15,17,20,24,3,0,93,0,3,18,38,30,12,4,0,113,0,0,3,8,7,0,0,0,27,0,0,7,16,14,9,3,0,43,12,4,9,4,8,0,4,0,43,1326,769,802,606,686,589,148,32,4957,0,0,0,0,3,5,0,0,10,28,3,5,0,0,4,0,0,42,27,8,4,0,5,6,4,0,49,14,17,8,9,13,5,11,0,75,12,15,10,11,8,19,6,0,86,8,19,25,23,18,44,30,3,169,10,30,49,46,59,73,23,0,293,8,49,100,90,125,149,31,5,563,7,49,125,123,150,149,36,0,638,0
LGA22670,489,69,161,97,73,53,41,23,0,521,53,175,129,90,105,79,36,0,672,19,165,209,136,142,101,22,3,805,12,145,287,213,184,144,41,5,1028,5,107,305,245,263,181,36,0,1138,0,35,186,205,192,138,19,0,769,0,17,112,166,167,129,18,0,605,5,3,61,82,130,59,10,0,346,0,4,66,146,180,110,24,5,529,0,0,9,21,37,23,5,0,103,0,0,14,28,33,16,11,0,102,22,20,13,13,9,9,0,0,73,1092,1221,1607,1516,1587,1100,278,21,8420,7,8,9,15,11,9,4,0,55,35,21,4,9,3,15,3,0,95,28,38,23,19,19,20,13,0,152,38,67,51,54,21,25,15,0,279,26,87,108,53,50,42,26,0,393,38,138,181,136,112,127,42,0,781,36,278,412,330,367,278,77,3,1767,83,410,1069,944,938,799,164,8,4415,32,315,1009,1008,1037,947,167,3,4518,4
LGA22750,882,159,311,115,102,114,133,36,0,974,105,402,221,149,192,188,59,7,1309,42,316,282,160,219,162,45,0,1220,16,239,343,214,203,177,51,5,1239,17,110,268,187,180,143,34,6,938,3,39,173,142,115,110,18,4,598,0,13,94,98,96,68,11,4,381,0,5,39,62,54,55,9,4,230,0,0,50,104,82,49,10,0,299,0,0,5,23,21,15,7,0,70,0,3,19,43,40,14,8,0,134,25,16,13,3,7,12,3,0,86,2848,2082,1817,1418,1449,1268,341,23,11253,0,0,4,5,9,3,3,0,24,45,14,8,0,3,4,4,0,76,47,37,10,8,12,16,8,0,144,24,54,38,22,21,16,15,5,196,20,67,50,27,28,27,26,4,244,17,88,97,77,43,67,35,5,431,29,108,162,100,120,163,52,0,740,33,182,311,202,264,314,79,4,1388,6,77,316,293,375,352,72,5,1497,0
LGA22830,166,31,30,28,26,32,28,14,0,184,24,58,71,44,78,59,9,5,344,16,76,89,54,67,62,14,0,384,8,43,93,61,75,59,22,3,365,0,27,56,37,71,46,5,0,248,0,9,25,19,37,32,0,3,131,0,3,15,21,17,14,7,0,79,0,3,5,14,21,17,4,0,58,0,0,9,15,15,18,4,0,58,0,0,0,0,3,9,6,0,13,6,0,3,7,5,10,0,0,26,7,4,4,3,6,9,3,0,36,748,341,428,343,455,396,91,16,2817,0,0,0,0,3,0,0,0,5,3,0,0,0,4,0,3,0,16,5,0,3,0,4,4,0,0,16,0,0,3,5,8,4,5,0,28,4,0,8,9,6,9,11,0,53,3,9,19,9,16,27,16,0,106,4,22,37,21,46,47,21,3,203,14,34,97,78,104,111,25,0,461,0,29,92,98,107,133,37,4,498,0
LGA22910,41,4,0,10,0,13,8,0,0,38,0,6,5,8,15,21,9,0,67,3,12,10,19,15,22,4,0,76,0,4,7,3,17,13,4,0,49,0,0,5,3,4,9,0,0,27,0,0,3,0,3,4,0,0,13,0,0,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,9,4,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,4,0,3,71,39,50,53,94,92,21,5,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,5,0,4,0,10,0,0,4,5,6,5,0,0,20,0,3,4,3,9,8,0,0,39,0,6,4,3,11,9,0,0,34,0
LGA22980,10,5,0,3,0,4,5,0,6,14,0,3,3,0,0,5,0,0,8,0,0,4,5,3,5,5,0,12,4,0,6,3,8,3,0,0,22,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,13,17,19,7,6,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,3,9,0,0,6,0,7,4,0,0,16,6,3,0,4,8,10,0,0,30,0,0,14,7,12,20,0,0,51,0
LGA23110,234,32,69,34,25,21,22,5,0,207,18,62,48,45,43,52,15,0,285,8,65,80,54,41,38,14,0,300,5,40,106,53,63,45,7,0,315,3,19,63,60,55,41,13,0,248,0,11,47,35,37,20,3,0,154,0,4,39,43,34,17,3,0,144,0,0,14,27,24,12,6,0,82,0,5,23,44,37,18,3,0,127,0,0,3,8,13,12,4,0,38,0,0,3,11,17,12,0,0,47,8,3,0,5,10,0,4,0,29,605,464,537,450,434,318,82,7,2895,3,0,8,3,7,0,0,0,17,11,3,0,3,0,3,0,0,28,13,13,10,17,7,9,0,0,72,10,19,14,5,16,0,5,0,76,11,18,23,12,7,18,6,0,89,15,52,57,30,36,24,5,0,225,13,68,92,93,85,75,15,0,436,15,93,251,190,233,152,27,0,962,13,69,240,263,255,203,41,0,1085,0
LGA23190,59,11,5,19,8,5,21,9,4,76,9,12,24,12,11,19,3,0,93,6,22,32,22,27,25,10,3,141,0,31,40,20,27,36,6,0,161,0,7,16,26,28,15,0,0,96,0,0,7,8,13,11,0,0,37,0,5,5,7,12,3,0,0,24,0,0,0,6,3,0,0,0,14,0,0,0,5,7,4,0,0,18,0,0,0,8,0,0,0,0,8,0,0,0,0,7,0,0,0,3,4,0,0,4,0,0,0,0,9,206,112,152,129,142,161,39,11,952,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,3,0,0,0,3,0,0,0,7,0,5,0,0,0,3,3,0,14,0,7,0,0,0,3,3,0,14,0,4,6,5,4,11,4,0,30,3,9,7,3,14,15,10,0,49,0,8,15,19,28,29,12,0,101,0,14,17,22,32,35,7,0,132,4
LGA23270,660,93,211,120,89,72,77,20,0,681,62,247,163,131,136,114,20,3,870,30,218,236,194,148,130,38,0,1007,12,154,250,196,203,121,41,0,991,3,83,228,224,194,133,25,0,897,9,23,141,135,143,80,24,0,553,0,13,83,114,108,82,11,0,408,0,5,38,77,87,58,11,0,272,0,0,56,82,103,58,4,0,301,0,0,12,16,31,7,0,0,65,0,0,11,31,28,6,0,0,80,17,22,12,8,19,10,0,0,87,1811,1468,1529,1422,1363,982,212,15,8804,0,13,17,14,10,10,0,0,65,22,12,14,8,9,9,3,0,78,38,51,36,32,26,20,6,0,200,33,82,48,52,48,38,13,0,318,27,82,89,64,64,54,29,0,402,34,147,185,151,132,108,39,8,802,25,188,363,290,293,252,66,4,1472,36,280,792,649,592,516,102,4,2976,14,179,727,788,700,627,107,7,3151,0
LGA23350,15,9,4,0,8,11,12,0,0,42,8,13,6,3,10,12,5,0,51,0,6,6,9,11,10,0,0,42,0,3,9,6,6,11,3,0,40,0,0,4,5,10,4,3,0,30,0,0,5,3,4,7,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,24,37,47,62,65,28,4,368,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,10,0,0,4,4,0,6,0,0,17,0,0,11,0,0,4,6,0,29,0,8,4,0,12,18,7,0,39,4,7,20,14,20,19,3,0,80,0
LGA23430,617,83,256,79,50,84,77,25,11,662,56,285,162,80,109,113,43,8,846,27,206,163,112,146,114,33,3,804,7,156,261,160,174,123,50,3,945,8,83,236,175,190,139,38,8,883,0,32,167,134,146,88,28,3,602,0,10,86,104,123,107,32,7,464,0,0,49,56,67,54,7,0,238,0,7,67,119,131,66,18,0,402,0,0,10,25,35,16,0,0,96,0,0,18,35,51,25,4,3,138,10,16,12,0,12,9,0,0,63,1717,1670,1420,1128,1369,1025,322,55,8698,0,3,4,3,6,6,0,0,34,35,23,4,9,5,3,0,4,77,39,40,8,21,9,14,4,0,131,13,43,32,19,20,16,11,3,155,16,61,62,24,36,28,16,0,229,14,72,106,55,71,78,24,0,421,14,110,195,159,182,184,47,5,902,9,146,445,325,403,377,87,3,1790,5,86,355,310,431,396,74,6,1652,0
LGA23670,525,58,166,57,43,49,56,14,0,457,38,198,105,80,95,102,22,0,641,21,135,125,83,117,90,28,0,601,10,125,186,91,138,98,28,5,683,0,86,170,132,109,99,31,0,632,0,19,93,110,116,78,12,0,428,0,14,57,98,93,74,10,0,344,0,3,41,71,51,36,9,0,214,0,4,44,97,123,71,6,0,348,0,0,6,29,33,10,4,0,85,0,3,13,34,24,15,0,0,89,8,14,4,0,9,9,8,0,51,1528,1210,991,957,1050,830,206,16,6795,4,0,6,6,10,0,0,0,32,29,13,0,4,3,0,0,0,53,31,25,12,9,14,13,5,0,113,21,51,16,12,10,19,12,4,143,6,31,27,18,23,20,11,3,132,8,69,56,44,58,58,24,4,318,13,63,133,113,134,143,48,0,651,26,116,281,262,325,289,54,0,1347,11,73,268,284,319,329,67,0,1352,0
LGA23810,250,44,61,41,28,34,43,14,0,262,33,76,63,52,58,67,20,0,377,14,76,97,42,79,52,12,0,374,6,77,96,75,68,54,11,0,379,7,30,67,41,58,36,9,0,250,0,9,21,22,23,14,9,0,101,0,4,19,20,25,13,4,0,80,0,0,8,11,23,8,0,0,53,0,0,9,17,12,14,6,0,64,0,0,0,0,0,0,0,0,6,0,0,3,4,7,7,0,0,26,8,7,7,3,4,3,0,3,37,856,445,504,373,448,358,95,9,3092,0,0,0,3,4,4,0,0,12,12,0,0,0,0,0,0,0,13,5,0,0,0,3,10,4,0,26,5,4,10,0,5,7,11,0,40,9,5,7,3,5,10,9,0,51,0,9,10,7,18,22,3,0,71,0,21,32,31,36,41,17,0,177,0,14,56,61,60,81,20,0,288,3,20,64,82,92,99,17,0,375,0
