POW_LGA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
LGA23810,30,37,72,34,38,37,22,49,107,433,3299,6223,5310,4526,4707,3092,2433,3344,646,33579
LGA23940,28,3,6,0,3,3,5,10,11,71,998,294,196,175,191,128,232,430,50,2701
LGA24130,13,20,41,25,17,9,15,22,32,191,2094,3060,2373,2405,1690,1478,670,1700,240,15711
LGA24210,32,54,35,36,30,46,4,17,64,321,4081,7289,3376,5273,3463,4646,885,2288,528,31820
LGA24250,8,12,4,3,0,9,4,3,12,52,699,626,560,511,389,405,229,442,67,3929
LGA24330,36,55,42,42,37,37,28,37,124,422,5395,10251,4323,5109,4579,5125,3284,3718,885,42663
LGA24410,40,60,81,67,42,36,22,37,122,503,5617,9612,6730,5767,5508,5430,2501,4688,781,46629
LGA24600,380,919,225,223,475,145,81,151,1118,3703,90322,212602,28648,30952,85313,21463,7246,16621,9873,503044
LGA24650,32,45,67,52,31,40,39,35,94,449,3655,6382,5214,5905,4078,4325,3687,3649,790,37682
LGA24780,56,28,52,34,19,30,18,38,61,338,3449,4113,2985,3026,2631,2434,1505,3189,557,23895
LGA24850,18,12,36,14,16,20,8,21,48,190,1696,2299,1894,2202,1458,1333,857,1708,267,13705
LGA24900,41,7,25,9,15,6,14,30,25,170,2164,1514,1500,1219,1082,983,792,1939,215,11409
LGA24970,100,200,120,70,95,81,51,72,302,1086,16636,35611,13396,10966,16179,8949,5354,7309,2288,116697
LGA25060,30,68,64,43,53,43,16,28,100,445,4888,9537,4790,6032,5776,4745,1176,2800,798,40540
LGA25150,20,9,19,15,15,8,9,9,17,122,1261,1662,1469,1288,1063,895,773,1147,182,9746
LGA25250,33,82,99,45,48,32,16,34,99,487,5268,10998,5877,7051,4629,3865,2167,3609,801,44261
LGA25340,90,81,107,52,58,58,35,63,131,681,7399,10328,9800,9150,5926,6478,2090,6257,1041,58473
LGA25430,21,6,8,7,3,12,3,3,16,83,1021,1544,1004,1048,675,538,370,1339,135,7670
LGA25490,45,0,12,0,8,7,8,24,14,108,2095,668,803,491,423,312,487,1214,150,6639
LGA25620,27,15,8,5,6,0,3,11,7,85,1030,697,717,620,460,307,240,601,85,4757
LGA25710,18,23,31,17,25,13,0,6,44,179,1856,3554,2276,2427,1750,1335,444,1127,246,15013
LGA25810,8,0,7,3,8,5,4,8,8,60,953,635,593,748,442,365,376,885,95,5082
LGA25900,80,123,70,43,54,42,17,26,181,635,15366,25230,7552,6653,10669,5697,2491,3359,1493,78518
LGA25990,10,0,0,4,7,3,3,3,3,41,627,260,216,344,175,107,129,258,39,2158
LGA26080,0,0,0,4,0,4,0,3,4,19,232,363,225,232,206,124,19,161,27,1590
LGA26170,51,15,20,21,6,19,15,25,37,206,2459,1838,1509,1218,1145,962,789,1470,249,11645
LGA26260,18,3,13,10,0,5,9,10,13,68,1613,1344,932,914,797,696,357,904,122,7685
LGA26350,74,131,58,46,52,52,8,18,152,605,9362,17464,5707,7696,6507,8678,885,3423,1065,60787
LGA26430,20,0,17,4,3,3,0,8,9,67,979,475,546,460,336,277,172,711,99,4045
LGA26490,29,14,27,20,10,15,9,5,12,133,1973,2273,1716,1756,1143,1248,313,1206,161,11779
LGA26610,37,9,11,6,13,13,6,27,37,159,1787,1529,1230,1063,1027,833,649,1758,258,10132
LGA26670,14,5,0,0,5,6,0,5,5,36,687,339,211,247,183,123,118,315,46,2256
LGA26700,33,13,18,15,3,15,4,16,28,140,1949,2815,1758,1830,1436,1211,798,1551,213,13560
LGA26730,18,9,22,20,9,11,16,31,29,175,1723,3742,2239,2560,2065,2000,836,2048,271,17487
LGA26810,45,14,30,14,18,18,8,28,46,226,3017,3052,2583,2496,1665,1441,1049,2083,374,17756
LGA26890,26,5,4,0,4,0,0,0,8,42,767,194,137,122,108,55,103,236,31,1754
LGA26980,46,127,77,66,75,44,20,36,178,662,9331,23903,7342,9128,10661,6459,2116,4391,1324,74657
LGA27070,62,87,125,59,74,73,47,88,201,818,7683,13415,9479,7996,8159,7898,6090,7733,1465,69926
LGA27170,17,14,27,24,10,18,15,25,46,189,2381,3849,3418,2774,2312,1769,2057,2243,354,21166
LGA27260,81,89,111,80,88,76,135,71,255,985,9228,15155,9945,9542,9619,8507,14929,8597,2010,87535
LGA27350,71,185,84,60,69,46,14,43,215,793,16838,35248,8659,7971,11281,7131,1856,4001,1610,94588
LGA27450,81,60,100,65,61,50,28,55,112,610,5950,7820,7456,6285,4858,4405,2324,5451,784,45331
LGA27630,7,3,4,5,4,0,5,4,6,37,716,331,264,358,223,164,168,302,43,2576
LGA29399,4,0,4,8,0,0,0,3,9,31,362,135,240,689,134,239,284,297,49,2422
LGA29499,172,157,657,135,86,64,138,283,437,2136,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
LGA29799,0,0,0,0,0,0,0,0,0,0,6,36,56,13,4,0,28,48,5,194
